"","Table 5#7#5BU1# Change in Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 25, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/24/2015 10:19:16 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Nonfarm industries","A015RC0",67669,62453,63546,55943,-38320,20998,19219,55053,59354,70549,35158,-33603,-145968,68851,39674,81274,60536,71178
"9","2","Mining, utilities, and construction","N541RC0",1519,5392,-1272,-2197,8194,-2895,6011,1239,3582,16242,-3412,-7731,-2583,1393,-5065,7349,-4408,1358
"10","3","Manufacturing industries","N150RC0",21067,15423,13887,6881,-23506,-220,-7110,5561,20725,18436,17243,-15040,-26260,23405,24294,12490,6095,15725
"11",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","    Durable goods industries","N624RC0",14146,16018,6318,6219,-19514,-2769,-4636,3868,16505,12412,12486,-5685,-24059,17348,22325,10914,7498,23128
"13","5","      Wood product manufacturing","C3210",363,491,633,169,-497,418,-115,729,769,-53,-684,-1606,-1963,527,299,75,541,130
"14","6","      Nonmetallic mineral product manufacturing","C3270",180,-40,239,137,-509,248,-133,298,99,546,380,-553,-1996,-31,304,117,393,227
"15","7","      Primary metal manufacturing","C3310",456,1387,275,-575,-2102,161,-1743,2613,1564,1443,189,-1643,-6594,2088,3486,-1152,1565,3459
"16","8","      Fabricated metal product manufacturing","C3320",1310,869,718,789,-1199,304,-618,-86,2306,1749,822,-704,-4433,546,2862,1286,1681,2106
"17","9","      Machinery manufacturing","C3330",1453,1127,86,2556,-4379,2,-1813,-54,2611,2791,763,90,-4712,2273,5571,2703,96,1020
"18","10","      Computer and electronic product manufacturing","C3340",8152,489,3963,10663,-7629,-3306,1773,2216,3106,372,1266,3765,-338,1377,2705,-57,-353,1164
"19","11","      Electrical equipment, appliance, and component manufacturing","C3350",488,401,-28,816,-969,-177,-416,-304,12,765,770,-147,-1920,140,645,517,40,-241
"20","12","      Transportation equipment manufacturing","C3360",1360,10767,-549,-9584,-1700,-880,-2030,-1671,4284,3978,8805,-4804,-1204,9003,6670,7224,2790,14836
"21","13","        Motor vehicle and parts manufacturing","C336MV0",556,604,1518,-236,-2539,1164,598,101,733,609,-992,-3601,-2038,1768,1847,2655,1564,-3579
"22","14","        Other transportation equipment manufacturing","C336OT0",804,10163,-2067,-9348,839,-2044,-2628,-1772,3551,3369,9797,-1202,834,7235,4824,4569,1226,18415
"23","15","      Furniture and related product manufacturing","C3370",140,103,324,270,-427,416,-381,264,333,26,-137,-714,-869,-40,-226,161,73,139
"24","16","      Miscellaneous durable goods manufacturing","C3390",244,424,657,978,-103,45,841,-136,1421,795,312,630,-30,1466,7,40,672,289
"25","17","    Nondurable goods industries","N625RC0",6921,-595,7569,662,-3992,2549,-2474,1693,4220,6024,4757,-9355,-2201,6057,1969,1576,-1403,-7403
"26","18","      Food manufacturing","C3110",819,-336,1328,488,-477,1077,-822,-975,1355,271,-653,186,1566,-511,-742,202,841,212
"27","19","      Beverage and tobacco product manufacturing","C3120",700,-32,-182,-39,595,72,-204,-102,389,15,-348,-153,1199,-183,302,837,107,284
"28","20","      Textile mills","C3130",17,68,178,-459,-424,-216,-142,-58,-61,-144,-146,-380,-645,137,-66,-107,-130,58
"29","21","      Textile product mills","C3140",291,-228,339,422,177,-927,123,-7,196,24,-89,-106,-583,313,-176,-35,93,-155
"30","22","      Apparel manufacturing","C3150",456,-5,614,-312,-1680,69,22,-239,-132,-9,-179,-301,-415,-33,38,-18,-44,447
"31","23","      Leather and allied product manufacturing","C3160",45,9,4,-100,-159,-116,-51,-5,53,127,-37,-32,-78,54,82,-21,41,-7
"32","24","      Paper manufacturing","C3220",558,-510,910,-623,-85,1122,-681,92,-50,70,112,-702,-1153,-77,23,-573,10,430
"33","25","      Printing and related support activities","C3230",220,-584,625,-331,-300,417,-313,29,-28,113,474,-798,-527,48,-217,-156,323,127
"34","26","      Petroleum and coal product manufacturing","C3240",953,-454,108,-65,676,-518,-37,739,984,1178,4213,505,3638,-65,1161,-4306,-3470,-7011
"35","27","      Chemical manufacturing","C3250",2318,927,2778,1690,-1656,1040,-165,1906,1283,3187,970,-5991,-3384,5412,992,4734,328,-985
"36","28","      Plastics and rubber product manufacturing","C3260",545,550,867,-9,-658,528,-204,313,232,1191,441,-1583,-1818,962,573,1018,499,-803
"37",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","    Materials and supplies","C30M0",9909,3484,7522,5188,-9217,-1420,-4317,4390,6275,6226,1857,-3909,-12391,1521,7225,7312,3855,2828
"39","30","      Durable goods industries","C30DM0",7856,4091,4833,7252,-8117,-2100,-2818,4237,5159,5091,2622,-1143,-12097,1866,7888,6035,3135,3663
"40","31","      Nondurable goods industries","C30NM0",2053,-607,2689,-2065,-1100,679,-1499,153,1116,1135,-765,-2766,-294,-345,-663,1277,720,-834
"41","32","    Work-in-process","C30W0",3221,6729,270,-4617,-8857,430,-632,-1956,7408,4047,13537,-3204,-3048,13454,10720,4871,2454,17564
"42","33","      Durable goods industries","C30DW0",1221,7342,-1048,-4792,-7820,-143,-668,-2330,6548,2156,9682,-1751,-2998,12984,9656,4194,2952,19586
"43","34","      Nondurable goods industries","C30NW0",2000,-613,1319,175,-1037,573,36,374,860,1892,3855,-1453,-50,470,1064,677,-498,-2022
"44","35","    Finished goods","C30F0",7937,5210,6095,6311,-5433,769,-2160,3128,7043,8162,1849,-7927,-10821,8430,6348,306,-214,-4667
"45","36","      Durable goods industries","C30DF0",5069,4584,2533,3759,-3578,-527,-1150,1962,4798,5165,182,-2791,-8964,2498,4781,685,1411,-121
"46","37","      Nondurable goods industries","C30NF0",2868,626,3561,2552,-1855,1296,-1011,1166,2244,2997,1667,-5136,-1857,5932,1567,-379,-1625,-4546
"47","38","Wholesale trade industries","N658RC0",25330,21432,18910,18854,-12336,166,1318,20821,27712,22355,15257,18685,-61893,26089,18260,30311,27706,33270
"48",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","    Durable goods industries","N661RC0",17252,17021,14072,13524,-16663,-1498,2494,19283,20701,18120,3202,8941,-49578,10764,24512,22830,16044,22296
"50","40","    Nondurable goods industries","N664RC0",8078,4411,4838,5330,4327,1664,-1176,1538,7011,4235,12055,9744,-12315,15325,-6252,7481,11662,10974
"51",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Merchant wholesale industries","N151RC0",22654,19454,16309,14775,-8044,790,1704,18899,19447,16696,9576,4227,-46100,21628,13331,25125,25944,38068
"53","42","      Durable goods industries","N626RC0",15223,15080,12410,10426,-13312,-2098,2584,18291,16007,14418,2599,6747,-44500,13349,18394,21626,15324,22831
"54","43","        Motor vehicles, parts, and supplies wholesalers","C42110",1436,786,2807,1298,-1163,2094,1456,1827,3741,1680,1266,3901,-9361,2504,6116,1130,1774,4473
"55","44","        Furniture and home furnishings wholesalers","C42120",127,307,347,554,-424,361,360,278,431,383,-50,-750,-1900,606,-274,391,599,363
"56","45","        Lumber and other construction materials wholesalers","C42130",654,-142,397,456,-57,263,1156,1910,661,272,-801,-1147,-2190,344,111,445,667,561
"57","46","        Professional and commercial equipment wholesalers","C42140",5928,2770,3599,909,-1383,-616,774,2403,2063,3599,1918,1055,-1859,2980,1894,2276,1518,3092
"58","47","          Computers and software wholesalers","C421430",5196,3247,2901,-54,-489,196,1415,1481,1371,1723,870,917,686,2288,1105,1031,851,1656
"59","48","          Other professional and commercial equipment wholesalers","C4214X0",732,-477,698,963,-894,-812,-641,922,692,1876,1048,138,-2545,692,789,1245,667,1436
"60","49","        Metal and mineral (except petroleum) wholesalers","C42150",753,1202,49,167,-976,-18,-312,3062,549,2422,-1573,1807,-6977,1184,1762,3200,1029,3381
"61","50","        Electrical goods wholesalers","C42160",513,2080,3202,3730,-4334,-971,208,2976,2284,2979,2548,1171,-5266,2813,1786,3232,1755,1595
"62","51","        Hardware and plumbing and heating equipment wholesalers","C42170",156,791,149,874,-763,283,509,1334,1206,1224,417,-1772,-2298,467,843,189,351,2076
"63","52","        Machinery, equipment, and supplies wholesalers","C42180",4433,5503,1838,1029,-2353,-2668,-2280,3572,4041,3032,1182,869,-10326,2999,5763,9439,6255,7114
"64","53","        Miscellaneous durable goods wholesalers","C42190",1223,1783,22,1409,-1859,-826,713,929,1031,-1172,-2308,1614,-4322,-548,393,1323,1376,176
"65","54","      Nondurable goods industries","N627RC0",7431,4374,3899,4349,5268,2888,-880,608,3440,2278,6977,-2520,-1600,8279,-5063,3499,10620,15237
"66","55","        Paper and paper products wholesalers","C42210",654,23,-174,251,-634,84,53,591,386,-277,97,-231,-600,34,-46,74,-101,9
"67","56","        Drugs and druggists' sundries wholesalers","C42220",1557,1078,3352,4559,7005,858,-238,-696,-2069,450,776,-571,-424,1339,1338,132,4183,7663
"68","57","        Apparel, piece goods, and notions wholesalers","C42230",1429,286,-663,117,-29,1099,-261,796,1412,85,345,553,-3074,2710,442,-1084,1041,1163
"69","58","        Grocery and related products wholesalers","C42240",931,-196,1192,-89,-1625,1453,-1307,-323,1573,1126,1086,1059,-1173,1249,1439,401,263,570
"70","59","        Farm product raw material wholesalers","C42250",1368,1241,972,367,124,-959,1426,-2665,1480,206,1775,-2410,3491,3583,-8894,1692,3862,3635
"71","60","        Chemical and allied products wholesalers","C42260",285,483,246,-285,323,150,-160,-199,93,-112,405,230,-1417,731,588,771,338,-16
"72","61","        Petroleum amd petroleum products wholesalers","C42270",51,575,-1011,-377,1517,-758,-402,1025,174,534,588,-2139,3962,-2113,-1727,227,-497,-633
"73","62","        Beer, wine, and distilled alcoholic beverages wholesalers","C42280",350,171,278,123,-253,455,209,368,520,694,1043,963,-967,320,661,784,711,837
"74","63","        Miscellaneous nondurable goods wholesalers","C42290",806,713,-293,-317,-1160,506,-200,1711,-129,-428,862,26,-1398,426,1136,502,820,2010
"75","64","    Nonmerchant wholesale industries","N152RC0",2676,1978,2602,4079,-4291,-624,-386,1922,8265,5659,5681,14458,-15794,4461,4929,5186,1762,-4798
"76","65","      Durable goods industries","C42ND0",2029,1941,1662,3098,-3351,600,-90,992,4694,3702,603,2194,-5078,-2585,6118,1204,721,-535
"77","66","      Nondurable goods industries","C42NN0",647,37,939,981,-941,-1224,-296,930,3571,1957,5078,12264,-10715,7046,-1189,3982,1042,-4263
"78","67","Retail trade industries","N153RC0",14452,14637,24934,19957,-10317,25035,17535,23137,5012,9340,6299,-31007,-49714,19110,-1317,28166,30065,13064
"79","68","  Motor vehicle and parts dealers","N631RC0",5143,1832,12440,11880,-9329,17216,12756,7337,-2906,-665,2921,-12345,-32931,12331,1264,22438,18044,7346
"80","69","  Furniture, furnishings, electronics, and appliance stores","C44230",1190,1640,1852,1931,-175,2053,1986,3384,1258,999,1086,-3714,-1737,2259,-710,1033,0,254
"81","70","  Building material and garden equipment and supplies dealers","C4440",1328,1942,1953,1162,26,1756,838,2093,1845,-76,715,-5229,-2540,167,-454,651,2469,1203
"82","71","  Food and beverage stores","N542RC0",344,942,1529,-561,408,848,-1180,306,-218,885,1139,-453,-332,339,-160,131,764,921
"83","72","  Clothing and clothing accessories stores","C4480",974,1297,1390,2927,-1130,1776,544,2432,1373,3297,-1090,-2224,-4916,312,-1563,1012,3221,1652
"84","73","  General merchandise stores","N543RC0",142,359,2694,1040,160,2040,1276,4492,2855,1012,-236,-4035,-2870,2216,984,1107,116,-556
"85","74","    Department stores","C45210",238,-963,634,-630,-1890,-1352,-1404,691,611,-1052,-908,-3437,-2176,1778,-1585,-4514,3761,-1601
"86","75","    Other general merchandise stores","C45290",-96,1322,2060,1670,2050,3392,2680,3801,2244,2064,672,-598,-694,438,2569,5621,-3645,1045
