"","Table 3#24U# Federal Grants-in-Aid to State and Local Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1993 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 25, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/24/2015 10:13:02 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","      Federal grants-in-aid to state and local governments","B089RC0",148778,151381,157214,165477,162397,164912,167274,172811,175585,174798,175831,171691,177147,185470,182879,180330,184594,184233,187473,196266,197347,197010,201788,207049,214719,211806,223124,226970,224473,227390,239502,241060,253980,262211,258466,270372,273615,285449,289986,299666,298245,324865,328942,334792,327171,333546,328021,340063,341852,343726,342540,345295,338657,342067,347360,335046,356790,358768,359810,360514,364007,368521,369297,382195,415957,476090,461868,478326,492162,492250,517234,519520,494724,500789,452083,442204,439702,439060,443024,454114,440467,450519,458393,451136,468645,484161,514061,512463,525513,520245,539202
"10","2","General public service","G170560",868,876,880,1016,1032,1048,984,1416,988,888,992,1220,1996,2024,2264,2212,3692,2216,2000,1820,2388,2280,2460,2412,4036,4676,3728,2068,2004,1936,1832,2680,2600,2148,2088,2808,1956,2712,2124,3284,3102,16811,7429,22512,3175,2547,3078,3107,2644,3529,3303,2724,1930,2296,2230,2467,2984,2462,2725,2028,2024,1826,1795,1625,1028,1961,1569,1979,2137,1690,1640,2183,1896,1965,1732,1353,1606,2036,1269,1758,2202,4425,3712,2435,3384,2841,2939,1418,1643,1427,1373
"11","3","National defense","G170570",296,344,284,276,312,268,320,312,339,320,340,243,330,368,314,274,303,310,310,283,311,322,306,278,291,264,252,309,396,372,396,415,530,477,540,306,378,354,400,372,432,491,573,492,471,648,558,600,667,300,578,529,635,588,536,548,221,801,815,656,571,589,828,689,727,830,1036,672,732,815,871,628,608,658,706,665,697,644,653,685,655,674,603,594,613,593,612,680,692,689,693
"12","4","Public order and safety","G170580",1156,1124,924,1060,1064,1276,1064,1104,1352,1228,1432,968,1228,1084,1312,1636,3272,2140,2040,2616,3700,3764,3964,2532,3716,4072,3684,4088,4576,4048,3936,5472,5532,4540,4556,5064,3704,4924,3872,2728,2618,3509,3368,4014,3452,3692,4616,4375,4980,5006,5551,5918,5548,6621,5848,5192,5212,5272,5453,5139,4544,5308,5038,5540,3530,5932,6806,7389,6064,6587,7037,7240,5390,6648,6733,8091,7342,7264,7827,8108,8366,8049,7834,7166,7446,7231,7148,6476,6291,6030,5654
"13","5","Economic affairs","G170590",6675,6994,7698,7460,7844,7620,7689,8118,7766,7579,8390,7866,7476,6758,7666,7071,7320,7069,8044,7318,6885,7017,8219,7390,7080,7169,8346,7798,7714,7282,7995,8344,7682,8140,8753,9081,7855,9521,9341,10511,8690,10262,8861,10982,8633,12486,11433,11225,9424,12034,9579,11146,11226,12248,9845,8820,9336,10021,9821,9216,9140,10561,10371,11147,11526,13239,12118,12518,16279,10677,15482,15626,16044,18141,17028,16235,15816,14994,13890,13405,10546,12030,11867,11103,9890,11845,11414,9291,10310,10663,10764
"14","6","  Transportation","G170640",36,44,40,40,40,44,48,64,64,60,68,36,40,40,40,32,28,28,32,32,28,28,36,20,20,20,20,8,8,8,8,0,0,0,0,0,0,16,0,0,0,0,-4,0,0,0,-16,0,-4,16,0,0,0,8,0,0,0,0,0,0,-4,0,0,116,98,110,122,137,115,138,156,136,113,122,134,125,122,127,131,160,138,156,152,139,128,135,138,171,147,162,168
"15","7","  Space","G170650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
