"","Table 5#6#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/11/2011 10:22:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","    Nonfarm industries","CNF0",50349,87628,59648,73051,99478,42246,51892,56197,79285,35308,49616,89974,33897,84500,58360,47012,-36244,-8565,-31922,-76552,-16687,23539,20572,30670,25793,-1748,3188,37899,46940,57601,53071,66801,97245,15538,6660,79899,62306,80567,75408,35951,11778,52492,41645,13400,-13036,-22333,-50299,-85240,-179703,-199755,-191549,-65170,39042,77092,112919,45160,71444,80056
"10","2","Mining, utilities, and construction","CCMU0",12,3442,3269,-645,5775,5357,3898,6536,145,208,-2171,-3268,2364,-2579,-733,-7839,9882,10839,5060,6995,-92,-3404,-5140,-3724,7149,2800,5656,7927,-2155,743,4432,2320,3454,9370,-1798,3967,9627,20455,19143,17376,5484,7563,-7699,-6163,-7486,-5782,-3115,-21417,-570,-2177,-6809,-20658,-11445,525,-6884,-1971,-1464,3632
"11","3","Manufacturing industries","C300",15539,22745,20016,25971,31610,15634,6873,7575,12168,4617,15454,23310,-3591,14056,5926,11136,-20117,-19162,-24049,-30696,-25255,-2951,5916,5557,1058,-9255,-18264,-3226,-1455,6509,2401,15471,41368,2213,11742,28860,19450,23773,20371,7051,7769,22759,13696,22717,26189,-24660,-36844,-22228,-40428,-45220,-45969,-6814,13611,9629,27635,42464,40888,33264
"12",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","    Durable goods industries","C30D0",8981,15785,14349,17470,29679,16509,9253,8629,5708,-3619,10540,12644,-1944,9486,4408,12927,-14588,-12762,-22483,-28224,-15397,-6249,-2680,4550,1924,-9611,-15420,3926,-2844,6167,3038,9573,27769,5739,13312,19520,8019,12387,17563,10566,11580,7393,6909,22144,-731,-22990,-7685,13424,-23288,-34388,-31521,-7028,11260,25729,24156,21962,32188,21000
"14","5","      Wood product manufacturing","C3210",-593,4,1855,187,-448,698,1286,428,279,331,221,1701,423,338,-449,365,-1005,1333,-394,-1921,1036,112,622,-582,907,-1305,-1033,951,1891,350,1486,-748,3658,-840,-459,769,-522,1496,52,-1182,-660,-392,-1206,-590,-3799,-511,21,-2168,-3248,-2960,-1180,-1181,982,570,71,68,520,-908
"15","6","      Nonmetallic mineral product manufacturing","C3270",419,521,-401,180,150,-240,39,-108,-503,-45,952,552,-539,316,117,654,-468,-367,-368,-833,-730,503,158,703,1049,460,-730,-1363,358,75,-16,787,220,87,-187,316,86,502,1126,277,305,234,357,594,63,-553,-724,-456,-2091,-2544,-2554,-2283,-187,-417,324,170,92,636
