"","Table 6#8C# Persons Engaged in Production by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/29/2006 5:29:09 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Persons engaged in production \1\","A4601C0",107828,110995,113790,114997,113679,113434,115423,118255,121222,123441,126241,129164,131777,134552
"9","2","Domestic industries","A4602C0",107894,111070,113873,115079,113761,113512,115788,118666,121631,123818,126645,129565,132218,134940
"10","3","  Private industries \2\","A4603C0",90657,93428,95828,96707,95339,95174,97505,100374,103232,105409,108114,110862,113369,115812
"11","4","    Agriculture, forestry, and fishing","A4604C0",3041,3103,3059,3056,3088,3007,3073,3137,3370,3322,3297,3318,3384,3358
"12","5","      Farms","B4605C0",1968,1977,1880,1846,1861,1803,1801,1790,1967,1826,1813,1704,1692,1659
"13","6","      Agricultural services, forestry, and fishing","B4606C0",1073,1126,1179,1210,1227,1204,1272,1347,1403,1496,1484,1614,1692,1698
"14","7","    Mining","A4607C0",726,738,709,725,704,650,618,607,593,587,601,601,545,546
"15","8","      Metal mining","B4608C0",46,53,59,60,56,55,51,49,53,56,53,49,44,41
"16","9","      Coal mining","B4609C0",159,149,144,145,135,124,110,110,104,96,94,92,85,77
"17","10","      Oil and gas extraction","B4610C0",409,420,394,409,409,368,352,345,328,327,345,349,305,316
"18","11","      Nonmetallic minerals, except fuels","B4611C0",112,116,112,111,104,103,105,103,108,108,109,111,111,112
"19","12","    Construction","B4612C0",6239,6452,6525,6513,6031,5853,6122,6394,6635,6918,7193,7527,7957,8338
"20","13","    Manufacturing","A4613C0",18957,19333,19398,19107,18424,18068,18110,18446,18627,18577,18758,18911,18662,18528
"21","14","      Durable goods","A4614C0",11205,11464,11486,11211,10667,10377,10344,10592,10823,10917,11128,11334,11220,11227
"22","15","        Lumber and wood products","B4615C0",807,823,817,794,735,745,784,829,855,850,857,889,910,898
"23","16","        Furniture and fixtures","B4616C0",518,531,530,518,478,485,496,515,524,521,531,543,561,570
"24","17","        Stone, clay, and glass products","B4617C0",561,578,576,565,530,519,524,543,547,562,562,569,572,581
"25","18","        Primary metal industries","B4618C0",733,763,767,753,720,682,675,693,700,706,707,711,697,696
"26","19","        Fabricated metal products","B4619C0",1394,1422,1435,1416,1345,1324,1337,1390,1443,1449,1484,1514,1518,1538
"27","20","        Industrial machinery and equipment","B4620C0",2049,2111,2128,2091,2022,1938,1938,1997,2085,2097,2167,2210,2136,2109
"28","21","        Electronic and other electric equipment","B4621C0",1763,1757,1741,1674,1589,1525,1522,1572,1615,1654,1684,1697,1656,1705
"29","22","        Motor vehicles and equipment","B4622C0",849,848,847,818,780,816,832,894,962,960,975,994,1017,1017
"30","23","        Other transportation equipment","B4623C0",1165,1186,1200,1183,1103,1016,919,850,817,821,855,902,872,835
"31","24","        Instruments and related products","B4624C0",961,1017,1006,981,953,911,881,853,835,849,860,864,841,836
"32","25","        Miscellaneous manufacturing industries","B4625C0",405,428,439,418,412,416,436,456,440,448,446,441,440,441
"33","26","      Nondurable goods","A4626C0",7752,7869,7912,7896,7757,7691,7766,7854,7804,7660,7630,7577,7442,7301
"34","27","        Food and kindred products","B4627C0",1594,1596,1599,1615,1629,1615,1637,1658,1661,1671,1678,1674,1683,1679
"35","28","        Tobacco products","B4628C0",54,54,51,51,49,47,45,43,41,40,40,39,36,34
"36","29","        Textile mill products","B4629C0",718,720,712,691,660,663,671,675,662,633,620,599,557,537
"37","30","        Apparel and other textile products","B4630C0",1086,1073,1070,1031,998,990,982,998,951,882,832,777,711,622
"38","31","        Paper and allied products","B4631C0",671,678,686,688,682,681,684,686,687,678,678,672,664,651
"39","32","        Printing and publishing","B4632C0",1461,1539,1560,1576,1532,1484,1512,1540,1549,1519,1544,1563,1552,1539
"40","33","        Chemicals and allied products","B4633C0",1013,1050,1062,1076,1073,1067,1062,1039,1032,1025,1021,1026,1026,1029
"41","34","        Petroleum and coal products","B4634C0",160,156,153,156,156,154,149,145,142,139,135,135,131,125
"42","35","        Rubber and miscellaneous plastics products","B4635C0",848,856,874,875,855,870,903,952,968,971,991,1006,1001,1007
"43","36","        Leather and leather products","B4636C0",147,147,145,137,123,120,121,118,111,102,91,86,81,77
