"","Table 5#3#6# Real Private Fixed Investment by Type, Chained Doll","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 30, 2006    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/29/2006 5:21:13 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","    Private fixed investment","A007RX1",886.6,829.1,878.3,953.5,1042.3,1109.6,1209.2,1320.6,1455,1576.3,1679,1629.4,1544.6,1600,1755.1,1897.1
"9","2","Nonresidential","A008RX1",595.1,563.2,581.3,631.9,689.9,762.5,833.6,934.2,1037.8,1133.3,1232.1,1180.5,1071.5,1085,1186.7,1289
"10","3","  Structures","B009RX1",275.2,244.6,229.9,228.3,232.3,247.1,261.1,280.1,294.5,293.2,313.2,306.1,253.8,243.1,248.4,253.4
"11","4","    Commercial and health care","W001RX1",119.6,92.9,86.4,89.9,94.1,99.7,107.4,118.6,125.4,129.4,137.6,130.3,109.8,102.8,105,105.2
"12","5","    Manufacturing","C307RX1",45.4,41.8,38.4,30.2,35.7,42.1,44.2,42.3,43.7,33.9,31.8,28.5,16.7,15.4,16.2,18.8
"13","6","    Power and communication","W003RX1",33.4,39.6,42,39.3,35.6,36.3,31.3,30.1,34.7,40.8,46.8,48.2,47.1,40.5,35.7,32.5
"14","7","    Mining exploration, shafts, and wells","B318RX1",26.6,26,21.5,24.8,23.9,20.3,21.5,25.3,23.3,21.3,27.2,32,24.5,28.8,33.5,39.1
"15","8","    Other structures \1\","W004RX1",50.4,43.8,40.6,43.8,42.8,47.9,56.4,63.9,67.4,67.9,69.9,66.6,55.9,53.6,53.9,50.9
"16","9","  Equipment and software","B010RX1",355,345.9,371.1,417.4,467.2,523.1,578.7,658.3,745.6,840.2,918.9,874.2,820.2,846.8,947.6,1050.8
"17","10","    Information processing equipment and software","A679RX1",100.7,105.9,122.2,138.2,155.7,182.7,218.9,269.9,328.9,398.5,467.6,459,437.4,459.7,522.4,590.6
"18","11","      Computers and peripheral equipment \2\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","12","      Software \3\","B985RX1",39.9,45.1,53,59.3,65.1,71.6,84.1,108.8,129.4,157.2,176.2,173.8,169.7,175.7,188.8,209.9
"20","13","      Other \4\","A937RX1",80.1,79.6,84.4,90.9,99.4,107,117.2,127.3,143.2,158,190,181.7,161.1,166.2,188.9,198.7
"21","14","    Industrial equipment","A680RX1",109.2,102.2,104,112.9,122.9,134.9,139.9,143,148.1,147.9,159.2,145.7,134.5,134.9,139.4,149.1
"22","15","    Transportation equipment","A681RX1",81,78.8,80.2,95.1,111.4,120.6,125.4,135.9,145.4,167.7,160.8,142.8,126,123.1,138.7,157
"23","16","    Other equipment \5\","A862RX1",96,82,81.6,89.3,96.5,101.7,105.6,115.8,125.7,126.7,131.2,126.9,122.9,130.7,150,159.9
"24","17","Residential","A011RX1",298.9,270.2,307.6,332.7,364.8,353.1,381.3,388.6,418.3,443.6,446.9,448.5,469.9,509.4,561.8,601.9
"25","18","  Structures","A012RX1",292.6,264,301.4,326.4,358.6,346.8,375.1,382.4,411.9,436.6,439.5,441.1,462.2,501.3,552.9,592.5
"26","19","    Permanent site","A943RX1",181.3,156.1,182,194.3,217.6,203.2,222.3,223.5,244.7,262.9,265,266.6,277.3,304.5,340.9,365.4
"27","20","      Single family","A944RX1",154.2,135.1,164.1,179.7,198.9,180.6,197.3,196.6,218.1,234.2,236.8,237.1,246.3,272.6,307.5,326.9
"28","21","      Multifamily","C292RX1",26.7,20.6,17.5,14.1,18.2,22.6,25,26.9,26.6,28.7,28.3,29.5,31,31.9,33.2,38.5
"29","22","    Other structures \6\","A863RX1",111.6,107.8,119.5,132.1,141.2,143.4,152.8,158.8,167.1,173.6,174.5,174.5,184.9,196.8,211.8,226.9
"30","23","  Equipment","B013RX1",6,5.8,6,6.1,6.1,6.2,6.2,6.1,6.4,7,7.4,7.4,7.7,8.1,8.9,9.3
"31","24","Residual","A972RX1",-99,-78,-69,-64.4,-62.5,-44.8,-33.3,-19.7,-8.6,-1.7,-0.1,0.5,-2.4,-3.7,-12.8,-33.5
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  Private fixed investment in structures","A349RX1",567.2,508.1,531.2,554.8,591.3,594,636.4,662.6,706.4,729.7,752.7,747.2,715.4,743.4,800.1,844.5
"34","26","  Private fixed investment in equipment and software","A327RX1",360.7,351.3,376.8,423.3,473.1,529.2,584.8,664.4,752,847.2,926.2,881.6,827.9,854.9,956.6,1060.1
"35","27","  Private fixed investment in new structures \7\","W040RX1",538.5,478.6,499.1,522.2,556.2,558.1,596.2,617.7,656.2,676,697.1,688.2,654.7,675.4,720.8,756.8
"36","28","    Nonresidential structures","A771RX1",275.3,244.9,230.3,228.4,232.3,246.9,260.4,278.2,293.5,292.3,312.1,302.3,253.6,243,248,253.2
"37","29","    Residential structures","A756RX1",263.7,234.1,268.9,293.6,323.6,311.1,335.7,339.4,362.6,383.7,385,385.9,401.8,433.5,473.9,505
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. The quantity index for computers can be used to accurately measure the real growth rate of this component.  However,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","because computers exhibit rapid changes in prices relative to other prices in the economy, the chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","should not be used to measure the component's relative importance or its contribution to the growth rate of more aggregate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","series; accurate estimates of these contributions are shown in table 5.3.2 and real growth rates are shown in table 5.3.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","6. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","7. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Note. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","more than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
