"","Table 1#4#5# Relation of Gross Domestic Product, Gross Domestic ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","Gross domestic product","A191RC1","237,153.0","240,401.0","244,490.0","254,322.0","260,304.0","267,268.0","273,789.0","275,111.0","269,939.0","266,196.0","267,629.0","265,162.0","275,195.0","284,515.0","301,928.0","313,326.0","328,966.0","336,629.0","343,513.0","347,929.0","351,208.0","352,137.0","358,496.0","371,360.0","378,365.0","381,958.0","381,099.0","375,883.0","375,249.0","375,957.0","380,791.0","389,426.0","402,577.0","410,871.0","419,446.0","425,984.0","428,278.0","434,157.0","439,191.0","448,082.0","457,167.0","459,163.0","466,391.0","461,507.0","453,931.0","458,039.0","471,719.0","484,983.0","495,480.0","508,481.0","509,312.0","513,238.0","526,972.0","526,165.0","528,961.0","523,652.0","527,967.0","539,035.0","549,450.0","562,580.0","576,050.0","583,229.0","590,022.0","593,322.0","602,455.0","611,175.0","623,932.0","633,460.0","649,619.0","658,855.0","670,468.0","675,614.0","695,674.0","708,148.0","725,191.0","747,455.0","770,755.0","779,925.0","793,148.0","806,926.0","817,766.0","822,304.0","836,998.0","852,701.0","879,784.0","904,093.0","919,264.0","936,219.0","960,878.0","976,099.0","996,303.0"
"21","2","Less: Exports of goods and services","B020RC1","18,394.0","19,497.0","19,433.0","17,636.0","16,917.0","15,241.0","15,405.0","14,625.0","16,082.0","15,647.0","14,115.0","12,091.0","11,704.0","11,872.0","12,293.0","13,531.0","15,043.0","17,121.0","18,052.0","18,180.0","18,679.0","16,581.0","15,246.0","15,329.0","15,128.0","15,196.0","15,755.0","15,172.0","14,424.0","16,438.0","15,878.0","16,605.0","17,273.0","16,942.0","18,145.0","18,349.0","19,365.0","20,882.0","21,822.0","23,068.0","24,919.0","24,369.0","23,759.0","23,022.0","20,534.0","20,546.0","20,595.0","20,563.0","21,801.0","22,556.0","23,466.0","23,078.0","26,005.0","27,614.0","27,044.0","27,516.0","27,455.0","27,432.0","27,235.0","28,286.0","28,264.0","30,684.0","28,950.0","28,363.0","29,069.0","32,423.0","30,619.0","32,187.0","34,242.0","34,797.0","34,805.0","36,233.0","33,057.0","39,135.0","36,931.0","39,461.0","39,406.0","41,472.0","40,377.0","42,425.0","43,995.0","43,540.0","42,439.0","43,892.0","45,498.0","47,358.0","49,529.0","49,238.0","43,974.0","53,915.0","53,340.0"
"22","3","Plus: Imports of goods and services","B021RC1","7,519.0","8,203.0","7,663.0","8,347.0","9,624.0","10,036.0","10,456.0","10,124.0","9,604.0","9,364.0","8,936.0","9,092.0","9,501.0","10,229.0","13,033.0","13,685.0","14,866.0","15,178.0","14,310.0","13,990.0","14,958.0","14,630.0","15,250.0","16,342.0","15,795.0","16,447.0","16,307.0","15,507.0","14,780.0","16,184.0","15,304.0","15,460.0","16,169.0","17,097.0","17,421.0","18,109.0","18,925.0","18,973.0","19,253.0","18,541.0","20,100.0","20,270.0","19,762.0","19,634.0","19,455.0","20,075.0","19,739.0","20,823.0","21,396.0","22,544.0","22,868.0","22,504.0","23,288.0","23,455.0","22,879.0","21,742.0","21,658.0","21,899.0","23,326.0","23,870.0","24,314.0","24,884.0","25,111.0","25,550.0","25,185.0","25,890.0","26,704.0","26,764.0","26,978.0","27,726.0","28,429.0","29,285.0","28,457.0","31,679.0","32,030.0","33,948.0","34,990.0","36,240.0","38,171.0","38,829.0","39,432.0","39,020.0","39,543.0","41,653.0","44,399.0","45,416.0","48,241.0","48,171.0","43,803.0","52,671.0","52,364.0"
"23","4","Equals: Gross domestic purchases","A712RC1","226,278.0","229,107.0","232,720.0","245,033.0","253,011.0","262,063.0","268,840.0","270,610.0","263,461.0","259,913.0","262,450.0","262,163.0","272,992.0","282,872.0","302,668.0","313,480.0","328,789.0","334,686.0","339,771.0","343,739.0","347,487.0","350,186.0","358,500.0","372,373.0","379,032.0","383,209.0","381,651.0","376,218.0","375,605.0","375,703.0","380,217.0","388,281.0","401,473.0","411,026.0","418,722.0","425,744.0","427,838.0","432,248.0","436,622.0","443,555.0","452,348.0","455,064.0","462,394.0","458,119.0","452,852.0","457,568.0","470,863.0","485,243.0","495,075.0","508,469.0","508,714.0","512,664.0","524,255.0","522,006.0","524,796.0","517,878.0","522,170.0","533,502.0","545,541.0","558,164.0","572,100.0","577,429.0","586,183.0","590,509.0","598,571.0","604,642.0","620,017.0","628,037.0","642,355.0","651,784.0","664,092.0","668,666.0","691,074.0","700,692.0","720,290.0","741,942.0","766,339.0","774,693.0","790,942.0","803,330.0","813,203.0","817,784.0","834,102.0","850,462.0","878,685.0","902,151.0","917,976.0","935,152.0","960,707.0","974,855.0","995,327.0"
"24","5","Less: Change in private inventories","A014RC1","495.0","-1,240.0","-2,917.0","1,456.0","3,626.0","5,859.0","7,152.0","5,997.0","388.0","-5,148.0","-1,307.0","-4,699.0","2,024.0","2,833.0","4,177.0","14,044.0","10,386.0","14,792.0","9,740.0","4,719.0","4,732.0","-1,523.0","5,574.0","5,274.0","3,890.0","3,577.0","2,331.0","-2,006.0","-1,966.0","-3,378.0","-2,091.0","-316.0","3,804.0","4,620.0","4,295.0","7,233.0","6,398.0","3,585.0","3,569.0","2,244.0","2,162.0","2,657.0","2,808.0","-4,518.0","-4,009.0","-4,235.0","1,547.0","5,235.0","3,876.0","7,288.0","384.0","4,120.0","11,200.0","3,224.0","4,320.0","-5,812.0","-2,548.0","1,792.0","6,656.0","5,996.0","9,408.0","5,444.0","6,188.0","3,364.0","6,868.0","4,836.0","5,716.0","5,064.0","5,124.0","4,456.0","4,692.0","5,016.0","11,544.0","8,568.0","9,292.0","7,584.0","13,872.0","12,316.0","11,852.0","16,504.0","15,423.0","6,341.0","9,263.0","8,433.0","8,438.0","14,082.0","7,681.0","6,007.0","11,489.0","9,222.0","10,194.0"
"25","6","Equals: Final sales to domestic purchasers","A713RC1","225,783.0","230,347.0","235,637.0","243,577.0","249,385.0","256,204.0","261,688.0","264,613.0","263,073.0","265,061.0","263,757.0","266,862.0","270,968.0","280,039.0","298,491.0","299,436.0","318,403.0","319,894.0","330,031.0","339,020.0","342,755.0","351,709.0","352,926.0","367,099.0","375,142.0","379,632.0","379,320.0","378,224.0","377,571.0","379,081.0","382,308.0","388,597.0","397,669.0","406,406.0","414,427.0","418,511.0","421,440.0","428,663.0","433,053.0","441,311.0","450,186.0","452,407.0","459,586.0","462,637.0","456,861.0","461,803.0","469,316.0","480,008.0","491,199.0","501,181.0","508,330.0","508,544.0","513,055.0","518,782.0","520,476.0","523,690.0","524,718.0","531,710.0","538,885.0","552,168.0","562,692.0","571,985.0","579,995.0","587,145.0","591,703.0","599,806.0","614,301.0","622,973.0","637,231.0","647,328.0","659,400.0","663,650.0","679,530.0","692,124.0","710,998.0","734,358.0","752,467.0","762,377.0","779,090.0","786,826.0","797,780.0","811,443.0","824,839.0","842,029.0","870,247.0","888,069.0","910,295.0","929,145.0","949,218.0","965,633.0","985,133.0"
"26",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","7","  Final sales of domestic product","A190RC1","236,658.0","241,641.0","247,407.0","252,866.0","256,678.0","261,409.0","266,637.0","269,114.0","269,551.0","271,344.0","268,936.0","269,861.0","273,171.0","281,682.0","297,751.0","299,282.0","318,580.0","321,837.0","333,773.0","343,210.0","346,476.0","353,660.0","352,922.0","366,086.0","374,475.0","378,381.0","378,768.0","377,889.0","377,215.0","379,335.0","382,882.0","389,742.0","398,773.0","406,251.0","415,151.0","418,751.0","421,880.0","430,572.0","435,622.0","445,838.0","455,005.0","456,506.0","463,583.0","466,025.0","457,940.0","462,274.0","470,172.0","479,748.0","491,604.0","501,193.0","508,928.0","509,118.0","515,772.0","522,941.0","524,641.0","529,464.0","530,515.0","537,243.0","542,794.0","556,584.0","566,642.0","577,785.0","583,834.0","589,958.0","595,587.0","606,339.0","618,216.0","628,396.0","644,495.0","654,399.0","665,776.0","670,598.0","684,130.0","699,580.0","715,899.0","739,871.0","756,883.0","767,609.0","781,296.0","790,422.0","802,343.0","815,963.0","827,735.0","844,268.0","871,346.0","890,011.0","911,583.0","930,212.0","949,389.0","966,877.0","986,109.0"
