"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Personal consumption expenditures (PCE)","DPCERX1","6,001,559.0","6,050,772.0","6,104,855.0","6,147,779.0","6,204,030.0","6,274,207.0","6,311,769.0","6,363,171.0","6,427,255.0","6,453,309.0","6,563,022.0","6,638,118.0","6,704,142.0","6,819,450.0","6,909,933.0","7,015,865.0","7,085,102.0","7,196,588.0","7,283,078.0","7,385,821.0","7,497,840.0","7,568,331.0","7,642,397.0","7,710,029.0","7,740,773.0","7,770,004.0","7,804,168.0","7,926,381.0","7,953,699.0","7,994,117.0","8,048,318.0","8,076,883.0","8,117,708.0","8,198,142.0","8,308,497.0","8,353,651.0","8,427,642.0","8,465,058.0","8,539,101.0","8,631,300.0","8,700,093.0","8,786,193.0","8,852,897.0","8,874,916.0","8,965,782.0","9,019,830.0","9,073,890.0","9,158,313.0","9,209,211.0","9,244,546.0","9,285,236.0","9,312,592.0","9,289,074.0","9,285,780.0","9,195,964.0","9,076,039.0","9,040,884.0","8,998,541.0","9,050,293.0","9,060,177.0","9,121,193.0","9,186,916.0","9,247,087.0","9,328,389.0","9,376,739.0","9,392,744.0","9,433,500.0"
"21","2","Goods","DGDSRX1","1,870,614.0","1,883,232.0","1,906,044.0","1,924,045.0","1,939,453.0","1,977,272.0","1,991,326.0","2,015,478.0","2,042,662.0","2,041,102.0","2,094,486.0","2,123,089.0","2,139,590.0","2,195,828.0","2,229,339.0","2,297,414.0","2,325,919.0","2,380,956.0","2,409,629.0","2,451,543.0","2,488,956.0","2,502,608.0","2,529,323.0","2,551,895.0","2,558,569.0","2,565,931.0","2,585,226.0","2,679,446.0","2,674,102.0","2,686,844.0","2,721,390.0","2,729,079.0","2,747,510.0","2,798,197.0","2,872,687.0","2,890,440.0","2,920,603.0","2,927,138.0","2,962,977.0","3,002,384.0","3,035,370.0","3,077,236.0","3,100,924.0","3,093,376.0","3,146,785.0","3,157,734.0","3,184,459.0","3,226,706.0","3,247,643.0","3,263,023.0","3,287,336.0","3,295,815.0","3,248,989.0","3,252,676.0","3,187,944.0","3,081,980.0","3,082,584.0","3,064,334.0","3,120,715.0","3,124,564.0","3,173,307.0","3,202,864.0","3,240,813.0","3,306,005.0","3,344,410.0","3,331,236.0","3,342,734.0"
"22","3","  Durable goods","DDURRX1","497,326.0","502,383.0","516,565.0","525,538.0","531,244.0","548,145.0","552,026.0","562,807.0","578,055.0","576,190.0","601,881.0","617,239.0","622,411.0","654,147.0","673,033.0","712,983.0","714,746.0","749,120.0","767,361.0","776,903.0","820,606.0","805,838.0","819,772.0","825,801.0","839,800.0","839,383.0","849,543.0","920,908.0","910,357.0","919,932.0","946,874.0","934,405.0","937,172.0","975,919.0","1,016,893.0","1,026,538.0","1,040,919.0","1,047,456.0","1,068,178.0","1,087,199.0","1,098,695.0","1,130,582.0","1,146,642.0","1,117,488.0","1,160,885.0","1,161,781.0","1,178,979.0","1,195,214.0","1,210,070.0","1,227,048.0","1,242,747.0","1,249,906.0","1,218,707.0","1,209,775.0","1,170,776.0","1,087,977.0","1,094,568.0","1,083,358.0","1,134,512.0","1,120,769.0","1,147,466.0","1,169,260.0","1,194,057.0","1,242,425.0","1,277,358.0","1,260,171.0","1,277,779.0"
"23","4","    Motor vehicles and parts","DMOTRX1","251,538.0","251,337.0","257,558.0","261,940.0","264,646.0","268,772.0","268,149.0","270,390.0","282,467.0","272,833.0","290,690.0","298,465.0","289,801.0","312,148.0","316,404.0","345,768.0","329,603.0","353,079.0","354,135.0","343,667.0","372,865.0","346,086.0","352,221.0","353,238.0","363,089.0","356,970.0","361,233.0","415,914.0","386,285.0","388,432.0","412,879.0","388,436.0","388,487.0","404,904.0","416,953.0","408,675.0","408,505.0","406,507.0","411,502.0","415,225.0","407,633.0","422,393.0","426,298.0","376,440.0","391,038.0","391,067.0","398,165.0","397,267.0","399,440.0","405,137.0","401,846.0","399,317.0","381,945.0","360,740.0","340,847.0","303,781.0","316,237.0","312,420.0","344,549.0","316,728.0","315,923.0","321,353.0","328,031.0","354,925.0","368,217.0","342,105.0","343,490.0"
"24","5","    Furnishings and durable household equipment","DFDHRX1","130,826.0","131,989.0","133,924.0","135,496.0","134,401.0","139,234.0","139,308.0","142,352.0","142,830.0","143,383.0","146,577.0","148,520.0","152,444.0","154,839.0","158,412.0","163,551.0","168,315.0","172,301.0","177,991.0","183,593.0","188,207.0","191,827.0","194,371.0","195,514.0","198,437.0","200,218.0","202,145.0","208,266.0","214,858.0","216,702.0","216,384.0","220,092.0","218,734.0","226,119.0","234,033.0","237,608.0","241,669.0","244,585.0","249,660.0","252,921.0","254,985.0","258,349.0","263,169.0","268,622.0","274,862.0","271,269.0","272,108.0","271,933.0","274,975.0","272,808.0","274,403.0","275,216.0","268,852.0","271,407.0","261,935.0","248,899.0","241,229.0","236,916.0","239,803.0","244,468.0","252,645.0","259,241.0","261,415.0","267,038.0","269,349.0","271,390.0","275,124.0"
"25","6","    Recreational goods and vehicles","DREQRX1","70,879.0","73,041.0","77,438.0","79,458.0","81,434.0","85,936.0","88,428.0","91,571.0","94,475.0","98,423.0","102,494.0","106,008.0","111,215.0","116,729.0","124,251.0","129,989.0","135,954.0","142,569.0","149,731.0","156,810.0","166,793.0","169,188.0","173,566.0","177,434.0","180,404.0","185,505.0","189,818.0","199,504.0","206,742.0","210,053.0","212,882.0","217,311.0","221,404.0","231,538.0","246,390.0","255,745.0","264,015.0","269,606.0","278,637.0","286,456.0","299,333.0","309,116.0","316,060.0","326,753.0","344,156.0","348,387.0","357,957.0","374,347.0","382,733.0","392,528.0","408,847.0","419,404.0","415,758.0","428,396.0","421,822.0","398,840.0","401,609.0","396,670.0","411,816.0","426,856.0","441,985.0","452,142.0","465,838.0","478,543.0","495,861.0","506,525.0","521,176.0"
"26","7","    Other durable goods","DODGRX1","69,153.0","69,811.0","70,074.0","70,888.0","72,287.0","74,579.0","75,079.0","76,581.0","76,921.0","76,907.0","78,779.0","80,862.0","82,618.0","85,486.0","87,142.0","89,017.0","92,747.0","93,994.0","96,816.0","101,789.0","102,308.0","105,581.0","106,184.0","105,512.0","104,075.0","101,575.0","100,888.0","104,032.0","106,893.0","108,932.0","109,714.0","112,178.0","111,656.0","116,454.0","122,126.0","126,250.0","128,042.0","127,743.0","129,108.0","133,075.0","136,784.0","140,676.0","141,010.0","145,785.0","151,121.0","151,542.0","151,536.0","153,332.0","154,930.0","158,936.0","161,368.0","160,900.0","157,871.0","157,227.0","154,680.0","145,090.0","144,599.0","145,824.0","147,168.0","146,367.0","152,166.0","152,886.0","156,414.0","158,141.0","161,413.0","163,815.0","164,884.0"
"27","8","  Nondurable goods","DNDGRX1","1,427,990.0","1,435,010.0","1,440,106.0","1,447,534.0","1,456,906.0","1,475,627.0","1,486,125.0","1,498,160.0","1,507,269.0","1,508,098.0","1,532,374.0","1,543,149.0","1,554,551.0","1,573,754.0","1,585,358.0","1,607,043.0","1,636,729.0","1,652,095.0","1,659,955.0","1,693,953.0","1,679,332.0","1,712,882.0","1,724,532.0","1,741,381.0","1,731,226.0","1,739,494.0","1,747,918.0","1,763,045.0","1,770,210.0","1,772,485.0","1,777,504.0","1,800,015.0","1,815,979.0","1,825,152.0","1,856,935.0","1,864,778.0","1,880,423.0","1,880,279.0","1,895,099.0","1,915,419.0","1,937,024.0","1,946,685.0","1,954,373.0","1,975,417.0","1,986,138.0","1,996,052.0","2,005,920.0","2,031,869.0","2,038,210.0","2,037,499.0","2,046,914.0","2,049,014.0","2,032,057.0","2,043,501.0","2,015,433.0","1,985,291.0","1,980,332.0","1,972,821.0","1,982,657.0","1,997,673.0","2,021,125.0","2,030,761.0","2,045,835.0","2,067,432.0","2,075,433.0","2,076,556.0","2,073,703.0"
"28","9","    Food and beverages purchased for off-premises consumption","DFXARX1","549,823.0","547,134.0","547,199.0","549,583.0","552,077.0","554,672.0","553,628.0","555,394.0","559,307.0","556,384.0","559,688.0","559,694.0","559,175.0","563,705.0","567,518.0","571,460.0","578,192.0","583,955.0","588,985.0","598,058.0","592,086.0","600,847.0","601,630.0","607,502.0","605,330.0","609,321.0","607,197.0","608,230.0","605,706.0","606,687.0","609,069.0","614,278.0","618,462.0","612,728.0","619,455.0","615,470.0","621,934.0","619,133.0","623,496.0","630,844.0","639,152.0","639,139.0","646,528.0","653,152.0","654,842.0","662,057.0","662,969.0","672,125.0","673,222.0","669,531.0","672,426.0","677,591.0","672,920.0","674,538.0","666,507.0","650,155.0","646,989.0","654,751.0","660,817.0","666,806.0","671,628.0","667,219.0","672,810.0","680,772.0","682,090.0","684,132.0","683,889.0"
"29","10","    Clothing and footwear","DCLORX1","197,683.0","199,777.0","203,361.0","203,557.0","204,952.0","210,012.0","213,540.0","214,889.0","214,983.0","213,066.0","220,147.0","222,934.0","227,696.0","231,523.0","229,839.0","235,178.0","243,677.0","245,780.0","247,414.0","248,053.0","252,094.0","257,555.0","260,367.0","262,568.0","258,355.0","260,041.0","259,736.0","264,216.0","267,208.0","267,332.0","265,704.0","274,018.0","274,152.0","281,222.0","287,479.0","287,705.0","295,845.0","291,500.0","294,854.0","301,878.0","306,126.0","313,044.0","313,629.0","323,274.0","326,136.0","325,265.0","329,161.0","334,043.0","338,173.0","338,842.0","341,848.0","341,656.0","338,703.0","347,658.0","338,962.0","327,048.0","324,334.0","318,385.0","321,619.0","325,126.0","334,334.0","339,643.0","339,982.0","350,058.0","352,753.0","354,681.0","347,511.0"
"30","11","    Gasoline and other energy goods","DGOERX1","264,040.0","266,178.0","263,202.0","263,774.0","267,342.0","269,054.0","269,136.0","268,380.0","270,145.0","273,909.0","275,113.0","276,420.0","278,768.0","283,222.0","285,895.0","287,069.0","289,000.0","295,451.0","291,891.0","293,359.0","282,848.0","288,267.0","289,507.0","287,759.0","289,025.0","285,362.0","290,696.0","291,587.0","290,568.0","294,022.0","295,691.0","295,529.0","295,921.0","299,094.0","304,736.0","307,980.0","306,471.0","306,874.0","304,932.0","305,204.0","308,866.0","305,565.0","301,596.0","299,120.0","295,108.0","295,743.0","298,562.0","298,055.0","296,545.0","294,914.0","294,866.0","291,291.0","286,277.0","282,683.0","273,410.0","280,035.0","284,861.0","281,189.0","279,291.0","279,076.0","281,768.0","282,119.0","282,683.0","278,442.0","274,167.0","268,535.0","267,518.0"
"31","12","    Other nondurable goods","DONGRX1","436,850.0","442,142.0","443,952.0","448,276.0","450,968.0","458,934.0","465,530.0","474,341.0","478,223.0","482,077.0","492,547.0","498,656.0","502,714.0","509,412.0","517,502.0","526,967.0","536,972.0","539,983.0","542,618.0","564,570.0","558,247.0","571,962.0","578,251.0","587,549.0","583,757.0","588,529.0","595,262.0","603,051.0","609,513.0","608,563.0","611,668.0","619,054.0","629,723.0","634,363.0","647,520.0","656,357.0","657,699.0","664,464.0","672,637.0","677,817.0","683,195.0","688,690.0","692,300.0","700,122.0","710,762.0","713,756.0","715,899.0","728,950.0","732,040.0","736,327.0","740,150.0","741,415.0","737,486.0","744,458.0","744,548.0","732,227.0","728,391.0","721,375.0","723,752.0","729,745.0","737,284.0","746,360.0","754,812.0","764,506.0","774,427.0","779,589.0","784,530.0"
"32","13","Services","DSERRX1","4,159,368.0","4,196,972.0","4,226,884.0","4,250,772.0","4,292,389.0","4,320,936.0","4,344,033.0","4,369,583.0","4,405,131.0","4,435,023.0","4,487,758.0","4,533,441.0","4,583,861.0","4,639,757.0","4,696,136.0","4,728,838.0","4,768,790.0","4,822,691.0","4,880,612.0","4,940,434.0","5,015,169.0","5,073,450.0","5,120,478.0","5,165,412.0","5,189,696.0","5,211,730.0","5,225,766.0","5,249,012.0","5,283,041.0","5,310,922.0","5,329,550.0","5,350,442.0","5,372,383.0","5,401,084.0","5,435,935.0","5,463,303.0","5,507,144.0","5,538,192.0","5,576,321.0","5,629,045.0","5,664,753.0","5,708,969.0","5,751,957.0","5,781,516.0","5,819,090.0","5,862,066.0","5,889,472.0","5,931,941.0","5,961,973.0","5,982,035.0","5,998,841.0","6,017,750.0","6,039,748.0","6,032,854.0","6,006,502.0","5,988,840.0","5,953,477.0","5,928,637.0","5,926,827.0","5,932,878.0","5,947,430.0","5,984,292.0","6,008,121.0","6,027,469.0","6,039,087.0","6,067,003.0","6,096,098.0"
"33","14","  Household consumption expenditures (for services)","DHCERX1","4,021,739.0","4,058,066.0","4,087,369.0","4,108,438.0","4,145,223.0","4,171,968.0","4,193,919.0","4,223,321.0","4,267,015.0","4,297,936.0","4,350,853.0","4,394,569.0","4,440,390.0","4,491,600.0","4,542,404.0","4,569,593.0","4,608,405.0","4,661,149.0","4,717,870.0","4,775,717.0","4,844,967.0","4,902,635.0","4,942,909.0","4,982,379.0","5,005,683.0","5,023,675.0","5,034,347.0","5,053,329.0","5,083,627.0","5,106,536.0","5,116,782.0","5,132,147.0","5,155,150.0","5,181,174.0","5,216,620.0","5,244,656.0","5,287,297.0","5,320,317.0","5,359,996.0","5,412,650.0","5,460,733.0","5,500,724.0","5,539,820.0","5,559,087.0","5,593,879.0","5,630,673.0","5,648,281.0","5,689,731.0","5,721,583.0","5,744,559.0","5,752,461.0","5,762,197.0","5,775,918.0","5,765,084.0","5,734,418.0","5,707,123.0","5,676,346.0","5,657,048.0","5,653,532.0","5,655,164.0","5,668,116.0","5,702,586.0","5,730,617.0","5,754,730.0","5,765,938.0","5,793,236.0","5,816,550.0"
"34","15","    Housing and utilities","DHUTRX1","1,217,294.0","1,231,976.0","1,244,230.0","1,245,585.0","1,258,249.0","1,260,696.0","1,258,070.0","1,269,334.0","1,273,584.0","1,284,815.0","1,292,687.0","1,310,109.0","1,312,193.0","1,328,450.0","1,339,190.0","1,338,769.0","1,354,126.0","1,368,086.0","1,382,461.0","1,381,985.0","1,388,023.0","1,406,160.0","1,418,507.0","1,441,554.0","1,449,360.0","1,448,224.0","1,454,436.0","1,453,511.0","1,453,616.0","1,459,927.0","1,462,521.0","1,471,471.0","1,474,510.0","1,478,723.0","1,479,355.0","1,488,016.0","1,495,093.0","1,505,013.0","1,514,526.0","1,536,551.0","1,556,110.0","1,577,903.0","1,596,320.0","1,599,971.0","1,596,368.0","1,617,580.0","1,629,486.0","1,623,959.0","1,624,294.0","1,625,546.0","1,629,739.0","1,626,686.0","1,637,276.0","1,636,955.0","1,630,895.0","1,646,108.0","1,649,999.0","1,651,323.0","1,656,634.0","1,661,529.0","1,663,578.0","1,665,707.0","1,675,297.0","1,672,213.0","1,666,045.0","1,669,051.0","1,680,430.0"
"35","16","    Health care","DHLCRX1","940,372.0","944,718.0","950,403.0","954,888.0","955,314.0","964,714.0","968,297.0","980,432.0","985,708.0","991,032.0","1,001,313.0","1,010,819.0","1,023,439.0","1,028,306.0","1,033,019.0","1,033,692.0","1,035,916.0","1,040,026.0","1,048,463.0","1,058,390.0","1,064,562.0","1,078,623.0","1,085,962.0","1,097,414.0","1,113,241.0","1,125,858.0","1,142,462.0","1,160,708.0","1,183,589.0","1,200,448.0","1,209,719.0","1,216,036.0","1,220,887.0","1,223,646.0","1,230,887.0","1,237,906.0","1,246,884.0","1,260,332.0","1,276,382.0","1,286,159.0","1,302,458.0","1,306,263.0","1,312,837.0","1,314,004.0","1,327,991.0","1,332,289.0","1,329,842.0","1,341,707.0","1,356,339.0","1,360,860.0","1,364,949.0","1,373,991.0","1,385,725.0","1,395,698.0","1,401,943.0","1,402,525.0","1,409,109.0","1,421,574.0","1,429,062.0","1,432,828.0","1,424,063.0","1,438,150.0","1,446,910.0","1,462,284.0","1,464,348.0","1,474,526.0","1,472,284.0"
"36","17","    Transportation services","DTRSRX1","208,708.0","211,043.0","215,529.0","220,166.0","225,642.0","229,181.0","233,028.0","237,699.0","244,466.0","247,441.0","251,212.0","252,250.0","254,539.0","257,684.0","260,611.0","263,964.0","267,645.0","270,883.0","276,239.0","279,297.0","282,932.0","285,929.0","287,667.0","288,480.0","288,562.0","287,143.0","281,765.0","276,990.0","277,758.0","275,372.0","275,081.0","275,267.0","276,231.0","274,925.0","277,455.0","278,930.0","281,672.0","284,108.0","283,925.0","285,348.0","285,595.0","286,384.0","286,883.0","284,982.0","283,681.0","285,234.0","284,941.0","287,968.0","289,227.0","288,997.0","287,760.0","285,608.0","281,617.0","276,552.0","270,120.0","259,709.0","251,846.0","248,460.0","246,186.0","245,894.0","247,624.0","249,904.0","251,557.0","251,643.0","251,353.0","251,241.0","251,423.0"
"37","18","    Recreation services","DRCARX1","237,806.0","244,014.0","247,723.0","251,620.0","252,298.0","254,960.0","258,866.0","259,392.0","261,910.0","263,769.0","264,834.0","267,560.0","270,851.0","271,092.0","274,468.0","276,912.0","279,369.0","283,859.0","290,042.0","293,396.0","293,239.0","295,830.0","296,326.0","295,685.0","298,066.0","295,025.0","293,438.0","293,227.0","295,210.0","295,678.0","296,466.0","299,791.0","299,285.0","303,607.0","308,466.0","313,221.0","318,418.0","321,890.0","323,873.0","324,211.0","326,841.0","327,915.0","327,765.0","330,413.0","334,827.0","337,318.0","339,741.0","347,881.0","349,837.0","352,671.0","355,414.0","354,842.0","354,676.0","352,852.0","346,371.0","340,503.0","338,027.0","335,240.0","332,276.0","333,812.0","335,923.0","339,391.0","345,759.0","344,705.0","342,962.0","350,607.0","357,011.0"
"38","19","    Food services and accommodations","DFSARX1","415,417.0","416,110.0","416,683.0","415,878.0","415,954.0","418,038.0","418,642.0","422,431.0","426,606.0","426,476.0","431,009.0","428,027.0","432,801.0","438,148.0","439,809.0","445,960.0","444,461.0","447,152.0","448,957.0","459,507.0","466,997.0","471,108.0","472,773.0","471,252.0","474,768.0","470,157.0","467,621.0","466,955.0","473,799.0","477,484.0","478,392.0","479,185.0","482,646.0","491,840.0","500,203.0","505,236.0","510,748.0","511,559.0","516,377.0","521,629.0","525,291.0","532,551.0","536,181.0","541,601.0","550,713.0","547,058.0","550,342.0","558,427.0","556,866.0","557,501.0","558,396.0","563,523.0","556,727.0","559,212.0","553,575.0","546,053.0","538,636.0","533,395.0","532,323.0","532,706.0","543,512.0","549,201.0","553,240.0","558,155.0","567,593.0","569,101.0","572,819.0"
