"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of chained (2005) dollars; quarters and months are seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 23, 2011 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2011 9:40:20 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Personal consumption expenditures","DPCERX0",6076241,6288295,6520426,6862347,7237648,7604649,7810331,8018254,8244499,8515775,8803525,9054454,9262896,9211714,9037474,9220896
"9","2","Goods","DGDSRX0",1895984,1980882,2075335,2215543,2392012,2518195,2597293,2702854,2827208,2953276,3076726,3178921,3273454,3192897,3098049,3230747
"10","3","  Durable goods","DDURRX0",510453,548555,593341,665643,752033,818004,862409,927892,989131,1060938,1123352,1174215,1232443,1171809,1108302,1188302
"11","4","    Motor vehicles and parts","DMOTRX0",255593,267989,286114,316030,345121,356103,374302,394008,404755,410435,408191,394384,401435,346828,322484,330058
"12","5","      New motor vehicles (55)","DNMVRX0",144650,147195,155059,172343,192341,202823,222621,239623,251164,253675,248894,234558,237290,191278,169637,178726
"13","6","        New autos","DNEARX0",79620,78057,78518,83493,92480,97140,96186,94602,91652,92785,97448,99083,95589,85578,71574,68307
"14","7","          New domestic autos","DNDCRX0",54695,54298,51164,54788,60083,63638,64081,63283,60703,59800,63204,62293,59880,52900,45917,43552
"15","8","          New foreign autos","DNFCRX0",24925,23760,27354,28705,32398,33502,32106,31319,30948,32985,34244,36790,35709,32679,25657,24755
"16","9","        New light trucks","DNWTRX0",65027,69201,76653,88987,100009,105835,126493,145034,159487,160866,151447,135379,141750,105326,97991,110694
