"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2005) dollars; quarters and months are seasonally adjusted at annual rates]                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 03, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/3/2010 12:01:47 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8",NA,"Personal consumption expenditures by major type of product (From NIPA table 2.3.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Personal consumption expenditures (PCE)","DPCERX0",6079008,6291158,6523395,6865472,7240943,7608112,7813888,8021905,8247559,8532731,8818999,9073500,9289471,9265013,9153892
"10","2","Goods","DGDSRX0",1898594,1983610,2078193,2218594,2395306,2521663,2600869,2706576,2829850,2955285,3073917,3173862,3261594,3180349,3117431
"11","3","  Durable goods","DDURRX0",511639,549831,594720,667191,753781,819906,864413,930049,986132,1051025,1105493,1150416,1198550,1136430,1094557
"12","4","    Motor vehicles and parts","DMOTRX0",255612,268008,286134,316053,345146,356128,374328,394036,405282,411319,409647,396633,403865,348199,324002
"13","5","    Furnishings and durable household equipment","DFDHRX0",133034,138798,145300,157282,175517,192444,202229,216969,230627,249310,263892,277948,281464,271352,253923
"14","6","    Recreational goods and vehicles","DREQRX0",75603,87303,100883,121186,147043,172657,189811,212872,236960,269433,303352,343228,381223,393664,399343
"15","7","    Other durable goods","DODGRX0",70221,74886,78635,86360,96666,105255,102994,109803,115516,121705,128601,133375,134901,129941,126889
"16","8","  Nondurable goods","DNDGRX0",1437815,1479365,1522887,1580347,1660862,1714717,1745609,1780246,1845648,1904570,1968425,2023630,2064324,2041213,2017378
"17","9","    Food and beverages purchased for off-premises consumption","DFXARX0",548515,554024,558850,565548,587384,600605,607609,609025,622407,639228,665015,686245,697466,691599,685121
"18","10","    Clothing and footwear","DCLORX0",201043,210794,217727,231000,246168,258080,260520,268496,283421,297273,315542,331476,343811,341745,326807
"19","11","    Gasoline and other energy goods","DGOERX0",264326,268506,273925,283768,292456,287126,289198,293983,302154,306527,304824,298378,295909,282033,285498
"20","12","    Other nondurable goods","DONGRX0",442991,462637,488080,514365,546265,574243,592898,612456,640091,662633,683044,708409,729533,731256,723117
"21","13","Services","DSERRX0",4208206,4331433,4465027,4661823,4852793,5093272,5218687,5318118,5418406,5577583,5745081,5899719,6028283,6082303,6032658
"22","14","  Household consumption expenditures (for services)","DHCERX0",4068565,4183260,4327233,4510621,4690395,4917813,5028840,5109348,5198991,5359298,5531006,5664432,5783185,5816119,5777027
"23","15","    Housing and utilities","DHUTRX0",1234871,1261689,1290403,1329758,1371775,1413675,1451500,1462002,1480200,1512765,1582841,1616719,1626355,1638620,1656947
"24","16","    Health care","DHLCRX0",947494,967086,997112,1029504,1045587,1081525,1135446,1202320,1229418,1268646,1315952,1340006,1371574,1410015,1440397
"25","17","    Transportation services","DTRSRX0",213840,231365,248818,259174,273489,286224,283587,275842,276735,283227,285900,284986,288012,273066,250899
"26","18","    Recreation services","DRCARX0",245253,256339,264477,273288,286622,295224,294893,296740,305475,320710,326786,337452,351244,350040,341809
"27","19","    Food services and accommodations","DFSARX0",416034,418778,428042,439192,450032,470546,469889,477229,493562,508751,525308,541601,551205,547552,527732
"28","20","    Financial services and insurance","DIFSRX0",489422,507760,525226,558634,605623,665381,660732,658334,657795,691776,712619,735436,766388,770934,743014
"29","21","    Other services","DOTSRX0",524266,541943,574050,621661,656729,704151,732613,737029,755690,773452,781599,808301,828824,826538,816974
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",142294,150929,140557,153925,164993,177843,191406,209049,219345,218314,214076,235398,245325,267332,256028
"31","23","    Gross output of nonprofit institutions \2\","DNPERX0",636438,653417,663797,696725,720967,748991,785303,831110,844015,860604,874632,901014,922559,946805,952052
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",497148,505355,526771,545972,558609,573046,595154,622508,624537,642289,660557,665769,677520,680589,695967
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRX0",5126369,5321934,5543288,5862902,6202451,6548585,6745697,6941924,7141990,7402565,7658794,7905725,8111067,8114215,8002873
"35","26","  Energy goods and services \5\","DNRGRX0",428266,438397,441147,454168,463606,465598,464111,473793,485694,491747,495190,482710,483385,465253,470212
"36","27","  Market-based PCE \6\","DPCMRX0",5320139,5507862,5722912,6015054,6344959,6650461,6827962,7020181,7224208,7466477,7735911,7939484,8125865,8086487,8007987
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRX0",4370290,4541013,4744393,5013864,5307587,5592019,5760652,5940776,6119029,6336711,6576049,6772088,6947762,6935862,6857405
"38",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","      Personal consumption expenditures","DPCERX0",6079008,6291158,6523395,6865472,7240943,7608112,7813888,8021905,8247559,8532731,8818999,9073500,9289471,9265013,9153892
"40","30","Household consumption expenditures \7\","DPHCRX0",5938481,6142372,6383825,6712822,7077303,7431594,7623395,7813023,8028220,8314474,8604923,8838162,9044266,8998537,8898218
"41","31","  Food and beverages purchased for off-premises consumption","DFXARX0",548515,554024,558850,565548,587384,600605,607609,609025,622407,639228,665015,686245,697466,691599,685121
"42","32","  Clothing, footwear, and related services","DCAFRX0",216866,226869,234838,248790,264555,276750,278571,286063,300147,313635,331806,347984,360317,357573,341421
"43","33","  Housing, utilities, and fuels","DHUFRX0",1262081,1288484,1316030,1355466,1398563,1438484,1476373,1487494,1505326,1536852,1603867,1636157,1645354,1654489,1676733
"44","34","  Furnishings, household equipment, and routine household maintenance","DFHHRX0",249855,259539,272150,289996,312604,332386,340653,355988,376973,403505,423859,443515,453144,441902,414287
"45","35","  Health","DHLTRX0",1089632,1119330,1163192,1215055,1251230,1305365,1374456,1455805,1498397,1547292,1601456,1636120,1679514,1722005,1756472
"46","36","  Transportation","DTRNRX0",685269,721685,766505,820494,876060,900970,920866,938382,958564,976740,979344,960594,968030,890637,846079
"47","37","  Communication","DCMCRX0",90265,98412,108377,118837,134743,155670,166645,171788,176662,185905,192759,208459,227461,233817,234056
"48","38","  Recreation","DRRLRX0",390301,420500,452095,495109,551328,600580,623608,657757,699106,756057,807396,866662,926096,936965,929254
"49","39","  Education","DEDURX0",164586,168661,172997,177990,182418,188199,191001,186729,185295,181540,180657,181173,183339,185139,185233
"50","40","  Food services and accommodations","DFSARX0",416034,418778,428042,439192,450032,470546,469889,477229,493562,508751,525308,541601,551205,547552,527732
"51","41","  Financial services and insurance","DIFSRX0",489422,507760,525226,558634,605623,665381,660732,658334,657795,691776,712619,735436,766388,770934,743014
"52","42","  Other goods and services","DOISRX0",432156,447279,460279,479928,499799,518607,526958,537645,555858,572321,580925,591918,597920,593349,575732
"53","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRX0",-26861,-29825,-23649,-10116,-9558,-2952,3236,2144,3598,2407,-89,3901,-6029,-17354,-10546
"54","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",142294,150929,140557,153925,164993,177843,191406,209049,219345,218314,214076,235398,245325,267332,256028
"55","45","  Gross output of nonprofit institutions \2\","DNPERX0",636438,653417,663797,696725,720967,748991,785303,831110,844015,860604,874632,901014,922559,946805,952052
"56","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",497148,505355,526771,545972,558609,573046,595154,622508,624537,642289,660557,665769,677520,680589,695967
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
