"","Table 5#4#5BU# Private Fixed Investment in Structures by Type   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 31, 2008  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2008 3:31:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Private fixed investment in structures","A349RC0",577611,583663,600227,611200,623683,649615,663648,681033,685017,696679,702255,716241,736380,751877,756801,765850,772069,785927,806016,774040,771812,774194,769919,786204,801700,824670,857545,883095,907946,956231,986943,1010033,1047827,1084116,1115407,1145673,1175950,1175998,1151051,1128505,1117024,1114621,1101484,1070526,1041461,1045393,1038606
"10","2","Nonresidential","B009RC0",243085,243160,255172,259954,264154,277530,277494,281766,278291,282009,281642,286947,295201,310416,321081,326037,323865,325697,335793,305178,292244,280851,272089,271708,269936,279186,280171,279601,283988,293546,303413,312039,326893,333814,337292,352438,377425,405959,424384,433942,449611,469792,492928,508712,522734,549830,570209
"11","3","  Commercial and health care","W001RC0",103641,100114,106828,106633,109296,115772,115423,121302,121621,123871,125374,126384,129128,136088,141329,143657,143824,139373,131485,125016,122852,117887,114135,112191,109341,110426,113309,115525,115707,122906,125633,124194,129026,131187,132874,137206,143144,150382,157357,160115,167976,169810,177126,182649,182219,182729,180263
"12","4","    Office\1\","W031RC0",35812,34462,39252,41314,43127,46347,45720,50495,51910,51888,52463,50840,53545,59611,62647,65109,65095,60947,54250,48384,44359,41285,39259,37351,34254,33532,35142,37643,36479,37664,38290,38710,43238,43355,41696,43063,46533,51892,55462,56098,59417,58410,61882,65662,66114,66512,66918
"13","5","    Health care","W032RC0",19712,19078,19887,19616,19364,20319,20119,20049,20473,20291,20959,21038,20403,21670,22405,23091,22791,21828,21415,21780,23586,25084,25854,26504,26741,27377,26815,28079,28538,30246,29818,29623,30346,30861,33861,33169,33980,35511,36889,37768,38435,37954,39572,40622,40166,41457,41447
"14","6","      Hospitals and special care","C311RC0",15483,15009,15220,14676,14793,15654,15673,15518,15096,15164,15125,15404,14931,15848,16699,17420,17322,16977,16395,16366,18299,19573,20373,20748,20240,20624,20297,20696,20456,21319,21114,21259,21625,22062,24218,24389,25659,27452,29041,29932,30464,29733,30669,31786,31072,32055,32511
"15","7","        Hospitals","W033RC0",11781,11299,11227,10651,10627,10689,10688,10704,10959,10693,10606,10548,10361,10944,11960,12663,13286,12976,12432,12331,14209,15428,16418,16982,16672,17314,17149,17574,17431,18391,18411,18594,19071,19666,21674,21902,22907,24283,25484,26164,27045,26497,27390,28599,27519,27876,28431
"16","8","        Special care","W034RC0",3701,3710,3993,4025,4166,4964,4985,4814,4137,4471,4519,4856,4571,4903,4739,4757,4036,4000,3963,4035,4090,4145,3956,3766,3568,3310,3148,3122,3025,2928,2703,2665,2554,2396,2544,2487,2752,3169,3557,3768,3418,3236,3279,3188,3553,4179,4080
"17","9","      Medical buildings","W035RC0",4230,4069,4667,4940,4571,4665,4446,4531,5377,5127,5834,5634,5472,5823,5706,5671,5470,4851,5020,5414,5288,5511,5480,5756,6501,6753,6518,7382,8082,8927,8704,8364,8721,8800,9643,8780,8321,8059,7848,7836,7971,8221,8903,8836,9094,9402,8936
"18","10","    Multimerchandise shopping","W036RC0",12166,11199,11715,11085,11613,12664,12783,13270,14053,14637,14673,14486,14349,13412,14048,14813,15771,15911,15459,15033,15873,14973,14233,14088,13933,14461,14917,15168,16076,17693,19008,18719,19620,20402,21859,24509,26332,27632,29084,27903,30349,32001,32900,34805,32985,32211,33057
"19","11","    Food and beverage establishments","W037RC0",8634,7410,8283,8202,8540,9195,8380,8509,6843,8130,7912,8545,8619,8573,8271,7901,7669,8040,9289,8286,7451,7361,7353,7888,8052,7627,7848,8253,7877,8357,8122,6903,7795,7657,6707,7441,7450,6805,7085,6920,6919,7313,8310,7567,8827,8884,7407
"20","12","    Warehouses","W038RC0",11962,12220,12224,11300,11244,11461,12496,13018,12933,12792,12910,13395,13773,13813,14020,14678,15222,15700,14798,13864,13053,11491,10312,10363,11277,11656,12373,11605,10836,11323,12272,11451,11808,12056,12205,12674,13154,13160,13953,14796,15156,16203,15308,15533,16014,15570,14943
"21","13","    Other commercial\2\","W039RC0",15355,15746,15467,15117,15408,15785,15925,15960,15408,16132,16455,18079,18439,19008,19939,18064,17276,16947,16274,17670,18530,17692,17124,15998,15083,15772,16214,14778,15900,17621,18121,18788,16219,16855,16545,16350,15694,15382,14883,16631,17700,17929,19154,18459,18113,18094,16492
"22","14","  Manufacturing","C307RC0",37252,36180,38982,38082,40809,41124,40300,39695,36315,32936,31526,29748,30579,32861,31765,31995,33090,31120,30141,23765,20357,18373,16259,16053,15637,16987,17198,17131,16996,16973,18283,21671,22915,22576,23483,24379,25186,27482,29088,27841,29584,31602,33420,37294,38881,48370,53494
"23","15","  Power and communication","W003RC0",27517,28194,29319,30082,32786,33628,33890,33901,35368,37742,41323,43731,44068,45588,47945,49627,44848,48722,50799,54143,55797,50170,45665,46531,47382,45370,42673,41373,40911,36021,38155,41260,41033,40485,40213,41962,46982,46364,48975,51115,54569,61287,65020,68157,72621,74179,74797
"24","16","    Power","W028RC0",15618,15805,16472,17553,19998,21013,21583,21717,20122,20408,21280,22734,25890,27569,28861,29712,25520,27877,31208,35522,36599,31320,27843,28865,35645,33198,30462,29225,29386,23569,24732,27013,25264,24903,24639,25961,29147,28497,30172,31540,33706,38851,42095,44416,49718,51864,53974
"25","17","      Electric","C571RC0",11071,11207,11397,11625,11938,12209,12508,12869,12756,13679,15060,16845,19872,21617,22923,23740,19569,21820,24923,28901,29489,23805,20028,20866,27895,25429,22430,20671,21848,16617,18077,20438,18459,17883,17416,18554,21574,20558,21641,22147,23101,27159,29563,31414,36858,39047,41350
"26","18","      Other power","W029RC0",4547,4598,5075,5928,8060,8804,9075,8848,7366,6729,6220,5889,6018,5951,5939,5972,5952,6058,6285,6621,7110,7515,7815,7999,7749,7769,8032,8554,7538,6952,6655,6575,6805,7021,7223,7407,7573,7939,8531,9393,10605,11692,12532,13003,12861,12817,12623
"27","19","    Communication","C314RC0",11899,12388,12848,12529,12788,12614,12306,12184,15246,17333,20043,20997,18178,18019,19083,19915,19328,20844,19591,18620,19198,18849,17823,17666,11737,12172,12210,12148,11525,12452,13423,14247,15769,15582,15574,16001,17834,17866,18803,19575,20863,22436,22925,23741,22903,22315,20823
"28","20","  Mining exploration, shafts, and wells","E318RC0",21069,22437,22408,23633,23295,24587,24175,21702,19779,20933,19559,22055,23249,26007,28496,30924,35754,39782,43514,37591,31997,33427,38013,39070,41279,46674,48116,46837,51192,54756,56751,59903,69547,76818,76886,83222,93974,108056,113571,115869,115394,116237,120659,119999,124995,136058,152951
"29","21","    Petroleum and natural gas","C319RC0",19571,20979,21012,22318,22098,23476,23135,20714,18840,19984,18564,20982,22012,24691,27129,29540,34415,38495,42279,36399,30313,31439,35925,37083,39596,45172,46651,45255,49229,52461,54188,57145,66796,73966,73821,79836,89985,103751,109013,111122,110524,111293,115692,115056,120463,131600,148291
"30","22","    Mining","C320RC0",1498,1458,1396,1316,1197,1111,1040,988,939,949,995,1073,1236,1316,1367,1384,1338,1287,1235,1192,1684,1988,2088,1986,1684,1502,1465,1582,1964,2296,2563,2759,2752,2852,3065,3385,3989,4306,4558,4747,4870,4944,4967,4943,4532,4457,4660
"31","23","  Other structures","W004RC0",53606,56236,57635,61523,57969,62420,63706,65166,65208,66528,63861,65030,68177,69873,71545,69833,66349,66700,79853,64664,61241,60994,58017,57864,56297,59730,58875,58735,59182,62889,64590,65010,64371,62748,63836,65670,68139,73674,75393,79002,82088,90856,96703,100613,104016,108495,108705
"32","24","    Religious","C309RC0",5163,5596,5577,6156,6344,5868,6411,7067,7260,7227,7059,7127,7752,7718,7904,7862,7859,8131,8377,8282,8330,8192,7880,8021,8326,8390,8511,8067,7544,7981,8093,8096,7859,7479,7424,7249,7553,7610,7398,7547,7521,7205,7291,6882,6843,6611,6604
