"","Table 6#3D# Wage and Salary Accruals by Industry","F2","F3","F4","F5","F6","F7","F8"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2002",NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA
"5","File created 5/27/2004 11:16:40 AM",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002
"8","1","      Wage and salary accruals","A034RC0",4182719,4471400,4829240,4942873,4974557
"9","2","Domestic industries","A4102C0",4187282,4476613,4833832,4947891,4979805
"10","3","  Private industries","A4103C0",3490020,3747305,4059131,4132134,4119908
"11","4","    Agriculture, forestry, fishing, and hunting","N4104C0",27614,29085,30533,31667,31805
"12","5","      Farms \1\","N4105C0",15882,16167,16971,17758,17509
"13","6","      Forestry, fishing, and related activities","N4106C0",11731,12918,13563,13909,14296
"14","7","    Mining","N4107C0",28741,27745,29777,32097,30744
"15","8","      Oil and gas extraction","N4108C0",10022,10129,11009,11563,11393
"16","9","      Mining, except oil and gas","N4109C0",10972,10842,10674,10869,10478
"17","10","      Support activities for mining","N4110C0",7747,6773,8094,9665,8872
"18","11","    Utilities","N4111C0",33838,35052,38102,39561,40111
"19","12","    Construction","N4112C0",210911,234801,256898,271776,272654
"20","13","    Manufacturing","N4113C0",674310,697649,749334,709077,675740
"21","14","      Durable goods","N4114C0",443143,462858,503564,469557,440651
"22","15","        Wood products","N4115C0",16919,17832,18408,17660,17619
"23","16","        Nonmetallic mineral products","N4116C0",18602,19599,21186,20988,20646
"24","17","        Primary metals","N4117C0",26677,27096,27962,25652,23260
"25","18","        Fabricated metal products","N4118C0",60245,61360,65509,62805,59687
"26","19","        Machinery","N4119C0",62997,62811,66549,62052,57127
"27","20","        Computer and electronic products","N4120C0",98102,106880,129408,113210,98224
"28","21","        Electrical equipment, appliance, and components","N4121C0",21050,22199,24287,22381,20602
"29","22","        Motor vehicles, bodies and trailers, and parts","N4122C0",57396,61653,63816,58383,58709
"30","23","        Other transportation equipment","N4123C0",39139,38992,38735,39380,38486
"31","24","        Furniture and related products","N4124C0",17059,18161,19683,18848,18246
"32","25","        Miscellaneous manufacturing","N4125C0",24957,26274,28021,28200,28045
"33","26","      Nondurable goods","N4126C0",231166,234791,245771,239519,235089
"34","27","        Food and beverage and tobacco products","N4127C0",53307,54788,58651,59591,60234
"35","28","        Textile mills and textile product mills","N4129C0",16737,16527,16947,15378,14621
"36","29","        Apparel and leather and allied products","N4130C0",14904,13767,13336,11957,10752
"37","30","        Paper products","N4132C0",25924,26486,27165,26434,25783
"38","31","        Printing and related support activities","N4133C0",28058,28764,29874,28646,27139
"39","32","        Petroleum and coal products","N4134C0",7849,7506,7506,7651,7709
"40","33","        Chemical products","N4135C0",53550,55415,58984,58053,57582
"41","34","        Plastics and rubber products","N4136C0",30837,31537,33308,31811,31270
