"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 27, 2004      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/27/2004 11:19:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",755.8,748.6,713.6,863.6,880.1,901.9,899.8,934.9,927.1,1022.8,1124.2,1205.6,1220
"10","2","Domestic industries","A445RC1",606.5,595.8,569.6,663.8,728.8,757.8,748.7,767.9,778.4,874.3,966.5,1000.4,1036.7
"11","3","  Financial \1\","N587RC1",210.2,201.2,194.1,247.7,271.7,263.5,252.5,248.6,268.4,279.6,299.2,304.4,334.7
"12","4","  Nonfinancial","N463RC1",396.2,394.6,375.5,416.1,457.2,494.3,496.1,519.3,510,594.7,667.3,696,702.1
"13","5","Rest of the world","B394RC1",149.3,152.8,144.1,199.7,151.3,144.1,151.1,166.9,148.7,148.5,157.7,205.2,183.3
"14","6","  Receipts from the rest of the world","B933RC1",185.5,180.1,174.3,174.4,183.9,198.9,213,214,215.4,220.8,236.2,285.3,274.4
"15","7","  Less: Payments to the rest of the world","B934RC1",36.2,27.3,30.2,-25.3,32.6,54.8,61.8,47,66.6,72.3,78.4,80.1,91.1
"16","8","    Corporate profits with inventory valuation adjustment","A052RC1",730.7,731.4,685.8,675.7,702.7,738.9,745.1,784.2,780.9,793.6,864.2,936.4,886.5
"17","9","Domestic industries","A390RC1",581.3,578.6,541.7,476,551.4,594.8,594,617.2,632.1,645.1,706.4,731.2,703.2
"18","10","  Financial","N392RC1",228.3,219.9,211.1,243.2,267.5,260.6,249,243.4,261.8,260.6,274.6,278,299.3
"19","11","    Federal Reserve banks","B397RC1",31.3,29.2,27.4,25.2,23.8,23.9,22.6,21.2,21.2,20.5,18.9,17.8,18.6
"20","12","    Other financial \2\","N398RC1",197,190.6,183.7,218,243.8,236.7,226.4,222.1,240.7,240.1,255.7,260.3,280.7
"21","13","  Nonfinancial","N399RC1",353,358.8,330.6,232.7,283.8,334.2,345,373.9,370.3,384.5,431.8,453.2,403.9
"22","14","    Utilities","N419RC1",26,27.1,25,18.4,18.5,25.3,21.5,22.8,28.1,21.1,21.5,26.7,NA
"23","15","    Manufacturing","N400RC1",86.8,79.3,50.1,-0.2,42,69.2,87.2,95.1,87.1,80.3,97.7,121.1,NA
"24","16","      Durable goods","N406RC1",13.9,-4.4,-37.6,-71.7,-16.4,5.8,20.4,25.2,17.1,13.9,19.4,30.3,NA
"25","17","        Fabricated metal products","N408RC1",11.4,10.5,9.9,6.9,8.8,9.3,8.4,12.1,8.9,12.1,12.6,15.5,NA
"26","18","        Machinery","N409RC1",9.6,5.8,-5.2,2.5,2,2.6,2.6,-1.3,-2.8,-2.7,-2.4,-2.5,NA
"27","19","        Computer and electronic products","N501RC1",-19.3,-38.3,-60.9,-79,-40.1,-23.6,-8.7,-1.2,-5.6,-1.8,-1.5,-1.7,NA
"28","20","        Electrical equipment, appliances, and components","N410RC1",3,2.7,2.2,0.3,3.1,1.5,1.6,0.7,0.7,-0.9,-1.5,-5.1,NA
"29","21","        Motor vehicles, bodies and trailers, and parts","N411RC1",-5.8,-8.2,-4,-10.9,-5.7,2.3,1.1,-1.7,7.3,-1.9,-3.5,2.4,NA
"30","22","        Other durable goods \3\","N412RC1",15,22.9,20.4,8.5,15.5,13.7,15.3,16.6,8.6,9.1,15.7,21.7,NA
"31","23","      Nondurable goods","N401RC1",72.8,83.7,87.7,71.4,58.3,63.3,66.8,69.9,70,66.4,78.4,90.8,NA
"32","24","        Food and beverage and tobacco products","N402RC1",23,27.6,28.5,31,31.4,32.9,34.4,32.4,32.4,30.6,31.8,36.6,NA
"33","25","        Petroleum and coal products","N404RC1",34.1,33.4,32.5,19.6,4.1,5.1,7.7,8.7,20.2,20.6,19.5,28.9,NA
"34","26","        Chemical products","N403RC1",5.8,14.6,16.7,18.1,16.2,16.6,17.7,19.4,18.9,15.8,23.7,16.6,NA
"35","27","        Other nondurable goods \4\","N405RC1",9.8,8.1,10,2.7,6.6,8.7,7,9.4,-1.5,-0.5,3.4,8.8,NA
"36","28","    Wholesale trade","N414RC1",46.1,47.7,54.1,58.5,48.8,53.9,45.7,47.9,39.8,42.6,51,48.2,NA
"37","29","    Retail trade","N415RC1",64.2,66.8,74.3,79.1,75.8,79.7,77.5,73.9,72.9,85,84.3,78.2,NA
"38","30","    Transportation and warehousing","N417RC1",3.8,3.2,0.9,-8.3,-3,-5.2,-3.5,2.4,5.6,12.9,14.7,14.5,NA
"39","31","    Information","N502RC1",-23,-21.5,-26.3,-38,-25.9,-22.1,-20.1,-12.6,-11.4,-8,2.3,-4.7,NA
"40","32","    Other nonfinancial \5\","N420RC1",149.2,156.2,152.4,123.3,127.5,133.5,136.7,144.4,148.1,150.7,160.2,169.1,NA
"41","33","Rest of the world","B394RC1",149.3,152.8,144.1,199.7,151.3,144.1,151.1,166.9,148.7,148.5,157.7,205.2,183.3
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","transportation equipment; furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4. Consists of textile mills and textile product mills; apparel; leather and allied products;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","paper products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","estate and rental and leasing; professional, scientific, and  technical services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","administrative and waste management services; educational services; health care and social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","assistance; arts, entertainment, and recreation; accommodation and food services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Note. Estimates in this table are based on the 1997 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
