"","Table 6#4D# Full-Time and Part-Time Employees by Industry","F2","F3","F4","F5","F6","F7","F8"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2002",NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA
"5","File created 5/27/2004 11:17:04 AM",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002
"8","1","      Full-time and part-time employees","A4201C0",132748,135833,138678,138392,137240
"9","2","Domestic industries","A4202C0",133216,136347,139131,138887,137758
"10","3","  Private industries","A4203C0",110892,113734,116036,115591,114112
"11","4","    Agriculture, forestry, fishing, and hunting","N4204C0",1436,1498,1480,1582,1590
"12","5","      Farms \1\","N4205C0",870,913,893,869,886
"13","6","      Forestry, fishing, and related activities","N4206C0",566,585,587,713,704
"14","7","    Mining","N4207C0",565,517,522,540,511
"15","8","      Oil and gas extraction","N4208C0",143,135,128,126,123
"16","9","      Mining, except oil and gas","N4209C0",244,235,229,224,213
"17","10","      Support activities for mining","N4210C0",178,148,165,190,175
"18","11","    Utilities","N4211C0",608,603,607,604,596
"19","12","    Construction","N4212C0",6301,6729,6991,7072,6986
"20","13","    Manufacturing","N4213C0",17490,17262,17460,16533,15353
"21","14","      Durable goods","N4214C0",10857,10784,10989,10375,9521
"22","15","        Wood products","N4215C0",621,632,633,591,575
"23","16","        Nonmetallic mineral products","N4216C0",532,539,562,546,520
"24","17","        Primary metals","N4217C0",630,617,624,571,507
"25","18","        Fabricated metal products","N4218C0",1729,1720,1777,1677,1550
"26","19","        Machinery","N4219C0",1515,1460,1471,1371,1232
"27","20","        Computer and electronic products","N4220C0",1809,1757,1813,1752,1502
"28","21","        Electrical equipment, appliances, and components","N4221C0",586,582,595,554,497
"29","22","        Motor vehicles, bodies and trailers, and parts","N4222C0",1259,1303,1319,1209,1152
"30","23","        Other transportation equipment","N4223C0",799,770,742,721,672
"31","24","        Furniture and related products","N4224C0",637,658,690,647,606
"32","25","        Miscellaneous manufacturing","N4225C0",740,745,765,736,708
"33","26","      Nondurable goods","N4226C0",6633,6478,6470,6158,5832
"34","27","        Food and beverage and tobacco products","N4227C0",1756,1754,1781,1780,1757
