"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158"
"11","3","  Durable goods manufacturing industries","S30D0",261402,261561,261387,261578,262951,262873,263833,264482,264496,266337,265628,267569,269311,269332,271401,273145,273448,273963,273475,273964,274026,275549,274683,273331,272280,272362,274575,274163,274022,274370,276992,276726,279092,279008,282303,284893,284877,289652,288274,287400,287310,289589,291444,293846,292515,293483,295465,293472,296199,293514,291363,291116,288335,285937,283315,280216,279033,276217,273852,270691,269361,267921,266747,266206,264322,265272,264081,263673,263516,263421,261997,265273,264009,266138,265744,265505,265610,263337,260539,260267,258612,259822,260251,261864,263402,266107,266889,269760,271337,273832,278003,280701,281376,283091,285110,285280,288940,292686,294459,294811,294427,293578,297453,298418,300810,304020,306779,308201,312327,313701,316773,322375,325202,327688,331882,332525,335244,338297,338386,338911,339885,339489,341096,341858,341291,342002,340655,338169,338229,338940,340594,343613,345256,345323,353947,359699,364443,368955,372406,375162,372466,366772,361388,357176,357258,352477,346319,341533,339975,336728,334977,336511,331602,328449,328572
"12","4","    Wood product manufacturing","S3210",8389,8523,8526,8596,8587,8620,8703,8918,9054,9174,9190,9141,9000,9025,9011,9134,9204,9027,9070,9169,9240,9257,9268,9138,9280,9204,9226,9147,9229,9404,9651,9685,9471,9499,9608,9844,10015,10090,9963,10053,9860,9929,9935,9831,9680,9790,9835,9779,9806,9679,9632,9515,9696,9907,9875,9755,9731,9625,9518,9234,9296,9300,9465,9464,9497,9517,9421,9483,9694,9658,9634,9506,9625,9857,9830,9796,9692,9566,9528,9419,9459,9607,9755,9798,9822,10218,10536,10745,10851,10709,10649,10767,11134,11108,11105,10963,11514,11710,12000,11979,11828,11821,11701,11644,11790,11980,11842,11865,11685,11878,11843,12016,12105,12216,12214,12324,12315,12192,12049,11963,12043,12076,11999,11847,11773,11833,11896,11795,11679,11613,11566,11606,11564,11139,10923,10838,10851,10911,11015,11011,11042,10940,10757,10639,10635,10514,10641,10439,10192,10040,9959,9921,9808,9661,9483
"13","5","    Nonmetallic mineral product manufacturing","S3270",9130,9153,9112,9134,9144,9197,9159,9146,9139,9176,9200,9296,9242,9232,9235,9255,9193,9220,9183,9234,9269,9266,9268,9204,9277,9236,9172,9196,9255,9242,9290,9458,9563,9648,9660,9828,9917,10093,9891,9944,10020,10062,10074,10210,10174,10197,10278,10481,10567,10478,10533,10465,10323,10351,10310,10221,10283,10221,10206,10076,9927,9853,9865,9901,9859,10025,9959,9973,10090,10238,10253,10342,10278,10415,10660,10611,10729,10718,10671,10599,10478,10388,10426,10358,10336,10404,10345,10452,10624,10643,10699,10835,10926,11171,11232,11180,11301,11419,11438,11438,11485,11564,11694,11754,11754,11890,11860,11883,12131,12203,12268,12500,12479,12542,12740,12871,12947,13068,13170,13185,13220,13225,13267,13302,13314,13308,13205,13230,13319,13421,13469,13553,13614,12910,13164,13305,13250,13266,13330,13516,13597,13681,13664,13630,13581,13485,13337,13206,13066,13016,12670,12542,12534,12482,12274
"14","6","    Primary metal manufacturing","S3310",20733,21012,21419,21261,21368,21470,21426,21592,21556,21701,21650,21577,21401,21031,21041,21104,21196,21277,21148,21192,21310,21032,20918,20745,20626,20504,20459,20495,20858,21081,21235,21463,21639,22043,22441,22729,22922,23072,22936,22739,22799,22666,22843,22991,22964,23063,22834,22687,22981,22693,22388,22073,21567,21155,20692,20460,20334,20250,19924,19808,19530,19336,19223,19169,19185,19526,19459,19520,19600,19657,19856,20085,20112,20428,20319,20109,20014,19548,19137,19219,19051,18912,19178,19285,19745,20363,20823,21248,21406,21787,22290,23101,23733,24866,25432,25669,26385,26845,27497,27558,27455,27115,27104,27243,27456,27978,28651,29352,30149,30688,30950,32072,33266,33413,33690,34029,34825,35290,35282,35184,34820,34789,35321,35721,35378,35387,35150,34505,33935,33529,33120,33007,33697,34399,36331,37553,38210,38723,38889,39310,37959,35803,33623,31705,30585,29583,28423,27421,26710,26269,25971,26421,26995,26911,27105
"15","7","    Fabricated metal product manufacturing","S3320",29644,29641,29960,29804,30090,30316,30288,30364,30418,30511,30761,31133,31058,30930,31047,31202,31141,31496,31220,31279,31401,31329,31189,30995,31070,30793,30913,30982,31067,30981,31082,31241,31525,31679,31881,32286,32270,33057,32759,32573,33020,33201,33490,33611,33550,33648,33743,33372,33664,33348,33315,33063,32393,32858,32525,32176,32322,32221,31978,31569,31604,31404,31545,31412,31040,31907,31655,31658,31898,31757,31717,31920,31888,32525,33111,32688,32447,32193,31399,31511,31361,31461,31965,32135,32562,33320,33459,33968,34451,34960,35871,36789,36918,37017,37081,37231,37655,38185,38391,38595,38593,38272,38588,38810,39023,39395,39991,40257,40905,41271,41644,42263,42851,43472,44040,44346,44615,44899,44876,45043,45351,45628,46036,46133,45921,45792,45567,45077,45184,45414,45610,46241,46476,46235,47386,48987,50130,50912,51768,51984,50794,48445,46571,45663,45101,44227,43111,42332,41865,41401,41140,41417,41225,40830,40819
"16","8","    Machinery manufacturing","S3330",35316,35006,34959,35139,35633,35707,35468,35582,35590,35897,36192,36296,36386,36718,36739,36932,36822,36504,36989,37454,37477,37550,37725,37188,37766,37445,37329,37674,37321,36875,37450,37234,37062,37383,37896,37728,38333,39380,38903,39173,39194,39367,40042,40500,40237,40717,40677,40810,41314,40735,40803,40982,40078,39641,39346,38240,38415,37543,37336,36877,36926,36477,36595,36709,36161,35855,36039,35767,35504,35680,35397,36005,36022,35891,35439,35445,35240,34914,34772,34455,34239,34646,34378,34565,34976,35317,35012,35388,35962,36083,36615,37142,36914,36967,37525,37363,37897,38305,38588,39044,38945,38836,39302,39753,40075,40450,40586,40849,41520,41818,42145,42718,43252,43462,44027,44156,44861,45260,45203,45814,46688,46681,46873,46843,46705,47123,47341,47242,47376,48009,48130,48468,48943,48739,49981,50904,51643,52168,52871,52969,52061,51382,50657,49914,51235,50362,49125,48023,47354,46780,46284,46004,45446,44870,44541
"17","9","    Computer and electronic product manufacturing","S3340",55864,55347,55001,55287,55324,55159,56469,56418,56384,56611,56967,56619,56863,56287,56961,57234,56908,56143,55322,54412,53588,53624,53108,52331,52223,52594,54260,54193,54054,54299,53738,53997,54551,53674,54253,55540,55124,56202,56377,56658,57638,59148,60395,62071,61194,62418,64522,64929,66145,65770,64689,64715,64629,63559,62399,61735,59906,58606,57963,56284,55874,54975,54774,54374,53637,53235,52574,52422,51757,51383,50934,50638,49546,49789,49833,49895,50266,49601,49190,48658,47971,48368,48518,48713,48497,48483,49100,49483,49429,50354,50813,50662,50849,51318,51267,51612,52109,52342,51811,51818,51810,51701,52932,53018,53257,53313,54039,53696,54763,53712,54479,55353,54869,54875,55261,55571,55677,56466,56067,56230,55407,54314,54144,53638,53530,53555,52301,51380,51676,51450,51317,51133,50768,51335,52842,53063,53872,54588,54056,55188,55524,55150,55687,55370,54700,54504,54042,53269,53158,52145,51186,51401,51497,50813,51017
"18","10","    Electrical equipment, appliance, and component manufacturing","S3350",12568,12713,12822,12933,13112,13203,13316,13308,13228,13150,13175,13158,13195,13148,13258,13176,13086,13063,13040,13126,13095,13169,13146,13064,12964,12841,12814,12899,12977,13054,13111,13053,13359,13445,13475,13514,13584,13849,13742,13704,13771,13789,14113,14370,14529,14519,14317,14401,14431,14468,14352,14370,14136,13902,13666,13553,13622,13612,13467,13384,13341,13368,13315,13367,13351,13405,13492,13399,13397,13335,13283,13251,13243,13312,13300,13301,13283,13189,12961,12990,12836,12854,12898,13033,13147,13117,13240,13228,13408,13557,13668,13961,14041,14074,13989,14034,14083,14163,14338,14396,14295,14191,14168,14196,14443,14565,14679,14820,15080,15188,15460,15798,16003,16363,16612,16895,16736,16771,16824,17047,16899,16840,16992,17208,17256,17206,17252,17172,16938,17205,17445,17562,17765,18024,18211,18560,18488,18701,18643,18663,18278,17417,16643,16120,16044,15579,15501,15358,15366,15169,15156,15267,15248,15039,14979
"19","11","    Transportation equipment manufacturing","S3360",68656,69164,68453,68565,68681,68109,68128,68002,67954,68859,67124,68720,70681,71419,72514,73193,73817,75563,75554,76140,76667,78274,78204,78954,77367,78030,78514,77538,77098,77188,79015,78136,79228,78734,79978,80151,79041,79844,79676,78663,76957,77288,76263,75652,75391,74255,74259,72216,72243,71234,70162,70775,70285,69291,69702,69565,69884,69927,69377,69426,69168,69523,68212,68219,67932,67884,67613,67632,67311,67671,67043,69313,68951,69470,68634,68902,69158,68536,67873,68309,68036,68410,67802,68462,68560,68866,68275,69003,68916,69447,70805,70572,69863,69529,70550,70271,70924,72355,72967,72456,72610,72496,74068,73620,74193,75209,75655,75768,76196,76865,77732,79000,79583,80677,82408,81092,82102,83032,83510,82895,83878,84353,84702,85791,85910,86010,86265,86315,86417,86539,87787,89583,90093,90581,92743,93985,95344,96661,98550,99247,100117,101323,101561,102158,103657,102879,100920,100628,101597,101424,102663,103599,98919,98205,98771
"20","12","      Motor vehicle and parts manufacturing","S3MV0",22676,22908,23217,23250,23672,23032,22811,23066,23300,23005,22838,22971,23296,23013,23542,22995,22832,23764,23008,22531,22701,22553,23030,23071,22791,22545,23267,23021,22869,23230,23763,23712,23683,23860,24581,24932,24844,25267,25010,24895,25202,25214,25458,25632,25355,25530,25571,25189,25030,24596,24015,24328,23880,23742,23625,23199,23102,22881,22381,22270,21791,21724,21909,22453,22634,22915,23191,22970,23518,23530,23396,23664,23289,23899,23562,23680,23723,23686,23601,23938,23658,23816,24004,24277,24669,24722,24705,24833,24877,25318,25609,25652,26068,26175,26407,26166,26543,26783,27184,27161,26948,27055,26783,26906,26541,27295,27624,27312,27409,27604,27813,28201,28337,28740,29160,29006,28873,29054,29462,29131,29548,29541,29293,29067,28963,28669,28580,28411,28263,28153,27924,27986,27689,27483,27809,27849,28012,28114,28077,27782,27058,26700,25790,25048,24329,23939,23137,22477,22258,22130,22275,22060,21871,21836,21917
"21","13","      Other transportation equipment manufacturing","S3OT0",45980,46256,45236,45315,45009,45077,45317,44936,44654,45854,44286,45749,47385,48406,48972,50198,50985,51799,52546,53609,53966,55721,55174,55883,54576,55485,55247,54517,54229,53958,55252,54424,55545,54874,55397,55219,54197,54577,54666,53768,51755,52074,50805,50020,50036,48725,48688,47027,47213,46638,46147,46447,46405,45549,46077,46366,46782,47046,46996,47156,47377,47799,46303,45766,45298,44969,44422,44662,43793,44141,43647,45649,45662,45571,45072,45222,45435,44850,44272,44371,44378,44594,43798,44185,43891,44144,43570,44170,44039,44129,45196,44920,43795,43354,44143,44105,44381,45572,45783,45295,45662,45441,47285,46714,47652,47914,48031,48456,48787,49261,49919,50799,51246,51937,53248,52086,53229,53978,54048,53764,54330,54812,55409,56724,56947,57341,57685,57904,58154,58386,59863,61597,62404,63098,64934,66136,67332,68547,70473,71465,73059,74623,75771,77110,79328,78940,77783,78151,79339,79294,80388,81539,77048,76369,76854
"22","14","    Furniture and related product manufacturing","S3370",6919,6844,6899,6842,7030,7030,7054,7009,7029,6988,7048,7127,7073,7108,7077,7200,7281,7205,7132,7193,7186,7199,7143,7128,7148,7125,7188,7242,7250,7283,7426,7421,7377,7490,7569,7634,7752,7890,7879,7854,7874,7947,7896,7933,8012,7987,8051,7965,7980,7967,8225,8117,8035,7936,7770,7616,7685,7570,7553,7378,7315,7357,7369,7335,7394,7430,7526,7546,7698,7678,7722,7784,7836,7806,7872,7896,7860,7869,7956,7950,7863,7996,8047,8006,7945,8106,8209,8373,8388,8348,8355,8521,8607,8554,8464,8531,8616,8709,8770,8684,8626,8676,8654,8705,8969,9060,9079,9101,9179,9164,9276,9287,9260,9273,9307,9346,9300,9337,9347,9185,9178,9179,9089,9066,8999,8978,8956,8904,8864,8852,8915,8963,8950,8791,8863,8873,9015,9010,9068,9042,8907,8717,8574,8383,8224,7947,7793,7608,7464,7301,7229,7189,7149,7059,6971
"23","15","    Miscellaneous durable goods manufacturing","S3390",14183,14158,14236,14017,13982,14062,13822,14143,14144,14270,14321,14502,14412,14434,14518,14715,14800,14465,14817,14765,14793,14849,14714,14584,14559,14590,14700,14797,14913,14963,14994,15038,15317,15413,15542,15639,15919,16175,16148,16039,16177,16192,16393,16677,16784,16889,16949,16832,17068,17142,17264,17041,17193,17337,17030,16895,16851,16642,16530,16655,16380,16328,16384,16256,16266,16488,16343,16273,16567,16364,16158,16429,16508,16645,16746,16862,16921,17203,17052,17157,17318,17180,17284,17509,17812,17913,17890,17872,17902,17944,18238,18351,18391,18487,18465,18426,18456,18653,18659,18843,18780,18906,19242,19675,19850,20180,20397,20610,20719,20914,20976,21368,21534,21395,21583,21895,21866,21982,22058,22365,22401,22404,22673,22309,22505,22810,22722,22549,22841,22908,23235,23497,23386,23170,23503,23631,23640,24015,24216,24232,24187,23914,23651,23594,23496,23397,23426,23249,23203,23183,22719,22750,22781,22579,22612
"24","16","  Nondurable goods manufacturing industries","S30N0",159868,159490,159639,159801,160673,161217,160502,161593,162287,163368,164169,164419,163547,162969,162787,162377,162266,161802,161926,161048,160360,160339,160572,158925,159385,158836,159465,160864,162649,162702,163557,165027,166945,168688,170673,172715,174139,176089,176107,176288,177640,179144,180477,180127,181131,183054,184020,183021,185994,183253,183007,182859,181740,180217,177943,175722,175589,173291,171484,170223,169946,167960,168707,169936,169749,170314,172662,174170,176309,177462,178015,178445,180140,183801,183283,182670,182021,181734,180338,181544,181737,183279,185913,185712,186179,188215,188573,190442,192571,193134,194343,196595,198477,201453,202935,201934,204160,206692,209674,210234,208170,209827,212410,213972,217431,221135,219944,223280,227538,226534,226654,228895,230852,233839,235623,236787,236145,234647,236134,236770,236711,238766,240798,242487,245524,248722,251096,253173,260742,267705,276531,281692,288553,287782,292178,292768,298414,304359,302157,297022,282821,265417,251855,235668,231574,228845,229435,227932,229939,230650,229920,232013,232659,238521,241977
"25","17","    Food manufacturing","S3110",31571,31780,32072,32124,32029,32104,31846,32014,32173,32398,32469,32388,32051,32184,31899,31944,32041,32074,32021,31798,31892,31856,31752,31854,32165,31947,31765,31988,32120,32076,32162,32394,33000,33253,33212,33169,33500,34016,34420,34475,34615,34409,34115,33969,34169,34442,34656,35149,36331,34995,35179,35438,35621,35413,35465,35173,35422,34978,35077,35007,35392,35161,34652,34679,34625,35200,35673,36155,36543,36338,36224,36274,36669,37028,37166,36953,37467,37116,36861,37423,38159,39179,39903,39567,39314,39552,40103,40270,40664,40094,39410,38972,39172,38959,38582,38792,38557,38817,39309,39968,39709,39645,39721,39747,40039,40371,40555,40817,41148,40708,40514,40519,40544,41018,41388,41698,42349,43215,43850,44156,44284,44618,44753,44997,45603,45765,46099,46779,47585,47646,48342,49665,50620,50124,50305,50236,50546,50827,50378,49421,48205,46661,45498,44616,44421,43812,43873,44335,44991,44373,43839,43940,43700,44762,45314
"26","18","    Beverage and tobacco product manufacturing","S3120",11384,11391,11359,11628,11637,11660,11727,11671,11493,11496,11634,11710,12042,11769,11879,11811,11793,11657,11643,11255,11219,11500,11666,11694,11659,11797,11521,11670,11798,11632,11480,11509,11318,11459,11376,11702,11782,11938,11858,11917,11848,11942,11891,11878,12074,12074,12151,12134,12134,12176,12341,12505,12599,12597,12723,12649,12765,12661,12843,13214,13140,12904,12839,12909,12959,13221,13035,13049,13278,13259,13067,13000,12790,12814,12598,12958,12991,12891,12857,12883,13023,13105,13407,13284,13265,13417,13009,13090,13081,13190,13108,13603,13889,13696,13650,13575,13779,13638,13481,13597,13581,13526,13600,13509,13459,13813,13923,13821,13810,13795,13646,13673,13562,13652,13960,14241,14334,14348,14284,14414,14575,14646,14621,14654,14662,14449,14336,14168,14168,14277,14480,14714,15003,14850,14625,14678,14726,14677,14477,14406,14413,14346,14354,14431,14461,14549,14643,14805,14809,14726,14824,14917,15036,15236,15356
