"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:24:11 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","  Gross domestic purchases","A712RV1",-4.1,-9.8,-11.6,-2.8,4.8,2,1.3,3.9,-1.9,-1,0.8,6.4,8.1,4.7,2.3,2.6,13.3,11.1,5.7,0.1,1.3,7,2,1.1,1.1,1.4,3.4,3.4,2.2,1.4,1.4,1,1.2,1.2,1.6,1.7,2.8,2.7,4.2,4.9
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Personal consumption expenditures","DPCERS2",-3.2,-8.33,-9.46,-2.89,3.58,1.88,0.68,2.66,-1.67,-0.71,0.61,4.17,7.08,4.59,2.73,1.99,4.18,6.78,3.76,-0.52,0.78,4.26,1.24,0.8,0.51,0.25,1.23,1.85,1.44,0.92,1,0.64,0.72,0.7,0.89,0.87,1.52,1.49,2.31,2.69
"12","3","  Goods","DGDSRS2",-2.25,-5.83,-5.71,-0.33,4.07,1.14,0.17,1.51,-1.71,-0.63,0.36,3.16,5.36,3.23,1.76,1.27,2.65,4.83,2.4,-0.95,0.13,3.03,0.35,-0.16,-0.13,-0.21,0.59,1.06,0.77,0.17,0.26,0.12,0.16,0.26,0.34,0.33,0.68,0.54,1.06,1.17
"13","4","    Durable goods","DDURRS2",-0.53,-0.86,-0.85,-0.16,0.4,-0.04,0.04,0.33,0,-0.09,0.08,0.6,1.04,0.37,0.42,0.21,0.25,0.75,0.47,0.07,0.05,0.67,0.06,-0.07,-0.19,-0.04,0.23,0.33,0.16,0.13,-0.03,0.02,0.03,0.03,0.04,-0.07,-0.02,0.14,0.28,0.25
"14","5","      Motor vehicles and parts","DMOTRS2",-0.1,-0.15,-0.11,-0.11,0.1,-0.04,0.01,0.07,0.09,-0.05,0,0.24,0.35,0.02,0.03,0.01,0.22,0.23,0.22,0.12,0.01,0.21,0.14,-0.06,-0.12,0.04,0.17,0.22,0.13,0.16,-0.07,0.02,0.05,0.03,0.03,-0.03,-0.03,0.05,0.12,0.08
"15","6","      Furnishings and durable household equipment","DFDHRS2",-0.13,-0.37,-0.45,0.01,0.24,0.02,0.02,0.23,-0.06,-0.03,0.03,0.26,0.44,0.3,0.25,0.15,0.01,0.27,0.17,-0.09,0.07,0.38,-0.04,0.01,-0.02,-0.02,0.03,0.05,-0.01,0,0.03,0.01,0,0,0,-0.02,0.02,0.06,0.11,0.1
"16","7","      Recreational goods and vehicles","DREQRS2",-0.27,-0.29,-0.19,-0.06,0.03,-0.01,-0.01,0.02,0,-0.02,0.01,0.02,0.11,0,0.04,0.01,0.02,0.18,0.07,0.04,-0.01,0.03,-0.04,-0.02,-0.04,-0.04,0.01,0.04,0.03,-0.04,0.01,-0.01,-0.01,0,-0.02,-0.02,-0.02,0.01,0.03,0.04
"17","8","      Other durable goods","DODGRS2",-0.02,-0.05,-0.1,0,0.03,-0.02,0.02,0.01,-0.03,0.01,0.03,0.08,0.14,0.05,0.1,0.04,0,0.07,0.01,-0.01,-0.01,0.06,0,0,-0.02,-0.01,0.01,0.01,0,0,0,0,0,0,0.02,0,0,0.02,0.02,0.04
"18","9","    Nondurable goods","DNDGRS2",-1.72,-4.97,-4.86,-0.17,3.67,1.18,0.12,1.19,-1.7,-0.54,0.28,2.56,4.32,2.86,1.35,1.06,2.4,4.09,1.94,-1.02,0.07,2.36,0.29,-0.09,0.06,-0.17,0.36,0.73,0.61,0.04,0.29,0.1,0.13,0.23,0.3,0.4,0.7,0.4,0.77,0.92
"19","10","      Food and beverages purchased for off-premises consumption","DFXARS2",-1.04,-3.22,-2.9,0.08,2.06,1.37,0.03,0.54,-1.37,-0.17,0.1,1.57,2.52,1.79,0.31,0.36,1.46,2.43,0.8,-0.63,0.07,1.41,0.32,-0.26,-0.01,-0.23,0.09,0.37,0.51,-0.13,0.1,0.06,0.08,0.11,0.21,0.21,0.42,0.01,0.29,0.42
"20","11","      Clothing and footwear","DCLORS2",-0.39,-1.1,-1.56,0.15,1.22,-0.14,0.01,0.38,-0.18,-0.18,0.08,0.67,1.21,0.72,0.77,0.56,0.62,0.63,0.45,-0.31,-0.05,0.53,-0.1,-0.01,0.01,-0.01,0.1,0.08,0.02,0.04,0.06,0.03,0.01,0.04,0.04,0.04,0.12,0.18,0.25,0.24
"21","12","      Gasoline and other energy goods","DGOERS2",-0.11,-0.41,-0.09,-0.09,0.24,-0.04,0.11,0.08,-0.07,-0.14,0,0.17,0.17,0.07,0.03,0,0.09,0.34,0.4,0.05,0.03,0.08,0.05,0.1,0.05,0.03,0.09,0.14,-0.03,0.04,0.05,0,0.01,0.01,-0.02,0.09,0.06,0.08,0.05,0.08
"22","13","      Other nondurable goods","DONGRS2",-0.18,-0.25,-0.31,-0.31,0.15,-0.01,-0.03,0.18,-0.09,-0.05,0.1,0.16,0.42,0.28,0.23,0.15,0.22,0.69,0.29,-0.11,0.02,0.33,0.02,0.07,0.01,0.05,0.08,0.15,0.12,0.08,0.08,0.01,0.02,0.07,0.08,0.07,0.1,0.12,0.19,0.18
"23","14","  Services","DSERRS2",-0.96,-2.51,-3.75,-2.55,-0.48,0.74,0.52,1.15,0.03,-0.08,0.24,1.01,1.72,1.36,0.96,0.72,1.53,1.95,1.36,0.43,0.66,1.23,0.89,0.96,0.65,0.45,0.64,0.79,0.67,0.75,0.74,0.52,0.55,0.44,0.55,0.55,0.83,0.95,1.25,1.52
"24","15","    Household consumption expenditures","DHCERS2",-0.91,-2.38,-3.64,-2.49,-0.57,0.73,0.49,1.09,0.06,-0.09,0.24,0.97,1.65,1.31,0.93,0.69,1.45,1.81,1.29,0.43,0.62,1.17,0.89,0.94,0.63,0.43,0.6,0.75,0.65,0.73,0.81,0.51,0.54,0.43,0.54,0.52,0.8,0.92,1.22,1.46
"25","16","      Housing and utilities","DHUTRS2",-0.34,-0.73,-1.51,-1.6,-1.21,0.04,0.19,0.42,0.29,-0.03,0.03,0.14,0.19,0.04,0.05,0.07,0.12,0.25,0.41,0.23,0.25,0.32,0.32,0.39,0.25,0.15,0.15,0.17,0.19,0.16,0.19,0.14,0.12,0.11,0.1,0.09,0.14,0.17,0.23,0.32
"26","17","      Health care","DHLCRS2",0.01,-0.17,-0.32,-0.04,0.09,0.14,0.05,0.06,0.04,-0.02,0.07,0.05,0.11,0.11,0.1,0.06,0.15,0.22,0.12,0.03,0.05,0.1,0.1,0.1,0.08,0.08,0.08,0.1,0.1,0.08,0.19,0.07,0.08,0.09,0.12,0.11,0.16,0.23,0.24,0.28
"27","18","      Transportation services","DTRSRS2",-0.02,-0.11,-0.18,-0.14,0.05,0.05,-0.01,-0.01,0.01,0.01,-0.04,0.03,0.1,0.04,-0.01,0.02,0.07,0.16,0.14,0.13,0.08,0.13,0.06,0.08,0.06,0.04,0.06,0.06,0.05,0.05,0.04,0.05,0.04,0.01,0.02,0.03,0.03,0.06,0.08,0.11
"28","19","      Recreation services","DRCARS2",-0.03,-0.08,-0.08,-0.1,0.01,0.02,0.03,0.06,0.03,-0.01,0.01,0.05,0.07,0.08,0.13,0.06,0.09,0.12,0.05,0.02,0.01,0.04,0.04,0.05,0.05,0.04,0.03,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.07,0.05
"29","20","      Food services and accommodations","DFSARS2",-0.21,-0.52,-0.63,-0.13,0.29,0.29,0.01,0.15,-0.21,-0.09,0.05,0.38,0.67,0.5,0.2,0.17,0.63,0.64,0.23,-0.13,0.08,0.32,0.1,-0.04,0.05,-0.01,0.05,0.13,0.1,0.14,0.1,0.08,0.09,0.08,0.06,0.07,0.14,0.2,0.19,0.22
"30","21","      Financial services and insurance","DIFSRS2",-0.06,-0.26,-0.33,-0.15,0.11,0.12,0.12,0.11,-0.06,-0.02,0.07,0.06,0.12,0.07,0.06,0.05,0.16,0.08,0.09,0.03,0.04,0.02,0.11,0.21,0.07,0.07,0.07,0.08,0.04,0.13,0.11,0.09,0.11,0,0.11,0.07,0.16,0.06,0.2,0.24
"31","22","      Other services","DOTSRS2",-0.24,-0.52,-0.58,-0.33,0.1,0.07,0.1,0.3,-0.04,0.07,0.05,0.25,0.41,0.47,0.41,0.26,0.22,0.35,0.25,0.11,0.12,0.24,0.16,0.16,0.07,0.07,0.16,0.16,0.13,0.14,0.14,0.06,0.08,0.11,0.11,0.13,0.14,0.16,0.22,0.24
"32","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRS2",-0.05,-0.13,-0.11,-0.06,0.08,0.01,0.03,0.06,-0.03,0,0,0.05,0.07,0.05,0.03,0.03,0.09,0.14,0.07,0.01,0.03,0.07,0,0.01,0.02,0.02,0.04,0.04,0.02,0.02,-0.06,0.01,0.01,0.01,0,0.03,0.03,0.03,0.04,0.06
"33","24","Gross private domestic investment","A006RS2",-0.61,-0.85,-0.91,-0.33,0.01,-0.05,0.12,0.89,-0.33,-0.07,0.31,1.04,1.14,0.28,0.15,0.13,0.93,2.72,1.36,0.18,0.34,1.61,0.3,0.04,0.11,0.25,0.97,0.56,0.05,0.15,0.09,-0.03,0.02,-0.04,0.11,0.26,0.36,0.44,0.63,0.81
