"","Table 3#15#6# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 04, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2016 4:57:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","      Government","A822RX1",2451.7,2498.2,2592.4,2705.8,2764.3,2808.2,2826.2,2869.3,2914.4,2994.8,3089.1,3091.4,2997.4,2941.6,2854.9,2838.3
"9","2","General public service","W575RX1",214.9,214.6,227.3,241,237.4,242.7,244.1,244.6,245.1,248.5,261.4,257.8,247.3,243.1,236.7,236.6
"10","3","National defense","A824RX1",516.9,512.3,530,567.3,615.4,652.7,665.5,678.8,695.6,748.1,788.3,813.5,795,768.2,716.6,689.1
"11","4","Public order and safety","W579RX1",284,291.3,302.5,314.8,312.8,314.9,317.8,324.2,334.1,343.8,350.8,344.2,340.1,332.3,326.1,328.4
"12","5","Economic affairs","W584RX1",420.9,432.9,444.6,457.4,459.8,452.5,439.4,439.9,442,442.3,457,464.9,436.8,428.4,419.3,423
"13","6","  Transportation","W589RX1",261.7,269.3,282.8,291.3,296.2,288.8,278.7,275.5,268.1,267.8,274.6,273.8,266.8,260.3,255.8,260.5
"14","7","  Space","W595RX1",28.1,27.5,27.9,29.4,29.6,30.1,29.8,29,30.6,31.7,32.1,31.3,29.4,29.2,28.6,29.1
"15","8","  Other economic affairs","W596RX1",130.9,136.3,135.1,137.9,135.7,134.7,131.8,135.9,143.4,142.8,150.3,159.9,140.7,138.9,134.9,133.3
"16","9","Housing and community services","W597RX1",52.3,47.9,53,57.5,58.4,57,56.2,61.2,60.3,59.9,60.5,61.9,54.5,49.1,48,47.5
"17","10","Health","W598RX1",134.4,138.3,142.5,154.5,167.4,169,175.6,175.3,185.7,194.7,205.2,208.6,209,210.4,207.8,210.7
"18","11","Recreation and culture","W599RX1",36.7,39.2,41.3,43.6,42,41.4,41.4,40.6,41.9,42,43.3,42.3,39,37.2,36.4,36.7
"19","12","Education","W600RX1",716.4,744.1,768.5,777.3,776.8,785.2,788.9,800.7,815.5,822.5,827.8,804.2,787.4,787.4,776.9,777.7
"20","13","Income security","W605RX1",83,86.3,91.8,100.2,99.4,95.7,98.6,105,95,93.4,94.8,94.1,88.4,85.6,86.9,87.8
"21","14","      Federal","A823RX1",815.3,817.7,849.8,910.8,973,1017.1,1034.8,1060.9,1078.7,1152.3,1217.7,1270.7,1236.4,1213.5,1144.1,1116.3
"22","15","General public service","W611RX1",35.6,32.3,38.6,41.7,42.3,50.2,50.4,51.3,53,57.3,61.8,64.4,63.6,63.5,58.7,56.7
"23","16","National defense","A824RX1",516.9,512.3,530,567.3,615.4,652.7,665.5,678.8,695.6,748.1,788.3,813.5,795,768.2,716.6,689.1
"24","17","Public order and safety","W615RX1",30.5,33.2,34.9,40.3,42.1,44,44.9,46.9,48.5,54.2,57.4,57.5,58.1,58,52.9,53.4
"25","18","Economic affairs","W620RX1",130.3,132.6,130.7,137.2,139.2,138.2,135.5,137.9,141.6,145.8,152.9,168.3,151.6,152.2,144.6,142.8
"26","19","  Transportation","W625RX1",25.5,25.3,26.9,31.2,35.3,33.2,33.3,34,32.6,35.3,35.9,37.8,38.6,38.9,36.2,36.1
"27","20","  Space","W631RX1",28.1,27.5,27.9,29.4,29.6,30.1,29.8,29,30.6,31.7,32.1,31.3,29.4,29.2,28.6,29.1
"28","21","  Other economic affairs","W632RX1",76.4,79.6,75.8,76.5,74.3,74.8,72.3,74.9,78.4,78.7,84.9,99.2,83.6,84.1,79.7,77.7
"29","22","Housing and community services","W633RX1",1.9,-0.2,1,1.4,1.6,1,1.8,1.3,1.6,1.9,1.8,2.1,2.3,2.3,2.1,2
"30","23","Health","W634RX1",78.3,84.2,90.6,94.3,103.1,102.5,103.4,104.5,107.7,115.2,124.3,131,134.9,139.2,138.1,141
"31","24","Recreation and culture","W635RX1",3.9,4.4,4.4,5.1,5.2,5.2,5.1,4.8,4.7,5,5.2,5.9,5.5,5.4,5.1,5.1
"32","25","Education","W636RX1",7,7.3,8.2,8.7,8.5,8.4,8.7,7.8,7.4,7.4,7.8,7.8,8.3,8.3,8.3,7.9
"33","26","Income security","W640RX1",10.6,11,11,14.5,15.4,15.2,19.7,27.8,18.7,17.4,18.2,20.1,17.1,16.4,17.6,18.2
"34","27","      State and local","A829RX1",1643.6,1689.1,1751.5,1802.4,1795.3,1792.8,1792.3,1808.8,1836.1,1842.4,1871.4,1820.8,1761,1728.1,1710.2,1720.8
"35","28","General public service","W646RX1",179.5,182.5,189,199.5,195.3,192.5,193.6,193.2,192,191.2,199.6,193.4,183.7,179.7,177.9,179.9
"36","29","Public order and safety","W650RX1",254.1,258.5,268,274.7,270.8,270.9,273,277.4,285.6,289.5,293.3,286.7,282,274.3,273.2,274.9
"37","30","Economic affairs","W655RX1",290.8,301,315.8,321.6,321.8,315.2,304.5,302.3,300.5,296.5,304.1,296.6,285.2,276.2,274.6,279.9
"38","31","  Transportation","W660RX1",237.5,245.5,257.5,261,261,256,245.5,241.6,235.5,232.5,238.7,236,228.1,221.4,219.5,224.3
"39","32","  Other economic affairs","W665RX1",54.1,56.3,59.2,61.3,61.4,59.8,59.4,60.9,65,64.1,65.4,60.6,57.1,54.8,55.1,55.6
"40","33","Housing and community services","W666RX1",50.1,48.1,52,56,56.8,55.9,54.5,59.9,58.7,57.9,58.8,59.8,52.2,46.8,45.9,45.4
"41","34","Health (net)","W671RX1",56,53.8,51.5,59.9,63.9,66.3,72.1,70.7,77.9,79.4,80.9,77.6,74.1,71.3,69.7,69.9
"42","35","  Gross expenditures","Y650RX1",193.1,197.4,206.8,216.2,217.6,220.5,222.6,225.4,236.7,241.7,248.1,248.4,247.6,244.9,244.5,246.9
"43","36","  Less: Sales to other sectors","Y651RX1",136.9,143.5,155.6,156.3,153.6,154.2,150.6,154.7,158.8,162.3,167.2,170.8,173.6,173.7,174.9,177.2
"44","37","Recreation and culture","W672RX1",32.8,34.9,36.9,38.4,36.8,36.2,36.3,35.8,37.1,37,38.1,36.4,33.5,31.8,31.3,31.6
"45","38","Education","W673RX1",709.4,736.9,760.3,768.6,768.2,776.8,780.1,792.9,808.1,815.1,820,796.4,779,779.1,768.7,769.8
"46","39","  Elementary and secondary","W674RX1",567.9,587.6,601.5,613.7,616.8,618.8,620.2,630.4,635.8,636,635.7,613.8,593.3,586.9,575.5,570.3
"47","40","  Higher","W675RX1",115.1,121.1,128.8,125,121.8,128.1,129.8,133,142.7,149.4,153.6,152.4,157.2,164.5,166.3,172.9
