"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:20:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RX1",1056.6,966.7,904.8,788.2,778.3,862.2,939,1060.5,1114.6,1077.7,1163.6,1266.1,1490.3,1771.8,2073.7,2239.4,2217.8,1960.9,1939.4,2020,2008.9,2184,2360,2456.1,2571.4,2556.9,2739,2797.4,2856.3,2835.3,3031,3108.7,3188.1,3383.1,3530.4,3734,3976.7,4238.9,4355.2,4569,4712.5
"9","2","       Final sales of domestic product","A190RX1",1067.5,995.4,937.7,832.3,807.4,883.7,939,1062.1,1106.3,1091.6,1171.4,1251.6,1460.8,1771.1,2100.6,2268.9,2253.7,1932.7,1967.7,2001.2,2046.9,2167.1,2328.5,2457.5,2580.5,2588.9,2733.9,2800.5,2874.7,2858.6,3031.9,3114.1,3195.7,3374.4,3525.3,3734.8,3955.2,4196.9,4334.1,4553.4,4697.7
"10","3","       Change in private inventories","A014RX1",11.4,-5,-11.7,-26.2,-13.4,-6.4,8.3,8.5,14.3,-3.4,1.7,17.8,29.1,11.3,-4,-4.7,-8.9,28,-3.9,21.3,-11.2,21.2,29.5,11.9,7.4,-7.1,17.6,13.1,3.2,-0.8,15.3,13,11.7,24.1,22.3,19,36.2,51.9,37.3,33.9,33.3
"11","4","       Residual","A958RX1",-22.3,-23.7,-21.2,-17.9,-15.7,-15.1,-8.3,-10.1,-6,-10.5,-9.5,-3.3,0.4,-10.6,-22.9,-24.8,-27,0.2,-24.4,-2.5,-26.8,-4.3,2,-13.3,-16.5,-24.9,-12.5,-16.2,-21.6,-22.5,-16.2,-18.4,-19.3,-15.4,-17.2,-19.8,-14.7,-9.9,-16.2,-18.3,-18.5
"12","5","Goods","A353RX1",227.4,198,181.6,149,153.9,176.3,201.2,231.6,248.1,230.5,250.6,283.2,331.9,349.7,402.3,427.5,418.7,448.6,453,471.8,453.5,501.3,530.4,532.1,558,547.3,611.1,625,634.8,608.2,659.7,683,692.5,739.2,772.5,824,892.9,972.3,979.3,1019.6,1053.1
"13","6","    Final sales","A325RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","7","    Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","8","  Durable goods","A354RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","9","    Final sales","A326RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","    Change in private inventories \1\","A355RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","11","  Nondurable goods","A356RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","12","    Final sales","A334RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","    Change in private inventories \1\","A357RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","Services \2\","A341RX1",638.6,633.5,625.4,595.4,583.3,622,640.1,681.9,704,711.4,749.2,785.8,911.4,1274,1694.1,1923.9,1917.7,1297.7,1215.5,1228,1271.2,1304.3,1495.7,1633.1,1702.4,1685.3,1718.3,1764.9,1828.7,1870.2,1948.7,1997.9,2070.8,2186.8,2265.5,2370.5,2490.6,2639.8,2791.2,2940.5,3041
"22","15","Structures","A755RX1",276.4,235.1,190.8,133.2,104.5,122.2,138.7,191.3,196.1,191.5,224.2,236.4,300.9,323.9,185.7,127.8,132.3,260.2,296.3,346.7,350.2,430.7,417.9,427.2,451.3,481,524.9,523,517.5,526.6,586,581,597.4,631.9,674.8,720.7,757.3,759.2,749.5,796.1,807
