"","Table 3#14# Government Social Insurance Funds Current Receipts a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2016 4:56:18 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8",NA,"          Federal"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Current receipts","A2046C1",45.8,49.2,53.8,61.8,78.6,88.7,92.8,104.3,115.6,133.6,155,169.5,199.8,212.8,229.1,263.2,289.6,311.6,332.6,375.2,405.9,436.8,459.9,487.4,511.3,544.5,575.2,602.1,642.1,683.3,732.7,787.2,821.4,845.8,870.2,918.7,969.2,1032,1080.9,1114.2,1090.2,1108.1,1143.3,1176.6,1212.1,1256.3
"10","2","Contributions for government social insurance","W780RC1",43.3,45.5,50.3,58.3,74.5,84.1,88.1,99.8,111.1,128.7,149.8,163.6,193,206,223.1,254.1,277.9,298.9,317.4,354.8,378,402,420.6,444,465.5,496.2,521.9,545.4,579.4,617.4,654.8,698.6,723.3,739.4,763.2,808.9,853.4,905.7,947.2,974.4,950.8,970.9,904,938.1,1093.4,1145.2
"11","3","  Employee and self-employed contributions","A1585C1",21,22.2,24.4,27.6,35.3,40,42.1,46.4,51.4,59,69.4,76.8,91.4,98.3,105,117.1,132.5,144,154.8,174.6,189.7,201.7,212.7,223.7,234.7,251,266.1,278.1,296,315.6,336.2,358,371.6,381.8,392.8,415.1,439.8,470.8,496,512.3,500.4,508.5,417.5,431.3,573.2,605.4
