"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:19:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Gross domestic product","A191RD3",12.566,12.745,12.957,13.276,13.379,13.497,13.747,13.789,13.717,13.579,13.509,13.518,13.49,13.538,13.832,14.09,14.596,14.692,14.701,14.869,14.863,14.882,15.048,15.091,15.096,15.125,15.188,15.219,15.266,15.281,15.3,15.343,15.417,15.481,15.59,15.743,15.902,15.997,16.197,16.264,16.485,16.601,16.701,16.711,16.892,16.94,17.043,17.123,17.169,17.194,17.258,17.326,17.397,17.443,17.506,17.56,17.598,17.641,17.687,17.745,17.837,17.866,17.903,17.938,18.017,18.047,18.069,18.216,18.274,18.318,18.392,18.476,18.569,18.652,18.726,18.853,18.975,19.131,19.317,19.481,19.562,19.661,19.849,20.067,20.29,20.504,20.706,20.999,21.217,21.488,21.79,22.071
"10","2","Personal consumption expenditures","DPCERD3",13.03,13.135,13.38,13.713,13.865,14.008,14.223,14.179,14.069,13.983,13.902,13.889,13.864,13.93,14.221,14.476,14.938,15.059,15.08,15.279,15.343,15.34,15.44,15.466,15.526,15.55,15.635,15.703,15.782,15.761,15.709,15.693,15.744,15.761,15.823,15.867,15.932,16.04,16.196,16.292,16.438,16.543,16.676,16.762,16.968,16.999,17.012,17.007,17.125,17.193,17.295,17.389,17.413,17.504,17.572,17.65,17.683,17.681,17.745,17.765,17.843,17.906,17.952,18.006,18.057,18.083,18.169,18.236,18.324,18.366,18.428,18.49,18.549,18.642,18.711,18.768,18.914,19.07,19.216,19.366,19.423,19.514,19.694,19.862,20.071,20.275,20.485,20.713,20.917,21.186,21.446,21.695
"11","3","  Goods","DGDSRD3",22.849,23.07,23.422,24.04,24.386,24.647,25.029,24.844,24.54,24.262,23.98,23.834,23.699,23.827,24.412,24.931,25.952,26.178,26.144,26.456,26.519,26.364,26.461,26.391,26.368,26.293,26.289,26.297,26.417,26.317,26.129,25.995,26.03,26.007,26.092,26.099,26.172,26.367,26.654,26.805,27.043,27.25,27.463,27.559,28.011,28.025,27.954,27.821,28.006,28.04,28.127,28.201,28.161,28.303,28.343,28.45,28.485,28.368,28.44,28.391,28.475,28.54,28.585,28.664,28.697,28.7,28.875,28.943,29.08,29.071,29.125,29.194,29.259,29.428,29.5,29.502,29.771,29.987,30.176,30.351,30.327,30.398,30.722,30.956,31.241,31.505,31.795,32.116,32.342,32.731,33.1,33.409
"12","4","    Durable goods","DDURRD3",44.439,44.852,45.101,45.688,46.042,46.647,48.277,48.372,48.221,47.921,47.341,47.269,47.097,47.441,48.073,48.89,50.736,51.087,51.111,51.609,51.968,51.356,51.884,50.651,51.127,51.179,50.852,50.962,51.395,50.112,49.29,48.991,49.276,49.503,49.969,50.101,50.297,50.411,51.144,51.814,52.233,52.954,52.949,53.052,53.995,53.775,53.72,53.527,54.46,54.666,54.658,54.634,54.556,54.49,54.325,54.226,54.234,54.489,54.738,54.67,54.68,54.753,54.933,54.717,54.732,54.899,55.052,55.226,55.307,55.278,55.218,55.113,55.125,54.953,54.68,54.379,54.301,54.531,54.77,55.021,54.907,55.145,55.751,56.312,56.674,57.018,57.493,58.021,58.364,58.806,59.092,59.461
"13","5","    Nondurable goods","DNDGRD3",16.217,16.375,16.67,17.175,17.457,17.631,17.803,17.619,17.351,17.127,16.933,16.804,16.697,16.774,17.255,17.651,18.396,18.563,18.524,18.758,18.777,18.706,18.739,18.817,18.735,18.657,18.696,18.69,18.753,18.815,18.74,18.652,18.652,18.598,18.616,18.605,18.649,18.823,19.003,19.06,19.236,19.34,19.546,19.625,19.938,19.977,19.917,19.815,19.875,19.88,19.966,20.04,20.012,20.156,20.215,20.33,20.361,20.218,20.256,20.217,20.296,20.35,20.369,20.475,20.505,20.485,20.635,20.677,20.801,20.797,20.859,20.943,21.006,21.203,21.32,21.368,21.656,21.84,21.994,22.132,22.126,22.161,22.393,22.542,22.775,22.99,23.21,23.453,23.629,23.958,24.293,24.551
"14","6","  Services","DSERRD3",8.383,8.429,8.631,8.826,8.877,8.964,9.099,9.133,9.128,9.147,9.176,9.241,9.279,9.313,9.456,9.578,9.753,9.825,9.878,10.028,10.097,10.177,10.285,10.365,10.474,10.554,10.693,10.798,10.86,10.881,10.9,10.948,11.011,11.051,11.105,11.172,11.237,11.302,11.397,11.467,11.572,11.626,11.724,11.81,11.895,11.936,11.993,12.053,12.141,12.229,12.343,12.452,12.509,12.578,12.661,12.728,12.76,12.816,12.878,12.933,13.01,13.073,13.121,13.163,13.224,13.262,13.306,13.375,13.441,13.509,13.576,13.637,13.694,13.752,13.821,13.909,13.996,14.126,14.256,14.397,14.496,14.601,14.714,14.853,15.03,15.209,15.384,15.572,15.771,15.987,16.2,16.425
"15","7","Gross private domestic investment","A006RD3",16.102,16.78,17.492,18.157,17.972,18.048,18.639,19.135,18.916,18.328,18.47,18.401,18.557,18.749,19.364,20.05,21.074,21.489,21.336,21.353,21.192,20.897,21.412,21.202,21.07,21.107,21.32,21.115,20.991,20.94,21.245,21.447,21.566,21.508,21.784,22.468,22.959,22.76,23.337,23.219,23.764,23.842,23.736,23.026,23.195,23.079,23.719,24.285,23.941,23.873,23.873,23.928,24.242,24.134,23.995,23.733,23.867,23.935,24.006,24.139,24.172,24.024,23.978,23.898,23.831,23.919,23.88,24.176,24.018,24.116,24.015,24.286,24.4,24.434,24.391,24.694,24.653,24.903,25.034,25.351,25.446,25.419,25.654,25.96,26.248,26.386,26.569,27.14,27.485,27.701,27.912,28.339
"16","8","  Fixed investment","A007RD3",15.246,15.821,16.219,16.557,16.728,17.099,17.62,17.813,17.793,17.765,17.567,17.493,17.481,17.758,18.258,18.606,19.236,19.535,19.693,19.895,19.981,20.065,20.098,20.059,20.076,20.189,20.344,20.296,20.312,20.391,20.39,20.41,20.433,20.568,20.817,21.086,21.52,21.754,22.116,22.281,22.494,22.595,22.747,22.841,22.661,22.76,22.796,22.839,22.873,22.972,23.044,23.086,23.118,23.158,23.153,23.12,23.076,23.094,23.085,23.088,23.106,23.125,23.12,23.098,23.102,23.068,22.997,23.059,22.992,23.191,23.223,23.454,23.466,23.512,23.562,23.826,23.727,24.119,24.122,24.404,24.496,24.613,24.769,25.064,25.331,25.572,25.727,26.28,26.585,26.873,27.12,27.475
"17","9","    Nonresidential","A008RD3",18.722,19.288,19.797,20.155,20.262,20.826,21.54,21.833,21.709,21.674,21.584,21.446,21.462,21.664,22.126,22.859,23.631,24.04,24.263,24.527,24.634,24.686,24.622,24.631,24.651,24.846,25.027,24.992,25.096,25.21,25.048,25.09,25.057,25.194,25.581,26.091,26.802,27.037,27.688,28.049,28.473,28.626,28.818,29.035,28.77,28.939,29.006,29.075,29.115,29.297,29.442,29.512,29.528,29.55,29.537,29.46,29.42,29.4,29.379,29.399,29.406,29.445,29.44,29.417,29.417,29.411,29.442,29.461,29.472,29.617,29.633,29.772,29.812,29.885,29.98,30.124,30.104,30.384,30.452,30.713,30.853,31.021,31.23,31.531,31.784,32.091,32.352,32.831,33.1,33.414,33.786,34.207
"18","10","      Structures","A009RD3",6.213,6.292,6.512,6.728,6.905,7.093,7.277,7.346,7.224,7.124,7.087,7.098,7.08,7.057,7.21,7.517,7.824,8.019,8.153,8.229,8.296,8.268,8.251,8.268,8.292,8.409,8.517,8.505,8.388,8.305,8.308,8.319,8.339,8.405,8.518,8.708,9.095,9.068,9.316,9.41,9.51,9.629,9.68,9.657,9.396,9.455,9.492,9.52,9.455,9.509,9.545,9.553,9.587,9.53,9.485,9.422,9.421,9.438,9.448,9.482,9.496,9.527,9.517,9.546,9.574,9.593,9.618,9.625,9.611,9.721,9.733,9.885,9.902,9.974,9.999,10.198,10.176,10.401,10.415,10.548,10.59,10.647,10.721,10.87,11.024,11.164,11.253,11.535,11.697,11.889,12.054,12.285
"19","11","      Equipment","Y033RD3",31.197,32.518,33.251,33.565,33.388,34.373,35.8,36.446,36.387,36.591,36.454,36.028,36.116,36.712,37.479,38.581,39.833,40.36,40.558,41.049,41.18,41.42,41.262,41.21,41.145,41.325,41.514,41.439,42.102,42.757,42.232,42.315,41.972,42.16,42.922,43.82,44.638,45.378,46.491,47.243,48.141,48.163,48.542,49.275,49.226,49.522,49.57,49.654,50.006,50.31,50.561,50.681,50.6,50.855,50.942,50.893,50.756,50.606,50.466,50.371,50.342,50.342,50.355,50.18,50.139,50.041,50.019,49.988,50.011,50.051,50.027,49.983,50.067,50.038,50.207,50.014,49.962,50.111,50.255,50.628,50.915,51.196,51.534,51.909,52.1,52.553,52.989,53.528,53.718,54,54.487,54.969
"20","12","      Intellectual property products","Y001RD3",21.41,21.609,22.042,22.541,22.595,22.952,23.282,23.185,23.462,23.4,23.349,23.299,23.342,23.591,24.154,24.671,24.986,25.32,25.525,25.756,25.668,25.633,25.749,25.852,26.051,26.211,26.252,26.253,26.358,26.321,26.336,26.381,26.972,27.034,27.23,27.406,27.787,28.056,28.34,28.549,28.852,29.028,29.198,29.277,29.619,29.747,29.847,29.954,29.975,30.236,30.477,30.679,30.72,30.745,30.823,30.898,30.915,30.951,31.034,31.123,31.124,31.171,31.175,31.181,31.071,31.111,31.211,31.372,31.504,31.678,31.761,31.775,31.74,31.824,31.961,32.045,32.215,32.356,32.423,32.526,32.566,32.733,32.96,33.257,33.634,33.865,34.121,34.469,34.919,35.284,35.752,36.151
"21","13","    Residential","A011RD3",8.959,9.459,9.674,9.925,10.116,10.236,10.479,10.54,10.623,10.609,10.357,10.355,10.33,10.59,10.993,10.98,11.352,11.491,11.555,11.659,11.711,11.808,11.918,11.846,11.857,11.872,11.975,11.925,11.857,11.889,12.028,12.025,12.083,12.186,12.27,12.277,12.377,12.566,12.586,12.531,12.494,12.525,12.61,12.562,12.503,12.517,12.517,12.527,12.546,12.555,12.552,12.561,12.599,12.647,12.65,12.663,12.622,12.671,12.674,12.663,12.686,12.685,12.68,12.663,12.668,12.618,12.477,12.561,12.446,12.646,12.684,12.955,12.938,12.949,12.946,13.303,13.133,13.613,13.53,13.82,13.835,13.869,13.941,14.197,14.454,14.588,14.599,15.176,15.488,15.712,15.779,16.017
"22","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Exports","A020RD3",20.214,21.7,22.785,23.321,23.439,23.295,23.005,22.638,22.232,21.817,21.475,21.25,20.915,20.962,21.157,21.541,22.808,23.633,24.321,24.725,24.12,24.056,24.015,23.982,24.075,24.033,23.957,23.856,23.745,23.661,23.614,23.608,23.678,23.779,23.899,24.059,24.241,24.49,24.767,25.058,25.412,25.61,25.688,25.659,25.408,25.303,25.283,25.324,25.181,25.215,25.427,25.694,25.731,25.691,25.813,25.73,25.85,26.193,26.147,26.341,26.385,26.136,26.12,26.155,26.192,26.154,26.092,26.118,26.18,26.172,26.381,26.668,27.275,27.186,27.213,27.111,27.561,27.788,28.114,28.598,29.105,29.062,29.029,29.19,29.402,30.009,29.636,29.838,30.275,30.321,30.734,31.449
"25","17","    Goods","A253RD3",23.61,25.84,27.448,28.232,28.362,28.131,27.685,27.132,26.541,25.93,25.43,25.095,24.632,24.675,24.93,25.45,27.178,28.275,29.147,29.611,28.707,28.504,28.353,28.236,28.332,28.241,28.13,28.006,27.869,27.781,27.732,27.727,27.804,27.933,28.091,28.304,28.589,28.91,29.249,29.575,29.92,30.091,30.127,30.06,29.761,29.65,29.673,29.792,30.029,29.869,29.908,30.224,30.195,30.152,30.302,30.185,30.448,30.915,30.768,31.013,30.887,30.453,30.41,30.437,30.569,30.501,30.373,30.355,30.515,30.398,30.648,31.025,31.867,31.742,31.745,31.548,32.212,32.482,32.915,33.583,34.334,34.174,34.029,34.163,34.328,35.193,34.542,34.749,35.334,35.232,35.721,36.721
"26","18","    Services","A646RD3",14.085,13.469,13.153,13.047,13.151,13.232,13.339,13.436,13.493,13.569,13.614,13.662,13.621,13.681,13.739,13.812,14.029,14.255,14.549,14.847,14.927,15.192,15.415,15.582,15.673,15.745,15.744,15.695,15.634,15.554,15.507,15.499,15.557,15.597,15.634,15.678,15.621,15.711,15.856,16.079,16.484,16.77,16.966,17.022,16.867,16.767,16.651,16.525,15.808,16.138,16.592,16.765,16.892,16.852,16.917,16.903,16.769,16.89,17.017,17.117,17.454,17.519,17.55,17.601,17.483,17.495,17.549,17.661,17.534,17.72,17.849,17.96,18.132,18.11,18.179,18.26,18.295,18.441,18.571,18.713,18.784,18.939,19.097,19.296,19.572,19.713,19.825,20.009,20.181,20.466,20.735,20.929
"27","19","  Imports","A021RD3",13.749,14.716,15.501,16.021,16.381,16.431,16.269,16.012,15.659,15.494,15.414,15.45,15.706,16.025,16.546,17.342,18.837,19.891,20.489,20.569,19.706,19.374,19.031,18.715,18.546,18.359,18.273,18.275,18.486,18.572,18.689,18.702,18.469,18.481,18.519,18.578,18.632,18.777,18.89,19.067,19.147,19.16,19.046,18.858,18.412,18.22,18.192,18.237,18.266,18.359,18.449,18.629,18.574,18.568,18.661,18.611,18.63,18.61,18.592,18.584,18.37,18.399,18.334,18.43,18.597,18.678,18.788,18.892,19.061,19.158,19.131,19.188,19.342,19.259,19.392,19.598,19.692,19.9,19.847,19.965,19.963,19.913,19.918,19.93,20.062,20.213,20.253,20.395,20.478,20.566,20.714,21.249
"28","20","    Goods","A255RD3",13.568,14.872,15.916,16.6,16.929,16.966,16.746,16.424,16.043,15.855,15.759,15.81,16.198,16.599,17.252,18.243,20.127,21.53,22.377,22.541,21.1,20.701,20.289,19.931,19.759,19.575,19.524,19.581,19.826,19.965,20.155,20.182,19.907,19.938,19.992,20.058,20.123,20.297,20.414,20.648,20.679,20.694,20.542,20.294,19.702,19.433,19.382,19.408,19.336,19.519,19.672,19.937,19.874,19.836,19.865,19.725,19.695,19.628,19.623,19.611,19.285,19.245,19.089,19.063,19.185,19.267,19.401,19.518,19.811,19.921,19.844,19.89,19.958,19.79,19.94,20.161,20.182,20.483,20.406,20.575,20.504,20.424,20.423,20.428,20.568,20.723,20.704,20.872,20.994,21.074,21.194,21.91
"29","21","    Services","A656RD3",14.349,14.256,14.249,14.319,14.75,14.84,14.846,14.76,14.498,14.392,14.34,14.325,14.192,14.296,14.462,14.681,15.1,15.269,15.352,15.334,15.601,15.43,15.239,15.018,14.865,14.691,14.561,14.483,14.613,14.607,14.602,14.591,14.444,14.429,14.438,14.477,14.514,14.6,14.692,14.767,14.914,14.922,14.879,14.805,14.622,14.553,14.538,14.589,14.78,14.74,14.738,14.763,14.718,14.759,14.943,15.035,15.128,15.181,15.146,15.14,15.121,15.257,15.352,15.642,15.875,15.948,16.007,16.079,16.012,16.078,16.142,16.216,16.519,16.609,16.701,16.856,17.092,17.093,17.093,17.095,17.235,17.248,17.266,17.289,17.392,17.521,17.696,17.766,17.753,17.853,18.058,18.135
"30","22","Government consumption expenditures and gross investment","A822RD3",8.369,8.349,8.184,8.286,8.428,8.533,8.704,8.76,8.894,8.836,8.758,8.861,8.83,8.799,8.963,9.033,9.42,9.354,9.423,9.554,9.467,9.588,9.697,9.801,9.743,9.759,9.733,9.775,9.834,9.935,10,10.085,10.137,10.31,10.419,10.539,10.716,10.881,10.98,11.046,11.236,11.35,11.425,11.513,11.591,11.696,11.778,11.834,11.888,11.876,11.868,11.877,11.919,11.935,12.053,12.161,12.168,12.242,12.244,12.312,12.404,12.461,12.499,12.543,12.732,12.757,12.704,12.927,13.02,13.054,13.185,13.198,13.288,13.363,13.499,13.709,13.803,13.901,14.115,14.183,14.239,14.383,14.543,14.769,14.953,15.139,15.349,15.606,15.725,15.988,16.337,16.578
"31","23","  Federal","A823RD3",11.172,11.036,10.579,10.59,10.655,10.732,10.839,10.841,11.182,11.173,11.025,11.297,11.308,11.188,11.32,11.245,11.8,11.579,11.614,11.784,11.623,11.77,11.86,12.038,11.893,11.936,11.897,11.981,12.102,12.163,12.244,12.363,12.501,12.798,12.892,13.036,13.214,13.435,13.5,13.554,13.843,13.948,14.053,14.225,14.384,14.515,14.634,14.725,14.718,14.693,14.686,14.694,14.681,14.665,14.854,15.029,14.978,15.028,14.967,15.038,15.114,15.202,15.271,15.299,15.585,15.575,15.443,15.818,15.972,15.989,16.209,16.181,16.234,16.317,16.499,16.857,16.885,16.888,17.181,17.181,17.122,17.307,17.463,17.772,17.922,18.126,18.429,18.689,18.724,18.984,19.475,19.716
"32","24","    National defense","A824RD3",11.146,11.085,10.212,10.201,10.43,10.583,10.735,10.764,10.95,10.908,10.837,11.01,11.035,10.964,11.197,11.231,11.535,11.334,11.355,11.521,11.3,11.445,11.533,11.707,11.536,11.573,11.507,11.585,11.741,11.784,11.89,12.012,12.113,12.416,12.572,12.728,12.924,13.134,13.206,13.273,13.563,13.641,13.75,13.902,14.056,14.161,14.314,14.389,14.32,14.311,14.345,14.357,14.342,14.321,14.457,14.64,14.563,14.612,14.538,14.605,14.671,14.765,14.841,14.795,15.153,15.138,14.967,15.394,15.519,15.487,15.694,15.656,15.71,15.812,16.017,16.409,16.39,16.384,16.723,16.693,16.62,16.821,16.998,17.346,17.439,17.636,17.933,18.175,18.193,18.468,18.941,19.163
"33","25","    Nondefense","A825RD3",10.424,9.936,11.131,11.291,10.58,10.384,10.356,10.283,11.047,11.127,10.768,11.282,11.242,10.997,10.777,10.265,11.946,11.572,11.645,11.789,12.161,12.312,12.415,12.593,12.678,12.763,12.929,13.041,12.902,13.073,12.966,13.049,13.407,13.629,13.309,13.353,13.38,13.638,13.639,13.596,13.839,14.136,14.179,14.47,14.63,14.924,14.806,15.012,15.401,15.288,15.079,15.061,15.044,15.057,15.512,15.63,15.728,15.78,15.793,15.883,16.008,16.055,16.085,16.445,16.383,16.398,16.446,16.585,16.845,17.048,17.304,17.313,17.363,17.37,17.466,17.69,17.881,17.912,18.021,18.14,18.143,18.255,18.312,18.446,18.822,19.037,19.351,19.671,19.767,19.958,20.49,20.785
"34","26","  State and local","A829RD3",6.049,6.15,6.283,6.486,6.721,6.863,7.116,7.234,7.159,7.048,7.036,6.987,6.919,6.967,7.165,7.368,7.616,7.742,7.881,7.98,7.991,8.09,8.258,8.253,8.34,8.312,8.304,8.285,8.255,8.442,8.492,8.543,8.485,8.519,8.661,8.766,8.964,9.082,9.235,9.324,9.415,9.554,9.601,9.601,9.593,9.681,9.728,9.75,9.878,9.878,9.869,9.88,9.984,10.033,10.086,10.135,10.202,10.304,10.372,10.444,10.557,10.586,10.595,10.662,10.764,10.827,10.851,10.937,10.977,11.029,11.082,11.135,11.263,11.333,11.435,11.522,11.68,11.869,12.021,12.159,12.329,12.441,12.616,12.775,13.001,13.183,13.317,13.583,13.786,14.064,14.303,14.555
"35",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","27","  Gross national product","A001RD3",12.535,12.716,12.929,13.247,13.35,13.468,13.716,13.757,13.685,13.548,13.478,13.486,13.459,13.507,13.8,14.056,14.559,14.655,14.666,14.833,14.827,14.846,15.011,15.053,15.059,15.088,15.152,15.182,15.229,15.245,15.264,15.307,15.382,15.446,15.555,15.708,15.866,15.96,16.159,16.227,16.447,16.563,16.663,16.673,16.853,16.902,17.004,17.085,17.131,17.156,17.221,17.288,17.36,17.405,17.468,17.521,17.56,17.603,17.65,17.707,17.8,17.829,17.866,17.902,17.98,18.01,18.033,18.179,18.237,18.281,18.356,18.439,18.533,18.616,18.69,18.817,18.939,19.095,19.28,19.444,19.525,19.624,19.811,20.029,20.252,20.466,20.668,20.96,21.177,21.447,21.749,22.029
