"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","      Government","A822RC1","240,401.0","254,196.0","269,331.0","288,245.0","306,365.0","343,113.0","382,937.0","405,824.0","435,759.0","477,387.0","525,537.0","590,847.0","654,734.0","710,021.0","765,744.0","825,169.0","908,430.0","974,467.0","1,030,760.0","1,078,168.0","1,151,919.0","1,238,361.0","1,298,163.0","1,345,371.0","1,366,061.0","1,403,740.0","1,452,162.0","1,496,449.0","1,554,159.0","1,613,514.0","1,726,038.0","1,834,428.0","1,958,765.0","2,094,937.0","2,220,849.0","2,357,402.0","2,493,690.0","2,642,194.0","2,801,927.0","3,003,191.0","3,089,091.0","3,174,026.0","3,168,743.0","3,169,155.0","3,143,909.0"
"20","2","General public service","W575RC1","13,654.0","15,359.0","17,722.0","20,042.0","22,501.0","27,050.0","31,762.0","33,603.0","36,741.0","39,436.0","42,963.0","47,467.0","49,796.0","54,038.0","57,890.0","61,400.0","69,984.0","75,341.0","80,205.0","83,108.0","89,558.0","98,340.0","104,161.0","110,979.0","111,442.0","116,371.0","122,348.0","122,743.0","131,421.0","140,030.0","151,591.0","158,937.0","172,055.0","186,363.0","190,589.0","204,518.0","216,884.0","227,278.0","237,201.0","251,516.0","261,375.0","264,197.0","261,377.0","264,850.0","264,745.0"
"21","3","  Executive and legislative","W576RC1","3,327.0","4,019.0","4,916.0","5,472.0","6,018.0","7,417.0","7,990.0","8,367.0","8,959.0","9,663.0","11,514.0","13,099.0","13,465.0","14,891.0","13,617.0","14,604.0","16,012.0","16,547.0","17,878.0","17,553.0","18,461.0","22,169.0","23,183.0","23,630.0","24,891.0","25,653.0","28,791.0","26,834.0","29,520.0","30,769.0","32,624.0","34,534.0","37,600.0","44,724.0","49,425.0","59,943.0","62,606.0","66,241.0","71,964.0","77,249.0","82,223.0","84,190.0","87,912.0","90,293.0","85,362.0"
"22","4","  Tax collection and financial management","W577RC1","4,798.0","5,566.0","6,109.0","6,668.0","6,946.0","7,945.0","9,503.0","9,830.0","10,892.0","11,273.0","11,387.0","11,701.0","12,151.0","14,170.0","17,134.0","17,170.0","22,100.0","23,893.0","23,821.0","26,075.0","27,685.0","28,922.0","31,648.0","33,718.0","31,201.0","32,710.0","33,824.0","33,206.0","35,436.0","36,166.0","39,869.0","38,126.0","42,354.0","41,981.0","42,315.0","43,663.0","44,752.0","45,420.0","46,327.0","51,823.0","52,683.0","54,109.0","50,113.0","51,552.0","53,854.0"
"23","5","  Other","W578RC1","5,529.0","5,774.0","6,698.0","7,902.0","9,537.0","11,688.0","14,269.0","15,407.0","16,889.0","18,500.0","20,063.0","22,666.0","24,181.0","24,977.0","27,139.0","29,626.0","31,872.0","34,901.0","38,507.0","39,479.0","43,412.0","47,249.0","49,331.0","53,631.0","55,350.0","58,007.0","59,732.0","62,703.0","66,465.0","73,095.0","79,098.0","86,277.0","92,101.0","99,659.0","98,850.0","100,912.0","109,526.0","115,617.0","118,910.0","122,443.0","126,469.0","125,897.0","123,353.0","123,004.0","125,529.0"
"24","6","National defense","A824RC1","102,070.0","100,713.0","97,991.0","100,638.0","102,041.0","109,199.0","116,971.0","123,786.0","132,845.0","143,023.0","157,785.0","180,963.0","211,186.0","242,784.0","269,346.0","294,660.0","325,960.0","349,188.0","369,943.0","379,614.0","388,639.0","402,759.0","411,952.0","404,718.0","390,067.0","380,316.0","376,049.0","376,548.0","371,434.0","367,702.0","382,716.0","391,702.0","412,726.0","456,844.0","519,884.0","570,230.0","608,254.0","642,390.0","678,726.0","754,127.0","788,276.0","832,766.0","836,938.0","818,015.0","769,943.0"
"25","7","Public order and safety","W579RC1","10,999.0","12,517.0","14,450.0","16,357.0","18,068.0","20,555.0","23,549.0","25,517.0","27,922.0","30,913.0","34,333.0","38,222.0","42,689.0","47,463.0","51,918.0","56,644.0","63,070.0","68,897.0","74,974.0","83,019.0","93,461.0","103,626.0","113,005.0","122,764.0","132,493.0","141,888.0","151,559.0","161,693.0","171,212.0","182,184.0","197,736.0","213,488.0","230,099.0","246,286.0","253,730.0","269,280.0","283,291.0","299,893.0","321,027.0","343,680.0","350,750.0","353,179.0","358,987.0","365,428.0","373,164.0"
"26","8","  Police","W580RC1","5,430.0","6,119.0","7,120.0","8,138.0","8,966.0","10,038.0","11,419.0","12,179.0","13,257.0","14,514.0","15,845.0","17,317.0","19,203.0","21,026.0","22,863.0","24,659.0","27,130.0","29,059.0","31,002.0","33,902.0","37,357.0","40,674.0","44,090.0","48,433.0","52,706.0","55,889.0","59,405.0","64,099.0","68,249.0","72,556.0","78,200.0","83,946.0","90,514.0","99,927.0","105,923.0","114,614.0","120,600.0","127,748.0","137,435.0","149,301.0","153,579.0","157,398.0","161,837.0","165,512.0","169,223.0"
"27","9","  Fire","W581RC1","2,292.0","2,610.0","2,990.0","3,264.0","3,484.0","3,915.0","4,440.0","4,754.0","5,093.0","5,576.0","6,122.0","6,730.0","7,513.0","8,259.0","8,908.0","9,559.0","10,436.0","11,447.0","12,343.0","12,945.0","14,439.0","15,620.0","16,608.0","18,402.0","18,878.0","19,932.0","20,843.0","22,042.0","23,063.0","24,344.0","26,304.0","28,562.0","30,382.0","32,956.0","34,617.0","36,901.0","39,353.0","42,579.0","45,844.0","49,095.0","50,766.0","51,059.0","52,168.0","54,140.0","59,287.0"
"28","10","  Law courts","W582RC1","1,637.0","1,873.0","2,156.0","2,445.0","2,801.0","3,177.0","3,662.0","4,036.0","4,430.0","5,016.0","5,781.0","6,664.0","7,429.0","8,190.0","8,766.0","9,435.0","10,406.0","11,164.0","12,132.0","14,020.0","16,047.0","17,988.0","19,902.0","21,528.0","24,294.0","25,813.0","27,819.0","29,720.0","31,225.0","33,838.0","36,897.0","39,982.0","43,648.0","45,534.0","44,997.0","46,814.0","49,215.0","51,193.0","53,654.0","56,460.0","57,687.0","58,241.0","58,358.0","58,840.0","56,413.0"
"29","11","  Prisons","W583RC1","1,640.0","1,915.0","2,184.0","2,510.0","2,818.0","3,425.0","4,029.0","4,548.0","5,141.0","5,807.0","6,586.0","7,511.0","8,545.0","9,988.0","11,382.0","12,990.0","15,097.0","17,227.0","19,497.0","22,153.0","25,617.0","29,343.0","32,406.0","34,402.0","36,615.0","40,254.0","43,492.0","45,831.0","48,674.0","51,447.0","56,333.0","60,998.0","65,556.0","67,868.0","68,193.0","70,952.0","74,122.0","78,373.0","84,094.0","88,824.0","88,718.0","86,481.0","86,624.0","86,936.0","88,242.0"
"30","12","Economic affairs","W584RC1","43,379.0","46,043.0","49,785.0","52,719.0","55,324.0","63,095.0","70,817.0","73,686.0","79,001.0","90,459.0","100,714.0","113,998.0","126,763.0","129,751.0","137,848.0","141,752.0","155,474.0","164,358.0","166,015.0","165,699.0","178,509.0","195,248.0","202,554.0","214,132.0","221,300.0","228,643.0","233,998.0","240,353.0","251,375.0","258,264.0","278,441.0","298,480.0","314,078.0","331,179.0","342,101.0","352,552.0","367,226.0","389,604.0","418,190.0","442,355.0","456,977.0","476,347.0","464,335.0","469,284.0","474,533.0"
"31","13","  Transportation","W589RC1","22,795.0","25,024.0","26,813.0","28,040.0","29,770.0","34,866.0","38,170.0","38,187.0","39,496.0","43,945.0","50,087.0","56,005.0","59,838.0","62,472.0","66,390.0","72,246.0","77,844.0","82,635.0","86,680.0","91,236.0","94,582.0","103,095.0","107,991.0","111,486.0","117,451.0","124,793.0","127,125.0","132,251.0","140,100.0","146,852.0","158,324.0","170,778.0","184,475.0","195,057.0","203,673.0","209,013.0","220,972.0","235,360.0","250,178.0","267,823.0","274,580.0","279,507.0","284,727.0","290,148.0","295,499.0"
"32","14","    Highways","W590RC1","19,141.0","20,930.0","22,580.0","23,099.0","24,386.0","28,679.0","31,544.0","31,212.0","32,067.0","35,603.0","40,534.0","44,728.0","47,775.0","49,653.0","51,699.0","56,746.0","61,611.0","65,928.0","69,305.0","72,895.0","74,629.0","81,035.0","83,888.0","86,152.0","90,848.0","96,806.0","99,932.0","103,827.0","110,649.0","115,805.0","125,289.0","133,857.0","144,584.0","148,121.0","150,621.0","157,366.0","169,604.0","185,420.0","199,093.0","210,182.0","212,128.0","214,405.0","219,189.0","224,073.0","229,972.0"
"33","15","    Air","W591RC1","1,539.0","1,938.0","2,021.0","2,184.0","2,326.0","2,642.0","2,739.0","2,793.0","2,929.0","3,288.0","3,651.0","4,234.0","4,273.0","4,272.0","5,277.0","5,703.0","6,400.0","7,038.0","7,465.0","7,988.0","8,837.0","9,800.0","11,026.0","12,179.0","12,925.0","12,573.0","11,701.0","12,592.0","13,293.0","14,361.0","15,302.0","16,485.0","18,299.0","23,339.0","25,970.0","25,526.0","25,600.0","25,424.0","26,382.0","28,918.0","30,605.0","31,594.0","31,112.0","31,038.0","30,075.0"
"34","16","    Water","W592RC1","1,284.0","1,349.0","1,394.0","1,563.0","1,720.0","2,021.0","2,231.0","2,276.0","2,486.0","2,892.0","3,476.0","4,016.0","4,258.0","4,546.0","5,151.0","5,359.0","5,527.0","5,290.0","5,487.0","5,851.0","5,972.0","6,432.0","7,021.0","7,011.0","7,089.0","7,297.0","7,193.0","7,451.0","7,446.0","8,169.0","8,547.0","10,471.0","10,893.0","9,800.0","11,573.0","10,744.0","11,507.0","11,923.0","11,707.0","13,669.0","14,385.0","15,764.0","16,314.0","16,571.0","16,002.0"
"35","17","    Transit and railroad","W593RC1","831.0","806.0","818.0","1,193.0","1,338.0","1,522.0","1,655.0","1,906.0","2,014.0","2,163.0","2,425.0","3,027.0","3,532.0","4,001.0","4,263.0","4,437.0","4,306.0","4,379.0","4,422.0","4,502.0","5,145.0","5,828.0","6,056.0","6,144.0","6,589.0","8,117.0","8,298.0","8,381.0","8,713.0","8,517.0","9,185.0","9,964.0","10,698.0","13,797.0","15,510.0","15,378.0","14,261.0","12,593.0","12,996.0","15,054.0","17,462.0","17,744.0","18,113.0","18,466.0","19,451.0"
"36","18","  Space","W595RC1","7,125.0","6,946.0","6,950.0","6,902.0","6,743.0","7,289.0","7,819.0","7,883.0","8,087.0","8,211.0","8,821.0","10,086.0","11,133.0","11,673.0","12,716.0","13,097.0","13,908.0","13,805.0","14,948.0","16,830.0","19,630.0","22,404.0","23,762.0","24,047.0","24,279.0","23,629.0","23,834.0","24,724.0","25,011.0","24,263.0","24,005.0","24,040.0","24,525.0","26,071.0","26,736.0","27,774.0","28,112.0","27,896.0","29,906.0","31,642.0","32,142.0","32,062.0","30,688.0","30,616.0","30,241.0"
"37","19","  Other economic affairs","W596RC1","13,458.0","14,073.0","16,021.0","17,777.0","18,811.0","20,940.0","24,829.0","27,616.0","31,418.0","38,303.0","41,806.0","47,907.0","55,792.0","55,606.0","58,742.0","56,409.0","63,722.0","67,918.0","64,388.0","57,633.0","64,297.0","69,749.0","70,800.0","78,598.0","79,569.0","80,221.0","83,039.0","83,378.0","86,263.0","87,149.0","96,112.0","103,663.0","105,078.0","110,051.0","111,692.0","115,765.0","118,143.0","126,348.0","138,106.0","142,890.0","150,254.0","164,778.0","148,919.0","148,521.0","148,793.0"
"38","20","    General economic and labor affairs","W585RC1","3,395.0","3,783.0","4,652.0","5,348.0","5,768.0","5,153.0","5,642.0","6,427.0","7,434.0","8,428.0","9,392.0","11,096.0","11,173.0","11,193.0","10,856.0","11,368.0","12,649.0","13,248.0","14,334.0","15,024.0","17,485.0","21,479.0","18,539.0","20,785.0","21,597.0","21,890.0","22,992.0","24,096.0","24,807.0","25,781.0","27,891.0","32,213.0","31,147.0","29,972.0","29,908.0","31,524.0","32,929.0","33,525.0","36,037.0","38,549.0","44,125.0","46,220.0","41,400.0","41,009.0","42,109.0"
"39","21","    Agriculture","W586RC1","3,257.0","2,495.0","2,749.0","2,694.0","2,834.0","3,109.0","4,195.0","4,340.0","4,630.0","5,401.0","5,772.0","8,001.0","8,234.0","10,711.0","12,714.0","9,360.0","13,507.0","18,364.0","13,069.0","5,789.0","10,101.0","9,716.0","11,700.0","12,961.0","12,108.0","11,572.0","11,199.0","11,335.0","13,164.0","12,474.0","14,720.0","15,322.0","16,781.0","16,705.0","15,798.0","15,633.0","15,327.0","17,775.0","16,431.0","16,680.0","15,794.0","19,586.0","16,535.0","16,353.0","15,671.0"
"40","22","    Energy","W587RC1","3,452.0","3,877.0","4,212.0","4,692.0","5,032.0","6,622.0","8,019.0","9,543.0","11,826.0","15,950.0","16,645.0","17,646.0","23,833.0","20,635.0","20,728.0","20,588.0","21,304.0","19,798.0","19,075.0","18,608.0","17,958.0","18,423.0","18,718.0","22,151.0","24,034.0","22,437.0","24,008.0","21,086.0","20,922.0","19,643.0","22,379.0","22,086.0","22,250.0","25,715.0","29,473.0","29,296.0","27,660.0","29,976.0","34,990.0","37,786.0","39,699.0","45,553.0","37,743.0","38,980.0","40,003.0"
"41","23","    Natural resources","W588RC1","2,994.0","3,576.0","3,981.0","4,372.0","4,477.0","5,249.0","6,203.0","6,364.0","6,798.0","7,727.0","9,128.0","10,177.0","11,450.0","11,884.0","13,137.0","13,353.0","14,511.0","14,628.0","15,171.0","15,891.0","16,456.0","17,291.0","18,543.0","19,315.0","19,163.0","21,627.0","21,870.0","23,238.0","23,250.0","24,682.0","25,862.0","29,076.0","30,453.0","34,329.0","33,515.0","35,703.0","37,864.0","40,447.0","45,961.0","45,538.0","46,522.0","49,736.0","49,803.0","49,013.0","48,015.0"
"42","24","    Postal service","W594RC1","271.0","272.0","380.0","589.0","594.0","649.0","602.0","798.0","611.0","665.0","736.0","836.0","952.0","997.0","1,124.0","1,511.0","1,457.0","1,536.0","2,386.0","1,976.0","1,964.0","2,507.0","2,953.0","3,102.0","2,521.0","2,533.0","2,683.0","3,337.0","3,859.0","4,200.0","4,842.0","4,534.0","3,936.0","2,810.0","2,554.0","3,072.0","3,734.0","4,037.0","4,010.0","3,512.0","3,269.0","3,021.0","2,732.0","2,421.0","2,349.0"
"43","25","    Other","W684RC1","89.0","70.0","47.0","82.0","107.0","158.0","168.0","143.0","119.0","132.0","134.0","151.0","151.0","185.0","184.0","229.0","294.0","343.0","353.0","346.0","333.0","333.0","347.0","284.0","147.0","162.0","287.0","285.0","261.0","370.0","418.0","432.0","511.0","520.0","446.0","537.0","629.0","588.0","676.0","825.0","845.0","662.0","706.0","745.0","644.0"
"44","26","Housing and community services","W597RC1","5,213.0","5,636.0","6,346.0","6,374.0","7,151.0","8,504.0","9,662.0","10,101.0","9,969.0","11,894.0","13,145.0","15,746.0","15,673.0","15,341.0","14,751.0","16,428.0","17,838.0","20,094.0","22,127.0","23,187.0","24,251.0","26,580.0","27,652.0","28,054.0","27,853.0","26,573.0","27,643.0","29,952.0","31,406.0","32,001.0","34,194.0","33,116.0","37,878.0","41,857.0","44,040.0","45,837.0","49,240.0","57,260.0","59,540.0","61,535.0","60,540.0","63,794.0","58,784.0","55,323.0","55,883.0"
"45","27","Health","W598RC1","10,808.0","12,580.0","14,321.0","16,208.0","18,133.0","20,798.0","23,612.0","24,703.0","26,715.0","29,649.0","31,573.0","36,298.0","38,878.0","40,294.0","42,553.0","46,410.0","49,845.0","52,011.0","55,808.0","60,857.0","66,035.0","71,838.0","76,250.0","79,006.0","81,024.0","84,158.0","85,986.0","87,724.0","89,164.0","93,257.0","101,101.0","109,679.0","116,041.0","126,970.0","139,438.0","146,420.0","158,763.0","163,402.0","179,695.0","197,671.0","205,231.0","214,281.0","222,643.0","228,781.0","235,202.0"
"46","28","Recreation and culture","W599RC1","2,348.0","2,586.0","2,852.0","3,082.0","3,435.0","4,154.0","4,977.0","5,140.0","5,364.0","6,030.0","6,559.0","7,067.0","7,513.0","7,983.0","8,306.0","8,927.0","9,939.0","10,721.0","11,283.0","12,137.0","13,503.0","15,008.0","15,922.0","16,696.0","17,131.0","18,075.0","19,366.0","20,657.0","22,440.0","23,717.0","25,048.0","28,117.0","30,643.0","32,987.0","32,918.0","34,405.0","36,617.0","37,917.0","40,930.0","43,174.0","43,286.0","42,888.0","41,084.0","41,125.0","41,575.0"
"47","29","Education","W600RC1","48,389.0","54,550.0","60,964.0","66,823.0","72,923.0","81,210.0","92,270.0","98,770.0","105,073.0","112,900.0","124,157.0","135,197.0","145,482.0","154,870.0","163,861.0","178,142.0","194,118.0","210,902.0","226,056.0","244,538.0","269,028.0","292,663.0","311,274.0","329,306.0","343,272.0","362,445.0","387,893.0","408,386.0","434,068.0","460,252.0","495,259.0","535,973.0","574,104.0","592,863.0","616,590.0","652,273.0","685,619.0","727,501.0","775,636.0","816,310.0","827,823.0","830,365.0","831,771.0","832,714.0","832,889.0"
"48","30","  Elementary and secondary","W601RC1","37,051.0","41,169.0","46,073.0","50,330.0","54,476.0","60,775.0","69,397.0","74,383.0","79,339.0","85,369.0","94,203.0","102,148.0","108,837.0","115,847.0","123,374.0","134,601.0","146,296.0","159,804.0","172,570.0","186,734.0","204,961.0","223,680.0","238,930.0","253,632.0","262,585.0","275,986.0","296,831.0","314,146.0","334,619.0","355,213.0","382,888.0","412,854.0","439,141.0","459,330.0","483,009.0","509,227.0","535,805.0","570,160.0","602,758.0","630,631.0","637,192.0","636,797.0","631,953.0","625,334.0","621,292.0"
"49","31","  Higher","W602RC1","8,647.0","10,168.0","11,290.0","12,509.0","14,272.0","15,857.0","17,512.0","18,829.0","19,963.0","21,394.0","23,397.0","25,927.0","28,954.0","31,081.0","32,190.0","34,461.0","38,112.0","40,735.0","42,399.0","45,817.0","50,842.0","54,866.0","57,673.0","60,325.0","64,644.0","69,240.0","72,736.0","74,867.0","79,291.0","83,838.0","89,627.0","98,083.0","107,517.0","105,090.0","104,765.0","113,207.0","118,527.0","125,547.0","139,759.0","151,091.0","154,854.0","157,093.0","163,503.0","170,447.0","173,685.0"
"50","32","  Libraries and other","W682RC1","2,691.0","3,213.0","3,602.0","3,984.0","4,175.0","4,578.0","5,362.0","5,557.0","5,771.0","6,137.0","6,557.0","7,122.0","7,691.0","7,942.0","8,297.0","9,080.0","9,710.0","10,363.0","11,087.0","11,988.0","13,225.0","14,117.0","14,671.0","15,349.0","16,043.0","17,220.0","18,325.0","19,373.0","20,158.0","21,201.0","22,744.0","25,037.0","27,446.0","28,443.0","28,817.0","29,838.0","31,287.0","31,794.0","33,119.0","34,589.0","35,777.0","36,474.0","36,316.0","36,933.0","37,912.0"
"51","33","    Libraries","W603RC1","707.0","779.0","848.0","926.0","1,012.0","1,129.0","1,288.0","1,345.0","1,409.0","1,543.0","1,696.0","1,871.0","2,041.0","2,234.0","2,385.0","2,634.0","2,927.0","3,218.0","3,463.0","3,789.0","4,130.0","4,529.0","4,875.0","5,107.0","5,210.0","5,514.0","5,868.0","6,346.0","6,777.0","7,048.0","7,476.0","8,011.0","8,695.0","9,253.0","9,642.0","10,350.0","11,035.0","11,473.0","12,232.0","12,899.0","13,197.0","12,822.0","12,557.0","12,728.0","13,102.0"
"52","34","    Other","W604RC1","1,984.0","2,434.0","2,754.0","3,058.0","3,163.0","3,449.0","4,074.0","4,212.0","4,362.0","4,594.0","4,861.0","5,251.0","5,650.0","5,707.0","5,912.0","6,445.0","6,783.0","7,145.0","7,624.0","8,199.0","9,095.0","9,588.0","9,796.0","10,241.0","10,833.0","11,706.0","12,458.0","13,027.0","13,381.0","14,152.0","15,268.0","17,026.0","18,751.0","19,190.0","19,174.0","19,488.0","20,252.0","20,321.0","20,887.0","21,689.0","22,580.0","23,652.0","23,760.0","24,205.0","24,810.0"
"53","35","Income security","W605RC1","3,542.0","4,210.0","4,899.0","6,003.0","6,789.0","8,548.0","9,316.0","10,518.0","12,131.0","13,083.0","14,308.0","15,889.0","16,753.0","17,496.0","19,270.0","20,807.0","22,202.0","22,955.0","24,349.0","26,010.0","28,936.0","32,298.0","35,393.0","39,715.0","41,481.0","45,270.0","47,320.0","48,394.0","51,639.0","56,108.0","59,953.0","64,935.0","71,140.0","79,587.0","81,558.0","81,887.0","87,796.0","96,949.0","90,982.0","92,823.0","94,834.0","96,210.0","92,824.0","93,636.0","95,974.0"
"54","36","  Disability","W606RC1","192.0","213.0","266.0","326.0","275.0","383.0","416.0","433.0","569.0","529.0","609.0","667.0","749.0","869.0","1,036.0","1,119.0","1,156.0","938.0","1,152.0","1,084.0","1,299.0","1,522.0","1,777.0","2,063.0","2,129.0","2,487.0","2,823.0","2,852.0","3,138.0","3,458.0","3,192.0","3,320.0","3,556.0","4,788.0","5,137.0","5,030.0","5,270.0","5,480.0","5,184.0","4,848.0","4,619.0","4,232.0","4,007.0","3,963.0","4,018.0"
"55","37","  Retirement \1\","W607RC1","466.0","479.0","526.0","681.0","664.0","789.0","803.0","823.0","874.0","968.0","981.0","986.0","1,003.0","1,156.0","1,054.0","1,098.0","1,013.0","972.0","1,037.0","1,014.0","956.0","908.0","1,018.0","1,082.0","1,060.0","1,028.0","1,091.0","891.0","1,008.0","1,271.0","735.0","1,288.0","1,170.0","1,695.0","2,012.0","1,881.0","2,095.0","2,461.0","2,595.0","2,563.0","2,994.0","3,029.0","2,583.0","2,667.0","2,676.0"
