"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","Gross domestic product","A191RX1","1,934,471.0","1,932,281.0","1,930,315.0","1,960,705.0","1,989,535.0","2,021,851.0","2,033,155.0","2,035,329.0","2,007,522.0","2,000,788.0","2,022,798.0","2,004,653.0","2,084,559.0","2,147,592.0","2,230,362.0","2,273,435.0","2,304,542.0","2,344,517.0","2,392,808.0","2,398,105.0","2,423,457.0","2,428,516.0","2,446,081.0","2,526,359.0","2,573,372.0","2,593,456.0","2,578,922.0","2,539,786.0","2,528,043.0","2,530,689.0","2,559,397.0","2,609,272.0","2,683,766.0","2,727,452.0","2,764,128.0","2,780,762.0","2,770,032.0","2,792,872.0","2,790,588.0","2,836,238.0","2,854,517.0","2,848,186.0","2,875,927.0","2,846,446.0","2,772,654.0","2,790,948.0","2,855,472.0","2,922,264.0","2,976,629.0","3,049,011.0","3,043,139.0","3,055,104.0","3,123,162.0","3,111,310.0","3,119,057.0","3,081,300.0","3,102,251.0","3,159,918.0","3,212,606.0","3,277,717.0","3,336,753.0","3,372,706.0","3,404,833.0","3,418,046.0","3,456,080.0","3,501,134.0","3,569,479.0","3,594,954.0","3,672,708.0","3,716,382.0","3,766,862.0","3,780,219.0","3,873,452.0","3,926,406.0","4,006,152.0","4,100,631.0","4,201,891.0","4,219,097.0","4,249,152.0","4,285,582.0","4,324,926.0","4,328,720.0","4,366,088.0","4,401,233.0","4,490,609.0","4,566,442.0","4,599,332.0","4,619,803.0","4,691,637.0","4,706,684.0"
"21","2","Less: Exports of goods and services","A020RX1","90,995.0","89,848.0","85,287.0","75,624.0","72,174.0","65,427.0","66,965.0","64,605.0","72,337.0","71,718.0","65,727.0","56,898.0","55,960.0","56,636.0","58,105.0","62,814.0","65,954.0","72,444.0","74,224.0","73,528.0","77,441.0","68,928.0","63,484.0","63,919.0","62,838.0","63,230.0","65,764.0","63,597.0","60,745.0","69,472.0","67,240.0","70,336.0","72,950.0","71,249.0","75,925.0","76,267.0","79,886.0","85,269.0","88,108.0","92,058.0","98,061.0","95,154.0","92,489.0","89,724.0","80,818.0","81,200.0","81,457.0","81,199.0","86,577.0","89,454.0","92,289.0","89,818.0","101,064.0","107,484.0","104,769.0","106,940.0","106,207.0","104,732.0","104,163.0","107,384.0","107,121.0","117,400.0","110,834.0","108,444.0","110,981.0","123,968.0","117,348.0","123,237.0","130,790.0","132,953.0","131,936.0","135,866.0","121,201.0","143,954.0","135,710.0","145,548.0","142,979.0","149,242.0","143,616.0","148,349.0","151,162.0","149,820.0","146,197.0","150,365.0","154,745.0","157,814.0","167,125.0","165,017.0","145,249.0","177,816.0"
"22","3","Plus: Imports of goods and services","A021RX1","54,689.0","55,742.0","49,435.0","52,101.0","58,752.0","61,081.0","64,270.0","63,228.0","61,331.0","60,436.0","57,973.0","58,846.0","60,491.0","63,830.0","78,766.0","78,914.0","78,919.0","76,304.0","69,842.0","68,015.0","75,906.0","75,514.0","80,134.0","87,319.0","85,167.0","89,584.0","89,242.0","84,853.0","79,952.0","87,144.0","81,887.0","82,664.0","87,548.0","92,512.0","94,070.0","97,478.0","101,570.0","101,042.0","101,920.0","97,242.0","104,977.0","105,796.0","103,757.0","104,114.0","105,665.0","110,180.0","108,506.0","114,181.0","117,133.0","122,797.0","123,950.0","120,801.0","125,380.0","126,322.0","122,605.0","116,822.0","116,254.0","117,671.0","125,463.0","128,446.0","132,357.0","135,245.0","136,961.0","138,635.0","135,426.0","138,614.0","142,133.0","141,667.0","141,534.0","144,720.0","148,604.0","152,623.0","147,129.0","164,492.0","165,167.0","173,226.0","177,690.0","182,109.0","192,323.0","194,489.0","197,525.0","195,956.0","198,529.0","208,999.0","221,313.0","224,688.0","238,192.0","236,185.0","213,907.0","256,109.0"
"23","4","Equals: Gross domestic purchases","A712RX1","1,889,176.0","1,889,952.0","1,888,152.0","1,939,668.0","1,983,210.0","2,030,925.0","2,043,537.0","2,048,506.0","2,005,034.0","1,998,183.0","2,027,499.0","2,024,066.0","2,108,853.0","2,175,988.0","2,276,162.0","2,313,023.0","2,340,014.0","2,366,889.0","2,404,153.0","2,408,239.0","2,438,362.0","2,456,994.0","2,489,802.0","2,580,000.0","2,626,855.0","2,652,121.0","2,632,736.0","2,590,906.0","2,577,422.0","2,575,207.0","2,601,455.0","2,648,345.0","2,726,147.0","2,779,377.0","2,811,325.0","2,831,842.0","2,820,143.0","2,834,365.0","2,828,637.0","2,863,393.0","2,881,799.0","2,880,893.0","2,910,999.0","2,885,637.0","2,825,824.0","2,848,923.0","2,912,625.0","2,987,437.0","3,038,048.0","3,113,834.0","3,104,859.0","3,117,378.0","3,174,929.0","3,154,173.0","3,162,144.0","3,114,052.0","3,135,942.0","3,198,642.0","3,261,763.0","3,326,664.0","3,391,614.0","3,415,967.0","3,460,427.0","3,479,250.0","3,510,989.0","3,541,147.0","3,624,487.0","3,641,345.0","3,709,534.0","3,754,357.0","3,811,520.0","3,823,669.0","3,934,967.0","3,973,490.0","4,068,008.0","4,158,567.0","4,270,565.0","4,283,550.0","4,333,427.0","4,365,876.0","4,405,053.0","4,409,326.0","4,455,691.0","4,496,148.0","4,593,662.0","4,670,191.0","4,703,680.0","4,725,746.0","4,806,109.0","4,815,767.0"
"24","5","Less: Change in private inventories","A014RX1","5,505.0","-3,818.0","-14,894.0","-2,491.0","12,441.0","23,666.0","27,655.0","21,398.0","-2,184.0","-19,270.0","-4,222.0","-19,257.0","8,077.0","11,791.0","15,482.0","49,588.0","30,810.0","44,799.0","29,540.0","12,695.0","15,929.0","-3,874.0","17,649.0","17,698.0","14,301.0","14,031.0","8,511.0","-7,296.0","-6,484.0","-10,440.0","-8,317.0","-3,072.0","12,381.0","18,269.0","16,672.0","22,963.0","19,368.0","13,456.0","10,441.0","9,242.0","4,998.0","7,189.0","10,504.0","-9,789.0","-12,253.0","-10,681.0","5,414.0","14,243.0","11,544.0","29,230.0","3,460.0","17,127.0","42,751.0","12,215.0","17,275.0","-20,108.0","-9,167.0","7,910.0","26,249.0","21,779.0","34,416.0","21,618.0","25,354.0","15,053.0","29,606.0","19,524.0","23,173.0","16,928.0","18,068.0","17,336.0","20,773.0","19,867.0","45,521.0","32,796.0","36,934.0","29,703.0","52,041.0","50,014.0","44,456.0","61,182.0","57,259.0","25,154.0","33,895.0","32,975.0","30,126.0","52,768.0","28,805.0","23,933.0","40,124.0","33,530.0"
"25","6","Equals: Final sales to domestic purchasers","A713RX1","1,904,211.0","1,920,701.0","1,936,441.0","1,959,584.0","1,980,704.0","2,006,343.0","2,011,486.0","2,030,608.0","2,023,615.0","2,050,340.0","2,056,345.0","2,079,579.0","2,116,451.0","2,176,399.0","2,270,087.0","2,243,626.0","2,306,779.0","2,306,272.0","2,372,052.0","2,406,860.0","2,432,656.0","2,487,613.0","2,480,688.0","2,570,926.0","2,624,839.0","2,650,978.0","2,640,946.0","2,625,066.0","2,608,688.0","2,613,555.0","2,636,762.0","2,675,652.0","2,728,916.0","2,773,165.0","2,808,269.0","2,819,373.0","2,814,161.0","2,837,135.0","2,835,962.0","2,873,316.0","2,899,162.0","2,894,678.0","2,918,890.0","2,922,921.0","2,866,511.0","2,887,277.0","2,927,020.0","2,990,844.0","3,042,654.0","3,094,891.0","3,125,936.0","3,116,515.0","3,139,153.0","3,161,949.0","3,160,588.0","3,167,087.0","3,173,357.0","3,212,038.0","3,248,950.0","3,321,137.0","3,367,424.0","3,411,016.0","3,450,612.0","3,484,550.0","3,494,595.0","3,539,441.0","3,619,127.0","3,645,699.0","3,711,868.0","3,758,188.0","3,811,008.0","3,822,512.0","3,901,195.0","3,956,270.0","4,044,824.0","4,146,761.0","4,226,963.0","4,244,672.0","4,301,366.0","4,310,953.0","4,356,333.0","4,404,320.0","4,438,101.0","4,483,680.0","4,582,632.0","4,628,373.0","4,695,158.0","4,726,394.0","4,781,997.0","4,800,775.0"
"26",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","7","  Final sales of domestic product","A190RX1","1,949,788.0","1,962,863.0","1,977,916.0","1,980,352.0","1,987,149.0","1,997,827.0","2,001,834.0","2,017,820.0","2,025,770.0","2,051,877.0","2,051,010.0","2,058,815.0","2,091,771.0","2,147,745.0","2,223,977.0","2,204,884.0","2,271,574.0","2,284,702.0","2,361,155.0","2,396,672.0","2,417,708.0","2,458,358.0","2,436,749.0","2,516,990.0","2,570,940.0","2,591,844.0","2,586,522.0","2,572,859.0","2,558,295.0","2,567,942.0","2,593,693.0","2,635,744.0","2,686,114.0","2,720,898.0","2,760,711.0","2,768,073.0","2,763,719.0","2,795,216.0","2,797,430.0","2,845,721.0","2,871,299.0","2,861,413.0","2,883,350.0","2,882,610.0","2,812,037.0","2,828,015.0","2,869,103.0","2,925,085.0","2,980,647.0","3,029,939.0","3,063,273.0","3,053,760.0","3,087,744.0","3,118,577.0","3,117,178.0","3,132,916.0","3,138,571.0","3,172,703.0","3,199,680.0","3,271,917.0","3,312,668.0","3,367,517.0","3,394,792.0","3,422,737.0","3,439,606.0","3,499,140.0","3,563,796.0","3,598,843.0","3,674,695.0","3,719,825.0","3,765,998.0","3,778,733.0","3,839,928.0","3,909,168.0","3,982,980.0","4,088,619.0","4,158,688.0","4,180,548.0","4,217,135.0","4,231,252.0","4,276,666.0","4,323,141.0","4,348,166.0","4,388,277.0","4,478,997.0","4,524,773.0","4,590,151.0","4,619,564.0","4,667,178.0","4,691,158.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
