"","Table 3#8# Current Surplus of Government Enterprises            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1960 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/16/2014 1:26:26 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","      Current surplus of government enterprises","A108RC1","463.0","335.0","379.0","799.0","763.0","680.0","272.0","155.0","304.0","5.0"
"20","2","Federal","B097RC1","-696.0","-892.0","-901.0","-716.0","-762.0","-875.0","-1,195.0","-1,277.0","-1,029.0","-1,263.0"
"21","3","  Postal Service","L312101","-1,030.0","-1,235.0","-1,278.0","-1,090.0","-1,192.0","-1,319.0","-1,658.0","-1,775.0","-1,545.0","-1,930.0"
"22","4","  Federal Housing Administration","L312121","122.0","134.0","145.0","153.0","175.0","196.0","181.0","196.0","214.0","230.0"
"23","5","  Tennessee Valley Authority","L312131","-49.0","-47.0","-50.0","-52.0","-55.0","-55.0","-54.0","-56.0","-61.0","-68.0"
"24","6","  Other \1\","L312141","261.0","256.0","281.0","273.0","311.0","302.0","337.0","358.0","364.0","506.0"
"25","7","State and local","B115RC1","1,159.0","1,227.0","1,280.0","1,515.0","1,525.0","1,555.0","1,467.0","1,432.0","1,333.0","1,268.0"
"26","8","  Water and sewerage","L312181","125.0","94.0","180.0","265.0","277.0","270.0","211.0","133.0","88.0","134.0"
"27","9","  Gas and electricity","L312191","479.0","496.0","514.0","654.0","652.0","669.0","652.0","682.0","714.0","728.0"
"28","10","  Toll facilities","L312201","295.0","304.0","333.0","347.0","379.0","420.0","449.0","466.0","481.0","502.0"
"29","11","  Liquor stores","L312211","239.0","241.0","244.0","254.0","267.0","289.0","312.0","342.0","357.0","360.0"
"30","12","  Air and water terminals","L312221","-2.0","10.0","15.0","23.0","29.0","39.0","50.0","72.0","80.0","79.0"
"31","13","  Housing and urban renewal","L312231","73.0","86.0","47.0","87.0","59.0","52.0","22.0","9.0","11.0","-19.0"
"32","14","  Public transit","L312241","-64.0","-41.0","-43.0","-103.0","-113.0","-154.0","-171.0","-204.0","-302.0","-348.0"
"33","15","  Other \2\","L312251","15.0","37.0","-10.0","-11.0","-24.0","-29.0","-58.0","-69.0","-95.0","-169.0"
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Consists largely of the Bonneville Power Administration, other electric power agencies, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","insurance agencies other than those insuring deposits in financial institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Consists of lotteries, gaming administered by Indian tribal governments, off-track betting,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","local parking, and miscellaneous activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
