"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","    Current receipts from the rest of the world","A120RC1","63,701.0","72,543.0","76,975.0","87,122.0","118,811.0","156,471.0","166,731.0","181,878.0","196,550.0","233,137.0","298,450.0","359,865.0","397,263.0","384,202.0","378,878.0","424,248.0","415,871.0","432,324.0","487,230.0","596,717.0","681,990.0","740,721.0","763,295.0","785,105.0","810,400.0","905,482.0","1,042,646.0","1,113,994.0","1,233,877.0","1,239,760.0","1,313,400.0","1,479,525.0","1,352,021.0","1,318,314.0","1,396,393.0","1,632,951.0","1,884,688.0","2,200,555.0","2,540,280.0","2,698,871.0","2,236,639.0","2,572,354.0","2,899,014.0","2,987,982.0","3,072,614.0"
"20","2","Exports of goods and services","B020RC1","51,922.0","59,710.0","62,964.0","70,844.0","95,270.0","126,651.0","138,707.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,239.0","283,209.0","276,996.0","302,383.0","303,209.0","321,000.0","363,944.0","444,601.0","504,291.0","551,874.0","594,932.0","633,053.0","654,800.0","720,939.0","812,813.0","867,590.0","953,806.0","952,981.0","991,980.0","1,096,835.0","1,026,713.0","1,002,509.0","1,040,279.0","1,181,507.0","1,308,901.0","1,476,316.0","1,664,625.0","1,841,942.0","1,587,742.0","1,852,335.0","2,106,371.0","2,194,153.0","2,262,216.0"
"21","3","  Goods \1\","A253RC1","38,744.0","45,038.0","46,197.0","52,587.0","75,772.0","103,495.0","112,491.0","121,484.0","128,411.0","149,909.0","187,266.0","230,429.0","245,206.0","222,550.0","214,048.0","231,289.0","227,487.0","231,448.0","265,555.0","332,055.0","374,752.0","403,265.0","430,137.0","455,310.0","467,725.0","518,372.0","592,443.0","628,784.0","699,889.0","692,566.0","711,723.0","797,256.0","743,835.0","713,161.0","741,420.0","834,384.0","926,583.0","1,049,570.0","1,166,421.0","1,298,804.0","1,065,118.0","1,279,593.0","1,466,862.0","1,527,150.0","1,562,817.0"
"22","4","    Durable","A332RC1","23,927.0","27,365.0","27,868.0","31,437.0","42,286.0","57,718.0","65,237.0","70,901.0","74,421.0","87,516.0","109,630.0","135,651.0","143,169.0","128,450.0","123,763.0","135,209.0","139,869.0","145,341.0","166,941.0","211,915.0","242,504.0","265,287.0","285,566.0","304,193.0","317,867.0","353,771.0","398,603.0","426,368.0","488,418.0","492,407.0","508,701.0","573,371.0","525,285.0","492,771.0","501,816.0","565,704.0","629,786.0","715,015.0","782,920.0","829,232.0","671,646.0","801,435.0","893,988.0","940,946.0","957,278.0"
"23","5","    Nondurable","A339RC1","14,817.0","17,673.0","18,329.0","21,150.0","33,486.0","45,777.0","47,254.0","50,583.0","53,990.0","62,393.0","77,636.0","94,778.0","102,037.0","94,100.0","90,285.0","96,080.0","87,618.0","86,107.0","98,614.0","120,140.0","132,248.0","137,978.0","144,571.0","151,117.0","149,858.0","164,601.0","193,840.0","202,416.0","211,471.0","200,159.0","203,022.0","223,885.0","218,550.0","220,390.0","239,604.0","268,680.0","296,797.0","334,555.0","383,501.0","469,572.0","393,472.0","478,158.0","572,874.0","586,204.0","605,539.0"
"24","6","  Services \1\","A646RC1","13,178.0","14,672.0","16,767.0","18,257.0","19,498.0","23,156.0","26,216.0","28,031.0","30,939.0","36,976.0","42,863.0","50,344.0","60,033.0","60,659.0","62,948.0","71,094.0","75,722.0","89,552.0","98,389.0","112,546.0","129,539.0","148,609.0","164,795.0","177,743.0","187,075.0","202,567.0","220,370.0","238,806.0","253,917.0","260,415.0","280,257.0","299,579.0","282,878.0","289,348.0","298,859.0","347,123.0","382,318.0","426,746.0","498,204.0","543,138.0","522,624.0","572,742.0","639,509.0","667,003.0","699,399.0"
"25","7","Income receipts","B645RC1","11,779.0","12,833.0","14,011.0","16,278.0","23,541.0","29,820.0","28,024.0","32,363.0","37,200.0","46,252.0","68,321.0","79,092.0","92,024.0","100,993.0","101,882.0","121,865.0","112,662.0","111,324.0","123,286.0","152,116.0","177,699.0","188,847.0","168,363.0","152,052.0","155,600.0","184,543.0","229,833.0","246,404.0","280,071.0","286,779.0","321,420.0","382,690.0","325,308.0","315,805.0","356,114.0","451,444.0","575,787.0","724,239.0","875,655.0","856,929.0","648,897.0","720,019.0","792,643.0","793,829.0","810,398.0"
"26","8","  Wage and salary receipts","B4188C1","237.0","251.0","268.0","282.0","295.0","330.0","357.0","385.0","402.0","404.0","430.0","465.0","511.0","540.0","574.0","619.0","646.0","908.0","994.0","995.0","1,017.0","1,172.0","1,290.0","1,796.0","1,820.0","1,943.0","2,179.0","2,181.0","2,270.0","2,437.0","4,246.0","4,395.0","4,513.0","4,570.0","4,671.0","4,734.0","4,796.0","5,069.0","5,219.0","5,364.0","5,740.0","5,931.0","6,105.0","6,354.0","6,695.0"
"27","9","  Income receipts on assets","W160RC1","11,544.0","12,582.0","13,744.0","15,999.0","23,246.0","29,490.0","27,668.0","31,978.0","36,798.0","45,848.0","67,897.0","78,627.0","91,513.0","100,453.0","101,308.0","121,246.0","112,010.0","110,415.0","122,291.0","151,121.0","176,682.0","187,674.0","167,076.0","150,254.0","153,779.0","182,600.0","227,652.0","244,222.0","277,801.0","284,341.0","317,174.0","378,295.0","320,795.0","311,235.0","351,442.0","446,712.0","570,994.0","719,176.0","870,442.0","851,564.0","643,158.0","714,088.0","786,538.0","787,476.0","803,703.0"
"28","10","    Interest","A2067C1","3,497.0","3,926.0","3,963.0","4,248.0","5,671.0","9,092.0","9,762.0","11,040.0","13,008.0","16,847.0","25,337.0","34,782.0","53,435.0","63,783.0","60,205.0","75,142.0","65,211.0","61,698.0","63,369.0","79,541.0","101,172.0","106,756.0","91,584.0","71,926.0","64,831.0","78,075.0","100,288.0","104,864.0","122,306.0","137,555.0","139,881.0","175,259.0","137,509.0","105,954.0","101,399.0","118,535.0","187,304.0","285,406.0","360,013.0","269,575.0","145,072.0","129,481.0","142,206.0","143,140.0","146,642.0"
"29","11","    Dividends","B3375C1","4,849.0","5,046.0","6,065.0","6,531.0","8,556.0","11,618.0","8,622.0","11,676.0","14,149.0","14,721.0","19,908.0","21,492.0","20,732.0","23,853.0","19,526.0","19,650.0","20,989.0","27,873.0","27,912.0","45,128.0","47,878.0","43,658.0","41,446.0","44,683.0","39,467.0","59,652.0","58,559.0","69,074.0","79,990.0","83,247.0","92,488.0","86,157.0","87,206.0","92,651.0","101,013.0","135,643.0","363,340.0","186,016.0","248,982.0","316,366.0","237,154.0","247,994.0","298,596.0","321,663.0","286,817.0"
"30","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1","3,198.0","3,610.0","3,716.0","5,220.0","9,019.0","8,780.0","9,284.0","9,262.0","9,641.0","14,280.0","22,652.0","22,353.0","17,346.0","12,817.0","21,577.0","26,454.0","25,810.0","20,844.0","31,010.0","26,452.0","27,632.0","37,260.0","34,046.0","33,645.0","49,481.0","44,873.0","68,805.0","70,284.0","75,505.0","63,539.0","84,805.0","116,879.0","96,080.0","112,630.0","149,030.0","192,534.0","20,350.0","247,754.0","261,447.0","265,623.0","260,932.0","336,613.0","345,736.0","322,673.0","370,244.0"
"31","13","    Current payments to the rest of the world","W163RC1","62,097.0","68,818.0","76,663.0","91,163.0","109,949.0","150,500.0","146,891.0","174,784.0","207,463.0","245,764.0","299,617.0","351,354.0","393,887.0","387,502.0","413,931.0","514,325.0","530,176.0","574,998.0","641,323.0","712,442.0","774,342.0","815,619.0","755,416.0","830,680.0","888,931.0","1,020,181.0","1,147,696.0","1,228,101.0","1,363,169.0","1,444,268.0","1,600,422.0","1,883,755.0","1,741,000.0","1,769,223.0","1,912,946.0","2,259,390.0","2,627,548.0","3,004,579.0","3,257,901.0","3,384,993.0","2,613,922.0","3,020,252.0","3,379,524.0","3,470,191.0","3,494,772.0"
"32","14","Imports of goods and services","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,993.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,248,611.0","1,472,630.0","1,395,396.0","1,428,973.0","1,543,934.0","1,800,677.0","2,030,086.0","2,247,263.0","2,383,167.0","2,565,009.0","1,983,178.0","2,364,992.0","2,686,366.0","2,762,459.0","2,770,405.0"
"33","15","  Goods \1\","A255RC1","36,813.0","40,855.0","46,550.0","56,934.0","71,843.0","104,520.0","99,000.0","124,632.0","152,630.0","177,410.0","212,788.0","248,571.0","267,815.0","250,541.0","272,677.0","336,316.0","343,294.0","370,006.0","414,769.0","452,124.0","484,793.0","508,072.0","500,723.0","544,929.0","592,762.0","676,813.0","757,448.0","807,448.0","885,656.0","930,751.0","1,051,210.0","1,251,475.0","1,176,696.0","1,199,336.0","1,296,192.0","1,511,563.0","1,719,374.0","1,899,658.0","2,003,771.0","2,149,379.0","1,590,294.0","1,949,814.0","2,244,732.0","2,306,038.0","2,302,258.0"
"34","16","    Durable","A333RC1","20,757.0","22,775.0","26,602.0","33,290.0","40,803.0","50,321.0","45,639.0","56,814.0","69,194.0","89,025.0","100,447.0","111,933.0","126,049.0","125,129.0","147,323.0","192,439.0","204,165.0","238,794.0","264,183.0","294,777.0","310,284.0","314,526.0","315,526.0","346,702.0","386,398.0","454,045.0","510,757.0","533,395.0","588,528.0","637,724.0","715,844.0","822,911.0","757,671.0","774,215.0","806,319.0","936,532.0","1,025,695.0","1,131,176.0","1,176,247.0","1,162,953.0","893,778.0","1,106,929.0","1,238,696.0","1,328,651.0","1,360,515.0"
"35","17","    Nondurable","A340RC1","16,056.0","18,080.0","19,948.0","23,644.0","31,040.0","54,199.0","53,361.0","67,818.0","83,436.0","88,385.0","112,341.0","136,638.0","141,766.0","125,412.0","125,354.0","143,877.0","139,129.0","131,212.0","150,586.0","157,347.0","174,509.0","193,546.0","185,197.0","198,227.0","206,364.0","222,768.0","246,691.0","274,053.0","297,128.0","293,027.0","335,366.0","428,564.0","419,025.0","425,121.0","489,873.0","575,031.0","693,679.0","768,482.0","827,524.0","986,426.0","696,516.0","842,885.0","1,006,036.0","977,387.0","941,743.0"
"36","18","  Services \1\","B656RC1","13,678.0","14,905.0","15,792.0","17,282.0","19,316.0","22,945.0","23,729.0","26,514.0","29,813.0","34,841.0","39,887.0","45,258.0","49,944.0","52,642.0","55,961.0","68,791.0","73,934.0","82,861.0","93,945.0","101,869.0","106,239.0","121,657.0","122,824.0","122,864.0","127,212.0","136,612.0","145,123.0","156,518.0","170,120.0","184,939.0","197,401.0","221,155.0","218,700.0","229,637.0","247,742.0","289,114.0","310,712.0","347,605.0","379,396.0","415,630.0","392,884.0","415,178.0","441,634.0","456,421.0","468,147.0"
"37","19","Income payments","A655RC1","5,664.0","6,440.0","6,417.0","7,720.0","10,922.0","14,300.0","15,020.0","15,516.0","16,908.0","24,671.0","36,390.0","44,907.0","59,089.0","64,483.0","64,797.0","85,575.0","87,297.0","94,367.0","105,798.0","129,459.0","152,910.0","154,155.0","136,777.0","120,975.0","123,602.0","160,678.0","201,075.0","214,622.0","255,969.0","268,545.0","294,289.0","345,683.0","273,505.0","267,206.0","289,000.0","362,312.0","483,218.0","656,639.0","750,074.0","684,918.0","497,849.0","514,050.0","546,004.0","566,467.0","586,069.0"
"38","20","  Wage and salary payments","B4189C1","215.0","228.0","247.0","283.0","308.0","352.0","400.0","422.0","464.0","503.0","501.0","563.0","667.0","732.0","747.0","830.0","861.0","2,690.0","2,350.0","1,862.0","2,302.0","3,479.0","4,041.0","4,761.0","5,140.0","5,958.0","6,269.0","6,306.0","6,672.0","7,000.0","11,416.0","10,960.0","11,718.0","12,369.0","12,913.0","13,977.0","15,912.0","16,429.0","15,725.0","17,066.0","14,422.0","13,965.0","14,186.0","14,807.0","15,572.0"
"39","21","  Income payments on assets","W161RC1","5,451.0","6,212.0","6,171.0","7,436.0","10,614.0","13,947.0","14,620.0","15,094.0","16,444.0","24,168.0","35,889.0","44,344.0","58,422.0","63,783.0","64,047.0","84,735.0","86,437.0","91,676.0","103,450.0","127,596.0","150,606.0","150,676.0","132,737.0","116,214.0","118,460.0","154,719.0","194,806.0","208,317.0","249,298.0","261,546.0","282,873.0","334,722.0","261,786.0","254,837.0","276,087.0","348,334.0","467,308.0","640,210.0","734,350.0","667,852.0","483,428.0","500,086.0","531,819.0","551,659.0","570,497.0"
"40","22","    Interest","B1869C1","3,999.0","4,656.0","4,245.0","5,219.0","7,937.0","11,018.0","11,345.0","10,704.0","11,767.0","18,036.0","27,940.0","35,970.0","50,023.0","59,700.0","58,000.0","75,200.0","77,736.0","82,433.0","92,537.0","113,001.0","142,227.0","145,845.0","133,716.0","110,976.0","106,443.0","128,160.0","160,389.0","170,929.0","201,357.0","217,521.0","227,583.0","277,865.0","248,900.0","208,314.0","192,672.0","225,189.0","322,695.0","462,604.0","577,305.0","492,559.0","342,531.0","310,660.0","309,395.0","309,164.0","316,490.0"
"41","23","    Dividends","B3376C1","1,013.0","1,110.0","1,375.0","1,637.0","1,756.0","1,853.0","2,066.0","2,717.0","3,070.0","3,537.0","3,867.0","4,744.0","5,287.0","7,468.0","7,381.0","7,358.0","9,152.0","9,990.0","11,207.0","13,234.0","16,278.0","18,684.0","17,119.0","16,649.0","18,885.0","21,486.0","25,787.0","28,683.0","32,780.0","40,977.0","50,962.0","56,917.0","46,539.0","44,750.0","68,919.0","73,325.0","102,479.0","108,114.0","108,552.0","135,854.0","119,017.0","126,577.0","143,683.0","144,806.0","153,953.0"
"42","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1","439.0","446.0","551.0","580.0","921.0","1,076.0","1,209.0","1,673.0","1,607.0","2,595.0","4,082.0","3,630.0","3,112.0","-3,385.0","-1,334.0","2,177.0","-451.0","-747.0","-294.0","1,361.0","-7,899.0","-13,853.0","-18,098.0","-11,411.0","-6,868.0","5,073.0","8,630.0","8,705.0","15,161.0","3,048.0","4,328.0","-60.0","-33,653.0","1,773.0","14,496.0","49,820.0","42,134.0","69,492.0","48,493.0","39,439.0","21,880.0","62,849.0","78,741.0","97,689.0","100,054.0"
"43","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1","5,942.0","6,618.0","7,904.0","9,227.0","7,868.0","8,735.0","9,142.0","8,122.0","8,112.0","8,842.0","10,552.0","12,618.0","17,039.0","19,836.0","20,496.0","23,643.0","25,651.0","27,764.0","26,811.0","28,990.0","30,400.0","31,735.0","-4,908.0","41,912.0","45,355.0","46,078.0","44,050.0","49,513.0","51,424.0","60,033.0","57,522.0","65,442.0","72,099.0","73,044.0","80,012.0","96,401.0","114,244.0","100,677.0","124,660.0","135,066.0","132,895.0","141,210.0","147,154.0","141,265.0","138,298.0"
"44","26","  From persons (net)","B070RC1","1,115.0","1,286.0","1,351.0","1,380.0","1,554.0","1,363.0","1,338.0","1,376.0","1,375.0","1,575.0","1,714.0","1,952.0","5,578.0","6,738.0","6,998.0","7,899.0","8,327.0","9,144.0","10,028.0","10,790.0","11,552.0","12,220.0","14,082.0","14,492.0","17,070.0","18,930.0","20,255.0","22,635.0","25,663.0","29,666.0","32,177.0","34,649.0","38,081.0","40,631.0","41,190.0","43,599.0","48,355.0","51,593.0","59,327.0","66,164.0","66,069.0","73,010.0","74,076.0","73,141.0","74,279.0"
"45","27","  From government (net)","B088RC1","4,524.0","4,931.0","6,128.0","7,365.0","5,629.0","6,381.0","7,064.0","5,671.0","5,340.0","5,915.0","6,818.0","8,261.0","8,265.0","9,680.0","10,090.0","12,249.0","14,431.0","15,431.0","13,430.0","13,726.0","14,233.0","14,696.0","-24,005.0","22,001.0","22,930.0","21,144.0","15,553.0","20,009.0","16,696.0","17,393.0","17,933.0","19,410.0","15,750.0","21,159.0","25,164.0","26,489.0","34,607.0","27,151.0","34,548.0","33,708.0","45,643.0","45,626.0","51,512.0","44,310.0","40,724.0"
"46","28","  From business (net)","W164RC1","303.0","401.0","425.0","482.0","685.0","991.0","740.0","1,075.0","1,397.0","1,352.0","2,020.0","2,405.0","3,196.0","3,418.0","3,408.0","3,495.0","2,893.0","3,189.0","3,353.0","4,474.0","4,615.0","4,819.0","5,015.0","5,419.0","5,355.0","6,004.0","8,242.0","6,869.0","9,065.0","12,974.0","7,412.0","11,383.0","18,268.0","11,254.0","13,658.0","26,313.0","31,282.0","21,933.0","30,785.0","35,194.0","21,183.0","22,574.0","21,566.0","23,814.0","23,295.0"
"47","29","    Balance on current account, NIPAs","A124RC1","1,604.0","3,725.0","312.0","-4,041.0","8,862.0","5,971.0","19,840.0","7,094.0","-10,913.0","-12,627.0","-1,167.0","8,511.0","3,376.0","-3,300.0","-35,053.0","-90,077.0","-114,305.0","-142,674.0","-154,093.0","-115,725.0","-92,352.0","-74,898.0","7,879.0","-45,575.0","-78,531.0","-114,699.0","-105,050.0","-114,107.0","-129,292.0","-204,508.0","-287,022.0","-404,230.0","-388,979.0","-450,909.0","-516,553.0","-626,439.0","-742,860.0","-804,024.0","-717,621.0","-686,122.0","-377,283.0","-447,898.0","-480,510.0","-482,209.0","-422,158.0"
"48",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","30","  Net lending or net borrowing (-), NIPAs","W162RC1","1,602.0","3,720.0","296.0","-4,071.0","8,825.0","5,935.0","19,783.0","7,043.0","-10,977.0","-12,714.0","-1,275.0","8,383.0","3,254.0","-3,413.0","-35,154.0","-90,175.0","-114,448.0","-142,785.0","-154,231.0","-115,859.0","-92,700.0","-82,271.0","2,580.0","-44,298.0","-79,406.0","-115,969.0","-105,469.0","-114,316.0","-129,768.0","-204,738.0","-291,489.0","-404,573.0","-376,039.0","-451,409.0","-518,679.0","-623,651.0","-730,006.0","-806,090.0","-717,530.0","-680,712.0","-377,847.0","-448,581.0","-482,146.0","-475,717.0","-422,999.0"
"50","31","    Balance on current account, NIPAs","A124RC1","1,604.0","3,725.0","312.0","-4,041.0","8,862.0","5,971.0","19,840.0","7,094.0","-10,913.0","-12,627.0","-1,167.0","8,511.0","3,376.0","-3,300.0","-35,053.0","-90,077.0","-114,305.0","-142,674.0","-154,093.0","-115,725.0","-92,352.0","-74,898.0","7,879.0","-45,575.0","-78,531.0","-114,699.0","-105,050.0","-114,107.0","-129,292.0","-204,508.0","-287,022.0","-404,230.0","-388,979.0","-450,909.0","-516,553.0","-626,439.0","-742,860.0","-804,024.0","-717,621.0","-686,122.0","-377,283.0","-447,898.0","-480,510.0","-482,209.0","-422,158.0"
"51","32","    Less: Capital account transactions (net) \2\","W167RC1","2.0","5.0","16.0","30.0","37.0","36.0","57.0","51.0","64.0","87.0","108.0","128.0","122.0","113.0","101.0","98.0","143.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","-1,277.0","875.0","1,270.0","419.0","209.0","476.0","230.0","4,467.0","343.0","-12,940.0","500.0","2,126.0","-2,788.0","-12,854.0","2,066.0","-91.0","-5,410.0","564.0","683.0","1,636.0","-6,492.0","841.0"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1. Exports and imports of certain goods, primarily military equipment purchased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","and sold by the federal government, are included in services.  Beginning with 1986,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
