"","Table 6#2D# Compensation of Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 01, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2007 10:26:57 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","      Compensation of employees","A033RC0",5019383,5357103,5782665,5942085,6091188,6325381,6656396,7029623,7448253
"9","2","Domestic industries","A4002C0",5023946,5362316,5787257,5947248,6096629,6331085,6662544,7036030,7454791
"10","3","  Private industries","A4003C0",4107706,4407009,4776446,4882424,4957597,5118712,5382199,5689754,6043977
"11","4","    Agriculture, forestry, fishing, and hunting","N4004C0",31214,32960,34641,36087,36445,36080,38723,39653,40890
"12","5","      Farms \1\","N4005C0",18212,18906,19719,20878,20792,19984,21981,22101,22669
"13","6","      Forestry, fishing, and related activities","N4006C0",13002,14054,14922,15210,15654,16096,16742,17553,18222
"14","7","    Mining","N4007C0",34606,33444,35981,38836,37736,39426,43982,50439,58914
"15","8","      Oil and gas extraction","N4008C0",12198,12285,13418,14129,14209,14941,16954,18861,22066
"16","9","      Mining, except oil and gas","N4009C0",13371,13214,13078,13385,12961,13166,14360,15552,16732
"17","10","      Support activities for mining","N4010C0",9037,7946,9484,11322,10566,11320,12668,16027,20117
"18","11","    Utilities","N4011C0",41181,42629,46341,48412,51215,51765,57449,59026,60765
"19","12","    Construction","N4012C0",254268,282763,309187,327586,332734,341009,356256,389262,425453
"20","13","    Manufacturing","N4013C0",825331,854192,918856,876811,874315,888587,902691,929440,962246
"21","14","      Durable goods","N4014C0",546233,570351,621216,584238,570836,583608,588392,609369,636988
"22","15","        Wood products","N4015C0",20305,21432,22172,21348,21471,21614,23177,24430,24693
"23","16","        Nonmetallic mineral products","N4016C0",22599,23795,25788,25672,25482,25407,27191,28461,29766
"24","17","        Primary metals","N4017C0",33039,33566,34800,32239,29624,29037,31873,32719,34030
"25","18","        Fabricated metal products","N4018C0",73454,75003,80339,77349,75035,73985,77221,81151,85884
"26","19","        Machinery","N4019C0",75414,75553,80456,75361,71127,71142,74876,78511,82630
"27","20","        Computer and electronic products","N4020C0",118733,129058,155540,137317,122375,119716,119938,125529,132615
"28","21","        Electrical equipment, appliances, and components","N4021C0",26436,27889,30633,28610,27612,27896,27868,28157,29302
"29","22","        Motor vehicles, bodies and trailers, and parts","N4022C0",76775,81656,84980,79420,88639,102854,83689,83313,84246
"30","23","        Other transportation equipment","N4023C0",47455,47424,47411,48355,50800,49816,57383,60566,65228
"31","24","        Furniture and related products","N4024C0",20595,21924,23788,22902,22450,25146,22729,23277,23857
"32","25","        Miscellaneous manufacturing","N4025C0",31429,33052,35310,35664,36221,36994,42446,43256,44739
"33","26","      Nondurable goods","N4026C0",279098,283842,297641,292572,303478,304979,314299,320070,325258
"34","27","        Food and beverage and tobacco products","N4027C0",64903,66674,71355,73118,78627,76810,82532,84328,86481
"35","28","        Textile mills and textile product mills","N4029C0",20007,19775,20268,18610,17620,16634,16231,15621,15057
