"","Table 7#2#1B# Percent Change from Preceding Period in Real Motor","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1968 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 29, 2007 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2007 10:32:33 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","      Motor vehicle output","A953RL1",22.5,0.1,-19.5,29,10.6,15.7,-14.6,-10,28.7,14.7,3.2,-7.3,-24.5,7.7,-7.2,28.6,21,10.3,0.1,-1.4,5.3,1.6,-9.3,-10.1,11.8,9,12.3,-0.1,1.8,8.4,7.7,9.2,-1.8,-4.7,11.5,1.3,4,4.2,-1.3
"9","2","        Auto output","A133RL1",23.2,-2.5,-20.1,32.1,5.9,12.9,-20.4,-4.4,28.3,11,0.4,-8.6,-18.3,11.2,-9.4,29.4,14.5,7.9,2.4,-4.9,5.1,-3.4,-5.6,-8.5,6.2,2.6,9.5,-6.8,-2.3,0.9,3.7,2.8,0.5,-5.9,4.1,-8.9,-0.2,13,3.2
"10","3","        Truck output","A716RL1",19.5,10.9,-17.2,18.5,27.9,24,0.4,-21.4,29.5,23.3,9,-5,-35.6,0.3,-2.2,27,35,14.7,-3.7,5,5.6,10.1,-14.7,-12.6,21.1,18.1,15.7,7.8,5.9,15.3,10.9,14,-3.4,-3.9,16.8,7.6,6.2,-0.1,-3.8
"11","4","Final sales of domestic product","AB60RL1",14.7,3.2,-15.9,19.9,15.6,13.2,-16.3,-2.4,20.5,13.9,5.1,-5.8,-22.1,2.9,-3.5,22.4,19.1,11.4,2.4,-5.9,10.4,0.1,-5.4,-11,10,8.3,10.9,-0.4,5.1,6.1,9,5.9,-1.5,1.9,3.5,2.4,5.4,6.3,-1.2
"12","5","  Personal consumption expenditures","AB61RL1",16.3,2.2,-13.5,20.7,14.4,8.8,-19.8,-0.5,24.4,11.5,4,-7.8,-15.4,1.8,2.9,21.2,18.3,14.7,8.4,-4.7,5.4,-0.3,-2.5,-13.4,9.2,5,5.6,-2.5,4.6,7.1,12.2,10.3,3.8,6.6,6.3,2.9,1.5,-0.6,-3.4
"13","6","    New motor vehicles","AB67RL1",19.9,1.7,-15.1,25.1,16,10,-22.5,0.1,27,13.8,4.4,-9.1,-17.9,2.8,4.6,25.7,16.9,14.4,9,-6.7,5.6,-1.4,-5.4,-19.3,9.4,6.5,5,-4.8,1.8,5.3,11.7,12.2,6.1,10.2,8.1,4.8,1.4,-1.5,-5.5
"14","7","      Autos","A136RL1",19.1,0.8,-15,23.3,13,7.3,-24.6,-0.3,22.5,10.5,1.6,-5.7,-12.6,3.2,1.2,20.8,13.8,8.5,10,-10.8,4,-5.7,-4.7,-22.2,5.5,2.7,2.1,-6.9,-2,0.6,7.4,12,6.3,0.1,-0.3,-2.7,1.2,5.5,2
"15","8","      Light trucks (including utility vehicles)","B704RL1",35.5,15.7,-16.5,50.9,52.8,34.4,-7.3,2.5,52.4,28.4,15.5,-20.7,-39.5,0.2,24.7,49.7,29,34.5,6.3,5.1,9.5,8.4,-6.6,-13.7,16.2,12.7,9.2,-2.1,6.4,10.8,16.2,12.5,5.9,19.6,14.7,9.9,1.4,-5.8,-10.7
"16","9","    Net purchases of used autos and used light trucks","W240RL1",0.1,4.8,-5.4,1,5.7,1.8,-4.7,-2.9,13.5,1.1,2.1,-0.5,-2.7,-2.1,-4.1,2.9,24.9,16,5.5,3.6,4.7,3.9,7.5,5.7,8.7,1.3,7.2,2.9,10.2,10.4,13,6.8,-0.2,-0.3,2.6,-1.4,1.7,1.4,1.2
"17","10","      Used autos","B137RL1",0.4,4.8,-5.9,0.4,5.4,0.7,-4.8,-2.6,12.5,-0.3,1,-1.8,-4.5,-1.7,-4.5,0.8,24.6,13.8,-2.1,1.9,1.1,-0.2,1.2,5.7,6.7,1.2,10.6,-1.3,3.8,4.7,6.9,0.6,-1.7,-3.2,-1.1,-3.1,-0.4,1.6,-0.8
