"","Table 5#4#6BU# Real Private Fixed Investment in Structures by Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"1","[Millions of chained (2000) dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2004 3:47:48 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Private fixed investment in structures","A349RX0",653239,655633,667789,673879,682370,704590,713194,725403,723310,728963,729091,737575,746954,755565,753540,754850,752923,752479,757620,722272,713088,712832,707947,712178,715015,722257,746005,754887,753585
"10","2","Nonresidential","B009RX0",276150,273720,284168,286307,286739,297957,295473,297641,292006,294127,291822,294844,299855,312511,319723,320647,315824,311324,313052,280782,262223,252185,242442,238972,236526,238784,237725,236886,232921
"11","3","  Commercial and health care","W001RX0",119444,114612,120920,119433,120829,126676,124723,129469,128431,129473,129917,129866,130843,136700,140794,141867,139230,134457,124821,117601,112254,109299,105592,104288,99675,99081,99628,99510,95056
"12","4","    Office\1\","W031RX0",42232,40037,44789,46393,48013,51117,49785,54229,54997,54309,54371,52218,54199,59849,62444,64422,63682,59499,52282,46510,41320,38985,37035,35630,32192,31031,30810,32776,31090
"13","5","    Health care","W032RX0",22457,21663,22384,21888,21394,22267,21807,21487,21701,21288,21788,21670,20719,21788,22307,22755,22014,21256,20300,20498,21446,23359,23853,24984,24429,24813,24329,23920,23045
"14","6","      Hospitals and special care","C311RX0",17686,17049,17103,16319,16345,17156,16990,16632,16002,15908,15723,15866,15165,15937,16630,17169,16835,16432,15529,15404,16508,17955,18699,19986,18957,19154,18747,18213,17297
"15","7","        Hospitals","W033RX0",13450,12832,12615,11843,11742,11714,11584,11469,11613,11215,11023,10863,10524,11008,11913,12483,12900,12575,11766,11607,12924,14114,14946,16173,15593,15957,15645,15056,14657
"16","8","        Special care","W034RX0",4235,4217,4487,4475,4603,5442,5406,5163,4388,4693,4699,5003,4640,4928,4716,4686,3934,3856,3763,3797,3584,3840,3753,3813,3363,3197,3102,3157,2641
"17","9","      Medical buildings","W035RX0",4770,4612,5282,5574,5049,5111,4818,4856,5700,5380,6066,5805,5555,5852,5678,5586,5179,4825,4771,5095,4939,5405,5155,4999,5473,5659,5582,5707,5748
"18","10","    Multimerchandise shopping","W036RX0",13810,12698,13197,12409,12762,13749,13697,14056,14768,15252,15179,14873,14542,13475,13991,14614,15245,15399,14689,14171,14514,13828,13060,13024,12746,13359,13912,13966,14003
"19","11","    Food and beverage establishments","W037RX0",9809,8399,9332,9189,9371,9972,8974,9013,7194,8477,8190,8777,8730,8608,8233,7792,7460,7790,8803,7801,6885,6993,6811,7224,7483,6573,6858,7090,6106
"20","12","    Warehouses","W038RX0",13571,13858,13771,12652,12360,12446,13391,13790,13592,13330,13356,13754,13959,13880,13965,14481,14752,15004,14131,13138,12099,10713,9732,9388,9465,9490,9407,9638,9123
"21","13","    Other commercial\2\","W039RX0",17457,17845,17385,16865,16908,17118,17051,16899,16191,16811,17025,18565,18684,19093,19855,17819,16114,15530,14596,15416,15873,15318,15005,13942,13236,13676,14158,12002,11574
"22","14","  Manufacturing","C307RX0",42376,40888,43585,42172,44782,44644,43213,42077,38105,34259,32551,30489,30958,32999,31644,31599,32822,30157,28271,22321,18674,16182,13708,12686,12124,12382,12294,12154,11548
"23","15","  Power and communication","W003RX0",29083,29538,30587,31315,33994,34857,35073,35041,36705,39151,42573,44751,44679,45719,47802,49028,48360,49545,48021,46992,47841,47503,46820,47122,48492,45284,43355,43602,46360
"24","16","    Power","W028RX0",17051,17090,17679,18696,21201,22240,22807,22901,21161,21364,22120,23347,26281,27674,28743,29333,28786,29061,29347,29624,29831,30013,30152,30262,33172,30005,28397,28878,30430
"25","17","      Electric","C571RX0",12026,12054,12163,12315,12566,12844,13140,13487,13371,14307,15659,17322,20177,21714,22838,23423,22810,23020,23202,23328,23354,23416,23401,23313,24814,22384,21090,21157,22061
"26","18","      Other power","W029RX0",5013,5024,5509,6383,8662,9430,9701,9441,7801,7060,6461,6027,6106,5961,5905,5909,5975,6040,6144,6296,6479,6602,6758,6959,8380,7641,7327,7748,8397
"27","19","    Communication","C314RX0",12024,12424,12884,12632,12858,12711,12383,12260,15556,17767,20409,21360,18388,18044,19063,19701,19575,20483,18674,17370,18010,17486,16660,16852,15270,15254,14941,14701,15911
"28","20","  Mining exploration, shafts, and wells","E318RX0",24781,25587,25063,25660,23620,23980,23876,21750,20034,21680,20513,22838,24181,26882,28244,29369,30622,32248,34527,31316,25457,21954,22936,21970,23464,27513,28108,28173,28348
"29","21","    Petroleum and natural gas","C319RX0",23081,23949,23515,24217,22314,22767,22745,20690,19039,20683,19477,21732,22924,25559,26883,28006,29330,30985,33296,30158,24387,20972,22042,21186,22295,26403,27001,27084,27254
"30","22","    Mining","C320RX0",1713,1656,1567,1461,1320,1216,1126,1059,995,996,1035,1106,1256,1324,1361,1363,1285,1243,1185,1122,1055,973,879,766,1153,1092,1088,1069,1074
"31","23","  Other structures","W004RX0",60651,63173,64120,67752,63521,67875,68595,69471,68851,69596,66243,66863,69159,70215,71256,68799,64711,64558,76616,61886,57950,57451,53537,53101,52975,54688,54493,53599,51754
"32","24","    Religious","C309RX0",5910,6362,6268,6844,7012,6433,6952,7578,7695,7581,7336,7338,7867,7756,7867,7746,7627,7815,7968,7845,7839,7726,7289,7230,7452,7507,7527,7178,6593
"33","25","    Educational and vocational","W044RX0",9929,10880,11587,11942,12475,12453,11199,11429,10693,11514,11417,11727,12292,12902,13647,13323,13346,13348,13919,14701,14089,13846,12836,13536,13143,14022,13947,13157,13103
"34","26","    Lodging","W045RX0",17585,18501,18164,17827,16729,19443,21782,21946,21762,20938,20012,19808,20487,21258,20175,18808,17332,17693,17967,15832,13436,13418,11033,10063,10314,11327,10294,10163,9532
"35","27","    Amusement and recreation","W046RX0",11470,11618,11671,11226,9924,11258,11550,12166,12577,12384,11510,11413,11546,10969,10406,9167,8788,9246,8863,9076,8635,8567,8298,7931,7354,7770,7910,8628,7865
"36","28","    Transportation","W047RX0",6364,6483,6653,6833,7461,7638,7704,7311,6895,6563,6332,6338,6402,6567,6709,6830,6887,6818,6454,6342,6160,6349,6465,6491,6859,6339,5884,5671,5656
"37","29","      Air","W048RX0",1194,1128,1132,1072,1294,1269,1327,1154,1248,1352,1417,1573,1606,1792,2060,2296,2373,2264,1869,1681,1230,1301,1351,1382,1260,951,972,963,828
"38","30","      Land\3\","W049RX0",5163,5343,5508,5744,6153,6352,6362,6140,5637,5205,4913,4765,4796,4774,4649,4533,4511,4552,4585,4662,4934,5052,5118,5112,5604,5393,4916,4713,4834
"39","31","    Farm","C316RX0",4149,4193,4461,4419,4497,4969,4625,4570,4824,5848,5093,5371,5642,5570,6268,6472,5028,4901,5005,4730,4659,4586,4686,5038,5449,5043,5587,5353,5017
"40","32","    Other\4\","W050RX0",4133,4114,4207,4079,4442,4731,3904,3528,3440,3887,3683,4007,3948,4129,5064,5431,4609,3695,3173,2523,2360,2260,2333,2201,1795,2069,2729,2818,3365
"41","33","    Brokers' commissions on sale of structures","C321RX0",2094,2033,2138,2125,2183,2242,2245,2330,2359,2287,2263,2269,2368,2444,2483,2369,2410,2326,2184,2052,1970,1876,1753,1731,1719,1709,1703,1710,1692
"42","34","    Net purchases of used structures","E322RX0",-1024,-1029,-1064,2478,-1257,-1329,-1378,-1387,-1391,-1399,-1403,-1408,-1389,-1377,-1363,-1350,-1325,-1298,11163,-1224,-1199,-1175,-1151,-1119,-1108,-1104,-1099,-1087,-1075
"43","35","Residential","A012RX0",377009,381805,383519,387457,395523,406485,417667,427746,431341,434871,437297,442747,447103,443068,433820,434181,437082,441156,444549,441582,450993,460777,465625,473300,478539,483524,508151,517782,520349
"44","36","  Permanent site","A943RX0",221383,224243,222221,226199,232889,239536,249303,257204,261058,260281,261962,268376,272553,268805,259282,259547,264209,267422,269264,265723,269473,276497,279876,284144,289821,289508,303503,317532,320217
"45","37","    Single-family structures","A944RX0",195100,196994,196039,198385,205046,213467,223274,230627,232465,231836,232792,239616,243519,239686,232444,231503,235432,238292,239632,235348,239384,245635,248730,253717,258970,259032,271931,286881,290408
"46","38","    Multifamily structures","C292RX0",26326,27323,26206,27873,27853,26064,26029,26577,28588,28445,29175,28762,29034,29118,26838,28046,28779,29132,29639,30409,30107,30877,31160,30427,30848,30471,31560,30616,29762
"47","39","  Other structures","A863RX0",155547,157486,161135,161137,162560,166886,168357,170558,170296,174583,175328,174369,174550,174266,174538,174630,172871,173732,175278,175866,181540,184290,185753,189162,188690,194033,204677,200171,200030
"48","40","    Manufactured homes","A945RX0",14046,14686,15011,15016,15221,15757,16270,16701,16359,15447,14570,14235,13599,11986,10896,9359,8786,8776,9413,9657,8689,7918,8295,8099,7245,5889,6413,6568,6084
"49","41","    Dormitories","C295RX0",803,870,917,955,926,1025,1029,1203,1211,1235,1288,1604,1617,1308,1149,1357,1695,1384,1316,1535,1563,1359,1091,1497,1419,1455,1492,1375,1394
"50","42","    Improvements","A946RX0",99895,99941,100246,100413,100175,100310,100730,101502,102834,103679,104682,105898,106117,106782,107531,108117,107823,108215,108520,109838,111939,113896,116089,117712,119430,119939,121239,121821,122550
"51","43","    Brokers' commissions on sale of structures","A758RX0",43109,44480,47646,47644,49344,53040,53677,54529,53628,57920,58265,55882,55426,55894,56282,56598,55759,56757,57739,57266,61916,63740,62921,64295,62991,68941,77526,72487,72037
"52","44","    Net purchases of used structures","A759RX0",-2335,-2546,-2744,-2953,-3173,-3328,-3445,-3481,-3834,-3746,-3497,-3268,-2215,-1698,-1313,-806,-1211,-1445,-1756,-2455,-2670,-2770,-2749,-2579,-2530,-2521,-2504,-2450,-2417
