"","Table 5#4#4BU# Price Indexes for Private Fixed Investment in Str","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"1","[Index numbers, 2000=100];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2004 3:47:14 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Private fixed investment in structures","B349RG3",88.432,89.033,89.894,90.712,91.42,92.219,93.074,93.902,94.717,95.578,96.323,97.111,98.591,99.517,100.436,101.456,102.913,104.402,106.129,106.712,106.662,106.899,107.088,107.986,109.479,110.002,110.815,112.644,113.932
"10","2","Nonresidential","B009RG3",88.047,88.854,89.813,90.81,92.138,93.157,93.926,94.674,95.302,95.88,96.513,97.331,98.482,99.366,100.455,101.697,103.322,105.068,106.686,106.997,106.759,106.888,106.975,107.274,108.268,108.559,109.288,110.556,111.784
"11","3","  Commercial and health care","W001RG3",86.784,87.357,88.35,89.288,90.478,91.419,92.572,93.717,94.702,95.675,96.506,97.327,98.731,99.594,100.409,101.266,102.148,103.114,104.559,105.536,106.259,106.483,106.548,107.163,108.256,108.503,108.894,110.236,111.31
"12","4","    Office\1\","W031RG3",84.798,86.074,87.638,89.052,89.823,90.669,91.835,93.115,94.388,95.544,96.49,97.362,98.794,99.604,100.325,101.068,101.711,102.499,103.778,104.627,105.402,105.549,105.538,106.063,107.148,107.391,107.776,109.103,110.169
"13","5","    Health care","W032RG3",87.775,88.065,88.841,89.613,90.508,91.249,92.253,93.303,94.334,95.315,96.197,97.096,98.517,99.505,100.476,101.502,102.777,103.829,105.221,105.996,105.944,106.063,106.161,106.949,108.043,108.287,108.676,110.015,111.089
"14","6","      Hospitals and special care","C311RG3",87.535,88.012,88.964,89.905,90.498,91.246,92.258,93.312,94.333,95.315,96.198,97.098,98.516,99.505,100.476,101.503,102.776,103.829,105.221,105.997,105.946,106.063,106.16,106.947,108.041,108.286,108.674,110.013,111.088
"15","7","        Hospitals","W033RG3",87.593,88.051,88.997,89.933,90.504,91.252,92.268,93.329,94.372,95.351,96.222,97.099,98.447,99.42,100.395,101.444,102.801,103.886,105.292,106.063,105.949,106.042,106.12,106.897,107.991,108.235,108.623,109.961,111.036
"16","8","        Special care","W034RG3",87.393,87.986,88.992,89.944,90.502,91.224,92.21,93.248,94.28,95.264,96.153,97.063,98.503,99.503,100.484,101.519,102.803,103.853,105.239,106.004,105.94,106.055,106.154,106.946,108.04,108.285,108.673,110.012,111.087
"17","9","      Medical buildings","W035RG3",88.668,88.216,88.358,88.619,90.531,91.279,92.276,93.312,94.331,95.298,96.171,97.067,98.511,99.504,100.481,101.512,102.792,103.843,105.231,106.001,105.945,106.064,106.166,106.959,108.053,108.298,108.686,110.025,111.1
"18","10","    Multimerchandise shopping","W036RG3",88.095,88.192,88.774,89.33,90.995,92.109,93.327,94.412,95.159,95.965,96.667,97.396,98.676,99.532,100.402,101.365,102.515,103.702,105.371,106.546,107.465,107.764,107.85,108.435,109.544,109.792,110.186,111.543,112.633
"19","11","    Food and beverage establishments","W037RG3",88.024,88.217,88.759,89.254,91.128,92.208,93.378,94.414,95.124,95.908,96.606,97.351,98.722,99.595,100.459,101.395,102.446,103.604,105.262,106.447,107.424,107.742,107.84,108.43,109.539,109.787,110.181,111.538,112.628
"20","12","    Warehouses","W038RG3",88.144,88.18,88.762,89.314,90.969,92.087,93.311,94.403,95.155,95.963,96.667,97.395,98.665,99.521,100.395,101.365,102.536,103.728,105.397,106.567,107.48,107.781,107.869,108.455,109.565,109.812,110.207,111.564,112.654
"21","13","    Other commercial\2\","W039RG3",87.95,88.227,88.955,89.628,91.121,92.212,93.401,94.46,95.202,96.003,96.696,97.418,98.698,99.549,100.406,101.347,102.446,103.612,105.263,106.433,107.357,107.671,107.766,108.343,109.431,109.695,110.098,111.458,112.524
"22","14","  Manufacturing","B307RG3",87.909,88.485,89.44,90.301,91.128,92.114,93.261,94.338,95.302,96.136,96.85,97.568,98.774,99.581,100.382,101.255,102.182,103.308,105.009,106.341,107.869,108.367,108.592,109.255,110.373,110.622,111.019,112.387,113.485
"23","15","  Power and communication","W003RG3",94.625,95.465,95.873,96.08,96.45,96.472,96.624,96.752,96.383,96.439,97.11,97.774,98.679,99.752,100.328,101.241,101.881,102.5,103.472,103.745,104.333,104.841,105.762,106.124,107.071,108.046,108.952,109.886,111.529
"24","16","    Power","W028RG3",91.622,92.513,93.205,93.915,94.334,94.486,94.638,94.834,95.112,95.559,96.24,97.415,98.556,99.664,100.452,101.327,101.873,102.578,103.166,103.718,104.443,105.181,106.002,106.851,107.934,108.911,109.74,110.666,112.341
"25","17","      Electric","B571RG3",92.062,92.973,93.702,94.401,95.001,95.052,95.193,95.416,95.403,95.611,96.172,97.243,98.488,99.556,100.369,101.354,101.985,102.759,103.436,104.144,105.08,105.651,106.355,107.188,108.232,109.276,110.17,111.065,111.81
"26","18","      Other power","W029RG3",90.76,91.597,92.208,92.951,93.107,93.397,93.546,93.675,94.325,95.193,96.137,97.605,98.512,99.817,100.582,101.089,101.371,101.863,102.155,102.15,102.11,103.457,104.69,105.596,106.8,107.577,108.213,109.228,113.387
"27","19","    Communication","B314RG3",98.958,99.713,99.717,99.19,99.451,99.235,99.378,99.377,98.009,97.56,98.211,98.301,98.86,99.862,100.108,101.086,101.912,102.429,103.994,103.826,104.179,104.302,105.401,104.886,105.567,106.54,107.596,108.546,110.13
"28","20","  Mining exploration, shafts, and wells","B318RG3",85.062,87.717,89.424,92.116,98.662,102.564,101.273,99.782,98.675,96.506,95.333,96.607,96.301,96.962,101.158,105.58,114.241,123.322,127.043,122.833,114.721,113.079,111.233,108.705,109.203,108.379,110.83,112.418,114.03
"29","21","    Petroleum and natural gas","B319RG3",84.791,87.596,89.353,92.156,99.031,103.114,101.718,100.116,98.954,96.618,95.309,96.549,96.022,96.604,100.915,105.477,114.53,123.971,127.82,123.465,115.046,113.342,111.422,108.771,109.244,108.37,110.905,112.503,114.136
"30","22","    Mining","B320RG3",87.44,88.061,89.092,90.06,90.635,91.351,92.324,93.338,94.324,95.281,96.145,97.033,98.457,99.456,100.448,101.502,102.828,103.896,105.291,106.058,105.986,106.102,106.203,106.997,108.091,108.336,108.724,110.064,111.139
"31","23","  Other structures","W004RG3",88.415,89.053,89.924,90.846,91.298,91.997,92.898,93.82,94.706,95.581,96.387,97.239,98.57,99.509,100.409,101.512,102.578,103.532,104.855,105.739,106.024,106.225,106.361,107.065,108.092,108.401,108.801,110.007,110.988
"32","24","    Religious","C309RG3",87.358,87.958,88.975,89.94,90.474,91.207,92.21,93.26,94.343,95.334,96.223,97.125,98.532,99.513,100.476,101.496,102.766,103.813,105.203,105.979,105.943,106.069,106.177,106.972,108.066,108.311,108.699,110.038,111.113
"33","25","    Educational and vocational","W044RG3",87.282,87.955,89.022,90.011,90.841,91.753,92.841,93.885,94.756,95.642,96.435,97.255,98.726,99.593,100.383,101.177,101.852,102.829,104.366,105.513,106.718,107.063,107.179,107.775,108.878,109.124,109.516,110.864,111.948
"34","26","    Lodging","W045RG3",87.623,88.035,88.931,89.83,90.379,91.121,92.15,93.242,94.325,95.348,96.258,97.168,98.563,99.543,100.51,101.535,102.809,103.859,105.25,106.024,105.979,106.101,106.205,106.999,108.094,108.338,108.727,110.066,111.141
"35","27","    Amusement and recreation","W046RG3",87.754,88.569,89.528,90.638,90.487,91.167,92.155,93.225,94.307,95.342,96.27,97.198,98.617,99.604,100.562,101.577,102.793,103.825,105.205,105.976,105.945,106.071,106.178,106.973,108.068,108.312,108.701,110.04,111.115
"36","28","    Transportation","W047RG3",92.219,92.477,92.859,93.21,93.953,94.604,95.182,95.756,96.317,96.628,97.152,97.784,98.798,99.563,100.397,101.242,102.159,103.17,104.462,105.342,105.406,105.713,105.981,106.651,107.45,108.048,108.504,109.276,110.028
"37","29","      Air","W048RG3",87.529,88.492,89.569,90.739,90.65,91.298,92.244,93.255,94.263,95.227,96.103,97.011,98.326,99.309,100.314,101.428,102.926,104.044,105.408,106.11,105.955,106.05,106.137,106.922,108.012,108.264,108.65,109.991,111.064
"38","30","      Land\3\","W049RG3",93.401,93.506,93.747,93.942,94.856,95.509,96.008,96.488,96.946,97.086,97.496,98.025,98.901,99.59,100.375,101.134,101.857,102.861,104.151,105.107,105.192,105.539,105.844,106.477,107.203,107.87,108.338,108.995,109.685
"39","31","    Farm","B316RG3",87.377,87.976,88.993,89.959,90.52,91.257,92.257,93.304,94.311,95.296,96.177,97.077,98.449,99.434,100.412,101.44,102.799,103.854,105.242,106.008,105.933,106.047,106.145,106.935,108.03,108.274,108.662,110.001,111.076
"40","32","    Other\4\","W050RG3",90.212,91.619,92.448,93.567,92.93,92.991,93.488,94.005,94.618,95.252,95.944,97.06,98.274,99.606,100.552,101.568,102.453,103.034,103.514,104.225,104.955,105.44,106,106.637,107.755,108.888,109.675,110.343,111.007
"41","33","    Brokers' commissions on sale of structures","B321RG3",95.045,96.385,96.574,96.576,97.815,98.592,98.623,98.188,97.631,98.068,98.227,98.355,98.545,98.737,98.96,103.847,104.074,103.795,105.501,105.37,105.482,105.662,105.749,106.178,106.24,106.271,106.271,106.271,106.271
"42","34","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","Residential","B012RG3",88.734,89.187,89.979,90.667,90.924,91.565,92.484,93.369,94.312,95.368,96.19,96.96,98.665,99.624,100.424,101.286,102.623,103.935,105.744,106.513,106.583,106.883,107.126,108.331,110.074,110.712,111.565,113.655,114.97
"44","36","  Permanent site","B943RG3",87.594,87.888,89.034,89.938,90.239,90.887,91.939,93.02,94.131,95.213,96.061,96.873,98.799,99.672,100.353,101.176,102.499,103.666,105.875,107.066,107.042,107.173,107.279,108.707,110.78,111.212,111.932,114.436,115.962
"45","37","    Single-family structures","B944RG3",88.162,88.41,89.5,90.277,90.293,90.758,91.713,92.783,94.015,95.199,96.122,96.957,98.802,99.671,100.373,101.226,102.653,103.906,106.165,107.357,107.233,107.323,107.401,108.82,110.895,111.327,112.047,114.555,116.082
"46","38","    Multifamily structures","B292RG3",83.256,83.874,85.422,87.224,89.529,91.581,93.462,94.681,94.866,95.195,95.509,96.214,98.912,99.855,100.381,100.912,101.266,101.665,103.43,104.586,105.375,105.83,106.16,107.674,109.727,110.155,110.868,113.349,114.86
"47","39","  Other structures","A863RG3",90.399,91.078,91.37,91.755,91.946,92.577,93.3,93.894,94.584,95.601,96.388,97.095,98.458,99.553,100.534,101.455,102.811,104.347,105.542,105.671,105.888,106.441,106.894,107.764,109.006,109.955,111.006,112.459,113.441
"48","40","    Manufactured homes","B945RG3",93.718,94.313,94.618,94.822,94.893,95.35,95.833,96.404,96.964,98.142,98.738,99.185,99.376,99.918,100.347,100.608,100.541,101.208,102.132,102.839,102.681,103.363,103.559,103.559,103.455,104.613,105.523,107.074,106.93
