"","Table 5#9# Changes in Net Stock of Produced Assets (Fixed Assets","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"46","26","    Equipment and software","K160261","5,135.0","5,808.0","6,575.0","7,228.0","7,649.0","8,178.0","8,608.0","8,684.0","9,076.0","9,492.0","9,809.0","10,414.0","11,028.0","11,309.0","11,659.0","12,147.0","12,964.0","13,824.0","14,496.0","15,164.0","15,494.0","15,580.0","15,726.0","16,777.0","18,471.0","20,368.0","22,103.0","24,264.0","26,176.0","29,326.0","33,404.0","37,571.0","41,247.0","45,657.0","49,926.0","54,450.0","58,986.0","64,031.0","69,714.0","75,975.0","82,125.0","86,043.0","90,456.0","93,998.0","96,681.0","97,672.0","98,253.0","99,511.0","103,254.0","107,955.0","110,019.0","111,590.0","114,151.0","119,507.0","125,047.0","131,600.0","138,429.0","147,376.0"
"47","27","Change in private inventories \6\","K160271","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,157.0","30,767.0","70,999.0","63,719.0","60,816.0","54,544.0","-38,283.0","12,027.0","16,375.0","64,910.0","49,953.0","59,955.0","19,355.0","-34,752.0"
"48",NA,"Other changes in volume of assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","28","Less: Other changes in volume of assets","K160281","62.0","104.0","82.0","82.0","-2.0","-4.0","-2.0","-4.0","-1.0","1.0","0.0","-1.0","-1.0","0.0","-1.0","355.0","489.0","718.0","520.0","575.0","506.0","1,588.0","1,054.0","180.0","0.0","158.0","335.0","-1.0","1,102.0","548.0","-1.0","872.0","1,085.0","1.0","1,706.0","-1.0","0.0","0.0","8,960.0","1.0","2,248.0","17,987.0","4,139.0","20,415.0","2,426.0","0.0","-108.0","9.0","3,656.0","80.0","19,553.0","335.0","1,177.0","29,779.0","110,885.0","-39.0","-69.0","17,580.0"
"50","29","  Private fixed assets \7\","K160291",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","118.0","1,587.0","629.0","181.0","0.0","159.0","333.0","0.0","1,102.0","546.0","0.0","871.0","1,086.0","0.0","1,706.0","0.0","0.0","0.0","7,937.0","0.0","1,519.0","17,942.0","4,139.0","18,366.0","2,425.0","0.0","0.0","0.0","3,500.0","0.0","17,461.0","0.0","0.0","29,449.0","99,173.0","0.0","0.0","17,395.0"
"51","30","    Nonresidential fixed assets","K160301",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","53.0","769.0","427.0","34.0","0.0","82.0","237.0","0.0","733.0","416.0","0.0","472.0","499.0","0.0","140.0","0.0","0.0","0.0","3,884.0","0.0","0.0","5,293.0","2,044.0","7,257.0","827.0","0.0","0.0","0.0","1,860.0","0.0","15,103.0","0.0","0.0","12,279.0","27,343.0","0.0","0.0","6,770.0"
"52","31","      Structures","K160311",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","53.0","614.0","352.0","21.0","0.0","55.0","185.0","0.0","653.0","385.0","0.0","451.0","479.0","0.0","123.0","0.0","0.0","0.0","2,274.0","0.0","0.0","2,158.0","577.0","5,341.0","627.0","0.0","0.0","0.0","1,340.0","0.0","7,865.0","0.0","0.0","6,606.0","16,604.0","0.0","0.0","5,025.0"
"53","32","      Equipment and software","K160321",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","155.0","76.0","13.0","0.0","27.0","52.0","0.0","80.0","32.0","0.0","22.0","20.0","0.0","17.0","0.0","0.0","0.0","1,609.0","0.0","0.0","3,136.0","1,467.0","1,916.0","200.0","0.0","0.0","0.0","520.0","0.0","7,238.0","0.0","0.0","5,673.0","10,739.0","0.0","0.0","1,745.0"
"54","33","    Residential fixed assets","K160331",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","65.0","818.0","202.0","147.0","0.0","77.0","96.0","0.0","369.0","130.0","0.0","399.0","587.0","0.0","1,566.0","0.0","0.0","0.0","4,053.0","0.0","1,519.0","12,649.0","2,095.0","11,110.0","1,598.0","0.0","0.0","0.0","1,640.0","0.0","2,358.0","0.0","0.0","17,170.0","71,830.0","0.0","0.0","10,625.0"
"55","34","  Government fixed assets \8\","K160341","62.0","104.0","82.0","82.0","-2.0","-4.0","-2.0","-4.0","-1.0","1.0","0.0","-1.0","-1.0","0.0","-1.0","355.0","489.0","718.0","520.0","575.0","388.0","1.0","425.0","-1.0","0.0","-1.0","2.0","-1.0","0.0","1.0","-1.0","1.0","-1.0","1.0","0.0","-1.0","0.0","0.0","1,023.0","1.0","729.0","44.0","0.0","2,049.0","1.0","0.0","-108.0","9.0","156.0","80.0","2,092.0","335.0","1,177.0","330.0","11,712.0","-39.0","-69.0","185.0"
"56","35","    General government","K160351","62.0","105.0","82.0","82.0","-2.0","-4.0","-2.0","-3.0","-1.0","1.0","0.0","-1.0","-1.0","0.0","-1.0","355.0","489.0","718.0","520.0","575.0","388.0","1.0","425.0","-1.0","0.0","-1.0","2.0","-1.0","0.0","1.0","0.0","0.0","-1.0","1.0","0.0","-1.0","0.0","0.0","831.0","1.0","729.0","44.0","0.0","1,723.0","1.0","0.0","-87.0","8.0","126.0","64.0","568.0","337.0","1,179.0","331.0","8,074.0","-28.0","-48.0","150.0"
"57","36","    Government enterprises","K160361","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","192.0","0.0","0.0","0.0","0.0","326.0","0.0","0.0","-21.0","2.0","30.0","16.0","1,524.0","-2.0","-2.0","-1.0","3,639.0","-11.0","-20.0","35.0"
"58",NA,"Revaluation"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","37","Nominal holding gains or losses (-)","K160371","52,662.0","5,768.0","-7,414.0","9,576.0","48,658.0","61,814.0","22,016.0","7,771.0","3,443.0","-1,206.0","7,119.0","14,629.0","-4,622.0","41,713.0","48,572.0","81,193.0","77,947.0","136,593.0","137,672.0","157,693.0","218,538.0","226,788.0","385,975.0","672,339.0","287,590.0","343,866.0","511,447.0","662,621.0","899,035.0","976,890.0","711,117.0","368,917.0","146,138.0","277,528.0","238,463.0","386,293.0","433,560.0","527,180.0","479,149.0","389,402.0","78,205.0","427,895.0","547,420.0","716,758.0","503,369.0","440,128.0","513,816.0","546,310.0","811,104.0","901,668.0","837,048.0","814,155.0","1,037,826.0","2,591,045.0","2,761,854.0","2,150,336.0","919,284.0","-606,049.0"
"60","38","  Neutral holding gains or losses (-) \9\","K160381","40,849.0","15,671.0","13,328.0","8,212.0","32,101.0","50,165.0","42,080.0","20,664.0","20,007.0","24,079.0","15,522.0","23,723.0","24,201.0","30,415.0","41,542.0","67,872.0","78,692.0","113,734.0","145,489.0","153,256.0","156,945.0","154,114.0","305,546.0","522,870.0","354,224.0","327,713.0","426,294.0","525,566.0","808,580.0","942,596.0","741,869.0","497,703.0","377,246.0","399,225.0","345,320.0","334,093.0","463,536.0","577,452.0","579,908.0","745,988.0","418,497.0","414,825.0","365,438.0","453,431.0","402,491.0","405,242.0","214,983.0","217,924.0","577,831.0","660,022.0","331,276.0","731,944.0","703,008.0","1,237,128.0","1,452,683.0","1,125,660.0","1,501,598.0","578,160.0"
"61","39","    Fixed assets","K160391","35,897.0","13,836.0","11,948.0","7,420.0","29,024.0","45,702.0","38,444.0","18,920.0","18,282.0","22,058.0","14,230.0","21,734.0","22,167.0","27,917.0","38,158.0","62,093.0","72,060.0","104,421.0","133,895.0","141,333.0","145,010.0","142,694.0","282,206.0","479,856.0","327,096.0","303,034.0","394,477.0","487,148.0","748,173.0","873,403.0","686,300.0","463,633.0","352,604.0","371,213.0","321,554.0","312,341.0","434,885.0","541,513.0","542,838.0","699,314.0","392,783.0","390,073.0","343,999.0","426,454.0","379,046.0","381,647.0","202,433.0","205,550.0","546,482.0","624,364.0","314,363.0","697,061.0","670,080.0","1,178,575.0","1,385,645.0","1,074,884.0","1,436,187.0","552,570.0"
"62","40","      Private","K160401","27,411.0","10,441.0","8,964.0","5,607.0","21,858.0","34,505.0","28,780.0","14,166.0","13,593.0","16,464.0","10,574.0","16,119.0","16,320.0","20,506.0","28,187.0","45,907.0","53,192.0","77,111.0","99,346.0","104,423.0","106,476.0","105,624.0","209,676.0","356,591.0","239,766.0","224,606.0","296,202.0","372,251.0","577,590.0","675,350.0","529,998.0","357,797.0","272,055.0","287,679.0","250,055.0","243,146.0","338,717.0","422,363.0","424,332.0","546,558.0","306,291.0","303,469.0","267,949.0","332,865.0","296,287.0","298,357.0","158,812.0","161,434.0","431,126.0","493,548.0","248,773.0","552,357.0","531,660.0","939,254.0","1,101,940.0","856,647.0","1,136,664.0","433,980.0"
"63","41","      Government","K160411","8,486.0","3,395.0","2,984.0","1,813.0","7,166.0","11,197.0","9,665.0","4,754.0","4,688.0","5,595.0","3,656.0","5,615.0","5,847.0","7,411.0","9,970.0","16,186.0","18,867.0","27,310.0","34,548.0","36,910.0","38,534.0","37,071.0","72,530.0","123,265.0","87,330.0","78,428.0","98,275.0","114,897.0","170,584.0","198,053.0","156,302.0","105,836.0","80,549.0","83,533.0","71,500.0","69,195.0","96,168.0","119,150.0","118,506.0","152,756.0","86,493.0","86,604.0","76,051.0","93,589.0","82,759.0","83,290.0","43,621.0","44,117.0","115,356.0","130,816.0","65,591.0","144,704.0","138,420.0","239,321.0","283,705.0","218,237.0","299,523.0","118,590.0"
"64","42","    Private inventories \1\","K160421","4,952.0","1,835.0","1,380.0","792.0","3,077.0","4,463.0","3,635.0","1,744.0","1,726.0","2,020.0","1,291.0","1,989.0","2,034.0","2,498.0","3,384.0","5,779.0","6,632.0","9,313.0","11,595.0","11,922.0","11,935.0","11,420.0","23,340.0","43,015.0","27,128.0","24,679.0","31,817.0","38,418.0","60,407.0","69,193.0","55,569.0","34,070.0","24,642.0","28,012.0","23,766.0","21,751.0","28,651.0","35,939.0","37,070.0","46,673.0","25,713.0","24,752.0","21,438.0","26,976.0","23,445.0","23,595.0","12,550.0","12,373.0","31,350.0","35,659.0","16,912.0","34,882.0","32,929.0","58,553.0","67,039.0","50,776.0","65,412.0","25,590.0"
"65","43","  Real holding gains or losses (-)","K160431","11,813.0","-9,903.0","-20,742.0","1,364.0","16,558.0","11,648.0","-20,064.0","-12,893.0","-16,564.0","-25,285.0","-8,403.0","-9,093.0","-28,823.0","11,298.0","7,030.0","13,321.0","-745.0","22,859.0","-7,817.0","4,437.0","61,592.0","72,674.0","80,429.0","149,468.0","-66,634.0","16,153.0","85,154.0","137,054.0","90,454.0","34,294.0","-30,751.0","-128,786.0","-231,108.0","-121,697.0","-106,858.0","52,200.0","-29,976.0","-50,272.0","-100,759.0","-356,585.0","-340,291.0","13,070.0","181,982.0","263,327.0","100,878.0","34,886.0","298,833.0","328,386.0","233,272.0","241,646.0","505,773.0","82,211.0","334,818.0","1,353,916.0","1,309,171.0","1,024,676.0","-582,314.0","-1,184,209.0"
"66","44","    Fixed assets","K160441","13,735.0","3,925.0","-15,577.0","2,207.0","23,744.0","11,293.0","-18,797.0","-15,204.0","-12,474.0","-23,395.0","-7,517.0","-8,620.0","-23,679.0","14,082.0","4,748.0","16,517.0","6,606.0","27,925.0","-6,422.0","10,105.0","63,801.0","63,272.0","51,719.0","152,352.0","-48,625.0","26,903.0","96,874.0","112,319.0","72,184.0","25,733.0","14,530.0","-104,422.0","-235,197.0","-100,368.0","-68,253.0","98,435.0","-40,370.0","-71,364.0","-80,539.0","-333,097.0","-290,183.0","28,792.0","190,838.0","275,520.0","92,834.0","61,773.0","339,720.0","390,206.0","234,373.0","240,554.0","561,083.0","87,261.0","327,556.0","1,341,559.0","1,303,090.0","1,022,899.0","-650,990.0","-1,138,671.0"
"67","45","      Private","K160451","5,186.0","3,174.0","-5,171.0","-129.0","18,771.0","-157.0","-12,407.0","-15,926.0","-3,212.0","-18,129.0","-7,521.0","-12,412.0","-22,427.0","15,792.0","1,232.0","11,716.0","2,755.0","24,630.0","-18,230.0","-16,054.0","50,203.0","37,096.0","23,981.0","58,397.0","-3,266.0","51,798.0","127,220.0","112,382.0","47,259.0","-10,985.0","-4,523.0","-94,648.0","-173,281.0","-65,511.0","-46,743.0","70,460.0","-22,809.0","-40,103.0","-64,873.0","-268,334.0","-245,181.0","29,922.0","152,725.0","198,643.0","34,200.0","50,919.0","238,302.0","317,283.0","149,378.0","162,620.0","483,078.0","89,633.0","341,174.0","971,487.0","1,037,985.0","557,014.0","-857,864.0","-697,636.0"
"68","46","      Government","K160461","8,549.0","751.0","-10,405.0","2,336.0","4,973.0","11,450.0","-6,389.0","722.0","-9,262.0","-5,266.0","4.0","3,792.0","-1,252.0","-1,710.0","3,516.0","4,800.0","3,851.0","3,295.0","11,807.0","26,158.0","13,599.0","26,176.0","27,738.0","93,955.0","-45,359.0","-24,895.0","-30,346.0","-62.0","24,924.0","36,718.0","19,053.0","-9,774.0","-61,916.0","-34,857.0","-21,509.0","27,975.0","-17,560.0","-31,260.0","-15,666.0","-64,763.0","-45,002.0","-1,130.0","38,113.0","76,877.0","58,633.0","10,854.0","101,418.0","72,923.0","84,995.0","77,934.0","78,005.0","-2,372.0","-13,619.0","370,073.0","265,104.0","465,885.0","206,874.0","-441,036.0"
"69","47","    Private inventories \1\","K160471","-1,921.0","-13,828.0","-5,165.0","-843.0","-7,186.0","356.0","-1,267.0","2,311.0","-4,091.0","-1,890.0","-885.0","-473.0","-5,144.0","-2,785.0","2,282.0","-3,195.0","-7,351.0","-5,066.0","-1,395.0","-5,667.0","-2,209.0","9,401.0","28,710.0","-2,884.0","-18,009.0","-10,750.0","-11,721.0","24,735.0","18,271.0","8,561.0","-45,281.0","-24,364.0","4,089.0","-21,329.0","-38,605.0","-46,234.0","10,394.0","21,092.0","-20,220.0","-23,488.0","-50,108.0","-15,722.0","-8,856.0","-12,193.0","8,044.0","-26,887.0","-40,887.0","-61,819.0","-1,101.0","1,091.0","-55,310.0","-5,050.0","7,262.0","12,357.0","6,081.0","1,777.0","68,676.0","-45,537.0"
"70",NA,"Closing balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","48","Produced assets \10\","K160481","1,084,079.0","1,129,955.0","1,164,224.0","1,209,261.0","1,304,992.0","1,414,440.0","1,480,193.0","1,525,907.0","1,581,389.0","1,630,287.0","1,688,302.0","1,763,595.0","1,822,746.0","1,934,620.0","2,066,079.0","2,240,906.0","2,406,248.0","2,635,531.0","2,872,192.0","3,115,133.0","3,433,039.0","3,779,460.0","4,313,371.0","5,126,026.0","5,514,871.0","6,006,119.0","6,710,816.0","7,622,128.0","8,798,016.0","10,003,921.0","10,995,413.0","11,551,545.0","11,924,295.0","12,595,262.0","13,215,474.0","13,970,618.0","14,794,175.0","15,709,299.0","16,589,929.0","17,357,316.0","17,721,839.0","18,460,479.0","19,390,476.0","20,576,782.0","21,581,773.0","22,600,598.0","23,783,974.0","25,074,297.0","26,704,628.0","28,485,189.0","30,012,264.0","31,492,773.0","33,240,569.0","36,691,894.0","40,346,960.0","43,568,744.0","45,456,840.0","45,596,792.0"
"72","49","  Fixed assets","K160491","956,735.0","1,011,090.0","1,047,196.0","1,094,221.0","1,189,073.0","1,289,752.0","1,352,360.0","1,394,385.0","1,448,315.0","1,493,851.0","1,548,486.0","1,616,162.0","1,672,802.0","1,780,142.0","1,896,688.0","2,055,295.0","2,211,490.0","2,427,473.0","2,644,761.0","2,879,446.0","3,179,370.0","3,495,863.0","3,961,846.0","4,720,380.0","5,106,362.0","5,566,565.0","6,228,842.0","7,051,210.0","8,130,436.0","9,264,918.0","10,216,313.0","10,777,653.0","11,127,423.0","11,726,302.0","12,339,529.0","13,112,585.0","13,869,948.0","14,709,559.0","15,545,646.0","16,275,301.0","16,664,613.0","17,377,895.0","18,274,496.0","19,382,235.0","20,324,580.0","21,315,930.0","22,456,644.0","23,732,694.0","25,271,960.0","26,961,227.0","28,564,983.0","30,003,633.0","31,694,863.0","35,010,368.0","38,542,361.0","41,651,637.0","43,386,290.0","43,580,941.0"
"73","50","    Private","K160501","720,648.0","758,239.0","788,480.0","820,078.0","893,291.0","961,082.0","1,009,648.0","1,033,609.0","1,077,254.0","1,109,220.0","1,144,515.0","1,186,025.0","1,221,881.0","1,306,958.0","1,393,285.0","1,511,419.0","1,623,793.0","1,789,361.0","1,942,390.0","2,097,849.0","2,332,921.0","2,573,201.0","2,923,956.0","3,445,090.0","3,766,408.0","4,150,031.0","4,723,358.0","5,404,605.0","6,255,690.0","7,118,453.0","7,858,168.0","8,288,503.0","8,579,126.0","9,077,585.0","9,575,727.0","10,178,701.0","10,780,761.0","11,461,132.0","12,120,151.0","12,677,484.0","12,945,062.0","13,495,587.0","14,211,584.0","15,088,823.0","15,820,511.0","16,635,428.0","17,552,727.0","18,627,876.0","19,866,743.0","21,240,514.0","22,585,510.0","23,749,947.0","25,180,554.0","27,746,781.0","30,600,947.0","32,870,859.0","33,928,914.0","34,260,764.0"
"74","51","    Government","K160511","236,088.0","252,851.0","258,716.0","274,143.0","295,782.0","328,670.0","342,712.0","360,776.0","371,061.0","384,631.0","403,971.0","430,136.0","450,920.0","473,185.0","503,403.0","543,876.0","587,697.0","638,111.0","702,371.0","781,597.0","846,449.0","922,662.0","1,037,890.0","1,275,290.0","1,339,954.0","1,416,534.0","1,505,484.0","1,646,605.0","1,874,746.0","2,146,465.0","2,358,145.0","2,489,150.0","2,548,296.0","2,648,717.0","2,763,802.0","2,933,884.0","3,089,187.0","3,248,428.0","3,425,495.0","3,597,817.0","3,719,550.0","3,882,308.0","4,062,912.0","4,293,411.0","4,504,069.0","4,680,502.0","4,903,917.0","5,104,818.0","5,405,217.0","5,720,712.0","5,979,473.0","6,253,686.0","6,514,309.0","7,263,587.0","7,941,413.0","8,780,777.0","9,457,376.0","9,320,177.0"
"75","52","  Private inventories \1\","K160521","127,344.0","118,865.0","117,028.0","115,040.0","115,919.0","124,688.0","127,833.0","131,522.0","133,074.0","136,436.0","139,816.0","147,433.0","149,944.0","154,478.0","169,391.0","185,611.0","194,758.0","208,058.0","227,431.0","235,687.0","253,669.0","283,597.0","351,525.0","405,646.0","408,509.0","439,554.0","481,974.0","570,918.0","667,580.0","739,003.0","779,100.0","773,892.0","796,872.0","868,960.0","875,945.0","858,033.0","924,227.0","999,740.0","1,044,283.0","1,082,015.0","1,057,226.0","1,082,584.0","1,115,980.0","1,194,547.0","1,257,193.0","1,284,668.0","1,327,330.0","1,341,603.0","1,432,668.0","1,523,962.0","1,447,281.0","1,489,140.0","1,545,706.0","1,681,526.0","1,804,599.0","1,917,107.0","2,070,550.0","2,015,851.0"
"76",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","53","  Intersectoral auto valuation adjustment \11\","K160531","19.0","-19.0","60.0","301.0","359.0","431.0","269.0","-467.0","394.0","451.0","439.0","308.0","288.0","249.0","208.0","162.0","256.0","186.0","332.0","794.0","805.0","702.0","770.0","854.0","703.0","482.0","649.0","1,447.0","1,648.0","2,278.0","1,859.0","1,687.0","1,985.0","3,441.0","6,354.0","11,032.0","9,657.0","6,902.0","7,095.0","7,678.0","5,050.0","3,339.0","1,695.0","416.0","37.0","-1,494.0","3,056.0","1,326.0","994.0","783.0","3,873.0","6,289.0","9,616.0","9,290.0","7,441.0","9,279.0","9,359.0","9,861.0"
"78","54","  Brokers' commissions on sale of nonresidential used structures and dealers' margins on used equipment","K160541","359.0","315.0","290.0","248.0","410.0","449.0","450.0","435.0","441.0","446.0","448.0","489.0","514.0","568.0","682.0","765.0","728.0","758.0","814.0","782.0","810.0","901.0","1,094.0","1,244.0","1,262.0","1,378.0","1,654.0","2,063.0","2,393.0","2,672.0","3,069.0","3,265.0","3,303.0","3,884.0","4,180.0","4,349.0","4,632.0","5,264.0","5,845.0","6,195.0","5,588.0","5,613.0","6,342.0","7,069.0","7,978.0","8,782.0","10,325.0","12,022.0","13,783.0","14,900.0","15,518.0","15,511.0","15,390.0","16,825.0","18,362.0","19,861.0","22,121.0","21,834.0"
"79","55","  Electric plants put in place less electric plants put in use \12\","K160551","87.0","43.0","192.0","26.0","-251.0","-92.0","17.0","32.0","-1.0","40.0","119.0","84.0","191.0","170.0","237.0","703.0","555.0","833.0","869.0","1,359.0","1,659.0","1,363.0","1,467.0","2,356.0","1,751.0","3,270.0","3,599.0","4,949.0","6,153.0","6,647.0","6,952.0","7,318.0","6,962.0","4,378.0","38.0","1,571.0","-1,628.0","1,631.0","2,797.0","-1,368.0","3,817.0","7,856.0","3,916.0","5,704.0","7.0","-9,570.0","-842.0","-231.0","176.0","1,078.0","1,333.0","-242.0","-1,708.0","-2,418.0","-1,834.0","-2,014.0","-1,972.0","-3,014.0"
"80","56","    Private","K160561","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","16.0","22.0","30.0","193.0","176.0","272.0","730.0","545.0","719.0","726.0","1,126.0","1,253.0","1,126.0","1,329.0","2,129.0","1,273.0","2,547.0","2,747.0","3,620.0","4,751.0","5,137.0","6,485.0","7,052.0","6,209.0","3,652.0","-1,000.0","668.0","-2,604.0","733.0","2,226.0","-2,001.0","3,415.0","6,530.0","2,558.0","5,084.0","1,516.0","-2,342.0","-841.0","-233.0","172.0","1,073.0","1,183.0","-551.0","-2,377.0","-2,684.0","-2,555.0","-2,577.0","-2,949.0","-2,993.0"
"81","57","    Government","K160571","87.0","43.0","192.0","26.0","-251.0","-92.0","17.0","32.0","-8.0","24.0","97.0","54.0","-2.0","-6.0","-35.0","-27.0","10.0","114.0","143.0","233.0","406.0","237.0","138.0","227.0","478.0","723.0","852.0","1,329.0","1,402.0","1,510.0","467.0","266.0","753.0","726.0","1,038.0","903.0","976.0","898.0","571.0","633.0","402.0","1,326.0","1,358.0","620.0","-1,509.0","-7,228.0","-1.0","2.0","4.0","5.0","150.0","309.0","670.0","266.0","720.0","563.0","977.0","-21.0"
"82","58","  Abandoned electric plants \13\","K160581","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","280.0","439.0","424.0","2,788.0","2,633.0","6,980.0","4,506.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"83","59","  Sale of equipment scrap, excluding autos \14\","K160591","-102.0","-78.0","-103.0","-41.0","-124.0","-158.0","-116.0","-63.0","-119.0","-139.0","-205.0","-182.0","-239.0","-349.0","-457.0","-498.0","-364.0","-361.0","-530.0","-619.0","-444.0","-445.0","-1,072.0","-2,208.0","-1,279.0","-1,662.0","-1,527.0","-2,351.0","-4,161.0","-3,900.0","-4,134.0","-2,056.0","-1,639.0","-1,896.0","-1,799.0","-1,826.0","-2,499.0","-2,973.0","-2,815.0","-2,847.0","-2,124.0","-2,006.0","-3,991.0","-4,281.0","-5,136.0","-4,844.0","-4,774.0","-4,049.0","-3,358.0","-3,524.0","-2,564.0","-2,802.0","-3,066.0","-5,650.0","-5,231.0","-7,002.0","-8,260.0","-8,310.0"
"84","60","  Other \15\","K160601","-490.0","-426.0","-411.0","-342.0","-239.0","-429.0","-363.0","-159.0","-332.0","-327.0","-390.0","-497.0","-461.0","-484.0","-478.0","-483.0","-418.0","-426.0","-475.0","-498.0","-553.0","-643.0","-696.0","-755.0","-752.0","-824.0","-894.0","-1,472.0","-1,980.0","-2,264.0","-4,984.0","-4,930.0","-9,243.0","-7,125.0","-2,690.0","-2,708.0","-2,019.0","-2,063.0","-2,197.0","-2,131.0","-2,066.0","6.0","81.0","165.0","246.0","327.0","0.0","2.0","0.0","3.0","-1.0","2.0","52.0","51.0","33.0","15.0","19.0","1,345.0"
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","1. Estimates of government inventories are not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Private fixed investment shown in table 5.2.5, line 7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","3. Gross government investment shown in table 5.2.5, line 23.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
