"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Current receipts","W023RC1","14,106.0","14,716.0","15,086.0","15,609.0","16,110.0","16,561.0","17,013.0","17,314.0","17,748.0","17,917.0","18,708.0","18,823.0","19,213.0","19,665.0","20,377.0","20,567.0","21,681.0","21,624.0","21,856.0","22,542.0","22,901.0","23,388.0","23,997.0","24,573.0","24,554.0","25,779.0","25,753.0","25,870.0","26,360.0","26,640.0","27,124.0","27,560.0","28,327.0","28,961.0","29,837.0","30,424.0","31,274.0","32,044.0","32,773.0","33,380.0","34,424.0","34,731.0","35,339.0","35,570.0","35,724.0","36,517.0","37,160.0","38,894.0","39,143.0","40,088.0","41,250.0","42,106.0","43,263.0","44,245.0","44,775.0","45,548.0","46,451.0","47,604.0","48,591.0","49,615.0","50,721.0","51,453.0","52,541.0","53,273.0","54,121.0","55,255.0","56,822.0","57,907.0","59,664.0","60,741.0","61,743.0","62,891.0","64,055.0","65,855.0","67,323.0","68,893.0","71,791.0","74,143.0","76,147.0","77,654.0","79,232.0","80,744.0","83,263.0","86,841.0","89,267.0","92,903.0","94,606.0","97,293.0","100,108.0","103,358.0","107,489.0","110,861.0","115,096.0","118,561.0","122,203.0","124,462.0","128,496.0","133,155.0","136,713.0","141,344.0","147,186.0","159,409.0","154,873.0","172,267.0","171,019.0","172,364.0","175,108.0","178,876.0","180,437.0","185,834.0","192,026.0","194,023.0","198,280.0","207,608.0","213,843.0","218,619.0","225,760.0","230,232.0","234,875.0","243,824.0","247,886.0","256,304.0","265,182.0","270,380.0","277,748.0","289,536.0","287,493.0","295,522.0","298,799.0","302,780.0","312,800.0","319,045.0","327,958.0","329,523.0","341,517.0","353,677.0","363,516.0","368,072.0","374,039.0","375,309.0","380,788.0","389,121.0","395,028.0","400,798.0","407,572.0","423,576.0","436,391.0","446,896.0","465,325.0","478,095.0","481,642.0","495,550.0","506,540.0","516,425.0","526,113.0","535,198.0","552,624.0","554,805.0","567,091.0","572,020.0","572,793.0","594,072.0","593,460.0","601,979.0","615,810.0","625,615.0","644,104.0","656,601.0","674,553.0","686,540.0","694,692.0","694,175.0","721,551.0","730,171.0","743,902.0","756,206.0","764,232.0","779,077.0","797,999.0","816,278.0","825,576.0","842,438.0","853,686.0","863,239.0","864,034.0","876,961.0","893,492.0","918,127.0","924,130.0","932,283.0","954,530.0","968,398.0","984,628.0","980,948.0","998,766.0","1,003,196.0","1,022,797.0","1,044,659.0","1,051,343.0","1,061,538.0","1,077,714.0","1,085,776.0","1,107,724.0","1,126,674.0","1,139,890.0","1,152,186.0","1,167,297.0","1,198,634.0","1,210,334.0","1,221,473.0","1,252,852.0","1,277,007.0","1,299,129.0","1,323,444.0","1,331,638.0","1,336,197.0","1,368,267.0","1,388,654.0","1,363,658.0","1,375,446.0","1,380,973.0","1,395,216.0","1,429,488.0","1,445,119.0","1,440,976.0","1,473,232.0","1,519,208.0","1,551,836.0","1,555,210.0","1,580,224.0","1,610,718.0","1,657,699.0","1,690,809.0","1,714,265.0","1,741,256.0","1,775,353.0","1,800,616.0","1,830,252.0","1,842,452.0","1,845,332.0","1,902,260.0","1,923,350.0","1,932,081.0","1,951,581.0","1,963,694.0","1,994,245.0","1,987,476.0","1,951,427.0","1,961,406.0","1,989,342.0","2,003,603.0","2,027,506.0"
"21","2","Current tax receipts","W070RC1","11,480.0","11,779.0","12,212.0","12,701.0","13,217.0","13,578.0","13,919.0","14,122.0","14,584.0","14,820.0","15,168.0","15,412.0","15,752.0","16,145.0","16,903.0","17,064.0","17,939.0","17,801.0","18,132.0","18,600.0","19,007.0","19,427.0","19,840.0","20,382.0","20,737.0","21,033.0","21,382.0","21,404.0","21,737.0","22,041.0","22,397.0","22,813.0","23,564.0","24,013.0","24,701.0","25,306.0","26,146.0","26,755.0","27,270.0","27,801.0","28,538.0","28,942.0","29,281.0","29,346.0","29,697.0","30,071.0","30,848.0","31,741.0","32,700.0","33,182.0","34,357.0","35,065.0","35,976.0","36,695.0","37,293.0","37,852.0","38,427.0","39,171.0","40,062.0","40,952.0","41,814.0","42,390.0","43,139.0","43,773.0","44,422.0","45,217.0","46,332.0","47,097.0","48,282.0","49,233.0","50,484.0","51,093.0","52,152.0","53,175.0","54,393.0","55,700.0","56,915.0","58,046.0","59,478.0","60,633.0","61,575.0","62,542.0","64,819.0","66,956.0","70,187.0","72,297.0","74,582.0","76,522.0","78,975.0","81,065.0","83,868.0","85,932.0","88,383.0","90,315.0","92,473.0","93,985.0","97,051.0","100,049.0","103,193.0","106,455.0","110,861.0","114,536.0","116,791.0","120,140.0","122,995.0","124,722.0","127,638.0","129,745.0","130,614.0","134,706.0","139,277.0","139,563.0","140,857.0","144,775.0","150,262.0","153,862.0","160,014.0","163,742.0","167,286.0","171,854.0","176,926.0","181,607.0","186,107.0","190,304.0","192,112.0","200,207.0","197,637.0","202,748.0","206,311.0","208,412.0","214,558.0","218,787.0","224,521.0","224,101.0","231,508.0","239,966.0","249,533.0","252,505.0","259,466.0","261,584.0","265,371.0","270,632.0","276,513.0","280,116.0","283,719.0","295,918.0","307,524.0","316,435.0","328,026.0","335,988.0","339,038.0","346,128.0","353,914.0","360,619.0","367,480.0","372,739.0","378,866.0","383,619.0","392,209.0","403,470.0","406,977.0","424,510.0","424,914.0","432,024.0","438,359.0","445,721.0","458,840.0","468,132.0","481,478.0","490,632.0","491,114.0","488,792.0","509,841.0","513,401.0","522,447.0","530,804.0","529,548.0","538,225.0","549,171.0","560,168.0","565,270.0","579,642.0","583,924.0","590,228.0","588,867.0","598,252.0","608,384.0","623,458.0","630,435.0","636,166.0","652,234.0","658,054.0","667,685.0","661,590.0","676,264.0","682,920.0","695,328.0","705,960.0","712,558.0","724,538.0","734,571.0","740,992.0","756,232.0","767,890.0","779,863.0","791,396.0","798,810.0","809,649.0","820,598.0","830,274.0","847,268.0","863,600.0","881,749.0","898,726.0","893,924.0","898,577.0","917,883.0","927,940.0","902,097.0","909,196.0","911,494.0","911,771.0","941,183.0","950,156.0","951,814.0","952,270.0","992,489.0","1,014,110.0","1,028,339.0","1,040,143.0","1,068,925.0","1,100,140.0","1,133,386.0","1,150,474.0","1,171,217.0","1,197,215.0","1,229,970.0","1,249,495.0","1,253,812.0","1,262,851.0","1,296,785.0","1,309,133.0","1,315,652.0","1,331,901.0","1,338,122.0","1,356,916.0","1,351,037.0","1,298,933.0","1,272,211.0","1,238,060.0","1,263,471.0","1,278,658.0"
"22","3","  Personal current taxes","W071RC1","973.0","987.0","1,017.0","1,011.0","1,138.0","1,141.0","1,145.0","1,136.0","1,331.0","1,350.0","1,371.0","1,376.0","1,466.0","1,479.0","1,483.0","1,492.0","1,645.0","1,664.0","1,695.0","1,716.0","1,816.0","1,845.0","1,846.0","1,845.0","1,911.0","1,923.0","1,951.0","1,959.0","2,056.0","2,089.0","2,109.0","2,114.0","2,364.0","2,361.0","2,408.0","2,423.0","2,663.0","2,667.0","2,689.0","2,693.0","2,866.0","2,889.0","2,905.0","2,908.0","3,022.0","3,028.0","3,077.0","3,128.0","3,606.0","3,694.0","3,967.0","4,025.0","4,152.0","4,212.0","4,264.0","4,292.0","4,347.0","4,484.0","4,646.0","4,747.0","4,850.0","4,960.0","5,103.0","5,191.0","5,269.0","5,303.0","5,497.0","5,587.0","5,763.0","5,999.0","6,215.0","6,359.0","6,460.0","6,547.0","6,621.0","6,756.0","7,134.0","7,567.0","8,018.0","8,385.0","8,319.0","8,294.0","8,677.0","9,010.0","9,732.0","10,273.0","10,845.0","11,358.0","11,858.0","12,324.0","13,363.0","13,679.0","14,017.0","14,148.0","14,317.0","14,386.0","14,711.0","15,606.0","16,015.0","17,276.0","19,501.0","20,966.0","21,217.0","21,848.0","21,899.0","22,317.0","23,113.0","23,975.0","23,264.0","24,082.0","25,163.0","25,583.0","25,724.0","26,456.0","27,167.0","28,161.0","29,468.0","30,598.0","31,601.0","32,629.0","33,530.0","34,719.0","35,927.0","37,288.0","38,636.0","40,140.0","40,922.0","42,102.0","42,034.0","42,063.0","45,392.0","46,639.0","46,552.0","48,001.0","49,406.0","51,605.0","52,535.0","53,673.0","55,488.0","56,764.0","57,302.0","58,066.0","60,412.0","60,808.0","61,335.0","64,271.0","68,090.0","70,724.0","73,286.0","75,848.0","76,770.0","78,188.0","79,267.0","80,942.0","81,497.0","83,734.0","84,479.0","85,012.0","87,494.0","91,835.0","92,391.0","101,458.0","94,123.0","98,428.0","99,411.0","97,227.0","104,140.0","107,598.0","113,385.0","118,249.0","114,509.0","112,413.0","119,335.0","122,553.0","123,722.0","124,626.0","121,197.0","124,526.0","126,101.0","129,420.0","127,470.0","136,898.0","136,698.0","140,154.0","136,451.0","138,310.0","143,566.0","145,941.0","146,892.0","141,914.0","151,151.0","152,003.0","156,833.0","152,354.0","160,645.0","162,604.0","165,285.0","165,897.0","169,346.0","174,164.0","177,782.0","176,887.0","184,075.0","189,248.0","195,535.0","201,439.0","201,602.0","206,308.0","208,140.0","209,393.0","216,433.0","223,978.0","232,121.0","243,253.0","236,676.0","234,782.0","250,753.0","259,807.0","232,012.0","229,500.0","222,455.0","211,936.0","225,625.0","227,188.0","219,105.0","210,248.0","234,392.0","240,931.0","240,468.0","237,553.0","252,039.0","264,256.0","269,286.0","273,018.0","277,882.0","286,734.0","298,438.0","305,505.0","300,410.0","305,531.0","322,664.0","324,106.0","323,099.0","321,295.0","336,448.0","342,016.0","327,228.0","314,140.0","286,993.0","252,692.0","275,167.0","277,272.0"
"23","4","    Income taxes","B245RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,829.0","1,829.0","1,829.0","1,829.0","2,041.0","2,111.0","2,363.0","2,401.0","2,500.0","2,531.0","2,556.0","2,557.0","2,602.0","2,733.0","2,886.0","2,979.0","3,061.0","3,137.0","3,238.0","3,284.0","3,329.0","3,330.0","3,496.0","3,573.0","3,733.0","3,951.0","4,139.0","4,249.0","4,323.0","4,380.0","4,430.0","4,535.0","4,847.0","5,225.0","5,634.0","5,982.0","5,921.0","5,866.0","6,199.0","6,462.0","7,130.0","7,608.0","8,100.0","8,526.0","8,940.0","9,316.0","10,287.0","10,533.0","10,770.0","10,853.0","10,979.0","11,010.0","11,301.0","12,164.0","12,539.0","13,756.0","15,911.0","17,317.0","17,496.0","18,064.0","18,026.0","18,393.0","19,099.0","19,938.0","19,166.0","19,938.0","20,965.0","21,335.0","21,430.0","22,075.0","22,707.0","23,600.0","24,775.0","25,816.0","26,730.0","27,715.0","28,644.0","29,799.0","30,931.0","32,166.0","33,365.0","34,715.0","35,391.0","36,453.0","36,332.0","36,313.0","39,551.0","40,660.0","40,437.0","41,734.0","43,049.0","45,156.0","45,985.0","47,018.0","48,761.0","49,884.0","50,246.0","50,866.0","53,064.0","53,372.0","53,693.0","56,542.0","60,204.0","62,701.0","65,049.0","67,393.0","68,102.0","69,340.0","70,249.0","71,769.0","72,181.0","74,289.0","74,965.0","75,357.0","77,667.0","81,807.0","82,077.0","90,923.0","83,369.0","87,467.0","88,279.0","85,800.0","92,491.0","95,826.0","101,291.0","105,833.0","102,142.0","99,814.0","106,638.0","109,512.0","110,751.0","111,475.0","107,950.0","111,221.0","112,227.0","115,482.0","112,714.0","122,258.0","121,935.0","124,601.0","121,765.0","123,948.0","128,663.0","130,524.0","131,395.0","125,763.0","135,082.0","136,724.0","140,623.0","136,122.0","144,241.0","145,962.0","148,999.0","149,633.0","152,847.0","157,825.0","160,726.0","159,572.0","166,757.0","171,613.0","177,707.0","183,227.0","183,384.0","187,762.0","189,319.0","190,540.0","197,424.0","204,845.0","212,702.0","224,026.0","217,048.0","215,640.0","231,612.0","240,092.0","212,146.0","209,494.0","202,613.0","191,302.0","204,888.0","206,249.0","197,956.0","188,537.0","211,780.0","218,015.0","217,024.0","214,102.0","228,094.0","239,728.0","244,666.0","248,287.0","252,761.0","261,086.0","272,406.0","279,124.0","273,950.0","278,836.0","295,626.0","297,002.0","295,820.0","293,648.0","309,213.0","314,319.0","299,445.0","286,427.0","259,230.0","224,903.0","247,183.0","248,855.0"
