"","Table 5#1# Saving and Investment                                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross saving","A929RC1","46,582.0","43,979.0","45,086.0","50,647.0","55,398.0","59,120.0","58,660.0","58,932.0","51,099.0","44,066.0","46,020.0","41,292.0","48,740.0","56,656.0","63,056.0","74,122.0","70,816.0","77,487.0","75,561.0","76,458.0","77,057.0","70,791.0","73,150.0","75,673.0","77,035.0","77,430.0","77,217.0","68,861.0","71,888.0","72,030.0","72,604.0","76,992.0","81,703.0","88,050.0","89,103.0","93,130.0","96,656.0","97,666.0","101,266.0","101,922.0","102,053.0","101,981.0","101,841.0","92,589.0","88,831.0","84,399.0","91,019.0","98,965.0","104,607.0","111,127.0","102,917.0","105,677.0","118,214.0","110,779.0","110,996.0","105,147.0","108,189.0","110,168.0","117,052.0","121,757.0","124,415.0","123,864.0","125,641.0","125,699.0","128,456.0","133,065.0","133,549.0","137,605.0","140,017.0","140,256.0","143,560.0","149,681.0","157,154.0","158,691.0","158,756.0","159,212.0","167,525.0","167,297.0","167,349.0","172,752.0","168,105.0","164,353.0","171,853.0","177,895.0","176,161.0","181,942.0","182,365.0","187,637.0","196,039.0","196,413.0","203,029.0","198,291.0","192,168.0","194,289.0","195,791.0","188,951.0","202,226.0","207,060.0","212,138.0","215,459.0","223,424.0","225,165.0","238,730.0","261,698.0","274,676.0","282,095.0","294,503.0","317,444.0","309,200.0","298,705.0","299,226.0","300,219.0","280,115.0","278,960.0","308,377.0","319,963.0","336,960.0","342,431.0","343,838.0","344,687.0","352,664.0","391,762.0","417,438.0","424,999.0","433,581.0","471,223.0","488,911.0","511,634.0","530,158.0","530,007.0","532,286.0","540,396.0","534,237.0","521,951.0","530,032.0","584,673.0","613,988.0","621,151.0","679,003.0","670,103.0","636,921.0","661,681.0","624,820.0","562,543.0","583,320.0","590,220.0","590,503.0","645,548.0","722,865.0","747,880.0","771,882.0","770,781.0","755,761.0","747,806.0","718,967.0","730,807.0","744,472.0","718,287.0","683,081.0","691,390.0","733,194.0","758,512.0","793,718.0","843,594.0","859,160.0","896,604.0","920,538.0","929,748.0","964,415.0","921,284.0","912,420.0","898,457.0","905,311.0","941,062.0","910,873.0","913,173.0","998,243.0","942,494.0","922,140.0","942,360.0","944,121.0","960,321.0","908,598.0","916,144.0","937,731.0","964,951.0","943,988.0","987,023.0","1,047,845.0","1,089,299.0","1,101,702.0","1,139,812.0","1,196,846.0","1,191,517.0","1,223,850.0","1,263,919.0","1,283,951.0","1,325,047.0","1,363,912.0","1,404,503.0","1,452,439.0","1,519,785.0","1,560,478.0","1,569,962.0","1,638,314.0","1,640,792.0","1,682,098.0","1,656,440.0","1,746,112.0","1,696,112.0","1,674,318.0","1,715,574.0","1,827,452.0","1,807,752.0","1,820,937.0","1,744,459.0","1,802,447.0","1,753,865.0","1,661,506.0","1,564,863.0","1,602,572.0","1,580,250.0","1,519,377.0","1,541,531.0","1,494,308.0","1,541,402.0","1,531,825.0","1,643,488.0","1,648,719.0","1,713,778.0","1,785,549.0","1,748,690.0","1,842,757.0","1,866,432.0","1,896,117.0","2,008,228.0","2,148,858.0","2,159,182.0","2,161,157.0","2,228,398.0","2,036,052.0","2,096,771.0","2,028,654.0","1,999,318.0","1,903,493.0","1,780,098.0","1,842,370.0","1,770,506.0","1,595,314.0","1,530,741.0","1,401,673.0","1,505,936.0"
"21","2","Net saving","W201RC1","20,990.0","17,716.0","17,993.0","22,998.0","27,466.0","30,863.0","29,930.0","29,990.0","21,856.0","14,869.0","16,898.0","12,134.0","19,642.0","27,281.0","32,977.0","42,905.0","38,317.0","44,025.0","41,291.0","41,522.0","41,692.0","34,855.0","36,525.0","38,461.0","39,168.0","38,947.0","38,342.0","29,541.0","32,096.0","31,646.0","31,758.0","35,631.0","40,041.0","45,866.0","45,978.0","48,958.0","51,170.0","51,040.0","53,595.0","53,288.0","52,408.0","51,484.0","50,552.0","40,644.0","36,560.0","31,508.0","37,405.0","44,722.0","49,804.0","55,870.0","47,270.0","49,730.0","62,059.0","54,369.0","54,299.0","48,073.0","50,714.0","52,246.0","58,654.0","62,822.0","64,824.0","63,747.0","64,772.0","64,042.0","66,160.0","70,061.0","69,884.0","73,243.0","74,926.0","74,376.0","76,810.0","81,937.0","88,322.0","88,637.0","87,416.0","86,561.0","93,458.0","91,602.0","90,115.0","93,933.0","87,727.0","82,368.0","88,080.0","92,293.0","88,612.0","92,569.0","91,068.0","94,182.0","100,401.0","98,429.0","102,749.0","95,426.0","86,585.0","86,502.0","86,391.0","78,467.0","88,394.0","90,339.0","92,938.0","94,121.0","99,961.0","99,575.0","110,485.0","130,390.0","140,089.0","143,664.0","151,813.0","170,026.0","156,124.0","138,971.0","131,997.0","125,515.0","98,064.0","90,824.0","114,953.0","122,062.0","135,530.0","136,939.0","133,669.0","129,096.0","130,608.0","163,360.0","182,642.0","183,150.0","184,406.0","214,180.0","223,492.0","237,615.0","246,858.0","236,576.0","228,251.0","225,554.0","208,271.0","184,016.0","180,092.0","222,175.0","238,648.0","233,501.0","279,516.0","259,208.0","214,855.0","230,398.0","186,626.0","119,919.0","138,175.0","141,809.0","137,506.0","187,679.0","258,838.0","277,272.0","294,346.0","285,563.0","262,479.0","246,721.0","209,474.0","212,895.0","218,576.0","183,744.0","140,336.0","140,674.0","174,803.0","192,309.0","218,572.0","258,963.0","263,700.0","290,685.0","304,373.0","303,237.0","328,002.0","274,914.0","255,961.0","231,891.0","228,491.0","254,507.0","214,724.0","207,885.0","284,431.0","221,177.0","193,875.0","208,310.0","205,411.0","217,127.0","162,261.0","166,980.0","175,770.0","191,689.0","160,376.0","193,802.0","245,618.0","276,567.0","277,444.0","302,360.0","345,474.0","327,398.0","348,184.0","377,235.0","387,750.0","418,759.0","446,212.0","474,624.0","508,899.0","562,667.0","590,207.0","585,669.0","641,012.0","628,851.0","654,170.0","611,426.0","682,956.0","612,937.0","570,154.0","588,512.0","675,855.0","633,339.0","625,092.0","529,018.0","568,992.0","503,914.0","397,111.0","287,782.0","314,286.0","280,799.0","208,873.0","219,857.0","161,156.0","195,542.0","171,411.0","266,706.0","252,049.0","294,242.0","341,143.0","278,243.0","347,086.0","342,261.0","340,087.0","418,600.0","530,864.0","511,004.0","485,936.0","527,080.0","309,306.0","347,403.0","257,471.0","206,546.0","89,858.0","-55,458.0","-15,810.0","-110,468.0","-288,268.0","-333,252.0","-449,048.0","-351,733.0"
"22","3","  Net private saving","W202RC1","13,371.0","10,859.0","14,833.0","13,654.0","18,642.0","24,529.0","27,266.0","28,281.0","23,711.0","19,933.0","21,734.0","16,937.0","26,988.0","23,751.0","17,657.0","26,904.0","18,371.0","31,461.0","33,518.0","32,839.0","31,931.0","29,094.0","32,139.0","31,530.0","31,995.0","32,320.0","31,397.0","29,142.0","31,886.0","30,330.0","30,154.0","32,583.0","33,500.0","35,904.0","37,356.0","37,329.0","38,440.0","39,909.0","41,391.0","41,713.0","41,531.0","42,924.0","42,183.0","38,679.0","37,165.0","37,332.0","41,327.0","44,631.0","43,651.0","47,207.0","40,284.0","43,369.0","46,141.0","41,996.0","43,421.0","41,562.0","44,175.0","47,541.0","51,750.0","53,634.0","57,579.0","56,660.0","56,215.0","56,296.0","56,748.0","58,311.0","58,073.0","62,253.0","66,577.0","70,760.0","69,125.0","72,425.0","74,590.0","75,436.0","81,372.0","80,450.0","80,786.0","80,178.0","80,629.0","87,470.0","89,776.0","85,866.0","90,183.0","93,939.0","87,496.0","91,890.0","82,315.0","84,519.0","78,565.0","79,289.0","88,809.0","84,201.0","80,896.0","94,984.0","98,995.0","96,593.0","107,322.0","114,734.0","115,940.0","116,701.0","113,798.0","109,077.0","117,491.0","137,131.0","136,380.0","143,158.0","147,871.0","162,650.0","153,228.0","139,742.0","133,274.0","146,995.0","145,929.0","194,009.0","175,076.0","183,582.0","184,154.0","180,449.0","180,908.0","174,882.0","168,247.0","192,892.0","214,197.0","216,399.0","216,140.0","219,001.0","229,348.0","236,112.0","241,038.0","233,578.0","228,913.0","237,553.0","231,320.0","236,115.0","244,390.0","274,061.0","269,512.0","272,329.0","326,468.0","339,371.0","319,402.0","341,241.0","336,438.0","304,589.0","321,990.0","311,469.0","316,667.0","340,461.0","393,323.0","417,802.0","448,404.0","446,597.0","388,527.0","423,734.0","365,806.0","378,550.0","375,895.0","369,219.0","328,735.0","305,012.0","349,288.0","300,216.0","346,344.0","398,267.0","399,307.0","416,431.0","412,770.0","418,215.0","415,927.0","383,648.0","375,199.0","371,213.0","384,493.0","422,205.0","382,294.0","397,643.0","448,502.0","446,317.0","436,824.0","473,119.0","501,887.0","519,704.0","480,198.0","465,505.0","498,048.0","470,606.0","446,208.0","431,447.0","476,608.0","475,732.0","482,804.0","515,496.0","556,010.0","535,944.0","549,252.0","545,058.0","561,568.0","549,714.0","559,469.0","557,646.0","571,250.0","600,591.0","585,407.0","585,546.0","587,473.0","565,600.0","556,819.0","503,614.0","559,801.0","479,390.0","425,113.0","427,782.0","419,428.0","405,602.0","404,756.0","327,635.0","394,585.0","390,643.0","524,431.0","349,813.0","575,576.0","588,373.0","518,838.0","568,447.0","543,032.0","622,802.0","648,376.0","641,463.0","684,003.0","699,640.0","706,362.0","626,987.0","610,804.0","611,469.0","602,198.0","651,893.0","675,578.0","677,155.0","659,023.0","654,109.0","477,407.0","533,750.0","495,918.0","472,877.0","543,401.0","767,014.0","708,950.0","619,698.0","717,383.0","960,232.0","919,491.0","955,983.0"
"23","4","    Personal saving","A071RC1","10,241.0","4,152.0","8,281.0","6,391.0","8,266.0","12,690.0","16,466.0","15,484.0","11,120.0","8,837.0","9,421.0","8,045.0","19,137.0","15,005.0","8,659.0","16,915.0","12,679.0","22,331.0","21,442.0","20,929.0","20,294.0","18,962.0","22,608.0","19,526.0","20,074.0","22,010.0","21,514.0","21,480.0","22,276.0","19,311.0","18,665.0","18,989.0","17,398.0","18,955.0","20,941.0","20,875.0","23,294.0","25,425.0","26,338.0","27,548.0","26,293.0","28,045.0","27,480.0","25,603.0","27,211.0","27,098.0","29,115.0","29,319.0","26,652.0","27,788.0","23,817.0","26,138.0","27,392.0","25,156.0","26,723.0","26,057.0","29,496.0","30,103.0","33,653.0","34,264.0","34,370.0","34,354.0","33,519.0","31,615.0","32,356.0","32,538.0","31,915.0","35,664.0","36,701.0","41,598.0","39,842.0","44,046.0","40,058.0","40,406.0","46,339.0","44,009.0","42,310.0","42,455.0","43,944.0","48,374.0","53,720.0","51,300.0","55,038.0","56,642.0","54,905.0","57,049.0","48,005.0","49,909.0","44,611.0","47,480.0","58,606.0","59,147.0","59,302.0","69,477.0","74,350.0","74,571.0","77,430.0","83,521.0","81,945.0","78,781.0","74,881.0","68,530.0","74,658.0","91,752.0","88,536.0","99,993.0","103,674.0","119,532.0","116,721.0","107,844.0","110,086.0","122,098.0","110,897.0","148,974.0","120,322.0","123,587.0","122,075.0","123,398.0","124,857.0","120,852.0","109,467.0","119,760.0","130,399.0","141,579.0","144,420.0","134,855.0","143,471.0","146,751.0","160,495.0","153,412.0","151,323.0","164,582.0","173,612.0","191,279.0","199,072.0","221,272.0","208,337.0","210,500.0","253,154.0","274,997.0","265,569.0","274,607.0","272,075.0","243,407.0","241,994.0","216,668.0","215,953.0","233,096.0","274,277.0","288,347.0","313,929.0","308,498.0","257,030.0","290,345.0","220,386.0","246,508.0","261,324.0","266,835.0","236,009.0","221,610.0","253,521.0","179,734.0","207,859.0","252,645.0","245,262.0","258,121.0","263,904.0","259,160.0","290,889.0","260,521.0","248,126.0","260,371.0","266,595.0","284,580.0","275,182.0","280,425.0","303,285.0","307,776.0","304,355.0","337,342.0","343,536.0","357,706.0","332,964.0","358,063.0","268,642.0","303,437.0","268,112.0","301,374.0","229,485.0","278,705.0","276,188.0","298,336.0","327,299.0","281,042.0","273,269.0","263,403.0","277,167.0","276,997.0","291,548.0","278,851.0","276,328.0","294,676.0","266,318.0","284,376.0","370,416.0","355,364.0","342,901.0","297,240.0","286,470.0","199,919.0","166,030.0","178,698.0","219,863.0","226,522.0","229,046.0","176,961.0","208,161.0","161,870.0","322,984.0","126,650.0","313,745.0","321,390.0","247,017.0","246,681.0","249,930.0","294,507.0","306,329.0","308,283.0","275,544.0","315,371.0","299,052.0","325,014.0","141,795.0","116,963.0","110,233.0","141,849.0","211,691.0","245,624.0","227,672.0","254,813.0","209,117.0","183,461.0","169,424.0","153,477.0","126,338.0","374,435.0","235,712.0","409,233.0","403,134.0","595,706.0","431,499.0","429,308.0"
