"","Table 5#6#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2010    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2010 9:58:05 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Change in private inventories","A014RX1","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","19,469.0","-25,889.0","-108,238.0"
"20","2","Farm","B018RX1","3,679.0","1,639.0","-3,700.0","-1,775.0","115.0","-3,058.0","147.0","7,894.0","117.0","-3,687.0","-766.0","-5,256.0","-378.0"
"21","3","Mining, utilities, and construction","N541RX1","2,472.0","9,008.0","-2,028.0","-2,797.0","10,821.0","-4,119.0","7,195.0","1,458.0","3,748.0","16,917.0","-354.0","-2,391.0","1,344.0"
"22","4","Manufacturing","N150RX1","24,374.0","17,600.0","16,211.0","8,063.0","-26,165.0","-5,271.0","-8,423.0","5,939.0","21,046.0","16,991.0","4,936.0","-3,813.0","-32,497.0"
"23","5","  Durable goods industries","N624RX1","15,307.0","17,398.0","7,174.0","7,109.0","-20,825.0","-5,796.0","-5,322.0","4,015.0","16,585.0","11,653.0","186.0","11,513.0","-29,136.0"
"24","6","  Nondurable goods industries","N625RX1","8,856.0","-1,053.0","9,393.0","660.0","-4,695.0","830.0","-3,075.0","1,904.0","4,461.0","5,363.0","4,518.0","-14,183.0","-3,779.0"
"25","7","Wholesale trade","N658RX1","26,917.0","23,705.0","21,084.0","20,670.0","-13,612.0","-69.0","-375.0","20,497.0","18,129.0","13,356.0","6,413.0","-5,151.0","-46,621.0"
"26","8","  Durable goods industries","N661RX1","16,825.0","17,238.0","14,609.0","14,047.0","-17,678.0","415.0","820.0","18,103.0","13,370.0","9,121.0","1,910.0","6,719.0","-43,177.0"
"27","9","  Nondurable goods industries","N664RX1","9,805.0","5,645.0","6,010.0","6,334.0","5,214.0","-522.0","-1,250.0","2,182.0","4,759.0","4,269.0","4,297.0","-10,726.0","-4,805.0"
"28","10","Retail trade","N153RX1","14,201.0","15,156.0","25,833.0","20,649.0","-10,649.0","23,718.0","17,317.0","23,671.0","4,618.0","10,760.0","5,862.0","-11,790.0","-25,667.0"
