"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Current receipts","W021RC1","10,544.0","9,975.0","8,685.0","8,171.0","8,628.0","9,700.0","10,462.0","11,886.0","14,266.0","13,873.0","14,249.0","16,622.0","23,764.0","31,224.0","47,619.0","49,432.0","51,366.0","50,395.0","55,395.0","56,759.0","53,590.0","66,093.0","81,921.0","86,446.0","90,802.0","85,936.0","96,659.0","104,150.0","109,802.0","108,172.0","122,983.0","134,391.0","139,032.0","150,571.0","162,173.0","166,603.0","180,327.0","202,827.0","217,686.0","252,081.0","283,544.0","286,853.0","303,602.0","347,033.0","390,387.0","431,769.0","442,075.0","505,932.0","567,325.0","646,072.0","728,923.0","798,661.0","917,686.0","939,286.0","1,000,301.0","1,113,464.0","1,214,620.0","1,290,079.0","1,403,178.0","1,502,442.0","1,627,184.0","1,709,269.0","1,759,709.0","1,845,120.0","1,948,233.0","2,091,882.0","2,215,503.0","2,380,425.0","2,557,217.0","2,729,766.0","2,902,480.0","3,132,442.0","3,118,188.0","2,967,867.0","3,043,390.0","3,265,721.0","3,659,271.0","3,995,154.0","4,209,165.0","4,057,554.0","3,745,486.0"
"20","2","Current tax receipts","W054RC1","9,922.0","9,384.0","8,170.0","7,683.0","8,197.0","9,269.0","10,008.0","11,165.0","12,365.0","11,819.0","12,074.0","14,315.0","20,974.0","27,815.0","43,242.0","44,323.0","45,226.0","43,146.0","49,164.0","51,352.0","47,840.0","59,787.0","74,359.0","78,525.0","82,630.0","76,673.0","86,367.0","92,821.0","96,925.0","95,232.0","107,071.0","113,406.0","117,111.0","126,054.0","134,357.0","137,506.0","149,455.0","163,475.0","173,797.0","203,078.0","228,430.0","229,213.0","240,305.0","273,830.0","299,293.0","328,111.0","334,276.0","383,623.0","430,954.0","484,755.0","537,911.0","585,567.0","663,469.0","659,496.0","694,058.0","762,526.0","823,923.0","868,790.0","965,732.0","1,018,934.0","1,109,155.0","1,161,334.0","1,179,896.0","1,239,693.0","1,317,773.0","1,425,587.0","1,516,693.0","1,641,509.0","1,780,002.0","1,910,756.0","2,035,792.0","2,202,822.0","2,163,699.0","2,002,113.0","2,047,905.0","2,213,194.0","2,546,796.0","2,807,359.0","2,960,574.0","2,757,977.0","2,428,228.0"
"21","3","  Personal current taxes","W055RC1","1,729.0","1,571.0","1,003.0","728.0","812.0","900.0","1,067.0","1,295.0","1,922.0","1,858.0","1,487.0","1,686.0","2,310.0","4,888.0","16,737.0","17,663.0","19,442.0","17,210.0","19,790.0","19,205.0","16,733.0","18,912.0","27,055.0","32,005.0","33,242.0","30,160.0","32,859.0","36,591.0","38,886.0","38,548.0","42,289.0","46,068.0","47,250.0","51,555.0","54,552.0","52,069.0","57,664.0","66,378.0","72,961.0","86,987.0","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,308.0","197,519.0","229,397.0","268,666.0","298,855.0","345,165.0","354,110.0","352,325.0","377,412.0","417,339.0","437,217.0","489,058.0","504,938.0","566,095.0","592,708.0","586,625.0","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,418.0","1,000,347.0","1,047,821.0","1,208,589.0","1,352,402.0","1,490,935.0","1,432,409.0","1,102,488.0"
"22","4","  Taxes on production and imports","W056RC1","6,824.0","6,971.0","6,669.0","6,570.0","6,864.0","7,625.0","7,990.0","8,461.0","8,941.0","8,932.0","9,146.0","9,795.0","11,054.0","11,512.0","12,431.0","13,711.0","15,095.0","16,832.0","18,106.0","19,726.0","20,904.0","22,950.0","24,745.0","27,121.0","29,101.0","28,889.0","31,467.0","34,237.0","36,616.0","37,720.0","41,052.0","44,547.0","46,968.0","50,382.0","53,386.0","57,269.0","60,709.0","63,211.0","67,937.0","76,407.0","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,791.0","806,802.0","863,402.0","930,176.0","986,809.0","1,028,723.0","1,047,277.0","1,023,886.0"
"23","5","  Taxes on corporate income","W025RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,646.0","22,696.0","22,781.0","23,972.0","26,231.0","27,985.0","30,876.0","33,658.0","32,651.0","39,365.0","39,674.0","34,356.0","37,740.0","41,859.0","49,288.0","51,794.0","50,906.0","64,213.0","73,044.0","83,506.0","87,996.0","84,785.0","81,143.0","63,081.0","77,241.0","94,037.0","96,512.0","106,487.0","127,089.0","137,158.0","141,453.0","140,606.0","133,578.0","143,148.0","165,375.0","186,693.0","210,976.0","223,645.0","237,140.0","239,176.0","248,763.0","254,671.0","193,523.0","181,322.0","231,802.0","291,990.0","395,901.0","454,160.0","426,718.0","263,318.0","289,507.0"
"24","6","  Taxes from the rest of the world","W008RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","84.0","95.0","112.0","145.0","188.0","183.0","206.0","228.0","248.0","319.0","394.0","374.0","367.0","403.0","378.0","367.0","471.0","714.0","727.0","954.0","1,148.0","1,597.0","1,517.0","1,372.0","1,211.0","1,304.0","1,939.0","1,713.0","2,040.0","2,374.0","2,740.0","3,030.0","2,602.0","2,638.0","2,740.0","3,142.0","3,916.0","5,155.0","5,096.0","5,680.0","5,918.0","7,336.0","7,654.0","7,582.0","8,954.0","9,981.0","12,129.0","13,987.0","14,197.0","14,973.0","12,346.0"
"25","7","Contributions for government social insurance","W782RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,892.0","3,778.0","4,347.0","5,340.0","6,618.0","5,564.0","4,616.0","4,890.0","5,482.0","6,652.0","6,945.0","7,129.0","8,100.0","9,117.0","10,017.0","11,444.0","11,421.0","13,874.0","16,478.0","17,057.0","19,174.0","21,735.0","22,464.0","23,500.0","31,441.0","34,979.0","38,839.0","44,340.0","46,593.0","51,504.0","59,578.0","76,038.0","85,750.0","89,897.0","101,973.0","113,853.0","132,125.0","153,678.0","167,203.0","196,869.0","210,086.0","227,208.0","258,806.0","282,795.0","304,890.0","324,638.0","363,156.0","386,937.0","412,075.0","432,232.0","457,088.0","479,646.0","510,667.0","535,503.0","557,866.0","590,255.0","627,753.0","664,578.0","709,393.0","736,944.0","755,203.0","782,836.0","831,694.0","877,378.0","926,413.0","964,167.0","995,626.0","971,997.0"
"26","8","Income receipts on assets","W058RC1","100.0","102.0","106.0","111.0","106.0","105.0","110.0","111.0","117.0","120.0","118.0","123.0","123.0","134.0","128.0","135.0","140.0","112.0","123.0","150.0","166.0","203.0","218.0","238.0","258.0","305.0","300.0","324.0","341.0","378.0","301.0","2,692.0","2,889.0","3,210.0","3,409.0","3,733.0","4,096.0","4,730.0","5,512.0","6,422.0","7,016.0","8,205.0","8,950.0","9,544.0","11,558.0","14,374.0","16,086.0","16,294.0","18,364.0","23,185.0","30,785.0","39,930.0","50,236.0","58,892.0","65,280.0","74,312.0","83,969.0","89,659.0","85,624.0","89,908.0","93,662.0","98,022.0","97,037.0","89,605.0","86,822.0","86,021.0","91,799.0","99,929.0","103,601.0","102,680.0","106,363.0","118,766.0","114,582.0","99,894.0","96,777.0","100,339.0","111,936.0","129,623.0","143,303.0","144,172.0","164,337.0"
"27","9","  Interest and miscellaneous receipts \1\","W059RC1","100.0","102.0","106.0","111.0","106.0","105.0","110.0","111.0","117.0","120.0","118.0","123.0","123.0","134.0","128.0","135.0","140.0","112.0","123.0","150.0","166.0","203.0","218.0","238.0","258.0","305.0","300.0","324.0","341.0","378.0","301.0","2,692.0","2,889.0","3,210.0","3,409.0","3,733.0","4,096.0","4,730.0","5,512.0","6,422.0","7,016.0","8,205.0","8,950.0","9,544.0","11,531.0","14,342.0","16,048.0","16,251.0","18,318.0","23,120.0","30,702.0","39,833.0","50,110.0","58,738.0","65,104.0","74,148.0","83,813.0","89,509.0","85,462.0","89,732.0","93,485.0","97,784.0","96,694.0","89,140.0","86,236.0","85,265.0","90,836.0","98,576.0","102,076.0","101,050.0","104,866.0","117,411.0","113,160.0","98,343.0","95,037.0","98,288.0","109,628.0","127,039.0","140,592.0","140,719.0","142,751.0"
"28","10","  Dividends","W065RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","27.0","32.0","38.0","43.0","46.0","65.0","83.0","97.0","126.0","154.0","176.0","164.0","156.0","150.0","162.0","176.0","177.0","238.0","343.0","465.0","586.0","756.0","963.0","1,353.0","1,525.0","1,630.0","1,497.0","1,355.0","1,422.0","1,551.0","1,740.0","2,051.0","2,308.0","2,584.0","2,711.0","3,453.0","21,586.0"
"29","11","Current transfer receipts","W060RC1","448.0","416.0","339.0","306.0","262.0","257.0","272.0","298.0","311.0","317.0","305.0","314.0","333.0","383.0","471.0","627.0","660.0","519.0","544.0","641.0","694.0","621.0","692.0","738.0","785.0","858.0","875.0","988.0","1,092.0","1,141.0","762.0","888.0","1,141.0","1,237.0","1,319.0","1,551.0","1,930.0","2,189.0","2,485.0","2,572.0","2,738.0","2,874.0","3,083.0","3,604.0","3,865.0","4,463.0","5,057.0","5,844.0","6,841.0","8,208.0","9,431.0","11,054.0","12,688.0","15,292.0","16,935.0","19,731.0","23,370.0","25,861.0","27,027.0","27,871.0","32,501.0","36,271.0","44,871.0","50,502.0","55,311.0","60,007.0","58,378.0","66,767.0","69,255.0","75,283.0","81,651.0","92,317.0","98,916.0","104,312.0","108,902.0","119,251.0","126,652.0","135,974.0","147,673.0","166,723.0","188,998.0"
"30","12","  From business (net)","W061RC1","113.0","115.0","111.0","108.0","98.0","97.0","114.0","139.0","149.0","153.0","154.0","164.0","177.0","203.0","255.0","379.0","391.0","272.0","325.0","365.0","376.0","307.0","343.0","369.0","375.0","421.0","445.0","500.0","525.0","567.0","442.0","546.0","665.0","694.0","789.0","949.0","1,352.0","1,411.0","1,503.0","1,533.0","1,610.0","1,593.0","1,628.0","1,818.0","2,030.0","2,395.0","2,564.0","2,826.0","3,375.0","4,352.0","5,103.0","6,102.0","6,737.0","8,226.0","8,805.0","10,563.0","12,945.0","13,902.0","13,833.0","13,025.0","16,008.0","17,919.0","22,300.0","24,507.0","26,742.0","29,115.0","25,730.0","31,836.0","31,056.0","35,420.0","37,589.0","43,567.0","45,995.0","47,932.0","48,751.0","52,534.0","55,241.0","59,592.0","65,373.0","78,847.0","96,783.0"
"31","13","  From persons","W062RC1","335.0","301.0","228.0","198.0","164.0","160.0","158.0","159.0","162.0","164.0","151.0","150.0","156.0","180.0","216.0","248.0","269.0","247.0","219.0","276.0","318.0","314.0","349.0","369.0","410.0","437.0","430.0","488.0","567.0","574.0","320.0","342.0","476.0","543.0","530.0","602.0","578.0","778.0","982.0","1,039.0","1,128.0","1,281.0","1,455.0","1,786.0","1,835.0","2,068.0","2,493.0","3,018.0","3,466.0","3,856.0","4,328.0","4,952.0","5,951.0","7,066.0","8,130.0","9,168.0","10,425.0","11,959.0","13,194.0","14,846.0","16,493.0","18,352.0","22,571.0","25,995.0","28,569.0","30,892.0","32,648.0","34,931.0","38,199.0","39,863.0","44,062.0","48,750.0","52,921.0","56,380.0","60,151.0","66,717.0","71,411.0","76,382.0","82,300.0","87,876.0","92,215.0"
"32","14","Current surplus of government enterprises \2\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","975.0","927.0","834.0","896.0","1,353.0","1,349.0","1,346.0","992.0","913.0","1,170.0","1,020.0","-32.0","-240.0","477.0","-367.0","-929.0","-3,241.0","-1,802.0","-2,687.0","-2,201.0","-2,882.0","-5,093.0","-5,576.0","-4,480.0","-3,180.0","-1,911.0","563.0","879.0","157.0","2,573.0","4,929.0","1,567.0","5,673.0","8,232.0","8,681.0","9,600.0","13,130.0","14,354.0","14,104.0","13,294.0","14,096.0","9,144.0","4,047.0","6,345.0","6,970.0","1,243.0","-3,491.0","-4,215.0","-6,552.0","-6,944.0","-8,074.0"
"33","15","    Current expenditures","W022RC1","7,988.0","8,391.0","9,796.0","8,847.0","9,152.0","10,658.0","11,213.0","12,802.0","12,020.0","13,236.0","14,304.0","14,980.0","19,626.0","38,421.0","60,240.0","74,720.0","78,665.0","53,872.0","48,650.0","51,876.0","57,730.0","59,216.0","69,679.0","79,736.0","85,516.0","84,392.0","87,471.0","92,240.0","102,359.0","110,737.0","115,942.0","122,970.0","132,198.0","142,912.0","151,182.0","159,312.0","170,554.0","192,816.0","220,010.0","247,028.0","267,009.0","295,233.0","325,828.0","356,304.0","386,504.0","436,927.0","510,248.0","552,221.0","600,319.0","656,299.0","729,884.0","846,494.0","966,888.0","1,076,754.0","1,171,655.0","1,260,991.0","1,370,882.0","1,463,961.0","1,540,545.0","1,623,624.0","1,740,990.0","1,879,525.0","1,983,951.0","2,148,999.0","2,229,402.0","2,304,045.0","2,412,496.0","2,505,688.0","2,581,055.0","2,649,277.0","2,761,862.0","2,905,970.0","3,093,607.0","3,274,722.0","3,458,603.0","3,653,549.0","3,916,353.0","4,147,899.0","4,423,970.0","4,740,290.0","4,989,333.0"
"34","16","Consumption expenditures","A955RC1","6,524.0","6,824.0","6,898.0","6,551.0","6,733.0","7,848.0","8,113.0","8,960.0","9,010.0","9,624.0","10,299.0","10,658.0","15,730.0","34,176.0","55,751.0","68,685.0","68,875.0","36,097.0","31,741.0","33,485.0","36,939.0","36,915.0","50,430.0","61,275.0","66,523.0","63,619.0","65,466.0","68,461.0","75,282.0","79,476.0","80,693.0","83,281.0","88,170.0","96,798.0","102,711.0","108,587.0","115,891.0","131,844.0","149,531.0","165,674.0","178,164.0","190,120.0","204,656.0","220,778.0","234,811.0","261,660.0","294,615.0","316,605.0","346,557.0","376,487.0","412,258.0","465,868.0","520,593.0","568,133.0","610,529.0","657,568.0","720,088.0","776,109.0","815,112.0","852,755.0","902,928.0","965,962.0","1,015,791.0","1,050,356.0","1,075,369.0","1,108,875.0","1,141,423.0","1,176,732.0","1,222,071.0","1,263,197.0","1,343,910.0","1,426,625.0","1,524,386.0","1,639,872.0","1,756,763.0","1,860,448.0","1,977,867.0","2,093,341.0","2,214,929.0","2,386,877.0","2,416,939.0"
"35","17","Current transfer payments","A084RC1","825.0","905.0","1,961.0","1,295.0","1,291.0","1,357.0","1,604.0","2,719.0","1,660.0","2,171.0","2,264.0","2,426.0","2,292.0","2,412.0","2,049.0","2,586.0","5,494.0","12,382.0","12,397.0","13,733.0","15,991.0","17,006.0","13,701.0","13,169.0","13,749.0","15,632.0","16,922.0","17,602.0","20,082.0","24,204.0","26,918.0","28,137.0","31,862.0","32,763.0","34,268.0","35,063.0","37,955.0","41,954.0","50,306.0","58,409.0","64,104.0","77,276.0","92,235.0","102,950.0","115,177.0","135,873.0","171,256.0","184,304.0","195,948.0","210,909.0","235,982.0","281,714.0","318,144.0","354,690.0","382,501.0","395,294.0","420,433.0","446,614.0","464,379.0","493,637.0","538,110.0","592,407.0","628,878.0","756,255.0","804,604.0","839,913.0","882,391.0","929,150.0","954,556.0","978,097.0","1,014,864.0","1,071,496.0","1,168,957.0","1,280,904.0","1,354,768.0","1,440,141.0","1,534,851.0","1,631,005.0","1,743,328.0","1,903,994.0","2,133,692.0"
"36","18","  Government social benefits","W063RC1","791.0","869.0","1,921.0","1,274.0","1,274.0","1,347.0","1,584.0","2,687.0","1,600.0","2,142.0","2,237.0","2,394.0","2,306.0","2,322.0","2,102.0","2,674.0","5,142.0","10,122.0","10,428.0","9,881.0","10,857.0","13,417.0","10,538.0","10,994.0","11,674.0","13,747.0","14,754.0","15,592.0","18,132.0","22,226.0","22,917.0","24,674.0","28,365.0","29,142.0","30,665.0","31,663.0","34,366.0","37,968.0","46,307.0","53,863.0","59,558.0","72,458.0","86,223.0","95,773.0","109,786.0","129,878.0","165,121.0","179,770.0","191,701.0","205,917.0","230,136.0","274,384.0","311,482.0","346,549.0","373,570.0","384,078.0","406,666.0","432,416.0","451,664.0","480,443.0","524,563.0","578,878.0","654,503.0","735,704.0","782,912.0","819,966.0","867,012.0","908,772.0","937,600.0","960,130.0","996,140.0","1,049,246.0","1,150,775.0","1,257,606.0","1,326,136.0","1,409,223.0","1,493,964.0","1,596,057.0","1,701,117.0","1,859,187.0","2,087,720.0"
