"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114"
"21","2","Private industries","A132RC1","4,165,593.0","4,189,271.0","4,196,277.0","4,162,698.0","4,143,116.0","4,132,186.0","4,117,066.0","4,103,002.0","4,091,920.0","4,082,570.0","4,086,226.0","4,093,890.0","4,093,210.0","4,098,292.0","4,114,440.0","4,121,177.0","4,128,476.0","4,148,204.0","4,122,888.0","4,128,305.0","4,134,252.0","4,129,078.0","4,133,426.0","4,138,576.0","4,132,458.0","4,142,896.0","4,163,074.0","4,169,568.0","4,203,394.0","4,215,171.0","4,220,678.0","4,244,853.0","4,266,346.0","4,297,633.0","4,333,634.0","4,325,576.0","4,330,060.0","4,333,501.0","4,353,341.0","4,386,881.0","4,447,400.0","4,464,332.0","4,511,003.0","4,542,449.0","4,560,727.0","4,581,038.0","4,573,876.0","4,589,985.0","4,594,592.0","4,603,625.0","4,607,006.0","4,640,777.0","4,660,417.0","4,690,960.0","4,746,960.0","4,762,950.0","4,781,744.0","4,797,967.0","4,804,748.0","4,822,176.0","4,919,642.0","4,970,837.0","4,989,158.0","5,005,695.0","4,973,967.0","4,991,184.0","5,015,615.0","5,027,227.0","5,060,519.0","5,102,865.0","5,143,002.0","5,205,194.0","5,240,947.0","5,270,029.0","5,300,019.0","5,283,922.0","5,282,426.0","5,297,677.0","5,301,155.0","5,306,157.0","5,350,749.0","5,370,403.0","5,411,358.0","5,422,568.0","5,408,015.0","5,402,839.0","5,412,214.0","5,399,041.0","5,405,784.0","5,403,605.0","5,412,592.0","5,431,089.0","5,413,821.0","5,412,881.0","5,395,084.0","5,357,981.0","5,193,183.0","5,129,415.0","5,085,505.0","5,122,961.0","5,131,986.0","5,131,438.0","5,057,431.0","5,073,703.0","5,061,808.0","5,070,682.0","5,081,587.0","5,081,010.0","5,107,949.0","5,114,740.0","5,126,480.0"
"22","3","  Goods-producing industries","N231RC1","1,070,414.0","1,073,465.0","1,073,500.0","1,064,092.0","1,053,393.0","1,044,289.0","1,042,511.0","1,028,723.0","1,023,682.0","1,018,454.0","1,016,376.0","1,016,901.0","1,013,102.0","1,015,788.0","1,019,853.0","1,016,393.0","1,017,478.0","1,019,380.0","1,010,944.0","1,007,492.0","1,006,935.0","1,002,422.0","1,002,175.0","1,006,367.0","1,001,922.0","1,001,211.0","1,005,200.0","998,502.0","1,005,139.0","1,006,713.0","997,064.0","1,003,580.0","1,014,297.0","1,027,607.0","1,039,417.0","1,032,093.0","1,022,202.0","1,018,091.0","1,022,740.0","1,033,978.0","1,051,983.0","1,055,957.0","1,067,711.0","1,076,834.0","1,078,927.0","1,075,124.0","1,072,664.0","1,076,609.0","1,080,709.0","1,082,755.0","1,082,289.0","1,088,662.0","1,094,025.0","1,099,316.0","1,113,348.0","1,121,376.0","1,121,088.0","1,123,792.0","1,116,413.0","1,117,114.0","1,156,746.0","1,177,910.0","1,179,947.0","1,175,796.0","1,167,372.0","1,167,086.0","1,167,665.0","1,169,567.0","1,172,106.0","1,183,325.0","1,189,514.0","1,204,516.0","1,205,805.0","1,202,978.0","1,209,983.0","1,209,995.0","1,208,493.0","1,212,588.0","1,208,570.0","1,205,987.0","1,214,254.0","1,217,981.0","1,231,358.0","1,226,645.0","1,218,492.0","1,213,940.0","1,218,884.0","1,211,443.0","1,210,698.0","1,209,749.0","1,208,404.0","1,208,893.0","1,201,204.0","1,202,678.0","1,197,390.0","1,176,399.0","1,125,578.0","1,105,478.0","1,090,707.0","1,077,422.0","1,066,167.0","1,059,683.0","1,043,320.0","1,045,150.0","1,037,960.0","1,033,936.0","1,037,702.0","1,034,179.0","1,040,962.0","1,037,734.0","1,039,864.0"
"23","4","    Manufacturing","N552RC1","739,494.0","738,046.0","735,978.0","732,573.0","721,906.0","713,086.0","711,798.0","698,866.0","695,236.0","691,313.0","689,018.0","686,477.0","680,359.0","680,988.0","685,121.0","684,648.0","687,585.0","688,992.0","680,056.0","676,216.0","675,231.0","672,213.0","671,113.0","673,047.0","669,144.0","669,298.0","672,945.0","665,643.0","670,552.0","670,928.0","662,393.0","666,694.0","674,020.0","684,676.0","693,188.0","685,155.0","676,332.0","671,731.0","672,555.0","680,168.0","692,049.0","692,451.0","700,755.0","707,320.0","709,123.0","706,681.0","703,260.0","704,631.0","706,096.0","703,115.0","700,754.0","704,745.0","708,146.0","709,173.0","715,281.0","718,338.0","716,102.0","719,905.0","712,104.0","710,769.0","731,947.0","742,318.0","742,126.0","739,895.0","733,517.0","732,664.0","733,742.0","733,958.0","734,471.0","741,697.0","743,275.0","754,474.0","753,193.0","753,164.0","755,288.0","754,196.0","751,014.0","753,297.0","749,889.0","747,936.0","751,813.0","753,406.0","761,789.0","757,480.0","751,854.0","748,134.0","750,336.0","745,902.0","745,210.0","744,869.0","744,086.0","740,968.0","735,893.0","738,759.0","736,100.0","721,695.0","690,364.0","680,408.0","672,148.0","667,967.0","660,490.0","657,437.0","645,688.0","646,232.0","642,831.0","642,768.0","646,494.0","644,719.0","649,857.0","648,838.0","649,111.0"
"24","5","  Services-producing industries","N233RC1","3,095,179.0","3,115,806.0","3,122,777.0","3,098,606.0","3,089,724.0","3,087,897.0","3,074,555.0","3,074,280.0","3,068,238.0","3,064,116.0","3,069,851.0","3,076,988.0","3,080,108.0","3,082,504.0","3,094,587.0","3,104,785.0","3,110,998.0","3,128,824.0","3,111,944.0","3,120,813.0","3,127,317.0","3,126,656.0","3,131,250.0","3,132,209.0","3,130,536.0","3,141,685.0","3,157,873.0","3,171,065.0","3,198,254.0","3,208,458.0","3,223,614.0","3,241,272.0","3,252,049.0","3,270,026.0","3,294,217.0","3,293,483.0","3,307,858.0","3,315,411.0","3,330,601.0","3,352,902.0","3,395,417.0","3,408,375.0","3,443,292.0","3,465,615.0","3,481,800.0","3,505,914.0","3,501,212.0","3,513,375.0","3,513,882.0","3,520,870.0","3,524,716.0","3,552,115.0","3,566,392.0","3,591,644.0","3,633,612.0","3,641,575.0","3,660,656.0","3,674,175.0","3,688,335.0","3,705,062.0","3,762,895.0","3,792,928.0","3,809,211.0","3,829,899.0","3,806,595.0","3,824,098.0","3,847,950.0","3,857,660.0","3,888,413.0","3,919,540.0","3,953,489.0","4,000,678.0","4,035,141.0","4,067,051.0","4,090,036.0","4,073,927.0","4,073,933.0","4,085,089.0","4,092,584.0","4,100,170.0","4,136,494.0","4,152,422.0","4,180,001.0","4,195,923.0","4,189,523.0","4,188,899.0","4,193,330.0","4,187,597.0","4,195,087.0","4,193,856.0","4,204,189.0","4,222,196.0","4,212,617.0","4,210,203.0","4,197,694.0","4,181,582.0","4,067,605.0","4,023,938.0","3,994,799.0","4,045,539.0","4,065,820.0","4,071,755.0","4,014,111.0","4,028,552.0","4,023,848.0","4,036,747.0","4,043,884.0","4,046,832.0","4,066,987.0","4,077,006.0","4,086,616.0"
"25","6","    Trade, transportation, and utilities","N234RC1","852,535.0","852,914.0","854,075.0","849,627.0","848,493.0","848,692.0","844,350.0","842,771.0","841,634.0","838,456.0","840,045.0","839,783.0","840,754.0","840,857.0","845,812.0","844,684.0","848,008.0","850,963.0","848,603.0","848,330.0","848,604.0","844,958.0","847,317.0","849,530.0","849,749.0","853,669.0","858,208.0","856,320.0","857,926.0","857,344.0","858,240.0","864,991.0","868,773.0","877,471.0","880,756.0","875,945.0","878,345.0","879,773.0","881,660.0","890,632.0","900,495.0","904,613.0","913,162.0","917,774.0","922,740.0","926,438.0","922,292.0","926,175.0","927,663.0","929,686.0","928,712.0","936,120.0","938,000.0","942,710.0","953,390.0","952,807.0","953,140.0","955,098.0","956,545.0","961,498.0","974,949.0","984,923.0","987,735.0","993,069.0","985,426.0","989,634.0","996,302.0","996,496.0","1,000,521.0","1,007,892.0","1,013,236.0","1,021,689.0","1,025,916.0","1,031,951.0","1,040,728.0","1,042,631.0","1,045,508.0","1,049,710.0","1,041,949.0","1,039,733.0","1,047,037.0","1,051,882.0","1,057,091.0","1,061,761.0","1,058,272.0","1,054,026.0","1,053,688.0","1,051,500.0","1,049,889.0","1,050,598.0","1,048,166.0","1,049,862.0","1,045,510.0","1,043,861.0","1,040,779.0","1,033,426.0","1,011,471.0","1,002,802.0","992,710.0","989,720.0","991,017.0","987,145.0","973,612.0","978,679.0","978,659.0","978,077.0","977,399.0","976,723.0","981,884.0","985,027.0","987,713.0"
"26","7","    Other services-producing industries \1\","N235RC1","2,242,644.0","2,262,892.0","2,268,703.0","2,248,979.0","2,241,231.0","2,239,205.0","2,230,206.0","2,231,509.0","2,226,605.0","2,225,660.0","2,229,805.0","2,237,205.0","2,239,354.0","2,241,648.0","2,248,775.0","2,260,101.0","2,262,990.0","2,277,861.0","2,263,341.0","2,272,483.0","2,278,713.0","2,281,698.0","2,283,934.0","2,282,679.0","2,280,787.0","2,288,016.0","2,299,665.0","2,314,745.0","2,340,328.0","2,351,113.0","2,365,374.0","2,376,281.0","2,383,276.0","2,392,554.0","2,413,461.0","2,417,538.0","2,429,512.0","2,435,637.0","2,448,941.0","2,462,270.0","2,494,922.0","2,503,762.0","2,530,130.0","2,547,841.0","2,559,060.0","2,579,476.0","2,578,920.0","2,587,200.0","2,586,219.0","2,591,184.0","2,596,004.0","2,615,996.0","2,628,392.0","2,648,934.0","2,680,222.0","2,688,768.0","2,707,515.0","2,719,078.0","2,731,791.0","2,743,564.0","2,787,946.0","2,808,005.0","2,821,476.0","2,836,830.0","2,821,169.0","2,834,465.0","2,851,648.0","2,861,165.0","2,887,892.0","2,911,648.0","2,940,253.0","2,978,989.0","3,009,226.0","3,035,100.0","3,049,308.0","3,031,296.0","3,028,425.0","3,035,379.0","3,050,635.0","3,060,437.0","3,089,457.0","3,100,540.0","3,122,910.0","3,134,162.0","3,131,251.0","3,134,873.0","3,139,642.0","3,136,097.0","3,145,197.0","3,143,258.0","3,156,023.0","3,172,334.0","3,167,107.0","3,166,342.0","3,156,915.0","3,148,156.0","3,056,133.0","3,021,136.0","3,002,089.0","3,055,819.0","3,074,803.0","3,084,610.0","3,040,499.0","3,049,873.0","3,045,189.0","3,058,670.0","3,066,485.0","3,070,108.0","3,085,104.0","3,091,979.0","3,098,903.0"
"27","8","Government","B202RC1","799,788.0","805,224.0","808,200.0","811,476.0","814,644.0","820,152.0","824,820.0","828,504.0","831,972.0","835,500.0","839,748.0","842,580.0","858,756.0","861,840.0","864,132.0","866,628.0","870,756.0","873,732.0","875,448.0","878,844.0","879,144.0","880,680.0","882,840.0","884,556.0","899,012.0","904,139.0","907,111.0","908,875.0","913,266.0","919,317.0","916,788.0","915,372.0","914,700.0","918,276.0","919,896.0","923,148.0","935,995.0","939,912.0","945,376.0","953,402.0","950,885.0","952,373.0","953,869.0","956,004.0","957,648.0","960,264.0","963,372.0","964,596.0","980,880.0","982,884.0","983,556.0","985,584.0","987,720.0","989,532.0","992,796.0","993,888.0","996,684.0","997,788.0","1,001,652.0","1,004,904.0","1,015,512.0","1,019,052.0","1,022,484.0","1,025,484.0","1,028,172.0","1,031,292.0","1,036,032.0","1,040,076.0","1,046,832.0","1,049,448.0","1,052,388.0","1,055,040.0","1,069,692.0","1,073,268.0","1,076,748.0","1,080,516.0","1,083,876.0","1,088,112.0","1,088,184.0","1,093,236.0","1,098,144.0","1,101,864.0","1,105,656.0","1,109,916.0","1,121,412.0","1,125,528.0","1,128,948.0","1,132,068.0","1,136,136.0","1,141,068.0","1,145,244.0","1,148,940.0","1,151,304.0","1,153,416.0","1,155,144.0","1,156,032.0","1,169,004.0","1,171,536.0","1,174,788.0","1,180,596.0","1,185,048.0","1,187,412.0","1,184,568.0","1,185,828.0","1,184,124.0","1,186,860.0","1,188,060.0","1,190,772.0","1,197,876.0","1,198,752.0","1,200,600.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
