"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","Gross domestic product","A191RX1","1,772,204.0","1,769,486.0","1,768,032.0","1,794,842.0","1,823,365.0","1,856,930.0","1,866,913.0","1,869,779.0","1,843,814.0","1,837,080.0","1,857,689.0","1,840,250.0","1,914,632.0","1,972,901.0","2,050,100.0","2,086,170.0","2,112,534.0","2,147,579.0","2,190,372.0","2,194,083.0","2,216,159.0","2,218,603.0","2,233,467.0","2,307,245.0","2,350,414.0","2,368,201.0","2,353,802.0","2,316,544.0","2,305,491.0","2,308,383.0","2,334,410.0","2,381,157.0","2,449,748.0","2,490,274.0","2,523,548.0","2,537,637.0","2,526,058.0","2,545,925.0","2,542,725.0","2,584,276.0","2,600,158.0","2,593,885.0","2,618,873.0","2,591,321.0","2,521,170.0","2,536,645.0","2,596,083.0","2,656,615.0","2,710,349.0","2,778,801.0","2,775,488.0","2,785,204.0","2,847,699.0","2,834,390.0","2,839,022.0","2,802,616.0","2,819,264.0","2,872,005.0","2,918,419.0","2,977,830.0","3,031,241.0","3,064,709.0","3,093,047.0","3,100,563.0","3,141,087.0","3,180,447.0","3,240,332.0","3,264,967.0","3,338,246.0","3,376,587.0","3,422,469.0","3,431,957.0","3,516,251.0","3,563,960.0","3,636,285.0","3,724,014.0","3,815,423.0","3,828,124.0","3,853,301.0","3,884,520.0","3,918,740.0","3,919,556.0","3,950,826.0","3,980,970.0","4,063,013.0","4,131,998.0","4,160,267.0","4,178,293.0","4,244,100.0","4,256,460.0","4,283,378.0","4,263,261.0","4,256,573.0","4,264,289.0","4,302,259.0","4,256,637.0","4,374,016.0","4,398,829.0","4,433,943.0","4,446,264.0","4,525,769.0","4,633,101.0","4,677,503.0","4,754,546.0","4,876,166.0","4,932,571.0","4,906,252.0","4,953,050.0","4,909,617.0","4,922,188.0","4,873,520.0","4,854,340.0","4,795,295.0","4,831,942.0","4,913,328.0","4,977,511.0","5,090,663.0","5,128,947.0","5,154,072.0","5,191,499.0","5,251,762.0","5,356,131.0","5,451,921.0","5,450,793.0","5,469,405.0","5,684,569.0","5,740,300.0","5,816,222.0","5,825,949.0","5,831,418.0","5,873,335.0","5,889,495.0","5,908,467.0","5,787,373.0","5,776,617.0","5,883,460.0","6,005,717.0","5,957,795.0","6,030,184.0","5,955,062.0","5,857,333.0","5,889,074.0","5,866,370.0","5,871,001.0","5,944,020.0","6,077,619.0","6,197,468.0","6,325,574.0","6,448,264.0","6,559,594.0","6,623,343.0","6,677,264.0","6,740,275.0","6,797,344.0","6,903,523.0","6,955,918.0","7,022,757.0","7,050,969.0","7,118,950.0","7,153,359.0","7,193,019.0","7,269,510.0","7,332,558.0","7,458,022.0","7,496,600.0","7,592,881.0","7,632,082.0","7,733,991.0","7,806,603.0","7,865,016.0","7,927,393.0","7,944,697.0","8,027,693.0","8,059,598.0","8,059,476.0","7,988,864.0","7,950,164.0","8,003,822.0","8,037,538.0","8,069,046.0","8,157,616.0","8,244,294.0","8,329,361.0","8,417,016.0","8,432,485.0","8,486,435.0","8,531,108.0","8,643,769.0","8,727,919.0","8,847,303.0","8,904,289.0","9,003,180.0","9,025,267.0","9,044,668.0","9,120,684.0","9,184,275.0","9,247,188.0","9,407,052.0","9,488,879.0","9,592,458.0","9,666,235.0","9,809,551.0","9,932,672.0","10,008,874.0","10,103,425.0","10,194,277.0","10,328,787.0","10,507,575.0","10,601,179.0","10,684,049.0","10,819,914.0","11,014,254.0","11,043,044.0","11,258,454.0","11,267,867.0","11,334,544.0","11,297,171.0","11,371,251.0","11,340,075.0","11,380,128.0","11,477,868.0","11,538,770.0","11,596,430.0","11,598,824.0","11,645,819.0","11,738,706.0","11,935,461.0","12,042,817.0","12,127,623.0","12,213,818.0","12,303,533.0","12,410,282.0","12,534,113.0","12,587,535.0","12,683,153.0","12,748,699.0","12,915,938.0","12,962,462.0","12,965,916.0","13,060,679.0","13,099,901.0","13,203,977.0","13,321,109.0","13,391,249.0","13,366,865.0","13,415,266.0","13,324,600.0","13,141,920.0","12,925,410.0","12,901,504.0","12,973,045.0","13,149,541.0"
"21","2","Plus: Income receipts from the rest of the world","A645RX1","12,661.0","13,102.0","12,922.0","14,182.0","14,977.0","15,636.0","16,466.0","15,853.0","16,006.0","15,488.0","15,247.0","14,205.0","15,084.0","15,863.0","18,188.0","18,177.0","17,937.0","20,378.0","20,906.0","21,823.0","20,556.0","21,093.0","20,842.0","20,700.0","20,277.0","21,195.0","19,613.0","20,042.0","20,996.0","20,870.0","20,963.0","23,006.0","23,540.0","23,772.0","24,090.0","24,464.0","26,625.0","26,195.0","27,032.0","24,479.0","27,794.0","29,391.0","28,555.0","24,004.0","24,688.0","24,434.0","24,118.0","24,237.0","24,441.0","24,790.0","26,662.0","28,413.0","28,692.0","28,824.0","29,526.0","30,365.0","31,805.0","30,623.0","31,469.0","32,253.0","31,547.0","33,940.0","34,246.0","38,098.0","36,882.0","36,405.0","37,368.0","38,619.0","41,262.0","40,354.0","41,223.0","39,833.0","43,657.0","44,929.0","43,021.0","40,699.0","41,798.0","42,134.0","42,507.0","44,154.0","43,790.0","42,963.0","45,704.0","45,615.0","47,374.0","49,159.0","50,565.0","50,547.0","52,793.0","54,184.0","55,812.0","56,892.0","58,046.0","58,399.0","57,324.0","53,372.0","56,738.0","59,175.0","57,944.0","60,779.0","61,846.0","63,488.0","66,696.0","68,785.0","78,625.0","85,301.0","94,219.0","95,597.0","106,600.0","106,935.0","104,415.0","96,615.0","87,787.0","85,392.0","88,446.0","94,588.0","95,875.0","97,290.0","96,652.0","97,041.0","103,056.0","104,285.0","105,742.0","103,509.0","114,336.0","111,708.0","119,070.0","135,411.0","142,546.0","155,394.0","174,168.0","181,823.0","190,120.0","177,126.0","162,940.0","165,918.0","176,564.0","181,908.0","190,013.0","187,677.0","188,341.0","203,152.0","189,759.0","179,519.0","172,375.0","179,763.0","189,779.0","196,287.0","203,292.0","216,347.0","221,886.0","211,381.0","192,647.0","194,303.0","185,326.0","189,576.0","193,192.0","185,520.0","179,168.0","174,876.0","180,966.0","193,731.0","199,163.0","209,256.0","226,470.0","225,653.0","233,910.0","246,140.0","255,674.0","264,977.0","261,529.0","262,565.0","263,173.0","261,619.0","258,620.0","279,324.0","255,820.0","228,822.0","218,562.0","211,213.0","206,587.0","208,182.0","196,277.0","192,947.0","197,099.0","199,077.0","202,086.0","202,336.0","210,030.0","222,267.0","239,244.0","256,042.0","273,814.0","285,052.0","281,524.0","288,318.0","291,666.0","289,207.0","295,882.0","311,469.0","321,733.0","336,253.0","339,078.0","331,925.0","342,345.0","345,738.0","331,731.0","330,508.0","343,187.0","359,891.0","380,878.0","400,022.0","413,023.0","436,386.0","426,492.0","448,636.0","400,937.0","372,701.0","341,235.0","320,278.0","328,354.0","341,737.0","358,037.0","344,088.0","356,194.0","367,720.0","378,536.0","408,486.0","439,575.0","451,987.0","471,597.0","497,297.0","543,697.0","555,484.0","579,374.0","613,594.0","644,646.0","694,741.0","714,026.0","737,767.0","750,911.0","805,564.0","844,047.0","846,887.0","790,611.0","767,980.0","746,039.0","652,681.0","530,874.0","522,465.0","538,194.0","558,818.0"
"22","3","Less: Income payments to the rest of the world","A655RX1","3,830.0","3,727.0","3,601.0","4,235.0","3,979.0","4,000.0","4,721.0","4,152.0","4,814.0","4,673.0","4,817.0","4,864.0","5,075.0","5,206.0","5,346.0","5,418.0","5,792.0","5,830.0","5,726.0","5,690.0","5,474.0","5,881.0","5,941.0","6,166.0","6,064.0","6,024.0","6,225.0","6,544.0","6,319.0","6,286.0","6,197.0","6,213.0","6,398.0","6,938.0","7,074.0","7,044.0","7,118.0","6,920.0","7,249.0","7,280.0","7,301.0","7,249.0","7,423.0","7,468.0","7,639.0","7,119.0","7,466.0","7,819.0","8,162.0","8,539.0","9,036.0","9,584.0","10,628.0","10,317.0","10,174.0","9,824.0","9,982.0","10,029.0","10,400.0","10,697.0","10,192.0","10,372.0","10,449.0","10,564.0","10,720.0","11,268.0","11,758.0","12,148.0","12,344.0","12,622.0","12,634.0","13,341.0","13,432.0","13,695.0","14,061.0","14,464.0","14,655.0","14,940.0","15,941.0","16,345.0","16,352.0","16,334.0","16,206.0","16,997.0","18,004.0","19,168.0","19,639.0","19,862.0","21,944.0","24,450.0","27,387.0","28,439.0","28,794.0","28,140.0","27,547.0","26,246.0","24,451.0","25,037.0","27,163.0","28,244.0","27,888.0","30,065.0","30,383.0","32,672.0","36,733.0","40,500.0","41,767.0","42,737.0","44,294.0","47,955.0","50,798.0","50,655.0","49,505.0","46,874.0","46,690.0","44,545.0","47,361.0","46,808.0","45,663.0","44,798.0","43,162.0","45,664.0","47,744.0","52,175.0","54,665.0","62,280.0","64,962.0","73,019.0","78,554.0","83,471.0","87,927.0","96,168.0","102,819.0","96,572.0","87,198.0","104,473.0","110,917.0","120,014.0","124,184.0","113,697.0","118,290.0","124,391.0","123,101.0","115,447.0","109,105.0","112,326.0","120,999.0","124,890.0","137,336.0","150,011.0","156,220.0","153,125.0","146,634.0","145,157.0","145,032.0","144,559.0","153,805.0","157,707.0","147,844.0","154,069.0","157,307.0","163,720.0","169,984.0","177,188.0","186,134.0","188,880.0","200,832.0","209,697.0","219,894.0","230,657.0","224,322.0","216,834.0","220,284.0","217,391.0","221,425.0","210,576.0","204,028.0","192,239.0","186,505.0","168,782.0","164,751.0","166,990.0","159,414.0","154,900.0","149,377.0","160,217.0","155,620.0","175,783.0","174,585.0","192,052.0","212,099.0","229,645.0","235,423.0","243,460.0","257,430.0","250,293.0","246,094.0","254,309.0","265,035.0","274,572.0","295,101.0","300,323.0","312,441.0","312,904.0","312,809.0","319,223.0","320,728.0","317,436.0","316,787.0","327,702.0","352,313.0","359,634.0","377,847.0","397,462.0","392,358.0","387,074.0","355,186.0","317,798.0","311,811.0","221,205.0","272,364.0","305,762.0","306,176.0","273,110.0","300,430.0","297,266.0","308,535.0","311,083.0","323,418.0","362,835.0","371,593.0","423,976.0","435,252.0","458,531.0","473,043.0","536,729.0","566,350.0","621,896.0","654,885.0","668,942.0","690,353.0","733,713.0","713,656.0","674,966.0","632,333.0","649,453.0","600,318.0","554,175.0","438,496.0","437,475.0","427,458.0","462,631.0"
