"","Table 3#15#6# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 19, 2009  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2010 9:53:59 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"19","1","      Government","A822RX1","1,888,904.0","1,907,927.0","1,943,773.0","1,984,990.0","2,056,124.0","2,097,794.0","2,178,317.0","2,279,633.0","2,330,451.0","2,362,009.0","2,369,882.0","2,402,085.0","2,443,117.0","2,518,052.0"
"20","2","General public service","W575RX1","171,103.0","167,443.0","175,538.0","185,867.0","195,332.0","194,946.0","205,199.0","217,408.0","215,117.0","219,778.0","218,487.0","219,589.0","223,552.0","225,329.0"
"21","3","National defense","A824RX1","476,753.0","470,392.0","457,209.0","447,544.0","455,838.0","453,487.0","470,695.0","505,294.0","549,244.0","580,417.0","589,047.0","598,403.0","611,468.0","659,375.0"
"22","4","Public order and safety","W579RX1","203,966.0","213,038.0","220,258.0","229,413.0","238,927.0","245,173.0","254,730.0","263,451.0","262,241.0","263,444.0","266,266.0","271,525.0","280,916.0","293,184.0"
"23","5","Economic affairs","W584RX1","298,200.0","299,645.0","306,942.0","310,220.0","325,650.0","337,099.0","346,985.0","360,528.0","360,988.0","353,989.0","343,007.0","342,452.0","342,195.0","343,427.0"
"24","6","  Transportation","W589RX1","184,807.0","186,415.0","191,930.0","197,245.0","205,864.0","211,897.0","222,565.0","230,574.0","233,768.0","227,637.0","218,700.0","215,658.0","210,107.0","211,300.0"
"25","7","  Space","W595RX1","19,451.0","20,491.0","20,512.0","19,347.0","18,578.0","18,417.0","18,749.0","18,088.0","18,244.0","18,905.0","18,350.0","17,915.0","19,694.0","21,060.0"
"26","8","  Other economic affairs","W596RX1","93,392.0","92,145.0","94,001.0","93,428.0","101,049.0","106,610.0","105,663.0","111,885.0","109,118.0","107,497.0","105,957.0","108,918.0","112,854.0","111,587.0"
"27","9","Housing and community services","W597RX1","39,538.0","41,789.0","43,085.0","43,493.0","45,010.0","40,875.0","45,248.0","48,826.0","49,763.0","48,379.0","48,389.0","53,670.0","54,616.0","52,645.0"
"28","10","Health","W598RX1","97,687.0","97,488.0","95,346.0","95,411.0","98,028.0","99,908.0","101,353.0","112,258.0","120,281.0","119,608.0","125,173.0","122,498.0","124,533.0","130,016.0"
"29","11","Recreation and culture","W599RX1","26,745.0","27,951.0","29,537.0","30,533.0","30,965.0","33,143.0","34,891.0","36,654.0","35,265.0","34,602.0","34,511.0","33,613.0","35,206.0","35,589.0"
"30","12","Education","W600RX1","513,048.0","528,261.0","551,076.0","572,965.0","594,205.0","617,828.0","639,272.0","648,433.0","651,956.0","659,170.0","660,042.0","669,480.0","686,752.0","694,532.0"
"31","13","Income security","W605RX1","61,948.0","62,254.0","65,272.0","70,013.0","72,743.0","75,634.0","80,380.0","87,279.0","86,039.0","82,766.0","84,961.0","90,918.0","84,081.0","85,139.0"
"32","14","      Federal","A823RX1","704,137.0","695,980.0","689,135.0","681,396.0","694,644.0","698,070.0","726,459.0","779,491.0","831,073.0","864,998.0","876,300.0","894,939.0","906,393.0","975,869.0"
"33","15","General public service","W611RX1","38,224.0","32,542.0","35,756.0","33,823.0","34,968.0","31,986.0","37,806.0","38,288.0","38,866.0","45,377.0","45,620.0","46,941.0","47,415.0","48,441.0"
"34","16","National defense","A824RX1","476,753.0","470,392.0","457,209.0","447,544.0","455,838.0","453,487.0","470,695.0","505,294.0","549,244.0","580,417.0","589,047.0","598,403.0","611,468.0","659,375.0"
"35","17","Public order and safety","W615RX1","23,784.0","26,069.0","26,654.0","27,735.0","29,515.0","32,093.0","33,728.0","36,423.0","38,084.0","39,633.0","40,390.0","42,047.0","44,204.0","52,495.0"
"36","18","Economic affairs","W620RX1","92,328.0","93,152.0","93,995.0","92,928.0","96,411.0","99,586.0","97,851.0","106,392.0","106,484.0","104,510.0","102,864.0","104,873.0","106,295.0","111,783.0"
"37","19","  Transportation","W625RX1","22,212.0","22,785.0","22,756.0","23,833.0","23,282.0","23,097.0","24,518.0","29,463.0","32,425.0","30,122.0","30,137.0","30,766.0","29,589.0","32,480.0"
"38","20","  Space","W631RX1","19,451.0","20,491.0","20,512.0","19,347.0","18,578.0","18,417.0","18,749.0","18,088.0","18,244.0","18,905.0","18,350.0","17,915.0","19,694.0","21,060.0"
"39","21","  Other economic affairs","W632RX1","50,550.0","49,700.0","50,556.0","49,655.0","54,504.0","58,047.0","54,532.0","58,853.0","55,827.0","55,482.0","54,377.0","56,183.0","57,069.0","58,307.0"
"40","22","Housing and community services","W633RX1","720.0","826.0","1,015.0","1,679.0","1,717.0","-126.0","925.0","1,209.0","1,387.0","844.0","1,496.0","1,080.0","1,391.0","1,902.0"
"41","23","Health","W634RX1","53,666.0","53,965.0","54,869.0","56,251.0","55,340.0","59,030.0","62,720.0","65,897.0","70,758.0","68,212.0","67,075.0","66,441.0","67,936.0","74,046.0"
"42","24","Recreation and culture","W635RX1","3,649.0","3,697.0","4,103.0","4,270.0","3,781.0","4,199.0","4,191.0","4,593.0","4,617.0","4,589.0","4,529.0","4,257.0","4,174.0","4,451.0"
"43","25","Education","W636RX1","5,425.0","5,644.0","5,605.0","5,995.0","6,473.0","6,775.0","7,564.0","8,025.0","7,872.0","7,900.0","7,769.0","6,633.0","6,936.0","6,952.0"
"44","26","Income security","W640RX1","10,175.0","9,762.0","10,065.0","11,004.0","10,386.0","10,714.0","10,801.0","13,130.0","13,667.0","13,516.0","17,510.0","24,290.0","16,482.0","16,290.0"
"45","27","      State and local","A829RX1","1,183,618.0","1,211,140.0","1,254,306.0","1,303,762.0","1,361,832.0","1,400,145.0","1,452,302.0","1,500,641.0","1,499,670.0","1,497,074.0","1,493,582.0","1,507,180.0","1,536,688.0","1,543,693.0"
"46","28","General public service","W646RX1","133,448.0","135,106.0","140,092.0","152,179.0","160,485.0","162,981.0","167,556.0","179,267.0","176,386.0","174,409.0","172,867.0","172,655.0","176,137.0","176,919.0"
