"","Table 5#8#5A# Gross Government Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"20","2","        Federal","A787RC1","189.0","260.0","337.0","382.0","601.0","891.0","1,174.0","1,230.0","1,228.0","1,224.0","1,122.0","1,616.0","8,560.0","27,013.0","38,207.0","35,948.0","23,309.0","1,911.0","1,756.0","2,999.0","4,354.0","3,937.0","10,657.0","14,988.0","16,081.0","13,318.0","10,941.0","11,647.0","11,857.0","12,949.0","15,380.0","14,344.0","16,281.0","17,420.0","16,125.0","15,637.0","14,707.0","16,669.0","17,668.0","15,970.0","14,966.0","14,828.0","11,695.0","12,000.0","13,629.0","16,620.0","19,512.0","22,556.0","24,716.0","27,587.0","31,641.0","36,282.0","41,928.0","47,487.0","56,402.0","64,377.0","74,418.0","80,415.0","85,831.0","79,845.0","82,962.0","88,513.0","88,247.0","88,765.0","83,759.0","77,871.0","78,630.0","80,448.0","73,428.0"
"21","3","          National defense","A788RC1","36.0","60.0","84.0","67.0","89.0","113.0","103.0","259.0","324.0","318.0","325.0","803.0","7,199.0","26,005.0","37,362.0","35,436.0","22,667.0","1,515.0","949.0","1,956.0","2,928.0","2,358.0","9,136.0","13,430.0","14,703.0","12,108.0","10,079.0","10,487.0","10,483.0","11,323.0","13,707.0","12,349.0","13,856.0","14,522.0","12,641.0","11,466.0","10,045.0","11,763.0","13,507.0","12,153.0","11,347.0","11,073.0","7,504.0","7,468.0","8,735.0","11,066.0","13,031.0","15,297.0","16,737.0","17,801.0","21,397.0","24,290.0","28,935.0","34,746.0","41,873.0","48,692.0","57,506.0","62,920.0","66,414.0","61,277.0","62,697.0","65,915.0","63,411.0","61,556.0","55,492.0","52,962.0","51,822.0","51,649.0","45,329.0"
"22","4","          Nondefense","A798RC1","153.0","200.0","253.0","315.0","512.0","778.0","1,071.0","971.0","904.0","906.0","797.0","813.0","1,361.0","1,008.0","845.0","512.0","642.0","396.0","807.0","1,043.0","1,426.0","1,579.0","1,521.0","1,558.0","1,378.0","1,210.0","862.0","1,160.0","1,374.0","1,626.0","1,673.0","1,995.0","2,425.0","2,898.0","3,484.0","4,171.0","4,662.0","4,906.0","4,161.0","3,817.0","3,619.0","3,755.0","4,191.0","4,532.0","4,894.0","5,554.0","6,481.0","7,259.0","7,979.0","9,786.0","10,244.0","11,992.0","12,993.0","12,741.0","14,529.0","15,685.0","16,912.0","17,495.0","19,417.0","18,568.0","20,265.0","22,598.0","24,836.0","27,209.0","28,267.0","24,909.0","26,808.0","28,799.0","28,099.0"
"23","5","        State and local","A799RC1","2,643.0","2,908.0","2,649.0","1,765.0","1,325.0","1,770.0","1,602.0","2,901.0","2,564.0","2,968.0","3,369.0","2,757.0","2,235.0","1,533.0","868.0","700.0","806.0","1,580.0","2,841.0","4,019.0","5,342.0","5,862.0","6,967.0","7,322.0","7,910.0","9,194.0","10,035.0","11,262.0","12,520.0","13,534.0","13,922.0","13,923.0","15,048.0","15,870.0","17,515.0","18,989.0","20,848.0","23,118.0","25,309.0","27,667.0","28,302.0","28,749.0","30,064.0","30,641.0","33,217.0","39,637.0","43,589.0","43,839.0","42,787.0","49,480.0","56,834.0","63,971.0","64,957.0","64,827.0","66,449.0","74,975.0","84,384.0","92,811.0","98,449.0","106,304.0","114,707.0","127,236.0","132,053.0","134,340.0","135,671.0","143,045.0","153,968.0","163,778.0","178,935.0"
"24","6","Structures \2\","A760RC1","2,575.0","2,933.0","2,730.0","1,923.0","1,703.0","2,262.0","2,289.0","3,718.0","3,330.0","3,647.0","3,901.0","3,727.0","6,251.0","12,117.0","6,997.0","3,278.0","2,542.0","1,689.0","3,009.0","4,636.0","6,342.0","7,013.0","9,546.0","11,104.0","11,658.0","12,111.0","12,010.0","13,394.0","14,872.0","16,501.0","16,856.0","16,600.0","18,015.0","18,635.0","19,928.0","21,056.0","22,846.0","25,085.0","26,454.0","28,548.0","28,959.0","29,167.0","31,239.0","31,605.0","34,356.0","40,317.0","44,529.0","44,877.0","44,287.0","51,491.0","57,814.0","65,309.0","66,357.0","64,983.0","65,719.0","72,504.0","81,116.0","88,986.0","95,509.0","98,998.0","101,968.0","112,621.0","116,981.0","119,744.0","121,075.0","124,685.0","134,748.0","144,381.0","155,556.0"
"25","7","  Federal","A801RC1","162.0","218.0","283.0","343.0","527.0","638.0","830.0","955.0","962.0","891.0","770.0","1,171.0","4,177.0","10,717.0","6,226.0","2,675.0","1,834.0","284.0","482.0","1,047.0","1,455.0","1,628.0","3,127.0","4,377.0","4,380.0","3,632.0","2,736.0","3,027.0","3,414.0","4,019.0","4,017.0","3,898.0","4,229.0","4,111.0","3,959.0","3,824.0","3,893.0","4,092.0","3,412.0","3,328.0","3,380.0","3,378.0","4,286.0","4,499.0","5,219.0","5,577.0","6,393.0","6,729.0","7,376.0","8,645.0","8,774.0","10,251.0","10,936.0","10,738.0","11,497.0","11,968.0","13,563.0","14,779.0","16,688.0","14,205.0","13,241.0","14,082.0","13,801.0","15,512.0","16,588.0","15,975.0","17,492.0","17,543.0","16,026.0"
"26","8","    National defense","A808RC1","24.0","37.0","51.0","43.0","47.0","72.0","61.0","179.0","232.0","203.0","174.0","602.0","3,568.0","10,266.0","5,825.0","2,484.0","1,672.0","288.0","157.0","368.0","367.0","452.0","2,019.0","3,284.0","3,326.0","2,729.0","2,121.0","2,130.0","2,287.0","2,615.0","2,536.0","2,234.0","2,358.0","1,990.0","1,640.0","1,276.0","1,138.0","1,260.0","1,195.0","1,243.0","1,491.0","1,321.0","1,827.0","1,789.0","2,112.0","2,177.0","2,320.0","2,145.0","2,378.0","2,509.0","2,521.0","3,177.0","3,210.0","3,954.0","4,763.0","4,934.0","6,219.0","6,774.0","7,657.0","7,357.0","6,358.0","6,090.0","4,633.0","5,220.0","5,347.0","5,763.0","6,696.0","6,287.0","6,117.0"
"27","9","      New","A814RC1","24.0","37.0","51.0","43.0","47.0","72.0","57.0","103.0","146.0","124.0","187.0","664.0","3,596.0","10,297.0","5,889.0","2,520.0","1,718.0","607.0","362.0","478.0","418.0","484.0","2,021.0","3,286.0","3,328.0","2,742.0","2,265.0","2,130.0","2,218.0","2,429.0","2,478.0","2,139.0","2,170.0","1,799.0","1,614.0","1,292.0","1,291.0","1,336.0","1,286.0","1,389.0","1,585.0","1,311.0","1,593.0","1,466.0","1,780.0","2,000.0","2,606.0","2,419.0","2,404.0","2,516.0","2,523.0","3,212.0","3,212.0","3,955.0","4,765.0","4,937.0","6,223.0","6,778.0","7,661.0","7,365.0","6,377.0","6,102.0","4,639.0","5,225.0","5,351.0","5,767.0","6,700.0","6,291.0","6,121.0"
"28","10","        Buildings","A815RC1","0.0","0.0","0.0","0.0","2.0","12.0","11.0","68.0","100.0","46.0","27.0","168.0","1,506.0","3,818.0","2,599.0","1,443.0","839.0","366.0","111.0","237.0","216.0","245.0","997.0","1,717.0","1,813.0","1,530.0","744.0","495.0","653.0","787.0","817.0","636.0","671.0","444.0","346.0","266.0","309.0","249.0","234.0","334.0","405.0","325.0","446.0","467.0","507.0","646.0","791.0","724.0","678.0","738.0","768.0","1,056.0","1,250.0","1,609.0","1,976.0","1,969.0","2,617.0","2,524.0","2,659.0","2,504.0","2,408.0","2,617.0","2,280.0","2,044.0","1,940.0","2,044.0","2,056.0","1,987.0","1,896.0"
"29","11","          Residential","B816RC1","0.0","0.0","0.0","0.0","0.0","1.0","9.0","64.0","98.0","34.0","4.0","4.0","226.0","381.0","729.0","213.0","84.0","253.0","14.0","41.0","39.0","21.0","23.0","33.0","42.0","24.0","23.0","42.0","180.0","379.0","502.0","299.0","300.0","209.0","143.0","113.0","158.0","105.0","57.0","77.0","161.0","110.0","139.0","344.0","368.0","489.0","626.0","567.0","494.0","519.0","463.0","674.0","734.0","944.0","1,194.0","1,158.0","1,512.0","1,557.0","1,852.0","1,731.0","1,691.0","1,803.0","1,190.0","1,110.0","1,224.0","1,426.0","1,485.0","1,373.0","1,439.0"
"30","12","          Industrial","B817RC1","0.0","0.0","0.0","0.0","2.0","11.0","2.0","4.0","2.0","12.0","23.0","164.0","1,280.0","3,437.0","1,870.0","1,230.0","755.0","113.0","97.0","196.0","177.0","224.0","974.0","1,684.0","1,771.0","1,506.0","721.0","453.0","473.0","408.0","315.0","337.0","371.0","235.0","203.0","153.0","151.0","144.0","177.0","257.0","244.0","215.0","307.0","123.0","139.0","157.0","165.0","157.0","184.0","219.0","305.0","382.0","516.0","665.0","782.0","811.0","1,105.0","967.0","807.0","773.0","717.0","814.0","1,090.0","934.0","716.0","618.0","571.0","614.0","457.0"
"31","13","        Military facilities \3\","B818RC1","24.0","37.0","51.0","43.0","45.0","60.0","46.0","35.0","46.0","78.0","160.0","496.0","2,090.0","6,479.0","3,290.0","1,077.0","879.0","241.0","251.0","241.0","202.0","239.0","1,024.0","1,569.0","1,515.0","1,212.0","1,521.0","1,635.0","1,565.0","1,642.0","1,661.0","1,503.0","1,499.0","1,355.0","1,268.0","1,026.0","982.0","1,087.0","1,052.0","1,055.0","1,180.0","986.0","1,147.0","999.0","1,273.0","1,354.0","1,815.0","1,695.0","1,726.0","1,778.0","1,755.0","2,156.0","1,962.0","2,346.0","2,789.0","2,968.0","3,606.0","4,254.0","5,002.0","4,861.0","3,969.0","3,485.0","2,359.0","3,181.0","3,411.0","3,723.0","4,644.0","4,304.0","4,225.0"
"32","14","      Net purchases of used structures","B819RC1","0.0","0.0","0.0","0.0","0.0","0.0","4.0","76.0","86.0","79.0","-13.0","-62.0","-28.0","-31.0","-64.0","-36.0","-46.0","-319.0","-205.0","-110.0","-51.0","-32.0","-2.0","-2.0","-2.0","-13.0","-144.0","0.0","69.0","186.0","58.0","95.0","188.0","191.0","26.0","-16.0","-153.0","-76.0","-91.0","-146.0","-94.0","10.0","234.0","323.0","332.0","177.0","-286.0","-274.0","-26.0","-7.0","-2.0","-35.0","-2.0","-1.0","-2.0","-3.0","-4.0","-4.0","-4.0","-8.0","-19.0","-12.0","-6.0","-5.0","-4.0","-4.0","-4.0","-4.0","-4.0"
"33","15","    Nondefense","A830RC1","138.0","181.0","232.0","300.0","480.0","566.0","769.0","776.0","730.0","688.0","596.0","569.0","609.0","451.0","401.0","191.0","162.0","-4.0","325.0","679.0","1,088.0","1,176.0","1,108.0","1,093.0","1,054.0","903.0","615.0","897.0","1,127.0","1,404.0","1,481.0","1,664.0","1,871.0","2,121.0","2,319.0","2,548.0","2,755.0","2,832.0","2,217.0","2,085.0","1,889.0","2,057.0","2,459.0","2,710.0","3,107.0","3,400.0","4,073.0","4,584.0","4,998.0","6,136.0","6,253.0","7,074.0","7,726.0","6,784.0","6,734.0","7,034.0","7,344.0","8,005.0","9,031.0","6,848.0","6,883.0","7,992.0","9,168.0","10,292.0","11,241.0","10,212.0","10,796.0","11,256.0","9,909.0"
"34","16","      New","A831RC1","138.0","181.0","232.0","300.0","480.0","566.0","765.0","700.0","644.0","609.0","608.0","630.0","636.0","482.0","465.0","226.0","207.0","314.0","530.0","789.0","1,139.0","1,207.0","1,109.0","1,095.0","1,056.0","915.0","758.0","897.0","1,058.0","1,219.0","1,471.0","1,659.0","1,867.0","2,114.0","2,311.0","2,546.0","2,748.0","2,828.0","2,211.0","2,080.0","1,885.0","2,049.0","2,454.0","2,710.0","3,107.0","3,400.0","4,073.0","4,584.0","5,051.0","6,073.0","6,375.0","7,055.0","7,641.0","6,751.0","6,793.0","6,957.0","7,083.0","6,917.0","8,083.0","7,379.0","7,260.0","8,184.0","9,545.0","10,576.0","10,905.0","10,918.0","11,373.0","11,330.0","10,200.0"
"35","17","        Buildings","A832RC1","26.0","43.0","65.0","133.0","92.0","53.0","57.0","72.0","80.0","73.0","57.0","69.0","77.0","63.0","39.0","41.0","53.0","43.0","95.0","117.0","286.0","275.0","209.0","187.0","157.0","135.0","81.0","130.0","127.0","199.0","354.0","409.0","442.0","544.0","694.0","919.0","1,006.0","854.0","412.0","435.0","424.0","361.0","435.0","511.0","724.0","776.0","1,001.0","1,265.0","1,432.0","1,626.0","1,784.0","2,079.0","2,307.0","1,912.0","2,126.0","2,410.0","2,479.0","2,436.0","3,061.0","2,720.0","2,563.0","3,395.0","4,395.0","4,644.0","4,534.0","3,840.0","4,582.0","4,721.0","4,675.0"
"36","18","          Residential","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"37","19","          Industrial","B834RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","53.0","70.0","102.0","68.0","62.0","72.0","77.0","65.0","73.0","96.0","115.0","100.0","93.0","122.0","181.0","277.0","395.0","458.0","607.0","666.0","764.0","997.0","1,076.0","901.0","955.0","940.0","776.0","550.0","497.0","540.0","488.0","547.0","674.0","881.0","935.0","782.0","852.0","683.0","443.0"
"38","20","          Educational \4\","B835RC1","1.0","1.0","2.0","4.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","4.0","5.0","5.0","58.0","3.0","0.0","0.0","2.0","18.0","9.0","9.0","6.0","8.0","8.0","11.0","11.0","20.0","28.0","29.0","26.0","24.0","14.0","13.0","22.0","14.0","11.0","14.0","19.0","25.0","58.0","47.0","16.0","6.0","10.0","22.0","40.0","39.0","30.0","22.0","18.0","11.0","10.0","14.0","4.0","4.0","8.0","11.0","20.0","29.0","21.0","21.0","26.0","12.0","18.0"
"39","21","          Hospital","B836RC1","1.0","2.0","4.0","7.0","5.0","3.0","3.0","4.0","4.0","4.0","3.0","4.0","4.0","4.0","4.0","5.0","10.0","10.0","30.0","98.0","169.0","146.0","132.0","113.0","66.0","35.0","22.0","37.0","45.0","35.0","58.0","56.0","55.0","55.0","66.0","71.0","93.0","80.0","33.0","45.0","52.0","72.0","100.0","90.0","75.0","90.0","169.0","206.0","259.0","296.0","287.0","340.0","442.0","409.0","391.0","461.0","496.0","541.0","642.0","619.0","568.0","645.0","564.0","576.0","717.0","661.0","766.0","896.0","1,043.0"
"40","22","          Other \5\","B837RC1","24.0","40.0","59.0","122.0","84.0","48.0","52.0","66.0","74.0","67.0","52.0","63.0","71.0","57.0","33.0","32.0","38.0","28.0","7.0","16.0","117.0","129.0","75.0","56.0","82.0","91.0","53.0","85.0","74.0","153.0","232.0","263.0","257.0","392.0","540.0","752.0","822.0","696.0","284.0","280.0","246.0","175.0","223.0","274.0","410.0","362.0","421.0","595.0","556.0","642.0","693.0","703.0","759.0","580.0","762.0","998.0","1,197.0","1,331.0","1,918.0","1,557.0","1,499.0","2,192.0","3,137.0","3,158.0","2,861.0","2,376.0","2,938.0","3,130.0","3,171.0"
"41","23","        Highways and streets \6\","B838RC1","11.0","17.0","22.0","21.0","44.0","61.0","64.0","53.0","42.0","37.0","35.0","30.0","26.0","17.0","7.0","7.0","11.0","21.0","34.0","39.0","57.0","45.0","41.0","50.0","63.0","65.0","70.0","77.0","100.0","113.0","94.0","136.0","134.0","160.0","183.0","173.0","169.0","248.0","244.0","233.0","213.0","253.0","288.0","299.0","268.0","257.0","307.0","339.0","396.0","421.0","528.0","456.0","752.0","518.0","468.0","516.0","469.0","402.0","405.0","431.0","234.0","233.0","238.0","219.0","326.0","428.0","308.0","368.0","255.0"
"42","24","        Conservation and development","B839RC1","88.0","112.0","136.0","140.0","340.0","444.0","636.0","568.0","512.0","484.0","496.0","496.0","488.0","352.0","284.0","164.0","132.0","240.0","393.0","628.0","791.0","880.0","852.0","851.0","829.0","705.0","597.0","676.0","817.0","884.0","972.0","1,005.0","1,200.0","1,298.0","1,338.0","1,390.0","1,505.0","1,665.0","1,497.0","1,363.0","1,185.0","1,366.0","1,644.0","1,761.0","1,953.0","2,244.0","2,636.0","2,840.0","3,086.0","3,859.0","3,914.0","4,271.0","4,404.0","4,119.0","3,999.0","3,822.0","3,845.0","3,674.0","3,962.0","3,605.0","3,698.0","3,653.0","3,599.0","4,527.0","4,217.0","4,354.0","4,167.0","3,845.0","3,369.0"
"43","25","        Other \7\","B840RC1","13.0","9.0","9.0","6.0","4.0","8.0","8.0","7.0","10.0","15.0","20.0","35.0","45.0","50.0","135.0","14.0","11.0","10.0","8.0","5.0","5.0","7.0","7.0","7.0","7.0","10.0","10.0","14.0","14.0","23.0","51.0","109.0","91.0","112.0","96.0","64.0","68.0","61.0","58.0","49.0","63.0","69.0","87.0","139.0","162.0","123.0","129.0","140.0","137.0","167.0","149.0","249.0","178.0","202.0","200.0","209.0","290.0","405.0","655.0","623.0","765.0","903.0","1,313.0","1,186.0","1,828.0","2,296.0","2,316.0","2,396.0","1,901.0"
"44","26","      Net purchases of used structures","B841RC1","0.0","0.0","0.0","0.0","0.0","0.0","4.0","76.0","86.0","79.0","-12.0","-61.0","-27.0","-31.0","-64.0","-35.0","-45.0","-318.0","-205.0","-110.0","-51.0","-31.0","-1.0","-2.0","-2.0","-12.0","-143.0","0.0","69.0","185.0","10.0","5.0","4.0","7.0","8.0","2.0","7.0","4.0","6.0","5.0","4.0","8.0","5.0","0.0","0.0","0.0","0.0","0.0","-53.0","63.0","-122.0","19.0","85.0","33.0","-59.0","77.0","261.0","1,088.0","948.0","-531.0","-377.0","-192.0","-377.0","-284.0","336.0","-706.0","-577.0","-74.0","-291.0"
