"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191CX1","807,346.0","816,260.0","823,808.0","825,810.0","836,603.0","847,086.0","863,036.0","869,597.0","889,115.0","899,326.0","911,547.0","914,074.0","936,525.0","949,232.0","968,495.0","991,861.0","1,016,207.0","1,019,590.0","1,026,295.0","1,034,610.0","1,043,725.0","1,043,942.0","1,052,270.0","1,060,299.0","1,082,150.0","1,100,524.0","1,108,053.0","1,112,854.0","1,130,382.0","1,133,674.0","1,140,843.0","1,135,485.0","1,133,703.0","1,135,759.0","1,145,872.0","1,133,721.0","1,164,983.0","1,171,592.0","1,180,945.0","1,184,226.0","1,205,402.0","1,233,989.0","1,245,815.0","1,266,335.0","1,298,727.0","1,313,750.0","1,306,740.0","1,319,205.0","1,307,637.0","1,310,985.0","1,298,022.0","1,292,914.0","1,277,188.0","1,286,948.0","1,308,625.0","1,325,720.0","1,355,857.0","1,366,053.0","1,372,745.0","1,382,714.0","1,398,764.0","1,426,562.0","1,452,075.0","1,451,774.0","1,456,732.0","1,514,039.0","1,528,882.0","1,549,103.0","1,551,694.0","1,553,151.0","1,564,315.0","1,568,619.0","1,573,672.0","1,541,420.0","1,538,555.0","1,567,012.0","1,599,574.0","1,586,810.0","1,606,090.0","1,586,082.0","1,560,053.0","1,568,507.0","1,562,460.0","1,563,693.0"
"21","2","Personal consumption expenditures","DPCECX1","479,397.0","485,291.0","489,227.0","496,164.0","499,510.0","504,282.0","511,154.0","515,418.0","525,593.0","534,847.0","544,671.0","546,195.0","558,338.0","564,504.0","574,206.0","590,342.0","599,057.0","600,608.0","607,475.0","610,006.0","613,563.0","621,935.0","625,123.0","628,973.0","643,984.0","653,862.0","666,167.0","669,215.0","676,708.0","681,035.0","684,327.0","689,784.0","694,017.0","697,191.0","703,301.0","701,394.0","714,798.0","721,345.0","727,107.0","739,201.0","749,066.0","763,371.0","775,156.0","793,331.0","807,848.0","807,442.0","810,333.0","807,965.0","800,892.0","803,686.0","806,991.0","795,171.0","801,845.0","815,208.0","826,824.0","835,581.0","852,282.0","860,107.0","869,195.0","880,518.0","890,582.0","895,510.0","904,042.0","917,682.0","923,039.0","942,771.0","946,736.0","954,341.0","959,167.0","958,606.0","968,037.0","970,604.0","968,923.0","946,932.0","957,082.0","969,846.0","975,155.0","975,141.0","979,098.0","971,697.0","977,978.0","981,491.0","989,011.0","1,007,042.0"
"22","3","  Goods","DGDSCX1","235,073.0","237,392.0","239,208.0","242,948.0","245,216.0","247,248.0","249,727.0","250,575.0","256,376.0","261,771.0","267,878.0","265,914.0","274,575.0","276,562.0","282,222.0","293,099.0","298,611.0","297,118.0","301,398.0","300,767.0","301,546.0","306,803.0","305,891.0","307,102.0","316,880.0","321,616.0","329,498.0","328,958.0","333,369.0","333,609.0","334,202.0","335,403.0","335,949.0","336,900.0","338,967.0","335,309.0","346,075.0","348,921.0","351,166.0","357,341.0","360,679.0","370,218.0","376,661.0","387,703.0","396,967.0","393,138.0","393,267.0","389,367.0","383,010.0","381,812.0","383,045.0","367,492.0","370,158.0","378,064.0","387,397.0","390,039.0","401,456.0","406,294.0","409,873.0","414,845.0","419,347.0","422,434.0","425,836.0","434,916.0","432,475.0","444,890.0","445,256.0","450,281.0","449,932.0","446,140.0","453,554.0","451,633.0","449,347.0","430,836.0","435,260.0","440,206.0","446,542.0","442,970.0","447,441.0","439,444.0","443,848.0","443,741.0","446,103.0","455,098.0"
"23","4","    Durable goods","DDURCX1","54,930.0","56,403.0","56,814.0","59,317.0","60,500.0","61,799.0","62,564.0","63,550.0","66,026.0","67,749.0","69,987.0","67,837.0","74,148.0","74,267.0","76,806.0","80,044.0","83,850.0","80,504.0","83,144.0","83,113.0","81,539.0","85,045.0","84,363.0","84,578.0","89,835.0","91,750.0","95,877.0","95,311.0","97,107.0","96,845.0","96,569.0","96,198.0","94,722.0","95,816.0","96,167.0","89,779.0","99,411.0","101,673.0","104,380.0","108,837.0","111,329.0","114,127.0","117,061.0","123,261.0","131,109.0","129,562.0","128,409.0","125,409.0","122,471.0","123,129.0","123,841.0","112,055.0","114,447.0","116,672.0","123,959.0","127,566.0","133,945.0","134,548.0","136,076.0","138,220.0","143,289.0","146,670.0","148,827.0","151,954.0","147,926.0","158,955.0","156,815.0","158,053.0","156,184.0","152,653.0","156,907.0","152,866.0","150,462.0","134,232.0","140,186.0","144,460.0","148,560.0","142,779.0","147,123.0","136,555.0","140,931.0","141,446.0","142,589.0","149,094.0"
"24","5","    Nondurable goods","DNDGCX1","181,561.0","182,287.0","183,704.0","184,735.0","185,745.0","186,378.0","188,083.0","187,845.0","191,061.0","194,708.0","198,512.0","198,893.0","200,794.0","202,713.0","205,747.0","213,381.0","214,932.0","216,969.0","218,529.0","217,921.0","220,371.0","222,012.0","221,805.0","222,810.0","227,192.0","229,986.0","233,649.0","233,701.0","236,296.0","236,816.0","237,701.0","239,293.0","241,346.0","241,195.0","242,926.0","245,764.0","246,770.0","247,329.0","246,826.0","248,507.0","249,325.0","256,067.0","259,594.0","264,498.0","266,090.0","263,843.0","265,077.0","264,034.0","260,492.0","258,762.0","259,322.0","254,693.0","255,181.0","260,832.0","263,386.0","262,744.0","268,070.0","272,188.0","274,272.0","277,160.0","276,976.0","276,956.0","278,329.0","284,306.0","285,522.0","287,721.0","289,953.0","293,690.0","294,989.0","294,419.0","297,866.0","299,439.0","299,292.0","295,240.0","294,515.0","295,668.0","298,280.0","299,606.0","300,271.0","301,419.0","301,975.0","301,455.0","302,742.0","305,850.0"
"25","6","  Services","DSERCX1","244,183.0","247,833.0","249,969.0","253,121.0","254,121.0","256,897.0","261,396.0","264,963.0","269,236.0","272,991.0","276,559.0","280,341.0","283,527.0","287,813.0","291,756.0","296,710.0","299,790.0","303,061.0","305,558.0","308,893.0","311,753.0","314,772.0","319,066.0","321,757.0","326,794.0","331,941.0","336,229.0","339,960.0","342,996.0","347,199.0","349,959.0","354,295.0","358,058.0","360,304.0","364,379.0","366,223.0","368,731.0","372,436.0","375,958.0","381,871.0","388,404.0","393,155.0","398,489.0","405,615.0","410,851.0","414,289.0","417,061.0","418,632.0","417,999.0","422,088.0","424,161.0","428,430.0","432,429.0","437,793.0","439,911.0","446,095.0","451,305.0","454,289.0","459,818.0","466,176.0","471,732.0","473,569.0","478,695.0","483,301.0","491,016.0","498,412.0","501,984.0","504,606.0","509,733.0","512,911.0","514,960.0","519,404.0","519,982.0","516,482.0","522,201.0","530,008.0","529,034.0","532,530.0","532,084.0","532,502.0","534,458.0","537,966.0","543,033.0","552,118.0"
"26","7","Gross private domestic investment","A006CX1","117,239.0","116,106.0","118,183.0","114,216.0","120,553.0","122,310.0","126,299.0","127,853.0","133,110.0","132,498.0","135,647.0","136,753.0","150,514.0","150,505.0","155,880.0","156,599.0","169,839.0","166,740.0","165,088.0","165,881.0","161,339.0","154,459.0","158,893.0","162,330.0","165,863.0","172,569.0","166,967.0","168,701.0","179,815.0","178,382.0","182,506.0","172,677.0","167,272.0","167,796.0","170,664.0","160,777.0","181,656.0","187,286.0","189,749.0","183,813.0","196,812.0","208,858.0","211,831.0","212,930.0","226,451.0","237,037.0","227,769.0","236,481.0","221,392.0","220,295.0","207,868.0","209,845.0","172,985.0","166,978.0","181,118.0","186,097.0","205,367.0","214,126.0","214,523.0","216,014.0","226,642.0","244,158.0","257,464.0","250,196.0","255,158.0","272,677.0","281,094.0","287,490.0","287,444.0","286,779.0","281,196.0","275,961.0","273,961.0","249,244.0","230,247.0","253,656.0","278,863.0","265,587.0","282,073.0","271,134.0","242,886.0","242,671.0","239,839.0","218,481.0"
"27","8","  Fixed investment","A007CX1","106,816.0","110,058.0","110,943.0","110,398.0","111,691.0","116,871.0","119,898.0","123,731.0","128,449.0","128,099.0","130,152.0","131,101.0","137,075.0","140,912.0","144,727.0","147,981.0","153,513.0","151,525.0","151,477.0","146,884.0","143,437.0","147,105.0","148,551.0","153,186.0","156,881.0","156,081.0","158,381.0","162,271.0","167,387.0","168,121.0","170,918.0","166,601.0","166,003.0","162,315.0","165,202.0","165,363.0","169,059.0","176,055.0","179,385.0","184,288.0","192,571.0","195,966.0","198,124.0","207,343.0","216,098.0","217,974.0","217,343.0","215,153.0","210,072.0","207,051.0","203,404.0","191,872.0","180,119.0","177,589.0","182,024.0","185,423.0","193,104.0","196,406.0","198,462.0","208,673.0","216,216.0","228,284.0","231,236.0","235,406.0","237,386.0","254,611.0","261,931.0","267,518.0","269,551.0","267,460.0","272,315.0","269,773.0","265,963.0","242,828.0","245,228.0","254,970.0","256,835.0","258,532.0","258,562.0","257,618.0","249,808.0","241,078.0","234,359.0","233,979.0"
"28","9","    Nonresidential","A008CX1","66,757.0","68,748.0","69,638.0","69,162.0","69,054.0","71,263.0","73,417.0","75,829.0","77,718.0","79,698.0","82,400.0","84,117.0","89,767.0","93,151.0","96,673.0","100,784.0","105,178.0","106,814.0","108,116.0","107,839.0","105,552.0","105,177.0","104,647.0","106,802.0","110,158.0","108,245.0","109,689.0","112,937.0","116,279.0","117,538.0","120,709.0","119,988.0","119,291.0","118,640.0","119,242.0","114,806.0","115,851.0","117,565.0","118,037.0","120,563.0","124,617.0","126,679.0","128,661.0","135,387.0","141,709.0","147,497.0","149,975.0","151,153.0","150,988.0","150,651.0","148,894.0","144,732.0","135,857.0","132,302.0","133,520.0","134,760.0","137,196.0","138,868.0","141,908.0","144,736.0","150,356.0","154,698.0","157,938.0","163,224.0","164,839.0","178,744.0","185,129.0","191,234.0","195,390.0","194,807.0","200,877.0","201,379.0","203,589.0","193,257.0","194,714.0","198,808.0","202,012.0","206,084.0","211,102.0","216,183.0","211,070.0","203,521.0","196,649.0","192,694.0"
"29","10","      Structures","B009CX1","31,098.0","32,230.0","33,079.0","32,277.0","31,154.0","32,630.0","32,857.0","33,529.0","34,399.0","35,565.0","36,733.0","37,025.0","38,923.0","41,636.0","42,074.0","44,011.0","45,057.0","44,188.0","45,172.0","43,634.0","44,084.0","42,830.0","43,283.0","43,355.0","44,205.0","43,831.0","43,548.0","44,438.0","45,125.0","45,483.0","47,628.0","47,294.0","46,923.0","46,443.0","46,612.0","46,065.0","45,949.0","45,830.0","45,666.0","45,546.0","46,737.0","46,999.0","47,103.0","47,853.0","49,416.0","50,960.0","52,112.0","51,632.0","51,342.0","51,130.0","48,911.0","48,317.0","45,830.0","44,104.0","44,352.0","44,382.0","45,579.0","45,441.0","45,902.0","46,046.0","45,889.0","47,605.0","48,326.0","48,674.0","48,581.0","53,331.0","56,848.0","59,227.0","58,896.0","59,749.0","62,535.0","64,450.0","65,445.0","64,008.0","64,327.0","66,219.0","66,180.0","68,673.0","70,405.0","75,585.0","73,181.0","70,796.0","66,893.0","65,375.0"
"30","11","      Equipment and software","B010CX1","36,701.0","37,644.0","37,807.0","37,981.0","38,731.0","39,605.0","41,379.0","43,049.0","44,095.0","44,997.0","46,553.0","47,893.0","51,573.0","52,535.0","55,418.0","57,651.0","60,863.0","63,086.0","63,486.0","64,498.0","61,996.0","62,684.0","61,816.0","63,768.0","66,199.0","64,719.0","66,317.0","68,624.0","71,203.0","72,091.0","73,233.0","72,840.0","72,503.0","72,306.0","72,730.0","68,943.0","70,047.0","71,817.0","72,430.0","75,031.0","77,881.0","79,672.0","81,548.0","87,551.0","92,346.0","96,623.0","97,936.0","99,657.0","99,790.0","99,666.0","100,334.0","96,657.0","90,203.0","88,428.0","89,416.0","90,662.0","91,873.0","93,742.0","96,375.0","99,136.0","105,118.0","107,723.0","110,292.0","115,415.0","117,216.0","126,370.0","129,029.0","132,698.0","137,502.0","135,850.0","138,952.0","137,133.0","138,286.0","128,975.0","130,162.0","132,254.0","135,799.0","137,057.0","140,301.0","139,045.0","136,569.0","131,354.0","128,960.0","126,607.0"
"31","12","    Residential","A011CX1","40,754.0","42,029.0","41,994.0","41,939.0","43,454.0","46,580.0","47,442.0","48,886.0","51,881.0","49,270.0","48,464.0","47,580.0","47,747.0","48,119.0","48,308.0","47,262.0","48,335.0","44,458.0","43,013.0","38,501.0","37,342.0","41,588.0","43,673.0","46,216.0","46,499.0","47,674.0","48,530.0","49,134.0","50,904.0","50,357.0","49,946.0","46,293.0","46,386.0","43,294.0","45,601.0","50,409.0","53,099.0","58,457.0","61,338.0","63,715.0","67,965.0","69,297.0","69,458.0","71,940.0","74,360.0","70,576.0","67,582.0","64,352.0","59,632.0","57,033.0","55,153.0","47,896.0","44,937.0","45,903.0","49,100.0","51,249.0","56,488.0","58,112.0","57,164.0","64,451.0","66,394.0","73,991.0","73,757.0","72,782.0","73,148.0","76,662.0","77,727.0","77,453.0","75,643.0","74,231.0","73,349.0","70,578.0","65,177.0","53,119.0","54,027.0","59,306.0","58,245.0","56,272.0","51,931.0","46,612.0","43,925.0","42,538.0","42,404.0","45,509.0"
"32","13","  Change in private inventories","A014CX1","11,075.0","6,970.0","8,171.0","4,840.0","9,464.0","6,294.0","7,501.0","5,475.0","5,813.0","5,584.0","6,698.0","6,394.0","14,700.0","10,553.0","11,883.0","9,543.0","16,723.0","16,120.0","14,316.0","19,727.0","18,247.0","8,216.0","10,929.0","10,685.0","9,671.0","17,332.0","9,245.0","7,436.0","13,129.0","11,070.0","12,366.0","6,395.0","1,397.0","5,910.0","5,734.0","-5,089.0","13,649.0","11,693.0","11,164.0","-1,050.0","3,843.0","13,462.0","13,825.0","5,296.0","8,185.0","18,777.0","8,238.0","20,149.0","9,380.0","13,126.0","4,491.0","14,247.0","-5,459.0","-10,495.0","-2,051.0","-123.0","11,272.0","16,720.0","15,568.0","5,049.0","8,527.0","14,243.0","25,223.0","13,162.0","15,312.0","15,061.0","15,881.0","18,412.0","14,118.0","15,915.0","6,014.0","3,647.0","4,742.0","4,045.0","-17,317.0","-4,703.0","19,637.0","5,079.0","20,521.0","10,039.0","-9,653.0","-1,927.0","2,405.0","-18,745.0"
"33","14","Net exports of goods and services","A019CX1","4,036.0","6,874.0","4,172.0","2,925.0","4,606.0","8,307.0","5,135.0","7,290.0","9,938.0","9,891.0","8,567.0","8,925.0","5,222.0","8,765.0","5,742.0","7,134.0","5,132.0","6,199.0","1,707.0","2,811.0","3,037.0","2,956.0","1,053.0","-119.0","-1,682.0","-1,459.0","-1,619.0","-1,856.0","-3,148.0","-2,417.0","-3,065.0","-289.0","452.0","1,981.0","1,913.0","1,531.0","2,540.0","-2,387.0","-1,188.0","-2,210.0","-5,064.0","-4,437.0","-1,857.0","-2,131.0","-208.0","5,972.0","8,407.0","11,981.0","15,703.0","16,145.0","12,441.0","15,520.0","23,752.0","26,525.0","19,820.0","21,155.0","16,039.0","13,679.0","13,146.0","11,389.0","5,808.0","7,546.0","9,556.0","5,143.0","1,346.0","11,190.0","11,112.0","14,089.0","14,454.0","14,220.0","19,817.0","25,077.0","28,489.0","38,158.0","44,544.0","39,138.0","37,719.0","38,291.0","36,543.0","34,462.0","31,539.0","33,820.0","23,983.0","22,255.0"
"34","15","  Exports","A020CX1","37,090.0","40,650.0","38,377.0","37,547.0","38,427.0","42,924.0","40,631.0","42,670.0","45,285.0","46,033.0","45,679.0","47,041.0","41,966.0","49,845.0","46,990.0","50,396.0","49,510.0","51,680.0","49,738.0","51,379.0","52,371.0","51,894.0","50,632.0","52,074.0","53,587.0","54,654.0","57,867.0","57,129.0","50,273.0","61,543.0","60,067.0","62,149.0","62,686.0","65,444.0","65,231.0","65,831.0","66,082.0","65,948.0","68,657.0","62,902.0","69,563.0","67,539.0","71,617.0","74,653.0","80,125.0","83,989.0","84,269.0","88,409.0","89,538.0","93,892.0","88,829.0","91,150.0","91,793.0","89,122.0","87,620.0","92,574.0","91,933.0","92,859.0","95,557.0","96,528.0","94,977.0","97,538.0","98,293.0","95,139.0","97,380.0","107,528.0","108,707.0","113,024.0","113,117.0","113,416.0","117,501.0","124,895.0","128,381.0","130,801.0","130,523.0","129,732.0","132,183.0","132,897.0","130,070.0","130,671.0","125,007.0","125,760.0","120,189.0","114,685.0"
