"","Table 5#4#5# Private Fixed Investment in Structures by Type     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","  Commercial and health care","W001RC1","1,239.0","1,002.0","525.0","257.0","140.0","182.0","221.0","307.0","418.0","320.0","323.0","381.0","455.0","184.0","44.0","82.0","240.0","1,245.0","1,082.0","1,540.0","1,394.0","1,777.0","1,938.0","1,557.0","2,134.0","2,575.0","3,415.0","4,199.0","4,143.0","4,237.0","4,556.0","4,836.0","5,492.0","6,186.0","6,096.0","6,758.0","8,170.0","8,257.0","8,186.0","9,403.0","11,665.0","12,539.0","14,889.0","17,554.0","19,818.0","20,643.0","17,662.0","18,050.0","20,301.0","25,332.0","33,505.0","40,968.0","48,271.0","55,785.0","55,836.0","70,594.0","84,135.0","80,856.0","80,827.0","86,322.0","88,269.0","87,465.0","68,922.0","64,488.0","69,363.0","75,384.0","83,056.0","91,495.0","104,304.0","115,969.0","125,419.0","139,321.0","137,303.0","119,419.0","115,054.0","125,328.0","135,923.0","156,411.0","181,873.0","185,165.0"
"22","4","    Office \1\","W031RC1","496.0","390.0","198.0","97.0","57.0","76.0","92.0","127.0","169.0","125.0","128.0","152.0","179.0","68.0","14.0","24.0","89.0","507.0","425.0","618.0","521.0","626.0","664.0","508.0","794.0","978.0","1,346.0","1,684.0","1,581.0","1,587.0","1,739.0","1,846.0","2,061.0","2,270.0","2,210.0","2,385.0","2,957.0","2,983.0","2,991.0","3,416.0","4,144.0","4,325.0","5,164.0","5,422.0","6,239.0","6,484.0","5,447.0","5,361.0","6,016.0","7,756.0","11,237.0","15,705.0","20,494.0","26,783.0","24,719.0","31,086.0","38,017.0","34,889.0","32,483.0","34,222.0","34,571.0","32,954.0","26,240.0","22,221.0","23,034.0","24,557.0","28,329.0","30,920.0","37,710.0","46,422.0","51,776.0","60,228.0","57,169.0","40,564.0","35,143.0","37,786.0","42,838.0","52,496.0","61,845.0","65,602.0"
"23","5","    Health care","W032RC1","163.0","155.0","95.0","46.0","17.0","18.0","21.0","32.0","51.0","50.0","46.0","51.0","67.0","37.0","13.0","29.0","48.0","145.0","161.0","200.0","264.0","419.0","498.0","455.0","412.0","453.0","494.0","546.0","713.0","789.0","777.0","825.0","1,017.0","1,256.0","1,294.0","1,576.0","1,747.0","1,779.0","1,689.0","1,986.0","2,669.0","3,151.0","3,680.0","4,115.0","4,281.0","4,451.0","4,431.0","4,700.0","4,764.0","5,162.0","5,935.0","7,277.0","9,109.0","12,481.0","13,388.0","13,925.0","13,875.0","13,342.0","13,822.0","15,729.0","15,946.0","16,923.0","15,352.0","15,448.0","16,653.0","16,567.0","15,878.0","16,768.0","19,573.0","19,962.0","20,696.0","21,897.0","21,955.0","25,197.0","27,257.0","29,570.0","32,072.0","36,035.0","40,055.0","44,009.0"
"24","6","      Hospitals and special care","C311RC1","104.0","109.0","71.0","34.0","10.0","9.0","10.0","17.0","31.0","35.0","31.0","33.0","46.0","29.0","11.0","26.0","37.0","85.0","110.0","126.0","202.0","344.0","419.0","394.0","317.0","337.0","334.0","345.0","525.0","600.0","570.0","605.0","771.0","985.0","1,030.0","1,291.0","1,394.0","1,423.0","1,332.0","1,579.0","2,175.0","2,635.0","3,065.0","3,479.0","3,550.0","3,691.0","3,790.0","4,071.0","4,062.0","4,257.0","4,614.0","5,402.0","6,632.0","9,197.0","10,373.0","10,153.0","9,267.0","9,132.0","9,927.0","11,626.0","11,807.0","12,987.0","12,202.0","12,803.0","13,923.0","13,673.0","12,536.0","13,129.0","15,097.0","15,382.0","15,170.0","16,195.0","16,734.0","19,655.0","20,427.0","20,999.0","23,032.0","27,971.0","31,073.0","33,885.0"
"25","7","        Hospitals","W033RC1","84.0","88.0","57.0","27.0","8.0","7.0","8.0","14.0","25.0","28.0","25.0","27.0","37.0","23.0","9.0","21.0","30.0","69.0","89.0","102.0","163.0","277.0","338.0","318.0","256.0","272.0","269.0","278.0","423.0","484.0","460.0","488.0","622.0","794.0","830.0","1,041.0","1,124.0","1,147.0","1,074.0","1,273.0","1,753.0","2,124.0","2,471.0","2,805.0","2,862.0","2,976.0","3,055.0","3,282.0","3,275.0","3,432.0","3,720.0","4,355.0","5,347.0","7,415.0","8,363.0","8,185.0","7,471.0","7,362.0","8,003.0","9,373.0","9,519.0","10,470.0","9,837.0","10,322.0","11,225.0","11,224.0","9,862.0","9,374.0","11,240.0","10,658.0","10,682.0","11,461.0","12,733.0","15,673.0","17,146.0","18,174.0","20,541.0","24,665.0","27,613.0","29,738.0"
"26","8","        Special care","W034RC1","20.0","21.0","14.0","7.0","2.0","2.0","2.0","3.0","6.0","7.0","6.0","6.0","9.0","6.0","2.0","5.0","7.0","16.0","21.0","24.0","39.0","67.0","81.0","76.0","61.0","65.0","65.0","67.0","102.0","116.0","110.0","117.0","149.0","191.0","200.0","250.0","270.0","276.0","258.0","306.0","422.0","511.0","594.0","674.0","688.0","715.0","735.0","789.0","787.0","825.0","894.0","1,047.0","1,285.0","1,782.0","2,010.0","1,968.0","1,796.0","1,770.0","1,924.0","2,253.0","2,288.0","2,517.0","2,365.0","2,481.0","2,698.0","2,449.0","2,674.0","3,755.0","3,857.0","4,724.0","4,487.0","4,734.0","4,001.0","3,982.0","3,281.0","2,825.0","2,491.0","3,306.0","3,460.0","4,148.0"
"27","9","      Medical buildings","W035RC1","59.0","46.0","24.0","12.0","7.0","9.0","11.0","15.0","20.0","15.0","15.0","18.0","21.0","8.0","2.0","3.0","11.0","60.0","51.0","74.0","62.0","75.0","79.0","61.0","95.0","116.0","160.0","201.0","188.0","189.0","207.0","220.0","246.0","271.0","264.0","285.0","353.0","356.0","357.0","407.0","494.0","516.0","615.0","636.0","731.0","760.0","641.0","629.0","702.0","905.0","1,321.0","1,875.0","2,477.0","3,284.0","3,016.0","3,772.0","4,608.0","4,210.0","3,895.0","4,103.0","4,139.0","3,936.0","3,150.0","2,645.0","2,730.0","2,894.0","3,342.0","3,639.0","4,476.0","4,581.0","5,526.0","5,702.0","5,220.0","5,542.0","6,830.0","8,571.0","9,040.0","8,064.0","8,983.0","10,124.0"
"28","10","    Multimerchandise shopping","W036RC1","215.0","169.0","86.0","42.0","25.0","33.0","40.0","55.0","73.0","54.0","55.0","66.0","77.0","29.0","6.0","11.0","38.0","220.0","184.0","268.0","226.0","271.0","288.0","220.0","344.0","424.0","583.0","729.0","685.0","671.0","735.0","783.0","877.0","964.0","934.0","1,010.0","1,257.0","1,268.0","1,272.0","1,459.0","1,777.0","1,857.0","2,223.0","2,955.0","3,427.0","3,568.0","2,853.0","2,919.0","3,495.0","4,536.0","5,952.0","6,542.0","6,757.0","5,971.0","6,423.0","9,296.0","11,729.0","11,878.0","12,573.0","13,247.0","13,744.0","13,676.0","9,921.0","9,764.0","10,853.0","11,392.0","11,226.0","12,685.0","11,541.0","12,717.0","14,771.0","14,609.0","16,207.0","15,581.0","15,400.0","18,828.0","22,750.0","29,218.0","34,750.0","32,227.0"
"29","11","    Food and beverage establishments","W037RC1","116.0","91.0","46.0","23.0","13.0","18.0","22.0","30.0","40.0","29.0","30.0","36.0","42.0","16.0","3.0","6.0","21.0","119.0","99.0","145.0","122.0","146.0","155.0","119.0","186.0","229.0","315.0","394.0","370.0","363.0","397.0","423.0","474.0","521.0","504.0","545.0","679.0","685.0","687.0","788.0","959.0","1,003.0","1,200.0","1,596.0","1,850.0","1,926.0","1,540.0","1,576.0","1,887.0","2,449.0","3,214.0","3,533.0","3,649.0","3,224.0","3,468.0","5,019.0","6,333.0","6,413.0","6,789.0","7,153.0","7,421.0","7,385.0","5,357.0","5,272.0","5,860.0","5,713.0","6,720.0","7,116.0","8,132.0","8,748.0","8,025.0","8,608.0","8,676.0","7,914.0","8,369.0","8,232.0","7,795.0","7,442.0","8,046.0","8,168.0"
"30","12","    Warehouses","W038RC1","97.0","76.0","39.0","19.0","11.0","15.0","18.0","25.0","33.0","24.0","25.0","30.0","35.0","13.0","3.0","5.0","17.0","99.0","83.0","121.0","102.0","122.0","130.0","99.0","155.0","191.0","263.0","329.0","309.0","303.0","331.0","353.0","396.0","435.0","421.0","456.0","567.0","572.0","574.0","658.0","801.0","838.0","1,003.0","1,333.0","1,546.0","1,609.0","1,287.0","1,317.0","1,577.0","2,046.0","2,685.0","2,951.0","3,048.0","2,694.0","2,898.0","4,194.0","5,291.0","5,358.0","5,672.0","5,976.0","6,201.0","6,170.0","4,476.0","4,405.0","4,896.0","5,869.0","8,719.0","10,903.0","11,927.0","12,183.0","13,285.0","14,522.0","15,532.0","11,908.0","12,345.0","12,074.0","12,827.0","14,490.0","16,909.0","16,838.0"
"31","13","    Other commercial \2\","W039RC1","152.0","120.0","61.0","30.0","17.0","23.0","28.0","39.0","52.0","38.0","39.0","47.0","55.0","21.0","4.0","8.0","27.0","156.0","130.0","190.0","160.0","192.0","204.0","156.0","244.0","300.0","413.0","517.0","485.0","524.0","577.0","606.0","669.0","740.0","733.0","787.0","962.0","970.0","973.0","1,097.0","1,315.0","1,365.0","1,618.0","2,133.0","2,474.0","2,604.0","2,105.0","2,177.0","2,564.0","3,383.0","4,483.0","4,959.0","5,214.0","4,632.0","4,939.0","7,074.0","8,890.0","8,976.0","9,488.0","9,996.0","10,385.0","10,357.0","7,577.0","7,378.0","8,067.0","11,287.0","12,184.0","13,104.0","15,421.0","15,935.0","16,865.0","19,457.0","17,764.0","18,255.0","16,540.0","18,839.0","17,641.0","16,730.0","20,267.0","18,320.0"
"32","14","  Manufacturing","C307RC1","949.0","532.0","221.0","74.0","176.0","191.0","158.0","266.0","492.0","232.0","254.0","442.0","801.0","346.0","156.0","208.0","642.0","1,689.0","1,702.0","1,397.0","972.0","1,062.0","2,117.0","2,320.0","2,229.0","2,030.0","2,259.0","3,224.0","3,557.0","2,382.0","2,106.0","2,851.0","2,780.0","2,842.0","2,906.0","3,565.0","5,092.0","6,566.0","5,956.0","6,021.0","6,807.0","6,986.0","6,260.0","5,914.0","7,919.0","10,025.0","10,551.0","10,090.0","11,064.0","16,155.0","22,034.0","20,522.0","25,413.0","26,082.0","19,454.0","20,901.0","24,139.0","20,984.0","21,210.0","23,203.0","28,786.0","33,636.0","31,424.0","29,029.0","23,562.0","28,947.0","35,498.0","38,166.0","37,624.0","40,485.0","35,126.0","37,583.0","37,815.0","22,744.0","21,435.0","23,667.0","29,887.0","35,088.0","45,303.0","60,778.0"
"33","15","  Power and communication","W003RC1","1,068.0","1,006.0","654.0","328.0","167.0","198.0","247.0","369.0","506.0","486.0","546.0","604.0","685.0","589.0","359.0","478.0","563.0","1,025.0","1,842.0","2,438.0","2,680.0","2,776.0","3,025.0","3,119.0","3,598.0","3,344.0","3,262.0","4,142.0","4,521.0","4,396.0","4,307.0","4,371.0","4,085.0","4,066.0","4,355.0","4,754.0","5,385.0","6,291.0","7,093.0","8,281.0","8,670.0","10,215.0","10,990.0","12,073.0","13,817.0","15,078.0","15,665.0","18,155.0","19,274.0","21,442.0","24,622.0","27,295.0","29,954.0","29,602.0","25,781.0","26,496.0","26,526.0","28,288.0","25,411.0","25,030.0","27,479.0","26,333.0","31,560.0","33,879.0","33,173.0","31,164.0","33,099.0","29,223.0","28,778.0","34,163.0","40,445.0","48,143.0","51,095.0","50,992.0","48,074.0","42,829.0","45,152.0","53,349.0","74,805.0","94,370.0"
"34","16","    Power","W028RC1","714.0","673.0","488.0","241.0","122.0","151.0","195.0","302.0","404.0","394.0","453.0","482.0","506.0","434.0","298.0","395.0","446.0","720.0","1,332.0","1,725.0","2,147.0","2,336.0","2,538.0","2,549.0","2,983.0","2,689.0","2,504.0","3,029.0","3,453.0","3,492.0","3,357.0","3,285.0","3,108.0","3,073.0","3,232.0","3,446.0","3,928.0","4,690.0","5,464.0","6,588.0","6,482.0","7,272.0","8,020.0","8,807.0","9,892.0","10,842.0","11,894.0","14,249.0","14,780.0","15,846.0","17,739.0","19,570.0","21,795.0","21,148.0","18,206.0","18,526.0","18,267.0","19,319.0","16,217.0","15,474.0","17,865.0","16,530.0","22,598.0","24,886.0","23,554.0","21,043.0","22,006.0","17,413.0","16,362.0","21,690.0","22,040.0","29,344.0","31,499.0","32,608.0","33,618.0","27,361.0","26,306.0","31,163.0","47,318.0","68,875.0"
"35","17","      Electric","C571RC1","350.0","377.0","225.0","109.0","59.0","66.0","87.0","139.0","218.0","267.0","303.0","311.0","305.0","255.0","144.0","163.0","245.0","425.0","761.0","1,016.0","1,313.0","1,240.0","1,315.0","1,537.0","1,805.0","1,717.0","1,488.0","1,804.0","2,168.0","2,291.0","1,997.0","2,006.0","1,858.0","1,862.0","2,021.0","2,162.0","2,535.0","2,986.0","3,669.0","4,270.0","4,484.0","5,333.0","6,001.0","6,667.0","7,640.0","8,118.0","8,347.0","9,788.0","11,748.0","13,023.0","14,296.0","15,348.0","17,027.0","17,066.0","15,293.0","15,482.0","14,581.0","15,844.0","12,660.0","11,441.0","13,137.0","11,299.0","16,293.0","17,136.0","16,260.0","14,884.0","14,274.0","11,256.0","11,325.0","12,993.0","15,489.0","23,374.0","25,270.0","24,998.0","25,592.0","20,431.0","19,192.0","22,804.0","33,627.0","50,392.0"
"36","18","      Other power","W029RC1","364.0","296.0","263.0","132.0","63.0","85.0","108.0","163.0","186.0","127.0","150.0","171.0","201.0","179.0","154.0","232.0","201.0","295.0","571.0","709.0","834.0","1,096.0","1,223.0","1,012.0","1,178.0","972.0","1,016.0","1,225.0","1,285.0","1,201.0","1,360.0","1,279.0","1,250.0","1,211.0","1,211.0","1,284.0","1,393.0","1,704.0","1,795.0","2,318.0","1,998.0","1,939.0","2,019.0","2,140.0","2,252.0","2,724.0","3,547.0","4,461.0","3,032.0","2,823.0","3,443.0","4,222.0","4,768.0","4,082.0","2,913.0","3,044.0","3,686.0","3,475.0","3,557.0","4,033.0","4,728.0","5,231.0","6,305.0","7,750.0","7,294.0","6,159.0","7,732.0","6,157.0","5,037.0","8,697.0","6,551.0","5,970.0","6,229.0","7,610.0","8,026.0","6,930.0","7,114.0","8,359.0","13,691.0","18,483.0"
"37","19","    Communication","C314RC1","354.0","333.0","166.0","87.0","45.0","47.0","52.0","67.0","102.0","92.0","93.0","122.0","179.0","155.0","61.0","83.0","117.0","305.0","510.0","713.0","533.0","440.0","487.0","570.0","615.0","655.0","758.0","1,113.0","1,068.0","904.0","950.0","1,086.0","977.0","993.0","1,123.0","1,308.0","1,457.0","1,601.0","1,629.0","1,693.0","2,188.0","2,943.0","2,970.0","3,266.0","3,925.0","4,236.0","3,771.0","3,906.0","4,494.0","5,596.0","6,883.0","7,725.0","8,159.0","8,454.0","7,575.0","7,970.0","8,259.0","8,969.0","9,194.0","9,556.0","9,614.0","9,803.0","8,962.0","8,993.0","9,619.0","10,121.0","11,093.0","11,810.0","12,416.0","12,473.0","18,405.0","18,799.0","19,596.0","18,384.0","14,456.0","15,468.0","18,846.0","22,186.0","27,487.0","25,495.0"
