"","Table 2#2B# Wage and Salary Disbursements by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2010    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/30/2010 9:18:50 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Wage and salary disbursements","A576RC1","4,988,117.0","4,961,425.0","4,932,431.0","4,926,837.0","4,963,557.0","5,002,990.0","5,006,293.0","5,016,386.0","5,049,563.0","5,109,864.0","5,159,579.0","5,239,391.0","5,279,397.0","5,385,092.0","5,493,902.0","5,544,377.0","5,584,179.0","5,651,665.0","5,758,339.0","5,809,745.0","5,978,894.0","6,018,598.0","6,075,433.0","6,202,646.0","6,343,565.0","6,372,177.0","6,412,542.0","6,507,254.0","6,532,985.0","6,539,232.0","6,567,664.0","6,543,513.0","6,307,809.0","6,313,147.0","6,249,153.0","6,266,323.0","6,315,463.0"
"21","2","Private industries","A132RC1","4,183,713.0","4,146,001.0","4,103,999.0","4,087,561.0","4,101,981.0","4,132,618.0","4,128,481.0","4,133,694.0","4,146,142.0","4,196,045.0","4,243,959.0","4,318,951.0","4,338,969.0","4,432,872.0","4,538,062.0","4,581,633.0","4,601,739.0","4,664,053.0","4,763,883.0","4,808,297.0","4,959,878.0","4,990,282.0","5,034,453.0","5,150,354.0","5,270,329.0","5,288,009.0","5,319,354.0","5,401,442.0","5,407,689.0","5,402,808.0","5,419,168.0","5,388,649.0","5,136,033.0","5,128,795.0","5,064,313.0","5,077,759.0","5,116,387.0"
"22","3","  Goods-producing industries","N231RC1","1,072,461.0","1,053,924.0","1,031,640.0","1,017,243.0","1,016,248.0","1,017,750.0","1,008,457.0","1,003,655.0","1,002,778.0","1,003,452.0","1,004,980.0","1,033,040.0","1,021,011.0","1,047,306.0","1,074,491.0","1,074,799.0","1,081,917.0","1,094,002.0","1,118,604.0","1,119,106.0","1,171,534.0","1,170,085.0","1,169,780.0","1,192,452.0","1,206,254.0","1,210,359.0","1,209,603.0","1,225,327.0","1,217,105.0","1,210,631.0","1,206,167.0","1,192,156.0","1,107,254.0","1,067,757.0","1,042,143.0","1,035,272.0","1,039,520.0"
"23","4","    Manufacturing","N552RC1","737,839.0","722,522.0","701,967.0","688,936.0","682,156.0","687,075.0","677,168.0","672,124.0","670,462.0","669,041.0","667,702.0","687,673.0","673,539.0","688,223.0","705,733.0","704,857.0","703,321.0","707,355.0","716,574.0","714,259.0","738,797.0","735,359.0","734,057.0","746,482.0","753,881.0","752,836.0","749,879.0","757,558.0","750,108.0","745,327.0","740,316.0","732,185.0","680,973.0","661,965.0","644,917.0","644,660.0","649,269.0"
"24","5","  Services-producing industries","N233RC1","3,111,252.0","3,092,077.0","3,072,359.0","3,070,318.0","3,085,733.0","3,114,868.0","3,120,024.0","3,130,039.0","3,143,364.0","3,192,593.0","3,238,979.0","3,285,911.0","3,317,958.0","3,385,566.0","3,463,571.0","3,506,834.0","3,519,822.0","3,570,051.0","3,645,279.0","3,689,191.0","3,788,344.0","3,820,197.0","3,864,673.0","3,957,902.0","4,064,075.0","4,077,650.0","4,109,751.0","4,176,115.0","4,190,584.0","4,192,177.0","4,213,001.0","4,196,493.0","4,028,779.0","4,061,038.0","4,022,170.0","4,042,487.0","4,076,867.0"
"25","6","    Trade, transportation, and utilities","N234RC1","853,173.0","848,938.0","842,918.0","839,428.0","842,474.0","847,885.0","848,512.0","847,269.0","853,874.0","857,197.0","864,001.0","878,059.0","879,927.0","898,581.0","917,893.0","924,968.0","928,687.0","938,943.0","953,112.0","957,713.0","982,536.0","989,375.0","997,772.0","1,014,272.0","1,032,865.0","1,045,950.0","1,042,907.0","1,056,911.0","1,055,329.0","1,050,662.0","1,047,847.0","1,039,355.0","1,002,327.0","989,294.0","976,984.0","977,399.0","984,874.0"
"26","7","    Other services-producing industries \1\","N235RC1","2,258,079.0","2,243,139.0","2,229,441.0","2,230,890.0","2,243,259.0","2,266,983.0","2,271,512.0","2,282,770.0","2,289,490.0","2,335,396.0","2,374,978.0","2,407,852.0","2,438,031.0","2,486,985.0","2,545,678.0","2,581,866.0","2,591,135.0","2,631,108.0","2,692,167.0","2,731,478.0","2,805,808.0","2,830,822.0","2,866,901.0","2,943,630.0","3,031,210.0","3,031,700.0","3,066,844.0","3,119,204.0","3,135,255.0","3,141,515.0","3,165,154.0","3,157,138.0","3,026,452.0","3,071,744.0","3,045,186.0","3,065,088.0","3,091,993.0"
"27","8","Government","B202RC1","804,404.0","815,424.0","828,432.0","839,276.0","861,576.0","870,372.0","877,812.0","882,692.0","903,421.0","913,819.0","915,620.0","920,440.0","940,428.0","952,220.0","955,840.0","962,744.0","982,440.0","987,612.0","994,456.0","1,001,448.0","1,019,016.0","1,028,316.0","1,040,980.0","1,052,292.0","1,073,236.0","1,084,168.0","1,093,188.0","1,105,812.0","1,125,296.0","1,136,424.0","1,148,496.0","1,154,864.0","1,171,776.0","1,184,352.0","1,184,840.0","1,188,564.0","1,199,076.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
