"","Table 3#5# Taxes on Production and Imports                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","  Excise taxes","B234RC1","562.0","535.0","489.0","633.0","1,220.0","1,761.0","1,694.0","1,687.0","1,771.0","1,702.0","1,818.0","2,109.0","2,814.0","3,358.0","4,055.0","5,217.0","6,175.0","7,202.0","7,246.0","7,436.0","7,505.0","8,200.0","8,615.0","9,557.0","10,137.0","8,963.0","9,771.0","10,245.0","10,732.0","10,373.0","11,162.0","12,006.0","12,131.0","12,929.0","13,459.0","14,106.0","13,814.0","12,580.0","13,255.0","14,614.0","15,442.0","15,597.0","15,880.0","15,484.0","16,528.0","16,406.0","16,213.0","16,814.0","17,320.0","18,178.0","18,230.0","26,503.0","41,340.0","32,347.0","35,292.0","35,397.0","33,894.0","30,001.0","30,407.0","33,415.0","32,260.0","33,422.0","44,929.0","44,968.0","46,548.0","57,544.0","55,734.0","53,633.0","58,220.0","61,112.0","64,250.0","66,128.0","64,647.0","66,886.0","67,865.0","71,037.0","73,460.0","72,732.0","65,907.0","62,744.0"
"22","4","    Gasoline","B2000C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,886.0","2,359.0","2,393.0","2,470.0","2,591.0","2,669.0","2,795.0","2,906.0","3,000.0","3,159.0","3,344.0","3,543.0","3,675.0","3,890.0","4,124.0","3,953.0","4,070.0","4,264.0","4,387.0","4,520.0","4,391.0","4,097.0","4,052.0","4,054.0","7,948.0","8,870.0","8,912.0","9,194.0","8,997.0","9,797.0","9,470.0","10,048.0","15,238.0","15,543.0","15,998.0","21,299.0","21,186.0","22,300.0","22,143.0","23,428.0","23,437.0","23,432.0","23,301.0","23,280.0","24,031.0","24,193.0","25,821.0","25,843.0","22,484.0","21,796.0"
"23","5","    Alcoholic beverages","B2001C1","13.0","11.0","10.0","7.0","138.0","374.0","458.0","569.0","587.0","564.0","602.0","720.0","927.0","1,214.0","1,452.0","2,069.0","2,336.0","2,648.0","2,292.0","2,139.0","2,161.0","2,380.0","2,410.0","2,677.0","2,748.0","2,628.0","2,731.0","2,968.0","2,822.0","2,881.0","3,019.0","3,077.0","3,182.0","3,291.0","3,345.0","3,582.0","3,622.0","3,786.0","4,026.0","4,220.0","4,473.0","4,565.0","4,748.0","4,868.0","4,984.0","5,132.0","5,189.0","5,074.0","5,141.0","5,282.0","5,274.0","5,164.0","5,206.0","4,989.0","5,130.0","4,748.0","4,761.0","5,257.0","5,351.0","5,218.0","5,158.0","5,228.0","7,040.0","7,159.0","7,201.0","6,608.0","6,989.0","7,084.0","6,953.0","7,022.0","7,250.0","7,281.0","7,306.0","7,578.0","7,800.0","8,064.0","8,132.0","8,482.0","8,571.0","8,667.0"
"24","6","    Tobacco","B2002C1","449.0","446.0","425.0","386.0","408.0","451.0","477.0","534.0","562.0","566.0","592.0","643.0","746.0","857.0","988.0","923.0","1,031.0","1,210.0","1,261.0","1,309.0","1,317.0","1,345.0","1,445.0","1,659.0","1,612.0","1,540.0","1,593.0","1,632.0","1,699.0","1,812.0","1,850.0","1,942.0","2,020.0","2,043.0","2,103.0","2,066.0","2,087.0","2,072.0","2,115.0","2,135.0","2,092.0","2,178.0","2,156.0","2,233.0","2,400.0","2,348.0","2,377.0","2,492.0","2,379.0","2,467.0","2,469.0","2,486.0","2,557.0","2,496.0","4,998.0","4,645.0","4,467.0","4,595.0","4,601.0","4,442.0","4,284.0","4,217.0","5,000.0","5,359.0","5,713.0","5,828.0","5,919.0","5,821.0","5,863.0","5,556.0","5,603.0","6,741.0","7,130.0","7,441.0","7,142.0","7,119.0","8,268.0","8,755.0","8,376.0","7,998.0"
"25","7","    Diesel fuel","B2003C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","418.0","460.0","517.0","499.0","529.0","572.0","599.0","1,233.0","1,916.0","2,592.0","2,639.0","2,725.0","4,126.0","3,154.0","3,268.0","4,278.0","4,237.0","4,128.0","7,070.0","6,552.0","7,760.0","7,370.0","7,722.0","8,264.0","8,573.0","8,615.0","8,907.0","8,977.0","9,170.0","9,784.0","9,346.0","8,992.0","7,854.0"
"26","8","    Air transport","B2004C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","906.0","1,027.0","1,178.0","1,426.0","1,507.0","1,143.0","1,389.0","2,073.0","2,337.0","2,448.0","2,595.0","2,647.0","3,056.0","3,181.0","3,544.0","4,740.0","4,770.0","5,039.0","5,519.0","5,666.0","2,480.0","6,479.0","8,326.0","8,781.0","9,870.0","9,108.0","10,382.0","10,526.0","12,102.0","12,554.0","12,222.0","13,685.0","13,662.0"
"27","9","    Crude oil windfall profits tax","B2005C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,347.0","24,334.0","15,715.0","9,875.0","8,335.0","5,235.0","400.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","10","    Other \1\","B2006C1","100.0","78.0","54.0","240.0","674.0","936.0","759.0","584.0","622.0","572.0","624.0","746.0","1,141.0","1,287.0","1,615.0","2,225.0","2,808.0","3,344.0","3,693.0","3,988.0","4,027.0","4,475.0","4,760.0","5,221.0","5,777.0","4,795.0","5,447.0","5,645.0","6,211.0","5,680.0","4,407.0","4,628.0","4,536.0","5,125.0","5,420.0","5,789.0","5,310.0","3,816.0","4,114.0","5,100.0","5,533.0","5,311.0","5,301.0","4,493.0","5,020.0","4,973.0","4,577.0","3,660.0","3,926.0","4,214.0","4,171.0","3,373.0","3,476.0","3,105.0","4,035.0","4,546.0","5,479.0","5,321.0","6,086.0","6,776.0","7,013.0","7,117.0","8,633.0","7,900.0","8,469.0","11,220.0","9,422.0","8,188.0","9,412.0","9,058.0","10,915.0","10,231.0","9,187.0","9,298.0","9,389.0","10,389.0","8,901.0","8,084.0","3,799.0","2,767.0"
"29","11","  Customs duties","B235RC1","575.0","454.0","356.0","248.0","283.0","291.0","353.0","387.0","454.0","342.0","327.0","305.0","416.0","295.0","396.0","363.0","384.0","489.0","418.0","392.0","365.0","534.0","575.0","564.0","570.0","544.0","657.0","721.0","768.0","825.0","1,049.0","1,066.0","1,030.0","1,202.0","1,227.0","1,318.0","1,613.0","1,869.0","1,909.0","2,258.0","2,370.0","2,484.0","3,112.0","2,997.0","3,271.0","3,658.0","5,864.0","4,560.0","5,403.0","7,100.0","7,454.0","7,160.0","8,589.0","8,609.0","9,091.0","11,903.0","12,158.0","13,697.0","15,533.0","16,412.0","17,481.0","17,490.0","16,836.0","18,327.0","19,810.0","21,442.0","19,819.0","19,221.0","19,617.0","19,586.0","19,182.0","21,123.0","20,636.0","19,919.0","21,432.0","23,265.0","25,316.0","26,666.0","28,773.0","29,222.0"
"30","12","  Other \2\","B036RC1","0.0","0.0","0.0","0.0","80.0","92.0","95.0","138.0","139.0","127.0","133.0","167.0","282.0","329.0","381.0","372.0","353.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"31","13","State and local","W072RC1","5,687.0","5,982.0","5,824.0","5,689.0","5,281.0","5,481.0","5,848.0","6,249.0","6,577.0","6,761.0","6,868.0","7,214.0","7,542.0","7,530.0","7,599.0","7,759.0","8,183.0","9,141.0","10,442.0","11,898.0","13,034.0","14,216.0","15,555.0","17,000.0","18,394.0","19,382.0","21,039.0","23,271.0","25,116.0","26,522.0","28,841.0","31,475.0","33,807.0","36,251.0","38,700.0","41,845.0","45,282.0","48,762.0","52,773.0","59,535.0","66,044.0","73,332.0","81,501.0","89,447.0","97,421.0","104,838.0","113,215.0","125,014.0","136,941.0","145,620.0","154,417.0","166,667.0","185,715.0","199,977.0","218,898.0","242,473.0","262,081.0","279,675.0","301,605.0","324,637.0","349,126.0","374,078.0","395,326.0","420,081.0","436,767.0","466,262.0","482,350.0","507,900.0","533,778.0","558,775.0","590,153.0","621,305.0","642,407.0","675,986.0","717,505.0","769,100.0","831,400.0","887,411.0","934,043.0","955,311.0"
"32","14","  Sales taxes","B248RC1","439.0","525.0","571.0","578.0","669.0","934.0","1,156.0","1,396.0","1,518.0","1,583.0","1,653.0","1,835.0","2,073.0","2,033.0","1,965.0","2,002.0","2,266.0","2,899.0","3,508.0","4,115.0","4,333.0","4,801.0","5,366.0","5,847.0","6,264.0","6,469.0","7,103.0","7,989.0","8,590.0","9,979.0","11,132.0","12,156.0","13,020.0","14,013.0","14,975.0","16,454.0","18,185.0","19,953.0","21,370.0","25,057.0","28,562.0","31,645.0","35,364.0","39,801.0","44,080.0","48,160.0","51,703.0","57,760.0","64,018.0","71,000.0","77,281.0","82,858.0","90,747.0","96,199.0","107,650.0","121,000.0","131,124.0","139,850.0","150,326.0","162,392.0","172,319.0","184,291.0","190,661.0","204,306.0","216,393.0","231,421.0","242,735.0","256,186.0","268,650.0","283,870.0","301,568.0","316,814.0","321,803.0","331,110.0","348,826.0","370,746.0","402,218.0","430,427.0","446,253.0","443,866.0"
"33","15","    State","A1666C1","414.0","500.0","545.0","552.0","641.0","904.0","1,096.0","1,306.0","1,417.0","1,463.0","1,542.0","1,705.0","1,942.0","1,900.0","1,831.0","1,866.0","2,110.0","2,716.0","3,202.0","3,715.0","3,882.0","4,317.0","4,815.0","5,220.0","5,546.0","5,766.0","6,324.0","7,100.0","7,559.0","8,900.0","9,982.0","10,817.0","11,588.0","12,557.0","13,413.0","14,522.0","16,135.0","17,955.0","19,426.0","22,770.0","25,693.0","28,193.0","31,393.0","35,224.0","38,840.0","42,012.0","44,749.0","49,868.0","55,025.0","60,833.0","65,735.0","70,035.0","76,451.0","80,331.0","89,960.0","100,881.0","109,003.0","115,768.0","124,613.0","135,149.0","142,255.0","152,526.0","157,501.0","169,680.0","179,389.0","191,679.0","200,495.0","211,834.0","221,296.0","233,259.0","245,947.0","255,486.0","259,945.0","267,935.0","282,041.0","300,506.0","325,710.0","346,266.0","357,610.0","353,876.0"
"34","16","      General \3\","L305131",".....",".....","7.0","10.0","61.0","228.0","300.0","398.0","440.0","449.0","465.0","533.0","621.0","642.0","700.0","751.0","806.0","1,051.0","1,330.0","1,584.0","1,609.0","1,828.0","2,118.0","2,347.0","2,509.0","2,557.0","2,838.0","3,208.0","3,512.0","3,512.0","4,059.0","4,441.0","4,848.0","5,394.0","5,788.0","6,439.0","7,326.0","8,567.0","9,515.0","11,678.0","13,304.0","14,777.0","16,625.0","18,879.0","21,093.0","23,899.0","25,755.0","29,280.0","33,072.0","37,497.0","41,775.0","44,815.0","48,962.0","51,174.0","58,156.0","66,543.0","72,334.0","76,771.0","82,984.0","91,172.0","96,318.0","103,398.0","105,028.0","112,130.0","118,187.0","127,911.0","135,132.0","143,817.0","151,433.0","159,496.0","169,080.0","177,757.0","179,539.0","181,909.0","189,955.0","204,611.0","221,445.0","235,078.0","241,377.0","236,722.0"
"35","17","      Gasoline","L305141","414.0","500.0","524.0","522.0","526.0","563.0","620.0","690.0","748.0","782.0","815.0","865.0","958.0","855.0","704.0","681.0","777.0","1,020.0","1,176.0","1,318.0","1,451.0","1,625.0","1,791.0","1,968.0","2,100.0","2,296.0","2,491.0","2,788.0","2,892.0","2,969.0","3,216.0","3,397.0","3,562.0","3,792.0","3,988.0","4,212.0","4,504.0","4,754.0","5,021.0","5,484.0","5,977.0","6,407.0","6,866.0","7,625.0","8,275.0","8,132.0","8,385.0","8,961.0","9,315.0","9,744.0","9,740.0","9,570.0","10,093.0","10,466.0","11,609.0","12,907.0","13,955.0","14,949.0","16,517.0","17,554.0","18,617.0","20,121.0","21,399.0","22,866.0","24,017.0","25,174.0","25,688.0","26,606.0","27,709.0","28,625.0","29,615.0","30,368.0","31,622.0","32,399.0","32,709.0","33,940.0","35,129.0","36,398.0","36,725.0","36,153.0"
"36","18","      Alcoholic beverages \3\","L305151",".....",".....","1.0","4.0","34.0","89.0","141.0","169.0","174.0","175.0","184.0","205.0","241.0","266.0","276.0","281.0","359.0","427.0","407.0","439.0","418.0","442.0","462.0","449.0","471.0","455.0","514.0","566.0","567.0","575.0","626.0","667.0","714.0","766.0","831.0","887.0","947.0","1,012.0","1,077.0","1,177.0","1,310.0","1,493.0","1,620.0","1,749.0","1,861.0","1,989.0","2,044.0","2,120.0","2,193.0","2,330.0","2,406.0","2,527.0","2,703.0","2,712.0","2,818.0","2,979.0","3,078.0","3,064.0","3,175.0","3,114.0","3,138.0","3,296.0","3,496.0","3,558.0","3,641.0","3,594.0","3,609.0","3,722.0","3,696.0","3,803.0","4,022.0","4,149.0","4,211.0","4,254.0","4,509.0","4,618.0","4,834.0","5,061.0","5,243.0","5,342.0"
"37","19","      Tobacco \3\","L305161",".....",".....","13.0","16.0","20.0","24.0","35.0","49.0","55.0","57.0","78.0","102.0","122.0","137.0","151.0","153.0","168.0","218.0","289.0","374.0","404.0","422.0","444.0","456.0","466.0","458.0","481.0","538.0","588.0","639.0","800.0","962.0","1,038.0","1,100.0","1,184.0","1,226.0","1,425.0","1,584.0","1,679.0","2,030.0","2,111.0","2,426.0","2,601.0","2,965.0","3,161.0","3,251.0","3,349.0","3,484.0","3,564.0","3,654.0","3,667.0","3,824.0","3,921.0","4,059.0","4,037.0","4,204.0","4,400.0","4,570.0","4,676.0","4,814.0","5,384.0","5,819.0","6,116.0","6,074.0","6,497.0","7,041.0","7,302.0","7,476.0","7,520.0","8,102.0","8,189.0","8,536.0","8,622.0","10,430.0","11,798.0","12,683.0","13,732.0","14,720.0","15,887.0","16,769.0"
