"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"23","4","Equals: Gross domestic purchases","A712RX1","1,727,895.0","1,727,950.0","1,726,673.0","1,773,227.0","1,815,565.0","1,863,622.0","1,874,809.0","1,880,312.0","1,839,696.0","1,832,846.0","1,860,282.0","1,856,622.0","1,935,519.0","1,997,586.0","2,091,065.0","2,121,204.0","2,143,632.0","2,166,333.0","2,198,726.0","2,201,282.0","2,227,787.0","2,242,906.0","2,272,012.0","2,355,011.0","2,397,991.0","2,420,606.0","2,401,653.0","2,361,882.0","2,349,206.0","2,347,549.0","2,371,238.0","2,415,157.0","2,486,786.0","2,536,229.0","2,565,027.0","2,582,717.0","2,570,202.0","2,581,948.0","2,575,502.0","2,606,792.0","2,622,757.0","2,621,565.0","2,648,736.0","2,625,064.0","2,568,033.0","2,587,964.0","2,646,575.0","2,714,547.0","2,764,800.0","2,836,420.0","2,830,235.0","2,840,428.0","2,892,981.0","2,871,262.0","2,876,043.0","2,829,928.0","2,847,384.0","2,904,797.0","2,960,918.0","3,020,060.0","3,078,947.0","3,101,509.0","3,141,361.0","3,154,031.0","3,188,736.0","3,214,028.0","3,287,866.0","3,304,419.0","3,368,687.0","3,408,033.0","3,460,140.0","3,468,419.0","3,569,536.0","3,603,637.0","3,689,732.0","3,773,720.0","3,875,069.0","3,883,719.0","3,927,383.0","3,954,763.0","3,988,708.0","3,989,940.0","4,029,554.0","4,064,596.0","4,154,203.0","4,223,749.0","4,252,551.0","4,272,066.0","4,345,850.0","4,353,119.0","4,383,454.0","4,352,135.0","4,342,453.0","4,344,137.0","4,383,298.0","4,338,017.0","4,454,227.0","4,498,069.0","4,529,250.0","4,545,908.0","4,637,448.0","4,744,808.0","4,780,410.0","4,860,395.0","4,977,481.0","5,010,174.0","4,972,639.0","5,004,451.0","4,941,339.0","4,954,785.0","4,921,299.0","4,887,411.0","4,782,894.0","4,802,488.0","4,920,493.0","4,982,266.0","5,123,007.0","5,174,905.0","5,205,359.0","5,253,379.0","5,342,833.0","5,440,996.0","5,527,130.0","5,546,563.0","5,588,192.0","5,761,699.0","5,819,223.0","5,883,691.0","5,891,309.0","5,898,455.0","5,913,492.0","5,909,882.0","5,914,261.0","5,736,953.0","5,683,868.0","5,823,406.0","5,958,433.0","5,908,782.0","5,985,920.0","5,925,524.0","5,836,374.0","5,855,741.0","5,881,549.0","5,887,776.0","5,965,184.0","6,136,811.0","6,292,129.0","6,438,960.0","6,599,965.0","6,726,058.0","6,795,976.0","6,859,467.0","6,907,358.0","6,998,459.0","7,105,471.0","7,170,011.0","7,220,698.0","7,272,996.0","7,349,245.0","7,370,303.0","7,405,038.0","7,479,215.0","7,533,616.0","7,655,856.0","7,657,390.0","7,726,331.0","7,772,424.0","7,878,855.0","7,935,232.0","7,967,092.0","8,020,236.0","8,041,177.0","8,118,999.0","8,139,154.0","8,130,166.0","8,030,123.0","7,976,796.0","8,017,477.0","8,056,204.0","8,087,823.0","8,167,913.0","8,268,366.0","8,349,064.0","8,453,152.0","8,485,841.0","8,548,111.0","8,607,443.0","8,730,231.0","8,828,242.0","8,955,209.0","9,006,597.0","9,114,150.0","9,142,223.0","9,158,735.0","9,196,054.0","9,259,136.0","9,345,167.0","9,513,167.0","9,623,747.0","9,686,077.0","9,789,662.0","9,930,360.0","10,072,690.0","10,178,312.0","10,315,208.0","10,449,116.0","10,607,226.0","10,788,180.0","10,925,454.0","11,039,882.0","11,198,669.0","11,400,535.0","11,471,251.0","11,701,802.0","11,738,601.0","11,813,906.0","11,767,823.0","11,832,962.0","11,824,073.0","11,877,911.0","11,996,470.0","12,079,660.0","12,156,039.0","12,198,452.0","12,236,095.0","12,356,082.0","12,543,756.0","12,660,810.0","12,762,294.0","12,901,398.0","13,009,482.0","13,136,809.0","13,248,954.0","13,296,841.0","13,404,421.0","13,494,217.0","13,648,718.0","13,695,519.0","13,722,810.0","13,755,717.0","13,805,025.0","13,887,630.0","13,959,691.0","13,954,220.0","13,916,382.0","13,885,488.0","13,798,782.0","13,603,995.0","13,303,132.0","13,225,904.0","13,323,811.0","13,492,129.0"
"24","5","Less: Change in private inventories","A014RX1","4,852.0","-3,472.0","-13,430.0","-2,201.0","11,442.0","21,430.0","25,026.0","19,413.0","-2,040.0","-17,426.0","-3,861.0","-17,464.0","7,383.0","10,775.0","14,054.0","44,897.0","27,928.0","40,633.0","26,851.0","11,572.0","14,476.0","-3,555.0","15,977.0","16,136.0","12,969.0","12,812.0","7,733.0","-6,692.0","-5,937.0","-9,480.0","-7,558.0","-2,728.0","11,231.0","16,593.0","15,140.0","20,845.0","17,583.0","12,224.0","9,476.0","8,385.0","4,569.0","6,536.0","9,496.0","-8,887.0","-11,141.0","-9,698.0","4,901.0","12,964.0","10,441.0","26,521.0","3,175.0","15,570.0","38,847.0","11,082.0","15,645.0","-18,246.0","-8,320.0","7,186.0","23,828.0","19,766.0","31,223.0","19,651.0","23,035.0","13,646.0","26,681.0","17,743.0","21,147.0","15,436.0","16,387.0","15,744.0","18,883.0","18,025.0","41,442.0","29,753.0","33,500.0","26,904.0","47,146.0","45,446.0","40,359.0","55,614.0","51,441.0","23,162.0","30,811.0","30,123.0","27,265.0","48,865.0","26,064.0","20,965.0","37,013.0","31,210.0","34,862.0","18,029.0","3,939.0","16,662.0","16,167.0","-14,348.0","38,479.0","32,965.0","31,473.0","-2,959.0","10,835.0","37,953.0","38,977.0","14,931.0","23,076.0","52,936.0","23,225.0","56,805.0","26,446.0","37,006.0","12,662.0","40,166.0","-15,390.0","-29,588.0","-5,783.0","-347.0","31,779.0","47,139.0","43,890.0","14,233.0","24,038.0","40,154.0","71,110.0","37,108.0","43,170.0","42,460.0","44,773.0","51,908.0","39,802.0","44,869.0","16,955.0","10,282.0","13,368.0","11,403.0","-48,822.0","-13,259.0","55,360.0","14,319.0","57,854.0","28,303.0","-27,215.0","-5,432.0","6,782.0","-52,846.0","-47,706.0","-6,693.0","-5,641.0","29,439.0","88,698.0","83,089.0","86,889.0","54,377.0","17,212.0","25,087.0","20,786.0","38,591.0","35,321.0","17,249.0","-9,450.0","-9,155.0","36,591.0","20,098.0","-657.0","76,752.0","17,900.0","22,874.0","20,709.0","26,188.0","54,384.0","41,038.0","10,769.0","16,291.0","15,113.0","37,019.0","24,927.0","-10,795.0","-17,231.0","-20,997.0","-507.0","33,021.0","2,727.0","23,904.0","21,119.0","23,843.0","40,276.0","26,832.0","6,292.0","15,598.0","50,523.0","90,485.0","56,041.0","80,091.0","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","14,463.0","23,297.0","29,797.0","10,321.0","619.0","-37,091.0","-29,706.0","-37,380.0","-113,893.0","-160,215.0","-139,169.0","-19,673.0"
"25","6","Equals: Final sales to domestic purchasers","A713RX1","1,742,308.0","1,757,166.0","1,772,389.0","1,792,384.0","1,813,720.0","1,841,064.0","1,845,246.0","1,864,033.0","1,857,612.0","1,882,226.0","1,887,818.0","1,909,155.0","1,943,143.0","1,998,518.0","2,085,938.0","2,056,619.0","2,112,954.0","2,109,989.0","2,169,119.0","2,200,464.0","2,222,901.0","2,272,048.0","2,263,890.0","2,346,978.0","2,396,569.0","2,420,025.0","2,409,808.0","2,394,332.0","2,378,943.0","2,383,945.0","2,404,780.0","2,441,233.0","2,489,858.0","2,530,892.0","2,562,646.0","2,571,492.0","2,565,053.0","2,585,001.0","2,582,814.0","2,616,548.0","2,639,475.0","2,634,928.0","2,656,571.0","2,660,479.0","2,606,586.0","2,624,335.0","2,660,484.0","2,718,161.0","2,769,552.0","2,819,071.0","2,850,517.0","2,840,071.0","2,859,822.0","2,879,012.0","2,875,006.0","2,880,178.0","2,882,927.0","2,917,780.0","2,949,266.0","3,015,266.0","3,056,643.0","3,097,290.0","3,132,579.0","3,159,386.0","3,173,743.0","3,212,868.0","3,283,280.0","3,308,938.0","3,371,329.0","3,412,070.0","3,460,122.0","3,467,801.0","3,538,367.0","3,587,985.0","3,668,435.0","3,763,007.0","3,834,318.0","3,847,455.0","3,897,783.0","3,904,238.0","3,942,870.0","3,985,614.0","4,013,718.0","4,053,612.0","4,144,392.0","4,184,990.0","4,244,876.0","4,272,951.0","4,323,623.0","4,339,475.0","4,364,781.0","4,354,838.0","4,363,826.0","4,349,150.0","4,388,609.0","4,381,823.0","4,432,407.0","4,481,775.0","4,516,452.0","4,574,992.0","4,648,883.0","4,723,545.0","4,756,196.0","4,868,013.0","4,967,481.0","4,966,888.0","4,962,278.0","4,952,199.0","4,926,914.0","4,933,203.0","4,933,579.0","4,847,456.0","4,840,063.0","4,872,786.0","4,953,348.0","5,009,326.0","5,105,841.0","5,136,470.0","5,173,396.0","5,255,896.0","5,333,835.0","5,411,752.0","5,457,891.0","5,522,608.0","5,552,580.0","5,726,396.0","5,779,986.0","5,841,695.0","5,857,856.0","5,859,256.0","5,916,267.0","5,923,197.0","5,920,107.0","5,747,628.0","5,779,436.0","5,865,513.0","5,908,668.0","5,918,061.0","5,930,474.0","5,909,633.0","5,900,806.0","5,886,104.0","5,896,136.0","5,984,404.0","6,051,950.0","6,175,765.0","6,324,925.0","6,425,686.0","6,506,457.0","6,637,693.0","6,703,526.0","6,808,310.0","6,905,527.0","6,990,984.0","7,102,073.0","7,142,462.0","7,197,550.0","7,274,528.0","7,382,115.0","7,409,271.0","7,385,104.0","7,478,384.0","7,556,464.0","7,586,549.0","7,658,389.0","7,721,371.0","7,764,366.0","7,866,881.0","7,887,920.0","7,936,616.0","8,025,931.0","8,039,495.0","8,120,484.0","8,112,246.0","8,119,172.0","8,060,890.0","8,014,192.0","8,058,662.0","8,074,859.0","8,067,632.0","8,183,470.0","8,255,831.0","8,341,858.0","8,444,903.0","8,456,745.0","8,535,493.0","8,616,624.0","8,729,097.0","8,789,250.0","8,870,084.0","8,959,360.0","9,039,278.0","9,083,307.0","9,133,343.0","9,201,933.0","9,254,696.0","9,357,117.0","9,498,011.0","9,567,789.0","9,658,879.0","9,755,931.0","9,829,924.0","10,002,423.0","10,095,222.0","10,199,804.0","10,412,133.0","10,552,812.0","10,729,116.0","10,841,459.0","11,004,266.0","11,158,694.0","11,303,753.0","11,456,060.0","11,601,388.0","11,677,233.0","11,757,592.0","11,806,127.0","11,847,275.0","11,858,319.0","11,971,628.0","12,015,418.0","12,069,957.0","12,139,496.0","12,168,827.0","12,206,865.0","12,361,515.0","12,541,988.0","12,623,362.0","12,710,905.0","12,823,760.0","12,946,988.0","13,065,647.0","13,157,991.0","13,281,350.0","13,392,431.0","13,412,851.0","13,584,126.0","13,624,051.0","13,655,229.0","13,722,761.0","13,791,460.0","13,863,186.0","13,928,867.0","13,944,010.0","13,912,935.0","13,923,150.0","13,828,043.0","13,654,938.0","13,432,699.0","13,401,421.0","13,477,163.0","13,524,093.0"
"26",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","7","  Final sales of domestic product","A190RX1","1,787,040.0","1,798,707.0","1,813,270.0","1,813,891.0","1,821,761.0","1,835,009.0","1,838,145.0","1,853,983.0","1,861,560.0","1,885,617.0","1,884,776.0","1,891,667.0","1,922,020.0","1,973,716.0","2,044,797.0","2,022,462.0","2,082,218.0","2,092,089.0","2,161,314.0","2,193,364.0","2,211,380.0","2,247,182.0","2,225,277.0","2,299,071.0","2,348,745.0","2,367,324.0","2,361,535.0","2,348,141.0","2,334,441.0","2,343,922.0","2,367,175.0","2,406,620.0","2,452,585.0","2,484,770.0","2,520,987.0","2,526,360.0","2,520,756.0","2,548,747.0","2,549,757.0","2,593,800.0","2,616,518.0","2,606,907.0","2,626,448.0","2,625,878.0","2,558,685.0","2,571,992.0","2,609,451.0","2,659,851.0","2,714,727.0","2,761,499.0","2,795,072.0","2,784,572.0","2,815,044.0","2,841,856.0","2,837,872.0","2,851,753.0","2,853,992.0","2,884,618.0","2,906,853.0","2,972,978.0","3,009,226.0","3,060,475.0","3,084,254.0","3,105,556.0","3,126,223.0","3,179,236.0","3,235,659.0","3,269,276.0","3,340,794.0","3,380,497.0","3,422,356.0","3,431,266.0","3,485,533.0","3,548,528.0","3,615,233.0","3,713,357.0","3,775,287.0","3,792,414.0","3,823,981.0","3,834,773.0","3,873,586.0","3,914,955.0","3,934,928.0","3,969,779.0","4,052,915.0","4,093,632.0","4,152,246.0","4,178,625.0","4,221,815.0","4,242,588.0","4,264,575.0","4,265,395.0","4,276,956.0","4,268,734.0","4,306,985.0","4,299,003.0","4,352,199.0","4,382,298.0","4,420,853.0","4,474,155.0","4,536,307.0","4,611,616.0","4,653,182.0","4,761,426.0","4,865,813.0","4,889,670.0","4,895,738.0","4,901,419.0","4,895,375.0","4,900,791.0","4,885,695.0","4,814,705.0","4,852,350.0","4,902,083.0","4,946,162.0","5,004,604.0","5,073,780.0","5,090,881.0","5,122,374.0","5,193,950.0","5,242,681.0","5,326,975.0","5,383,006.0","5,426,932.0","5,433,812.0","5,649,436.0","5,701,241.0","5,774,472.0","5,792,716.0","5,792,441.0","5,876,433.0","5,903,241.0","5,914,704.0","5,798,789.0","5,874,369.0","5,926,829.0","5,955,968.0","5,967,848.0","5,974,754.0","5,939,509.0","5,922,812.0","5,920,257.0","5,881,483.0","5,968,642.0","6,031,688.0","6,117,075.0","6,230,535.0","6,312,388.0","6,354,608.0","6,471,087.0","6,530,762.0","6,625,957.0","6,738,264.0","6,789,600.0","6,899,854.0","6,928,073.0","6,999,371.0","7,052,177.0","7,151,424.0","7,191,978.0","7,172,756.0","7,268,405.0","7,355,237.0","7,388,269.0","7,497,508.0","7,587,884.0","7,623,952.0","7,721,923.0","7,759,158.0","7,834,527.0","7,933,203.0","7,943,108.0","8,029,307.0","8,032,754.0","8,048,588.0","8,020,019.0","7,987,964.0","8,045,422.0","8,056,541.0","8,049,149.0","8,173,541.0","8,232,049.0","8,322,479.0","8,409,066.0","8,403,609.0","8,474,053.0","8,540,519.0","8,642,819.0","8,689,043.0","8,762,243.0","8,857,169.0","8,928,350.0","8,966,403.0","9,019,396.0","9,126,837.0","9,180,089.0","9,259,357.0","9,392,071.0","9,433,029.0","9,565,428.0","9,632,633.0","9,709,308.0","9,862,528.0","9,925,948.0","9,988,321.0","10,157,133.0","10,274,324.0","10,448,496.0","10,517,306.0","10,648,210.0","10,779,724.0","10,917,484.0","11,027,635.0","11,158,007.0","11,206,355.0","11,278,054.0","11,335,068.0","11,385,224.0","11,373,823.0","11,472,838.0","11,496,425.0","11,528,861.0","11,579,700.0","11,569,082.0","11,616,471.0","11,743,825.0","11,933,413.0","12,005,297.0","12,076,216.0","12,136,270.0","12,241,057.0","12,339,165.0","12,443,249.0","12,572,035.0","12,671,167.0","12,667,239.0","12,851,310.0","12,890,967.0","12,898,340.0","13,027,762.0","13,086,383.0","13,179,586.0","13,290,306.0","13,381,108.0","13,363,488.0","13,453,465.0","13,354,251.0","13,193,476.0","13,055,782.0","13,077,807.0","13,127,159.0","13,181,894.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
