"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Government consumption expenditures and gross investment","A822RC1","9,356.0","9,992.0","9,884.0","8,698.0","8,659.0","10,509.0","10,889.0","13,091.0","12,802.0","13,816.0","14,790.0","15,031.0","26,525.0","62,722.0","94,826.0","105,333.0","92,990.0","39,588.0","36,338.0","40,502.0","46,634.0","46,714.0","68,054.0","83,584.0","90,514.0","86,131.0","86,442.0","91,370.0","99,659.0","105,958.0","109,994.0","111,548.0","119,499.0","130,088.0","136,351.0","143,214.0","151,446.0","171,631.0","192,508.0","209,312.0","221,431.0","233,697.0","246,415.0","263,419.0","281,657.0","317,917.0","357,716.0","383,000.0","414,060.0","453,554.0","500,732.0","566,121.0","627,477.0","680,447.0","733,380.0","796,920.0","878,890.0","949,335.0","999,393.0","1,038,903.0","1,100,597.0","1,181,712.0","1,236,090.0","1,273,461.0","1,294,799.0","1,329,791.0","1,374,021.0","1,420,958.0","1,474,434.0","1,526,050.0","1,631,270.0","1,730,951.0","1,846,420.0","1,983,343.0","2,112,550.0","2,232,818.0","2,369,882.0","2,518,396.0","2,676,485.0","2,883,208.0","2,930,731.0"
"20","2","      Consumption expenditures \1\","A955RC1","6,524.0","6,824.0","6,898.0","6,551.0","6,733.0","7,848.0","8,113.0","8,960.0","9,010.0","9,624.0","10,299.0","10,658.0","15,730.0","34,176.0","55,751.0","68,685.0","68,875.0","36,097.0","31,741.0","33,485.0","36,939.0","36,915.0","50,430.0","61,275.0","66,523.0","63,619.0","65,466.0","68,461.0","75,282.0","79,476.0","80,693.0","83,281.0","88,170.0","96,798.0","102,711.0","108,587.0","115,891.0","131,844.0","149,531.0","165,674.0","178,164.0","190,120.0","204,656.0","220,778.0","234,811.0","261,660.0","294,615.0","316,605.0","346,557.0","376,487.0","412,258.0","465,868.0","520,593.0","568,133.0","610,529.0","657,568.0","720,088.0","776,109.0","815,112.0","852,755.0","902,928.0","965,962.0","1,015,791.0","1,050,356.0","1,075,369.0","1,108,875.0","1,141,423.0","1,176,732.0","1,222,071.0","1,263,197.0","1,343,910.0","1,426,625.0","1,524,386.0","1,639,872.0","1,756,763.0","1,860,448.0","1,977,867.0","2,093,341.0","2,214,929.0","2,386,877.0","2,416,939.0"
"21","3","      Gross investment \2\","A782RC1","2,832.0","3,168.0","2,986.0","2,147.0","1,926.0","2,661.0","2,776.0","4,131.0","3,792.0","4,192.0","4,491.0","4,373.0","10,795.0","28,546.0","39,075.0","36,648.0","24,115.0","3,491.0","4,597.0","7,018.0","9,696.0","9,799.0","17,624.0","22,310.0","23,991.0","22,512.0","20,976.0","22,909.0","24,377.0","26,483.0","29,302.0","28,267.0","31,329.0","33,290.0","33,640.0","34,626.0","35,555.0","39,787.0","42,977.0","43,637.0","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","461,556.0","496,331.0","513,792.0"
"22","4","        Structures","A760RC1","2,575.0","2,933.0","2,730.0","1,923.0","1,703.0","2,262.0","2,289.0","3,718.0","3,330.0","3,647.0","3,901.0","3,727.0","6,251.0","12,117.0","6,997.0","3,278.0","2,542.0","1,689.0","3,009.0","4,636.0","6,342.0","7,013.0","9,546.0","11,104.0","11,658.0","12,111.0","12,010.0","13,394.0","14,872.0","16,501.0","16,856.0","16,600.0","18,015.0","18,635.0","19,928.0","21,056.0","22,846.0","25,085.0","26,454.0","28,548.0","28,959.0","29,167.0","31,239.0","31,605.0","34,356.0","40,317.0","44,529.0","44,877.0","44,287.0","51,491.0","57,814.0","65,309.0","66,357.0","64,983.0","65,719.0","72,504.0","81,116.0","88,986.0","95,509.0","98,998.0","101,968.0","112,621.0","116,981.0","119,744.0","121,075.0","124,685.0","134,748.0","144,381.0","155,556.0","160,157.0","175,790.0","189,648.0","205,797.0","221,638.0","229,385.0","236,449.0","246,477.0","267,473.0","298,796.0","315,512.0","329,712.0"
"23","5","        Equipment and software","A871RC1","257.0","235.0","256.0","224.0","223.0","399.0","487.0","413.0","462.0","545.0","590.0","646.0","4,544.0","16,429.0","32,078.0","33,370.0","21,573.0","1,802.0","1,588.0","2,382.0","3,354.0","2,786.0","8,078.0","11,206.0","12,333.0","10,401.0","8,966.0","9,515.0","9,505.0","9,982.0","12,446.0","11,667.0","13,314.0","14,655.0","13,712.0","13,570.0","12,709.0","14,702.0","16,523.0","15,089.0","14,309.0","14,410.0","10,520.0","11,036.0","12,490.0","15,940.0","18,572.0","21,518.0","23,216.0","25,576.0","30,661.0","34,944.0","40,528.0","47,331.0","57,132.0","66,848.0","77,686.0","84,240.0","88,771.0","87,151.0","95,701.0","103,128.0","103,319.0","103,361.0","98,355.0","96,231.0","97,850.0","99,845.0","96,807.0","102,696.0","111,570.0","114,678.0","116,238.0","121,833.0","126,402.0","135,921.0","145,538.0","157,582.0","162,760.0","180,819.0","184,080.0"
"24","6","Federal","A823RC1","1,729.0","1,830.0","1,878.0","1,829.0","2,286.0","3,278.0","3,375.0","5,565.0","5,092.0","5,718.0","6,016.0","6,471.0","17,969.0","54,146.0","86,456.0","96,948.0","84,027.0","28,818.0","22,590.0","24,156.0","27,638.0","25,972.0","45,007.0","59,146.0","64,367.0","57,229.0","54,851.0","56,669.0","61,315.0","63,803.0","65,326.0","64,078.0","67,891.0","75,234.0","76,895.0","78,434.0","80,404.0","92,412.0","104,624.0","111,263.0","113,281.0","113,413.0","113,632.0","119,628.0","122,451.0","134,543.0","149,032.0","159,703.0","175,402.0","190,903.0","210,560.0","243,717.0","280,178.0","310,765.0","342,851.0","374,275.0","412,750.0","438,444.0","459,537.0","461,577.0","481,437.0","507,490.0","526,561.0","532,910.0","524,977.0","518,579.0","518,768.0","526,988.0","530,959.0","531,018.0","554,926.0","576,077.0","611,689.0","680,637.0","756,479.0","824,643.0","876,300.0","931,691.0","976,679.0","1,082,613.0","1,144,828.0"
"25","7","    Consumption expenditures","A957RC1","1,540.0","1,570.0","1,541.0","1,447.0","1,685.0","2,387.0","2,201.0","4,335.0","3,864.0","4,494.0","4,894.0","4,855.0","9,409.0","27,133.0","48,249.0","61,000.0","60,718.0","26,907.0","20,834.0","21,157.0","23,284.0","22,035.0","34,350.0","44,158.0","48,286.0","43,911.0","43,910.0","45,022.0","49,458.0","50,854.0","49,946.0","49,734.0","51,610.0","57,814.0","60,770.0","62,797.0","65,697.0","75,743.0","86,956.0","95,293.0","98,315.0","98,585.0","101,937.0","107,628.0","108,822.0","117,923.0","129,520.0","137,147.0","150,686.0","163,316.0","178,919.0","207,435.0","238,250.0","263,278.0","286,449.0","309,898.0","338,332.0","358,029.0","373,706.0","381,732.0","398,475.0","418,977.0","438,314.0","444,145.0","441,218.0","440,708.0","440,138.0","446,540.0","457,531.0","454,599.0","473,302.0","496,009.0","530,156.0","590,490.0","660,257.0","721,380.0","765,838.0","811,003.0","848,795.0","934,446.0","986,390.0"
"26","8","    Gross investment","A787RC1","189.0","260.0","337.0","382.0","601.0","891.0","1,174.0","1,230.0","1,228.0","1,224.0","1,122.0","1,616.0","8,560.0","27,013.0","38,207.0","35,948.0","23,309.0","1,911.0","1,756.0","2,999.0","4,354.0","3,937.0","10,657.0","14,988.0","16,081.0","13,318.0","10,941.0","11,647.0","11,857.0","12,949.0","15,380.0","14,344.0","16,281.0","17,420.0","16,125.0","15,637.0","14,707.0","16,669.0","17,668.0","15,970.0","14,966.0","14,828.0","11,695.0","12,000.0","13,629.0","16,620.0","19,512.0","22,556.0","24,716.0","27,587.0","31,641.0","36,282.0","41,928.0","47,487.0","56,402.0","64,377.0","74,418.0","80,415.0","85,831.0","79,845.0","82,962.0","88,513.0","88,247.0","88,765.0","83,759.0","77,871.0","78,630.0","80,448.0","73,428.0","76,419.0","81,624.0","80,068.0","81,533.0","90,147.0","96,222.0","103,263.0","110,462.0","120,688.0","127,884.0","148,167.0","158,438.0"
"27","9","      Structures","A801RC1","162.0","218.0","283.0","343.0","527.0","638.0","830.0","955.0","962.0","891.0","770.0","1,171.0","4,177.0","10,717.0","6,226.0","2,675.0","1,834.0","284.0","482.0","1,047.0","1,455.0","1,628.0","3,127.0","4,377.0","4,380.0","3,632.0","2,736.0","3,027.0","3,414.0","4,019.0","4,017.0","3,898.0","4,229.0","4,111.0","3,959.0","3,824.0","3,893.0","4,092.0","3,412.0","3,328.0","3,380.0","3,378.0","4,286.0","4,499.0","5,219.0","5,577.0","6,393.0","6,729.0","7,376.0","8,645.0","8,774.0","10,251.0","10,936.0","10,738.0","11,497.0","11,968.0","13,563.0","14,779.0","16,688.0","14,205.0","13,241.0","14,082.0","13,801.0","15,512.0","16,588.0","15,975.0","17,492.0","17,543.0","16,026.0","16,595.0","16,112.0","13,673.0","13,474.0","15,794.0","17,634.0","16,210.0","15,719.0","17,561.0","21,565.0","24,609.0","30,063.0"
"28","10","      Equipment and software","A872RC1","27.0","42.0","54.0","39.0","74.0","253.0","344.0","275.0","266.0","333.0","352.0","445.0","4,383.0","16,296.0","31,981.0","33,273.0","21,475.0","1,627.0","1,274.0","1,952.0","2,899.0","2,309.0","7,530.0","10,611.0","11,701.0","9,686.0","8,205.0","8,620.0","8,443.0","8,930.0","11,363.0","10,446.0","12,052.0","13,309.0","12,166.0","11,813.0","10,814.0","12,577.0","14,256.0","12,642.0","11,586.0","11,450.0","7,409.0","7,501.0","8,410.0","11,043.0","13,119.0","15,827.0","17,340.0","18,942.0","22,867.0","26,031.0","30,992.0","36,749.0","44,905.0","52,409.0","60,855.0","65,636.0","69,143.0","65,640.0","69,721.0","74,431.0","74,446.0","73,253.0","67,171.0","61,896.0","61,138.0","62,905.0","57,402.0","59,824.0","65,512.0","66,395.0","68,059.0","74,353.0","78,588.0","87,053.0","94,743.0","103,127.0","106,319.0","123,558.0","128,375.0"
"29","11","  National defense","A824RC1","916.0","949.0","940.0","924.0","875.0","816.0","1,026.0","1,249.0","1,300.0","1,363.0","1,490.0","2,478.0","14,306.0","51,139.0","84,152.0","94,498.0","81,923.0","25,125.0","18,153.0","18,222.0","19,782.0","19,506.0","39,218.0","52,314.0","55,902.0","49,164.0","46,920.0","49,211.0","53,607.0","55,364.0","53,816.0","53,348.0","56,509.0","61,085.0","60,964.0","60,241.0","60,603.0","71,656.0","83,440.0","89,244.0","89,491.0","87,604.0","84,557.0","86,932.0","88,134.0","95,564.0","103,899.0","111,087.0","120,889.0","130,486.0","145,182.0","167,959.0","196,230.0","225,891.0","250,589.0","281,528.0","311,181.0","330,804.0","349,979.0","354,728.0","362,089.0","373,883.0","383,114.0","376,786.0","363,005.0","353,776.0","348,799.0","354,823.0","349,841.0","346,075.0","361,137.0","371,047.0","392,954.0","437,704.0","497,940.0","550,785.0","589,047.0","624,856.0","662,133.0","737,926.0","779,027.0"
"30","12","    Consumption expenditures","A997RC1","880.0","889.0","856.0","857.0","786.0","703.0","923.0","990.0","976.0","1,045.0","1,165.0","1,675.0","7,107.0","25,134.0","46,790.0","59,062.0","59,256.0","23,610.0","17,204.0","16,266.0","16,854.0","17,148.0","30,082.0","38,884.0","41,199.0","37,056.0","36,841.0","38,724.0","43,124.0","44,041.0","40,109.0","40,999.0","42,653.0","46,563.0","48,323.0","48,775.0","50,558.0","59,893.0","69,933.0","77,091.0","78,144.0","76,531.0","77,053.0","79,464.0","79,399.0","84,498.0","90,868.0","95,790.0","104,152.0","112,685.0","123,785.0","143,669.0","167,295.0","191,145.0","208,716.0","232,836.0","253,675.0","267,884.0","283,565.0","293,451.0","299,392.0","307,968.0","319,703.0","315,230.0","307,513.0","300,814.0","296,977.0","303,174.0","304,512.0","300,322.0","312,961.0","321,839.0","342,015.0","380,661.0","435,182.0","481,209.0","514,837.0","543,883.0","574,877.0","634,025.0","666,648.0"
"31","13","    Gross investment","A788RC1","36.0","60.0","84.0","67.0","89.0","113.0","103.0","259.0","324.0","318.0","325.0","803.0","7,199.0","26,005.0","37,362.0","35,436.0","22,667.0","1,515.0","949.0","1,956.0","2,928.0","2,358.0","9,136.0","13,430.0","14,703.0","12,108.0","10,079.0","10,487.0","10,483.0","11,323.0","13,707.0","12,349.0","13,856.0","14,522.0","12,641.0","11,466.0","10,045.0","11,763.0","13,507.0","12,153.0","11,347.0","11,073.0","7,504.0","7,468.0","8,735.0","11,066.0","13,031.0","15,297.0","16,737.0","17,801.0","21,397.0","24,290.0","28,935.0","34,746.0","41,873.0","48,692.0","57,506.0","62,920.0","66,414.0","61,277.0","62,697.0","65,915.0","63,411.0","61,556.0","55,492.0","52,962.0","51,822.0","51,649.0","45,329.0","45,753.0","48,176.0","49,208.0","50,939.0","57,043.0","62,758.0","69,576.0","74,210.0","80,973.0","87,256.0","103,901.0","112,379.0"
"32","14","      Structures","A808RC1","24.0","37.0","51.0","43.0","47.0","72.0","61.0","179.0","232.0","203.0","174.0","602.0","3,568.0","10,266.0","5,825.0","2,484.0","1,672.0","288.0","157.0","368.0","367.0","452.0","2,019.0","3,284.0","3,326.0","2,729.0","2,121.0","2,130.0","2,287.0","2,615.0","2,536.0","2,234.0","2,358.0","1,990.0","1,640.0","1,276.0","1,138.0","1,260.0","1,195.0","1,243.0","1,491.0","1,321.0","1,827.0","1,789.0","2,112.0","2,177.0","2,320.0","2,145.0","2,378.0","2,509.0","2,521.0","3,177.0","3,210.0","3,954.0","4,763.0","4,934.0","6,219.0","6,774.0","7,657.0","7,357.0","6,358.0","6,090.0","4,633.0","5,220.0","5,347.0","5,763.0","6,696.0","6,287.0","6,117.0","5,834.0","5,386.0","5,396.0","5,333.0","5,848.0","7,314.0","7,145.0","7,452.0","8,056.0","10,469.0","12,883.0","16,721.0"
"33","15","      Equipment and software","A873RC1","12.0","23.0","33.0","24.0","42.0","41.0","42.0","80.0","92.0","115.0","151.0","201.0","3,631.0","15,739.0","31,537.0","32,952.0","20,995.0","1,227.0","792.0","1,588.0","2,561.0","1,906.0","7,117.0","10,146.0","11,377.0","9,379.0","7,958.0","8,357.0","8,196.0","8,708.0","11,171.0","10,115.0","11,498.0","12,532.0","11,001.0","10,190.0","8,907.0","10,503.0","12,312.0","10,910.0","9,856.0","9,752.0","5,677.0","5,679.0","6,623.0","8,889.0","10,711.0","13,152.0","14,359.0","15,292.0","18,876.0","21,113.0","25,725.0","30,792.0","37,110.0","43,758.0","51,287.0","56,146.0","58,757.0","53,920.0","56,339.0","59,825.0","58,778.0","56,336.0","50,145.0","47,199.0","45,126.0","45,362.0","39,212.0","39,919.0","42,790.0","43,812.0","45,606.0","51,195.0","55,444.0","62,431.0","66,758.0","72,917.0","76,787.0","91,018.0","95,658.0"
"34","16","  Nondefense","A825RC1","813.0","881.0","938.0","905.0","1,411.0","2,462.0","2,349.0","4,316.0","3,792.0","4,355.0","4,526.0","3,993.0","3,663.0","3,007.0","2,304.0","2,450.0","2,104.0","3,693.0","4,437.0","5,934.0","7,856.0","6,466.0","5,789.0","6,832.0","8,465.0","8,065.0","7,931.0","7,458.0","7,708.0","8,439.0","11,510.0","10,730.0","11,382.0","14,149.0","15,931.0","18,193.0","19,801.0","20,756.0","21,184.0","22,019.0","23,790.0","25,809.0","29,075.0","32,696.0","34,317.0","38,979.0","45,133.0","48,616.0","54,513.0","60,417.0","65,378.0","75,758.0","83,948.0","84,874.0","92,262.0","92,747.0","101,569.0","107,640.0","109,558.0","106,849.0","119,348.0","133,607.0","143,447.0","156,124.0","161,972.0","164,803.0","169,969.0","172,165.0","181,118.0","184,943.0","193,789.0","205,030.0","218,735.0","242,933.0","258,539.0","273,858.0","287,253.0","306,835.0","314,546.0","344,687.0","365,801.0"
"35","17","    Consumption expenditures","A542RC1","660.0","681.0","685.0","590.0","899.0","1,684.0","1,278.0","3,345.0","2,888.0","3,449.0","3,729.0","3,180.0","2,302.0","1,999.0","1,459.0","1,938.0","1,462.0","3,297.0","3,630.0","4,891.0","6,430.0","4,887.0","4,268.0","5,274.0","7,087.0","6,855.0","7,069.0","6,298.0","6,334.0","6,813.0","9,837.0","8,735.0","8,957.0","11,251.0","12,447.0","14,022.0","15,139.0","15,850.0","17,023.0","18,202.0","20,171.0","22,054.0","24,884.0","28,164.0","29,423.0","33,425.0","38,652.0","41,357.0","46,534.0","50,631.0","55,134.0","63,766.0","70,955.0","72,133.0","77,733.0","77,062.0","84,657.0","90,145.0","90,141.0","88,281.0","99,083.0","111,009.0","118,611.0","128,915.0","133,705.0","139,894.0","143,161.0","143,366.0","153,019.0","154,277.0","160,341.0","174,170.0","188,141.0","209,829.0","225,075.0","240,171.0","251,001.0","267,120.0","273,918.0","300,421.0","319,742.0"
