"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Gross domestic product","A191RC1","103,608.0","91,213.0","76,490.0","58,721.0","56,402.0","65,980.0","73,304.0","83,766.0","91,867.0","86,124.0","92,170.0","101,430.0","126,741.0","161,909.0","198,607.0","219,759.0","223,049.0","222,228.0","244,095.0","269,118.0","267,232.0","293,744.0","339,260.0","358,298.0","379,327.0","380,354.0","414,720.0","437,428.0","461,055.0","467,169.0","506,627.0","526,438.0","544,758.0","585,656.0","617,760.0","663,639.0","719,115.0","787,692.0","832,445.0","909,843.0","984,431.0","1,038,326.0","1,126,817.0","1,237,885.0","1,382,269.0","1,499,452.0","1,637,700.0","1,824,583.0","2,030,130.0","2,293,762.0","2,562,228.0","2,788,143.0","3,126,837.0","3,253,194.0","3,534,606.0","3,930,895.0","4,217,470.0","4,460,067.0","4,736,354.0","5,100,422.0","5,482,146.0","5,800,527.0","5,992,094.0","6,342,306.0","6,667,350.0","7,085,160.0","7,414,655.0","7,838,456.0","8,332,362.0","8,793,495.0","9,353,484.0","9,951,482.0","10,286,167.0","10,642,316.0","11,142,143.0","11,867,753.0","12,638,381.0","13,398,917.0","14,077,628.0","14,441,415.0","14,256,272.0"
"20","2","       Final sales of domestic product","A190RC1","102,068.0","91,436.0","77,602.0","61,072.0","57,805.0","66,560.0","72,164.0","82,605.0","89,242.0","86,699.0","91,963.0","99,037.0","122,411.0","160,003.0","199,353.0","220,683.0","224,525.0","216,217.0","244,645.0","263,460.0","269,924.0","287,974.0","329,351.0","354,784.0","377,379.0","382,291.0","409,732.0","433,478.0","460,278.0","467,535.0","502,710.0","523,206.0","541,784.0","579,555.0","612,139.0","658,818.0","709,868.0","774,056.0","822,579.0","900,790.0","975,258.0","1,036,325.0","1,118,561.0","1,228,778.0","1,366,391.0","1,485,462.0","1,643,956.0","1,807,467.0","2,007,806.0","2,267,971.0","2,544,244.0","2,794,474.0","3,097,028.0","3,268,108.0","3,540,357.0","3,865,490.0","4,195,646.0","4,453,496.0","4,709,205.0","5,081,940.0","5,454,453.0","5,785,980.0","5,992,488.0","6,325,978.0","6,646,536.0","7,021,376.0","7,383,498.0","7,807,689.0","8,261,363.0","8,729,776.0","9,292,668.0","9,896,938.0","10,324,450.0","10,630,289.0","11,125,768.0","11,802,843.0","12,588,428.0","13,338,962.0","14,058,273.0","14,476,167.0","14,377,194.0"
"21","3","       Change in private inventories","A014RC1","1,540.0","-223.0","-1,112.0","-2,351.0","-1,403.0","-580.0","1,140.0","1,161.0","2,625.0","-575.0","207.0","2,393.0","4,330.0","1,906.0","-746.0","-924.0","-1,476.0","6,011.0","-550.0","5,658.0","-2,692.0","5,770.0","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,157.0","30,767.0","70,999.0","63,719.0","60,816.0","54,544.0","-38,283.0","12,027.0","16,375.0","64,910.0","49,953.0","59,955.0","19,355.0","-34,752.0","-120,922.0"
"22","4","Goods","A353RC1","52,020.0","43,249.0","33,926.0","23,817.0","24,278.0","30,926.0","36,090.0","41,540.0","46,584.0","40,516.0","43,616.0","50,351.0","63,995.0","74,152.0","90,847.0","97,780.0","96,522.0","110,875.0","126,207.0","138,779.0","130,113.0","144,682.0","166,049.0","166,177.0","172,468.0","168,007.0","188,569.0","197,172.0","205,174.0","200,000.0","219,046.0","227,482.0","230,583.0","247,381.0","258,504.0","277,821.0","304,318.0","337,086.0","345,369.0","370,789.0","397,571.0","408,742.0","432,646.0","472,018.0","547,106.0","588,039.0","628,593.0","706,645.0","773,484.0","872,638.0","977,200.0","1,035,213.0","1,167,304.0","1,148,760.0","1,226,851.0","1,402,215.0","1,452,787.0","1,491,242.0","1,570,713.0","1,703,657.0","1,851,936.0","1,923,073.0","1,943,519.0","2,031,456.0","2,124,174.0","2,290,689.0","2,379,460.0","2,516,280.0","2,701,219.0","2,819,243.0","2,990,144.0","3,124,533.0","3,077,600.0","3,101,171.0","3,170,088.0","3,333,941.0","3,472,871.0","3,660,695.0","3,814,062.0","3,783,801.0","3,699,362.0"
"23","5","    Final sales","A325RC1","50,480.0","43,472.0","35,038.0","26,168.0","25,681.0","31,506.0","34,950.0","40,379.0","43,959.0","41,091.0","43,409.0","47,958.0","59,665.0","72,246.0","91,593.0","98,704.0","97,998.0","104,864.0","126,757.0","133,121.0","132,805.0","138,912.0","156,140.0","162,663.0","170,520.0","169,944.0","183,581.0","193,222.0","204,397.0","200,366.0","215,129.0","224,250.0","227,609.0","241,280.0","252,883.0","273,000.0","295,071.0","323,450.0","335,503.0","361,736.0","388,398.0","406,741.0","424,390.0","462,911.0","531,228.0","574,049.0","634,849.0","689,529.0","751,160.0","846,847.0","959,216.0","1,041,544.0","1,137,495.0","1,163,674.0","1,232,602.0","1,336,810.0","1,430,963.0","1,484,671.0","1,543,564.0","1,685,175.0","1,824,243.0","1,908,526.0","1,943,913.0","2,015,128.0","2,103,360.0","2,226,905.0","2,348,303.0","2,485,513.0","2,630,220.0","2,755,524.0","2,929,328.0","3,069,989.0","3,115,883.0","3,089,144.0","3,153,713.0","3,269,031.0","3,422,918.0","3,600,740.0","3,794,707.0","3,818,553.0","3,820,284.0"
"24","6","    Change in private inventories","A014RC1","1,540.0","-223.0","-1,112.0","-2,351.0","-1,403.0","-580.0","1,140.0","1,161.0","2,625.0","-575.0","207.0","2,393.0","4,330.0","1,906.0","-746.0","-924.0","-1,476.0","6,011.0","-550.0","5,658.0","-2,692.0","5,770.0","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,157.0","30,767.0","70,999.0","63,719.0","60,816.0","54,544.0","-38,283.0","12,027.0","16,375.0","64,910.0","49,953.0","59,955.0","19,355.0","-34,752.0","-120,922.0"
"25","7","  Durable goods","A354RC1","18,029.0","11,852.0","8,060.0","3,847.0","5,125.0","7,654.0","9,512.0","12,474.0","14,228.0","10,174.0","12,968.0","16,957.0","25,937.0","30,588.0","44,296.0","46,844.0","38,419.0","37,907.0","47,126.0","49,706.0","48,177.0","59,114.0","68,957.0","66,501.0","73,171.0","66,278.0","81,165.0","83,226.0","86,697.0","76,123.0","91,442.0","94,199.0","92,548.0","105,381.0","111,234.0","123,088.0","137,825.0","155,440.0","154,821.0","167,344.0","181,648.0","178,359.0","189,573.0","214,789.0","256,612.0","273,231.0","285,747.0","341,742.0","384,045.0","443,090.0","496,748.0","509,980.0","562,170.0","536,466.0","594,752.0","707,327.0","732,245.0","756,447.0","808,212.0","886,004.0","959,759.0","980,884.0","953,968.0","1,007,775.0","1,090,058.0","1,185,548.0","1,259,497.0","1,340,078.0","1,470,733.0","1,563,535.0","1,671,203.0","1,770,007.0","1,687,031.0","1,696,519.0","1,707,285.0","1,785,237.0","1,891,107.0","1,977,397.0","2,047,700.0","2,042,272.0","1,815,258.0"
"26","8","    Final sales","A326RC1","16,613.0","12,868.0","9,305.0","5,889.0","5,615.0","7,521.0","9,173.0","11,531.0","13,460.0","11,039.0","12,673.0","15,743.0","22,887.0","29,565.0","44,285.0","47,482.0","39,676.0","32,586.0","45,684.0","48,692.0","49,980.0","55,483.0","62,872.0","65,341.0","71,652.0","68,822.0","77,770.0","81,092.0","86,183.0","78,901.0","88,576.0","92,536.0","92,602.0","101,960.0","108,600.0","119,262.0","131,582.0","145,412.0","149,973.0","162,798.0","175,683.0","178,588.0","186,660.0","208,430.0","243,597.0","262,366.0","293,218.0","330,940.0","374,565.0","424,875.0","483,935.0","512,326.0","554,846.0","552,500.0","592,297.0","665,894.0","727,854.0","758,310.0","785,265.0","863,261.0","939,728.0","973,186.0","967,575.0","1,010,730.0","1,072,946.0","1,149,843.0","1,225,942.0","1,321,001.0","1,430,740.0","1,524,230.0","1,633,802.0","1,734,429.0","1,731,480.0","1,678,852.0","1,694,238.0","1,747,974.0","1,855,887.0","1,951,457.0","2,040,129.0","2,031,974.0","1,909,197.0"
"27","9","    Change in private inventories \1\","A355RC1","1,416.0","-1,016.0","-1,245.0","-2,042.0","-490.0","133.0","339.0","943.0","768.0","-865.0","295.0","1,214.0","3,050.0","1,023.0","11.0","-638.0","-1,257.0","5,321.0","1,442.0","1,014.0","-1,803.0","3,631.0","6,085.0","1,160.0","1,519.0","-2,544.0","3,395.0","2,134.0","514.0","-2,778.0","2,866.0","1,663.0","-54.0","3,421.0","2,634.0","3,826.0","6,243.0","10,028.0","4,848.0","4,546.0","5,965.0","-229.0","2,913.0","6,359.0","13,015.0","10,865.0","-7,471.0","10,802.0","9,480.0","18,215.0","12,813.0","-2,346.0","7,324.0","-16,034.0","2,455.0","41,433.0","4,391.0","-1,863.0","22,947.0","22,743.0","20,031.0","7,698.0","-13,607.0","-2,955.0","17,112.0","35,705.0","33,555.0","19,077.0","39,993.0","39,305.0","37,401.0","35,578.0","-44,449.0","17,667.0","13,047.0","37,263.0","35,220.0","25,940.0","7,571.0","10,298.0","-93,939.0"
"28","10","  Nondurable goods","A356RC1","33,991.0","31,397.0","25,866.0","19,970.0","19,153.0","23,272.0","26,578.0","29,066.0","32,356.0","30,342.0","30,648.0","33,394.0","38,058.0","43,564.0","46,551.0","50,936.0","58,103.0","72,968.0","79,081.0","89,073.0","81,936.0","85,568.0","97,093.0","99,676.0","99,297.0","101,729.0","107,403.0","113,946.0","118,477.0","123,877.0","127,604.0","133,283.0","138,035.0","142,000.0","147,270.0","154,733.0","166,493.0","181,646.0","190,548.0","203,445.0","215,923.0","230,383.0","243,073.0","257,229.0","290,494.0","314,808.0","342,846.0","364,903.0","389,439.0","429,548.0","480,452.0","525,233.0","605,134.0","612,294.0","632,099.0","694,888.0","720,542.0","734,795.0","762,501.0","817,653.0","892,177.0","942,188.0","989,551.0","1,023,681.0","1,034,116.0","1,105,141.0","1,119,963.0","1,176,202.0","1,230,486.0","1,255,708.0","1,318,941.0","1,354,526.0","1,390,568.0","1,404,652.0","1,462,803.0","1,548,705.0","1,581,764.0","1,683,298.0","1,766,362.0","1,741,529.0","1,884,104.0"
"29","11","    Final sales","A334RC1","33,867.0","30,604.0","25,733.0","20,279.0","20,066.0","23,985.0","25,777.0","28,848.0","30,499.0","30,052.0","30,736.0","32,215.0","36,778.0","42,681.0","47,308.0","51,222.0","58,322.0","72,278.0","81,073.0","84,429.0","82,825.0","83,429.0","93,268.0","97,322.0","98,868.0","101,122.0","105,811.0","112,130.0","118,214.0","121,465.0","126,553.0","131,714.0","135,007.0","139,320.0","144,283.0","153,738.0","163,489.0","178,038.0","185,530.0","198,938.0","212,715.0","228,153.0","237,730.0","254,481.0","287,631.0","311,683.0","341,631.0","358,589.0","376,595.0","421,972.0","475,281.0","529,218.0","582,649.0","611,174.0","640,305.0","670,916.0","703,109.0","726,361.0","758,299.0","821,914.0","884,515.0","935,340.0","976,338.0","1,004,398.0","1,030,414.0","1,077,062.0","1,122,361.0","1,164,512.0","1,199,480.0","1,231,294.0","1,295,526.0","1,335,560.0","1,384,403.0","1,410,292.0","1,459,475.0","1,521,057.0","1,567,031.0","1,649,283.0","1,754,578.0","1,786,579.0","1,911,087.0"
"30","12","    Change in private inventories \1\","A357RC1","124.0","793.0","133.0","-309.0","-913.0","-713.0","801.0","218.0","1,857.0","290.0","-88.0","1,179.0","1,280.0","883.0","-757.0","-286.0","-219.0","690.0","-1,992.0","4,644.0","-889.0","2,139.0","3,825.0","2,354.0","429.0","607.0","1,592.0","1,816.0","263.0","2,412.0","1,051.0","1,569.0","3,028.0","2,680.0","2,987.0","995.0","3,004.0","3,608.0","5,018.0","4,507.0","3,208.0","2,230.0","5,343.0","2,748.0","2,863.0","3,125.0","1,215.0","6,314.0","12,844.0","7,576.0","5,171.0","-3,985.0","22,485.0","1,120.0","-8,206.0","23,972.0","17,433.0","8,434.0","4,202.0","-4,261.0","7,662.0","6,848.0","13,213.0","19,283.0","3,702.0","28,079.0","-2,398.0","11,690.0","31,006.0","24,414.0","23,415.0","18,966.0","6,165.0","-5,640.0","3,328.0","27,648.0","14,733.0","34,015.0","11,784.0","-45,050.0","-26,983.0"
"31","13","Services \2\","A341RC1","39,642.0","38,296.0","35,490.0","30,857.0","28,752.0","30,670.0","32,257.0","34,982.0","37,278.0","37,779.0","39,478.0","41,357.0","49,266.0","71,257.0","97,598.0","115,005.0","118,997.0","94,649.0","94,986.0","100,870.0","107,251.0","111,930.0","133,658.0","150,570.0","162,629.0","165,683.0","174,413.0","185,587.0","200,344.0","211,169.0","225,039.0","237,032.0","250,566.0","270,426.0","286,585.0","307,378.0","330,100.0","362,578.0","397,465.0","439,095.0","478,594.0","519,886.0","565,767.0","618,960.0","672,217.0","745,777.0","842,417.0","926,785.0","1,029,881.0","1,147,184.0","1,271,688.0","1,431,636.0","1,606,917.0","1,759,896.0","1,939,059.0","2,102,909.0","2,305,934.0","2,488,697.0","2,668,048.0","2,881,734.0","3,101,165.0","3,343,942.0","3,548,627.0","3,788,123.0","3,985,056.0","4,187,151.0","4,396,650.0","4,625,484.0","4,882,540.0","5,159,728.0","5,485,119.0","5,877,969.0","6,208,651.0","6,535,494.0","6,891,682.0","7,319,264.0","7,802,113.0","8,285,505.0","8,810,815.0","9,265,399.0","9,395,485.0"
"32","14","Structures","A755RC1","11,946.0","9,668.0","7,074.0","4,047.0","3,372.0","4,384.0","4,957.0","7,244.0","8,005.0","7,829.0","9,076.0","9,722.0","13,480.0","16,500.0","10,162.0","6,974.0","7,530.0","16,704.0","22,902.0","29,470.0","29,869.0","37,132.0","39,553.0","41,552.0","44,230.0","46,664.0","51,738.0","54,669.0","55,537.0","56,001.0","62,543.0","61,924.0","63,609.0","67,849.0","72,671.0","78,439.0","84,697.0","88,028.0","89,611.0","99,958.0","108,267.0","109,698.0","128,404.0","146,907.0","162,946.0","165,636.0","166,690.0","191,153.0","226,765.0","273,940.0","313,341.0","321,294.0","352,617.0","344,538.0","368,696.0","425,771.0","458,749.0","480,128.0","497,592.0","515,033.0","529,045.0","533,510.0","499,949.0","522,727.0","558,121.0","607,320.0","638,546.0","696,692.0","748,604.0","814,524.0","878,221.0","948,980.0","999,917.0","1,005,650.0","1,080,373.0","1,214,548.0","1,363,397.0","1,452,717.0","1,452,750.0","1,392,215.0","1,161,424.0"
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","15","  Motor vehicle output","A953RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","34,710.0","43,792.0","44,679.0","37,189.0","49,781.0","54,982.0","63,588.0","58,678.0","57,332.0","78,806.0","96,397.0","106,527.0","106,173.0","87,084.0","100,434.0","96,561.0","128,776.0","160,813.0","182,291.0","187,347.0","188,886.0","200,946.0","210,403.0","194,956.0","180,659.0","205,572.0","232,608.0","272,804.0","277,835.0","293,444.0","319,729.0","340,353.0","375,281.0","369,375.0","349,571.0","387,127.0","382,164.0","398,851.0","418,937.0","412,668.0","403,890.0","321,216.0","247,848.0"
