"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1946 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2010 9:59:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"19",NA,"          Monetary interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Monetary interest paid","A2061C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","46,051.0","48,568.0","54,414.0","60,402.0","67,150.0","74,436.0","84,105.0","92,205.0","104,636.0","123,383.0","141,758.0","151,022.0","168,569.0","213,535.0","266,990.0","276,131.0","298,217.0","338,109.0","412,828.0","537,851.0","688,211.0","915,482.0","1,028,203.0","1,015,750.0","1,182,438.0","1,263,060.0","1,312,171.0","1,373,710.0","1,545,522.0","1,822,808.0","1,855,486.0","1,752,458.0","1,567,752.0","1,497,325.0","1,621,582.0","1,865,091.0","1,948,552.0","2,110,945.0","2,295,069.0","2,379,884.0","2,796,584.0","2,685,571.0","2,282,557.0","2,147,854.0","2,346,762.0","3,010,109.0","3,871,400.0","4,472,979.0","3,731,199.0"
"21","2","  Domestic business \1\","A2062C1","3,946.0","4,410.0","4,952.0","5,534.0","6,027.0","6,944.0","7,871.0","8,699.0","9,489.0","10,677.0","12,260.0","14,463.0","15,902.0","17,936.0","20,436.0","22,022.0","25,280.0","28,453.0","31,914.0","35,992.0","42,092.0","47,290.0","54,432.0","67,337.0","80,073.0","84,971.0","95,562.0","127,509.0","167,373.0","167,720.0","174,725.0","196,780.0","241,680.0","325,274.0","426,848.0","585,748.0","646,904.0","604,441.0","697,389.0","738,212.0","754,203.0","792,651.0","913,278.0","1,116,906.0","1,103,481.0","991,721.0","826,668.0","767,480.0","859,133.0","1,008,206.0","1,050,877.0","1,161,520.0","1,307,737.0","1,378,008.0","1,697,033.0","1,623,541.0","1,273,646.0","1,147,004.0","1,286,676.0","1,757,536.0","2,392,986.0","2,816,078.0","2,199,473.0"
"22","3","    Corporate business","A2063C1","2,712.0","3,027.0","3,349.0","3,737.0","3,980.0","4,571.0","5,262.0","5,899.0","6,454.0","7,302.0","8,554.0","10,329.0","11,403.0","13,015.0","15,120.0","16,244.0","18,971.0","21,571.0","24,090.0","27,443.0","32,672.0","37,035.0","43,131.0","54,357.0","65,289.0","68,180.0","76,243.0","104,198.0","139,184.0","136,421.0","140,620.0","158,747.0","197,514.0","270,006.0","358,545.0","501,928.0","552,920.0","505,953.0","582,715.0","611,937.0","617,809.0","659,876.0","766,064.0","948,976.0","936,889.0","831,548.0","681,630.0","627,760.0","711,601.0","852,541.0","888,235.0","982,840.0","1,107,086.0","1,172,489.0","1,453,495.0","1,370,437.0","1,053,531.0","926,056.0","1,047,459.0","1,433,469.0","1,987,466.0","2,320,116.0","1,858,746.0"
"23","4","      Financial","A1100C1","870.0","1,009.0","1,133.0","1,308.0","1,427.0","1,613.0","1,950.0","2,363.0","2,683.0","3,158.0","3,851.0","4,853.0","5,426.0","6,278.0","7,564.0","8,183.0","9,971.0","11,664.0","13,305.0","15,521.0","18,533.0","20,789.0","23,967.0","29,365.0","34,589.0","36,526.0","42,067.0","60,850.0","83,649.0","80,383.0","83,622.0","94,471.0","118,704.0","166,997.0","225,987.0","330,852.0","368,986.0","331,259.0","379,972.0","392,626.0","383,108.0","416,706.0","486,781.0","611,787.0","590,634.0","497,334.0","389,496.0","355,175.0","422,027.0","522,106.0","538,465.0","598,188.0","706,870.0","738,824.0","943,705.0","873,475.0","614,348.0","511,052.0","630,846.0","952,943.0","1,426,007.0","1,679,384.0","1,252,822.0"
"24","5","        On deposits \2\","B1305C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,654.0","5,507.0","6,222.0","7,767.0","9,049.0","10,384.0","12,077.0","14,122.0","16,219.0","18,195.0","20,130.0","21,808.0","25,505.0","29,660.0","38,266.0","49,240.0","51,065.0","55,426.0","62,660.0","74,498.0","95,410.0","125,211.0","173,232.0","187,295.0","175,117.0","203,632.0","200,330.0","186,731.0","176,288.0","195,504.0","228,603.0","222,673.0","192,768.0","129,416.0","99,007.0","96,743.0","126,371.0","131,557.0","139,680.0","146,189.0","142,025.0","173,082.0","160,950.0","107,974.0","82,391.0","77,480.0","123,875.0","194,283.0","239,423.0","178,610.0"
"25","6","        On other liabilities","B1306C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,624.0","2,057.0","1,961.0","2,204.0","2,615.0","2,921.0","3,444.0","4,411.0","4,570.0","5,772.0","9,235.0","12,781.0","11,021.0","12,407.0","22,584.0","34,409.0","29,318.0","28,196.0","31,811.0","44,206.0","71,587.0","100,776.0","157,620.0","181,691.0","156,142.0","176,340.0","192,296.0","196,377.0","240,418.0","291,277.0","383,184.0","367,962.0","304,565.0","260,079.0","256,168.0","325,284.0","395,735.0","406,908.0","458,508.0","560,681.0","596,799.0","770,623.0","712,525.0","506,374.0","428,661.0","553,366.0","829,068.0","1,231,724.0","1,439,961.0","1,074,212.0"
"26","7","      Nonfinancial","B1101C1","1,842.0","2,018.0","2,216.0","2,429.0","2,553.0","2,958.0","3,312.0","3,536.0","3,771.0","4,144.0","4,703.0","5,476.0","5,977.0","6,737.0","7,556.0","8,061.0","9,000.0","9,907.0","10,785.0","11,922.0","14,139.0","16,246.0","19,164.0","24,992.0","30,700.0","31,654.0","34,176.0","43,348.0","55,535.0","56,038.0","56,998.0","64,276.0","78,810.0","103,009.0","132,558.0","171,076.0","183,934.0","174,694.0","202,743.0","219,311.0","234,701.0","243,170.0","279,283.0","337,189.0","346,255.0","334,214.0","292,134.0","272,585.0","289,574.0","330,435.0","349,770.0","384,652.0","400,216.0","433,665.0","509,790.0","496,962.0","439,183.0","415,004.0","416,613.0","480,526.0","561,459.0","640,732.0","605,924.0"
"27","8","    Sole proprietorships and partnerships","A2064C1","639.0","757.0","871.0","947.0","1,061.0","1,249.0","1,352.0","1,401.0","1,476.0","1,652.0","1,838.0","2,020.0","2,178.0","2,417.0","2,602.0","2,822.0","3,131.0","3,402.0","3,991.0","4,372.0","4,901.0","5,489.0","6,149.0","7,434.0","8,656.0","10,031.0","11,770.0","14,709.0","18,414.0","20,190.0","21,863.0","24,393.0","29,023.0","38,153.0","48,804.0","61,992.0","70,670.0","74,004.0","87,221.0","95,364.0","101,535.0","95,362.0","106,904.0","124,141.0","121,277.0","114,261.0","103,290.0","102,604.0","112,492.0","121,191.0","129,174.0","145,379.0","167,375.0","171,224.0","206,975.0","216,206.0","182,232.0","182,109.0","197,143.0","277,651.0","353,574.0","438,971.0","279,372.0"
"28","9","      Farm","B1103C1","325.0","361.0","411.0","452.0","503.0","588.0","656.0","652.0","660.0","702.0","758.0","811.0","892.0","1,004.0","1,098.0","1,147.0","1,262.0","1,269.0","1,542.0","1,699.0","1,913.0","2,129.0","2,290.0","2,489.0","2,769.0","2,909.0","3,206.0","3,734.0","4,554.0","5,057.0","5,883.0","6,751.0","8,183.0","10,440.0","12,954.0","15,812.0","17,273.0","17,017.0","16,674.0","15,432.0","13,370.0","12,128.0","11,111.0","10,460.0","9,888.0","8,861.0","8,354.0","7,968.0","8,704.0","8,984.0","9,358.0","9,477.0","9,509.0","9,483.0","9,945.0","8,969.0","8,737.0","7,799.0","7,584.0","8,992.0","9,378.0","10,073.0","9,809.0"
"29","10","      Nonfarm","B1102C1","314.0","396.0","460.0","495.0","558.0","661.0","696.0","749.0","816.0","950.0","1,080.0","1,209.0","1,286.0","1,413.0","1,504.0","1,675.0","1,869.0","2,133.0","2,449.0","2,673.0","2,988.0","3,360.0","3,859.0","4,945.0","5,887.0","7,122.0","8,564.0","10,975.0","13,860.0","15,133.0","15,980.0","17,642.0","20,840.0","27,713.0","35,850.0","46,180.0","53,397.0","56,987.0","70,547.0","79,932.0","88,165.0","83,234.0","95,793.0","113,681.0","111,389.0","105,400.0","94,936.0","94,636.0","103,788.0","112,207.0","119,816.0","135,902.0","157,866.0","161,741.0","197,030.0","207,237.0","173,495.0","174,310.0","189,559.0","268,659.0","344,196.0","428,898.0","269,563.0"
"30","11","    Other private business","A2065C1","596.0","627.0","732.0","850.0","986.0","1,124.0","1,257.0","1,400.0","1,559.0","1,722.0","1,868.0","2,114.0","2,321.0","2,504.0","2,714.0","2,956.0","3,178.0","3,480.0","3,833.0","4,177.0","4,520.0","4,766.0","5,151.0","5,546.0","6,127.0","6,760.0","7,548.0","8,602.0","9,775.0","11,109.0","12,242.0","13,640.0","15,143.0","17,115.0","19,498.0","21,828.0","23,313.0","24,485.0","27,453.0","30,911.0","34,859.0","37,413.0","40,310.0","43,789.0","45,315.0","45,912.0","41,748.0","37,116.0","35,040.0","34,474.0","33,468.0","33,301.0","33,276.0","34,295.0","36,563.0","36,898.0","37,883.0","38,839.0","42,074.0","46,416.0","51,946.0","56,991.0","61,355.0"
