"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"24","5","    Nondurable","A339RC1","7,535.0","7,709.0","7,864.0","7,432.0","7,264.0","6,509.0","6,571.0","6,196.0","6,855.0","6,601.0","5,957.0","5,075.0","4,823.0","4,887.0","5,123.0","5,711.0","6,420.0","7,669.0","8,402.0","7,973.0","7,870.0","6,599.0","5,818.0","5,749.0","5,387.0","5,465.0","5,711.0","5,481.0","5,196.0","6,106.0","5,784.0","6,102.0","6,219.0","5,905.0","6,325.0","6,423.0","7,044.0","7,618.0","7,996.0","8,450.0","9,120.0","8,874.0","8,580.0","8,002.0","7,333.0","7,594.0","7,543.0","7,182.0","7,008.0","7,124.0","8,116.0","7,816.0","9,032.0","9,052.0","9,176.0","9,456.0","9,680.0","8,844.0","9,432.0","9,704.0","9,436.0","10,128.0","10,072.0","9,316.0","9,616.0","10,848.0","10,864.0","11,376.0","12,044.0","11,756.0","11,996.0","12,328.0","10,336.0","12,612.0","12,144.0","13,056.0","13,168.0","12,988.0","13,204.0","13,520.0","13,928.0","13,674.0","13,562.0","13,776.0","14,204.0","13,896.0","14,870.0","14,108.0","11,182.0","15,950.0","14,952.0","16,218.0","16,756.0","17,040.0","17,548.0","18,362.0","18,138.0","17,926.0","20,244.0","15,728.0","19,704.0","19,130.0","20,636.0","23,544.0","27,480.0","30,618.0","33,182.0","38,968.0","42,300.0","44,784.0","44,080.0","46,916.0","50,004.0","42,174.0","43,660.0","47,454.0","47,084.0","48,048.0","49,244.0","50,528.0","50,928.0","53,406.0","53,006.0","49,102.0","50,732.0","61,935.0","63,327.0","64,560.0","65,760.0","71,519.0","80,307.0","86,511.0","86,785.0","90,624.0","96,104.0","96,303.0","103,503.0","96,295.0","96,127.0","100,000.0","95,539.0","95,579.0","86,917.0","83,271.0","84,427.0","83,806.0","88,649.0","90,754.0","90,501.0","93,722.0","94,942.0","93,826.0","89,097.0","83,552.0","81,972.0","85,361.0","83,151.0","79,987.0","83,293.0","87,103.0","85,839.0","91,932.0","99,013.0","101,658.0","109,258.0","114,676.0","122,002.0","122,086.0","125,188.0","134,764.0","128,786.0","129,454.0","131,430.0","133,455.0","133,788.0","139,980.0","145,159.0","139,269.0","138,073.0","142,635.0","144,373.0","147,743.0","149,646.0","147,988.0","145,261.0","146,790.0","143,468.0","148,328.0","146,583.0","154,316.0","165,013.0","175,876.0","182,532.0","188,024.0","194,397.0","192,078.0","196,890.0","195,853.0","195,283.0","200,730.0","201,143.0","205,407.0","206,937.0","208,003.0","200,256.0","194,802.0","189,521.0","192,642.0","186,327.0","190,165.0","196,045.0","203,160.0","206,687.0","210,652.0","223,204.0","219,891.0","218,659.0","213,867.0","205,838.0","202,055.0","203,512.0","211,658.0","216,098.0","215,790.0","227,202.0","223,899.0","229,030.0","237,855.0","245,999.0","253,807.0","255,145.0","268,163.0","275,569.0","287,728.0","280,157.0","281,457.0","299,442.0","313,190.0","321,220.0","327,332.0","334,483.0","350,372.0","371,141.0","394,409.0","428,097.0","473,403.0","481,826.0","392,971.0","344,823.0","361,053.0","381,054.0","407,904.0"
"25","6","  Services \1\","A646RC1","2,666.0","2,765.0","2,641.0","2,500.0","2,341.0","2,237.0","2,277.0","2,273.0","2,406.0","2,479.0","2,231.0","1,967.0","2,080.0","2,120.0","2,113.0","2,275.0","2,535.0","2,813.0","2,956.0","3,120.0","3,263.0","3,141.0","2,846.0","2,789.0","2,996.0","2,888.0","2,891.0","2,828.0","2,836.0","2,818.0","2,978.0","2,997.0","3,093.0","3,142.0","3,365.0","3,413.0","3,465.0","3,686.0","3,770.0","3,992.0","4,279.0","4,285.0","4,343.0","4,914.0","3,974.0","4,218.0","4,147.0","4,243.0","6,249.0","6,648.0","5,962.0","6,210.0","6,465.0","7,150.0","6,116.0","6,636.0","6,255.0","7,380.0","6,239.0","6,746.0","7,072.0","8,428.0","6,686.0","7,243.0","7,781.0","8,979.0","6,863.0","7,323.0","8,118.0","8,801.0","7,877.0","8,421.0","8,693.0","10,315.0","9,019.0","9,397.0","9,046.0","11,380.0","9,777.0","10,533.0","11,519.0","11,276.0","10,795.0","11,580.0","11,938.0","12,450.0","12,897.0","13,294.0","12,334.0","13,967.0","13,856.0","14,487.0","13,889.0","15,561.0","15,510.0","15,694.0","17,206.0","17,379.0","16,945.0","18,094.0","18,943.0","18,284.0","19,629.0","19,341.0","19,599.0","20,987.0","21,960.0","22,836.0","23,657.0","26,056.0","25,390.0","27,573.0","29,333.0","30,883.0","26,950.0","29,143.0","30,072.0","30,353.0","32,791.0","33,764.0","34,026.0","35,730.0","36,193.0","36,837.0","39,572.0","40,113.0","42,031.0","44,221.0","44,678.0","45,183.0","46,240.0","48,252.0","50,685.0","53,197.0","57,776.0","58,310.0","63,269.0","66,447.0","68,155.0","66,670.0","68,344.0","68,770.0","68,030.0","67,664.0","69,986.0","69,715.0","70,777.0","68,303.0","74,698.0","77,562.0","77,371.0","77,363.0","79,740.0","79,627.0","78,166.0","81,578.0","91,453.0","91,156.0","95,653.0","99,066.0","102,342.0","106,339.0","107,412.0","108,776.0","113,766.0","117,500.0","121,014.0","120,116.0","129,204.0","131,071.0","135,787.0","139,092.0","146,899.0","151,810.0","157,537.0","165,699.0","160,245.0","171,055.0","176,240.0","184,546.0","186,391.0","186,330.0","188,664.0","186,651.0","192,797.0","195,818.0","197,019.0","196,974.0","203,574.0","209,857.0","213,038.0","216,075.0","218,471.0","222,122.0","234,878.0","238,937.0","239,456.0","247,047.0","244,266.0","266,571.0","260,862.0","267,954.0","270,005.0","268,087.0","269,305.0","274,999.0","269,248.0","278,459.0","285,156.0","290,714.0","294,934.0","297,681.0","303,310.0","312,152.0","308,226.0","311,896.0","308,142.0","306,777.0","292,696.0","278,374.0","293,955.0","299,662.0","304,965.0","312,272.0","303,497.0","300,969.0","317,867.0","334,463.0","351,696.0","359,492.0","361,288.0","380,497.0","390,729.0","392,443.0","400,804.0","411,912.0","428,911.0","439,550.0","445,328.0","472,779.0","483,448.0","492,744.0","528,617.0","561,168.0","556,336.0","575,269.0","574,589.0","550,546.0","519,838.0","515,609.0","528,515.0","539,565.0"
"26","7","Income receipts","B645RC1","1,444.0","1,560.0","1,592.0","1,792.0","1,924.0","2,024.0","2,132.0","2,044.0","2,052.0","1,976.0","1,940.0","1,808.0","1,936.0","2,048.0","2,368.0","2,392.0","2,400.0","2,760.0","2,860.0","3,004.0","2,814.0","2,892.0","2,865.0","2,857.0","2,825.0","2,967.0","2,756.0","2,824.0","2,955.0","2,946.0","2,972.0","3,282.0","3,398.0","3,463.0","3,541.0","3,626.0","3,969.0","3,935.0","4,093.0","3,735.0","4,280.0","4,561.0","4,461.0","3,770.0","3,886.0","3,866.0","3,839.0","3,885.0","3,962.0","4,057.0","4,379.0","4,678.0","4,769.0","4,792.0","4,934.0","5,057.0","5,300.0","5,141.0","5,316.0","5,470.0","5,404.0","5,831.0","5,909.0","6,617.0","6,419.0","6,347.0","6,541.0","6,813.0","7,288.0","7,168.0","7,353.0","7,146.0","7,924.0","8,191.0","7,888.0","7,521.0","7,799.0","7,936.0","8,070.0","8,480.0","8,453.0","8,319.0","8,931.0","9,026.0","9,516.0","9,987.0","10,389.0","10,516.0","11,084.0","11,534.0","12,060.0","12,438.0","12,872.0","13,175.0","13,024.0","12,261.0","13,285.0","14,074.0","13,952.0","14,733.0","15,192.0","15,746.0","16,684.0","17,490.0","20,281.0","22,422.0","25,233.0","26,228.0","29,670.0","30,328.0","30,462.0","28,820.0","26,925.0","26,529.0","28,088.0","30,554.0","31,384.0","32,254.0","32,554.0","33,260.0","35,780.0","36,953.0","38,130.0","37,937.0","42,472.0","42,584.0","46,239.0","53,712.0","57,618.0","64,106.0","73,413.0","78,147.0","83,574.0","79,623.0","74,869.0","78,302.0","85,740.0","89,746.0","95,908.0","96,702.0","98,324.0","107,183.0","101,450.0","97,016.0","93,804.0","98,792.0","105,241.0","109,690.0","114,835.0","123,208.0","127,291.0","122,125.0","112,284.0","114,212.0","109,814.0","113,455.0","116,190.0","111,816.0","108,870.0","107,112.0","111,985.0","120,923.0","125,398.0","132,948.0","145,006.0","145,990.0","152,944.0","162,549.0","170,858.0","179,185.0","178,155.0","180,480.0","183,374.0","184,186.0","184,405.0","202,075.0","186,553.0","167,761.0","161,296.0","156,954.0","154,587.0","156,840.0","148,648.0","147,113.0","151,606.0","154,042.0","157,002.0","158,205.0","164,969.0","175,679.0","190,527.0","205,209.0","220,722.0","231,132.0","229,288.0","235,926.0","239,931.0","238,659.0","245,178.0","259,556.0","269,638.0","282,445.0","285,542.0","280,383.0","289,315.0","292,647.0","281,564.0","281,378.0","293,204.0","309,079.0","328,591.0","346,995.0","361,509.0","384,021.0","377,389.0","399,085.0","358,903.0","335,566.0","308,080.0","289,551.0","297,681.0","311,643.0","327,876.0","316,822.0","331,367.0","342,604.0","354,685.0","384,613.0","418,176.0","434,395.0","456,278.0","485,423.0","535,537.0","551,302.0","582,428.0","622,881.0","659,009.0","716,419.0","741,603.0","767,175.0","787,944.0","852,103.0","897,600.0","909,417.0","856,334.0","840,495.0","825,593.0","714,420.0","579,624.0","571,266.0","590,593.0","616,215.0"
"27","8","  Wage and salary receipts","B4188C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","876.0","892.0","920.0","944.0","984.0","992.0","1,000.0","1,000.0","996.0","988.0","996.0","1,000.0","996.0","996.0","1,024.0","1,052.0","1,128.0","1,168.0","1,168.0","1,224.0","1,272.0","1,276.0","1,300.0","1,312.0","1,720.0","1,752.0","1,824.0","1,888.0","1,740.0","1,784.0","1,848.0","1,908.0","1,860.0","1,900.0","1,972.0","2,040.0","2,172.0","2,176.0","2,188.0","2,180.0","2,176.0","2,176.0","2,188.0","2,184.0","2,268.0","2,264.0","2,276.0","2,272.0","2,360.0","2,400.0","2,464.0","2,524.0","2,780.0","2,788.0","2,696.0","2,728.0","2,888.0","2,756.0","2,872.0","2,824.0","2,996.0","2,820.0","2,884.0","2,816.0","2,904.0","2,764.0","2,792.0","2,784.0","2,748.0","2,700.0","2,860.0","2,944.0","2,768.0","2,688.0","2,864.0","2,968.0","2,820.0","2,900.0","2,908.0","2,932.0","2,892.0","2,908.0","2,852.0","2,880.0","2,924.0","2,948.0","2,980.0","3,028.0","3,056.0","3,068.0","3,060.0","2,996.0","2,988.0","2,972.0","2,944.0","3,004.0"
"28","9","  Income receipts on assets","W160RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","115,319.0","110,924.0","107,949.0","106,172.0","111,006.0","119,929.0","124,396.0","131,948.0","144,003.0","145,002.0","151,948.0","161,548.0","169,867.0","178,191.0","177,134.0","179,427.0","182,250.0","183,019.0","183,235.0","200,852.0","185,271.0","166,486.0","159,997.0","155,642.0","152,867.0","155,091.0","146,824.0","145,234.0","149,870.0","152,258.0","155,158.0","156,298.0","163,110.0","173,777.0","188,555.0","203,170.0","218,551.0","228,960.0","227,100.0","233,749.0","237,756.0","236,486.0","242,993.0","257,373.0","267,369.0","280,179.0","283,268.0","278,116.0","286,953.0","290,250.0","279,097.0","278,856.0","290,425.0","306,292.0","325,894.0","344,266.0","358,622.0","381,264.0","374,516.0","396,262.0","355,907.0","332,747.0","305,194.0","286,736.0","294,776.0","308,881.0","325,087.0","314,039.0","328,619.0","339,903.0","351,828.0","381,664.0","415,414.0","431,706.0","453,408.0","482,450.0","532,718.0","548,403.0","579,518.0","619,950.0","656,116.0","713,514.0","738,749.0","764,289.0","785,020.0","849,155.0","894,620.0","906,392.0","853,280.0","837,427.0","822,535.0","711,424.0","576,636.0","568,289.0","587,643.0","613,211.0"
"29","10","    Interest","A2067C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","64,947.0","61,216.0","60,645.0","58,684.0","57,974.0","60,889.0","63,716.0","69,008.0","75,959.0","71,890.0","80,608.0","87,724.0","95,491.0","102,423.0","101,494.0","103,171.0","101,766.0","101,439.0","104,499.0","117,976.0","102,887.0","91,418.0","88,449.0","82,686.0","74,367.0","71,699.0","68,544.0","72,094.0","63,642.0","64,778.0","64,442.0","64,930.0","67,778.0","73,629.0","79,691.0","89,414.0","97,255.0","99,708.0","100,704.0","101,237.0","102,976.0","101,558.0","104,569.0","108,069.0","114,109.0","120,747.0","122,544.0","129,548.0","136,537.0","137,566.0","139,453.0","134,456.0","129,670.0","135,063.0","142,623.0","152,296.0","161,098.0","177,528.0","178,284.0","183,830.0","164,692.0","146,461.0","129,140.0","109,971.0","103,099.0","106,595.0","107,852.0","107,622.0","99,242.0","103,710.0","101,714.0","100,682.0","100,737.0","108,558.0","120,684.0","140,309.0","159,468.0","173,833.0","195,255.0","215,812.0","245,542.0","277,508.0","297,558.0","314,272.0","327,424.0","359,165.0","372,850.0","357,555.0","287,559.0","263,777.0","264,043.0","232,315.0","174,487.0","158,372.0","146,878.0","144,678.0"
"30","11","    Dividends","B3375C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","26,852.0","23,344.0","31,712.0","29,584.0","25,148.0","28,564.0","29,860.0","28,076.0","46,836.0","50,008.0","33,964.0","49,704.0","45,152.0","42,320.0","44,760.0","59,280.0","43,184.0","46,104.0","43,564.0","41,780.0","43,256.0","40,728.0","41,120.0","40,680.0","47,592.0","46,108.0","45,556.0","39,476.0","39,092.0","40,780.0","39,432.0","38,564.0","59,768.0","53,308.0","62,304.0","63,228.0","58,520.0","61,268.0","57,488.0","56,960.0","63,952.0","69,856.0","70,276.0","72,212.0","73,928.0","82,896.0","80,676.0","82,460.0","82,180.0","78,692.0","88,856.0","83,260.0","104,168.0","87,700.0","97,492.0","81,276.0","80,920.0","86,800.0","79,984.0","97,632.0","92,708.0","88,356.0","81,772.0","86,768.0","86,388.0","85,044.0","104,064.0","95,820.0","109,332.0","94,200.0","93,296.0","107,224.0","125,885.0","141,961.0","130,342.0","144,382.0","194,956.0","233,596.0","452,748.0","572,060.0","176,752.0","200,552.0","176,000.0","190,755.0","193,606.0","223,197.0","242,964.0","273,290.0","277,068.0","264,752.0","264,355.0","228,597.0","222,021.0","181,409.0","219,925.0","189,525.0"
"31","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","23,520.0","26,364.0","15,592.0","17,904.0","27,884.0","30,476.0","30,820.0","34,864.0","21,208.0","23,104.0","37,376.0","24,120.0","29,224.0","33,448.0","30,880.0","16,976.0","37,300.0","35,476.0","35,172.0","41,096.0","39,128.0","34,340.0","30,428.0","32,276.0","30,908.0","37,284.0","32,724.0","33,664.0","47,136.0","46,700.0","51,284.0","52,804.0","35,564.0","46,840.0","46,560.0","50,528.0","62,776.0","67,984.0","68,908.0","75,552.0","70,828.0","65,072.0","68,148.0","77,092.0","79,332.0","76,536.0","80,048.0","66,108.0","68,236.0","73,992.0","50,788.0","61,140.0","56,587.0","83,529.0","85,779.0","110,694.0","116,604.0","116,936.0","116,248.0","114,800.0","98,507.0","97,930.0","94,282.0","89,997.0","105,289.0","117,242.0","113,171.0","110,597.0","120,045.0","141,993.0","156,818.0","173,758.0","188,792.0","181,187.0","202,382.0","197,759.0","178,294.0","140,974.0","-68,485.0","-167,922.0","233,822.0","235,454.0","265,191.0","259,262.0","263,990.0","266,793.0","278,806.0","275,547.0","288,653.0","308,898.0","294,137.0","250,512.0","180,128.0","228,508.0","220,840.0","279,008.0"
"32","13","    Current payments to the rest of the world","W163RC1","10,441.0","11,188.0","10,948.0","11,631.0","13,933.0","14,249.0","16,605.0","15,873.0","15,950.0","15,923.0","15,407.0","14,931.0","14,605.0","15,173.0","17,350.0","18,412.0","19,161.0","19,539.0","18,730.0","18,506.0","17,979.0","18,355.0","19,173.0","19,420.0","19,308.0","19,998.0","19,698.0","18,931.0","17,875.0","19,056.0","18,934.0","18,983.0","20,196.0","20,642.0","20,887.0","21,556.0","22,403.0","22,594.0","22,900.0","22,280.0","23,659.0","24,132.0","23,318.0","23,206.0","22,959.0","23,603.0","23,397.0","24,599.0","27,287.0","28,721.0","28,425.0","28,632.0","29,050.0","29,919.0","28,281.0","27,795.0","27,422.0","28,556.0","28,792.0","30,011.0","30,617.0","31,747.0","30,729.0","31,733.0","31,609.0","33,452.0","32,535.0","33,036.0","33,288.0","35,223.0","34,598.0","36,053.0","35,234.0","40,289.0","38,869.0","41,086.0","42,523.0","45,492.0","45,726.0","46,990.0","48,076.0","48,303.0","48,193.0","50,091.0","53,358.0","55,127.0","58,446.0","58,972.0","53,453.0","64,804.0","63,948.0","66,183.0","65,994.0","68,538.0","69,807.0","70,934.0","72,019.0","77,106.0","79,690.0","77,836.0","88,862.0","87,651.0","91,736.0","96,401.0","102,035.0","108,937.0","110,334.0","118,491.0","129,861.0","154,333.0","156,791.0","161,013.0","150,405.0","141,902.0","143,797.0","151,462.0","161,820.0","169,881.0","181,923.0","185,510.0","199,156.0","207,701.0","208,312.0","214,681.0","232,081.0","241,655.0","248,927.0","260,389.0","271,097.0","287,712.0","305,258.0","334,399.0","362,749.0","347,166.0","331,384.0","364,112.0","389,538.0","398,029.0","391,172.0","396,805.0","390,874.0","384,473.0","395,121.0","379,542.0","372,401.0","398,944.0","431,331.0","453,046.0","486,345.0","513,332.0","523,472.0","534,150.0","507,113.0","528,712.0","526,657.0","552,614.0","556,494.0","567,884.0","579,259.0","592,425.0","599,598.0","630,303.0","651,036.0","681,796.0","690,235.0","694,895.0","712,072.0","747,769.0","761,571.0","778,622.0","767,987.0","782,522.0","811,037.0","803,466.0","822,505.0","825,189.0","714,717.0","745,359.0","776,512.0","790,878.0","803,725.0","824,152.0","842,779.0","858,779.0","853,145.0","882,016.0","884,961.0","937,316.0","938,230.0","990,264.0","1,048,443.0","1,101,153.0","1,119,837.0","1,147,492.0","1,158,793.0","1,158,807.0","1,189,619.0","1,206,104.0","1,237,513.0","1,277,323.0","1,319,933.0","1,338,563.0","1,382,254.0","1,412,251.0","1,417,147.0","1,435,754.0","1,441,378.0","1,484,248.0","1,495,569.0","1,559,302.0","1,640,470.0","1,707,398.0","1,799,972.0","1,864,197.0","1,926,084.0","1,946,177.0","1,878,868.0","1,777,549.0","1,717,941.0","1,595,220.0","1,677,608.0","1,771,475.0","1,805,617.0","1,817,726.0","1,877,202.0","1,872,492.0","1,909,678.0","1,982,494.0","2,093,299.0","2,219,690.0","2,274,108.0","2,426,449.0","2,492,473.0","2,553,644.0","2,625,264.0","2,803,154.0","2,862,576.0","2,983,459.0","3,070,884.0","3,045,015.0","3,152,184.0","3,216,775.0","3,267,602.0","3,332,879.0","3,377,399.0","3,495,337.0","3,475,759.0","3,041,692.0","2,498,450.0","2,454,505.0","2,589,849.0","2,772,023.0"
"33","14","Imports of goods and services","B021RC1","7,519.0","8,203.0","7,663.0","8,347.0","9,624.0","10,036.0","10,456.0","10,124.0","9,604.0","9,364.0","8,936.0","9,092.0","9,501.0","10,229.0","13,033.0","13,685.0","14,866.0","15,178.0","14,310.0","13,990.0","14,958.0","14,630.0","15,250.0","16,342.0","15,795.0","16,447.0","16,307.0","15,507.0","14,780.0","16,184.0","15,304.0","15,460.0","16,169.0","17,097.0","17,421.0","18,109.0","18,925.0","18,973.0","19,253.0","18,541.0","20,100.0","20,270.0","19,762.0","19,634.0","19,455.0","20,075.0","19,739.0","20,823.0","21,396.0","22,544.0","22,868.0","22,504.0","23,288.0","23,455.0","22,879.0","21,742.0","21,658.0","21,899.0","23,326.0","23,870.0","24,314.0","24,884.0","25,111.0","25,550.0","25,185.0","25,890.0","26,704.0","26,764.0","26,978.0","27,726.0","28,429.0","29,285.0","28,457.0","31,679.0","32,030.0","33,948.0","34,990.0","36,240.0","38,171.0","38,829.0","39,432.0","39,020.0","39,543.0","41,653.0","44,399.0","45,416.0","48,241.0","48,171.0","43,803.0","52,671.0","52,364.0","53,126.0","53,517.0","55,204.0","56,431.0","57,889.0","58,652.0","63,295.0","65,482.0","61,939.0","72,173.0","71,409.0","74,091.0","79,190.0","85,360.0","89,469.0","91,138.0","98,669.0","110,314.0","129,382.0","133,610.0","136,552.0","124,888.0","115,245.0","122,055.0","128,730.0","138,938.0","147,116.0","155,848.0","162,679.0","176,433.0","183,041.0","182,903.0","187,393.0","203,282.0","208,840.0","215,062.0","221,816.0","229,827.0","243,097.0","257,307.0","280,466.0","304,312.0","292,598.0","279,201.0","299,200.0","319,724.0","321,963.0","309,897.0","319,447.0","309,477.0","299,115.0","309,282.0","294,860.0","295,250.0","317,950.0","343,381.0","357,971.0","387,978.0","406,499.0","409,590.0","416,361.0","397,308.0","418,571.0","414,167.0","438,868.0","439,418.0","443,990.0","459,434.0","468,626.0","477,686.0","502,338.0","517,318.0","537,513.0","542,713.0","546,098.0","552,849.0","574,314.0","586,154.0","595,389.0","584,427.0","598,152.0","626,767.0","614,759.0","630,102.0","647,282.0","620,317.0","613,921.0","621,669.0","638,270.0","645,823.0","658,951.0","677,853.0","688,536.0","699,310.0","716,281.0","719,251.0","745,049.0","761,827.0","797,560.0","833,751.0","860,559.0","886,899.0","908,343.0","905,843.0","909,201.0","936,735.0","952,751.0","973,757.0","992,620.0","1,027,213.0","1,039,651.0","1,070,888.0","1,085,344.0","1,098,236.0","1,109,622.0","1,109,901.0","1,145,000.0","1,170,634.0","1,222,164.0","1,281,731.0","1,331,030.0","1,410,729.0","1,453,618.0","1,515,028.0","1,521,788.0","1,492,477.0","1,420,306.0","1,364,177.0","1,317,886.0","1,348,315.0","1,424,011.0","1,456,411.0","1,492,062.0","1,516,098.0","1,515,854.0","1,540,848.0","1,607,778.0","1,685,063.0","1,776,886.0","1,821,318.0","1,912,397.0","1,939,792.0","1,988,650.0","2,042,133.0","2,140,587.0","2,189,806.0","2,237,425.0","2,281,680.0","2,252,470.0","2,294,286.0","2,326,888.0","2,383,634.0","2,474,029.0","2,548,050.0","2,640,152.0","2,670,521.0","2,296,745.0","1,887,864.0","1,832,835.0","1,975,960.0","2,129,675.0"
