"","Table 5#7#5A# Private Inventories and Domestic Final Sales of Bu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Private inventories \1\","A371RC1","93,041.0","94,170.0","99,541.0","106,989.0","103,462.0","105,123.0","104,335.0","102,272.0","100,229.0","95,539.0","94,795.0","92,460.0","94,095.0","97,337.0","103,667.0","114,404.0","122,701.0","123,699.0","124,797.0","127,344.0","125,905.0","124,119.0","122,831.0","118,865.0","117,433.0","116,736.0","117,047.0","117,028.0","117,275.0","115,840.0","115,571.0","115,040.0","116,532.0","115,774.0","115,932.0","115,919.0","118,811.0","122,703.0","123,119.0","124,688.0","125,640.0","126,765.0","128,092.0","127,833.0","130,881.0","129,785.0","131,239.0","131,522.0","132,760.0","134,117.0","133,372.0","133,074.0","136,782.0","135,983.0","137,393.0","136,436.0","135,910.0","134,810.0","137,703.0","139,816.0","142,661.0","143,603.0","147,058.0","147,433.0","147,908.0","148,480.0","149,271.0","149,944.0","150,355.0","150,715.0","152,993.0","154,478.0","158,855.0","163,111.0","164,551.0","169,391.0","174,786.0","179,086.0","183,528.0","185,611.0","187,588.0","190,073.0","192,023.0","194,758.0","199,197.0","203,434.0","205,723.0","208,058.0","213,724.0","218,867.0","222,545.0","227,431.0","230,315.0","232,883.0","235,627.0","235,687.0","243,198.0","247,326.0","251,184.0","253,669.0","258,566.0","266,734.0","274,179.0","283,597.0","304,167.0","324,140.0","338,117.0","351,525.0","361,462.0","372,736.0","396,776.0","405,646.0","400,546.0","404,437.0","409,404.0","408,509.0","415,901.0","428,150.0","433,613.0","439,554.0","451,411.0","458,270.0","466,533.0","481,974.0","507,887.0","529,950.0","547,620.0","570,918.0","609,318.0","629,235.0","650,833.0","667,580.0","691,522.0","708,396.0","727,242.0","739,003.0","763,780.0","773,542.0","780,869.0","779,100.0","788,229.0","788,624.0","783,216.0","773,892.0","772,371.0","775,319.0","782,507.0","796,872.0","827,414.0","844,916.0","856,703.0","868,960.0","868,085.0","863,974.0","861,078.0","875,945.0","865,587.0","862,686.0","859,991.0","858,033.0","875,174.0","891,100.0","900,187.0","924,227.0","942,442.0","962,786.0","983,692.0","999,740.0","1,024,815.0","1,032,539.0","1,033,152.0","1,044,283.0","1,050,917.0","1,057,079.0","1,078,230.0","1,082,015.0","1,069,570.0","1,053,986.0","1,049,852.0","1,057,226.0","1,061,180.0","1,069,772.0","1,077,181.0","1,082,584.0","1,098,716.0","1,105,784.0","1,107,071.0","1,115,980.0","1,132,924.0","1,147,124.0","1,164,267.0","1,194,547.0","1,224,937.0","1,241,544.0","1,247,412.0","1,257,193.0","1,257,829.0","1,268,922.0","1,283,771.0","1,284,668.0","1,292,573.0","1,304,054.0","1,314,384.0","1,327,330.0"
"21","2","Farm \2\","B372RC1","48,832.0","49,080.0","53,945.0","59,287.0","54,058.0","54,544.0","51,630.0","48,834.0","47,696.0","45,349.0","45,190.0","43,561.0","44,723.0","46,548.0","49,521.0","54,556.0","58,306.0","56,599.0","56,937.0","58,792.0","56,809.0","56,264.0","54,095.0","49,493.0","47,310.0","45,329.0","44,564.0","45,541.0","46,310.0","45,524.0","45,578.0","45,038.0","45,371.0","43,021.0","41,091.0","38,783.0","39,441.0","41,317.0","40,438.0","40,305.0","40,213.0","40,800.0","41,116.0","41,473.0","45,749.0","46,125.0","47,530.0","46,643.0","46,669.0","45,637.0","44,085.0","42,290.0","43,287.0","41,936.0","42,441.0","42,899.0","43,191.0","42,107.0","43,599.0","44,588.0","45,680.0","45,426.0","47,164.0","46,965.0","46,388.0","45,899.0","45,118.0","44,423.0","43,339.0","42,259.0","42,625.0","42,243.0","43,623.0","45,606.0","44,602.0","47,186.0","48,896.0","49,275.0","50,029.0","47,330.0","45,765.0","47,017.0","46,363.0","45,682.0","47,717.0","49,396.0","49,431.0","48,794.0","50,295.0","52,618.0","51,735.0","52,845.0","53,715.0","53,761.0","53,459.0","52,392.0","55,552.0","56,545.0","57,736.0","59,288.0","61,507.0","65,673.0","68,445.0","73,736.0","84,463.0","94,231.0","101,956.0","102,170.0","96,234.0","87,944.0","94,198.0","87,557.0","84,734.0","91,083.0","92,117.0","89,485.0","89,534.0","90,750.0","86,350.0","85,325.0","85,857.0","85,705.0","84,534.0","90,552.0","102,019.0","108,226.0","113,618.0","119,267.0","137,153.0","134,535.0","137,657.0","134,949.0","130,234.0","133,833.0","141,379.0","140,343.0","140,267.0","140,994.0","134,603.0","127,365.0","136,663.0","137,474.0","131,400.0","131,317.0","138,224.0","136,325.0","128,236.0","131,736.0","137,945.0","134,826.0","129,794.0","131,401.0","129,703.0","123,209.0","121,259.0","125,751.0","120,583.0","116,621.0","115,079.0","112,973.0","117,634.0","118,624.0","120,298.0","119,854.0","125,954.0","127,001.0","132,262.0","130,657.0","132,983.0","129,275.0","127,203.0","129,555.0","131,818.0","130,408.0","129,998.0","133,135.0","134,764.0","129,539.0","123,124.0","123,227.0","130,234.0","130,383.0","131,592.0","133,067.0","136,579.0","133,636.0","130,902.0","132,287.0","140,218.0","132,122.0","130,851.0","134,526.0","132,810.0","129,379.0","128,352.0","131,116.0","130,608.0","137,427.0","143,966.0","136,553.0","137,939.0","137,747.0","138,245.0","136,896.0"
"22","3","Nonfarm","A373RC1","44,209.0","45,090.0","45,596.0","47,702.0","49,404.0","50,579.0","52,705.0","53,438.0","52,533.0","50,190.0","49,605.0","48,899.0","49,372.0","50,789.0","54,146.0","59,848.0","64,395.0","67,100.0","67,860.0","68,552.0","69,096.0","67,855.0","68,736.0","69,372.0","70,123.0","71,407.0","72,483.0","71,487.0","70,965.0","70,316.0","69,993.0","70,002.0","71,161.0","72,753.0","74,841.0","77,136.0","79,370.0","81,386.0","82,681.0","84,383.0","85,427.0","85,965.0","86,976.0","86,360.0","85,132.0","83,660.0","83,709.0","84,879.0","86,091.0","88,480.0","89,287.0","90,784.0","93,495.0","94,047.0","94,952.0","93,537.0","92,719.0","92,703.0","94,104.0","95,228.0","96,981.0","98,177.0","99,894.0","100,468.0","101,520.0","102,581.0","104,153.0","105,521.0","107,016.0","108,456.0","110,368.0","112,235.0","115,232.0","117,505.0","119,949.0","122,205.0","125,890.0","129,811.0","133,499.0","138,281.0","141,823.0","143,056.0","145,660.0","149,076.0","151,480.0","154,038.0","156,292.0","159,264.0","163,429.0","166,249.0","170,810.0","174,586.0","176,600.0","179,122.0","182,168.0","183,295.0","187,646.0","190,781.0","193,448.0","194,381.0","197,059.0","201,061.0","205,734.0","209,861.0","219,704.0","229,909.0","236,161.0","249,355.0","265,228.0","284,792.0","302,578.0","318,089.0","315,812.0","313,354.0","317,287.0","319,024.0","326,367.0","337,400.0","347,263.0","354,229.0","365,554.0","372,565.0","381,999.0","391,422.0","405,868.0","421,724.0","434,002.0","451,651.0","472,165.0","494,700.0","513,176.0","532,631.0","561,288.0","574,563.0","585,863.0","598,660.0","623,513.0","632,548.0","646,266.0","651,735.0","651,566.0","651,150.0","651,816.0","642,575.0","634,147.0","638,994.0","654,271.0","665,136.0","689,469.0","710,090.0","726,909.0","737,559.0","738,382.0","740,765.0","739,819.0","750,194.0","745,004.0","746,065.0","744,912.0","745,060.0","757,540.0","772,476.0","779,889.0","804,373.0","816,488.0","835,785.0","851,430.0","869,083.0","891,832.0","903,264.0","905,949.0","914,728.0","919,099.0","926,671.0","948,232.0","948,880.0","934,806.0","924,447.0","926,728.0","933,999.0","930,946.0","939,389.0","945,589.0","949,517.0","962,137.0","972,148.0","976,169.0","983,693.0","992,706.0","1,015,002.0","1,033,416.0","1,060,021.0","1,092,127.0","1,112,165.0","1,119,060.0","1,126,077.0","1,127,221.0","1,131,495.0","1,139,805.0","1,148,115.0","1,154,634.0","1,166,307.0","1,176,139.0","1,190,434.0"
"23","4","    Durable goods \3\","A374RC1","19,883.0","20,434.0","21,203.0","21,565.0","22,414.0","22,965.0","24,366.0","25,195.0","25,218.0","23,821.0","23,731.0","23,287.0","22,932.0","23,913.0","25,212.0","28,539.0","30,488.0","32,514.0","33,944.0","34,520.0","35,099.0","34,581.0","34,894.0","35,705.0","36,722.0","37,810.0","38,848.0","38,147.0","37,339.0","36,611.0","36,392.0","36,487.0","37,278.0","38,504.0","40,083.0","41,878.0","43,364.0","44,238.0","44,675.0","45,810.0","46,237.0","46,708.0","47,627.0","47,322.0","46,104.0","44,801.0","44,732.0","45,470.0","47,092.0","48,817.0","48,699.0","49,371.0","51,691.0","51,838.0","52,222.0","51,057.0","49,633.0","49,268.0","50,125.0","50,763.0","51,971.0","52,497.0","53,680.0","53,869.0","54,443.0","55,162.0","55,976.0","56,445.0","57,511.0","58,541.0","59,843.0","60,807.0","63,063.0","64,619.0","66,523.0","67,431.0","69,965.0","72,506.0","75,290.0","78,512.0","80,464.0","80,961.0","82,587.0","85,013.0","86,498.0","87,915.0","89,092.0","91,353.0","93,962.0","94,950.0","97,656.0","100,561.0","101,127.0","102,098.0","104,215.0","103,857.0","106,510.0","108,098.0","110,360.0","109,801.0","111,487.0","113,507.0","115,850.0","118,437.0","123,651.0","129,385.0","133,721.0","140,095.0","147,646.0","159,227.0","169,422.0","179,533.0","180,497.0","179,823.0","179,979.0","180,186.0","183,823.0","189,528.0","196,368.0","201,935.0","206,767.0","211,091.0","217,523.0","222,810.0","232,638.0","242,740.0","251,014.0","262,911.0","277,391.0","290,255.0","298,517.0","309,581.0","322,600.0","326,317.0","329,908.0","339,759.0","349,021.0","356,752.0","364,918.0","367,869.0","368,035.0","368,791.0","369,979.0","361,678.0","355,081.0","357,926.0","365,024.0","373,914.0","389,435.0","403,200.0","415,658.0","426,880.0","428,295.0","429,286.0","427,361.0","430,854.0","434,327.0","436,476.0","434,767.0","431,416.0","436,713.0","444,866.0","447,543.0","464,315.0","471,113.0","479,628.0","491,847.0","505,713.0","519,987.0","524,358.0","525,498.0","529,702.0","529,256.0","535,203.0","542,109.0","540,937.0","532,773.0","522,923.0","522,010.0","522,798.0","518,475.0","520,942.0","521,213.0","520,382.0","528,415.0","533,743.0","537,784.0","544,178.0","551,951.0","565,376.0","576,705.0","591,616.0","608,960.0","618,401.0","621,907.0","627,141.0","625,252.0","629,263.0","638,282.0","638,550.0","641,766.0","649,811.0","653,596.0","661,219.0"
"24","5","    Nondurable goods \3\","A375RC1","24,326.0","24,656.0","24,393.0","26,137.0","26,990.0","27,614.0","28,339.0","28,243.0","27,315.0","26,369.0","25,874.0","25,612.0","26,440.0","26,876.0","28,934.0","31,309.0","33,907.0","34,586.0","33,916.0","34,032.0","33,997.0","33,274.0","33,842.0","33,667.0","33,401.0","33,597.0","33,635.0","33,340.0","33,626.0","33,705.0","33,601.0","33,515.0","33,883.0","34,249.0","34,758.0","35,258.0","36,006.0","37,148.0","38,006.0","38,573.0","39,190.0","39,257.0","39,349.0","39,038.0","39,028.0","38,859.0","38,977.0","39,409.0","38,999.0","39,663.0","40,588.0","41,413.0","41,804.0","42,209.0","42,730.0","42,480.0","43,086.0","43,435.0","43,979.0","44,465.0","45,010.0","45,680.0","46,214.0","46,599.0","47,077.0","47,419.0","48,177.0","49,076.0","49,505.0","49,915.0","50,525.0","51,428.0","52,169.0","52,886.0","53,426.0","54,774.0","55,925.0","57,305.0","58,209.0","59,769.0","61,359.0","62,095.0","63,073.0","64,063.0","64,982.0","66,123.0","67,200.0","67,911.0","69,467.0","71,299.0","73,154.0","74,025.0","75,473.0","77,024.0","77,953.0","79,438.0","81,136.0","82,683.0","83,088.0","84,580.0","85,572.0","87,554.0","89,884.0","91,424.0","96,053.0","100,524.0","102,440.0","109,260.0","117,582.0","125,565.0","133,156.0","138,556.0","135,315.0","133,531.0","137,308.0","138,838.0","142,544.0","147,872.0","150,895.0","152,294.0","158,787.0","161,474.0","164,476.0","168,612.0","173,230.0","178,984.0","182,988.0","188,740.0","194,774.0","204,445.0","214,659.0","223,050.0","238,688.0","248,246.0","255,955.0","258,901.0","274,492.0","275,796.0","281,348.0","283,866.0","283,531.0","282,359.0","281,837.0","280,897.0","279,066.0","281,068.0","289,247.0","291,222.0","300,034.0","306,890.0","311,251.0","310,679.0","310,087.0","311,479.0","312,458.0","319,340.0","310,677.0","309,589.0","310,145.0","313,644.0","320,827.0","327,610.0","332,346.0","340,058.0","345,375.0","356,157.0","359,583.0","363,370.0","371,845.0","378,906.0","380,451.0","385,026.0","389,843.0","391,468.0","406,123.0","407,943.0","402,033.0","401,524.0","404,718.0","411,201.0","412,471.0","418,447.0","424,376.0","429,135.0","433,722.0","438,405.0","438,385.0","439,515.0","440,755.0","449,626.0","456,711.0","468,405.0","483,167.0","493,764.0","497,153.0","498,936.0","501,969.0","502,232.0","501,523.0","509,565.0","512,868.0","516,496.0","522,543.0","529,215.0"
"25","6","  Manufacturing","A376RC1","22,866.0","23,281.0","23,675.0","24,584.0","25,228.0","25,961.0","26,942.0","27,290.0","27,064.0","25,603.0","24,754.0","24,255.0","24,632.0","25,181.0","26,660.0","29,534.0","32,016.0","34,114.0","35,584.0","36,580.0","37,613.0","36,936.0","37,280.0","37,500.0","38,109.0","38,967.0","39,698.0","39,239.0","38,454.0","37,708.0","37,238.0","37,393.0","37,781.0","38,535.0","39,896.0","41,238.0","42,876.0","44,415.0","45,220.0","46,161.0","46,862.0","46,923.0","47,302.0","46,429.0","45,483.0","44,237.0","44,245.0","44,864.0","45,340.0","46,453.0","46,829.0","47,663.0","48,757.0","49,124.0","49,849.0","48,738.0","48,540.0","48,578.0","49,471.0","50,054.0","51,306.0","52,075.0","53,192.0","53,223.0","53,775.0","54,342.0","54,928.0","55,059.0","55,792.0","56,070.0","56,964.0","58,619.0","59,647.0","60,555.0","62,213.0","63,437.0","65,404.0","67,620.0","70,491.0","73,009.0","75,784.0","76,810.0","78,227.0","79,935.0","80,908.0","82,070.0","83,856.0","85,124.0","87,357.0","88,462.0","90,733.0","92,581.0","93,264.0","94,187.0","95,452.0","95,492.0","96,565.0","96,975.0","97,054.0","96,619.0","97,767.0","99,127.0","101,335.0","102,108.0","106,571.0","111,422.0","115,278.0","121,470.0","130,313.0","142,805.0","154,165.0","162,628.0","163,398.0","161,434.0","161,701.0","162,221.0","164,824.0","169,532.0","174,708.0","178,718.0","182,429.0","185,782.0","189,859.0","193,234.0","198,308.0","205,351.0","211,627.0","219,778.0","229,996.0","241,039.0","251,364.0","261,789.0","277,511.0","284,024.0","287,042.0","293,432.0","304,094.0","308,215.0","313,623.0","313,145.0","314,767.0","311,002.0","309,132.0","304,627.0","294,630.0","297,166.0","304,352.0","308,921.0","319,359.0","332,682.0","343,227.0","344,538.0","341,558.0","339,315.0","335,192.0","333,336.0","325,333.0","322,880.0","320,505.0","320,619.0","320,781.0","324,535.0","330,355.0","339,563.0","346,630.0","355,660.0","362,237.0","372,435.0","382,858.0","388,318.0","390,075.0","390,482.0","393,809.0","394,122.0","404,641.0","404,510.0","397,711.0","389,000.0","385,159.0","384,126.0","380,500.0","379,819.0","381,347.0","377,580.0","378,343.0","381,098.0","381,054.0","380,068.0","383,414.0","389,317.0","395,136.0","404,319.0","417,030.0","422,924.0","425,095.0","424,526.0","424,864.0","423,334.0","425,942.0","428,918.0","428,943.0","432,210.0","434,956.0","440,358.0"
