"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","      Government consumption expenditures \1\","A955RX1","1,610,400.0","1,613,646.0","1,616,031.0","1,594,654.0","1,601,071.0","1,621,063.0","1,614,716.0","1,626,573.0","1,625,145.0","1,644,477.0","1,645,764.0","1,657,753.0","1,647,701.0","1,674,952.0","1,675,786.0","1,695,465.0","1,703,241.0","1,704,615.0","1,725,569.0","1,747,342.0","1,728,223.0","1,762,579.0","1,752,970.0","1,758,575.0","1,784,865.0","1,808,610.0","1,824,999.0","1,845,353.0","1,872,413.0","1,892,392.0","1,904,873.0","1,919,119.0","1,916,217.0","1,947,841.0","1,943,815.0","1,947,392.0","1,960,651.0","1,964,027.0","1,974,847.0","1,968,038.0","1,974,155.0","1,972,130.0","1,990,455.0","1,974,731.0","1,997,579.0","1,989,679.0","1,998,033.0","2,003,698.0","2,000,068.0","2,016,756.0","2,037,834.0","2,046,312.0","2,063,115.0","2,071,906.0","2,099,039.0","2,109,681.0","2,102,882.0","2,123,697.0","2,133,108.0","2,136,576.0","2,135,324.0"
"21","2","        Gross output of general government","W101RX1","1,867,637.0","1,870,179.0","1,874,038.0","1,856,299.0","1,861,035.0","1,882,679.0","1,879,958.0","1,891,664.0","1,892,058.0","1,912,996.0","1,914,873.0","1,929,774.0","1,922,066.0","1,949,297.0","1,964,594.0","1,971,462.0","1,979,682.0","1,987,376.0","2,010,404.0","2,033,661.0","2,020,679.0","2,056,129.0","2,051,237.0","2,063,433.0","2,093,087.0","2,119,347.0","2,137,447.0","2,161,088.0","2,187,892.0","2,206,112.0","2,221,799.0","2,233,516.0","2,229,748.0","2,263,482.0","2,259,391.0","2,262,322.0","2,276,217.0","2,281,018.0","2,294,529.0","2,286,973.0","2,295,410.0","2,291,745.0","2,312,780.0","2,297,791.0","2,318,871.0","2,313,479.0","2,322,373.0","2,327,520.0","2,326,840.0","2,345,736.0","2,370,306.0","2,379,153.0","2,399,363.0","2,409,960.0","2,440,261.0","2,448,259.0","2,442,153.0","2,464,148.0","2,473,634.0","2,476,482.0","2,475,066.0"
"22","3","          Value added","W102RX1","1,288,962.0","1,290,739.0","1,290,660.0","1,280,570.0","1,279,987.0","1,293,591.0","1,293,103.0","1,292,568.0","1,295,308.0","1,297,905.0","1,302,159.0","1,303,064.0","1,308,034.0","1,312,728.0","1,317,289.0","1,319,316.0","1,322,078.0","1,322,579.0","1,327,201.0","1,333,360.0","1,341,314.0","1,353,677.0","1,350,302.0","1,352,192.0","1,361,549.0","1,370,814.0","1,378,756.0","1,383,695.0","1,392,308.0","1,399,908.0","1,405,798.0","1,407,668.0","1,415,304.0","1,419,204.0","1,419,166.0","1,419,311.0","1,422,801.0","1,424,674.0","1,427,339.0","1,432,459.0","1,434,940.0","1,434,741.0","1,437,466.0","1,438,757.0","1,437,603.0","1,440,093.0","1,448,661.0","1,453,545.0","1,456,938.0","1,461,783.0","1,468,538.0","1,474,641.0","1,484,812.0","1,492,745.0","1,502,717.0","1,509,658.0","1,514,169.0","1,524,196.0","1,528,134.0","1,533,762.0","1,537,280.0"
"23","4","            Compensation of general government employees","A194RX1","1,127,379.0","1,128,542.0","1,127,712.0","1,116,470.0","1,115,044.0","1,128,372.0","1,126,965.0","1,125,526.0","1,127,463.0","1,129,141.0","1,132,497.0","1,132,376.0","1,136,415.0","1,140,005.0","1,143,385.0","1,144,045.0","1,145,370.0","1,144,364.0","1,147,620.0","1,152,440.0","1,159,072.0","1,170,293.0","1,165,455.0","1,166,111.0","1,174,540.0","1,182,707.0","1,189,565.0","1,193,369.0","1,200,858.0","1,207,335.0","1,212,113.0","1,212,849.0","1,219,409.0","1,222,140.0","1,220,967.0","1,219,884.0","1,221,735.0","1,222,080.0","1,223,291.0","1,227,079.0","1,228,322.0","1,226,813.0","1,228,112.0","1,227,898.0","1,225,165.0","1,226,039.0","1,232,971.0","1,236,255.0","1,238,077.0","1,241,150.0","1,245,960.0","1,249,948.0","1,257,799.0","1,263,808.0","1,272,247.0","1,277,984.0","1,280,222.0","1,287,661.0","1,288,681.0","1,290,116.0","1,291,064.0"
"24","5","            Consumption of general government fixed capital \2\","A265RX1","164,546.0","165,075.0","165,655.0","166,247.0","166,897.0","167,508.0","168,223.0","168,926.0","169,641.0","170,449.0","171,285.0","172,140.0","173,025.0","174,046.0","175,130.0","176,310.0","177,574.0","178,859.0","180,115.0","181,383.0","182,673.0","183,894.0","185,096.0","186,208.0","187,187.0","188,311.0","189,397.0","190,488.0","191,614.0","192,728.0","193,816.0","194,893.0","195,965.0","197,112.0","198,221.0","199,429.0","201,062.0","202,594.0","204,049.0","205,376.0","206,615.0","207,931.0","209,358.0","210,855.0","212,436.0","214,055.0","215,691.0","217,289.0","218,860.0","220,633.0","222,578.0","224,691.0","227,009.0","228,932.0","230,462.0","231,664.0","233,928.0","236,521.0","239,472.0","243,732.0","246,355.0"
"25","6","          Intermediate goods and services purchased \3\","W104RX1","583,965.0","584,743.0","588,424.0","580,917.0","585,911.0","593,889.0","591,773.0","603,263.0","601,149.0","618,540.0","616,404.0","629,680.0","617,737.0","639,379.0","649,765.0","654,458.0","659,787.0","666,785.0","684,745.0","701,431.0","681,274.0","703,802.0","702,289.0","712,312.0","732,156.0","748,830.0","758,864.0","777,345.0","795,452.0","806,032.0","815,785.0","825,611.0","814,212.0","844,185.0","840,087.0","842,896.0","853,390.0","856,330.0","867,264.0","854,487.0","860,456.0","856,962.0","875,289.0","859,116.0","881,225.0","873,377.0","873,724.0","873,980.0","869,857.0","883,947.0","901,767.0","904,520.0","914,519.0","917,244.0","937,096.0","938,218.0","927,490.0","939,576.0","945,180.0","942,320.0","937,330.0"
"26","7","            Durable goods","W105RX1","37,352.0","35,436.0","39,536.0","35,209.0","35,822.0","38,458.0","38,531.0","36,695.0","37,780.0","39,544.0","38,267.0","38,994.0","38,832.0","39,899.0","42,139.0","41,869.0","40,973.0","44,139.0","46,064.0","44,105.0","44,847.0","45,037.0","45,647.0","45,041.0","45,024.0","47,354.0","49,115.0","46,616.0","47,311.0","48,501.0","50,119.0","48,767.0","47,794.0","51,278.0","51,538.0","51,636.0","52,195.0","54,292.0","54,843.0","53,916.0","53,159.0","54,155.0","55,459.0","55,616.0","56,599.0","56,597.0","57,893.0","59,395.0","58,397.0","60,571.0","63,162.0","64,195.0","65,379.0","68,012.0","70,266.0","71,460.0","68,263.0","72,189.0","75,499.0","73,137.0","71,460.0"
"27","8","            Nondurable goods","W106RX1","148,019.0","147,360.0","149,401.0","148,935.0","149,955.0","151,126.0","152,264.0","152,533.0","157,174.0","158,207.0","160,997.0","163,215.0","167,239.0","169,773.0","173,916.0","175,812.0","174,216.0","177,823.0","181,779.0","180,745.0","185,317.0","186,271.0","187,829.0","191,065.0","196,431.0","203,853.0","203,413.0","208,115.0","209,398.0","212,968.0","211,495.0","212,446.0","210,981.0","212,392.0","209,175.0","211,820.0","215,876.0","215,418.0","216,226.0","213,811.0","218,369.0","215,441.0","218,390.0","218,035.0","217,960.0","216,351.0","219,042.0","216,266.0","219,334.0","220,956.0","223,800.0","222,041.0","224,034.0","225,315.0","226,342.0","227,650.0","227,938.0","230,193.0","228,032.0","225,536.0","224,502.0"
"28","9","            Services","W107RX1","398,644.0","402,589.0","398,919.0","397,701.0","400,917.0","404,287.0","401,071.0","414,677.0","406,995.0","421,033.0","418,160.0","428,366.0","413,479.0","431,085.0","434,971.0","438,295.0","445,794.0","445,780.0","457,610.0","477,128.0","452,519.0","473,657.0","470,065.0","477,726.0","492,438.0","499,555.0","507,794.0","524,538.0","540,180.0","546,121.0","555,018.0","565,172.0","556,363.0","580,611.0","579,119.0","579,434.0","585,484.0","586,593.0","596,014.0","586,653.0","588,983.0","587,367.0","601,453.0","585,397.0","606,779.0","600,537.0","596,793.0","598,405.0","592,134.0","602,501.0","615,006.0","618,703.0","625,604.0","624,472.0","642,017.0","640,591.0","632,653.0","638,774.0","643,361.0","645,180.0","642,777.0"
"29","10","        Less: Own-account investment \4\","W108RX1","20,433.0","20,319.0","20,413.0","19,703.0","19,760.0","20,062.0","20,249.0","20,139.0","22,350.0","21,694.0","20,681.0","19,982.0","20,847.0","22,167.0","22,208.0","20,809.0","20,012.0","22,284.0","21,899.0","22,109.0","21,684.0","21,215.0","21,954.0","21,790.0","23,502.0","24,709.0","24,040.0","24,166.0","24,483.0","24,221.0","24,316.0","24,070.0","23,412.0","23,266.0","23,530.0","23,745.0","23,267.0","23,792.0","23,818.0","23,647.0","23,414.0","23,799.0","23,818.0","24,101.0","23,763.0","24,400.0","24,460.0","24,471.0","24,746.0","24,955.0","25,167.0","25,290.0","25,524.0","26,032.0","26,138.0","25,928.0","25,976.0","26,391.0","26,296.0","25,674.0","25,280.0"
"30","11","              Sales to other sectors","W109RX1","236,922.0","236,352.0","237,719.0","241,977.0","240,276.0","241,651.0","245,007.0","245,006.0","244,569.0","246,863.0","248,464.0","252,065.0","253,471.0","252,205.0","266,364.0","255,250.0","256,510.0","260,442.0","262,922.0","264,206.0","270,730.0","272,317.0","276,267.0","283,034.0","284,651.0","285,931.0","288,334.0","291,498.0","290,929.0","289,446.0","292,554.0","290,303.0","290,110.0","292,371.0","292,036.0","291,189.0","292,321.0","293,211.0","295,866.0","295,288.0","297,838.0","295,816.0","298,507.0","298,964.0","297,513.0","299,405.0","299,881.0","299,356.0","302,032.0","304,033.0","307,312.0","307,558.0","310,731.0","312,038.0","315,084.0","312,647.0","313,264.0","314,085.0","314,284.0","314,291.0","314,505.0"
"31","12","Federal consumption expenditures \1\","A957RX1","634,085.0","632,564.0","631,015.0","604,458.0","611,292.0","620,169.0","610,369.0","616,433.0","610,039.0","621,737.0","613,611.0","615,735.0","593,677.0","608,744.0","598,302.0","608,958.0","606,177.0","599,018.0","611,147.0","625,106.0","602,752.0","631,544.0","616,376.0","615,113.0","630,467.0","642,137.0","645,829.0","653,343.0","668,851.0","681,054.0","689,145.0","704,037.0","704,770.0","739,081.0","738,105.0","743,306.0","754,710.0","756,852.0","767,637.0","758,901.0","763,956.0","761,436.0","776,761.0","761,199.0","783,555.0","773,164.0","775,736.0","773,679.0","764,333.0","774,408.0","792,723.0","798,937.0","813,702.0","822,132.0","847,466.0","857,223.0","851,656.0","872,281.0","888,050.0","892,014.0","894,012.0"
"32","13","      Gross output of general government","W110RX1","650,532.0","646,574.0","645,245.0","620,897.0","625,243.0","635,046.0","627,879.0","631,621.0","622,955.0","634,749.0","624,883.0","627,009.0","605,922.0","618,981.0","621,040.0","617,803.0","614,128.0","611,420.0","623,814.0","635,601.0","614,995.0","642,001.0","627,567.0","629,060.0","642,075.0","652,178.0","655,952.0","664,983.0","679,993.0","690,304.0","701,483.0","713,922.0","714,593.0","751,160.0","749,390.0","753,576.0","764,435.0","767,124.0","780,358.0","770,573.0","777,901.0","773,442.0","791,326.0","775,615.0","795,962.0","786,539.0","788,595.0","784,513.0","776,369.0","786,275.0","805,705.0","810,065.0","824,756.0","833,417.0","861,375.0","869,085.0","864,558.0","885,618.0","901,784.0","905,826.0","908,416.0"
"33","14","        Value added","W111RX1","441,466.0","439,976.0","437,050.0","421,979.0","422,576.0","426,567.0","424,243.0","419,226.0","418,126.0","416,562.0","415,388.0","410,660.0","410,756.0","410,265.0","410,530.0","410,176.0","410,073.0","406,781.0","405,723.0","405,704.0","408,560.0","416,906.0","409,283.0","407,172.0","410,815.0","412,657.0","413,157.0","411,792.0","416,394.0","419,229.0","421,930.0","423,354.0","428,768.0","432,301.0","432,554.0","432,504.0","434,566.0","434,098.0","435,919.0","438,727.0","439,340.0","438,157.0","437,879.0","439,596.0","436,411.0","436,561.0","440,353.0","440,465.0","439,411.0","438,921.0","443,343.0","445,375.0","450,231.0","455,132.0","462,331.0","469,126.0","474,646.0","484,053.0","492,232.0","497,998.0","503,884.0"
"34","15","          Compensation of general government employees","B568RX1","357,084.0","355,632.0","352,524.0","335,985.0","336,699.0","341,211.0","338,692.0","333,289.0","332,102.0","330,443.0","329,240.0","324,227.0","324,476.0","323,917.0","324,114.0","323,536.0","323,119.0","319,297.0","317,912.0","317,627.0","320,402.0","329,062.0","320,751.0","318,391.0","322,260.0","324,072.0","324,483.0","322,901.0","327,475.0","330,177.0","332,730.0","333,930.0","339,179.0","342,405.0","342,329.0","341,843.0","343,521.0","342,582.0","343,852.0","346,087.0","346,071.0","344,239.0","343,252.0","344,230.0","340,279.0","339,652.0","342,643.0","342,017.0","340,292.0","338,947.0","342,286.0","343,093.0","346,495.0","350,308.0","356,769.0","363,149.0","367,172.0","374,782.0","380,926.0","383,512.0","387,890.0"
"35","16","          Consumption of general government fixed capital \2\","B995RX1","87,270.0","87,140.0","87,054.0","86,975.0","86,956.0","86,871.0","86,860.0","86,806.0","86,795.0","86,765.0","86,715.0","86,640.0","86,539.0","86,564.0","86,627.0","86,769.0","86,991.0","87,215.0","87,406.0","87,607.0","87,814.0","87,982.0","88,147.0","88,243.0","88,230.0","88,338.0","88,437.0","88,565.0","88,756.0","88,961.0","89,172.0","89,404.0","89,665.0","90,000.0","90,305.0","90,706.0","91,093.0","91,547.0","92,091.0","92,660.0","93,274.0","93,919.0","94,625.0","95,361.0","96,146.0","96,944.0","97,743.0","98,491.0","99,194.0","100,104.0","101,192.0","102,454.0","103,929.0","105,015.0","105,709.0","106,072.0","107,587.0","109,358.0","111,411.0","114,762.0","116,288.0"
"36","17","        Intermediate goods and services purchased \3\","W113RX1","215,399.0","213,109.0","214,321.0","205,043.0","208,453.0","213,945.0","209,417.0","217,038.0","210,102.0","222,214.0","214,217.0","220,207.0","200,798.0","213,241.0","214,891.0","212,200.0","208,857.0","209,238.0","221,743.0","232,755.0","210,944.0","228,791.0","222,100.0","225,394.0","234,327.0","242,142.0","245,229.0","254,972.0","265,073.0","272,354.0","280,553.0","291,143.0","286,634.0","319,002.0","317,024.0","321,170.0","329,885.0","333,036.0","344,396.0","331,913.0","338,575.0","335,267.0","353,411.0","336,058.0","359,705.0","350,027.0","348,244.0","343,991.0","336,746.0","347,344.0","362,541.0","364,869.0","374,787.0","378,555.0","399,297.0","400,219.0","389,914.0","401,676.0","409,693.0","407,839.0","404,360.0"
"37","18","          Durable goods","W114RX1","23,542.0","21,323.0","25,401.0","20,675.0","21,362.0","24,071.0","23,966.0","21,825.0","22,491.0","24,081.0","22,449.0","22,956.0","22,104.0","22,590.0","24,315.0","23,685.0","22,302.0","25,196.0","26,833.0","24,364.0","24,761.0","24,681.0","24,854.0","23,972.0","23,359.0","25,251.0","26,763.0","24,090.0","24,714.0","26,011.0","27,719.0","26,447.0","25,676.0","29,218.0","29,485.0","29,601.0","30,057.0","32,110.0","32,635.0","31,737.0","30,970.0","31,904.0","33,177.0","33,262.0","34,183.0","34,038.0","35,209.0","36,527.0","35,270.0","37,271.0","39,691.0","40,636.0","41,785.0","44,390.0","46,635.0","47,728.0","44,523.0","48,449.0","51,832.0","49,540.0","47,949.0"
"38","19","          Nondurable goods","W115RX1","23,800.0","21,898.0","22,996.0","21,636.0","22,089.0","22,385.0","22,562.0","21,632.0","24,655.0","24,012.0","24,892.0","24,811.0","26,267.0","26,094.0","27,361.0","26,548.0","21,853.0","23,138.0","25,235.0","22,399.0","26,213.0","25,628.0","24,902.0","25,655.0","27,337.0","31,736.0","28,728.0","31,262.0","30,389.0","33,076.0","31,483.0","32,907.0","33,549.0","35,888.0","33,109.0","35,954.0","39,203.0","38,648.0","39,324.0","36,957.0","41,680.0","38,599.0","41,357.0","40,824.0","40,653.0","38,375.0","40,309.0","36,482.0","38,083.0","38,717.0","40,719.0","38,355.0","40,208.0","41,445.0","42,471.0","43,185.0","43,709.0","46,002.0","44,301.0","42,194.0","41,559.0"
"39","20","          Services","W116RX1","167,775.0","169,891.0","165,034.0","162,771.0","164,957.0","166,853.0","162,259.0","173,475.0","162,926.0","173,804.0","166,984.0","172,464.0","152,764.0","164,771.0","163,348.0","162,082.0","164,143.0","160,112.0","168,955.0","185,297.0","159,587.0","178,131.0","171,888.0","175,499.0","183,591.0","185,358.0","189,436.0","199,874.0","209,905.0","213,463.0","221,112.0","231,738.0","227,515.0","253,814.0","253,962.0","255,456.0","260,740.0","262,205.0","272,305.0","263,053.0","265,977.0","264,744.0","278,874.0","261,945.0","284,924.0","277,722.0","272,721.0","271,102.0","263,459.0","271,449.0","282,246.0","286,243.0","293,090.0","293,019.0","310,802.0","309,923.0","302,182.0","307,937.0","314,483.0","316,948.0","315,616.0"
"40","21","      Less: Own-account investment \4\","W117RX1","6,481.0","6,132.0","6,468.0","5,598.0","5,608.0","5,783.0","6,139.0","5,685.0","6,299.0","5,880.0","5,284.0","4,699.0","5,653.0","6,282.0","5,798.0","4,432.0","3,332.0","5,875.0","5,665.0","4,976.0","3,867.0","4,009.0","4,149.0","4,150.0","4,973.0","5,119.0","4,872.0","4,874.0","5,046.0","5,093.0","5,283.0","5,130.0","4,832.0","4,906.0","4,688.0","5,008.0","4,521.0","4,670.0","4,793.0","4,677.0","4,562.0","4,636.0","4,712.0","4,662.0","4,495.0","4,523.0","4,611.0","4,613.0","4,422.0","4,370.0","4,415.0","4,281.0","4,568.0","4,624.0","4,783.0","4,844.0","5,166.0","5,106.0","5,235.0","5,219.0","5,490.0"
"41","22","            Sales to other sectors","W118RX1","9,770.0","7,743.0","7,650.0","10,621.0","8,187.0","8,925.0","11,110.0","9,302.0","6,601.0","7,055.0","5,939.0","6,477.0","6,514.0","3,986.0","16,551.0","4,361.0","4,546.0","6,450.0","6,916.0","5,492.0","8,230.0","6,397.0","6,957.0","9,574.0","6,561.0","4,925.0","5,239.0","6,705.0","6,064.0","4,180.0","7,000.0","4,767.0","4,994.0","7,151.0","6,576.0","5,251.0","5,190.0","5,585.0","7,918.0","6,992.0","9,382.0","7,368.0","9,856.0","9,754.0","7,902.0","8,856.0","8,246.0","6,205.0","7,609.0","7,485.0","8,566.0","6,828.0","6,475.0","6,656.0","9,130.0","6,940.0","7,703.0","8,215.0","8,491.0","8,587.0","8,932.0"
"42","23","    Defense consumption expenditures \1\","A997RX1","430,031.0","428,842.0","427,080.0","412,125.0","416,614.0","422,996.0","415,720.0","418,806.0","407,814.0","418,138.0","410,158.0","412,847.0","390,469.0","404,630.0","405,025.0","404,839.0","402,653.0","397,903.0","408,316.0","421,429.0","393,370.0","414,372.0","403,424.0","404,298.0","413,320.0","416,361.0","419,223.0","425,263.0","435,721.0","441,588.0","446,462.0","459,554.0","455,403.0","496,202.0","487,648.0","497,085.0","505,584.0","507,036.0","518,905.0","505,904.0","512,509.0","513,555.0","526,879.0","506,405.0","519,178.0","515,937.0","516,728.0","524,460.0","514,619.0","522,232.0","535,862.0","536,709.0","545,353.0","548,428.0","574,037.0","578,684.0","571,497.0","588,240.0","599,621.0","597,686.0","598,668.0"
