"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Exports of goods and services","A020RX1","816,192.0","827,441.0","863,425.0","875,888.0","886,922.0","901,789.0","909,084.0","966,073.0","984,474.0","1,023,460.0","1,047,239.0","1,045,332.0","1,050,264.0","1,038,158.0","1,033,339.0","1,072,307.0","1,064,068.0","1,076,302.0","1,104,529.0","1,132,209.0","1,151,723.0","1,184,426.0","1,213,327.0","1,203,766.0","1,187,985.0","1,149,212.0","1,090,055.0","1,059,319.0","1,076,249.0","1,105,462.0","1,113,165.0","1,101,826.0","1,091,641.0","1,088,214.0","1,117,599.0","1,169,707.0","1,197,293.0","1,215,992.0","1,225,039.0","1,252,932.0","1,276,194.0","1,303,489.0","1,303,859.0","1,336,687.0","1,388,773.0","1,412,067.0","1,414,069.0","1,473,171.0","1,485,881.0","1,504,758.0","1,569,896.0","1,623,961.0","1,623,423.0","1,670,431.0","1,655,183.0","1,568,010.0","1,434,549.0","1,419,458.0","1,478,825.0","1,556,783.0","1,578,809.0"
"21","2","Exports of goods \1\","A253RX1","555,562.0","564,877.0","586,556.0","594,660.0","607,153.0","613,614.0","625,002.0","658,887.0","681,681.0","713,417.0","734,289.0","735,361.0","737,362.0","719,947.0","721,252.0","750,098.0","735,417.0","743,685.0","767,885.0","793,103.0","810,774.0","836,155.0","871,664.0","858,660.0","847,235.0","808,931.0","764,741.0","747,281.0","746,749.0","772,894.0","776,445.0","758,083.0","761,290.0","760,963.0","775,545.0","810,924.0","823,974.0","837,716.0","848,271.0","861,601.0","879,231.0","908,112.0","905,686.0","931,315.0","970,279.0","987,825.0","988,254.0","1,019,241.0","1,026,690.0","1,042,434.0","1,078,919.0","1,110,977.0","1,122,400.0","1,159,934.0","1,154,772.0","1,072,870.0","956,102.0","940,667.0","993,929.0","1,069,541.0","1,087,124.0"
"22","3","  Foods, feeds, and beverages","B638RX1","55,100.0","55,260.0","56,420.0","51,153.0","54,474.0","52,607.0","52,362.0","55,018.0","53,458.0","52,767.0","53,019.0","56,556.0","56,020.0","52,704.0","49,860.0","55,014.0","51,586.0","54,468.0","57,576.0","56,211.0","56,246.0","57,339.0","61,600.0","57,461.0","59,709.0","60,680.0","58,767.0","59,860.0","59,561.0","59,845.0","58,303.0","56,483.0","59,151.0","58,548.0","60,466.0","60,019.0","55,565.0","51,760.0","55,485.0","60,616.0","58,456.0","60,191.0","57,392.0","59,782.0","61,588.0","64,115.0","64,923.0","63,953.0","63,833.0","66,669.0","72,926.0","73,346.0","74,888.0","75,581.0","74,064.0","70,728.0","66,877.0","70,500.0","70,458.0","78,600.0","77,530.0"
"23","4","  Industrial supplies and materials","A639RX1","164,586.0","165,008.0","171,128.0","173,145.0","174,405.0","173,038.0","176,795.0","183,812.0","185,498.0","193,293.0","196,206.0","194,769.0","194,542.0","189,567.0","187,224.0","189,975.0","184,971.0","189,410.0","191,739.0","201,815.0","206,330.0","206,588.0","215,761.0","214,555.0","208,907.0","202,615.0","199,417.0","198,567.0","197,900.0","205,790.0","204,315.0","203,895.0","208,610.0","205,580.0","207,146.0","211,202.0","218,996.0","222,382.0","220,940.0","224,251.0","226,641.0","233,418.0","227,431.0","222,542.0","237,961.0","245,647.0","242,524.0","252,275.0","249,697.0","254,135.0","259,791.0","268,523.0","280,036.0","295,627.0","295,899.0","276,238.0","248,435.0","254,691.0","276,514.0","285,785.0","295,681.0"
"24","5","    Durable goods","B686RX1","56,074.0","56,932.0","59,794.0","57,915.0","58,469.0","60,640.0","62,259.0","63,189.0","64,247.0","66,881.0","67,451.0","68,403.0","70,442.0","67,181.0","65,999.0","67,842.0","67,166.0","68,766.0","70,170.0","74,388.0","79,179.0","80,279.0","81,181.0","81,627.0","78,480.0","74,375.0","71,399.0","69,821.0","66,139.0","70,076.0","69,643.0","69,122.0","69,900.0","71,119.0","69,998.0","71,061.0","76,182.0","76,962.0","75,939.0","76,570.0","77,576.0","80,944.0","84,138.0","86,095.0","88,609.0","89,423.0","88,786.0","93,255.0","92,270.0","93,068.0","96,040.0","99,081.0","100,503.0","108,868.0","108,842.0","102,259.0","86,854.0","86,899.0","93,534.0","98,798.0","100,495.0"
"25","6","    Nondurable goods","B687RX1","108,781.0","108,310.0","111,547.0","115,628.0","116,339.0","112,574.0","114,703.0","120,904.0","121,510.0","126,687.0","129,060.0","126,562.0","124,139.0","122,527.0","121,395.0","122,225.0","117,793.0","120,647.0","121,541.0","127,378.0","127,026.0","126,181.0","134,445.0","132,821.0","130,331.0","128,133.0","127,929.0","128,694.0","131,919.0","135,771.0","134,710.0","134,818.0","138,770.0","134,524.0","137,229.0","140,233.0","142,856.0","145,471.0","145,060.0","147,741.0","149,097.0","152,454.0","143,274.0","136,452.0","149,319.0","156,222.0","153,700.0","158,927.0","157,360.0","161,058.0","163,706.0","169,370.0","179,370.0","186,705.0","186,968.0","173,964.0","161,368.0","167,536.0","182,685.0","186,708.0","194,881.0"
"26","7","  Capital goods, except automotive","A640RX1","178,171.0","189,251.0","199,231.0","208,708.0","214,375.0","219,975.0","222,436.0","241,849.0","256,772.0","273,870.0","286,236.0","284,691.0","286,234.0","279,325.0","285,632.0","297,196.0","292,438.0","292,579.0","308,244.0","318,655.0","323,057.0","349,193.0","365,183.0","359,141.0","354,859.0","323,473.0","296,123.0","284,059.0","280,762.0","290,085.0","294,290.0","284,165.0","281,841.0","282,566.0","294,206.0","317,684.0","323,230.0","327,316.0","331,013.0","332,760.0","341,702.0","357,568.0","357,136.0","377,294.0","391,502.0","401,135.0","399,953.0","411,873.0","415,599.0","420,012.0","438,419.0","450,550.0","453,131.0","463,510.0","466,604.0","429,834.0","395,570.0","375,405.0","383,370.0","412,563.0","420,744.0"
"27","8","    Civilian aircraft, engines, and parts","B688RX1","35,438.0","40,128.0","37,457.0","35,057.0","36,296.0","41,654.0","40,756.0","49,115.0","52,291.0","55,568.0","56,301.0","53,796.0","63,041.0","62,274.0","73,273.0","80,029.0","72,539.0","63,670.0","66,816.0","66,369.0","54,755.0","63,180.0","58,589.0","56,917.0","65,770.0","63,143.0","58,004.0","54,738.0","55,830.0","56,722.0","59,736.0","53,120.0","50,419.0","47,450.0","49,039.0","55,107.0","49,794.0","46,803.0","48,213.0","47,629.0","52,393.0","60,228.0","53,372.0","57,562.0","60,875.0","61,688.0","60,278.0","64,973.0","64,457.0","63,605.0","69,521.0","70,940.0","68,303.0","68,123.0","68,371.0","55,021.0","66,313.0","61,740.0","59,118.0","64,129.0","59,605.0"
"28","9","    Computers, peripherals, and parts \2\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","    Other","B689RX1","132,033.0","139,068.0","147,229.0","154,732.0","156,466.0","158,371.0","160,206.0","171,760.0","179,674.0","190,507.0","200,002.0","201,366.0","197,592.0","190,414.0","187,409.0","191,647.0","192,373.0","196,720.0","207,681.0","217,279.0","227,191.0","241,531.0","257,484.0","254,498.0","244,414.0","221,003.0","201,413.0","194,723.0","192,789.0","199,949.0","202,051.0","196,763.0","197,114.0","201,053.0","208,307.0","223,962.0","235,361.0","242,138.0","242,829.0","243,799.0","246,391.0","251,748.0","257,262.0","272,600.0","281,479.0","289,264.0","290,744.0","295,776.0","298,781.0","306,008.0","316,749.0","327,260.0","331,747.0","338,969.0","341,575.0","325,199.0","279,289.0","265,635.0","274,567.0","294,933.0","305,370.0"
"30","11","  Automotive vehicles, engines, and parts","B641RX1","68,198.0","63,794.0","65,929.0","65,195.0","65,746.0","66,576.0","71,405.0","69,101.0","73,631.0","76,344.0","79,706.0","79,143.0","80,671.0","75,336.0","70,596.0","78,018.0","76,640.0","78,083.0","79,276.0","80,218.0","86,679.0","83,077.0","81,868.0","81,123.0","75,981.0","79,157.0","78,870.0","77,296.0","77,202.0","83,330.0","82,776.0","80,833.0","81,403.0","83,648.0","79,798.0","83,900.0","85,187.0","88,795.0","93,067.0","93,834.0","95,307.0","95,643.0","98,708.0","103,968.0","106,009.0","104,457.0","105,018.0","108,399.0","113,210.0","116,947.0","119,618.0","123,950.0","120,695.0","120,497.0","122,828.0","104,698.0","67,273.0","64,047.0","83,051.0","100,110.0","102,497.0"
"31","12","  Consumer goods, except automotive","A642RX1","65,415.0","66,068.0","67,607.0","67,641.0","69,342.0","70,285.0","71,059.0","73,783.0","76,133.0","79,012.0","78,966.0","79,663.0","79,162.0","81,148.0","81,874.0","81,088.0","80,569.0","81,232.0","82,835.0","86,103.0","89,150.0","90,276.0","93,099.0","91,276.0","94,617.0","93,683.0","86,928.0","85,604.0","84,823.0","86,740.0","87,722.0","87,080.0","88,892.0","89,758.0","92,940.0","95,478.0","99,152.0","104,096.0","105,103.0","109,192.0","111,687.0","114,159.0","116,066.0","119,226.0","123,418.0","125,703.0","127,270.0","133,426.0","137,785.0","138,691.0","142,770.0","145,419.0","150,455.0","154,726.0","157,888.0","147,786.0","138,084.0","137,142.0","141,281.0","150,645.0","152,375.0"
"32","13","    Durable goods","B690RX1","33,483.0","33,663.0","33,713.0","33,849.0","34,373.0","35,234.0","36,137.0","37,636.0","38,229.0","40,643.0","40,893.0","40,613.0","40,456.0","41,488.0","42,137.0","41,771.0","40,279.0","41,920.0","43,067.0","45,819.0","47,513.0","46,726.0","48,452.0","47,145.0","49,967.0","49,333.0","45,384.0","43,601.0","44,190.0","44,932.0","45,581.0","44,127.0","44,123.0","45,363.0","47,389.0","49,887.0","50,613.0","53,884.0","55,689.0","57,656.0","59,656.0","60,913.0","63,297.0","64,474.0","67,226.0","69,850.0","70,363.0","74,315.0","76,880.0","79,042.0","81,892.0","86,638.0","88,423.0","90,745.0","90,347.0","79,329.0","69,346.0","68,042.0","73,746.0","79,523.0","78,085.0"
"33","14","    Nondurable goods","B691RX1","31,927.0","32,402.0","33,893.0","33,790.0","34,969.0","35,049.0","34,918.0","36,143.0","37,905.0","38,361.0","38,062.0","39,044.0","38,700.0","39,653.0","39,730.0","39,310.0","40,280.0","39,306.0","39,762.0","40,279.0","41,630.0","43,544.0","44,638.0","44,123.0","44,634.0","44,336.0","41,537.0","42,012.0","40,624.0","41,805.0","42,138.0","42,966.0","44,795.0","44,410.0","45,561.0","45,584.0","48,543.0","50,214.0","49,415.0","51,536.0","52,031.0","53,246.0","52,769.0","54,753.0","56,195.0","55,864.0","56,913.0","59,116.0","60,906.0","59,685.0","60,930.0","58,953.0","62,165.0","64,112.0","67,581.0","68,366.0","68,570.0","68,915.0","67,423.0","71,026.0","74,078.0"
"34","15","  Other","A643RX1","35,020.0","33,548.0","33,692.0","34,859.0","34,221.0","35,788.0","36,308.0","39,327.0","38,531.0","39,774.0","40,914.0","41,261.0","41,275.0","42,226.0","45,271.0","47,348.0","47,176.0","46,863.0","45,784.0","47,951.0","46,899.0","44,775.0","49,498.0","50,510.0","48,356.0","46,770.0","44,599.0","43,261.0","48,260.0","48,759.0","49,852.0","47,254.0","43,800.0","42,540.0","42,094.0","42,525.0","42,401.0","44,218.0","42,850.0","41,071.0","45,388.0","47,035.0","48,886.0","48,716.0","49,890.0","46,831.0","48,922.0","49,731.0","47,630.0","46,781.0","46,212.0","50,048.0","42,588.0","48,099.0","37,238.0","41,215.0","36,997.0","34,387.0","35,062.0","37,221.0","34,063.0"
"35","16","Exports of services \1\","A646RX1","262,742.0","264,348.0","279,339.0","283,812.0","281,455.0","290,530.0","285,384.0","309,240.0","303,546.0","310,210.0","312,620.0","309,408.0","312,534.0","318,664.0","312,191.0","322,199.0","329,150.0","333,113.0","336,912.0","339,081.0","340,740.0","347,968.0","340,871.0","344,510.0","340,183.0","340,038.0","325,151.0","311,782.0","329,487.0","332,448.0","336,624.0","343,821.0","330,279.0","327,155.0","342,019.0","358,760.0","373,384.0","378,335.0","376,761.0","391,392.0","397,007.0","395,358.0","398,153.0","405,367.0","418,510.0","424,262.0","425,819.0","453,923.0","459,163.0","462,293.0","490,933.0","512,947.0","501,057.0","510,544.0","500,424.0","494,941.0","477,245.0","477,367.0","483,926.0","487,072.0","491,600.0"
"36","17","  Transfers under U.S. military agency sales contracts","B267RX1","13,535.0","13,912.0","15,834.0","14,344.0","13,617.0","15,596.0","17,117.0","18,551.0","15,665.0","19,074.0","17,843.0","15,481.0","18,866.0","18,656.0","16,513.0","18,088.0","15,891.0","18,049.0","15,514.0","13,450.0","12,751.0","14,747.0","12,404.0","13,602.0","10,592.0","14,114.0","13,378.0","11,978.0","11,292.0","10,898.0","13,839.0","11,999.0","11,452.0","11,741.0","15,506.0","13,994.0","16,116.0","15,926.0","15,307.0","13,799.0","18,162.0","17,886.0","19,721.0","16,608.0","20,557.0","22,554.0","21,794.0","23,377.0","25,462.0","18,543.0","19,535.0","27,984.0","22,110.0","20,642.0","17,264.0","18,100.0","17,892.0","19,542.0","20,053.0","18,305.0","17,718.0"
"37","18","  Travel","B493RX1","75,342.0","75,309.0","81,731.0","85,347.0","82,998.0","86,955.0","78,982.0","92,776.0","88,707.0","87,652.0","88,833.0","86,291.0","85,357.0","86,326.0","81,777.0","84,097.0","85,052.0","84,921.0","86,192.0","88,594.0","91,382.0","92,853.0","89,119.0","89,369.0","90,175.0","85,219.0","76,264.0","63,116.0","71,903.0","71,325.0","71,909.0","78,864.0","68,650.0","62,701.0","69,834.0","77,240.0","75,881.0","78,436.0","77,928.0","79,307.0","81,227.0","84,797.0","80,913.0","80,258.0","80,618.0","81,185.0","81,827.0","85,170.0","82,771.0","85,737.0","93,135.0","97,528.0","96,588.0","98,519.0","99,240.0","95,064.0","88,971.0","85,580.0","87,795.0","88,380.0","90,033.0"
"38","19","  Passenger fares","B533RX1","26,338.0","25,205.0","27,880.0","28,851.0","28,868.0","29,575.0","27,975.0","30,474.0","31,855.0","30,725.0","30,766.0","32,093.0","30,434.0","31,876.0","31,610.0","28,996.0","27,898.0","27,888.0","28,975.0","27,462.0","27,746.0","29,288.0","28,575.0","28,635.0","27,666.0","26,818.0","24,750.0","18,951.0","23,335.0","23,050.0","21,975.0","22,307.0","19,346.0","17,421.0","19,121.0","19,701.0","19,924.0","20,525.0","21,107.0","19,743.0","19,277.0","20,755.0","21,815.0","22,029.0","22,056.0","21,818.0","22,209.0","21,665.0","22,388.0","22,291.0","24,346.0","25,558.0","25,963.0","26,980.0","26,355.0","26,205.0","24,950.0","25,435.0","24,987.0","23,687.0","23,642.0"
"39","20","  Other transportation","B683RX1","32,153.0","33,025.0","33,178.0","34,291.0","31,412.0","32,250.0","31,848.0","33,545.0","32,743.0","33,401.0","33,305.0","33,860.0","32,561.0","32,036.0","32,285.0","34,019.0","34,140.0","34,041.0","33,460.0","34,928.0","34,660.0","35,123.0","33,919.0","33,396.0","34,270.0","33,611.0","32,651.0","31,714.0","33,635.0","33,810.0","34,512.0","35,593.0","34,265.0","35,499.0","35,652.0","37,752.0","40,210.0","40,976.0","40,042.0","41,144.0","41,761.0","41,706.0","40,266.0","41,391.0","42,623.0","43,714.0","43,873.0","45,238.0","45,915.0","46,775.0","48,009.0","48,898.0","49,270.0","49,606.0","47,445.0","45,125.0","39,921.0","39,732.0","40,904.0","43,669.0","44,409.0"
"40","21","  Royalties and license fees","B684RX1","35,997.0","36,823.0","38,591.0","38,384.0","38,576.0","38,354.0","39,576.0","40,616.0","39,304.0","39,796.0","39,826.0","39,058.0","40,572.0","41,596.0","41,092.0","44,739.0","45,641.0","45,246.0","46,808.0","46,572.0","48,762.0","49,346.0","49,340.0","48,409.0","45,181.0","45,467.0","43,788.0","46,209.0","45,911.0","49,454.0","50,592.0","48,735.0","48,665.0","49,622.0","50,455.0","52,154.0","56,990.0","56,931.0","58,027.0","63,228.0","64,346.0","63,842.0","64,490.0","64,898.0","65,215.0","66,267.0","68,165.0","73,995.0","73,777.0","75,070.0","81,302.0","85,393.0","83,484.0","84,725.0","83,276.0","82,788.0","80,223.0","80,110.0","81,295.0","82,138.0","82,957.0"
"41","22","  Other private services","B720RX1","69,104.0","70,148.0","72,063.0","73,359.0","75,541.0","77,680.0","78,703.0","82,689.0","84,530.0","88,292.0","90,781.0","92,111.0","93,456.0","97,353.0","98,306.0","100,299.0","108,665.0","110,550.0","113,729.0","115,851.0","113,062.0","114,809.0","116,064.0","119,901.0","120,900.0","122,812.0","121,883.0","126,100.0","130,459.0","131,374.0","131,485.0","134,689.0","135,974.0","138,000.0","139,306.0","145,673.0","151,883.0","152,903.0","151,736.0","161,485.0","159,756.0","154,141.0","158,527.0","167,771.0","174,849.0","176,011.0","175,157.0","191,178.0","195,826.0","200,646.0","211,057.0","213,817.0","209,089.0","215,307.0","212,216.0","211,407.0","209,237.0","210,090.0","212,097.0","213,997.0","215,812.0"
"42","23","  Other","B980RX1","15,199.0","14,519.0","15,081.0","14,719.0","15,687.0","15,123.0","15,322.0","15,396.0","15,806.0","15,326.0","15,252.0","14,802.0","14,656.0","14,168.0","13,901.0","14,667.0","13,910.0","14,091.0","14,182.0","14,093.0","14,451.0","13,935.0","13,527.0","13,064.0","13,178.0","13,472.0","13,675.0","13,836.0","13,817.0","13,282.0","12,796.0","12,253.0","12,108.0","12,128.0","12,149.0","12,316.0","12,416.0","12,718.0","12,680.0","12,665.0","12,468.0","12,239.0","12,413.0","12,420.0","12,598.0","12,704.0","12,804.0","13,308.0","13,065.0","13,150.0","13,487.0","13,929.0","14,369.0","14,553.0","14,425.0","16,222.0","16,067.0","16,811.0","16,704.0","16,690.0","16,805.0"
"43","24","Residual","A977RX1","-22,800.0","-20,700.0","-18,800.0","-15,800.0","-13,200.0","-14,700.0","-12,600.0","-14,600.0","-11,100.0","-8,600.0","-6,700.0","-6,400.0","-8,300.0","-8,400.0","-9,500.0","-8,900.0","-6,400.0","-4,100.0","-3,100.0","-2,700.0","1,000.0","3,100.0","5,000.0","5,000.0","3,100.0","400.0","-2,000.0","-2,000.0","-4,000.0","-3,400.0","-2,700.0","-3,200.0","-3,300.0","-1,800.0","-1,300.0","-500.0","-1,000.0","-1,100.0","-300.0","-100.0","-200.0","400.0","100.0","-400.0","0.0","-200.0","-300.0","-400.0","-1,300.0","-700.0","0.0","-400.0","900.0","1,600.0","200.0","1,800.0","5,600.0","7,500.0","5,100.0","5,200.0","2,700.0"
