"","Table 1#8#6# Command-Basis Real Gross National Product, Chained ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","Gross national product","A001RX1","1,781,876.0","1,779,625.0","1,778,122.0","1,805,491.0","1,834,994.0","1,869,165.0","1,879,217.0","1,882,077.0","1,855,585.0","1,848,522.0","1,868,805.0","1,850,377.0","1,925,417.0","1,984,321.0","2,063,547.0","2,099,586.0","2,125,421.0","2,162,599.0","2,206,011.0","2,210,560.0","2,231,764.0","2,234,291.0","2,248,900.0","2,322,444.0","2,365,401.0","2,384,047.0","2,368,064.0","2,330,832.0","2,320,801.0","2,323,621.0","2,349,845.0","2,398,419.0","2,467,392.0","2,507,668.0","2,541,134.0","2,555,596.0","2,545,845.0","2,565,538.0","2,562,764.0","2,602,085.0","2,620,883.0","2,616,056.0","2,640,180.0","2,608,559.0","2,538,771.0","2,554,518.0","2,613,429.0","2,673,808.0","2,727,461.0","2,795,942.0","2,793,833.0","2,804,612.0","2,866,448.0","2,853,538.0","2,858,940.0","2,823,574.0","2,841,378.0","2,893,075.0","2,939,949.0","2,999,843.0","3,053,136.0","3,088,626.0","3,117,195.0","3,128,100.0","3,167,415.0","3,205,870.0","3,266,229.0","3,291,661.0","3,367,226.0","3,404,515.0","3,451,217.0","3,458,788.0","3,546,568.0","3,595,238.0","3,665,523.0","3,750,802.0","3,843,113.0","3,855,864.0","3,880,456.0","3,912,840.0","3,946,744.0","3,946,813.0","3,980,761.0","4,010,097.0","4,092,874.0","4,162,463.0","4,191,610.0","4,209,421.0","4,275,375.0","4,286,637.0","4,312,274.0","4,292,135.0","4,286,176.0","4,294,854.0","4,332,421.0","4,284,333.0","4,406,648.0","4,433,194.0","4,465,138.0","4,479,088.0","4,559,986.0","4,666,841.0","4,713,975.0","4,790,835.0","4,917,907.0","4,977,030.0","4,957,887.0","5,005,058.0","4,970,498.0","4,979,845.0","4,926,030.0","4,899,670.0","4,833,425.0","4,870,365.0","4,954,844.0","5,026,885.0","5,138,627.0","5,178,785.0","5,204,404.0","5,243,041.0","5,310,567.0","5,413,781.0","5,509,012.0","5,501,536.0","5,528,052.0","5,733,532.0","5,793,731.0","5,877,544.0","5,888,767.0","5,901,777.0","5,957,320.0","5,972,868.0","5,993,357.0","5,865,828.0","5,850,561.0","5,943,672.0","6,069,911.0","6,018,298.0","6,094,436.0","6,027,201.0","5,925,625.0","5,965,685.0","5,931,373.0","5,933,587.0","6,005,906.0","6,143,517.0","6,264,645.0","6,395,279.0","6,512,753.0","6,624,436.0","6,687,532.0","6,734,376.0","6,785,721.0","6,845,805.0","6,943,509.0","7,000,461.0","7,061,890.0","7,078,963.0","7,150,390.0","7,174,630.0","7,217,023.0","7,299,643.0","7,361,876.0","7,490,144.0","7,536,724.0","7,629,559.0","7,665,141.0","7,770,317.0","7,842,283.0","7,899,270.0","7,964,472.0","7,990,093.0","8,070,300.0","8,103,509.0","8,096,488.0","8,056,961.0","8,001,524.0","8,040,208.0","8,069,484.0","8,111,235.0","8,199,256.0","8,285,302.0","8,366,147.0","8,454,996.0","8,480,031.0","8,525,185.0","8,577,368.0","8,670,352.0","8,763,300.0","8,877,544.0","8,931,532.0","9,029,716.0","9,063,765.0","9,086,387.0","9,145,021.0","9,222,454.0","9,292,858.0","9,442,113.0","9,519,951.0","9,629,590.0","9,693,208.0","9,845,791.0","9,959,699.0","10,028,325.0","10,133,314.0","10,221,177.0","10,340,315.0","10,521,153.0","10,627,967.0","10,716,591.0","10,848,893.0","11,054,989.0","11,078,611.0","11,297,766.0","11,302,407.0","11,396,384.0","11,343,254.0","11,426,419.0","11,369,924.0","11,478,964.0","11,534,047.0","11,575,108.0","11,648,531.0","11,669,900.0","11,701,767.0","11,809,269.0","12,005,591.0","12,140,194.0","12,243,676.0","12,303,010.0","12,403,544.0","12,483,701.0","12,642,553.0","12,684,500.0","12,789,483.0","12,825,556.0","12,994,247.0","13,035,350.0","13,025,103.0","13,129,538.0","13,160,509.0","13,275,869.0","13,451,497.0","13,563,309.0","13,525,370.0","13,533,715.0","13,470,713.0","13,240,521.0","13,018,061.0","12,986,795.0","13,084,038.0","13,245,958.0"
"21","2","Less: Exports of goods and services and income receipts from the rest of the world","AB20RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,089,281.0","1,110,832.0","1,145,160.0","1,164,094.0","1,178,496.0","1,191,679.0","1,205,213.0","1,278,070.0","1,306,388.0","1,359,769.0","1,386,768.0","1,378,199.0","1,393,027.0","1,383,890.0","1,365,686.0","1,404,024.0","1,407,736.0","1,436,130.0","1,484,890.0","1,531,357.0","1,563,670.0","1,619,345.0","1,638,999.0","1,650,867.0","1,588,517.0","1,521,829.0","1,431,351.0","1,379,683.0","1,404,620.0","1,447,173.0","1,471,151.0","1,445,852.0","1,447,816.0","1,455,947.0","1,496,150.0","1,578,236.0","1,636,915.0","1,668,017.0","1,696,666.0","1,750,265.0","1,819,876.0","1,858,981.0","1,883,227.0","1,950,292.0","2,033,394.0","2,106,795.0","2,128,030.0","2,210,890.0","2,236,754.0","2,310,095.0","2,413,592.0","2,470,537.0","2,414,238.0","2,439,428.0","2,402,504.0","2,222,596.0","1,966,123.0","1,942,536.0","2,017,500.0","2,115,958.0"
"22","3","Plus: Command-basis exports of goods and services and income receipts from the rest of the world \1\","AB21RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,087,424.0","1,103,128.0","1,141,168.0","1,164,677.0","1,179,739.0","1,195,273.0","1,212,083.0","1,275,790.0","1,309,505.0","1,385,665.0","1,418,026.0","1,413,559.0","1,446,538.0","1,445,705.0","1,433,286.0","1,470,657.0","1,476,335.0","1,494,200.0","1,532,873.0","1,568,899.0","1,586,283.0","1,650,676.0","1,665,654.0","1,673,087.0","1,616,851.0","1,569,394.0","1,490,360.0","1,454,078.0","1,480,420.0","1,505,259.0","1,531,425.0","1,499,947.0","1,478,803.0","1,508,037.0","1,547,167.0","1,634,172.0","1,681,329.0","1,710,704.0","1,732,661.0","1,768,227.0","1,841,710.0","1,870,775.0","1,876,273.0","1,925,296.0","2,012,560.0","2,087,922.0","2,115,299.0","2,217,945.0","2,245,164.0","2,309,950.0","2,400,200.0","2,398,593.0","2,309,646.0","2,286,417.0","2,247,904.0","2,164,643.0","1,996,228.0","1,957,137.0","2,006,305.0","2,061,641.0"
"23","4","Equals: Command-basis gross national product","AB22RX1","1,817,939.0","1,815,821.0","1,812,193.0","1,835,135.0","1,861,715.0","1,892,866.0","1,903,312.0","1,905,330.0","1,881,791.0","1,873,606.0","1,891,009.0","1,868,747.0","1,941,220.0","1,998,985.0","2,076,947.0","2,111,299.0","2,134,964.0","2,171,162.0","2,214,589.0","2,220,331.0","2,243,920.0","2,246,706.0","2,261,932.0","2,336,982.0","2,380,868.0","2,400,544.0","2,385,139.0","2,347,161.0","2,335,280.0","2,339,112.0","2,364,231.0","2,413,583.0","2,484,817.0","2,525,221.0","2,560,063.0","2,575,052.0","2,566,860.0","2,587,926.0","2,586,514.0","2,626,619.0","2,648,530.0","2,644,243.0","2,668,881.0","2,637,089.0","2,566,917.0","2,583,669.0","2,642,806.0","2,703,101.0","2,757,655.0","2,826,658.0","2,826,120.0","2,836,485.0","2,902,496.0","2,891,379.0","2,896,077.0","2,861,457.0","2,879,874.0","2,933,088.0","2,979,979.0","3,042,316.0","3,097,698.0","3,135,543.0","3,162,589.0","3,173,018.0","3,211,640.0","3,253,219.0","3,310,318.0","3,337,134.0","3,414,193.0","3,450,998.0","3,499,360.0","3,509,328.0","3,595,892.0","3,652,715.0","3,718,705.0","3,803,788.0","3,897,883.0","3,912,197.0","3,938,123.0","3,974,885.0","4,013,562.0","4,013,295.0","4,046,503.0","4,078,729.0","4,163,992.0","4,238,208.0","4,268,208.0","4,285,289.0","4,346,639.0","4,370,562.0","4,396,749.0","4,378,258.0","4,370,445.0","4,384,592.0","4,414,247.0","4,364,162.0","4,488,488.0","4,515,636.0","4,545,522.0","4,552,294.0","4,643,009.0","4,743,038.0","4,790,867.0","4,870,515.0","5,003,238.0","5,054,482.0","5,039,236.0","5,080,674.0","5,017,801.0","5,002,231.0","4,948,281.0","4,927,362.0","4,864,671.0","4,899,155.0","4,990,294.0","5,066,535.0","5,177,882.0","5,217,244.0","5,239,923.0","5,281,671.0","5,340,684.0","5,440,172.0","5,529,881.0","5,520,247.0","5,548,113.0","5,755,390.0","5,815,954.0","5,906,715.0","5,913,959.0","5,922,040.0","5,957,622.0","5,953,168.0","5,950,553.0","5,814,298.0","5,799,909.0","5,899,475.0","6,024,748.0","5,972,641.0","6,061,411.0","5,995,315.0","5,898,458.0","5,945,249.0","5,914,699.0","5,919,205.0","6,001,677.0","6,141,095.0","6,263,940.0","6,401,314.0","6,518,670.0","6,631,014.0","6,698,890.0","6,747,530.0","6,805,685.0","6,863,134.0","6,957,761.0","7,005,933.0","7,064,431.0","7,094,284.0","7,161,160.0","7,183,785.0","7,216,791.0","7,293,699.0","7,352,512.0","7,480,592.0","7,524,857.0","7,618,652.0","7,667,457.0","7,767,471.0","7,835,863.0","7,887,337.0","7,960,256.0","7,981,067.0","8,052,076.0","8,098,910.0","8,079,256.0","8,012,809.0","7,981,296.0","8,035,965.0","8,071,682.0","8,111,714.0","8,195,343.0","8,279,365.0","8,350,779.0","8,444,405.0","8,474,987.0","8,519,468.0","8,578,089.0","8,674,190.0","8,771,269.0","8,881,412.0","8,925,579.0","9,025,858.0","9,061,908.0","9,078,683.0","9,141,029.0","9,223,037.0","9,294,100.0","9,445,708.0","9,526,821.0","9,627,310.0","9,696,324.0","9,871,687.0","9,990,958.0","10,063,685.0","10,186,825.0","10,282,992.0","10,407,914.0","10,587,787.0","10,696,566.0","10,774,661.0","10,896,876.0","11,092,530.0","11,101,224.0","11,329,097.0","11,329,063.0","11,418,604.0","11,371,588.0","11,473,984.0","11,428,933.0","11,553,359.0","11,609,847.0","11,633,194.0","11,708,806.0","11,723,995.0","11,732,754.0","11,861,358.0","12,056,608.0","12,196,130.0","12,288,091.0","12,345,697.0","12,439,539.0","12,501,663.0","12,664,387.0","12,696,294.0","12,782,529.0","12,800,561.0","12,973,414.0","13,016,477.0","13,012,372.0","13,136,592.0","13,168,919.0","13,275,724.0","13,438,105.0","13,491,366.0","13,420,777.0","13,380,705.0","13,316,113.0","13,182,568.0","13,048,166.0","13,001,397.0","13,072,843.0","13,191,641.0"
