"","Table 2#2A# Wage and Salary Disbursements by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Wage and salary disbursements","A576RC1","119,655.0","121,471.0","123,387.0","127,807.0","131,279.0","133,075.0","138,255.0","139,451.0","136,823.0","134,955.0","133,899.0","133,439.0","137,072.0","142,865.0","150,802.0","158,176.0","165,334.0","170,931.0","173,053.0","176,812.0","181,047.0","182,257.0","186,035.0","193,293.0","196,959.0","200,163.0","200,378.0","198,761.0","196,401.0","195,957.0","196,334.0","200,360.0","204,056.0","209,851.0","215,246.0","219,451.0","223,282.0","227,501.0","229,953.0","235,367.0","238,266.0","239,617.0","241,829.0","240,092.0","236,724.0","236,276.0","243,837.0","248,432.0","254,012.0","260,557.0","260,900.0","263,903.0","270,751.0","273,400.0","273,966.0","273,310.0","273,790.0","277,634.0","282,253.0","288,404.0","293,277.0","298,748.0","301,176.0","304,235.0","307,963.0","312,357.0","316,846.0","322,241.0","328,223.0","334,834.0","341,294.0","346,804.0","352,816.0","358,879.0","366,217.0","377,123.0","385,765.0","395,905.0","406,134.0","413,487.0","418,842.0","423,605.0","432,010.0","441,584.0","454,212.0","465,925.0","478,332.0","489,425.0","499,069.0","511,383.0","526,432.0","536,452.0","542,600.0","551,200.0","556,092.0","556,356.0","570,141.0","580,077.0","588,122.0","597,530.0","619,397.0","630,875.0","642,623.0","662,232.0","683,321.0","700,358.0","716,210.0","735,389.0","748,181.0","765,857.0","784,571.0","792,439.0","791,819.0","800,266.0","821,192.0","845,671.0","871,118.0","889,282.0","908,352.0","929,828.0","949,943.0","980,808.0","1,007,406.0","1,038,075.0","1,064,112.0","1,105,854.0","1,136,622.0","1,174,608.0","1,208,238.0","1,234,909.0","1,268,307.0","1,302,523.0","1,335,035.0","1,351,033.0","1,376,059.0","1,431,721.0","1,469,063.0","1,496,197.0","1,528,479.0","1,551,515.0","1,567,327.0","1,580,898.0","1,596,023.0","1,605,833.0","1,623,090.0","1,656,374.0","1,692,215.0","1,740,153.0","1,785,016.0","1,828,009.0","1,866,770.0","1,898,983.0","1,933,660.0","1,964,284.0","1,996,106.0","2,037,069.0","2,063,537.0","2,081,844.0","2,111,735.0","2,152,227.0","2,193,710.0","2,230,091.0","2,270,355.0","2,330,912.0","2,367,191.0","2,422,168.0","2,462,707.0","2,507,063.0","2,542,001.0","2,563,280.0","2,591,645.0","2,635,281.0","2,686,833.0","2,735,911.0","2,768,624.0","2,773,225.0","2,775,807.0","2,801,615.0","2,826,464.0","2,854,224.0","2,903,449.0","2,942,788.0","2,976,075.0","3,071,853.0","2,962,476.0","3,065,488.0","3,098,337.0","3,180,059.0","3,129,816.0","3,224,603.0","3,258,029.0","3,310,911.0","3,360,585.0","3,395,280.0","3,438,242.0","3,477,984.0","3,525,821.0","3,590,504.0","3,646,525.0","3,702,516.0","3,777,101.0","3,835,270.0","3,903,401.0","3,990,509.0","4,075,891.0","4,145,919.0","4,216,910.0","4,287,767.0","4,370,376.0","4,412,747.0","4,474,309.0","4,582,673.0","4,755,048.0","4,781,932.0","4,874,351.0","4,899,464.0"
"21","2","Private industries","A132RC1","101,723.0","103,899.0","106,375.0","110,279.0","113,336.0","114,712.0","118,768.0","119,164.0","116,438.0","114,362.0","112,950.0","112,058.0","115,621.0","121,214.0","128,043.0","133,505.0","138,597.0","142,454.0","143,280.0","145,059.0","148,621.0","149,039.0","152,245.0","159,343.0","162,748.0","165,672.0","165,859.0","164,326.0","162,004.0","161,240.0","161,205.0","164,983.0","168,574.0","173,617.0","177,848.0","182,181.0","185,446.0","188,969.0","190,769.0","195,711.0","198,037.0","198,884.0","200,328.0","198,503.0","194,689.0","193,185.0","197,730.0","203,177.0","208,556.0","214,713.0","214,664.0","217,223.0","223,039.0","224,764.0","224,094.0","222,802.0","222,686.0","225,834.0","229,461.0","234,216.0","237,977.0","242,772.0","244,688.0","246,611.0","249,343.0","252,977.0","256,666.0","260,317.0","265,099.0","270,674.0","275,750.0","279,932.0","285,364.0","290,331.0","295,729.0","303,971.0","310,837.0","319,029.0","326,334.0","331,535.0","335,390.0","338,609.0","344,942.0","351,168.0","361,452.0","370,721.0","379,592.0","389,373.0","397,785.0","408,271.0","418,268.0","426,612.0","430,740.0","432,552.0","437,392.0","436,636.0","446,265.0","454,469.0","460,394.0","468,458.0","484,649.0","495,035.0","504,227.0","521,000.0","538,353.0","553,050.0","566,634.0","581,997.0","592,541.0","607,121.0","621,831.0","625,587.0","621,411.0","625,906.0","643,488.0","663,583.0","686,438.0","702,106.0","718,968.0","735,844.0","753,295.0","781,244.0","803,842.0","827,899.0","850,252.0","888,758.0","915,614.0","947,584.0","977,234.0","1,000,885.0","1,029,995.0","1,056,595.0","1,083,603.0","1,093,301.0","1,113,059.0","1,157,881.0","1,190,342.0","1,214,058.0","1,241,926.0","1,255,769.0","1,266,778.0","1,276,344.0","1,286,899.0","1,289,897.0","1,303,748.0","1,332,090.0","1,364,660.0","1,410,374.0","1,446,193.0","1,483,373.0","1,515,172.0","1,542,368.0","1,568,231.0","1,593,195.0","1,619,292.0","1,654,029.0","1,675,597.0","1,688,254.0","1,712,023.0","1,744,589.0","1,779,105.0","1,809,955.0","1,845,697.0","1,897,843.0","1,924,448.0","1,973,028.0","2,008,335.0","2,045,168.0","2,071,345.0","2,086,581.0","2,107,133.0","2,142,725.0","2,180,934.0","2,220,096.0","2,245,458.0","2,242,110.0","2,232,087.0","2,254,103.0","2,276,457.0","2,300,203.0","2,338,661.0","2,372,160.0","2,401,366.0","2,493,974.0","2,377,108.0","2,479,832.0","2,506,849.0","2,586,531.0","2,528,620.0","2,616,159.0","2,646,213.0","2,694,383.0","2,735,709.0","2,767,720.0","2,808,010.0","2,844,548.0","2,884,361.0","2,944,224.0","2,996,429.0","3,048,108.0","3,113,917.0","3,167,498.0","3,228,657.0","3,308,965.0","3,384,759.0","3,447,887.0","3,511,958.0","3,576,931.0","3,649,120.0","3,684,731.0","3,736,829.0","3,834,669.0","3,989,236.0","4,003,356.0","4,090,247.0","4,109,112.0"
"22","3","  Goods-producing industries","A206RC1","52,310.0","53,418.0","54,290.0","56,958.0","59,379.0","59,846.0","62,419.0","62,648.0","60,307.0","57,769.0","57,149.0","56,043.0","58,389.0","62,574.0","67,157.0","71,183.0","74,087.0","76,695.0","77,023.0","77,714.0","79,979.0","79,759.0","81,545.0","87,285.0","89,680.0","90,789.0","90,285.0","88,246.0","86,295.0","85,419.0","84,567.0","87,047.0","89,519.0","92,566.0","94,285.0","96,753.0","98,006.0","99,999.0","100,876.0","104,270.0","105,049.0","104,753.0","104,853.0","102,869.0","99,175.0","97,415.0","100,514.0","103,960.0","107,467.0","111,285.0","109,994.0","110,735.0","114,786.0","114,532.0","113,022.0","111,240.0","110,584.0","112,762.0","114,793.0","117,830.0","119,638.0","122,292.0","123,067.0","123,718.0","124,659.0","126,407.0","128,348.0","130,048.0","131,958.0","135,032.0","137,586.0","139,232.0","142,930.0","144,860.0","147,129.0","151,367.0","155,903.0","160,608.0","163,854.0","166,071.0","166,629.0","166,727.0","169,778.0","172,720.0","178,017.0","182,307.0","185,608.0","190,515.0","194,097.0","198,888.0","203,264.0","205,394.0","205,497.0","204,307.0","204,421.0","200,678.0","205,163.0","208,404.0","209,816.0","212,908.0","220,963.0","225,659.0","229,075.0","237,233.0","246,112.0","252,554.0","258,591.0","266,170.0","270,204.0","275,420.0","280,932.0","279,249.0","271,145.0","270,684.0","278,288.0","288,330.0","300,097.0","306,163.0","312,778.0","319,773.0","328,107.0","342,751.0","352,480.0","360,875.0","367,561.0","388,016.0","399,262.0","413,620.0","425,948.0","436,671.0","447,039.0","455,877.0","464,943.0","462,725.0","467,359.0","489,249.0","499,821.0","509,414.0","520,645.0","521,918.0","520,476.0","517,318.0","511,740.0","504,126.0","507,914.0","516,545.0","531,754.0","549,539.0","566,304.0","580,527.0","591,146.0","598,461.0","609,167.0","612,596.0","618,178.0","627,647.0","630,744.0","629,567.0","632,555.0","639,705.0","646,344.0","650,067.0","659,510.0","670,987.0","686,311.0","698,908.0","708,038.0","719,748.0","725,441.0","723,893.0","727,653.0","736,222.0","744,773.0","753,743.0","754,813.0","748,359.0","739,241.0","739,695.0","746,641.0","748,003.0","750,195.0","759,527.0","762,309.0","781,275.0","747,082.0","777,223.0","783,885.0","806,071.0","795,190.0","818,478.0","830,489.0","844,259.0","850,099.0","856,444.0","866,053.0","872,758.0","879,807.0","899,617.0","913,814.0","925,748.0","946,689.0","960,396.0","975,562.0","1,000,039.0","1,017,501.0","1,028,572.0","1,037,225.0","1,050,063.0","1,065,985.0","1,072,340.0","1,085,120.0","1,109,354.0","1,159,222.0","1,147,298.0","1,167,915.0","1,161,695.0"
"23","4","    Manufacturing","A552RC1","41,213.0","41,957.0","42,321.0","44,353.0","46,128.0","46,428.0","47,992.0","48,032.0","46,392.0","44,472.0","44,364.0","43,324.0","45,371.0","48,405.0","52,018.0","55,470.0","57,711.0","59,768.0","59,750.0","60,198.0","62,039.0","62,188.0","63,517.0","68,985.0","71,136.0","72,399.0","71,750.0","69,726.0","67,926.0","67,135.0","66,529.0","68,705.0","70,754.0","73,147.0","74,592.0","77,062.0","77,549.0","78,595.0","79,308.0","82,504.0","83,243.0","82,832.0","82,897.0","81,088.0","77,861.0","76,331.0","79,036.0","81,648.0","84,843.0","88,145.0","87,204.0","87,556.0","91,449.0","90,769.0","89,281.0","87,605.0","86,969.0","88,949.0","90,559.0","93,172.0","94,911.0","96,932.0","97,422.0","97,906.0","98,799.0","100,009.0","101,248.0","102,903.0","104,310.0","106,519.0","108,734.0","109,629.0","112,802.0","114,229.0","116,292.0","119,390.0","123,207.0","127,179.0","130,089.0","132,348.0","132,622.0","132,643.0","134,751.0","137,234.0","141,544.0","144,738.0","147,049.0","150,858.0","153,259.0","156,382.0","160,050.0","161,181.0","160,793.0","159,581.0","158,744.0","154,450.0","158,644.0","160,163.0","160,484.0","162,883.0","169,245.0","173,703.0","176,406.0","183,083.0","189,623.0","194,532.0","198,294.0","203,843.0","205,922.0","210,657.0","215,926.0","214,872.0","205,794.0","206,598.0","213,193.0","220,843.0","230,077.0","235,445.0","240,781.0","245,880.0","253,094.0","263,695.0","271,558.0","278,482.0","285,410.0","295,658.0","303,637.0","315,275.0","325,260.0","331,608.0","338,615.0","344,601.0","351,433.0","349,312.0","352,968.0","370,231.0","377,563.0","387,648.0","392,724.0","391,574.0","389,918.0","387,816.0","384,752.0","379,526.0","383,923.0","393,238.0","404,983.0","419,134.0","431,758.0","441,470.0","449,874.0","456,526.0","463,452.0","464,171.0","468,512.0","476,072.0","478,729.0","477,926.0","480,492.0","485,110.0","490,312.0","491,845.0","499,499.0","507,079.0","518,732.0","526,115.0","532,699.0","543,376.0","548,687.0","545,786.0","547,116.0","551,407.0","555,424.0","564,647.0","565,808.0","562,135.0","556,355.0","559,364.0","567,305.0","570,705.0","572,726.0","580,889.0","584,234.0","600,965.0","567,603.0","593,780.0","598,139.0","616,049.0","602,152.0","620,049.0","628,675.0","638,993.0","642,752.0","646,883.0","653,053.0","656,443.0","658,910.0","673,276.0","681,953.0","689,211.0","703,048.0","712,389.0","723,193.0","741,975.0","751,758.0","756,999.0","759,194.0","765,055.0","774,483.0","776,859.0","786,422.0","800,106.0","838,604.0","823,585.0","839,962.0","828,698.0"
"24","5","  Distributive industries","A212RC1","33,818.0","34,326.0","35,770.0","36,898.0","36,587.0","37,091.0","38,187.0","38,283.0","37,900.0","38,200.0","37,380.0","37,140.0","37,986.0","39,064.0","40,882.0","41,697.0","43,424.0","44,398.0","44,513.0","45,116.0","45,938.0","46,298.0","47,351.0","48,326.0","48,803.0","49,937.0","50,317.0","50,556.0","50,213.0","49,994.0","50,211.0","50,758.0","51,498.0","52,795.0","54,399.0","55,560.0","56,921.0","57,757.0","58,133.0","59,009.0","59,846.0","60,532.0","61,341.0","61,273.0","60,578.0","60,138.0","61,137.0","62,461.0","63,716.0","65,093.0","65,551.0","66,226.0","67,616.0","68,825.0","68,983.0","68,898.0","68,673.0","69,021.0","70,019.0","70,838.0","71,952.0","73,062.0","73,691.0","74,367.0","75,126.0","76,320.0","77,277.0","78,349.0","79,784.0","81,235.0","82,829.0","84,279.0","85,466.0","86,935.0","88,425.0","90,585.0","92,088.0","94,184.0","96,152.0","97,795.0","99,505.0","100,772.0","102,262.0","103,888.0","106,503.0","109,276.0","112,441.0","114,939.0","117,091.0","120,390.0","123,193.0","126,152.0","128,372.0","129,907.0","132,767.0","133,822.0","136,520.0","139,401.0","141,710.0","143,974.0","149,082.0","151,373.0","154,070.0","158,789.0","163,805.0","168,378.0","172,376.0","176,562.0","179,961.0","185,021.0","189,751.0","192,287.0","192,450.0","194,333.0","200,143.0","205,565.0","212,015.0","216,884.0","222,184.0","226,988.0","231,768.0","239,623.0","245,903.0","253,653.0","260,955.0","270,207.0","277,000.0","287,079.0","296,057.0","301,313.0","310,522.0","319,815.0","326,955.0","329,497.0","335,270.0","346,947.0","357,092.0","363,600.0","370,287.0","373,212.0","377,606.0","381,951.0","386,063.0","388,950.0","389,819.0","399,087.0","405,154.0","419,288.0","427,866.0","438,230.0","447,209.0","455,087.0","461,241.0","469,509.0","476,352.0","485,118.0","491,172.0","494,256.0","501,537.0","509,930.0","517,591.0","527,779.0","538,526.0","545,467.0","556,483.0","568,199.0","578,251.0","587,598.0","597,463.0","601,860.0","604,813.0","613,441.0","621,850.0","631,837.0","637,059.0","637,799.0","635,632.0","643,596.0","648,738.0","654,232.0","665,384.0","672,700.0","680,845.0","699,059.0","676,062.0","696,171.0","702,593.0","716,592.0","715,014.0","737,226.0","746,592.0","760,906.0","770,873.0","779,100.0","788,724.0","795,174.0","805,204.0","818,123.0","829,630.0","842,337.0","858,715.0","871,209.0","887,983.0","907,765.0","925,860.0","940,888.0","960,278.0","977,918.0","1,002,117.0","1,011,839.0","1,027,505.0","1,054,468.0","1,079,892.0","1,092,513.0","1,110,073.0","1,113,379.0"
