"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 28, 2007 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2007 8:45:27 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,"2006"
"8","1","      National income without capital consumption adjustment","A422RC1",7661.4,8122.9,8687.4,8854.9,9013.5,9425.3,10069.5,10917.9,"....."
"9","2","Domestic industries","A423RC1",7640.1,8089.2,8648.5,8811.2,8982.9,9368.5,10023.2,10886,"....."
"10","3","  Private industries","A736RC1",6724.6,7134.9,7642.8,7758.4,7854.7,8168.2,8763.1,9574.6,"....."
"11","4","    Agriculture, forestry, fishing, and hunting","N5004C1",78.5,73.6,70.1,69.3,65.9,80.7,95.3,87.6,"....."
"12","5","    Mining","N5005C1",72.6,69.3,93.8,101,81.4,104,123.7,158.9,"....."
"13","6","    Utilities","N5006C1",138.6,142.6,144.3,149.2,143.8,148.8,155.9,176.7,"....."
"14","7","    Construction","N5007C1",366.6,408.7,440.6,463.3,470.8,478.3,522.8,604.2,"....."
"15","8","    Manufacturing","N5008C1",1112.1,1150.3,1228.5,1094.1,1071.6,1112.3,1211,1365.8,"....."
"16","9","      Durable goods","N5009C1",672.5,695,744,617.8,613.8,630.4,674.6,746,"....."
"17","10","      Nondurable goods","N5010C1",439.5,455.3,484.5,476.2,457.8,481.9,536.4,619.8,"....."
"18","11","    Wholesale trade","N5011C1",505.4,537.1,563.8,557.7,553.4,576,625,689.3,"....."
"19","12","    Retail trade","N5012C1",591.1,626.8,665.3,689,710.1,737.4,766,825.3,"....."
"20","13","    Transportation and warehousing","N5013C1",235.3,247.4,261.2,251.9,250.3,258.8,280.8,306.3,"....."
"21","14","    Information","N5014C1",273.7,302.8,308.3,305.6,307.3,313.7,359.6,417.1,"....."
"22","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1328.5,1396.3,1529.3,1643.7,1644.7,1690.7,1797.4,1832.9,"....."
"23","16","    Professional and business services \1\","N5016C1",975.1,1072.2,1146.6,1171.3,1211.2,1253.4,1327.3,1510.4,"....."
"24","17","    Educational services, health care, and social assistance","N5017C1",582.7,615.8,664.6,719.2,777,823.8,876.1,938.2,"....."
"25","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",267.9,289.1,310.5,316.8,330.3,343.4,366,394.2,"....."
"26","19","    Other services, except government","N5019C1",196.6,202.9,215.8,226.2,237.1,247.1,256.2,267.6,"....."
"27","20","  Government","B436RC1",915.5,954.3,1005.7,1052.8,1128.2,1200.2,1260.2,1311.4,"....."
"28","21","Rest of the world","A192RC1",21.3,33.8,38.9,43.6,30.6,56.8,46.3,31.9,"....."
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
