"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"21","2","Personal consumption expenditures","DPCERX1","2,651,653.0","2,668,610.0","2,681,507.0","2,702,892.0","2,719,480.0","2,731,918.0","2,755,859.0","2,748,384.0","2,800,908.0","2,826,564.0","2,849,140.0","2,896,530.0","2,935,187.0","2,991,240.0","3,037,419.0","3,108,636.0","3,165,520.0","3,163,930.0","3,175,258.0","3,165,978.0","3,138,265.0","3,149,214.0","3,162,162.0","3,115,848.0","3,142,000.0","3,194,361.0","3,239,878.0","3,274,190.0","3,339,636.0","3,370,296.0","3,405,908.0","3,450,276.0","3,489,709.0","3,509,023.0","3,542,453.0","3,595,903.0","3,616,894.0","3,694,212.0","3,709,748.0","3,739,550.0","3,758,460.0","3,756,259.0","3,793,217.0","3,803,276.0","3,796,689.0","3,710,516.0","3,750,291.0","3,800,303.0","3,821,108.0","3,821,051.0","3,836,556.0","3,807,557.0","3,832,171.0","3,845,934.0","3,875,401.0","3,946,056.0","3,984,754.0","4,063,886.0","4,135,703.0","4,201,274.0","4,237,276.0","4,297,901.0","4,331,062.0","4,388,121.0","4,462,521.0","4,503,183.0","4,588,727.0","4,598,769.0","4,637,160.0","4,686,594.0","4,768,482.0","4,797,226.0","4,789,928.0","4,854,046.0","4,908,210.0","4,919,986.0","5,002,155.0","5,038,531.0","5,078,262.0","5,138,106.0","5,156,905.0","5,179,992.0","5,233,725.0","5,259,345.0","5,300,919.0","5,318,412.0","5,338,605.0","5,297,038.0","5,281,955.0","5,322,227.0","5,342,596.0","5,340,164.0","5,432,003.0","5,464,205.0","5,524,609.0","5,592,034.0","5,614,692.0","5,668,557.0","5,730,095.0","5,781,059.0","5,845,473.0","5,888,811.0","5,935,972.0","5,994,574.0","6,001,559.0","6,050,772.0","6,104,855.0","6,147,779.0","6,204,030.0","6,274,207.0","6,311,769.0","6,363,171.0","6,427,255.0","6,453,309.0","6,563,022.0","6,638,118.0","6,704,142.0","6,819,450.0","6,909,933.0","7,015,865.0","7,085,102.0","7,196,588.0","7,283,078.0","7,385,821.0","7,497,840.0","7,568,331.0","7,642,397.0","7,710,029.0","7,740,773.0","7,770,004.0","7,804,168.0","7,926,381.0","7,953,699.0","7,994,117.0","8,048,318.0","8,076,883.0","8,117,708.0","8,198,142.0","8,308,497.0","8,353,651.0","8,427,642.0","8,465,058.0","8,539,101.0","8,631,300.0","8,700,093.0","8,786,193.0","8,852,897.0","8,874,916.0","8,965,782.0","9,019,830.0","9,073,890.0","9,158,313.0","9,209,211.0","9,244,546.0","9,285,236.0","9,312,592.0","9,289,074.0","9,285,780.0","9,195,964.0","9,076,039.0","9,039,514.0","8,999,313.0","9,046,223.0","9,045,355.0","9,100,836.0","9,159,354.0","9,215,995.0","9,308,465.0","9,380,907.0","9,403,231.0","9,441,884.0","9,489,346.0","9,546,818.0","9,586,898.0"
"22","3","  Goods","DGDSRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,870,614.0","1,883,232.0","1,906,044.0","1,924,045.0","1,939,453.0","1,977,272.0","1,991,326.0","2,015,478.0","2,042,662.0","2,041,102.0","2,094,486.0","2,123,089.0","2,139,590.0","2,195,828.0","2,229,339.0","2,297,414.0","2,325,919.0","2,380,956.0","2,409,629.0","2,451,543.0","2,488,956.0","2,502,608.0","2,529,323.0","2,551,895.0","2,558,569.0","2,565,931.0","2,585,226.0","2,679,446.0","2,674,102.0","2,686,844.0","2,721,390.0","2,729,079.0","2,747,510.0","2,798,197.0","2,872,687.0","2,890,440.0","2,920,603.0","2,927,138.0","2,962,977.0","3,002,384.0","3,035,370.0","3,077,236.0","3,100,924.0","3,093,376.0","3,146,785.0","3,157,734.0","3,184,459.0","3,226,706.0","3,247,643.0","3,263,023.0","3,287,336.0","3,295,815.0","3,248,989.0","3,252,676.0","3,187,944.0","3,081,980.0","3,083,226.0","3,066,993.0","3,123,057.0","3,119,457.0","3,159,532.0","3,185,370.0","3,215,140.0","3,276,548.0","3,320,264.0","3,312,239.0","3,323,497.0","3,367,853.0","3,406,608.0","3,409,600.0"
"23","4","    Durable goods","DDURRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","497,326.0","502,383.0","516,565.0","525,538.0","531,244.0","548,145.0","552,026.0","562,807.0","578,055.0","576,190.0","601,881.0","617,239.0","622,411.0","654,147.0","673,033.0","712,983.0","714,746.0","749,120.0","767,361.0","776,903.0","820,606.0","805,838.0","819,772.0","825,801.0","839,800.0","839,383.0","849,543.0","920,908.0","910,357.0","919,932.0","946,874.0","934,405.0","937,172.0","975,919.0","1,016,893.0","1,026,538.0","1,040,919.0","1,047,456.0","1,068,178.0","1,087,199.0","1,098,695.0","1,130,582.0","1,146,642.0","1,117,488.0","1,160,885.0","1,161,781.0","1,178,979.0","1,195,214.0","1,210,070.0","1,227,048.0","1,242,747.0","1,249,906.0","1,218,707.0","1,209,775.0","1,170,776.0","1,087,977.0","1,091,390.0","1,085,771.0","1,138,569.0","1,120,707.0","1,135,919.0","1,164,522.0","1,184,896.0","1,227,665.0","1,249,392.0","1,242,277.0","1,258,582.0","1,300,117.0","1,336,076.0","1,335,944.0"
"24","5","    Nondurable goods","DNDGRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,427,990.0","1,435,010.0","1,440,106.0","1,447,534.0","1,456,906.0","1,475,627.0","1,486,125.0","1,498,160.0","1,507,269.0","1,508,098.0","1,532,374.0","1,543,149.0","1,554,551.0","1,573,754.0","1,585,358.0","1,607,043.0","1,636,729.0","1,652,095.0","1,659,955.0","1,693,953.0","1,679,332.0","1,712,882.0","1,724,532.0","1,741,381.0","1,731,226.0","1,739,494.0","1,747,918.0","1,763,045.0","1,770,210.0","1,772,485.0","1,777,504.0","1,800,015.0","1,815,979.0","1,825,152.0","1,856,935.0","1,864,778.0","1,880,423.0","1,880,279.0","1,895,099.0","1,915,419.0","1,937,024.0","1,946,685.0","1,954,373.0","1,975,417.0","1,986,138.0","1,996,052.0","2,005,920.0","2,031,869.0","2,038,210.0","2,037,499.0","2,046,914.0","2,049,014.0","2,032,057.0","2,043,501.0","2,015,433.0","1,985,291.0","1,983,703.0","1,973,264.0","1,981,414.0","1,992,882.0","2,017,702.0","2,018,262.0","2,029,359.0","2,051,978.0","2,075,279.0","2,073,510.0","2,071,448.0","2,080,549.0","2,088,890.0","2,091,691.0"
"25","6","  Services","DSERRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,159,368.0","4,196,972.0","4,226,884.0","4,250,772.0","4,292,389.0","4,320,936.0","4,344,033.0","4,369,583.0","4,405,131.0","4,435,023.0","4,487,758.0","4,533,441.0","4,583,861.0","4,639,757.0","4,696,136.0","4,728,838.0","4,768,790.0","4,822,691.0","4,880,612.0","4,940,434.0","5,015,169.0","5,073,450.0","5,120,478.0","5,165,412.0","5,189,696.0","5,211,730.0","5,225,766.0","5,249,012.0","5,283,041.0","5,310,922.0","5,329,550.0","5,350,442.0","5,372,383.0","5,401,084.0","5,435,935.0","5,463,303.0","5,507,144.0","5,538,192.0","5,576,321.0","5,629,045.0","5,664,753.0","5,708,969.0","5,751,957.0","5,781,516.0","5,819,090.0","5,862,066.0","5,889,472.0","5,931,941.0","5,961,973.0","5,982,035.0","5,998,841.0","6,017,750.0","6,039,748.0","6,032,854.0","6,006,502.0","5,988,840.0","5,951,530.0","5,926,918.0","5,920,667.0","5,923,165.0","5,940,366.0","5,973,624.0","6,001,405.0","6,034,880.0","6,064,834.0","6,093,975.0","6,121,136.0","6,125,957.0","6,145,904.0","6,182,222.0"
"26","7","Gross private domestic investment","A006RX1","510,817.0","506,747.0","518,463.0","490,539.0","475,186.0","476,675.0","484,820.0","456,735.0","516,047.0","532,040.0","539,038.0","522,174.0","559,101.0","593,324.0","601,768.0","604,890.0","643,300.0","673,374.0","647,044.0","671,795.0","628,929.0","625,813.0","590,511.0","596,125.0","491,414.0","474,350.0","514,520.0","528,662.0","583,406.0","608,287.0","609,416.0","613,653.0","643,843.0","693,603.0","731,402.0","710,755.0","724,851.0","774,620.0","798,531.0","816,700.0","816,568.0","814,679.0","798,819.0","783,948.0","778,266.0","708,050.0","654,084.0","720,583.0","792,193.0","754,479.0","801,311.0","770,235.0","689,990.0","689,377.0","681,332.0","620,659.0","642,758.0","704,793.0","752,185.0","831,385.0","918,402.0","949,367.0","971,435.0","955,497.0","923,994.0","939,944.0","929,558.0","965,900.0","963,915.0","942,523.0","912,975.0","914,390.0","942,328.0","943,647.0","944,599.0","1,018,254.0","960,883.0","984,256.0","990,580.0","1,003,699.0","1,042,162.0","1,029,984.0","1,017,880.0","1,007,433.0","1,017,347.0","1,017,636.0","993,683.0","930,842.0","892,943.0","888,453.0","910,573.0","945,432.0","924,413.0","985,307.0","995,492.0","1,027,000.0","1,051,133.0","1,059,387.0","1,058,641.0","1,114,505.0","1,162,591.0","1,230,354.0","1,208,235.0","1,264,563.0","1,277,416.0","1,243,061.0","1,231,097.0","1,265,761.0","1,282,435.0","1,348,860.0","1,416,875.0","1,413,023.0","1,446,014.0","1,538,348.0","1,565,697.0","1,590,702.0","1,666,631.0","1,646,688.0","1,693,873.0","1,748,351.0","1,803,407.0","1,797,110.0","1,842,208.0","1,907,564.0","1,880,899.0","2,011,120.0","1,979,716.0","1,980,700.0","1,876,059.0","1,869,997.0","1,830,347.0","1,724,487.0","1,781,870.0","1,803,390.0","1,807,992.0","1,808,254.0","1,810,447.0","1,821,780.0","1,888,413.0","1,959,869.0","1,970,103.0","2,055,716.0","2,082,113.0","2,124,924.0","2,169,959.0","2,131,293.0","2,155,050.0","2,232,825.0","2,266,337.0","2,263,139.0","2,231,240.0","2,166,660.0","2,145,138.0","2,192,991.0","2,176,273.0","2,123,593.0","2,055,697.0","2,024,043.0","1,934,654.0","1,744,639.0","1,515,954.0","1,400,687.0","1,394,782.0","1,521,073.0","1,591,381.0","1,646,422.0","1,710,072.0","1,684,274.0","1,661,625.0","1,711,288.0","1,735,777.0","1,867,275.0","1,895,124.0","1,909,238.0"
"27","8","  Fixed investment","A007RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,220,191.0","1,215,564.0","1,231,604.0","1,257,282.0","1,289,050.0","1,330,985.0","1,361,779.0","1,384,521.0","1,411,557.0","1,441,978.0","1,497,513.0","1,510,371.0","1,555,845.0","1,610,062.0","1,640,701.0","1,690,863.0","1,722,221.0","1,762,526.0","1,803,529.0","1,813,681.0","1,866,702.0","1,913,636.0","1,920,431.0","1,926,307.0","1,914,925.0","1,884,961.0","1,864,988.0","1,817,760.0","1,801,083.0","1,794,109.0","1,791,860.0","1,778,930.0","1,781,425.0","1,827,771.0","1,887,156.0","1,922,498.0","1,918,695.0","1,977,860.0","2,019,571.0","2,053,679.0","2,078,803.0","2,115,800.0","2,143,069.0","2,151,647.0","2,201,905.0","2,191,883.0","2,163,765.0","2,133,366.0","2,127,070.0","2,145,596.0","2,138,227.0","2,111,535.0","2,066,360.0","2,039,097.0","1,973,542.0","1,835,389.0","1,677,315.0","1,593,698.0","1,581,158.0","1,556,775.0","1,553,115.0","1,606,516.0","1,602,672.0","1,632,338.0","1,626,971.0","1,675,405.0","1,736,799.0","1,778,658.0","1,820,635.0","1,843,223.0"
"28","9","    Nonresidential","A008RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","777,254.0","782,647.0","787,898.0","803,750.0","823,698.0","847,375.0","875,579.0","899,254.0","922,205.0","945,097.0","993,280.0","1,001,259.0","1,035,890.0","1,073,805.0","1,089,987.0","1,125,964.0","1,152,079.0","1,184,379.0","1,218,411.0","1,222,210.0","1,267,629.0","1,314,398.0","1,328,979.0","1,334,220.0","1,321,670.0","1,286,919.0","1,265,468.0","1,224,996.0","1,195,823.0","1,176,623.0","1,171,422.0","1,150,865.0","1,147,832.0","1,179,489.0","1,206,830.0","1,224,063.0","1,214,322.0","1,247,147.0","1,281,163.0","1,309,309.0","1,321,118.0","1,340,555.0","1,359,740.0","1,367,888.0","1,426,629.0","1,452,370.0","1,467,745.0","1,475,160.0","1,498,542.0","1,537,534.0","1,571,393.0","1,592,340.0","1,589,083.0","1,579,991.0","1,539,159.0","1,442,314.0","1,324,305.0","1,261,997.0","1,236,650.0","1,216,429.0","1,222,689.0","1,258,550.0","1,282,144.0","1,310,530.0","1,306,285.0","1,351,329.0","1,411,263.0","1,443,746.0","1,470,042.0","1,485,193.0"
"29","10","      Structures","B009RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","336,459.0","343,189.0","345,687.0","342,774.0","348,888.0","356,530.0","360,923.0","379,289.0","382,629.0","379,235.0","393,543.0","396,246.0","391,971.0","413,084.0","413,244.0","412,586.0","410,888.0","405,906.0","405,593.0","410,442.0","418,367.0","435,715.0","452,121.0","453,989.0","441,472.0","443,048.0","445,548.0","403,248.0","381,350.0","360,711.0","344,697.0","339,628.0","336,246.0","346,299.0","345,551.0","343,946.0","341,939.0","345,904.0","349,378.0","349,693.0","355,957.0","354,612.0","347,168.0","349,281.0","364,755.0","383,652.0","393,161.0","394,617.0","404,800.0","430,550.0","454,627.0","462,854.0","463,824.0","474,408.0","469,922.0","457,481.0","417,684.0","380,114.0","351,685.0","323,079.0","302,625.0","312,114.0","310,405.0","317,361.0","292,150.0","315,033.0","330,177.0","339,262.0","349,718.0","352,158.0"
"30","11","      Equipment and software","B010RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","483,233.0","484,448.0","487,601.0","502,326.0","516,008.0","532,051.0","553,601.0","564,017.0","581,730.0","603,119.0","636,624.0","642,002.0","674,639.0","695,311.0","709,418.0","741,566.0","765,692.0","797,559.0","828,190.0","828,506.0","864,271.0","894,976.0","897,136.0","900,598.0","897,809.0","864,679.0","842,950.0","836,762.0","825,993.0","823,739.0","831,253.0","815,907.0","815,802.0","837,715.0","864,337.0","882,109.0","874,483.0","902,645.0","932,477.0","959,586.0","965,221.0","985,768.0","1,012,488.0","1,018,807.0","1,062,485.0","1,068,386.0","1,073,769.0","1,079,907.0","1,092,424.0","1,102,899.0","1,109,811.0","1,121,909.0","1,117,232.0","1,094,581.0","1,056,782.0","968,988.0","892,903.0","873,158.0","880,817.0","893,791.0","925,017.0","951,584.0","978,736.0","1,000,405.0","1,027,044.0","1,046,542.0","1,091,516.0","1,114,763.0","1,129,570.0","1,142,717.0"
"31","12","    Residential","A011RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","457,683.0","442,972.0","456,667.0","467,026.0","479,304.0","499,548.0","498,172.0","493,023.0","494,692.0","500,948.0","503,248.0","508,411.0","517,476.0","533,029.0","549,027.0","562,177.0","565,516.0","571,605.0","576,351.0","583,405.0","587,972.0","583,962.0","573,713.0","574,206.0","576,833.0","584,947.0","588,113.0","583,110.0","598,682.0","613,363.0","616,937.0","626,362.0","632,409.0","646,773.0","679,741.0","698,160.0","704,462.0","730,971.0","738,375.0","744,238.0","757,771.0","775,389.0","783,333.0","783,525.0","775,194.0","740,037.0","697,306.0","660,164.0","631,307.0","611,401.0","570,674.0","523,371.0","481,309.0","462,844.0","437,750.0","395,813.0","355,284.0","333,704.0","347,195.0","342,995.0","332,742.0","350,481.0","322,170.0","323,334.0","322,225.0","325,453.0","326,580.0","336,048.0","352,107.0","359,714.0"
"32","13","  Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","17,324.0","44,868.0","36,093.0","12,617.0","-12,497.0","-14,172.0","-38,131.0","-80,265.0","-150,237.0","-185,516.0","-181,516.0","-38,783.0","30,499.0","33,220.0","94,908.0","45,029.0","30,344.0","27,540.0","-4,326.0","70,532.0","56,948.0","49,859.0"
"33","14","Net exports of goods and services","A019RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-117,011.0","-114,638.0","-81,918.0","-81,535.0","-101,612.0","-108,867.0","-134,328.0","-97,949.0","-124,975.0","-123,238.0","-141,705.0","-169,256.0","-209,855.0","-250,812.0","-272,988.0","-276,277.0","-318,837.0","-350,659.0","-374,190.0","-381,981.0","-423,848.0","-439,174.0","-466,972.0","-475,281.0","-466,573.0","-456,064.0","-476,340.0","-488,387.0","-510,227.0","-534,579.0","-553,926.0","-595,204.0","-584,899.0","-612,356.0","-602,824.0","-614,627.0","-632,247.0","-686,934.0","-705,694.0","-726,632.0","-714,751.0","-709,330.0","-721,415.0","-745,437.0","-732,796.0","-733,155.0","-756,755.0","-694,733.0","-703,227.0","-689,358.0","-638,070.0","-564,595.0","-550,215.0","-486,217.0","-464,613.0","-477,996.0","-403,489.0","-322,789.0","-346,933.0","-347,512.0","-372,690.0","-428,746.0","-458,889.0","-418,310.0","-416,580.0","-399,573.0","-397,890.0","-417,986.0","-415,523.0","-404,666.0"
"34","15","  Exports","A020RX1","136,035.0","166,531.0","162,535.0","168,171.0","169,622.0","177,087.0","176,509.0","178,133.0","178,812.0","178,451.0","185,782.0","170,207.0","188,233.0","182,754.0","193,789.0","202,007.0","216,811.0","227,267.0","228,025.0","239,227.0","242,284.0","254,065.0","240,363.0","246,644.0","248,384.0","241,156.0","237,094.0","250,499.0","248,762.0","251,270.0","258,570.0","261,197.0","257,002.0","263,929.0","265,974.0","257,438.0","263,502.0","290,963.0","294,154.0","305,833.0","306,087.0","306,895.0","317,947.0","337,956.0","347,388.0","353,936.0","353,186.0","351,045.0","357,676.0","359,610.0","351,959.0","353,587.0","338,259.0","340,298.0","325,222.0","310,328.0","315,341.0","316,292.0","321,058.0","327,532.0","334,376.0","342,690.0","350,259.0","357,373.0","357,621.0","356,334.0","351,111.0","361,682.0","373,116.0","377,178.0","385,797.0","400,167.0","400,473.0","416,364.0","434,305.0","450,364.0","475,315.0","488,472.0","497,525.0","512,714.0","527,794.0","550,762.0","556,795.0","565,550.0","590,259.0","598,282.0","602,650.0","607,706.0","612,057.0","634,093.0","648,611.0","663,399.0","675,229.0","675,250.0","689,918.0","693,441.0","695,014.0","703,517.0","701,219.0","723,653.0","730,580.0","754,673.0","783,506.0","800,851.0","815,571.0","826,811.0","862,768.0","875,221.0","886,246.0","901,103.0","908,392.0","965,337.0","983,725.0","1,022,681.0","1,046,441.0","1,044,536.0","1,049,464.0","1,037,368.0","1,032,553.0","1,071,490.0","1,063,257.0","1,075,482.0","1,103,688.0","1,131,347.0","1,150,846.0","1,183,524.0","1,212,403.0","1,202,850.0","1,187,080.0","1,148,337.0","1,089,225.0","1,058,512.0","1,075,428.0","1,104,619.0","1,112,318.0","1,100,990.0","1,090,816.0","1,087,282.0","1,116,797.0","1,169,134.0","1,196,955.0","1,215,706.0","1,224,735.0","1,252,757.0","1,276,163.0","1,303,552.0","1,303,868.0","1,336,645.0","1,388,725.0","1,412,078.0","1,414,153.0","1,473,461.0","1,496,530.0","1,521,318.0","1,577,950.0","1,621,932.0","1,643,924.0","1,693,878.0","1,678,712.0","1,580,583.0","1,452,465.0","1,454,612.0","1,502,336.0","1,585,218.0","1,608,233.0","1,645,408.0","1,683,919.0","1,724,650.0","1,748,828.0","1,766,423.0","1,792,875.0","1,799,294.0","1,818,678.0","1,845,473.0"
