"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Consumption of fixed capital","A438RC1","45,120.0","50,004.0","54,832.0","59,700.0","66,924.0","78,820.0","94,416.0","104,532.0","117,988.0","134,228.0","155,120.0","179,836.0","208,140.0","231,388.0","240,436.0","252,904.0","271,728.0","289,812.0","306,472.0","328,816.0","350,840.0","373,040.0","392,064.0","402,008.0","420,052.0","444,852.0","476,804.0","505,984.0","540,856.0","578,312.0","625,812.0","685,064.0","730,252.0","755,892.0","775,528.0","809,160.0","862,868.0","925,856.0","973,364.0","1,028,488.0","1,030,352.0","1,026,456.0","1,061,912.0"
"21","3","Net value added","A439RC1","531,540.0","547,748.0","591,276.0","657,022.0","735,627.0","791,046.0","850,027.0","958,355.0","1,087,125.0","1,241,859.0","1,373,905.0","1,483,168.0","1,680,811.0","1,735,959.0","1,876,217.0","2,118,384.0","2,254,751.0","2,350,826.0","2,526,142.0","2,736,696.0","2,878,645.0","3,003,936.0","3,075,341.0","3,240,195.0","3,403,150.0","3,665,695.0","3,880,717.0","4,119,004.0","4,438,068.0","4,720,939.0","4,998,697.0","5,331,353.0","5,304,448.0","5,366,786.0","5,585,155.0","5,965,041.0","6,434,995.0","6,897,435.0","6,992,219.0","6,970,528.0","6,629,520.0","7,060,245.0","7,431,524.0"
"22","4","  Compensation of employees","A442RC1","378,601.0","400,222.0","425,268.0","472,543.0","533,867.0","587,442.0","614,869.0","695,201.0","784,767.0","901,849.0","1,021,974.0","1,120,064.0","1,239,986.0","1,293,822.0","1,367,059.0","1,513,876.0","1,622,438.0","1,720,379.0","1,840,029.0","1,980,350.0","2,088,261.0","2,200,573.0","2,249,393.0","2,375,532.0","2,488,194.0","2,634,789.0","2,776,049.0","2,914,924.0","3,123,863.0","3,396,831.0","3,628,646.0","3,950,709.0","3,986,221.0","3,980,681.0","4,105,478.0","4,265,862.0","4,498,459.0","4,743,366.0","4,944,149.0","5,025,879.0","4,709,620.0","4,807,936.0","5,057,787.0"
"23","5","    Wage and salary accruals","A443RC1","338,028.0","355,982.0","376,191.0","414,773.0","464,577.0","508,899.0","528,426.0","591,170.0","662,696.0","756,219.0","855,631.0","935,607.0","1,033,425.0","1,073,098.0","1,132,638.0","1,256,796.0","1,351,389.0","1,432,276.0","1,536,556.0","1,656,670.0","1,745,972.0","1,838,152.0","1,865,287.0","1,958,427.0","2,043,672.0","2,163,560.0","2,300,240.0","2,438,630.0","2,635,326.0","2,868,562.0","3,077,602.0","3,344,418.0","3,350,302.0","3,294,379.0","3,356,949.0","3,507,849.0","3,701,409.0","3,930,894.0","4,130,539.0","4,166,974.0","3,881,721.0","3,968,592.0","4,173,230.0"
"24","6","    Supplements to wages and salaries","A444RC1","40,573.0","44,240.0","49,077.0","57,770.0","69,290.0","78,543.0","86,443.0","104,031.0","122,071.0","145,630.0","166,343.0","184,457.0","206,561.0","220,724.0","234,421.0","257,080.0","271,049.0","288,103.0","303,473.0","323,680.0","342,289.0","362,421.0","384,106.0","417,105.0","444,522.0","471,229.0","475,809.0","476,294.0","488,537.0","528,269.0","551,044.0","606,291.0","635,919.0","686,302.0","748,529.0","758,013.0","797,050.0","812,472.0","813,610.0","858,905.0","827,899.0","839,344.0","884,557.0"
"25","7","  Taxes on production and imports less subsidies","W321RC1","52,896.0","56,965.0","62,805.0","67,290.0","74,125.0","78,624.0","84,498.0","91,413.0","100,018.0","108,702.0","115,009.0","128,574.0","154,404.0","161,301.0","177,439.0","195,621.0","209,049.0","219,623.0","233,366.0","252,014.0","267,544.0","284,469.0","307,936.0","325,895.0","342,038.0","372,405.0","379,100.0","390,680.0","406,864.0","418,445.0","441,454.0","466,570.0","462,567.0","492,179.0","517,304.0","553,743.0","596,704.0","633,735.0","651,540.0","660,978.0","636,485.0","658,991.0","694,093.0"
"26","8","  Net operating surplus","W322RC1","100,043.0","90,561.0","103,203.0","117,189.0","127,635.0","124,980.0","150,660.0","171,741.0","202,340.0","231,308.0","236,922.0","234,530.0","286,421.0","280,836.0","331,719.0","408,887.0","423,264.0","410,824.0","452,747.0","504,332.0","522,840.0","518,894.0","518,012.0","538,768.0","572,918.0","658,501.0","725,568.0","813,400.0","907,341.0","905,663.0","928,597.0","914,074.0","855,660.0","893,926.0","962,373.0","1,145,436.0","1,339,832.0","1,520,334.0","1,396,530.0","1,283,671.0","1,283,415.0","1,593,318.0","1,679,644.0"
"27","9","    Net interest and miscellaneous payments","A453RC1","7,755.0","11,271.0","11,458.0","11,319.0","13,045.0","20,706.0","23,409.0","18,797.0","23,321.0","27,519.0","34,892.0","55,933.0","77,749.0","90,028.0","86,599.0","98,824.0","96,875.0","106,318.0","107,648.0","107,788.0","129,975.0","125,774.0","102,644.0","80,582.0","73,469.0","75,033.0","64,679.0","69,251.0","94,823.0","142,183.0","138,983.0","166,631.0","154,181.0","116,169.0","99,406.0","48,595.0","61,613.0","120,430.0","164,204.0","338,669.0","189,836.0","182,604.0","183,449.0"
"28","10","    Business current transfer payments (net)","W323RC1","4,412.0","3,884.0","3,526.0","3,978.0","4,983.0","6,616.0","8,572.0","7,888.0","6,290.0","8,231.0","11,288.0","12,645.0","15,083.0","17,675.0","20,348.0","28,022.0","31,949.0","29,854.0","25,269.0","26,910.0","34,432.0","34,759.0","34,562.0","35,050.0","32,676.0","33,209.0","37,650.0","44,618.0","35,242.0","53,821.0","54,857.0","73,845.0","87,015.0","63,451.0","50,935.0","54,938.0","61,575.0","48,433.0","72,563.0","103,203.0","104,037.0","109,833.0","108,134.0"
"29","11","    Corporate profits with IVA and CCAdj","A445RC1","87,876.0","75,406.0","88,219.0","101,892.0","109,607.0","97,658.0","118,679.0","145,056.0","172,729.0","195,558.0","190,742.0","165,952.0","193,589.0","173,133.0","224,772.0","282,041.0","294,440.0","274,652.0","319,830.0","369,634.0","358,433.0","358,361.0","380,806.0","423,136.0","466,773.0","550,259.0","623,239.0","699,531.0","777,276.0","709,659.0","734,757.0","673,598.0","614,464.0","714,306.0","812,032.0","1,041,903.0","1,216,644.0","1,351,471.0","1,159,763.0","841,799.0","989,542.0","1,300,881.0","1,388,061.0"
"30","12","      Taxes on corporate income","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,267.0","445,465.0","309,029.0","269,369.0","373,322.0","379,043.0"
"31","13","      Profits after tax with IVA and CCAdj","W273RC1","47,899.0","40,649.0","50,054.0","59,551.0","59,634.0","44,873.0","67,033.0","79,768.0","98,288.0","110,700.0","100,726.0","78,762.0","109,250.0","106,634.0","144,124.0","184,510.0","195,034.0","164,977.0","189,389.0","228,004.0","212,365.0","212,937.0","242,215.0","274,448.0","295,739.0","357,118.0","405,401.0","468,062.0","531,855.0","461,293.0","475,973.0","408,506.0","411,168.0","521,970.0","568,265.0","735,810.0","804,260.0","878,204.0","714,298.0","532,770.0","720,173.0","927,559.0","1,009,018.0"
"32","14","        Net dividends","A449RC1","20,403.0","20,371.0","20,337.0","21,942.0","23,107.0","23,454.0","26,404.0","30,055.0","33,690.0","39,609.0","41,479.0","47,322.0","58,311.0","61,329.0","71,319.0","78,515.0","85,709.0","88,297.0","95,607.0","98,025.0","126,374.0","144,088.0","156,356.0","159,993.0","182,348.0","197,557.0","221,632.0","257,331.0","283,995.0","309,184.0","295,700.0","348,456.0","330,056.0","351,177.0","392,766.0","488,017.0","296,458.0","626,877.0","649,723.0","606,343.0","442,253.0","481,034.0","554,021.0"
"33","15","        Undistributed profits with IVA and CCAdj","W274RC1","27,496.0","20,278.0","29,717.0","37,609.0","36,527.0","21,419.0","40,629.0","49,713.0","64,598.0","71,091.0","59,247.0","31,440.0","50,939.0","45,305.0","72,805.0","105,995.0","109,325.0","76,680.0","93,782.0","129,979.0","85,991.0","68,849.0","85,859.0","114,455.0","113,391.0","159,561.0","183,769.0","210,731.0","247,860.0","152,109.0","180,273.0","60,050.0","81,112.0","170,793.0","175,499.0","247,793.0","507,802.0","251,327.0","64,575.0","-73,573.0","277,920.0","446,525.0","454,997.0"
"34","16","    Gross value added of financial corporate business \1\","A454RC1","36,199.0","39,439.0","43,068.0","47,300.0","51,780.0","60,024.0","67,782.0","73,160.0","85,749.0","103,409.0","114,594.0","128,491.0","146,758.0","164,734.0","187,563.0","209,875.0","232,576.0","257,440.0","281,650.0","300,117.0","330,254.0","341,752.0","363,269.0","401,107.0","424,821.0","432,982.0","469,540.0","505,569.0","566,443.0","630,929.0","668,972.0","736,986.0","782,241.0","815,020.0","856,945.0","896,746.0","995,079.0","1,082,989.0","1,019,540.0","1,007,578.0","1,069,042.0","1,134,278.0","1,126,756.0"
"35","17","    Gross value added of nonfinancial corporate business \1\","A455RC1","540,461.0","558,313.0","603,040.0","669,422.0","750,771.0","809,842.0","876,661.0","989,727.0","1,119,364.0","1,272,678.0","1,414,431.0","1,534,513.0","1,742,193.0","1,802,613.0","1,929,090.0","2,161,413.0","2,293,903.0","2,383,198.0","2,550,964.0","2,765,395.0","2,899,231.0","3,035,224.0","3,104,136.0","3,241,097.0","3,398,381.0","3,677,566.0","3,887,980.0","4,119,418.0","4,412,482.0","4,668,322.0","4,955,537.0","5,279,431.0","5,252,459.0","5,307,658.0","5,503,738.0","5,877,456.0","6,302,783.0","6,740,302.0","6,946,043.0","6,991,437.0","6,590,830.0","6,952,423.0","7,366,680.0"
"36","18","Consumption of fixed capital","B456RC1","42,916.0","47,480.0","51,956.0","56,464.0","63,128.0","74,164.0","88,624.0","97,776.0","110,116.0","125,148.0","144,264.0","166,668.0","192,420.0","212,840.0","219,296.0","228,840.0","244,004.0","258,004.0","270,048.0","287,268.0","303,928.0","321,020.0","336,112.0","344,084.0","359,036.0","380,068.0","408,252.0","435,060.0","466,856.0","499,860.0","539,264.0","590,068.0","631,956.0","654,520.0","668,992.0","695,596.0","742,960.0","800,944.0","840,064.0","864,304.0","862,488.0","860,104.0","893,684.0"
"37","19","Net value added","A457RC1","497,545.0","510,833.0","551,084.0","612,958.0","687,643.0","735,678.0","788,037.0","891,951.0","1,009,248.0","1,147,530.0","1,270,167.0","1,367,845.0","1,549,773.0","1,589,773.0","1,709,794.0","1,932,573.0","2,049,899.0","2,125,194.0","2,280,916.0","2,478,127.0","2,595,303.0","2,714,204.0","2,768,024.0","2,897,013.0","3,039,345.0","3,297,498.0","3,479,728.0","3,684,358.0","3,945,626.0","4,168,462.0","4,416,273.0","4,689,363.0","4,620,503.0","4,653,138.0","4,834,746.0","5,181,860.0","5,559,823.0","5,939,358.0","6,105,979.0","6,127,133.0","5,728,342.0","6,092,319.0","6,472,996.0"
"38","20","  Compensation of employees","A460RC1","357,096.0","376,469.0","399,436.0","443,879.0","502,160.0","552,186.0","575,463.0","651,383.0","735,288.0","845,125.0","958,393.0","1,047,164.0","1,157,618.0","1,200,373.0","1,263,054.0","1,400,021.0","1,496,109.0","1,575,408.0","1,678,428.0","1,804,713.0","1,905,676.0","2,005,493.0","2,044,764.0","2,152,894.0","2,244,011.0","2,382,137.0","2,511,467.0","2,631,274.0","2,814,628.0","3,049,652.0","3,256,530.0","3,541,777.0","3,559,380.0","3,544,159.0","3,651,336.0","3,786,723.0","3,976,325.0","4,182,335.0","4,360,962.0","4,441,201.0","4,173,748.0","4,251,986.0","4,472,712.0"
"39","21","    Wage and salary accruals","B461RC1","318,844.0","334,938.0","353,485.0","389,878.0","437,318.0","478,533.0","495,060.0","554,586.0","621,569.0","708,962.0","802,507.0","874,674.0","964,258.0","994,953.0","1,044,744.0","1,160,091.0","1,243,009.0","1,307,314.0","1,397,010.0","1,505,992.0","1,590,055.0","1,672,323.0","1,692,327.0","1,771,312.0","1,838,045.0","1,951,260.0","2,077,543.0","2,196,609.0","2,369,290.0","2,568,282.0","2,755,566.0","2,991,110.0","2,989,899.0","2,936,698.0","2,979,049.0","3,105,547.0","3,267,483.0","3,462,304.0","3,636,162.0","3,681,382.0","3,435,290.0","3,508,369.0","3,687,479.0"
"40","22","    Supplements to wages and salaries","B462RC1","38,252.0","41,531.0","45,951.0","54,001.0","64,842.0","73,653.0","80,403.0","96,797.0","113,719.0","136,163.0","155,886.0","172,490.0","193,360.0","205,420.0","218,310.0","239,930.0","253,100.0","268,094.0","281,418.0","298,721.0","315,621.0","333,170.0","352,437.0","381,582.0","405,966.0","430,877.0","433,924.0","434,665.0","445,338.0","481,370.0","500,964.0","550,667.0","569,481.0","607,461.0","672,287.0","681,176.0","708,842.0","720,031.0","724,800.0","759,819.0","738,458.0","743,617.0","785,233.0"
"41","23","  Taxes on production and imports less subsidies","W325RC1","50,181.0","54,249.0","59,516.0","63,665.0","70,075.0","74,430.0","80,194.0","86,668.0","94,631.0","102,726.0","108,757.0","121,536.0","146,651.0","152,915.0","168,018.0","185,003.0","196,579.0","204,565.0","216,840.0","233,839.0","248,156.0","263,528.0","285,729.0","302,501.0","317,995.0","347,847.0","354,235.0","365,587.0","380,955.0","393,068.0","414,648.0","439,350.0","434,472.0","461,852.0","484,229.0","517,666.0","558,370.0","593,286.0","607,659.0","615,175.0","589,184.0","612,170.0","645,795.0"
"42","24","  Net operating surplus","W326RC1","90,268.0","80,115.0","92,132.0","105,414.0","115,408.0","109,062.0","132,380.0","153,900.0","179,329.0","199,679.0","203,017.0","199,145.0","245,504.0","236,485.0","278,722.0","347,549.0","357,211.0","345,221.0","385,648.0","439,575.0","441,471.0","445,183.0","437,531.0","441,618.0","477,339.0","567,514.0","614,026.0","687,497.0","750,043.0","725,742.0","745,095.0","708,236.0","626,651.0","647,127.0","699,181.0","877,471.0","1,025,128.0","1,163,737.0","1,137,358.0","1,070,757.0","965,410.0","1,228,163.0","1,354,489.0"
"43","25","    Net interest and miscellaneous payments","B471RC1","12,712.0","16,582.0","17,607.0","18,637.0","21,809.0","27,541.0","28,406.0","25,950.0","28,497.0","33,377.0","41,772.0","54,194.0","67,240.0","77,435.0","76,983.0","85,964.0","91,492.0","98,454.0","95,851.0","107,894.0","133,934.0","143,098.0","139,635.0","114,232.0","99,765.0","98,768.0","112,732.0","112,060.0","124,697.0","146,821.0","164,528.0","192,824.0","197,685.0","163,686.0","147,877.0","134,402.0","148,174.0","164,045.0","232,325.0","257,652.0","227,375.0","221,734.0","255,887.0"
"44","26","    Business current transfer payments (net)","W327RC1","3,165.0","3,314.0","3,700.0","3,968.0","4,673.0","4,056.0","5,026.0","6,990.0","8,976.0","9,512.0","9,470.0","10,207.0","11,434.0","8,821.0","10,546.0","11,741.0","16,078.0","27,306.0","29,890.0","27,402.0","23,997.0","25,357.0","26,606.0","31,307.0","30,057.0","35,280.0","30,712.0","38,016.0","39,176.0","35,174.0","47,090.0","47,910.0","58,915.0","56,256.0","65,183.0","65,527.0","79,317.0","75,804.0","69,092.0","58,065.0","77,424.0","89,291.0","91,528.0"
"45","27","    Corporate profits with IVA and CCAdj","A463RC1","74,391.0","60,219.0","70,825.0","82,809.0","88,926.0","77,465.0","98,948.0","120,960.0","141,856.0","156,790.0","151,775.0","134,744.0","166,830.0","150,229.0","191,193.0","249,844.0","249,641.0","219,461.0","259,907.0","304,279.0","283,540.0","276,728.0","271,290.0","296,079.0","347,517.0","433,466.0","470,582.0","537,421.0","586,170.0","543,747.0","533,477.0","467,502.0","370,051.0","427,185.0","486,121.0","677,542.0","797,637.0","923,888.0","835,941.0","755,040.0","660,611.0","917,138.0","1,007,074.0"
"46","28","      Taxes on corporate income","B465RC1","33,344.0","27,286.0","29,995.0","33,795.0","40,409.0","42,849.0","41,908.0","53,495.0","60,578.0","67,556.0","70,619.0","68,203.0","65,994.0","48,763.0","61,721.0","75,940.0","71,083.0","76,238.0","94,230.0","103,953.0","101,208.0","98,453.0","88,598.0","94,429.0","108,041.0","132,356.0","140,323.0","152,928.0","161,359.0","158,668.0","171,371.0","170,193.0","111,245.0","97,106.0","132,889.0","186,989.0","271,866.0","307,639.0","293,782.0","227,381.0","177,787.0","222,885.0","246,812.0"
"47","29","      Profits after tax with IVA and CCAdj","W328RC1","41,047.0","32,933.0","40,830.0","49,014.0","48,517.0","34,616.0","57,040.0","67,465.0","81,278.0","89,234.0","81,156.0","66,541.0","100,836.0","101,466.0","129,472.0","173,904.0","178,558.0","143,223.0","165,677.0","200,326.0","182,332.0","178,275.0","182,692.0","201,650.0","239,476.0","301,110.0","330,259.0","384,493.0","424,811.0","385,079.0","362,106.0","297,309.0","258,806.0","330,079.0","353,232.0","490,553.0","525,771.0","616,249.0","542,159.0","527,659.0","482,824.0","694,253.0","760,262.0"
"48","30","        Net dividends","B467RC1","19,026.0","18,295.0","18,145.0","19,672.0","20,750.0","21,532.0","24,571.0","27,775.0","30,911.0","35,926.0","37,639.0","44,651.0","52,502.0","54,059.0","63,247.0","67,206.0","72,004.0","72,857.0","76,251.0","82,165.0","105,362.0","118,299.0","125,539.0","134,266.0","149,182.0","157,976.0","178,025.0","197,550.0","215,946.0","241,033.0","224,667.0","251,327.0","245,419.0","254,793.0","293,403.0","364,487.0","170,857.0","471,129.0","484,558.0","474,129.0","351,734.0","385,708.0","425,341.0"
"49","31","        Undistributed profits with IVA and CCAdj","W332RC1","22,021.0","14,638.0","22,685.0","29,342.0","27,767.0","13,084.0","32,469.0","39,690.0","50,367.0","53,308.0","43,517.0","21,890.0","48,334.0","47,407.0","66,225.0","106,698.0","106,554.0","70,366.0","89,426.0","118,161.0","76,970.0","59,976.0","57,153.0","67,384.0","90,294.0","143,134.0","152,234.0","186,943.0","208,865.0","144,046.0","137,439.0","45,982.0","13,387.0","75,286.0","59,829.0","126,066.0","354,914.0","145,120.0","57,601.0","53,530.0","131,090.0","308,545.0","334,921.0"
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","32","    Profits before tax (without IVA and CCAdj)","A446RC1","84,776.0","73,892.0","85,024.0","98,690.0","120,074.0","130,308.0","130,911.0","163,190.0","191,396.0","223,267.0","237,522.0","218,071.0","214,063.0","166,029.0","198,940.0","232,042.0","219,359.0","206,487.0","275,087.0","332,939.0","323,324.0","335,599.0","348,917.0","401,311.0","442,092.0","521,065.0","591,349.0","638,766.0","694,207.0","620,126.0","658,998.0","626,847.0","543,021.0","607,461.0","737,722.0","1,024,376.0","1,400,716.0","1,565,879.0","1,387,478.0","953,347.0","1,087,684.0","1,414,744.0","1,415,241.0"
"53","33","    Profits after tax (without IVA and CCAdj)","A448RC1","44,799.0","39,135.0","46,859.0","56,349.0","70,101.0","77,523.0","79,265.0","97,902.0","116,955.0","138,409.0","147,506.0","130,881.0","129,724.0","99,530.0","118,292.0","134,511.0","119,953.0","96,812.0","144,646.0","191,309.0","177,256.0","190,175.0","210,326.0","252,623.0","271,058.0","327,924.0","373,511.0","407,297.0","448,786.0","371,760.0","400,214.0","361,755.0","339,726.0","415,125.0","493,955.0","718,282.0","988,332.0","1,092,612.0","942,012.0","644,318.0","818,315.0","1,041,422.0","1,036,198.0"
"54","34","    Undistributed profits after tax (without IVA and CCAdj)","A450RC1","24,396.0","18,764.0","26,522.0","34,407.0","46,994.0","54,069.0","52,861.0","67,847.0","83,265.0","98,800.0","106,027.0","83,559.0","71,413.0","38,201.0","46,973.0","55,996.0","34,244.0","8,515.0","49,039.0","93,284.0","50,882.0","46,087.0","53,970.0","92,630.0","88,710.0","130,367.0","151,879.0","149,966.0","164,791.0","62,576.0","104,514.0","13,299.0","9,670.0","63,948.0","101,189.0","230,265.0","691,874.0","465,735.0","292,289.0","37,975.0","376,062.0","560,388.0","482,177.0"
"55","35","    Inventory valuation adjustment","B058RC1","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","-2,566.0","-11,283.0","-34,255.0","-30,699.0","-38,033.0","-47,235.0","-44,456.0","3,154.0","-38,659.0","-62,566.0"
