"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"21","2","       Final sales of domestic product","A190RC1","949,389.0","966,877.0","986,109.0","998,671.0","1,015,288.0","1,027,981.0","1,045,402.0","1,056,667.0","1,085,803.0","1,107,886.0","1,128,866.0","1,151,686.0","1,186,908.0","1,213,553.0","1,235,555.0","1,279,103.0","1,324,549.0","1,353,251.0","1,380,943.0","1,406,806.0","1,433,991.0","1,467,427.0","1,508,079.0","1,532,324.0","1,579,461.0","1,618,941.0","1,663,835.0","1,713,574.0","1,757,216.0","1,781,788.0","1,816,888.0","1,873,976.0","1,923,675.0","1,985,756.0","2,035,083.0","2,086,704.0","2,123,607.0","2,250,454.0","2,310,261.0","2,387,554.0","2,439,460.0","2,499,041.0","2,587,607.0","2,650,847.0","2,714,175.0","2,720,266.0","2,819,040.0","2,924,419.0","3,012,609.0","3,072,552.0","3,133,066.0","3,169,859.0","3,206,385.0","3,245,112.0","3,268,577.0","3,352,345.0","3,416,025.0","3,489,908.0","3,591,301.0","3,664,200.0","3,734,400.0","3,836,968.0","3,904,620.0","3,985,973.0","4,100,962.0","4,154,023.0","4,242,031.0","4,285,594.0","4,352,076.0","4,407,577.0","4,498,310.0","4,556,014.0","4,583,106.0","4,670,213.0","4,763,492.0","4,820,014.0","4,931,619.0","5,039,579.0","5,124,640.0","5,231,936.0","5,312,160.0","5,417,547.0","5,522,981.0","5,565,137.0","5,694,213.0","5,763,652.0","5,828,751.0","5,857,293.0","5,895,716.0","5,980,047.0","6,032,827.0","6,061,384.0","6,190,493.0","6,271,987.0","6,369,186.0","6,472,241.0","6,508,551.0","6,598,633.0","6,681,727.0","6,797,206.0","6,870,997.0","6,962,856.0","7,078,610.0","7,173,041.0","7,246,546.0","7,322,109.0","7,441,234.0","7,524,094.0","7,631,321.0","7,769,490.0","7,841,601.0","7,988,341.0","8,087,158.0","8,188,400.0","8,341,937.0","8,427,961.0","8,495,511.0","8,661,336.0","8,794,756.0","8,967,482.0","9,065,258.0","9,217,500.0","9,364,531.0","9,523,400.0","9,693,480.0","9,858,718.0","9,960,211.0","10,075,332.0","10,195,741.0","10,312,856.0","10,335,291.0","10,453,916.0","10,512,079.0","10,588,675.0","10,683,421.0","10,736,969.0","10,858,711.0","11,014,706.0","11,250,895.0","11,379,013.0","11,538,517.0","11,686,913.0","11,875,551.0","12,052,406.0","12,271,130.0","12,484,122.0","12,717,562.0","12,819,210.0","13,095,479.0","13,258,020.0","13,363,655.0","13,551,887.0","13,741,522.0","13,929,320.0","14,086,787.0","14,240,583.0","14,293,447.0","14,433,751.0","14,439,197.0","14,164,241.0","14,090,180.0","14,088,071.0","14,152,686.0","14,180,452.0","14,237,006.0","14,371,784.0","14,466,561.0","14,686,898.0","14,781,202.0","14,968,738.0","15,167,300.0","15,238,910.0","15,405,680.0","15,542,084.0"
"22","3","       Change in private inventories","A014RC1","11,489.0","9,222.0","10,194.0","5,787.0","1,823.0","5,081.0","5,083.0","-3,984.0","12,254.0","10,875.0","10,188.0","-295.0","3,227.0","11,998.0","13,715.0","7,491.0","10,550.0","18,206.0","9,761.0","24,993.0","12,519.0","17,416.0","5,578.0","20,446.0","-10,028.0","-13,954.0","-1,388.0","348.0","14,693.0","22,448.0","20,807.0","10,518.0","14,822.0","19,469.0","30,884.0","24,121.0","25,453.0","24,257.0","24,966.0","28,487.0","23,852.0","27,401.0","12,131.0","8,553.0","9,899.0","7,750.0","-33,855.0","-9,118.0","38,755.0","11,713.0","43,960.0","24,807.0","-21,466.0","-4,166.0","5,798.0","-39,820.0","-35,060.0","-7,672.0","-4,204.0","23,932.0","72,982.0","69,321.0","71,338.0","47,979.0","16,230.0","21,646.0","16,303.0","33,119.0","30,348.0","15,672.0","-7,001.0","-12,736.0","27,977.0","16,510.0","1,015.0","63,094.0","17,001.0","19,680.0","18,175.0","19,073.0","48,171.0","36,042.0","9,955.0","16,605.0","13,925.0","33,713.0","21,876.0","-11,330.0","-15,528.0","-18,026.0","845.0","31,131.0","244.0","23,197.0","20,508.0","21,362.0","35,929.0","24,106.0","6,596.0","16,622.0","45,333.0","81,414.0","53,209.0","75,183.0","61,149.0","33,733.0","11,297.0","18,450.0","6,850.0","30,468.0","51,108.0","34,641.0","49,828.0","88,411.0","67,983.0","77,775.0","105,075.0","37,308.0","52,448.0","60,047.0","83,317.0","35,053.0","40,565.0","84,328.0","16,059.0","90,402.0","57,242.0","54,473.0","-30,665.0","-11,596.0","-30,091.0","-80,784.0","-13,366.0","13,219.0","18,282.0","29,968.0","28,644.0","-3,124.0","4,185.0","35,795.0","51,388.0","76,023.0","60,768.0","71,463.0","90,712.0","15,876.0","11,040.0","82,182.0","65,962.0","72,423.0","69,104.0","32,331.0","17,021.0","47,513.0","39,379.0","12,577.0","-19,523.0","-18,290.0","-44,144.0","-82,519.0","-166,740.0","-202,665.0","-200,480.0","-46,806.0","33,249.0","41,735.0","109,488.0","48,970.0","33,652.0","34,843.0","-4,080.0","82,100.0","72,570.0","63,978.0"
"23","4","Goods","A353RC1","393,449.0","393,746.0","401,349.0","401,742.0","404,311.0","412,117.0","415,448.0","403,116.0","429,813.0","431,787.0","437,064.0","431,916.0","445,008.0","468,565.0","479,283.0","495,218.0","523,829.0","544,665.0","547,214.0","572,713.0","571,685.0","583,714.0","590,016.0","606,732.0","597,523.0","609,512.0","645,119.0","662,218.0","688,258.0","702,134.0","714,344.0","721,837.0","738,592.0","761,516.0","789,611.0","804,212.0","805,689.0","869,616.0","887,760.0","927,482.0","948,507.0","965,534.0","993,588.0","1,001,157.0","1,026,797.0","1,017,887.0","1,023,271.0","1,072,905.0","1,154,379.0","1,139,021.0","1,203,226.0","1,172,568.0","1,135,037.0","1,165,759.0","1,159,582.0","1,134,655.0","1,147,579.0","1,207,948.0","1,237,731.0","1,314,161.0","1,369,773.0","1,398,596.0","1,414,342.0","1,426,147.0","1,429,831.0","1,441,359.0","1,466,447.0","1,473,535.0","1,482,597.0","1,478,449.0","1,499,511.0","1,504,412.0","1,519,852.0","1,551,170.0","1,577,657.0","1,634,182.0","1,647,964.0","1,692,459.0","1,717,488.0","1,756,723.0","1,810,284.0","1,854,001.0","1,876,968.0","1,866,501.0","1,912,961.0","1,933,924.0","1,940,744.0","1,904,658.0","1,909,832.0","1,932,156.0","1,961,739.0","1,970,344.0","1,974,759.0","2,020,687.0","2,049,799.0","2,080,569.0","2,093,813.0","2,117,076.0","2,110,597.0","2,175,202.0","2,228,311.0","2,277,864.0","2,292,931.0","2,363,642.0","2,366,518.0","2,353,164.0","2,376,926.0","2,421,228.0","2,438,316.0","2,507,901.0","2,547,324.0","2,571,574.0","2,620,115.0","2,686,160.0","2,740,526.0","2,758,082.0","2,792,871.0","2,760,686.0","2,817,250.0","2,906,161.0","2,937,678.0","2,955,155.0","2,998,232.0","3,069,509.0","3,041,412.0","3,161,626.0","3,146,635.0","3,148,452.0","3,070,905.0","3,102,139.0","3,060,912.0","3,076,442.0","3,094,272.0","3,099,856.0","3,125,708.0","3,084,844.0","3,097,429.0","3,095,521.0","3,218,642.0","3,271,151.0","3,288,847.0","3,311,068.0","3,341,114.0","3,394,228.0","3,450,201.0","3,441,916.0","3,494,229.0","3,516,583.0","3,615,253.0","3,651,989.0","3,672,820.0","3,714,597.0","3,751,118.0","3,845,889.0","3,879,569.0","3,899,940.0","3,825,256.0","3,847,513.0","3,789,755.0","3,571,876.0","3,554,794.0","3,563,069.0","3,604,457.0","3,735,512.0","3,840,107.0","3,841,310.0","3,964,362.0","4,041,863.0","4,082,899.0","4,131,248.0","4,199,199.0","4,325,349.0","4,373,546.0","4,411,109.0"
"24","5","    Final sales","A325RC1","381,960.0","384,524.0","391,155.0","395,955.0","402,488.0","407,036.0","410,365.0","407,100.0","417,559.0","420,912.0","426,876.0","432,211.0","441,781.0","456,567.0","465,568.0","487,727.0","513,279.0","526,459.0","537,453.0","547,720.0","559,166.0","566,298.0","584,438.0","586,286.0","607,551.0","623,466.0","646,507.0","661,870.0","673,565.0","679,686.0","693,537.0","711,319.0","723,770.0","742,047.0","758,727.0","780,091.0","780,236.0","845,359.0","862,794.0","898,995.0","924,655.0","938,133.0","981,457.0","992,604.0","1,016,898.0","1,010,137.0","1,057,126.0","1,082,023.0","1,115,624.0","1,127,308.0","1,159,266.0","1,147,761.0","1,156,503.0","1,169,925.0","1,153,784.0","1,174,475.0","1,182,639.0","1,215,620.0","1,241,935.0","1,290,229.0","1,296,791.0","1,329,275.0","1,343,004.0","1,378,168.0","1,413,601.0","1,419,713.0","1,450,144.0","1,440,416.0","1,452,249.0","1,462,777.0","1,506,512.0","1,517,148.0","1,491,875.0","1,534,660.0","1,576,642.0","1,571,088.0","1,630,963.0","1,672,779.0","1,699,313.0","1,737,650.0","1,762,113.0","1,817,959.0","1,867,013.0","1,849,896.0","1,899,036.0","1,900,211.0","1,918,868.0","1,915,988.0","1,925,360.0","1,950,182.0","1,960,894.0","1,939,213.0","1,974,515.0","1,997,490.0","2,029,291.0","2,059,207.0","2,057,884.0","2,092,970.0","2,104,001.0","2,158,580.0","2,182,978.0","2,196,450.0","2,239,722.0","2,288,459.0","2,305,369.0","2,319,431.0","2,365,629.0","2,402,778.0","2,431,466.0","2,477,433.0","2,496,216.0","2,536,933.0","2,570,287.0","2,597,749.0","2,672,543.0","2,680,307.0","2,687,796.0","2,723,378.0","2,764,802.0","2,846,114.0","2,854,361.0","2,920,102.0","2,957,667.0","2,985,181.0","3,025,353.0","3,071,224.0","3,089,393.0","3,093,979.0","3,101,570.0","3,113,735.0","3,091,003.0","3,157,226.0","3,107,638.0","3,086,637.0","3,107,426.0","3,054,876.0","3,068,785.0","3,098,645.0","3,214,457.0","3,235,356.0","3,237,459.0","3,235,045.0","3,280,346.0","3,322,765.0","3,359,489.0","3,426,040.0","3,483,189.0","3,434,401.0","3,549,291.0","3,579,566.0","3,603,716.0","3,682,266.0","3,734,097.0","3,798,376.0","3,840,190.0","3,887,363.0","3,844,779.0","3,865,803.0","3,833,899.0","3,654,395.0","3,721,534.0","3,765,734.0","3,804,937.0","3,782,318.0","3,806,858.0","3,799,575.0","3,854,874.0","3,992,893.0","4,049,247.0","4,096,405.0","4,203,279.0","4,243,249.0","4,300,976.0","4,347,131.0"
"25","6","    Change in private inventories","A014RC1","11,489.0","9,222.0","10,194.0","5,787.0","1,823.0","5,081.0","5,083.0","-3,984.0","12,254.0","10,875.0","10,188.0","-295.0","3,227.0","11,998.0","13,715.0","7,491.0","10,550.0","18,206.0","9,761.0","24,993.0","12,519.0","17,416.0","5,578.0","20,446.0","-10,028.0","-13,954.0","-1,388.0","348.0","14,693.0","22,448.0","20,807.0","10,518.0","14,822.0","19,469.0","30,884.0","24,121.0","25,453.0","24,257.0","24,966.0","28,487.0","23,852.0","27,401.0","12,131.0","8,553.0","9,899.0","7,750.0","-33,855.0","-9,118.0","38,755.0","11,713.0","43,960.0","24,807.0","-21,466.0","-4,166.0","5,798.0","-39,820.0","-35,060.0","-7,672.0","-4,204.0","23,932.0","72,982.0","69,321.0","71,338.0","47,979.0","16,230.0","21,646.0","16,303.0","33,119.0","30,348.0","15,672.0","-7,001.0","-12,736.0","27,977.0","16,510.0","1,015.0","63,094.0","17,001.0","19,680.0","18,175.0","19,073.0","48,171.0","36,042.0","9,955.0","16,605.0","13,925.0","33,713.0","21,876.0","-11,330.0","-15,528.0","-18,026.0","845.0","31,131.0","244.0","23,197.0","20,508.0","21,362.0","35,929.0","24,106.0","6,596.0","16,622.0","45,333.0","81,414.0","53,209.0","75,183.0","61,149.0","33,733.0","11,297.0","18,450.0","6,850.0","30,468.0","51,108.0","34,641.0","49,828.0","88,411.0","67,983.0","77,775.0","105,075.0","37,308.0","52,448.0","60,047.0","83,317.0","35,053.0","40,565.0","84,328.0","16,059.0","90,402.0","57,242.0","54,473.0","-30,665.0","-11,596.0","-30,091.0","-80,784.0","-13,366.0","13,219.0","18,282.0","29,968.0","28,644.0","-3,124.0","4,185.0","35,795.0","51,388.0","76,023.0","60,768.0","71,463.0","90,712.0","15,876.0","11,040.0","82,182.0","65,962.0","72,423.0","69,104.0","32,331.0","17,021.0","47,513.0","39,379.0","12,577.0","-19,523.0","-18,290.0","-44,144.0","-82,519.0","-166,740.0","-202,665.0","-200,480.0","-46,806.0","33,249.0","41,735.0","109,488.0","48,970.0","33,652.0","34,843.0","-4,080.0","82,100.0","72,570.0","63,978.0"
"26","7","  Durable goods","A354RC1","181,499.0","177,338.0","184,013.0","183,743.0","177,752.0","181,181.0","186,763.0","167,770.0","188,589.0","187,101.0","193,939.0","188,658.0","200,763.0","210,519.0","216,603.0","231,273.0","249,315.0","257,695.0","259,068.0","260,373.0","260,159.0","265,094.0","279,103.0","288,564.0","266,701.0","278,771.0","294,461.0","303,051.0","324,853.0","336,943.0","347,007.0","358,161.0","368,830.0","377,106.0","391,010.0","399,228.0","406,673.0","442,452.0","443,710.0","479,516.0","492,869.0","491,507.0","499,583.0","503,010.0","517,618.0","490,322.0","494,524.0","537,461.0","559,930.0","563,756.0","579,063.0","545,922.0","527,137.0","552,678.0","546,987.0","519,058.0","519,011.0","584,754.0","613,947.0","661,303.0","684,625.0","700,215.0","708,126.0","736,341.0","714,010.0","733,687.0","740,174.0","741,128.0","742,342.0","747,521.0","766,786.0","769,144.0","776,291.0","800,251.0","810,445.0","845,865.0","849,062.0","875,656.0","895,399.0","923,901.0","942,903.0","949,463.0","976,530.0","970,145.0","996,130.0","988,682.0","988,518.0","950,212.0","921,703.0","945,784.0","984,341.0","964,036.0","964,291.0","1,007,117.0","1,020,529.0","1,039,155.0","1,063,406.0","1,083,214.0","1,084,462.0","1,129,151.0","1,152,442.0","1,172,975.0","1,189,713.0","1,227,049.0","1,248,369.0","1,236,581.0","1,258,163.0","1,294,870.0","1,293,042.0","1,329,546.0","1,368,419.0","1,369,301.0","1,414,599.0","1,457,003.0","1,498,053.0","1,513,278.0","1,546,029.0","1,523,963.0","1,562,546.0","1,621,594.0","1,631,950.0","1,639,355.0","1,689,860.0","1,723,648.0","1,740,077.0","1,789,358.0","1,773,443.0","1,777,139.0","1,714,192.0","1,703,436.0","1,657,162.0","1,673,330.0","1,696,046.0","1,694,962.0","1,714,631.0","1,680,440.0","1,664,383.0","1,679,804.0","1,730,282.0","1,774,985.0","1,771,539.0","1,783,088.0","1,806,299.0","1,825,168.0","1,879,959.0","1,885,519.0","1,924,948.0","1,945,658.0","1,977,865.0","1,997,606.0","2,014,414.0","2,007,333.0","2,047,459.0","2,085,451.0","2,101,939.0","2,158,917.0","2,085,230.0","2,056,021.0","2,051,025.0","1,887,715.0","1,765,337.0","1,753,314.0","1,782,667.0","1,845,615.0","1,936,544.0","1,965,138.0","2,006,669.0","2,028,492.0","2,066,931.0","2,109,540.0","2,150,399.0","2,186,449.0","2,239,962.0","2,266,978.0"
"27","8","    Final sales","A326RC1","175,451.0","173,306.0","176,933.0","177,043.0","178,940.0","181,097.0","181,195.0","173,150.0","181,921.0","184,393.0","188,419.0","191,902.0","198,115.0","205,287.0","209,039.0","221,281.0","237,879.0","244,051.0","245,284.0","247,177.0","252,387.0","259,978.0","269,719.0","267,376.0","274,529.0","285,603.0","300,817.0","311,919.0","320,281.0","324,255.0","333,715.0","345,505.0","361,102.0","370,010.0","378,382.0","388,760.0","386,117.0","425,240.0","432,434.0","455,700.0","470,917.0","470,839.0","495,867.0","498,094.0","515,382.0","492,374.0","511,236.0","530,317.0","549,066.0","553,656.0","569,003.0","547,650.0","548,769.0","552,294.0","548,979.0","559,954.0","550,899.0","582,202.0","601,059.0","635,035.0","640,713.0","659,051.0","666,542.0","697,269.0","711,818.0","725,715.0","743,642.0","730,260.0","726,034.0","741,353.0","781,610.0","784,248.0","747,899.0","777,955.0","814,941.0","800,269.0","840,522.0","860,708.0","863,855.0","887,960.0","903,937.0","931,247.0","974,724.0","949,009.0","994,732.0","966,231.0","971,401.0","960,384.0","953,153.0","971,824.0","980,664.0","964,652.0","981,306.0","998,111.0","1,021,472.0","1,042,024.0","1,038,984.0","1,069,741.0","1,072,690.0","1,110,372.0","1,127,294.0","1,131,222.0","1,158,628.0","1,182,214.0","1,200,334.0","1,204,035.0","1,234,891.0","1,264,502.0","1,282,866.0","1,310,726.0","1,329,745.0","1,360,664.0","1,386,092.0","1,404,009.0","1,465,783.0","1,467,076.0","1,476,094.0","1,501,254.0","1,530,766.0","1,588,799.0","1,580,443.0","1,627,819.0","1,663,564.0","1,663,385.0","1,722,890.0","1,731,409.0","1,741,096.0","1,742,312.0","1,758,711.0","1,728,331.0","1,690,987.0","1,747,886.0","1,691,248.0","1,677,579.0","1,700,658.0","1,645,925.0","1,636,639.0","1,677,910.0","1,740,595.0","1,742,121.0","1,737,448.0","1,736,369.0","1,769,813.0","1,793,413.0","1,818,482.0","1,876,973.0","1,912,912.0","1,886,837.0","1,956,999.0","1,963,876.0","1,970,305.0","2,002,279.0","2,036,032.0","2,079,635.0","2,094,424.0","2,138,971.0","2,101,275.0","2,090,195.0","2,058,148.0","1,922,767.0","1,907,949.0","1,903,390.0","1,919,296.0","1,890,641.0","1,908,310.0","1,921,407.0","1,940,272.0","1,996,677.0","2,023,966.0","2,067,067.0","2,117,770.0","2,154,053.0","2,180,069.0","2,188,998.0"
"28","9","    Change in private inventories \1\","A355RC1","6,048.0","4,032.0","7,080.0","6,700.0","-1,188.0","84.0","5,568.0","-5,380.0","6,668.0","2,708.0","5,520.0","-3,244.0","2,648.0","5,232.0","7,564.0","9,992.0","11,436.0","13,644.0","13,784.0","13,196.0","7,772.0","5,116.0","9,384.0","21,188.0","-7,828.0","-6,832.0","-6,356.0","-8,868.0","4,572.0","12,688.0","13,292.0","12,656.0","7,728.0","7,096.0","12,628.0","10,468.0","20,556.0","17,212.0","11,276.0","23,816.0","21,952.0","20,668.0","3,716.0","4,916.0","2,236.0","-2,052.0","-16,712.0","7,144.0","10,864.0","10,100.0","10,060.0","-1,728.0","-21,632.0","384.0","-1,992.0","-40,896.0","-31,888.0","2,552.0","12,888.0","26,268.0","43,912.0","41,164.0","41,584.0","39,072.0","2,192.0","7,972.0","-3,468.0","10,868.0","16,308.0","6,168.0","-14,824.0","-15,104.0","28,392.0","22,296.0","-4,496.0","45,596.0","8,540.0","14,948.0","31,544.0","35,941.0","38,966.0","18,216.0","1,806.0","21,136.0","1,398.0","22,451.0","17,117.0","-10,172.0","-31,450.0","-26,040.0","3,677.0","-616.0","-17,015.0","9,006.0","-943.0","-2,869.0","24,422.0","13,473.0","11,772.0","18,779.0","25,148.0","41,753.0","31,085.0","44,835.0","48,035.0","32,546.0","23,272.0","30,368.0","10,176.0","18,820.0","38,674.0","8,637.0","28,507.0","52,994.0","32,270.0","46,202.0","69,935.0","22,709.0","31,780.0","32,795.0","51,507.0","11,536.0","26,296.0","60,263.0","17,187.0","57,949.0","32,347.0","34,827.0","-44,519.0","-24,895.0","-33,825.0","-74,556.0","4,798.0","17,383.0","13,973.0","34,515.0","27,744.0","1,894.0","-10,313.0","32,864.0","34,091.0","46,719.0","36,486.0","31,755.0","61,477.0","8,546.0","12,036.0","58,821.0","20,866.0","33,730.0","44,109.0","5,054.0","11,427.0","5,816.0","7,515.0","19,946.0","-16,045.0","-34,174.0","-7,123.0","-35,052.0","-142,612.0","-150,076.0","-136,629.0","-45,026.0","28,234.0","43,731.0","66,397.0","31,815.0","42,965.0","42,473.0","32,629.0","32,396.0","59,893.0","77,980.0"
"29","10","  Nondurable goods","A356RC1","211,950.0","216,408.0","217,336.0","217,999.0","226,559.0","230,936.0","228,685.0","235,346.0","241,224.0","244,686.0","243,125.0","243,258.0","244,245.0","258,046.0","262,680.0","263,945.0","274,514.0","286,970.0","288,146.0","312,340.0","311,526.0","318,620.0","310,913.0","318,168.0","330,822.0","330,741.0","350,658.0","359,167.0","363,405.0","365,191.0","367,337.0","363,676.0","369,762.0","384,410.0","398,601.0","404,984.0","399,016.0","427,164.0","444,050.0","447,966.0","455,638.0","474,027.0","494,005.0","498,147.0","509,179.0","527,565.0","528,747.0","535,444.0","594,449.0","575,265.0","624,163.0","626,646.0","607,900.0","613,081.0","612,595.0","615,597.0","628,568.0","623,194.0","623,784.0","652,858.0","685,148.0","698,381.0","706,216.0","689,806.0","715,821.0","707,672.0","726,273.0","732,407.0","740,255.0","730,928.0","732,725.0","735,268.0","743,561.0","750,919.0","767,212.0","788,317.0","798,902.0","816,803.0","822,089.0","832,822.0","867,381.0","904,538.0","900,438.0","896,356.0","916,831.0","945,242.0","952,226.0","954,446.0","988,129.0","986,372.0","977,398.0","1,006,308.0","1,010,468.0","1,013,570.0","1,029,270.0","1,041,414.0","1,030,407.0","1,033,862.0","1,026,135.0","1,046,051.0","1,075,869.0","1,104,889.0","1,103,218.0","1,136,593.0","1,118,149.0","1,116,583.0","1,118,763.0","1,126,358.0","1,145,274.0","1,178,355.0","1,178,905.0","1,202,273.0","1,205,516.0","1,229,157.0","1,242,473.0","1,244,804.0","1,246,842.0","1,236,724.0","1,254,704.0","1,284,567.0","1,305,728.0","1,315,800.0","1,308,371.0","1,345,861.0","1,301,335.0","1,372,268.0","1,373,191.0","1,371,313.0","1,356,714.0","1,398,703.0","1,403,749.0","1,403,111.0","1,398,227.0","1,404,895.0","1,411,077.0","1,404,405.0","1,433,047.0","1,415,717.0","1,488,360.0","1,496,166.0","1,517,309.0","1,527,980.0","1,534,815.0","1,569,060.0","1,570,241.0","1,556,397.0","1,569,282.0","1,570,925.0","1,637,389.0","1,654,383.0","1,658,406.0","1,707,264.0","1,703,660.0","1,760,438.0","1,777,631.0","1,741,022.0","1,740,026.0","1,791,492.0","1,738,729.0","1,684,161.0","1,789,457.0","1,809,754.0","1,821,790.0","1,889,897.0","1,903,564.0","1,876,172.0","1,957,693.0","2,013,370.0","2,015,969.0","2,021,708.0","2,048,800.0","2,138,900.0","2,133,584.0","2,144,131.0"
"30","11","    Final sales","A334RC1","206,509.0","211,218.0","214,222.0","218,912.0","223,548.0","225,939.0","229,170.0","233,950.0","235,638.0","236,519.0","238,457.0","240,309.0","243,666.0","251,280.0","256,529.0","266,446.0","275,400.0","282,408.0","292,169.0","300,543.0","306,779.0","306,320.0","314,719.0","318,910.0","333,022.0","337,863.0","345,690.0","349,951.0","353,284.0","355,431.0","359,822.0","365,814.0","362,668.0","372,037.0","380,345.0","391,331.0","394,119.0","420,119.0","430,360.0","443,295.0","453,738.0","467,294.0","485,590.0","494,510.0","501,516.0","517,763.0","545,890.0","551,706.0","566,558.0","573,652.0","590,263.0","600,111.0","607,734.0","617,631.0","604,805.0","614,521.0","631,740.0","633,418.0","640,876.0","655,194.0","656,078.0","670,224.0","676,462.0","680,899.0","701,783.0","693,998.0","706,502.0","710,156.0","726,215.0","721,424.0","724,902.0","732,900.0","743,976.0","756,705.0","761,701.0","770,819.0","790,441.0","812,071.0","835,458.0","849,690.0","858,176.0","886,712.0","892,289.0","900,887.0","904,304.0","933,980.0","947,467.0","955,604.0","972,207.0","978,358.0","980,230.0","974,561.0","993,209.0","999,379.0","1,007,819.0","1,017,183.0","1,018,900.0","1,023,229.0","1,031,311.0","1,048,208.0","1,055,684.0","1,065,228.0","1,081,094.0","1,106,245.0","1,105,035.0","1,115,396.0","1,130,738.0","1,138,276.0","1,148,600.0","1,166,707.0","1,166,471.0","1,176,269.0","1,184,195.0","1,193,740.0","1,206,760.0","1,213,231.0","1,211,702.0","1,222,124.0","1,234,036.0","1,257,315.0","1,273,918.0","1,292,283.0","1,294,103.0","1,321,796.0","1,302,463.0","1,339,815.0","1,348,297.0","1,351,667.0","1,342,859.0","1,385,404.0","1,400,016.0","1,409,340.0","1,416,390.0","1,409,058.0","1,406,768.0","1,408,951.0","1,432,146.0","1,420,735.0","1,473,862.0","1,493,235.0","1,500,011.0","1,498,676.0","1,510,533.0","1,529,352.0","1,541,007.0","1,549,067.0","1,570,277.0","1,547,564.0","1,592,292.0","1,615,690.0","1,633,411.0","1,679,987.0","1,698,065.0","1,718,741.0","1,745,766.0","1,748,392.0","1,743,504.0","1,775,608.0","1,775,751.0","1,731,628.0","1,813,585.0","1,862,344.0","1,885,641.0","1,891,677.0","1,898,548.0","1,878,168.0","1,914,602.0","1,996,216.0","2,025,281.0","2,029,338.0","2,085,509.0","2,089,196.0","2,120,907.0","2,158,133.0"
"31","12","    Change in private inventories \1\","A357RC1","5,441.0","5,190.0","3,114.0","-913.0","3,011.0","4,997.0","-485.0","1,396.0","5,586.0","8,167.0","4,668.0","2,949.0","579.0","6,766.0","6,151.0","-2,501.0","-886.0","4,562.0","-4,023.0","11,797.0","4,747.0","12,300.0","-3,806.0","-742.0","-2,200.0","-7,122.0","4,968.0","9,216.0","10,121.0","9,760.0","7,515.0","-2,138.0","7,094.0","12,373.0","18,256.0","13,653.0","4,897.0","7,045.0","13,690.0","4,671.0","1,900.0","6,733.0","8,415.0","3,637.0","7,663.0","9,802.0","-17,143.0","-16,262.0","27,891.0","1,613.0","33,900.0","26,535.0","166.0","-4,550.0","7,790.0","1,076.0","-3,172.0","-10,224.0","-17,092.0","-2,336.0","29,070.0","28,157.0","29,754.0","8,907.0","14,038.0","13,674.0","19,771.0","22,251.0","14,040.0","9,504.0","7,823.0","2,368.0","-415.0","-5,786.0","5,511.0","17,498.0","8,461.0","4,732.0","-13,369.0","-16,868.0","9,205.0","17,826.0","8,149.0","-4,531.0","12,527.0","11,262.0","4,759.0","-1,158.0","15,922.0","8,014.0","-2,832.0","31,747.0","17,259.0","14,191.0","21,451.0","24,231.0","11,507.0","10,633.0","-5,176.0","-2,157.0","20,185.0","39,661.0","22,124.0","30,348.0","13,114.0","1,187.0","-11,975.0","-11,918.0","-3,326.0","11,648.0","12,434.0","26,004.0","21,321.0","35,417.0","35,713.0","31,573.0","35,140.0","14,600.0","20,668.0","27,252.0","31,810.0","23,517.0","14,268.0","24,065.0","-1,128.0","32,453.0","24,894.0","19,646.0","13,855.0","13,299.0","3,733.0","-6,229.0","-18,163.0","-4,163.0","4,309.0","-4,546.0","901.0","-5,018.0","14,498.0","2,931.0","17,298.0","29,304.0","24,282.0","39,708.0","29,234.0","7,330.0","-995.0","23,361.0","45,097.0","38,693.0","24,995.0","27,277.0","5,595.0","41,697.0","31,865.0","-7,370.0","-3,478.0","15,884.0","-37,022.0","-47,467.0","-24,128.0","-52,590.0","-63,851.0","-1,780.0","5,016.0","-1,996.0","43,091.0","17,154.0","-9,312.0","-7,630.0","-36,709.0","49,704.0","12,677.0","-14,002.0"
