"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Current tax receipts","W070RC1","82,460.0","91,289.0","101,687.0","115,582.0","126,275.0","136,040.0","147,439.0","165,724.0","183,736.0","198,176.0","212,017.0","230,024.0","255,772.0","273,158.0","300,899.0","337,295.0","363,688.0","389,541.0","422,106.0","452,763.0","488,004.0","519,123.0","544,278.0","579,766.0","604,740.0","644,222.0","672,115.0","709,596.0","749,921.0","794,930.0","840,435.0","893,244.0","914,278.0","928,651.0","977,671.0","1,059,387.0","1,163,073.0","1,249,032.0","1,313,578.0","1,326,366.0","1,264,909.0","1,304,561.0","1,360,797.0"
"21","3","  Personal current taxes","W071RC1","12,806.0","14,217.0","15,902.0","20,883.0","22,826.0","24,523.0","26,877.0","31,074.0","35,366.0","40,450.0","44,032.0","48,891.0","54,615.0","59,147.0","66,105.0","76,023.0","81,360.0","87,205.0","96,600.0","102,094.0","114,639.0","122,559.0","125,311.0","135,305.0","141,067.0","147,990.0","158,109.0","168,673.0","181,998.0","201,221.0","214,486.0","236,708.0","243,018.0","221,801.0","226,169.0","248,579.0","276,730.0","302,471.0","323,093.0","334,387.0","287,579.0","300,589.0","322,771.0"
"22","4","    Income taxes","B245RC1","9,769.0","10,903.0","12,440.0","17,197.0","18,864.0","20,351.0","22,453.0","26,259.0","30,385.0","34,981.0","38,214.0","42,594.0","47,912.0","51,887.0","58,285.0","67,471.0","72,122.0","77,449.0","85,959.0","90,599.0","102,270.0","109,594.0","111,720.0","120,377.0","126,225.0","132,241.0","141,737.0","152,326.0","164,667.0","183,020.0","195,532.0","217,354.0","223,336.0","201,263.0","204,072.0","224,737.0","251,700.0","276,079.0","295,915.0","307,688.0","259,293.0","270,146.0","291,203.0"
"23","5","    Other","B247RC1","3,037.0","3,314.0","3,462.0","3,686.0","3,962.0","4,172.0","4,424.0","4,815.0","4,981.0","5,469.0","5,818.0","6,297.0","6,703.0","7,260.0","7,820.0","8,552.0","9,238.0","9,756.0","10,641.0","11,495.0","12,369.0","12,965.0","13,591.0","14,928.0","14,842.0","15,749.0","16,372.0","16,347.0","17,331.0","18,201.0","18,954.0","19,354.0","19,682.0","20,538.0","22,097.0","23,842.0","25,030.0","26,392.0","27,178.0","26,699.0","28,286.0","30,443.0","31,568.0"
"24","6","  Taxes on production and imports","W072RC1","66,044.0","73,332.0","81,501.0","89,447.0","97,421.0","104,838.0","113,215.0","125,014.0","136,941.0","145,620.0","154,417.0","166,667.0","185,715.0","199,977.0","218,898.0","242,473.0","262,081.0","279,675.0","301,605.0","324,637.0","349,126.0","374,078.0","395,326.0","420,081.0","436,767.0","466,262.0","482,350.0","507,900.0","533,778.0","558,775.0","590,153.0","621,305.0","642,407.0","675,986.0","717,505.0","769,100.0","831,400.0","887,411.0","932,699.0","944,616.0","931,809.0","959,486.0","990,433.0"
"25","7","    Sales taxes","B248RC1","28,562.0","31,645.0","35,364.0","39,801.0","44,080.0","48,160.0","51,703.0","57,760.0","64,018.0","71,000.0","77,281.0","82,858.0","90,747.0","96,199.0","107,650.0","121,000.0","131,124.0","139,850.0","150,326.0","162,392.0","172,319.0","184,291.0","190,661.0","204,306.0","216,393.0","231,421.0","242,735.0","256,186.0","268,650.0","283,870.0","301,568.0","316,814.0","321,803.0","331,110.0","348,826.0","370,746.0","402,218.0","430,427.0","447,059.0","443,979.0","422,333.0","442,642.0","461,471.0"
"26","8","    Property taxes","B249RC1","32,763.0","36,674.0","40,445.0","43,227.0","46,355.0","48,980.0","53,384.0","58,247.0","63,200.0","63,748.0","64,403.0","68,826.0","77,080.0","85,300.0","91,877.0","99,700.0","107,491.0","116,158.0","126,422.0","136,496.0","149,864.0","161,533.0","176,071.0","184,678.0","187,258.0","199,369.0","202,579.0","212,352.0","223,530.0","231,008.0","242,802.0","254,669.0","268,018.0","289,409.0","306,760.0","326,701.0","346,887.0","370,051.0","395,974.0","408,333.0","431,174.0","433,456.0","439,758.0"
"27","9","    Other","W073RC1","4,719.0","5,013.0","5,692.0","6,419.0","6,986.0","7,698.0","8,128.0","9,007.0","9,723.0","10,872.0","12,733.0","14,983.0","17,888.0","18,478.0","19,371.0","21,773.0","23,466.0","23,667.0","24,857.0","25,749.0","26,943.0","28,254.0","28,594.0","31,097.0","33,116.0","35,472.0","37,036.0","39,362.0","41,598.0","43,897.0","45,783.0","49,822.0","52,586.0","55,467.0","61,919.0","71,653.0","82,295.0","86,933.0","89,666.0","92,304.0","78,302.0","83,388.0","89,204.0"
"28","10","  Taxes on corporate income","B102RC1","3,610.0","3,740.0","4,284.0","5,252.0","6,028.0","6,679.0","7,347.0","9,636.0","11,429.0","12,106.0","13,568.0","14,466.0","15,442.0","14,034.0","15,896.0","18,799.0","20,247.0","22,661.0","23,901.0","26,032.0","24,239.0","22,486.0","23,641.0","24,380.0","26,906.0","29,970.0","31,656.0","33,023.0","34,145.0","34,934.0","35,796.0","35,231.0","28,853.0","30,864.0","33,997.0","41,708.0","54,943.0","59,150.0","57,786.0","47,363.0","45,521.0","44,486.0","47,593.0"
"29","11","Contributions for government social insurance","B104RC1","1,026.0","1,089.0","1,174.0","1,320.0","1,492.0","1,665.0","1,843.0","2,187.0","2,775.0","3,410.0","3,880.0","3,572.0","3,860.0","4,043.0","4,140.0","4,677.0","4,886.0","5,957.0","7,207.0","8,377.0","8,974.0","10,035.0","11,619.0","13,123.0","14,129.0","14,515.0","13,600.0","12,453.0","10,823.0","10,351.0","9,752.0","10,822.0","13,691.0","15,924.0","20,062.0","24,068.0","24,753.0","21,771.0","18,922.0","18,989.0","18,968.0","18,373.0","18,319.0"
"30","12","Income receipts on assets","W074RC1","4,337.0","5,153.0","5,495.0","5,928.0","7,760.0","10,190.0","11,185.0","10,433.0","11,665.0","14,658.0","20,128.0","26,270.0","31,963.0","36,721.0","41,443.0","47,674.0","54,841.0","58,394.0","58,168.0","60,538.0","65,693.0","68,461.0","67,981.0","64,817.0","61,280.0","63,279.0","68,514.0","73,447.0","78,159.0","81,464.0","85,781.0","94,283.0","90,036.0","79,643.0","73,972.0","77,132.0","88,255.0","103,499.0","114,472.0","106,812.0","95,035.0","88,802.0","86,397.0"
"31","13","  Interest receipts \1\","B112RC1","3,570.0","4,332.0","4,590.0","4,941.0","6,599.0","8,903.0","9,817.0","9,044.0","10,369.0","13,271.0","18,113.0","23,061.0","28,502.0","33,078.0","37,007.0","42,585.0","49,328.0","52,006.0","52,671.0","55,930.0","61,409.0","64,073.0","63,103.0","59,594.0","56,156.0","57,992.0","63,026.0","67,463.0","71,851.0","75,192.0","79,138.0","86,674.0","82,149.0","71,509.0","64,608.0","66,669.0","76,416.0","90,881.0","100,606.0","91,934.0","81,772.0","75,685.0","73,013.0"
"32","14","  Dividends","B081RC1",".....",".....",".....",".....","27.0","32.0","38.0","43.0","46.0","65.0","83.0","97.0","126.0","154.0","176.0","164.0","156.0","150.0","162.0","176.0","177.0","238.0","343.0","465.0","586.0","756.0","963.0","1,353.0","1,525.0","1,630.0","1,497.0","1,355.0","1,422.0","1,551.0","1,740.0","1,991.0","2,062.0","2,329.0","2,396.0","2,877.0","2,139.0","2,213.0","2,230.0"
"33","15","  Rents and royalties","S230541","767.0","821.0","905.0","987.0","1,134.0","1,255.0","1,330.0","1,346.0","1,250.0","1,322.0","1,932.0","3,112.0","3,335.0","3,489.0","4,260.0","4,925.0","5,357.0","6,238.0","5,335.0","4,432.0","4,107.0","4,150.0","4,535.0","4,758.0","4,538.0","4,531.0","4,525.0","4,631.0","4,783.0","4,642.0","5,146.0","6,254.0","6,465.0","6,583.0","7,624.0","8,472.0","9,777.0","10,289.0","11,470.0","12,001.0","11,124.0","10,904.0","11,154.0"
"34","16","Current transfer receipts","W075RC1","16,162.0","21,070.0","25,205.0","34,034.0","37,347.0","39,310.0","48,724.0","54,970.0","61,448.0","71,067.0","72,651.0","79,520.0","81,042.0","79,113.0","82,354.0","89,001.0","94,483.0","104,966.0","99,981.0","109,013.0","118,140.0","133,477.0","158,234.0","180,254.0","198,059.0","212,278.0","224,185.0","234,025.0","246,373.0","265,298.0","291,143.0","313,888.0","347,966.0","382,341.0","421,313.0","439,423.0","454,284.0","456,695.0","485,136.0","504,963.0","593,554.0","643,216.0","612,708.0"
"35","17","  Federal grants-in-aid","B089RC1","14,565.0","19,317.0","23,217.0","31,701.0","34,760.0","36,273.0","45,145.0","50,733.0","56,568.0","65,528.0","66,339.0","72,343.0","72,481.0","69,498.0","71,559.0","76,676.0","80,854.0","87,605.0","83,927.0","91,615.0","98,339.0","111,448.0","131,597.0","149,125.0","164,005.0","175,074.0","184,216.0","191,095.0","198,407.0","212,601.0","232,900.0","247,302.0","276,085.0","304,161.0","338,005.0","349,182.0","361,229.0","359,042.0","380,752.0","395,480.0","482,566.0","531,082.0","497,802.0"
"36","18","  From business (net)","W076RC1","530.0","560.0","598.0","682.0","880.0","1,084.0","1,211.0","1,365.0","1,582.0","1,866.0","2,169.0","2,457.0","2,869.0","3,249.0","3,645.0","4,185.0","4,399.0","6,720.0","4,889.0","5,381.0","6,394.0","7,090.0","7,949.0","9,237.0","10,527.0","11,955.0","13,495.0","15,168.0","17,687.0","21,607.0","24,010.0","28,562.0","29,841.0","32,554.0","33,839.0","36,497.0","36,547.0","38,417.0","41,260.0","44,309.0","44,980.0","44,802.0","45,468.0"
"37","19","  From persons","B246RC1","1,067.0","1,193.0","1,390.0","1,651.0","1,707.0","1,953.0","2,368.0","2,872.0","3,298.0","3,673.0","4,143.0","4,720.0","5,692.0","6,366.0","7,150.0","8,140.0","9,230.0","10,641.0","11,165.0","12,017.0","13,407.0","14,939.0","18,688.0","21,892.0","23,527.0","25,249.0","26,474.0","27,762.0","30,279.0","31,090.0","34,233.0","38,024.0","42,040.0","45,626.0","49,469.0","53,744.0","56,508.0","59,236.0","63,124.0","65,174.0","66,008.0","67,332.0","69,438.0"
"38","20","Current surplus of government enterprises","B115RC1","1,469.0","1,480.0","1,366.0","1,570.0","1,468.0","875.0","397.0","359.0","314.0","264.0","-320.0","-1,217.0","-2,403.0","-1,601.0","-227.0","1,506.0","3,171.0","2,777.0","3,114.0","4,842.0","6,678.0","6,862.0","7,285.0","8,275.0","9,945.0","10,541.0","13,471.0","15,563.0","14,196.0","12,459.0","13,305.0","10,365.0","8,034.0","6,140.0","3,295.0","954.0","56.0","-1,334.0","-9,052.0","-12,329.0","-11,063.0","-12,510.0","-13,837.0"
"39","21","    Current expenditures","W024RC1","97,475.0","112,973.0","128,459.0","142,807.0","158,630.0","178,749.0","207,119.0","226,296.0","246,802.0","268,900.0","295,357.0","329,386.0","362,679.0","393,631.0","423,723.0","456,215.0","498,718.0","540,911.0","578,599.0","618,295.0","667,355.0","731,772.0","795,205.0","847,629.0","889,095.0","936,607.0","982,708.0","1,022,098.0","1,063,172.0","1,117,596.0","1,198,604.0","1,281,337.0","1,389,923.0","1,466,780.0","1,535,144.0","1,609,324.0","1,704,493.0","1,778,624.0","1,910,833.0","2,017,035.0","2,074,621.0","2,132,095.0","2,166,337.0"
"40","22","Consumption expenditures","A991RC1","79,849.0","91,535.0","102,719.0","113,150.0","125,989.0","143,737.0","165,095.0","179,458.0","195,871.0","213,171.0","233,339.0","258,433.0","282,343.0","304,855.0","324,080.0","347,670.0","381,756.0","418,080.0","441,406.0","471,023.0","504,453.0","546,985.0","577,477.0","606,211.0","634,151.0","668,167.0","701,285.0","730,192.0","764,540.0","808,598.0","870,608.0","930,616.0","994,230.0","1,049,382.0","1,096,506.0","1,139,068.0","1,212,029.0","1,282,338.0","1,368,869.0","1,449,229.0","1,473,319.0","1,496,224.0","1,518,000.0"
"41","23","Government social benefit payments to persons","B109RC1","13,217.0","16,101.0","19,332.0","21,953.0","24,084.0","25,276.0","30,802.0","34,138.0","37,039.0","40,767.0","44,316.0","51,201.0","57,090.0","61,197.0","66,906.0","71,169.0","77,260.0","84,344.0","90,726.0","98,501.0","109,348.0","127,655.0","156,517.0","179,996.0","195,210.0","206,707.0","217,636.0","224,255.0","227,558.0","235,779.0","252,349.0","271,433.0","305,069.0","333,009.0","353,410.0","384,274.0","404,765.0","402,909.0","433,724.0","456,724.0","495,133.0","528,299.0","538,547.0"
"42","24","Interest payments \1\","B111RC1","4,384.0","5,313.0","6,544.0","7,501.0","8,456.0","9,620.0","11,064.0","12,511.0","13,682.0","14,898.0","17,240.0","19,358.0","22,844.0","27,125.0","32,295.0","36,991.0","39,375.0","38,181.0","46,192.0","48,419.0","53,178.0","56,758.0","60,799.0","61,034.0","59,371.0","61,393.0","63,477.0","67,320.0","70,638.0","72,773.0","75,218.0","78,754.0","82,959.0","83,480.0","85,144.0","85,612.0","87,326.0","93,003.0","101,106.0","108,112.0","104,761.0","106,005.0","109,243.0"
"43","25","Subsidies","B114RC1","25.0","24.0","34.0","53.0","81.0","116.0","158.0","189.0","210.0","239.0","327.0","354.0","402.0","454.0","442.0","385.0","327.0","306.0","275.0","352.0","376.0","374.0","412.0","388.0","363.0","340.0","310.0","331.0","436.0","446.0","429.0","534.0","7,665.0","909.0","84.0","370.0","373.0","374.0","7,134.0","2,970.0","1,408.0","1,567.0","547.0"
"44","26","Less: Wage accruals less disbursements","B116RC1","0.0","0.0","170.0","-150.0","-20.0","0.0","0.0","0.0","0.0","175.0","-135.0","-40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"45","27","    Net state and local government saving","A924RC1","7,979.0","7,108.0","6,468.0","15,627.0","15,712.0","9,331.0","2,469.0","7,377.0","13,136.0","18,675.0","12,999.0","8,783.0","7,555.0","-2,197.0","4,886.0","23,938.0","22,351.0","20,724.0","11,977.0","17,238.0","20,134.0","6,186.0","-5,808.0","-1,394.0","-942.0","8,228.0","9,177.0","22,986.0","36,300.0","46,906.0","41,812.0","41,265.0","-15,918.0","-54,081.0","-38,831.0","-8,360.0","25,928.0","51,039.0","12,223.0","-72,234.0","-113,218.0","-89,653.0","-101,953.0"
"46","28","Social insurance funds","B118RC1","159.0","180.0","228.0","260.0","307.0","377.0","466.0","605.0","986.0","1,487.0","1,772.0","1,318.0","1,304.0","1,224.0","1,209.0","1,427.0","1,315.0","1,864.0","2,192.0","2,523.0","2,330.0","1,977.0","2,359.0","3,140.0","4,192.0","4,639.0","4,045.0","2,817.0","1,173.0","1,693.0","1,707.0","1,980.0","2,603.0","1,517.0","3,391.0","6,908.0","7,408.0","4,670.0","1,853.0","1,202.0","1,735.0","2,209.0","2,787.0"
"47","29","Other","B119RC1","7,820.0","6,927.0","6,240.0","15,367.0","15,405.0","8,954.0","2,002.0","6,771.0","12,150.0","17,188.0","11,227.0","7,465.0","6,251.0","-3,421.0","3,677.0","22,511.0","21,036.0","18,860.0","9,784.0","14,715.0","17,805.0","4,208.0","-8,167.0","-4,534.0","-5,133.0","3,589.0","5,132.0","20,169.0","35,127.0","45,213.0","40,105.0","39,285.0","-18,520.0","-55,598.0","-42,222.0","-15,269.0","18,519.0","46,369.0","10,370.0","-73,436.0","-114,955.0","-91,862.0","-104,740.0"
"48",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","30","  Total receipts","W077RC1","112,297.0","126,293.0","141,930.0","165,704.0","181,654.0","197,250.0","220,562.0","245,694.0","273,025.0","301,285.0","324,574.0","356,768.0","388,017.0","408,380.0","446,569.0","500,220.0","543,048.0","584,653.0","612,905.0","658,624.0","710,888.0","762,948.0","815,202.0","873,134.0","916,363.0","974,758.0","1,024,235.0","1,078,924.0","1,134,693.0","1,200,389.0","1,280,216.0","1,366,361.0","1,425,206.0","1,465,091.0","1,547,772.0","1,652,952.0","1,786,655.0","1,887,071.0","1,981,987.0","2,007,643.0","2,027,886.0","2,118,024.0","2,136,879.0"
"50","31","    Current receipts","W023RC1","105,454.0","120,081.0","134,927.0","158,434.0","174,342.0","188,080.0","209,588.0","233,673.0","259,938.0","287,575.0","308,356.0","338,169.0","370,234.0","391,434.0","428,609.0","480,153.0","521,069.0","561,635.0","590,576.0","635,533.0","687,489.0","737,958.0","789,397.0","846,235.0","888,153.0","944,835.0","991,885.0","1,045,084.0","1,099,472.0","1,164,502.0","1,240,416.0","1,322,602.0","1,374,005.0","1,412,699.0","1,496,313.0","1,600,964.0","1,730,421.0","1,829,663.0","1,923,056.0","1,944,801.0","1,961,403.0","2,042,442.0","2,064,384.0"
"51","32","    Capital transfer receipts","AD06RC1","6,843.0","6,212.0","7,003.0","7,270.0","7,312.0","9,170.0","10,974.0","12,021.0","13,087.0","13,710.0","16,218.0","18,599.0","17,783.0","16,946.0","17,960.0","20,067.0","21,979.0","23,018.0","22,329.0","23,091.0","23,399.0","24,990.0","25,805.0","26,899.0","28,210.0","29,923.0","32,350.0","33,840.0","35,221.0","35,887.0","39,800.0","43,759.0","51,201.0","52,392.0","51,459.0","51,988.0","56,234.0","57,408.0","58,931.0","62,842.0","66,483.0","75,582.0","72,495.0"
"52","33","  Total expenditures","W079RC1","117,443.0","132,263.0","148,362.0","162,276.0","179,276.0","202,591.0","232,436.0","250,631.0","268,568.0","295,517.0","326,395.0","363,330.0","393,293.0","420,977.0","451,493.0","491,419.0","541,529.0","589,547.0","629,771.0","674,117.0","728,408.0","801,703.0","866,212.0","917,988.0","956,855.0","1,007,732.0","1,060,111.0","1,104,665.0","1,156,376.0","1,215,463.0","1,310,859.0","1,404,462.0","1,524,511.0","1,609,509.0","1,678,852.0","1,757,182.0","1,852,617.0","1,931,400.0","2,075,037.0","2,188,762.0","2,238,812.0","2,278,572.0","2,285,100.0"
"53","34","    Current expenditures","W024RC1","97,475.0","112,973.0","128,459.0","142,807.0","158,630.0","178,749.0","207,119.0","226,296.0","246,802.0","268,900.0","295,357.0","329,386.0","362,679.0","393,631.0","423,723.0","456,215.0","498,718.0","540,911.0","578,599.0","618,295.0","667,355.0","731,772.0","795,205.0","847,629.0","889,095.0","936,607.0","982,708.0","1,022,098.0","1,063,172.0","1,117,596.0","1,198,604.0","1,281,337.0","1,389,923.0","1,466,780.0","1,535,144.0","1,609,324.0","1,704,493.0","1,778,624.0","1,910,833.0","2,017,035.0","2,074,621.0","2,132,095.0","2,166,337.0"
"54","35","    Gross government investment","A799RC1","28,302.0","28,749.0","30,064.0","30,641.0","33,217.0","39,637.0","43,589.0","43,839.0","42,787.0","49,480.0","56,834.0","63,971.0","64,957.0","64,827.0","66,449.0","74,975.0","84,384.0","92,811.0","98,449.0","106,304.0","114,707.0","127,236.0","132,053.0","134,340.0","135,671.0","143,045.0","153,968.0","163,778.0","178,935.0","186,434.0","205,736.0","224,258.0","240,502.0","253,324.0","259,565.0","269,107.0","281,553.0","304,367.0","329,033.0","348,805.0","350,299.0","338,203.0","319,674.0"
"55","36","    Capital transfer payments","W080RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,464.0","6,441.0","0.0","0.0","0.0","0.0","0.0","0.0"
"56","37","    Net purchases of nonproduced assets","AD09RC1","981.0","1,098.0","1,628.0","1,656.0","1,723.0","1,876.0","1,944.0","1,746.0","1,558.0","1,613.0","1,690.0","1,770.0","1,951.0","2,047.0","2,223.0","2,561.0","3,063.0","3,674.0","4,157.0","4,324.0","4,884.0","5,734.0","5,834.0","5,875.0","5,886.0","6,207.0","6,574.0","6,020.0","5,836.0","7,586.0","8,628.0","8,590.0","10,118.0","11,199.0","11,423.0","11,360.0","10,259.0","11,137.0","13,839.0","14,131.0","12,655.0","11,550.0","11,454.0"
"57","38","    Less: Consumption of fixed capital","A919RC1","9,315.0","10,557.0","11,789.0","12,828.0","14,294.0","17,671.0","20,216.0","21,250.0","22,579.0","24,476.0","27,486.0","31,797.0","36,294.0","39,528.0","40,902.0","42,332.0","44,636.0","47,849.0","51,434.0","54,806.0","58,538.0","63,039.0","66,880.0","69,856.0","73,797.0","78,127.0","83,139.0","87,231.0","91,567.0","96,153.0","102,109.0","109,723.0","116,032.0","121,794.0","127,280.0","137,073.0","150,129.0","162,728.0","178,668.0","191,209.0","198,763.0","203,276.0","212,365.0"
