"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","    Gross domestic product","A191RX1","4,258,163.0","4,266,295.0","4,409,497.0","4,643,763.0","4,912,813.0","4,885,743.0","4,875,355.0","5,136,908.0","5,373,062.0","5,672,779.0","5,850,052.0","5,833,996.0","5,982,080.0","5,865,934.0","6,130,933.0","6,571,503.0","6,843,419.0","7,080,461.0","7,307,037.0","7,607,391.0","7,879,198.0","8,027,052.0","8,008,303.0","8,280,000.0","8,516,176.0","8,863,103.0","9,085,963.0","9,425,844.0","9,845,924.0","10,274,741.0","10,770,650.0","11,216,398.0","11,337,473.0","11,543,115.0","11,836,427.0","12,246,929.0","12,622,956.0","12,958,492.0","13,206,365.0","13,161,939.0","12,757,933.0","13,062,966.0","13,299,103.0"
"21","2","    Gross domestic income","A261RX1","4,245,685.0","4,238,019.0","4,366,451.0","4,610,192.0","4,884,312.0","4,853,822.0","4,826,870.0","5,070,844.0","5,316,986.0","5,608,277.0","5,742,854.0","5,739,263.0","5,912,103.0","5,857,379.0","6,044,736.0","6,518,809.0","6,774,792.0","6,972,937.0","7,256,331.0","7,621,566.0","7,798,613.0","7,910,557.0","7,901,685.0","8,136,393.0","8,342,770.0","8,726,984.0","9,021,558.0","9,394,697.0","9,862,381.0","10,374,388.0","10,852,526.0","11,367,366.0","11,451,410.0","11,567,083.0","11,818,699.0","12,269,958.0","12,718,041.0","13,193,216.0","13,217,604.0","13,164,224.0","12,649,978.0","13,041,883.0","13,270,919.0"
"22","3","    Net domestic product \1\","A362RX1","3,965,965.0","3,956,269.0","4,089,325.0","4,314,183.0","4,566,560.0","4,514,636.0","4,484,481.0","4,737,846.0","4,959,650.0","5,242,856.0","5,393,158.0","5,343,182.0","5,467,693.0","5,313,906.0","5,563,510.0","5,987,439.0","6,224,007.0","6,428,103.0","6,621,062.0","6,892,381.0","7,132,585.0","7,246,541.0","7,197,310.0","7,447,505.0","7,654,972.0","7,968,397.0","8,148,485.0","8,439,288.0","8,801,797.0","9,159,830.0","9,575,424.0","9,936,616.0","9,987,182.0","10,143,348.0","10,395,166.0","10,758,638.0","11,081,580.0","11,359,995.0","11,545,272.0","11,451,655.0","11,022,057.0","11,313,313.0","11,522,446.0"
"23","4","    Net domestic income \1\","W256RX1","3,953,089.0","3,927,069.0","4,044,701.0","4,279,453.0","4,537,144.0","4,481,536.0","4,433,956.0","4,669,059.0","4,901,106.0","5,175,660.0","5,281,183.0","5,244,121.0","5,394,475.0","5,304,930.0","5,473,813.0","5,932,806.0","6,153,129.0","6,317,059.0","6,568,833.0","6,906,996.0","7,049,757.0","7,127,129.0","7,088,396.0","7,301,124.0","7,478,443.0","7,829,981.0","8,083,105.0","8,407,685.0","8,818,437.0","9,260,384.0","9,657,822.0","10,088,454.0","10,101,532.0","10,167,303.0","10,377,417.0","10,781,706.0","11,176,666.0","11,594,850.0","11,556,532.0","11,453,945.0","10,914,340.0","11,292,439.0","11,494,447.0"
"24",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","5","    Gross national product","A001RX1","4,287,966.0","4,295,800.0","4,442,246.0","4,678,938.0","4,960,260.0","4,939,818.0","4,917,206.0","5,186,812.0","5,429,116.0","5,728,353.0","5,925,154.0","5,908,339.0","6,047,329.0","5,934,031.0","6,197,077.0","6,634,144.0","6,888,028.0","7,110,433.0","7,335,946.0","7,643,948.0","7,917,311.0","8,074,962.0","8,048,782.0","8,319,365.0","8,555,973.0","8,892,976.0","9,121,665.0","9,463,097.0","9,873,377.0","10,295,253.0","10,802,942.0","11,259,237.0","11,394,970.0","11,597,055.0","11,909,937.0","12,341,598.0","12,720,104.0","13,028,300.0","13,321,955.0","13,316,912.0","12,889,022.0","13,253,403.0","13,522,007.0"
"26","6","    Gross national income","A023RX1","4,275,464.0","4,267,442.0","4,399,095.0","4,645,433.0","4,931,791.0","4,907,750.0","4,868,627.0","5,120,726.0","5,372,968.0","5,663,891.0","5,817,884.0","5,813,469.0","5,977,285.0","5,925,455.0","6,110,863.0","6,581,348.0","6,819,416.0","7,002,898.0","7,285,254.0","7,658,124.0","7,836,661.0","7,958,414.0","7,942,190.0","8,175,716.0","8,382,492.0","8,756,882.0","9,057,344.0","9,431,987.0","9,889,857.0","10,394,986.0","10,884,792.0","11,410,294.0","11,508,878.0","11,620,980.0","11,892,174.0","12,364,707.0","12,815,189.0","13,262,980.0","13,333,272.0","13,319,159.0","12,781,035.0","13,232,365.0","13,493,832.0"
"27","7","    Net national product \1\","A027RX1","3,996,176.0","3,986,158.0","4,122,553.0","4,349,889.0","4,614,929.0","4,569,863.0","4,527,000.0","4,788,695.0","5,016,854.0","5,299,493.0","5,470,121.0","5,419,349.0","5,534,317.0","5,383,530.0","5,631,037.0","6,051,253.0","6,269,120.0","6,458,064.0","6,649,894.0","6,929,050.0","7,170,821.0","7,294,813.0","7,237,980.0","7,487,016.0","7,694,908.0","7,998,217.0","8,184,218.0","8,476,577.0","8,829,150.0","9,180,160.0","9,607,608.0","9,979,400.0","10,044,688.0","10,197,285.0","10,468,684.0","10,853,306.0","11,178,728.0","11,429,790.0","11,660,875.0","11,606,645.0","11,153,193.0","11,503,570.0","11,745,006.0"
"28",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","8","    Gross domestic purchases","A712RX1","4,354,984.0","4,348,326.0","4,503,084.0","4,751,777.0","4,987,000.0","4,922,077.0","4,867,949.0","5,184,810.0","5,459,797.0","5,758,368.0","5,898,333.0","5,784,766.0","5,939,679.0","5,860,441.0","6,203,064.0","6,739,709.0","7,039,416.0","7,297,185.0","7,512,126.0","7,752,244.0","7,984,233.0","8,097,814.0","8,027,837.0","8,302,655.0","8,585,701.0","8,968,522.0","9,181,331.0","9,534,038.0","9,984,376.0","10,531,094.0","11,131,792.0","11,671,594.0","11,815,776.0","12,097,502.0","12,444,726.0","12,935,498.0","13,345,689.0","13,688,111.0","13,855,274.0","13,653,063.0","13,102,337.0","13,473,019.0","13,698,765.0"
"30","9","    Final sales to domestic purchasers \2\","A713RX1","4,342,026.0","4,367,178.0","4,497,623.0","4,745,167.0","4,958,040.0","4,906,160.0","4,914,746.0","5,163,557.0","5,426,956.0","5,720,352.0","5,884,194.0","5,823,272.0","5,911,736.0","5,911,889.0","6,239,332.0","6,658,395.0","7,029,348.0","7,309,716.0","7,495,320.0","7,746,236.0","7,965,790.0","8,096,387.0","8,047,067.0","8,299,534.0","8,577,275.0","8,907,001.0","9,160,614.0","9,512,447.0","9,912,537.0","10,464,664.0","11,067,733.0","11,613,300.0","11,860,860.0","12,088,256.0","12,428,962.0","12,869,829.0","13,295,737.0","13,628,961.0","13,826,424.0","13,691,167.0","13,243,007.0","13,419,696.0","13,664,169.0"
"31",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","10","    Command-basis gross domestic product","C191RX1","4,359,341.0","4,363,060.0","4,503,474.0","4,736,703.0","4,999,775.0","4,918,727.0","4,913,935.0","5,177,953.0","5,396,774.0","5,693,750.0","5,845,369.0","5,754,892.0","5,909,853.0","5,819,034.0","6,108,334.0","6,562,014.0","6,846,003.0","7,079,407.0","7,289,176.0","7,588,236.0","7,858,047.0","7,989,592.0","7,991,635.0","8,259,466.0","8,503,781.0","8,853,205.0","9,070,726.0","9,418,931.0","9,864,476.0","10,341,176.0","10,828,713.0","11,239,907.0","11,403,940.0","11,631,169.0","11,906,157.0","12,294,027.0","12,622,956.0","12,943,072.0","13,184,552.0","13,009,158.0","12,747,436.0","13,012,753.0","13,200,179.0"
"33","11","    Command-basis net domestic product \1\","C362RX1","4,067,708.0","4,052,987.0","4,183,038.0","4,406,792.0","4,652,808.0","4,544,624.0","4,520,237.0","4,776,040.0","4,979,593.0","5,259,640.0","5,383,035.0","5,255,872.0","5,387,569.0","5,260,872.0","5,535,776.0","5,973,386.0","6,222,731.0","6,423,118.0","6,599,183.0","6,869,227.0","7,107,569.0","7,205,144.0","7,177,475.0","7,423,744.0","7,639,509.0","7,955,451.0","8,130,161.0","8,429,616.0","8,817,297.0","9,223,730.0","9,631,025.0","9,957,798.0","10,051,918.0","10,230,224.0","10,464,612.0","10,805,878.0","11,081,580.0","11,344,070.0","11,523,479.0","11,300,637.0","11,013,921.0","11,266,810.0","11,428,020.0"
"34","12","    Command-basis gross national product","CB22RX1","4,386,420.0","4,389,923.0","4,533,825.0","4,769,451.0","5,045,418.0","4,969,638.0","4,952,954.0","5,225,762.0","5,450,717.0","5,747,319.0","5,918,214.0","5,825,452.0","5,972,101.0","5,884,340.0","6,172,422.0","6,622,594.0","6,889,095.0","7,107,362.0","7,316,346.0","7,622,993.0","7,895,207.0","8,037,005.0","8,031,526.0","8,297,415.0","8,543,552.0","8,883,289.0","9,107,006.0","9,456,987.0","9,892,238.0","10,361,541.0","10,860,900.0","11,282,539.0","11,461,489.0","11,684,842.0","11,979,558.0","12,388,627.0","12,720,104.0","13,013,137.0","13,300,406.0","13,163,143.0","12,878,386.0","13,200,604.0","13,420,725.0"
"35","13","    Command-basis net national product \1\","C027RX1","4,095,806.0","4,080,848.0","4,214,520.0","4,440,747.0","4,700,100.0","4,597,427.0","4,560,851.0","4,825,818.0","5,035,781.0","5,315,490.0","5,458,978.0","5,329,386.0","5,452,481.0","5,328,992.0","5,602,354.0","6,036,100.0","6,267,233.0","6,451,965.0","6,627,154.0","6,904,974.0","7,145,712.0","7,253,687.0","7,218,229.0","7,462,389.0","7,679,957.0","7,986,019.0","8,166,998.0","8,468,162.0","8,845,358.0","9,244,279.0","9,663,446.0","10,000,670.0","10,109,702.0","10,284,030.0","10,538,050.0","10,900,460.0","11,178,728.0","11,414,183.0","11,639,334.0","11,454,339.0","11,144,504.0","11,453,591.0","11,647,104.0"
"36",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","14","    Disposable personal income","A067RX1","2,979,927.0","3,107,347.0","3,247,658.0","3,405,165.0","3,636,606.0","3,608,647.0","3,689,530.0","3,836,639.0","3,968,978.0","4,154,596.0","4,251,908.0","4,293,686.0","4,407,927.0","4,504,428.0","4,653,548.0","4,986,903.0","5,142,360.0","5,312,611.0","5,399,899.0","5,633,029.0","5,782,509.0","5,893,620.0","5,943,222.0","6,152,478.0","6,255,310.0","6,456,019.0","6,648,570.0","6,867,813.0","7,110,357.0","7,535,363.0","7,763,142.0","8,157,801.0","8,356,233.0","8,633,166.0","8,850,482.0","9,152,929.0","9,277,293.0","9,652,828.0","9,880,284.0","10,119,516.0","9,836,730.0","10,016,520.0","10,149,659.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. In this table, net measures are the corresponding gross measures less the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
