"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218"
"106","98","        Spirits","DLIQRA3",28.802,28.529,28.568,28.056,27.417,27.345,26.971,26.863,27.005,27.023,26.612,26.968,27.27,26.748,27.66,28.874,30.634,32.313,33.681,34.19,33.419,33.22,33.398,34.095,35.009,36.713,37.803,39.145,39.775,40.01,39.602,39.506,39.866,39.302,39.043,40.217,42.592,44.545,46.715,48.319,50.371,50.912,51.213,50.649,52.31,52.937,53.002,52.671,54.351,55.267,56.274,59.362,61.988,64.605,66.046,67.529,68.281,68.782,69.189,69.455,70.813,71.596,73.237,73.571,74.315,76.151,77.157,77.152,76.844,78.336,79.105,80.132,81.89,82.797,82.022,83.746,78.511,76.271,75.605,73.889,73.984,73.665,75.437,73.543,74.581,71.558,67.989,66.625,65.729,64.061,62.055,60.701,58.551,57.19,55.157,55.037,56.775,58.378,59.463,60.333,57.164,57.108,57.886,58.052,59.628,60.241,62.397,57.351,58.137,57.958,57.954,57.503,57.639,57.925,58.245,59.182,59.214,61.174,60.508,61.411,62.392,63.517,63.595,63.592,65.777,67.237,68.661,70.747,68.603,66.361,66.406,63.543,64.394,65.175,65.967,67.133,64.817,63.464,62.944,62.614,63.232,63.946,64.191,63.443,62.099,61.432,61.682,62.04,63.602,63.193,62.874,61.071,61.582,62.016,62.404,62.679,65.006,66.7,68.985,70.611,70.891,72.526,73.1,74.94,75.99,78.042,80.294,81.624,82.389,82.679,83.106,85.08,86.39,86.796,86.598,86.961,87.964,88.212,90.815,91.703,93.085,94.338,95.095,96.546,97.195,98.676,100.834,103.295,105.882,107.673,109.292,111.154,113.74,115.713,116.533,116.382,114.439,115.091,116.519,116.162,115.256,113.952,114.269,116.032,119.48,120.904,121.055,124.304,126.018,127.371,128.704,129.448,130.943,132.135,131.417
"107","99","        Wine","DWINRA3",10.287,10.206,10.323,10.289,10.13,10.218,10.33,10.521,10.69,10.848,10.986,11.468,12.143,12.336,12.721,12.864,12.816,12.833,13.016,13.14,13.281,13.644,13.794,13.854,13.687,13.746,13.723,13.952,14.147,14.219,14.111,14.164,14.414,14.195,13.99,14.049,14.398,14.736,15.202,15.555,15.889,15.862,16.101,16.161,16.814,17.444,18.444,19.193,20.562,21.393,21.905,22.886,23.451,23.752,23.862,24.348,24.656,24.181,24.456,24.692,25.467,26.154,26.782,26.255,25.3,24.496,23.869,23.385,23.32,23.685,23.96,24.22,24.816,25.143,24.861,24.966,26.068,27.185,29.353,30.524,30.998,32.005,34.384,35.848,37.693,37.762,38.485,40.502,40.865,42.105,43.638,46.007,46.958,48.393,48.756,49.812,50.313,50.525,51.17,51.731,50.514,50.908,51.734,51.849,52.624,52.686,54.231,54.482,54.676,54.28,53.923,53.582,52.344,51.712,51.317,52.148,52.778,53.566,53.387,54.294,54.797,55.155,55.766,56.615,57.707,59.412,61.091,61.35,58.071,56.806,56.313,54.37,54.533,54.845,54.803,55.295,56.038,56.388,57.182,58.28,59.336,61.311,62.848,63.675,64.114,64.558,65.39,66.01,67.471,68.146,68.431,67.914,69.124,69.045,69.73,70.352,71.638,72.347,73.944,75.524,76.056,77.295,77.598,79.628,80.112,82.205,84.002,84.977,86.254,87.365,88.484,90.244,91.137,91.457,90.942,90.766,91.139,90.534,92.418,93.858,94.653,95.435,96.604,97.509,98.407,98.998,100.062,102.532,104.066,104.797,105.633,107.205,107.936,108.985,109.135,108.64,108.566,109.199,109.853,108.182,106.944,106.92,107.379,110.095,113.981,114.88,115.743,118.289,120.464,122.755,125.342,126.424,127.171,127.055,126.82
"108","100","        Beer","DMLTRA3",31.868,31.646,32.188,32.342,32.546,33.416,33.618,33.815,33.883,33.699,33.187,33.97,35.842,36.043,36.401,35.749,34.596,33.767,33.507,33.582,34.28,35.571,36.081,36.087,35.214,35.044,34.826,35.532,36.105,36.58,37.076,37.999,39.11,39.212,38.922,39.206,40.055,40.588,41.413,42.279,43.589,43.959,44.556,45.142,47.459,49.128,50.325,50.164,52.388,53.343,53.262,53.706,53.239,52.496,51.773,52.366,53.66,55.284,56.512,57.393,57.923,57.146,56.976,56.16,55.589,57.154,59.006,59.648,59.96,61.289,62.08,62.766,64.836,66.25,65.73,67.015,68.333,70.516,72.108,72.83,73.582,74.195,76.317,76.049,78.741,78.024,78.161,79.749,80.317,81.081,82.365,84.532,85.375,86.48,86.329,86.982,86.807,86.845,87.364,87.533,86.405,86.874,87.333,87.343,88.263,89.45,91.016,92.27,94.219,94.082,94.071,93.548,92.772,92.683,92.387,92.422,91.737,91.943,91.619,91.567,92.474,92.523,92.018,91.872,92.952,93.968,95.519,96,88.21,86.277,85.017,81.408,78.812,77.75,77.639,77.812,79.847,80.764,82.054,83.044,84.744,86.256,87.736,88.995,89.291,90.163,91.149,92.104,93.662,95.079,95.4,96.431,98.841,98.97,100.802,101.777,101.103,100.749,100.747,101.342,101.925,103.174,104.038,106.276,106.348,107.011,107.824,109.043,107.986,109.016,106.29,103.686,103.397,104.428,103.951,104.639,103.884,101.037,101.289,99.896,100.191,99.419,99.105,99.224,99.042,99.167,100.381,101.409,102.579,103.172,103.233,104.095,103.799,102.958,102.207,102.367,100.918,101.767,102.391,99.615,98.164,97.915,97.779,99.943,102.608,103.051,103.14,104.902,106.558,107.28,108.126,107.534,107.943,108.236,108.282
"109","101","      Food produced and consumed on farms (6)","DFFDRA3",1342.239,1319.552,1357.368,1400.073,1328.18,1205.775,1209.89,1155.41,1158.248,1220.989,1222.35,1182.98,1126.312,1088.477,1017.643,977.838,1016.072,1009.279,996.062,1000.284,969.994,949.007,929.831,920.906,892.348,830.078,815.784,781.264,746.008,780.302,772.444,760.642,761.87,724.877,684.941,672.036,666.807,660.236,656.003,646.083,642.989,595.891,601.911,595.67,598.437,630.897,650.42,672.493,632.487,594.437,601.641,583.242,584.707,606.116,623.594,634.91,598.691,590.961,548.615,605.284,609.272,726.549,726.273,741.508,758.011,648.974,600.997,594.395,632.132,654.611,686.01,686.443,682.217,657.78,635.274,620.063,573.986,528.995,519.274,499.545,469.341,483.608,511.754,492.811,485.931,506.896,443.274,428.022,457.984,463.873,454.157,469.317,456.359,416.389,389.917,403.525,401.14,403.786,420.355,408.754,386.161,383.583,381.174,370.882,356.007,370.552,391.647,361.133,383.998,379.746,329.137,317.769,292.857,262.461,255.373,260.57,259.24,259.643,265.515,253.403,234.729,234.043,225.946,209.531,218.71,200.975,190.994,187.573,191.619,193.597,201.881,202.778,201.07,196.806,191.652,188.508,183.759,177.195,177.446,177.243,176.986,181.944,185.878,184.48,172.904,176.563,167.383,167.814,167.715,165.486,154.666,145.905,145.69,140.181,135.156,133.583,138.11,141.252,145.46,149.725,145.092,142.918,135.083,127,124.414,118.124,117.952,112.949,106.407,96.6,93.407,102.574,103.732,113.165,114.7,110.655,103.757,99.478,92.319,86.083,93.226,85.846,90.187,93.089,94.186,97.981,104.014,103.819,114.294,130.469,128.369,127.62,107.368,95.044,93.75,100.198,106.759,106.544,100.517,107.86,109.73,112.658,117.047,110.837,101.94,100.44,99.01,95.682,83.016,84.719,81.546,79.255,79.314,79.751,77.698
"110","102","    Clothing and footwear","DCLORA3",15.036,15.423,15.317,15.464,15.51,15.617,15.364,15.305,15.443,15.604,15.731,16.157,16.241,16.422,16.496,16.629,16.563,16.665,16.961,16.805,17.499,17.96,18.225,18.406,18.424,18.393,18.777,19.492,19.906,19.979,20.208,20.027,20.039,20.193,20.283,20.163,20.729,20.873,21.231,21.08,21.291,21.372,21.49,21.379,21.128,21.063,21.005,21.351,21.493,22.022,22.142,22.446,22.631,23.205,23.929,24.609,25.287,25.205,25.25,25.422,25.512,25.206,24.778,23.736,24.549,25.385,25.815,25.987,26.309,26.366,26.727,27.021,27.068,27.593,28.034,29.429,29.738,30.845,31.311,32.045,32.042,32.243,33.342,33.532,33.328,33.169,34.024,34.704,35.628,35.808,36.244,36.155,36.536,35.91,36.556,37.224,37.52,38.764,39.24,40.713,41.351,42.765,42.131,42.924,43.287,43.897,44.477,45.053,46.218,47.738,47.978,48.025,48.817,49.024,49.775,49.387,50.065,49.77,50.903,52.058,52.224,52.914,54.093,54.305,53.853,53.031,52.912,52.263,52.834,53.6,53.441,52.332,54.479,55.349,56.474,57.176,56.969,58.047,58.635,59.344,60.738,60.616,61.529,63.167,62.953,63.62,64.761,64.823,65.267,66.879,68.002,68.432,68.462,67.851,70.106,70.994,72.51,73.729,73.193,74.893,77.6,78.269,78.79,78.993,80.28,82.019,82.915,83.616,82.274,82.811,82.714,84.14,85.093,85.132,84.614,87.262,87.304,89.556,91.549,91.62,94.212,92.829,93.897,96.134,97.487,99.69,99.876,102.947,103.859,103.582,104.822,106.377,107.692,107.905,108.862,108.801,107.861,110.712,107.943,104.149,102.932,100.921,101.951,103.036,105.489,106.944,107.479,110.819,111.459,112.215,110.586,111.521,113.14,111.721,113.392
"111","103","      Garments","DGARRA3",13.639,14.037,13.973,14.126,14.169,14.259,13.993,14.036,14.161,14.3,14.415,14.822,14.891,15.105,15.177,15.307,15.256,15.402,15.697,15.539,16.206,16.635,16.945,17.137,17.166,17.119,17.486,18.189,18.518,18.623,18.916,18.738,18.717,18.887,19.002,18.855,19.327,19.456,19.792,19.719,19.984,19.936,19.923,19.842,19.841,19.845,19.746,20.104,20.208,20.765,20.905,21.217,21.398,21.892,22.633,23.15,23.858,23.82,23.868,24.094,24.23,23.911,23.572,22.655,23.498,24.322,24.753,24.934,25.202,25.29,25.609,25.903,25.73,26.509,26.971,28.351,28.588,29.533,30.074,30.704,30.767,31,32.116,32.258,32.142,31.98,32.901,33.521,34.396,34.568,35.129,35.089,35.501,35.07,35.727,36.418,36.693,37.93,38.364,39.878,40.55,42.24,41.497,42.283,42.607,43.082,43.81,44.358,45.45,46.968,47.205,47.193,47.833,48.196,48.96,48.459,49.294,48.901,50.061,51.398,51.516,51.863,53.2,53.454,52.858,52.038,51.836,51.194,51.912,52.877,52.765,51.645,53.721,54.795,56.136,56.91,56.638,57.679,58.175,58.869,60.303,60.232,60.956,62.534,62.652,63.075,64.412,64.291,64.592,66.306,67.533,67.942,67.92,67.136,69.601,70.544,71.896,73.134,72.513,73.985,76.78,77.315,77.746,77.799,79.091,81.08,81.813,82.686,81.337,81.686,81.801,83.375,84.186,84.483,83.937,86.737,86.836,89.048,90.957,91.036,93.675,92.353,93.551,96.058,97.471,99.656,100.034,102.839,103.905,103.453,104.347,106.015,107.449,107.415,108.511,108.609,107.786,110.634,107.782,104.254,103.035,101.111,102.183,103.526,105.927,107.575,108.036,111.677,112.341,112.995,110.851,111.581,113.007,111.873,113.736
"112","104","        Women's and girls' clothing (10)","DWGCRA3",12.205,12.407,12.348,12.485,12.523,12.676,12.545,12.557,12.689,12.799,12.869,13.284,13.429,13.62,13.716,13.839,13.783,13.964,14.27,14.15,14.765,15.134,15.388,15.529,15.544,15.443,15.732,16.497,16.833,16.893,16.881,16.741,16.628,16.725,16.773,16.667,17.106,17.146,17.561,17.448,17.637,17.625,17.603,17.421,17.431,17.564,17.451,17.811,17.941,18.476,18.577,18.859,18.801,19.091,19.769,20.198,20.848,20.77,20.735,20.843,20.995,20.84,20.504,19.822,20.533,21.303,21.618,21.757,22.111,22.155,22.349,22.441,23.025,23.091,23.144,24.268,24.832,25.82,26.607,27.005,27.056,27.365,28.375,28.617,28.584,28.562,29.401,30.1,31.048,31.368,31.963,32.074,32.676,32.163,32.794,33.635,34.122,35.394,35.687,37.461,38.213,39.948,39.299,39.959,40.347,40.985,41.946,42.445,43.9,45.597,45.74,45.86,46.173,46.494,47.126,46.372,47.275,46.517,47.773,49.26,49.589,49.507,51.121,51.367,50.393,49.564,49.293,48.529,49.273,50.566,50.198,49.024,51.328,52.507,53.649,54.698,54.188,55.106,55.347,55.79,56.643,56.452,57.423,58.965,59.229,59.405,60.518,60.223,60.573,62.586,63.666,64.172,63.475,62.502,65.006,65.979,67.539,68.778,68.527,70.674,73.85,74.423,74.94,75.1,77.031,79.497,80.283,80.596,78.942,79.979,80.498,82.616,83.358,83.31,82.564,85.368,85.623,87.776,89.773,90.468,93.242,91.685,93.05,95.241,97.294,99.884,100.006,102.816,104.322,103.107,104.169,105.572,106.439,106.901,109.413,109.516,108.472,111.865,107.737,104.501,103.977,101.765,102.185,103.468,105.735,108.016,108.984,112.505,112.641,113.364,111.7,112.887,114.52,113.075,116.316
"113","105","        Men's and boys' clothing (11)","DMBCRA3",16.699,17.558,17.479,17.66,17.707,17.63,17.043,17.154,17.244,17.438,17.646,18.022,17.921,18.183,18.18,18.311,18.245,18.271,18.52,18.287,19.102,19.695,20.136,20.419,20.424,20.443,20.935,21.463,21.789,22.009,22.993,22.718,22.868,23.154,23.397,23.137,23.686,24.026,24.13,24.082,24.434,24.23,24.15,24.212,24.093,23.743,23.672,24.041,24.211,24.918,25.185,25.518,26.128,26.957,27.725,28.325,29.101,29.137,29.294,29.669,29.696,29.135,28.967,27.635,28.802,29.797,30.41,30.609,30.624,30.783,31.304,32.081,30.202,32.582,33.922,35.864,35.183,35.911,35.827,36.867,36.83,36.904,38.126,38.017,37.654,37.316,38.365,38.721,39.418,39.286,39.702,39.287,39.105,38.876,39.579,39.967,39.945,41.121,41.845,42.891,43.368,44.905,44.057,45.137,45.4,45.561,45.816,46.556,47.187,48.572,48.722,48.49,49.634,50.165,50.97,51.275,51.74,52.019,52.939,53.886,53.967,55.073,55.734,55.982,56.343,55.699,55.636,55.119,55.777,56.428,56.767,55.624,57.263,58.522,60.307,60.696,60.639,61.826,62.778,63.931,66.376,66.501,66.782,68.745,68.559,69.116,71.063,71.305,71.829,73.079,74.382,74.664,75.739,75.563,77.683,78.428,79.235,80.516,79.226,79.881,81.895,82.26,82.755,82.502,83.015,84.149,84.562,86.032,85.177,84.4,83.715,84.406,85.092,85.979,85.699,88.709,88.552,90.932,92.843,91.778,94.17,93.1,94.274,97.49,97.737,99.461,100.072,102.73,103.392,104.113,105.043,107.119,109.549,108.581,107.065,107.331,106.675,108.729,107.625,103.665,101.402,100.09,102.368,103.75,106.325,107.23,106.862,110.675,111.823,112.262,109.551,109.626,111.308,110.623,110.426
"114","106","        Children's and infants' clothing (12)","DCICRA3",6.52,6.624,6.621,6.74,6.851,7.056,7.073,7.104,7.356,7.533,7.655,7.915,7.895,8.021,8.259,8.461,8.736,9.211,9.54,9.36,9.275,9.08,9.118,9.441,10.068,10.657,11.344,12.022,11.994,11.875,11.832,11.89,12.277,12.861,13.151,13.353,13.48,13.386,14.147,14.897,15.971,16.879,17.932,18.857,19.992,20.917,20.93,20.897,19.345,18.309,17.819,18.466,19.775,21.372,23.032,24.622,25.592,25.804,26.654,28.018,28.867,27.306,25.261,23.826,24.003,24.015,24.917,25.683,26.456,26.704,27.518,27.278,27.965,27.715,27.945,28.713,30.785,32.504,33.704,34.816,35.936,36.077,37.829,38.271,38.829,37.755,38.799,40.09,41.051,41.258,42.322,42.908,45.021,44.318,44.912,45.617,45.035,46.093,46.317,47.448,48.395,50.45,49.249,49.523,49.37,49.867,50.781,50.523,49.984,50.011,52.063,51.859,53.214,52.88,55.068,52.222,54.716,54.476,55.94,57.98,55.543,56.089,58.539,58.943,56.468,54.595,54.344,54.457,55.197,54.073,54.06,53.891,55.992,54.291,54.978,54.845,56.183,57.717,58.227,58.822,60.483,60.565,61.217,60.448,60.878,63.489,63.21,62.685,60.752,61.985,64.441,64.569,64.971,62.185,66.599,68.598,71.374,72.249,71.961,71.151,75.076,76.434,75.359,76.312,75.666,78.182,80.556,83.774,82.564,82.714,83.683,85.162,87.604,87.797,87.705,89.031,89.092,90.853,91.734,92.546,95.319,95.02,94.38,95.647,97.676,98.362,100.098,103.863,102.542,102.909,101.568,103.551,104.902,105.349,107.752,106.646,107.359,109.454,109.342,105.37,103.366,100.443,100.741,102.512,105.292,104.686,105.009,108.842,112.358,113.699,109.86,109.837,106.977,106.373,106.629
"115","107","      Other clothing materials and footwear (13 and 17)","DOCCRA3",22.886,23.07,22.66,22.748,22.842,23.073,22.926,22.239,22.445,22.723,22.918,23.434,23.607,23.576,23.652,23.803,23.645,23.474,23.755,23.623,24.442,25.073,25.046,25.149,25.103,25.172,25.639,26.38,27.289,27.169,27.001,26.816,27.025,27.075,27.017,27.061,28.16,28.381,28.859,28.256,28.135,28.975,29.858,29.574,27.878,27.411,27.588,27.851,28.216,28.564,28.567,28.815,29.017,30.034,30.64,32.226,32.716,32.383,32.412,32.272,32.098,31.874,30.948,29.215,29.826,30.71,31.116,31.228,31.854,31.735,32.319,32.603,33.913,32.968,33.277,34.711,35.424,37.422,37.453,38.75,38.38,38.4,39.394,39.836,39.173,39.032,39.54,40.527,41.69,41.911,41.714,41.38,41.608,40.009,40.597,41.148,41.55,42.828,43.509,44.771,45.231,45.246,45.167,45.995,46.556,47.85,47.669,48.386,49.921,51.438,51.694,52.044,53.618,53.02,53.699,53.9,53.76,53.966,54.959,55.185,55.592,58.007,58.393,58.392,58.666,57.834,58.137,57.453,57.28,57.036,56.643,55.588,58.078,57.926,57.976,58.32,58.443,59.699,60.738,61.52,62.715,62.342,64.178,66.102,64.281,66.119,66.324,67.259,68.387,69.505,70.133,70.657,70.935,71.163,72.4,73.026,75.323,76.452,76.319,79.107,81.385,82.698,83.65,84.587,85.85,86.368,88.05,87.915,86.608,88.048,86.941,87.664,89.287,88.108,87.721,89.656,89.443,91.874,94.256,94.294,96.665,94.993,95.46,96.462,97.55,99.839,99.182,103.429,103.666,104.149,106.915,107.968,108.757,110.064,110.409,109.658,108.205,111.075,108.657,103.729,102.518,100.131,100.986,100.995,103.666,104.322,105.16,107.255,107.788,108.962,109.484,111.282,113.731,111.093,111.951
"116","108","        Clothing materials","DCSMRA3",35.284,35.772,35.568,35.506,35.201,35.073,34.361,34.353,34.73,34.957,35.135,36.145,36.752,37.266,37.181,37.229,37.187,37.563,37.476,35.647,35.4,34.506,34.061,34.135,35.025,35.502,36.688,38.107,38.445,37.939,37.062,35.615,34.4,33.704,33.143,32.379,33.524,33.694,34.367,33.69,33.522,32.86,32.389,31.754,31.152,31.141,31.618,33.722,35.617,38.604,40.741,43.006,44.114,45.767,48.016,49.124,50.287,49.554,49.264,49.719,51.17,52,50.927,47.597,46.079,44.831,44.342,45.438,49.133,52.38,54.736,55.393,54.959,53.706,52.855,54.716,54.751,58.314,57.385,58.868,53.994,53.912,55.253,57.321,58.891,54.306,55.494,57.243,58.196,55.349,53.891,54.827,56.428,55.717,57.201,60.684,59.571,59.341,58.382,58.933,62.984,61.917,62.043,63.561,62.698,62.384,63.774,65.396,67.645,69.48,66.822,67.274,71.568,76.667,76.467,75.858,75.021,73.583,74.225,75.174,72.621,73.996,80.873,75.377,71.991,71.641,70.056,70.35,72.65,73.033,71.19,67.338,70.991,73.25,68.522,69.524,68.319,73.608,71.459,71.229,71.388,69.152,69.034,67.135,64.379,61.977,59.406,61.17,67.398,61.152,60.788,63.567,61.623,62.953,65.955,65.559,67.374,71.483,71.753,75.002,78.898,79.585,81.774,83.301,86.222,89.968,87.772,86.966,89.084,89.596,91.428,96.863,98.098,98.57,100.024,104.754,100.348,102.145,102.63,99.276,103.519,99.562,101.634,100.372,100.177,99.191,100.141,100.491,102.084,97.414,98.355,94.655,96.078,99.906,94.242,93.584,90.919,95.266,93.73,92.767,91.175,89.167,87.354,90.425,90.337,88.518,90.785,90.002,88.92,90.482,90.294,88.359,91.413,90.712,87.684
"117","109","        Standard clothing issued to military personnel","DMICRA3",38.346,35.533,32.62,32.485,32.463,32.419,32.419,32.441,32.508,32.53,35.265,48.691,56.656,56.617,40.463,32.308,37.795,40.357,45.553,48.135,48.103,45.25,39.79,37.112,39.816,37.064,52.616,70.765,94.343,106.965,112.107,114.19,116.249,120.627,125.354,129.548,133.801,137.091,124.614,109.869,108.591,106.074,101.428,98.999,95.727,92.68,92.354,91.714,86.725,79.786,56.448,45.046,35.589,37.489,39.9,43.178,48.625,47.599,46.265,44.858,44.952,46.578,48.536,51.493,54.373,54.664,55.656,54.407,53.427,53.419,56.607,54.433,52.411,55.725,51.363,51.07,46.169,50.925,50.256,49.522,58.522,57.833,57.368,58.255,59.813,58.942,57.321,59.391,51.034,47.142,46.461,48.267,51.709,51.468,51.263,51.212,55.564,58.161,58.899,58.369,55.704,53.503,51.044,48.536,45.174,43.777,43.259,43.538,46.246,47.162,48.018,48.275,47.392,47.198,46.952,46.948,46.968,47.227,47.595,48.202,50.084,50.143,49.167,47.469,43.821,42.249,41.488,41.847,42.256,45.119,49.722,55.599,64.995,70.788,74.911,77.188,77.127,76.613,76.212,76.036,76.466,76.366,76.29,76.246,76.548,76.268,75.943,75.768,74.285,74.748,75.905,77.429,81.322,82.885,83.447,83.312,81.855,81.051,79.663,78.067,75.436,74.696,75.314,76.726,80.133,82.659,84.621,86.369,87.697,88.731,89.496,90.751,90.496,94.694,102.31,111.787,130.194,139.796,142.421,138.527,117.719,99.204,86.41,81.185,90.251,97.995,103.701,108.053,107.077,106.859,109.192,113.46,112.12,108.533,106.496,105.843,102.325,99.667,100.948,105.853,111.735,114.99,115.204,112.046,106.944,102.15,98.741,96.381,94.129,91.064,87.45,83.728,79.527,77.7,78.704
"118","110","        Shoes and other footwear","DSHURA3",21.697,21.872,21.452,21.559,21.698,21.973,21.883,21.112,21.302,21.591,21.771,22.15,22.225,22.137,22.344,22.564,22.354,22.106,22.393,22.416,23.359,24.179,24.232,24.358,24.195,24.241,24.534,25.095,25.917,25.751,25.618,25.542,25.88,25.976,25.937,26.035,27.116,27.324,27.867,27.356,27.246,28.259,29.313,29.074,27.273,26.775,26.926,27.017,27.266,27.403,27.336,27.458,27.629,28.583,29.022,30.65,31.048,30.757,30.825,30.634,30.301,29.964,29.032,27.42,28.223,29.313,29.803,29.83,30.177,29.741,30.146,30.412,31.905,30.963,31.407,32.814,33.621,35.462,35.58,36.871,36.837,36.87,37.838,38.138,37.276,37.518,37.978,38.89,40.126,40.634,40.551,40.094,40.184,38.503,39.017,39.311,39.821,41.222,42.048,43.382,43.544,43.669,43.587,44.374,45.087,46.539,46.221,46.859,48.319,49.81,50.33,50.668,52.01,50.9,51.66,51.934,51.856,52.211,53.24,53.398,54.06,56.581,56.399,56.895,57.525,56.656,57.139,56.359,55.957,55.636,55.342,54.498,56.836,56.431,56.879,57.151,57.392,58.306,59.631,60.509,61.8,61.588,63.608,65.885,64.138,66.38,66.852,67.715,68.378,70.197,70.915,71.215,71.673,71.79,72.873,73.593,75.958,76.843,76.685,79.465,81.64,83.021,83.87,84.753,85.857,86.084,88.099,88.008,86.388,87.911,86.535,86.842,88.514,87.151,86.546,88.183,88.199,90.633,93.177,93.54,95.919,94.573,94.998,96.242,97.381,99.907,99.071,103.641,103.777,104.688,107.607,109.031,109.782,110.918,111.759,110.999,109.657,112.451,109.937,104.622,103.39,100.931,102.004,101.79,104.737,105.632,106.386,108.745,109.431,110.604,111.214,113.362,115.809,113.004,114.186
"119","111","    Gasoline and other energy goods","DGOERA3",45.166,45.254,45.09,45.088,45.47,46.537,45.732,45.738,45.181,46.341,45.308,45.435,46.721,46.825,46.766,47.869,49.034,48.523,48.365,48.771,49.627,50.851,52.403,52.192,51.949,53.271,54.514,55.106,55.149,56.538,57.296,57.584,57.479,58.035,57.902,58.962,60.192,60.279,60.918,60.802,62.14,62.937,63.147,64.489,65.543,64.934,65.932,65.955,67.218,68.282,67.984,68.039,69.51,70.093,71.382,74.303,75.947,75.416,75.746,74.575,66.399,68.607,69.967,72.154,70.785,71.433,70.858,70.493,72.653,74.034,75.045,77.023,75.58,75.48,76.344,76.71,77.356,77.961,77.061,76.639,78.682,74.994,73.855,72.567,70.683,68.342,67.278,67.262,67.715,67.526,67.416,67.361,68.129,68.265,67.132,66.933,68.431,68.145,69.576,70.262,69.76,70.861,71.337,71.925,71.985,72.343,72.584,72.464,73.97,75.622,76.768,77.735,76.605,78.673,76.757,77.872,78.627,79.752,79.715,80.633,80.76,80.318,80.165,82.58,80.15,79.756,80.472,77.635,77.536,78.902,79.852,79.143,80.421,82.23,82.452,82.928,82.75,83.649,85.112,84.742,85.842,85.334,85.63,84.827,86.916,87.62,86.64,86.829,88.003,88.567,88.594,88.345,88.926,90.165,90.561,90.991,91.764,93.231,94.11,94.497,95.133,97.256,96.084,96.567,93.108,94.891,95.3,94.724,95.141,93.935,95.691,95.984,95.649,96.786,97.335,97.282,97.411,98.455,100.312,101.38,100.884,101.016,100.377,100.467,101.672,100.585,99.279,98.464,97.143,97.352,98.28,98.113,97.616,97.079,97.064,95.887,94.236,93.053,90.001,92.181,95.128,93.112,92.172,91.389,94.103,92.889,92.656,90.732,92.22,88.855,88.179,88.294,87.727,89.529,89.585
"120","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRA3",32.141,32.413,32.259,32.569,32.715,34.168,33.538,33.394,33.372,34.13,33.761,33.932,34.864,35.028,35.273,35.764,36.058,36.515,36.144,36.538,37.499,38.217,38.829,38.663,38.972,39.952,40.329,41.193,41.763,42.676,42.961,43.057,43.305,43.692,44.134,44.864,45.997,46.717,47.716,47.822,48.845,50.035,50.462,51.566,52.715,52.742,53.725,54.163,54.953,55.932,56.219,56.573,57.436,57.573,58.245,59.537,61.589,60.797,61.354,61.156,55.204,57.358,58.957,61.317,60.214,60.258,59.339,59.956,61.205,62.15,62.547,63.458,63.366,64.155,64.721,64.76,64.496,65.768,66.395,66.265,67.267,64.225,64.089,63.817,62.419,61.364,60.365,60.442,62.132,62.096,62.082,61.988,62.856,63.564,62.518,62.453,64.411,62.901,64.47,65.224,64.784,66.206,66.767,67.323,67.066,67.598,67.73,67.893,69.404,70.522,71.079,72.415,71.672,73.656,72.312,73.368,73.615,74.963,74.649,75.612,76.556,75.843,75.805,77.325,76.871,75.413,75.846,74.839,74.064,75.102,75.442,75.265,76.689,77.499,78.877,79.077,78.734,79.889,80.917,80.419,80.804,81.379,81.137,80.62,82.804,82.878,82.052,81.861,83.065,84.518,84.393,84.605,85.761,86.653,86.954,87.43,88.775,89.848,90.983,91.361,91.532,93.463,92.703,93.676,90.824,92.252,92.882,92.391,92.533,91.505,93.478,93.948,93.472,94.221,94.808,94.527,95.562,96.698,98.094,99.048,99.194,99.639,99.009,99.751,101.023,100.38,99.535,99.062,98.056,97.718,98.595,98.663,97.864,97.581,97.796,96.849,95.32,94.547,91.343,92.74,95.168,93.164,92.484,91.476,94.704,93.65,93.274,91.321,93.228,90.293,89.482,89.693,89.817,91.461,91.247
