"","Table 5#4#5U# Private Fixed Investment in Structures by Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2012  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/26/2012 5:25:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Private fixed investment in structures","A349RC0",45687,45324,45594,49214,52743,57383,61851,62943,63157,71410,79308,80531,97165,115302,128590,125319,122161,146276,182478,222449,255527,255985,286260,279555,302977,353267,377633,391142,402083,416035,427077,420889,382968,402983,437046,482635,503798,552311,593048,654367,702431,759332,794120,784012,850988,978099,1116920,1185244,1143286,1048963,796448,708087,734566
"9","2","Nonresidential","B009RC0",18149,19568,19715,20778,21199,23737,28321,31349,31511,33557,37698,40287,42679,47173,54983,61237,61350,65915,74578,93584,117701,136170,167314,177564,154344,177397,194517,176527,174202,182789,193716,202917,183605,172572,177152,186769,207270,224583,250265,275130,283945,318145,329706,282752,281866,306651,351754,433671,524884,586304,451073,376349,404848
"10","3","  Commercial and health care","W001RC0",4556,4836,5492,6186,6096,6758,8170,8257,8186,9403,11665,12539,14889,17554,19818,20643,17662,18050,20301,25332,33505,40968,48271,55785,55836,70594,84135,80856,80827,86322,88269,87465,68922,64488,69363,75384,83056,91495,104304,115969,125419,139321,137303,119419,115054,125328,135923,156411,181875,181925,126788,92071,91518
"11","4","    Office \1\","W031RC0",1739,1846,2061,2270,2210,2385,2957,2983,2991,3416,4144,4325,5164,5422,6239,6484,5447,5361,6016,7756,11237,15705,20494,26783,24719,31086,38017,34889,32483,34222,34571,32954,26240,22221,23034,24557,28329,30920,37710,46422,51776,60228,57169,40564,35143,37786,42838,52496,61845,63785,42846,28004,25902
