"","Table 5#6#5A# Change in Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"20","2","Farm \1\","B018RC1","-122.0","-269.0","460.0","110.0","-99.0","-775.0","728.0","-881.0","924.0","446.0","-121.0","491.0","387.0","1,268.0","-226.0","-320.0","-852.0","-194.0","-1,790.0","2,663.0","-604.0","-85.0","998.0","1,381.0","724.0","201.0","-564.0","-963.0","92.0","1,970.0","-1,562.0","552.0","880.0","583.0","492.0","-1,179.0","822.0","-500.0","885.0","1,372.0","18.0","-838.0","1,661.0","289.0","1,527.0","-2,781.0","3,360.0","-838.0","4,533.0","1,371.0","3,568.0","-6,114.0","8,760.0","5,754.0","-15,355.0","5,728.0","5,754.0","-1,450.0","-6,418.0","-11,877.0","-14.0","2,380.0","-1,275.0","6,262.0","-6,176.0","12,033.0","-11,063.0","8,623.0","3,330.0"
"21","3","Nonfarm","A015RC1","1,662.0","46.0","-1,572.0","-2,461.0","-1,304.0","195.0","412.0","2,042.0","1,701.0","-1,021.0","328.0","1,902.0","3,943.0","638.0","-520.0","-604.0","-624.0","6,205.0","1,240.0","2,995.0","-2,088.0","5,855.0","8,911.0","2,133.0","1,224.0","-2,138.0","5,552.0","4,913.0","685.0","-2,336.0","5,479.0","2,680.0","2,094.0","5,518.0","5,129.0","6,000.0","8,425.0","14,136.0","8,981.0","7,681.0","9,155.0","2,839.0","6,595.0","8,818.0","14,351.0","16,771.0","-9,616.0","17,954.0","17,791.0","24,420.0","14,416.0","-217.0","21,049.0","-20,668.0","9,604.0","59,677.0","16,070.0","8,021.0","33,567.0","30,359.0","27,707.0","12,167.0","881.0","10,066.0","26,990.0","51,751.0","42,220.0","22,144.0","67,669.0"
"22","4","    Change in book value \2\","B016RC1","1,048.0","-3,969.0","-4,597.0","-3,803.0","1,364.0","874.0","689.0","2,900.0","1,761.0","-2,205.0","1,208.0","2,147.0","7,029.0","2,209.0","409.0","-248.0","46.0","13,173.0","8,610.0","5,557.0","-4,407.0","11,914.0","10,437.0","951.0","2,389.0","-1,771.0","7,486.0","8,108.0","2,524.0","-2,025.0","5,782.0","2,827.0","1,824.0","5,493.0","5,111.0","6,551.0","9,832.0","16,459.0","10,739.0","11,741.0","15,487.0","9,882.0","11,308.0","16,149.0","36,123.0","62,066.0","3,096.0","33,961.0","35,666.0","51,903.0","60,836.0","48,422.0","50,860.0","-12,801.0","14,156.0","63,752.0","13,084.0","-5,255.0","51,635.0","58,538.0","50,011.0","27,957.0","-6,638.0","13,045.0","30,689.0","66,407.0","65,401.0","21,458.0","48,951.0"
"23","5","    Inventory valuation adjustment \3\","B017RC1","614.0","4,015.0","3,025.0","1,342.0","-2,668.0","-679.0","-277.0","-858.0","-60.0","1,184.0","-880.0","-245.0","-3,086.0","-1,571.0","-929.0","-356.0","-670.0","-6,968.0","-7,370.0","-2,562.0","2,319.0","-6,059.0","-1,526.0","1,182.0","-1,165.0","-367.0","-1,934.0","-3,195.0","-1,839.0","-311.0","-303.0","-147.0","270.0","25.0","18.0","-551.0","-1,407.0","-2,323.0","-1,758.0","-4,060.0","-6,332.0","-7,043.0","-4,713.0","-7,331.0","-21,772.0","-45,295.0","-12,712.0","-16,007.0","-17,875.0","-27,483.0","-46,420.0","-48,639.0","-29,811.0","-7,867.0","-4,552.0","-4,075.0","2,986.0","13,276.0","-18,068.0","-28,179.0","-22,304.0","-15,790.0","7,519.0","-2,979.0","-3,699.0","-14,656.0","-23,181.0","686.0","18,718.0"
"24","6","  Manufacturing","A150RC1","911.0","747.0","-594.0","-1,155.0","-578.0","136.0","213.0","1,095.0","1,344.0","-631.0","214.0","1,218.0","2,567.0","1,553.0","244.0","-814.0","-1,556.0","2,901.0","450.0","1,271.0","-1,580.0","2,164.0","7,872.0","1,863.0","1,172.0","-2,582.0","2,625.0","3,757.0","-322.0","-2,071.0","2,469.0","656.0","1,470.0","3,308.0","2,035.0","3,072.0","4,150.0","8,548.0","5,798.0","3,709.0","4,013.0","22.0","-1,196.0","2,674.0","7,938.0","10,866.0","-4,150.0","8,006.0","5,185.0","9,336.0","9,316.0","23.0","4,020.0","-14,116.0","-251.0","27,356.0","-6,000.0","-4,047.0","7,889.0","16,383.0","14,133.0","8,849.0","-6,837.0","-4,667.0","3,469.0","11,891.0","14,178.0","10,097.0","21,748.0"
"25","7","    Durable goods","A624RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","128.0","-197.0","-1,370.0","1,470.0","5,310.0","1,591.0","1,140.0","-2,347.0","1,572.0","2,578.0","-194.0","-2,033.0","1,542.0","164.0","413.0","2,049.0","1,317.0","2,454.0","3,445.0","6,775.0","4,258.0","2,095.0","3,207.0","-516.0","-2,056.0","2,329.0","7,813.0","6,910.0","-4,708.0","4,779.0","2,656.0","8,496.0","9,868.0","-126.0","1,597.0","-11,876.0","-2,002.0","22,049.0","-5,798.0","-5,184.0","5,182.0","12,438.0","10,709.0","5,045.0","-9,603.0","-8,047.0","3,661.0","9,114.0","10,992.0","9,514.0","14,312.0"
"26","8","    Nondurable goods","A625RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","322.0","1,468.0","-210.0","694.0","2,562.0","272.0","32.0","-235.0","1,053.0","1,179.0","-128.0","-38.0","927.0","492.0","1,057.0","1,259.0","718.0","618.0","705.0","1,773.0","1,540.0","1,614.0","806.0","538.0","860.0","345.0","125.0","3,956.0","558.0","3,227.0","2,529.0","840.0","-552.0","149.0","2,423.0","-2,240.0","1,751.0","5,307.0","-202.0","1,137.0","2,707.0","3,945.0","3,424.0","3,804.0","2,766.0","3,380.0","-192.0","2,777.0","3,186.0","583.0","7,436.0"
"27","9","  Wholesale trade","A658RC1","31.0","54.0","-413.0","-175.0","-89.0","66.0","1.0","286.0","210.0","-198.0","77.0","183.0","221.0","-554.0","-234.0","202.0","560.0","815.0","-21.0","566.0","4.0","1,356.0","308.0","323.0","100.0","282.0","1,115.0","434.0","-183.0","-12.0","1,678.0","454.0","424.0","765.0","1,456.0","1,224.0","1,456.0","3,102.0","2,117.0","1,056.0","2,216.0","2,652.0","2,108.0","1,972.0","1,463.0","5,389.0","-2,924.0","4,686.0","6,126.0","7,431.0","5,204.0","3,606.0","4,057.0","-1,571.0","440.0","14,385.0","6,156.0","7,082.0","6,683.0","8,495.0","4,101.0","8,160.0","4,543.0","8,269.0","6,348.0","16,361.0","14,101.0","3,143.0","26,493.0"
"28","10","    Durable goods","A661RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","138.0","470.0","-103.0","785.0","554.0","-304.0","34.0","48.0","757.0","-127.0","29.0","-43.0","921.0","481.0","212.0","679.0","670.0","835.0","1,045.0","2,105.0","1,120.0","732.0","1,540.0","1,305.0","1,665.0","1,875.0","1,819.0","3,422.0","-1,225.0","2,818.0","3,519.0","6,080.0","3,273.0","3,121.0","3,487.0","-2,152.0","-853.0","10,596.0","2,018.0","3,882.0","4,337.0","5,817.0","2,494.0","3,847.0","808.0","3,492.0","4,324.0","12,563.0","13,221.0","4,183.0","18,082.0"
"29","11","    Nondurable goods","A664RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-159.0","96.0","107.0","571.0","-246.0","627.0","66.0","234.0","358.0","561.0","-212.0","31.0","757.0","-27.0","212.0","86.0","786.0","389.0","411.0","997.0","997.0","324.0","676.0","1,347.0","443.0","97.0","-356.0","1,967.0","-1,699.0","1,868.0","2,607.0","1,351.0","1,931.0","485.0","570.0","581.0","1,293.0","3,789.0","4,138.0","3,200.0","2,346.0","2,678.0","1,607.0","4,313.0","3,735.0","4,777.0","2,024.0","3,798.0","880.0","-1,040.0","8,411.0"
"30","12","      Merchant wholesalers","A151RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,390.0","274.0","181.0","363.0","1,150.0","1,104.0","1,303.0","2,595.0","1,553.0","795.0","1,826.0","2,526.0","2,255.0","1,864.0","1,055.0","4,520.0","-3,071.0","3,933.0","6,172.0","7,736.0","4,450.0","4,745.0","2,755.0","-1,146.0","713.0","12,693.0","7,043.0","6,987.0","7,207.0","7,343.0","3,390.0","7,216.0","4,623.0","8,421.0","6,254.0","14,540.0","11,245.0","2,428.0","23,817.0"
"31","13","        Durable goods","A626RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","747.0","331.0","86.0","394.0","457.0","772.0","898.0","1,739.0","760.0","606.0","1,249.0","1,329.0","1,845.0","1,705.0","1,464.0","2,968.0","-1,353.0","1,999.0","3,914.0","5,682.0","2,785.0","3,539.0","2,525.0","-1,867.0","-577.0","9,559.0","2,497.0","3,993.0","4,499.0","4,944.0","2,039.0","3,543.0","1,040.0","4,199.0","4,005.0","11,069.0","10,962.0","3,528.0","16,053.0"
"32","14","        Nondurable goods","A627RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","643.0","-57.0","95.0","-31.0","693.0","332.0","405.0","856.0","793.0","189.0","577.0","1,197.0","410.0","159.0","-409.0","1,552.0","-1,718.0","1,934.0","2,258.0","2,054.0","1,665.0","1,206.0","230.0","721.0","1,290.0","3,134.0","4,546.0","2,994.0","2,708.0","2,399.0","1,351.0","3,673.0","3,583.0","4,222.0","2,249.0","3,471.0","283.0","-1,100.0","7,764.0"
"33","15","      Nonmerchant wholesalers","A152RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","288.0","180.0","243.0","402.0","306.0","120.0","153.0","507.0","564.0","261.0","390.0","126.0","-147.0","108.0","408.0","869.0","147.0","753.0","-46.0","-305.0","754.0","-1,139.0","1,302.0","-425.0","-273.0","1,692.0","-887.0","95.0","-524.0","1,152.0","711.0","944.0","-80.0","-152.0","94.0","1,821.0","2,856.0","715.0","2,676.0"
"34","16","        Durable goods","A628RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","174.0","150.0","126.0","285.0","213.0","63.0","147.0","366.0","360.0","126.0","291.0","-24.0","-180.0","170.0","355.0","454.0","128.0","819.0","-395.0","398.0","488.0","-418.0","962.0","-285.0","-276.0","1,037.0","-479.0","-111.0","-162.0","873.0","455.0","304.0","-232.0","-707.0","319.0","1,494.0","2,259.0","655.0","2,029.0"
"35","17","        Nondurable goods","A629RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","114.0","30.0","117.0","117.0","93.0","57.0","6.0","141.0","204.0","135.0","99.0","150.0","33.0","-62.0","53.0","415.0","19.0","-66.0","349.0","-703.0","266.0","-721.0","340.0","-140.0","3.0","655.0","-408.0","206.0","-362.0","279.0","256.0","640.0","152.0","555.0","-225.0","327.0","597.0","60.0","647.0"
"36","18","  Retail trade","A153RC1","250.0","-457.0","-316.0","-695.0","-488.0","-48.0","297.0","668.0","53.0","-164.0","97.0","482.0","851.0","-411.0","-462.0","-58.0","272.0","2,048.0","603.0","1,229.0","-358.0","2,131.0","40.0","-36.0","405.0","144.0","2,092.0","183.0","779.0","-242.0","1,058.0","1,375.0","-421.0","1,472.0","1,191.0","1,274.0","2,490.0","2,260.0","3.0","2,629.0","2,370.0","13.0","5,217.0","3,489.0","4,129.0","-807.0","-3,225.0","5,022.0","4,259.0","5,562.0","-45.0","-3,033.0","6,299.0","-2,810.0","10,216.0","16,961.0","12,195.0","2,629.0","17,305.0","6,570.0","12,726.0","-1,603.0","513.0","4,288.0","14,529.0","19,789.0","11,981.0","7,408.0","13,662.0"
"37","19","    Durable goods","A630RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,176.0","741.0","-330.0","1,376.0","221.0","-127.0","345.0","-245.0","1,066.0","-317.0","679.0","-702.0","342.0","979.0","-922.0","633.0","653.0","479.0","1,652.0","1,210.0","-651.0","1,975.0","1,226.0","-966.0","3,536.0","2,037.0","2,994.0","510.0","-1,437.0","3,268.0","3,203.0","3,159.0","-294.0","-5,167.0","2,094.0","-2,657.0","5,891.0","8,703.0","8,507.0","58.0","13,221.0","4,743.0","6,382.0","-1,156.0","-4,495.0","1,161.0","8,870.0","13,483.0","9,302.0","5,026.0","9,607.0"
"38","20","      Motor vehicle dealers \4\","A631RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","147.0","973.0","-614.0","474.0","546.0","65.0","1,481.0","607.0","-823.0","1,398.0","679.0","-1,198.0","2,808.0","314.0","2,216.0","195.0","-1,416.0","1,722.0","2,788.0","1,689.0","-40.0","-4,579.0","218.0","-1,812.0","3,318.0","5,188.0","6,082.0","-1,239.0","9,137.0","1,819.0","4,162.0","-1,377.0","-3,550.0","1,269.0","3,663.0","7,382.0","5,725.0","2,607.0","4,354.0"
"39","21","      Other \4\","A632RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","195.0","6.0","-308.0","159.0","107.0","414.0","171.0","603.0","172.0","577.0","547.0","232.0","728.0","1,723.0","778.0","315.0","-21.0","1,546.0","415.0","1,470.0","-254.0","-588.0","1,876.0","-845.0","2,573.0","3,515.0","2,425.0","1,297.0","4,084.0","2,924.0","2,220.0","221.0","-945.0","-108.0","5,207.0","6,101.0","3,577.0","2,419.0","5,253.0"
"40","22","    Nondurable goods","A633RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-573.0","488.0","-28.0","755.0","-181.0","91.0","60.0","389.0","1,026.0","500.0","100.0","460.0","716.0","396.0","501.0","839.0","538.0","795.0","838.0","1,050.0","654.0","654.0","1,144.0","979.0","1,681.0","1,452.0","1,135.0","-1,317.0","-1,788.0","1,754.0","1,056.0","2,403.0","249.0","2,134.0","4,205.0","-153.0","4,325.0","8,258.0","3,688.0","2,571.0","4,084.0","1,827.0","6,344.0","-447.0","5,008.0","3,127.0","5,659.0","6,306.0","2,679.0","2,382.0","4,055.0"
"41","23","  Other","A154RC1","470.0","-298.0","-249.0","-436.0","-149.0","41.0","-99.0","-7.0","94.0","-28.0","-60.0","19.0","304.0","50.0","-68.0","66.0","100.0","441.0","208.0","-71.0","-154.0","204.0","692.0","-17.0","-453.0","18.0","-281.0","539.0","411.0","-11.0","274.0","195.0","621.0","-27.0","447.0","430.0","329.0","226.0","1,063.0","287.0","556.0","152.0","466.0","683.0","821.0","1,323.0","683.0","240.0","2,221.0","2,091.0","-59.0","-813.0","6,673.0","-2,171.0","-801.0","975.0","3,719.0","2,357.0","1,690.0","-1,089.0","-3,253.0","-3,240.0","2,662.0","2,176.0","2,644.0","3,710.0","1,960.0","1,496.0","5,767.0"
"42","24","    Durable goods","A636RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","61.0","39.0","243.0","60.0","-6.0","58.0","101.0","-62.0","121.0","-256.0","-8.0","-52.0","-232.0","118.0","389.0","23.0","-101.0","-63.0","102.0","480.0","-34.0","-174.0","146.0","651.0","-581.0","85.0","-336.0","-619.0","207.0","-255.0","446.0","-38.0","-317.0","439.0","257.0","545.0","40.0","354.0","935.0"
"43","25","    Nondurable goods","A637RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","213.0","156.0","378.0","-87.0","453.0","372.0","228.0","288.0","942.0","543.0","564.0","204.0","698.0","565.0","432.0","1,300.0","784.0","303.0","2,119.0","1,611.0","-25.0","-639.0","6,527.0","-2,822.0","-220.0","890.0","4,055.0","2,976.0","1,483.0","-834.0","-3,699.0","-3,202.0","2,979.0","1,737.0","2,387.0","3,165.0","1,920.0","1,142.0","4,832.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
