"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    National income without capital consumption adjustment","J422RC1","237,113.0","245,957.0","251,018.0","252,700.0","245,347.0","240,970.0","241,293.0","237,617.0","247,077.0","258,738.0","276,378.0","287,777.0","299,647.0","305,245.0","310,354.0","316,142.0","318,118.0","319,706.0","325,292.0","336,291.0","342,239.0","344,901.0","343,237.0","334,789.0","336,605.0","336,678.0","339,921.0","348,499.0","360,049.0","369,773.0","375,965.0","382,865.0","386,592.0","392,666.0","397,398.0","405,848.0","412,356.0","414,498.0","418,261.0","412,154.0","407,130.0","409,100.0","419,592.0","432,630.0","444,104.0","458,211.0","455,113.0","460,206.0","473,299.0","473,407.0","474,345.0","472,531.0","474,298.0","483,697.0","493,057.0","506,935.0","514,986.0","521,457.0","527,293.0","534,642.0","541,166.0","550,004.0","558,392.0","568,232.0","580,356.0","590,222.0","601,387.0","609,475.0","627,526.0","638,341.0","649,051.0","668,077.0","687,706.0","697,278.0","708,626.0","720,850.0","727,141.0","734,005.0","749,155.0","764,905.0","785,681.0","806,438.0","825,154.0","841,487.0","857,843.0","873,958.0","892,712.0","902,026.0","907,079.0","919,115.0","934,376.0","934,905.0","971,950.0","991,635.0","1,009,008.0","1,030,623.0","1,061,500.0","1,081,528.0","1,111,472.0","1,158,338.0","1,196,555.0","1,222,036.0","1,251,085.0","1,289,959.0","1,303,577.0","1,326,086.0","1,356,046.0","1,374,314.0","1,384,339.0","1,417,817.0","1,478,801.0","1,524,362.0","1,574,712.0","1,601,693.0","1,634,266.0","1,668,407.0","1,714,362.0","1,783,626.0","1,840,201.0","1,888,930.0","1,927,488.0","2,023,364.0","2,070,197.0","2,134,215.0","2,189,358.0","2,229,691.0","2,284,372.0","2,344,912.0","2,392,545.0","2,386,919.0","2,449,039.0","2,577,216.0","2,656,879.0","2,693,322.0","2,781,502.0","2,795,110.0","2,798,588.0","2,845,603.0","2,858,674.0","2,867,974.0","2,919,677.0","2,991,959.0","3,065,027.0","3,161,041.0","3,291,231.0","3,370,743.0","3,431,641.0","3,481,570.0","3,533,822.0","3,571,615.0","3,620,860.0","3,668,367.0","3,731,219.0","3,752,343.0","3,800,047.0","3,847,842.0","3,922,210.0","4,015,540.0","4,112,667.0","4,209,978.0"
"21","2","Domestic industries","J423RC1","235,712.0","244,477.0","249,554.0","251,222.0","243,953.0","239,636.0","240,026.0","236,492.0","245,852.0","257,421.0","274,774.0","286,157.0","298,111.0","303,365.0","308,357.0","313,986.0","316,119.0","317,691.0","323,315.0","334,337.0","340,331.0","342,862.0","341,437.0","332,935.0","334,600.0","334,685.0","337,862.0","346,176.0","357,626.0","367,369.0","373,506.0","380,352.0","383,744.0","389,829.0","394,463.0","403,288.0","409,285.0","411,144.0","415,016.0","409,605.0","404,510.0","406,400.0","416,989.0","430,043.0","441,518.0","455,613.0","452,276.0","457,175.0","470,371.0","470,401.0","471,176.0","469,177.0","470,723.0","480,299.0","489,554.0","503,340.0","511,386.0","517,465.0","523,242.0","529,897.0","536,657.0","545,672.0","553,949.0","563,607.0","575,292.0","585,343.0","596,338.0","604,780.0","622,091.0","632,699.0","643,785.0","663,294.0","682,709.0","692,224.0","703,653.0","715,578.0","721,915.0","728,921.0","743,465.0","759,312.0","779,866.0","800,436.0","818,894.0","835,197.0","851,499.0","867,781.0","886,751.0","896,003.0","900,791.0","912,481.0","927,791.0","928,832.0","964,532.0","983,660.0","1,001,749.0","1,022,899.0","1,053,329.0","1,073,419.0","1,102,543.0","1,149,296.0","1,185,889.0","1,210,407.0","1,237,202.0","1,275,650.0","1,286,508.0","1,309,687.0","1,340,762.0","1,360,965.0","1,372,943.0","1,406,159.0","1,465,800.0","1,508,392.0","1,558,941.0","1,585,046.0","1,617,153.0","1,650,540.0","1,693,595.0","1,762,873.0","1,819,314.0","1,870,164.0","1,905,394.0","2,004,617.0","2,049,300.0","2,109,637.0","2,163,662.0","2,200,237.0","2,248,287.0","2,308,423.0","2,354,588.0","2,351,118.0","2,414,621.0","2,548,658.0","2,625,492.0","2,663,311.0","2,748,796.0","2,757,475.0","2,762,609.0","2,804,678.0","2,823,643.0","2,833,883.0","2,885,610.0","2,955,219.0","3,027,162.0","3,121,360.0","3,254,206.0","3,333,202.0","3,394,274.0","3,448,334.0","3,507,542.0","3,542,961.0","3,596,660.0","3,641,320.0","3,707,641.0","3,735,933.0","3,781,562.0","3,835,858.0","3,908,066.0","3,997,047.0","4,094,640.0","4,190,026.0"
"22","3","  Private industries","J736RC1","216,561.0","225,070.0","228,671.0","229,584.0","221,967.0","217,326.0","217,397.0","213,252.0","223,019.0","234,729.0","251,165.0","261,102.0","270,544.0","274,156.0","276,615.0","281,733.0","282,438.0","283,063.0","287,986.0","298,797.0","304,836.0","306,669.0","305,664.0","296,681.0","297,882.0","298,440.0","300,858.0","308,639.0","319,823.0","328,669.0","334,066.0","340,480.0","343,392.0","348,839.0","352,672.0","361,235.0","366,424.0","367,445.0","370,026.0","364,488.0","358,079.0","359,271.0","368,800.0","381,355.0","391,530.0","405,129.0","401,375.0","405,647.0","417,593.0","416,625.0","416,161.0","413,457.0","414,310.0","423,059.0","431,227.0","443,374.0","450,146.0","455,587.0","460,859.0","466,226.0","471,357.0","479,345.0","486,592.0","494,243.0","504,617.0","513,472.0","523,128.0","529,921.0","546,681.0","556,022.0","565,204.0","581,860.0","598,942.0","606,413.0","614,768.0","624,277.0","628,814.0","633,545.0","645,727.0","657,994.0","675,250.0","693,441.0","708,157.0","723,124.0","737,692.0","751,461.0","764,816.0","771,798.0","772,163.0","781,817.0","794,848.0","794,357.0","824,811.0","840,777.0","856,045.0","875,050.0","899,883.0","918,260.0","944,168.0","984,926.0","1,019,687.0","1,041,627.0","1,065,186.0","1,099,269.0","1,105,897.0","1,125,026.0","1,152,865.0","1,167,140.0","1,173,598.0","1,201,337.0","1,256,810.0","1,293,999.0","1,338,787.0","1,361,093.0","1,389,539.0","1,416,577.0","1,455,632.0","1,520,184.0","1,572,074.0","1,614,875.0","1,645,874.0","1,740,584.0","1,778,962.0","1,831,965.0","1,880,647.0","1,914,024.0","1,955,942.0","2,006,213.0","2,045,923.0","2,034,209.0","2,090,908.0","2,211,779.0","2,281,047.0","2,311,811.0","2,392,932.0","2,388,817.0","2,387,899.0","2,423,431.0","2,437,170.0","2,437,519.0","2,482,765.0","2,546,079.0","2,612,987.0","2,702,103.0","2,815,358.0","2,886,350.0","2,938,659.0","2,985,422.0","3,029,649.0","3,057,136.0","3,102,362.0","3,138,513.0","3,198,829.0","3,220,300.0","3,258,940.0","3,301,933.0","3,366,456.0","3,448,793.0","3,540,380.0","3,626,811.0"
