"","Table 5#7#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"26","7","    Durable goods","B377RX1","60,461.0","60,910.0","61,796.0","61,221.0","60,162.0","60,137.0","60,361.0","60,452.0","60,844.0","59,119.0","57,132.0","55,653.0","55,594.0","56,780.0","57,674.0","60,483.0","62,957.0","68,045.0","73,978.0","76,525.0","79,581.0","79,480.0","79,934.0","81,269.0","82,905.0","84,670.0","85,829.0","84,793.0","82,600.0","79,660.0","77,910.0","78,060.0","78,278.0","79,387.0","80,682.0","82,307.0","84,987.0","87,185.0","87,773.0","89,166.0","89,885.0","90,462.0","91,098.0","89,243.0","86,631.0","84,063.0","83,701.0","84,198.0","85,129.0","87,407.0","87,440.0","88,790.0","91,554.0","91,328.0","92,252.0","89,288.0","87,358.0","86,778.0","88,988.0","90,503.0","93,722.0","94,810.0","96,833.0","96,586.0","98,107.0","99,749.0","101,095.0","100,494.0","101,862.0","102,707.0","104,685.0","107,759.0","110,320.0","112,647.0","116,359.0","117,835.0","121,803.0","125,678.0","132,464.0","137,421.0","142,305.0","144,559.0","147,195.0","149,559.0","150,502.0","152,031.0","154,361.0","155,381.0","158,166.0","159,466.0","161,038.0","164,046.0","162,989.0","162,226.0","164,022.0","162,624.0","162,424.0","160,844.0","159,608.0","157,502.0","157,891.0","158,564.0","161,447.0","163,228.0","166,678.0","170,640.0","176,270.0","181,462.0","183,843.0","186,373.0","189,993.0","194,716.0","194,924.0","193,011.0","189,197.0","186,111.0","185,924.0","187,932.0","190,353.0","194,321.0","194,943.0","195,319.0","197,410.0","198,657.0","200,705.0","204,660.0","207,891.0","211,611.0","215,633.0","219,532.0","221,470.0","225,091.0","227,188.0","227,836.0","224,691.0","225,091.0","227,255.0","226,475.0","228,878.0","226,973.0","223,119.0","221,956.0","219,571.0","214,080.0","207,003.0","207,855.0","208,254.0","211,833.0","216,234.0","223,686.0","231,293.0","234,445.0","233,235.0","233,100.0","231,743.0","228,539.0","227,265.0","226,513.0","224,646.0","223,248.0","222,749.0","223,836.0","225,466.0","228,569.0","230,656.0","233,011.0","235,368.0","240,936.0","245,420.0","248,702.0","250,518.0","251,325.0","253,646.0","254,868.0","256,510.0","256,257.0","253,851.0","250,080.0","248,710.0","246,760.0","243,950.0","242,030.0","241,522.0","238,715.0","238,946.0","240,521.0","242,248.0","242,502.0","244,547.0","247,296.0","248,915.0","251,697.0","254,876.0","257,233.0","260,161.0","262,701.0","266,717.0","267,282.0","270,571.0","272,483.0","274,831.0","279,196.0","283,247.0","287,984.0"
"27","8","    Nondurable goods","B378RX1","50,288.0","49,681.0","49,435.0","50,175.0","51,133.0","53,187.0","54,824.0","55,377.0","55,808.0","55,256.0","54,981.0","54,523.0","55,151.0","54,716.0","54,359.0","56,818.0","57,939.0","61,308.0","64,030.0","64,963.0","66,556.0","65,572.0","65,777.0","65,939.0","66,112.0","66,452.0","66,296.0","66,039.0","65,506.0","65,547.0","64,902.0","65,179.0","65,690.0","66,544.0","67,725.0","68,988.0","69,910.0","71,269.0","73,017.0","73,224.0","73,594.0","73,225.0","72,782.0","71,846.0","71,817.0","70,953.0","70,624.0","71,712.0","72,016.0","73,107.0","74,204.0","75,649.0","75,955.0","77,307.0","78,501.0","77,731.0","79,425.0","80,764.0","81,577.0","82,191.0","83,426.0","85,023.0","86,758.0","87,531.0","88,144.0","88,491.0","89,540.0","90,568.0","91,482.0","90,945.0","91,356.0","93,194.0","93,467.0","93,347.0","94,245.0","96,154.0","98,141.0","100,755.0","101,459.0","103,519.0","106,763.0","107,749.0","108,761.0","109,851.0","110,383.0","112,534.0","114,929.0","116,443.0","117,246.0","117,929.0","119,973.0","119,677.0","120,035.0","121,806.0","121,209.0","121,730.0","122,404.0","123,484.0","123,670.0","124,990.0","125,125.0","126,503.0","127,461.0","126,312.0","127,263.0","127,822.0","125,289.0","126,949.0","128,914.0","133,128.0","134,062.0","137,078.0","136,450.0","133,825.0","134,482.0","138,471.0","140,343.0","143,021.0","145,362.0","145,962.0","146,178.0","148,784.0","151,405.0","151,533.0","150,507.0","151,331.0","152,054.0","153,237.0","152,068.0","151,621.0","152,277.0","151,814.0","155,709.0","156,757.0","153,662.0","152,304.0","154,111.0","155,023.0","155,294.0","155,806.0","156,381.0","152,467.0","152,938.0","152,512.0","150,289.0","151,124.0","154,505.0","155,007.0","158,002.0","162,588.0","165,268.0","162,621.0","161,205.0","161,014.0","159,971.0","162,335.0","161,675.0","163,222.0","162,008.0","164,813.0","165,526.0","165,446.0","166,687.0","168,796.0","170,515.0","172,033.0","172,440.0","174,345.0","174,565.0","177,661.0","179,656.0","179,010.0","181,264.0","182,156.0","183,847.0","184,083.0","185,641.0","185,096.0","185,385.0","187,914.0","188,429.0","188,796.0","191,845.0","192,478.0","193,042.0","194,185.0","193,636.0","192,184.0","192,915.0","193,368.0","194,623.0","195,827.0","198,519.0","200,352.0","200,656.0","199,784.0","200,261.0","198,555.0","198,944.0","200,520.0","202,610.0","205,008.0","206,771.0","209,611.0"
"28","9","  Wholesale trade","A379RX1","42,963.0","43,552.0","42,511.0","41,396.0","41,497.0","42,074.0","43,313.0","44,108.0","44,421.0","43,958.0","44,225.0","44,320.0","45,492.0","46,927.0","47,025.0","49,325.0","49,667.0","51,033.0","50,972.0","50,457.0","49,904.0","49,535.0","50,536.0","51,802.0","52,213.0","52,637.0","52,786.0","52,300.0","52,789.0","53,300.0","53,151.0","53,131.0","53,561.0","54,970.0","55,970.0","56,948.0","57,285.0","57,071.0","58,324.0","58,804.0","58,633.0","58,832.0","58,765.0","58,205.0","57,518.0","57,523.0","57,724.0","58,171.0","58,986.0","61,106.0","62,264.0","64,708.0","66,238.0","67,060.0","67,025.0","66,541.0","67,117.0","67,144.0","67,920.0","68,448.0","69,251.0","70,571.0","70,655.0","71,614.0","72,308.0","74,003.0","76,125.0","77,488.0","78,373.0","80,165.0","81,083.0","82,175.0","84,604.0","86,298.0","87,583.0","87,758.0","90,741.0","92,862.0","95,061.0","99,549.0","102,222.0","102,308.0","105,656.0","107,725.0","108,026.0","110,510.0","111,688.0","111,498.0","114,052.0","116,680.0","118,781.0","119,684.0","121,876.0","123,570.0","126,019.0","128,730.0","128,829.0","131,096.0","132,723.0","135,505.0","135,177.0","137,468.0","140,635.0","141,587.0","143,542.0","143,181.0","142,887.0","145,438.0","149,807.0","154,012.0","153,422.0","158,937.0","156,235.0","152,645.0","153,327.0","152,097.0","152,946.0","157,891.0","161,817.0","162,186.0","165,469.0","167,929.0","171,821.0","175,304.0","180,951.0","183,380.0","184,228.0","189,349.0","193,291.0","195,356.0","197,631.0","198,710.0","201,638.0","204,948.0","204,945.0","204,001.0","208,769.0","206,625.0","207,116.0","209,805.0","208,611.0","209,878.0","209,200.0","207,220.0","204,343.0","200,246.0","203,889.0","206,331.0","210,024.0","213,513.0","220,938.0","222,847.0","225,319.0","227,034.0","227,694.0","229,154.0","231,560.0","234,035.0","238,982.0","237,704.0","238,052.0","239,729.0","238,923.0","245,427.0","250,411.0","253,448.0","255,912.0","254,934.0","254,036.0","258,186.0","258,769.0","258,499.0","260,550.0","264,484.0","266,825.0","267,241.0","269,266.0","265,912.0","267,093.0","271,461.0","272,075.0","274,562.0","275,959.0","280,259.0","281,425.0","282,580.0","285,140.0","286,531.0","286,273.0","290,855.0","295,550.0","302,737.0","307,796.0","311,550.0","314,846.0","316,202.0","317,030.0","318,306.0","316,441.0","318,899.0","324,979.0","334,335.0","339,111.0","347,433.0"
"29","10","    Durable goods","A380RX1","22,473.0","22,524.0","22,846.0","22,439.0","22,885.0","23,483.0","24,113.0","24,590.0","24,676.0","24,087.0","24,283.0","24,278.0","24,477.0","25,320.0","25,270.0","27,081.0","27,362.0","28,819.0","29,113.0","28,909.0","28,304.0","27,639.0","27,505.0","27,962.0","28,436.0","28,260.0","28,534.0","28,082.0","28,038.0","28,047.0","27,988.0","28,018.0","28,459.0","29,385.0","29,744.0","30,304.0","30,294.0","30,234.0","30,241.0","30,221.0","30,151.0","30,445.0","30,672.0","30,342.0","29,865.0","29,727.0","29,874.0","30,225.0","30,955.0","32,385.0","32,154.0","33,560.0","35,414.0","35,762.0","35,821.0","35,380.0","35,037.0","34,649.0","35,472.0","36,271.0","36,925.0","37,655.0","38,238.0","38,894.0","39,312.0","40,469.0","41,190.0","41,481.0","41,738.0","42,886.0","43,702.0","44,471.0","46,138.0","47,007.0","48,013.0","48,296.0","50,760.0","51,986.0","53,375.0","55,812.0","56,928.0","57,315.0","58,247.0","59,740.0","59,989.0","61,051.0","61,593.0","62,041.0","63,497.0","65,401.0","66,614.0","67,189.0","68,329.0","68,558.0","70,238.0","70,965.0","71,383.0","72,489.0","73,758.0","75,770.0","75,949.0","77,861.0","79,047.0","81,054.0","82,300.0","83,948.0","84,879.0","85,893.0","87,812.0","89,296.0","91,246.0","94,480.0","94,575.0","92,784.0","91,480.0","91,662.0","92,138.0","95,092.0","97,125.0","97,446.0","98,831.0","100,209.0","102,129.0","104,457.0","108,799.0","111,356.0","112,247.0","115,510.0","118,596.0","119,294.0","121,302.0","121,336.0","122,351.0","124,281.0","123,668.0","125,572.0","127,143.0","128,718.0","128,745.0","130,223.0","130,603.0","131,856.0","130,590.0","126,845.0","123,222.0","120,997.0","122,315.0","124,232.0","126,514.0","128,660.0","133,068.0","134,979.0","135,599.0","136,192.0","135,834.0","135,705.0","136,661.0","138,126.0","140,311.0","139,109.0","139,537.0","141,233.0","139,279.0","143,249.0","146,584.0","145,817.0","149,315.0","148,677.0","148,455.0","151,246.0","151,072.0","150,065.0","151,087.0","152,607.0","154,289.0","153,297.0","154,085.0","150,727.0","150,440.0","153,083.0","151,916.0","154,062.0","155,132.0","156,119.0","156,444.0","156,492.0","158,037.0","159,630.0","159,517.0","163,577.0","166,464.0","170,460.0","174,314.0","176,922.0","178,682.0","181,883.0","182,893.0","183,460.0","185,060.0","185,103.0","189,201.0","195,901.0","198,182.0","202,948.0"
"30","11","    Nondurable goods","A381RX1","19,837.0","20,292.0","19,200.0","18,564.0","18,334.0","18,389.0","18,969.0","19,285.0","19,493.0","19,560.0","19,641.0","19,733.0","20,628.0","21,213.0","21,333.0","21,910.0","21,982.0","22,033.0","21,741.0","21,443.0","21,443.0","21,662.0","22,672.0","23,433.0","23,403.0","23,947.0","23,842.0","23,789.0","24,287.0","24,756.0","24,672.0","24,629.0","24,628.0","25,110.0","25,730.0","26,137.0","26,483.0","26,333.0","27,566.0","28,066.0","27,966.0","27,865.0","27,569.0","27,344.0","27,141.0","27,288.0","27,339.0","27,429.0","27,497.0","28,154.0","29,567.0","30,575.0","30,183.0","30,655.0","30,560.0","30,531.0","31,468.0","31,899.0","31,827.0","31,533.0","31,667.0","32,244.0","31,727.0","32,017.0","32,285.0","32,799.0","34,193.0","35,267.0","35,896.0","36,515.0","36,592.0","36,897.0","37,614.0","38,425.0","38,676.0","38,557.0","38,999.0","39,867.0","40,642.0","42,648.0","44,207.0","43,879.0","46,345.0","46,865.0","46,908.0","48,346.0","48,988.0","48,270.0","49,333.0","49,954.0","50,812.0","51,116.0","52,159.0","53,744.0","54,426.0","56,528.0","56,142.0","57,308.0","57,577.0","58,217.0","57,635.0","57,854.0","59,922.0","58,585.0","59,288.0","57,150.0","55,947.0","57,459.0","59,813.0","62,436.0","59,986.0","62,198.0","59,421.0","57,662.0","59,671.0","58,261.0","58,625.0","60,547.0","62,399.0","62,436.0","64,330.0","65,389.0","67,352.0","68,433.0","69,553.0","69,277.0","69,176.0","70,934.0","71,664.0","73,050.0","73,263.0","74,311.0","76,165.0","77,474.0","78,045.0","75,296.0","78,327.0","74,797.0","75,217.0","76,360.0","74,733.0","74,680.0","75,318.0","77,311.0","78,292.0","76,448.0","78,816.0","79,259.0","80,617.0","81,910.0","84,839.0","84,682.0","86,663.0","87,846.0","89,017.0","90,816.0","92,348.0","93,308.0","96,273.0","96,371.0","96,210.0","95,931.0","97,598.0","100,022.0","101,472.0","106,068.0","104,377.0","104,057.0","103,300.0","104,519.0","105,420.0","106,406.0","107,465.0","110,066.0","110,620.0","112,338.0","113,650.0","114,077.0","115,800.0","117,446.0","119,646.0","119,775.0","120,022.0","123,718.0","124,651.0","125,931.0","126,908.0","126,465.0","126,314.0","126,387.0","128,112.0","131,297.0","132,202.0","133,201.0","134,742.0","132,334.0","132,029.0","132,757.0","128,757.0","131,433.0","132,656.0","134,552.0","137,290.0","140,639.0"
"31","12","      Merchant wholesalers","A802RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","39,677.0","40,313.0","41,886.0","43,154.0","45,175.0","46,294.0","46,630.0","46,506.0","46,301.0","46,830.0","46,576.0","47,068.0","47,130.0","47,526.0","48,404.0","48,049.0","48,595.0","48,958.0","50,280.0","52,141.0","53,297.0","54,110.0","55,884.0","56,708.0","57,595.0","60,013.0","61,560.0","62,760.0","62,725.0","65,460.0","67,012.0","68,750.0","72,684.0","74,389.0","73,932.0","77,026.0","78,638.0","78,957.0","80,856.0","81,738.0","81,339.0","83,384.0","85,581.0","87,318.0","88,020.0","90,359.0","91,683.0","94,044.0","96,528.0","96,529.0","98,986.0","100,877.0","103,804.0","103,641.0","105,877.0","108,559.0","109,551.0","111,348.0","110,417.0","110,093.0","112,143.0","116,241.0","120,107.0","119,167.0","123,236.0","119,625.0","116,801.0","117,259.0","116,043.0","116,829.0","120,947.0","123,833.0","124,463.0","127,236.0","129,642.0","134,013.0","137,618.0","144,077.0","147,541.0","148,342.0","152,678.0","157,288.0","158,506.0","160,537.0","161,000.0","162,439.0","164,748.0","167,303.0","168,127.0","170,832.0","169,178.0","169,873.0","172,119.0","170,424.0","173,550.0","172,093.0","170,088.0","168,357.0","164,612.0","167,110.0","169,616.0","173,194.0","175,552.0","182,106.0","184,143.0","186,678.0","188,413.0","190,207.0","191,745.0","194,359.0","196,521.0","201,774.0","200,058.0","200,826.0","203,305.0","202,642.0","208,471.0","213,111.0","216,029.0","218,420.0","216,619.0","215,547.0","218,902.0","218,894.0","219,332.0","220,454.0","223,961.0","226,642.0","227,091.0","229,099.0","226,477.0","227,255.0","231,423.0","232,450.0","234,896.0","235,460.0","240,391.0","241,613.0","242,928.0","245,468.0","246,534.0","245,710.0","250,395.0","254,566.0","260,692.0","264,982.0","267,696.0","270,412.0","271,067.0","271,010.0","272,550.0","270,481.0","273,008.0","278,742.0","287,250.0","291,652.0","298,517.0"
"32","13","        Durable goods","B803RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","22,583.0","23,207.0","24,259.0","24,228.0","25,396.0","26,954.0","26,948.0","26,973.0","26,705.0","26,442.0","26,002.0","26,612.0","27,119.0","27,406.0","27,876.0","28,229.0","28,696.0","28,846.0","29,654.0","30,267.0","30,539.0","30,786.0","31,968.0","32,784.0","33,449.0","35,089.0","35,760.0","36,713.0","36,889.0","39,262.0","40,242.0","41,203.0","43,362.0","43,933.0","43,995.0","44,767.0","46,087.0","46,291.0","47,225.0","47,656.0","48,024.0","49,168.0","50,882.0","51,918.0","52,336.0","53,646.0","53,864.0","55,557.0","56,369.0","56,940.0","58,279.0","59,796.0","61,999.0","62,156.0","64,044.0","65,031.0","66,960.0","68,016.0","69,152.0","69,716.0","70,889.0","72,681.0","74,620.0","76,189.0","78,640.0","78,269.0","76,212.0","74,894.0","75,397.0","75,930.0","78,533.0","80,030.0","79,545.0","81,264.0","82,881.0","85,212.0","87,648.0","91,848.0","94,406.0","95,394.0","98,292.0","100,621.0","101,009.0","103,129.0","103,375.0","104,502.0","106,324.0","106,279.0","108,398.0","109,758.0","111,189.0","110,646.0","111,794.0","112,026.0","113,227.0","111,789.0","108,703.0","105,559.0","103,209.0","104,555.0","106,401.0","108,893.0","110,591.0","114,530.0","116,165.0","116,731.0","117,141.0","117,155.0","117,500.0","118,519.0","120,195.0","122,438.0","121,137.0","121,697.0","123,700.0","121,864.0","125,576.0","128,815.0","128,043.0","131,466.0","130,165.0","129,895.0","132,518.0","131,907.0","131,091.0","131,804.0","132,979.0","134,979.0","134,065.0","135,064.0","132,012.0","131,258.0","134,091.0","133,305.0","135,535.0","136,220.0","137,910.0","138,398.0","138,553.0","140,016.0","141,147.0","140,571.0","144,717.0","147,255.0","150,638.0","154,045.0","156,092.0","157,403.0","159,997.0","160,435.0","161,099.0","162,401.0","162,617.0","166,509.0","172,768.0","174,901.0","178,605.0"
"33","14","        Nondurable goods","B804RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16,718.0","16,722.0","17,224.0","18,521.0","19,353.0","18,885.0","19,228.0","19,083.0","19,149.0","19,935.0","20,122.0","19,999.0","19,557.0","19,662.0","20,061.0","19,366.0","19,442.0","19,651.0","20,154.0","21,373.0","22,237.0","22,792.0","23,370.0","23,371.0","23,587.0","24,340.0","25,201.0","25,437.0","25,226.0","25,565.0","26,121.0","26,879.0","28,614.0","29,740.0","29,222.0","31,541.0","31,805.0","31,918.0","32,876.0","33,325.0","32,523.0","33,409.0","33,836.0","34,519.0","34,797.0","35,809.0","36,952.0","37,573.0","39,271.0","38,659.0","39,761.0","40,080.0","40,725.0","40,379.0","40,650.0","42,375.0","41,333.0","42,085.0","40,084.0","39,300.0","40,162.0","42,303.0","44,133.0","41,914.0","43,492.0","40,423.0","39,665.0","41,343.0","39,706.0","39,952.0","41,428.0","42,778.0","43,877.0","44,905.0","45,675.0","47,696.0","48,825.0","51,024.0","51,887.0","51,668.0","53,061.0","55,331.0","56,158.0","56,028.0","56,234.0","56,530.0","56,992.0","59,552.0","58,275.0","59,578.0","56,529.0","57,750.0","58,822.0","56,828.0","58,761.0","58,777.0","60,029.0","61,660.0","60,286.0","61,437.0","62,051.0","63,088.0","63,708.0","66,300.0","66,631.0","68,760.0","70,199.0","72,196.0","73,512.0","75,228.0","75,592.0","78,896.0","78,564.0","78,745.0","79,063.0","80,681.0","82,738.0","83,989.0","88,391.0","86,832.0","86,381.0","85,483.0","86,063.0","86,818.0","88,349.0","88,746.0","91,314.0","91,899.0","93,550.0","94,602.0","95,412.0","97,253.0","98,495.0","100,661.0","100,687.0","100,480.0","104,042.0","104,838.0","106,168.0","107,258.0","107,062.0","106,838.0","107,023.0","108,647.0","111,467.0","112,134.0","112,699.0","114,168.0","111,790.0","111,200.0","112,113.0","108,275.0","110,827.0","112,583.0","114,613.0","116,985.0","120,230.0"
"34","15","      Nonmerchant wholesalers","A805RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","17,826.0","18,009.0","18,553.0","18,506.0","18,958.0","19,365.0","19,804.0","19,877.0","19,625.0","19,686.0","19,923.0","20,191.0","20,606.0","20,981.0","21,405.0","21,783.0","22,169.0","22,477.0","22,854.0","23,149.0","23,371.0","23,460.0","23,533.0","23,644.0","23,855.0","23,938.0","24,117.0","24,228.0","24,416.0","24,716.0","25,275.0","25,741.0","26,352.0","27,277.0","27,760.0","28,072.0","28,530.0","28,519.0","29,097.0","29,387.0","29,578.0","30,084.0","30,516.0","30,878.0","31,076.0","30,945.0","31,309.0","31,399.0","31,622.0","31,719.0","31,531.0","31,272.0","31,131.0","30,969.0","31,020.0","31,496.0","31,454.0","31,609.0","32,183.0","32,220.0","32,708.0","32,945.0","33,267.0","33,623.0","35,052.0","35,952.0","35,199.0","35,418.0","35,404.0","35,466.0","36,279.0","37,301.0","37,046.0","37,545.0","37,599.0","37,156.0","37,054.0","36,302.0","35,322.0","35,372.0","36,152.0","35,562.0","36,389.0","36,659.0","37,237.0","38,574.0","39,495.0","37,330.0","35,807.0","37,650.0","37,189.0","37,050.0","37,503.0","37,923.0","36,293.0","36,977.0","36,962.0","35,882.0","35,497.0","36,593.0","36,570.0","36,730.0","37,816.0","38,719.0","38,628.0","38,604.0","38,609.0","37,575.0","37,524.0","37,356.0","37,676.0","37,388.0","37,820.0","37,407.0","36,629.0","36,484.0","37,168.0","37,518.0","37,637.0","37,706.0","38,537.0","38,711.0","39,510.0","40,103.0","39,393.0","40,326.0","40,753.0","40,418.0","40,388.0","40,412.0","39,676.0","40,085.0","40,285.0","39,863.0","39,900.0","40,745.0","40,096.0","40,035.0","39,867.0","39,876.0","40,205.0","40,801.0","40,664.0","41,185.0","42,254.0","43,029.0","44,102.0","44,690.0","45,426.0","46,364.0","46,069.0","46,296.0","46,206.0","46,533.0","47,361.0","47,718.0","49,200.0"
"35","16","        Durable goods","B806RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,680.0","6,787.0","7,114.0","6,964.0","7,193.0","7,481.0","7,744.0","7,771.0","7,630.0","7,559.0","7,577.0","7,763.0","8,003.0","8,287.0","8,501.0","8,688.0","8,849.0","9,055.0","9,350.0","9,457.0","9,483.0","9,501.0","9,527.0","9,563.0","9,669.0","9,757.0","9,934.0","10,013.0","10,100.0","10,266.0","10,492.0","10,854.0","11,153.0","11,585.0","11,832.0","11,985.0","12,170.0","12,211.0","12,345.0","12,446.0","12,522.0","12,803.0","13,009.0","13,182.0","13,319.0","13,231.0","13,247.0","13,294.0","13,255.0","13,155.0","13,018.0","12,875.0","12,800.0","12,822.0","12,903.0","13,091.0","13,216.0","13,399.0","13,838.0","14,147.0","14,057.0","14,211.0","13,906.0","14,255.0","14,952.0","15,315.0","15,471.0","15,445.0","15,201.0","15,170.0","15,524.0","15,997.0","16,636.0","16,412.0","16,262.0","15,991.0","15,970.0","16,198.0","16,265.0","16,212.0","16,584.0","17,262.0","17,526.0","17,488.0","17,321.0","17,258.0","17,391.0","16,923.0","16,798.0","17,006.0","17,161.0","17,616.0","17,918.0","18,047.0","18,118.0","18,228.0","17,608.0","17,136.0","17,181.0","17,192.0","17,296.0","17,186.0","17,596.0","18,079.0","18,346.0","18,404.0","18,565.0","18,259.0","17,874.0","17,845.0","17,706.0","17,707.0","17,762.0","17,665.0","17,448.0","17,309.0","17,605.0","17,750.0","17,739.0","17,868.0","18,414.0","18,450.0","18,644.0","19,012.0","18,831.0","19,114.0","19,436.0","19,191.0","19,107.0","18,938.0","18,618.0","19,022.0","18,895.0","18,545.0","18,503.0","18,857.0","18,251.0","18,111.0","18,017.0","18,110.0","18,542.0","18,954.0","18,928.0","19,276.0","19,876.0","20,324.0","20,863.0","21,291.0","21,878.0","22,413.0","22,329.0","22,618.0","22,460.0","22,687.0","23,153.0","23,308.0","24,336.0"
"36","17","        Nondurable goods","B807RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12,737.0","12,808.0","13,001.0","13,177.0","13,406.0","13,477.0","13,634.0","13,687.0","13,581.0","13,775.0","14,060.0","14,113.0","14,274.0","14,309.0","14,524.0","14,720.0","14,970.0","15,042.0","15,060.0","15,276.0","15,528.0","15,618.0","15,672.0","15,761.0","15,868.0","15,832.0","15,779.0","15,797.0","15,903.0","16,028.0","16,402.0","16,420.0","16,739.0","17,255.0","17,487.0","17,648.0","17,955.0","17,864.0","18,434.0","18,659.0","18,792.0","18,983.0","19,212.0","19,403.0","19,422.0","19,403.0","19,916.0","19,954.0","20,372.0","20,726.0","20,726.0","20,633.0","20,577.0","20,283.0","20,192.0","20,522.0","20,202.0","20,074.0","20,068.0","19,553.0","20,409.0","20,468.0","21,419.0","21,312.0","22,065.0","22,670.0","21,395.0","21,732.0","22,120.0","22,263.0","22,765.0","23,350.0","21,915.0","22,971.0","23,297.0","23,161.0","23,061.0","21,652.0","20,216.0","20,373.0","20,796.0","18,949.0","19,661.0","20,102.0","21,065.0","22,667.0","23,521.0","21,639.0","20,082.0","21,829.0","21,158.0","20,502.0","20,633.0","20,956.0","18,901.0","19,570.0","20,405.0","19,747.0","19,190.0","20,563.0","20,374.0","20,752.0","21,520.0","21,941.0","21,399.0","21,273.0","21,015.0","20,136.0","20,702.0","20,511.0","21,241.0","20,786.0","21,321.0","20,897.0","20,175.0","20,227.0","20,661.0","20,894.0","21,092.0","20,945.0","21,116.0","21,299.0","22,077.0","22,247.0","21,572.0","22,372.0","22,393.0","22,357.0","22,452.0","22,771.0","22,312.0","22,171.0","22,668.0","22,699.0","22,825.0","23,374.0","23,530.0","23,690.0","23,623.0","23,476.0","23,165.0","23,259.0","23,114.0","23,224.0","23,652.0","23,941.0","24,481.0","24,551.0","24,551.0","24,922.0","24,669.0","24,503.0","24,638.0","24,706.0","25,044.0","25,266.0","25,568.0"
