"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","      Equals: Net domestic investment","W171RC1","9,646.0","4,476.0","123.0","-4,271.0","-3,737.0","-1,422.0","1,665.0","4,685.0","6,969.0","2,037.0","4,573.0","8,335.0","17,860.0","25,301.0","28,701.0","24,902.0","13,847.0","11,543.0","12,908.0","26,655.0","17,382.0","33,920.0","43,993.0","40,049.0","41,791.0","35,735.0","47,226.0","47,831.0","43,991.0","37,715.0","52,422.0","50,574.0","51,307.0","60,864.0","64,064.0","70,317.0","83,077.0","94,638.0","88,641.0","94,398.0","100,521.0","87,642.0","102,154.0","123,098.0","150,553.0","141,989.0","102,941.0","150,185.0","197,067.0","253,606.0","282,449.0","235,420.0","285,924.0","196,004.0","236,046.0","400,628.0","389,540.0","381,270.0","398,137.0","396,706.0","421,165.0","385,515.0","298,831.0","343,540.0","394,760.0","499,037.0","507,182.0","571,900.0","677,215.0","753,090.0","834,478.0","892,212.0","727,742.0","685,449.0","731,429.0","908,155.0","1,022,868.0","1,091,552.0","990,011.0","785,298.0"
"22","4","Gross private domestic investment","A006RC1","16,481.0","10,759.0","5,932.0","1,268.0","1,742.0","3,691.0","6,701.0","8,640.0","12,153.0","7,078.0","9,342.0","13,642.0","18,115.0","10,436.0","6,125.0","7,798.0","10,841.0","31,148.0","34,960.0","48,102.0","36,866.0","54,063.0","60,161.0","54,024.0","56,437.0","53,819.0","69,036.0","72,026.0","70,458.0","64,487.0","78,533.0","78,891.0","78,160.0","88,132.0","93,756.0","102,057.0","118,241.0","131,305.0","128,599.0","141,179.0","156,444.0","152,378.0","178,168.0","207,608.0","244,489.0","249,418.0","230,219.0","291,960.0","361,340.0","437,953.0","492,875.0","479,252.0","572,381.0","517,232.0","564,300.0","735,623.0","736,181.0","746,519.0","784,951.0","821,571.0","874,948.0","860,968.0","802,891.0","864,786.0","953,345.0","1,097,288.0","1,144,044.0","1,240,191.0","1,388,657.0","1,510,784.0","1,641,508.0","1,772,210.0","1,661,928.0","1,646,957.0","1,729,694.0","1,968,550.0","2,172,228.0","2,327,174.0","2,288,473.0","2,136,053.0"
"23","5","Less: Consumption of fixed capital","A024RC1","8,709.0","8,501.0","7,886.0","6,869.0","6,498.0","6,697.0","6,713.0","6,855.0","7,654.0","7,843.0","7,821.0","8,147.0","9,020.0","10,146.0","10,261.0","10,656.0","11,042.0","12,314.0","16,058.0","18,854.0","20,499.0","22,027.0","25,162.0","26,740.0","28,205.0","29,470.0","31,057.0","34,341.0","37,249.0","39,388.0","40,960.0","41,583.0","42,631.0","44,079.0","45,878.0","48,297.0","51,860.0","56,481.0","61,559.0","67,422.0","74,490.0","81,702.0","89,528.0","97,713.0","109,459.0","127,835.0","150,449.0","165,544.0","186,148.0","211,962.0","244,462.0","282,290.0","323,249.0","356,438.0","369,519.0","387,466.0","412,774.0","439,063.0","464,485.0","497,114.0","529,604.0","560,416.0","585,433.0","599,900.0","626,383.0","660,953.0","704,619.0","743,352.0","789,710.0","841,567.0","907,237.0","986,828.0","1,051,593.0","1,094,033.0","1,135,933.0","1,200,874.0","1,290,810.0","1,391,388.0","1,469,573.0","1,536,165.0"
"24","6","Equals: Net private domestic investment","A557RC1","7,772.0","2,258.0","-1,954.0","-5,601.0","-4,756.0","-3,006.0","-12.0","1,785.0","4,499.0","-765.0","1,521.0","5,495.0","9,095.0","290.0","-4,136.0","-2,858.0","-201.0","18,834.0","18,902.0","29,248.0","16,367.0","32,036.0","34,999.0","27,284.0","28,232.0","24,349.0","37,979.0","37,685.0","33,209.0","25,099.0","37,573.0","37,308.0","35,529.0","44,053.0","47,878.0","53,760.0","66,381.0","74,824.0","67,040.0","73,757.0","81,954.0","70,676.0","88,640.0","109,895.0","135,030.0","121,583.0","79,770.0","126,416.0","175,192.0","225,991.0","248,413.0","196,962.0","249,132.0","160,794.0","194,781.0","348,157.0","323,407.0","307,456.0","320,466.0","324,457.0","345,344.0","300,552.0","217,458.0","264,886.0","326,962.0","436,335.0","439,425.0","496,839.0","598,947.0","669,217.0","734,271.0","785,382.0","610,335.0","552,924.0","593,761.0","767,676.0","881,418.0","935,786.0","818,900.0","599,888.0"
"25","7","  Fixed investment","A007RC1","14,941.0","10,982.0","7,044.0","3,619.0","3,145.0","4,271.0","5,561.0","7,479.0","9,528.0","7,653.0","9,135.0","11,249.0","13,785.0","8,530.0","6,871.0","8,722.0","12,317.0","25,137.0","35,510.0","42,444.0","39,558.0","48,293.0","50,252.0","50,510.0","54,489.0","55,756.0","64,048.0","68,076.0","69,681.0","64,853.0","74,616.0","75,659.0","75,186.0","82,031.0","88,135.0","97,236.0","108,994.0","117,669.0","118,733.0","132,126.0","147,271.0","150,377.0","169,912.0","198,501.0","228,611.0","235,428.0","236,475.0","274,844.0","339,016.0","412,162.0","474,891.0","485,583.0","542,572.0","532,146.0","570,051.0","670,218.0","714,357.0","739,948.0","757,802.0","803,089.0","847,255.0","846,421.0","803,285.0","848,458.0","932,531.0","1,033,504.0","1,112,887.0","1,209,424.0","1,317,658.0","1,447,065.0","1,580,692.0","1,717,666.0","1,700,211.0","1,634,930.0","1,713,319.0","1,903,640.0","2,122,275.0","2,267,219.0","2,269,118.0","2,170,805.0"
"26","8","  Less: Consumption of fixed capital","A024RC1","8,709.0","8,501.0","7,886.0","6,869.0","6,498.0","6,697.0","6,713.0","6,855.0","7,654.0","7,843.0","7,821.0","8,147.0","9,020.0","10,146.0","10,261.0","10,656.0","11,042.0","12,314.0","16,058.0","18,854.0","20,499.0","22,027.0","25,162.0","26,740.0","28,205.0","29,470.0","31,057.0","34,341.0","37,249.0","39,388.0","40,960.0","41,583.0","42,631.0","44,079.0","45,878.0","48,297.0","51,860.0","56,481.0","61,559.0","67,422.0","74,490.0","81,702.0","89,528.0","97,713.0","109,459.0","127,835.0","150,449.0","165,544.0","186,148.0","211,962.0","244,462.0","282,290.0","323,249.0","356,438.0","369,519.0","387,466.0","412,774.0","439,063.0","464,485.0","497,114.0","529,604.0","560,416.0","585,433.0","599,900.0","626,383.0","660,953.0","704,619.0","743,352.0","789,710.0","841,567.0","907,237.0","986,828.0","1,051,593.0","1,094,033.0","1,135,933.0","1,200,874.0","1,290,810.0","1,391,388.0","1,469,573.0","1,536,165.0"
"27","9","  Equals: Net fixed investment","A560RC1","6,232.0","2,481.0","-842.0","-3,250.0","-3,353.0","-2,426.0","-1,152.0","624.0","1,874.0","-190.0","1,314.0","3,102.0","4,765.0","-1,616.0","-3,390.0","-1,934.0","1,275.0","12,823.0","19,452.0","23,590.0","19,059.0","26,266.0","25,090.0","23,770.0","26,284.0","26,286.0","32,991.0","33,735.0","32,432.0","25,465.0","33,656.0","34,076.0","32,555.0","37,952.0","42,257.0","48,939.0","57,134.0","61,188.0","57,174.0","64,704.0","72,781.0","68,675.0","80,384.0","100,788.0","119,152.0","107,593.0","86,026.0","109,300.0","152,868.0","200,200.0","230,429.0","203,293.0","219,323.0","175,708.0","200,532.0","282,752.0","301,583.0","300,885.0","293,317.0","305,975.0","317,651.0","286,005.0","217,852.0","248,558.0","306,148.0","372,551.0","408,268.0","466,072.0","527,948.0","605,498.0","673,455.0","730,838.0","648,618.0","540,897.0","577,386.0","702,766.0","831,465.0","875,831.0","799,545.0","634,640.0"
"28","10","    Nonresidential","A008RC1","10,983.0","8,628.0","5,262.0","2,852.0","2,527.0","3,332.0","4,266.0","5,759.0","7,476.0","5,525.0","6,100.0","7,724.0","9,693.0","6,306.0","5,441.0","7,371.0","10,621.0","17,326.0","23,453.0","26,806.0","24,910.0","27,756.0","31,828.0","31,918.0","35,101.0","34,677.0","39,045.0","44,523.0","47,511.0","42,506.0","46,508.0","49,374.0","48,786.0","53,055.0","55,999.0","62,962.0","74,777.0","85,383.0","86,376.0","93,407.0","104,651.0","109,012.0","114,148.0","128,836.0","153,265.0","169,465.0","173,745.0","192,361.0","228,719.0","280,563.0","333,898.0","362,392.0","420,011.0","426,466.0","417,198.0","489,633.0","526,185.0","519,834.0","524,116.0","563,783.0","607,745.0","622,440.0","598,174.0","612,126.0","666,567.0","731,411.0","810,033.0","875,366.0","968,607.0","1,061,137.0","1,154,903.0","1,268,688.0","1,227,813.0","1,125,435.0","1,135,678.0","1,223,034.0","1,347,325.0","1,505,330.0","1,640,153.0","1,693,620.0"
"29","11","    Less: Consumption of fixed capital","A753RC1","7,154.0","6,950.0","6,470.0","5,725.0","5,371.0","5,451.0","5,478.0","5,558.0","6,203.0","6,334.0","6,283.0","6,530.0","7,222.0","8,196.0","8,167.0","8,391.0","8,630.0","9,636.0","12,690.0","15,002.0","16,404.0","17,609.0","20,181.0","21,408.0","22,610.0","23,625.0","24,825.0","27,652.0","30,263.0","32,153.0","33,400.0","33,631.0","34,352.0","35,463.0","36,955.0","38,897.0","41,786.0","45,640.0","49,948.0","54,753.0","60,441.0","66,624.0","72,926.0","79,288.0","88,488.0","103,734.0","123,326.0","135,905.0","152,566.0","172,989.0","199,592.0","230,976.0","266,381.0","295,600.0","306,271.0","320,743.0","342,597.0","364,053.0","384,199.0","411,458.0","438,729.0","465,029.0","486,773.0","498,140.0","518,933.0","547,329.0","583,757.0","616,566.0","655,896.0","700,316.0","756,344.0","825,023.0","878,353.0","911,709.0","939,836.0","983,584.0","1,051,128.0","1,129,288.0","1,196,462.0","1,264,478.0"
"30","12","    Equals: Net nonresidential","A593RC1","3,829.0","1,678.0","-1,208.0","-2,873.0","-2,844.0","-2,119.0","-1,212.0","201.0","1,273.0","-809.0","-183.0","1,194.0","2,471.0","-1,890.0","-2,726.0","-1,020.0","1,991.0","7,690.0","10,763.0","11,804.0","8,506.0","10,147.0","11,647.0","10,510.0","12,491.0","11,052.0","14,220.0","16,871.0","17,248.0","10,353.0","13,108.0","15,743.0","14,434.0","17,592.0","19,044.0","24,065.0","32,991.0","39,743.0","36,428.0","38,654.0","44,210.0","42,388.0","41,222.0","49,548.0","64,777.0","65,731.0","50,419.0","56,456.0","76,153.0","107,574.0","134,306.0","131,416.0","153,630.0","130,866.0","110,927.0","168,890.0","183,588.0","155,781.0","139,917.0","152,325.0","169,016.0","157,411.0","111,401.0","113,986.0","147,634.0","184,082.0","226,276.0","258,800.0","312,711.0","360,821.0","398,559.0","443,665.0","349,460.0","213,726.0","195,842.0","239,450.0","296,197.0","376,042.0","443,691.0","429,142.0"
"31","13","      Structures","B009RC1","5,491.0","4,448.0","2,619.0","1,392.0","1,091.0","1,234.0","1,433.0","1,878.0","2,706.0","2,124.0","2,217.0","2,557.0","3,250.0","2,241.0","1,770.0","2,369.0","3,336.0","7,381.0","8,137.0","9,526.0","9,178.0","9,957.0","11,954.0","12,224.0","13,570.0","13,865.0","15,157.0","18,180.0","18,950.0","17,629.0","18,149.0","19,568.0","19,715.0","20,778.0","21,199.0","23,737.0","28,321.0","31,349.0","31,511.0","33,557.0","37,698.0","40,287.0","42,679.0","47,173.0","54,983.0","61,237.0","61,350.0","65,915.0","74,578.0","93,584.0","117,701.0","136,170.0","167,314.0","177,564.0","154,344.0","177,397.0","194,517.0","176,527.0","174,202.0","182,789.0","193,716.0","202,917.0","183,605.0","172,572.0","177,152.0","186,769.0","207,270.0","224,583.0","250,265.0","275,130.0","283,945.0","318,145.0","329,706.0","282,752.0","281,866.0","306,651.0","351,754.0","433,671.0","535,350.0","609,506.0"
"32","14","      Less: Consumption of fixed capital","B188RC1","2,550.0","2,459.0","2,308.0","2,022.0","2,006.0","2,049.0","2,093.0","2,124.0","2,391.0","2,371.0","2,345.0","2,389.0","2,592.0","2,892.0","3,084.0","3,132.0","3,259.0","3,660.0","4,519.0","5,167.0","5,251.0","5,400.0","6,183.0","6,552.0","6,865.0","7,007.0","7,355.0","8,263.0","8,941.0","9,086.0","9,413.0","9,664.0","9,854.0","10,204.0","10,526.0","10,959.0","11,640.0","12,526.0","13,379.0","14,512.0","15,961.0","17,531.0","19,391.0","21,380.0","24,572.0","29,121.0","33,690.0","36,163.0","40,434.0","45,756.0","52,893.0","59,916.0","71,666.0","81,155.0","81,063.0","83,844.0","88,562.0","91,829.0","93,152.0","99,764.0","105,673.0","111,268.0","115,611.0","116,089.0","120,074.0","124,896.0","131,472.0","136,500.0","144,646.0","154,744.0","161,420.0","170,857.0","184,795.0","196,755.0","205,541.0","220,443.0","248,900.0","282,755.0","301,743.0","324,779.0"
"33","15","      Equals: Net structures","A594RC1","2,941.0","1,989.0","311.0","-630.0","-915.0","-815.0","-660.0","-246.0","315.0","-247.0","-128.0","168.0","658.0","-651.0","-1,314.0","-763.0","77.0","3,721.0","3,618.0","4,359.0","3,927.0","4,557.0","5,771.0","5,672.0","6,705.0","6,858.0","7,802.0","9,917.0","10,009.0","8,543.0","8,736.0","9,904.0","9,861.0","10,574.0","10,673.0","12,778.0","16,681.0","18,823.0","18,132.0","19,045.0","21,737.0","22,756.0","23,288.0","25,793.0","30,411.0","32,116.0","27,660.0","29,752.0","34,144.0","47,828.0","64,808.0","76,254.0","95,648.0","96,409.0","73,281.0","93,553.0","105,955.0","84,698.0","81,050.0","83,025.0","88,043.0","91,649.0","67,994.0","56,483.0","57,078.0","61,873.0","75,798.0","88,083.0","105,619.0","120,386.0","122,525.0","147,288.0","144,911.0","85,997.0","76,325.0","86,208.0","102,854.0","150,916.0","233,607.0","284,727.0"
"34","16","      Equipment and software","B010RC1","5,492.0","4,180.0","2,643.0","1,460.0","1,436.0","2,098.0","2,833.0","3,881.0","4,770.0","3,401.0","3,883.0","5,167.0","6,443.0","4,065.0","3,671.0","5,002.0","7,285.0","9,945.0","15,316.0","17,280.0","15,732.0","17,799.0","19,874.0","19,694.0","21,531.0","20,812.0","23,888.0","26,343.0","28,561.0","24,877.0","28,359.0","29,806.0","29,071.0","32,277.0","34,800.0","39,225.0","46,456.0","54,034.0","54,865.0","59,850.0","66,953.0","68,725.0","71,469.0","81,663.0","98,282.0","108,228.0","112,395.0","126,446.0","154,141.0","186,979.0","216,197.0","226,222.0","252,697.0","248,902.0","262,854.0","312,236.0","331,668.0","343,307.0","349,914.0","380,994.0","414,029.0","419,523.0","414,569.0","439,554.0","489,415.0","544,642.0","602,763.0","650,783.0","718,342.0","786,007.0","870,958.0","950,543.0","898,107.0","842,683.0","853,812.0","916,383.0","995,571.0","1,071,659.0","1,104,803.0","1,084,114.0"
