"","Table 5#7#5B# Private Inventories and Domestic Final Sales by In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Private inventories \1\","A371RC1",".....",".....",".....","1,284,668.0","1,292,573.0","1,304,054.0","1,314,384.0","1,327,330.0","1,337,534.0","1,335,792.0","1,333,618.0","1,341,603.0","1,359,527.0","1,373,502.0","1,396,587.0","1,432,668.0","1,456,062.0","1,479,771.0","1,496,161.0","1,523,962.0","1,522,312.0","1,509,879.0","1,485,628.0","1,447,281.0","1,446,539.0","1,452,951.0","1,469,414.0","1,489,140.0","1,512,010.0","1,505,494.0","1,520,900.0","1,545,706.0","1,581,989.0","1,623,193.0","1,650,062.0","1,681,526.0","1,723,825.0","1,724,364.0","1,759,794.0","1,804,599.0","1,820,181.0","1,861,748.0","1,896,887.0","1,917,107.0","1,951,847.0","1,972,640.0","2,003,901.0","2,070,550.0","2,124,949.0","2,199,744.0","2,177,763.0","2,015,851.0","1,948,068.0","1,912,227.0","1,892,274.0","1,923,259.0","1,960,954.0"
"21","2","Farm","B372RC1",".....",".....",".....","136,553.0","137,939.0","137,747.0","138,245.0","136,896.0","134,143.0","127,985.0","121,792.0","120,512.0","123,021.0","122,528.0","121,431.0","124,306.0","126,273.0","125,107.0","121,826.0","132,119.0","136,244.0","134,780.0","130,649.0","126,172.0","129,033.0","126,051.0","128,833.0","135,918.0","136,444.0","137,209.0","150,346.0","151,049.0","156,301.0","164,496.0","157,310.0","157,188.0","159,279.0","155,623.0","160,211.0","165,163.0","158,425.0","157,573.0","165,280.0","165,061.0","177,377.0","175,142.0","183,275.0","188,380.0","195,835.0","209,971.0","200,850.0","178,401.0","171,926.0","171,643.0","168,603.0","171,787.0","178,713.0"
"22","3","Mining, utilities, and construction","N238RC1",".....",".....",".....","31,122.0","31,898.0","31,326.0","32,317.0","33,002.0","32,872.0","34,459.0","35,011.0","36,615.0","36,378.0","37,761.0","38,680.0","38,451.0","38,977.0","39,865.0","41,442.0","42,250.0","47,106.0","46,222.0","44,431.0","45,343.0","45,711.0","46,757.0","45,488.0","46,484.0","51,854.0","52,005.0","52,820.0","54,725.0","56,690.0","58,889.0","60,998.0","64,120.0","65,378.0","69,082.0","72,790.0","81,660.0","79,200.0","81,518.0","86,342.0","90,709.0","94,526.0","98,121.0","94,394.0","95,292.0","102,948.0","114,502.0","114,570.0","100,056.0","96,378.0","96,773.0","97,725.0","98,168.0","99,712.0"
"23","4","Manufacturing","N376RC1",".....",".....",".....","421,010.0","421,026.0","424,090.0","426,783.0","431,988.0","434,188.0","435,765.0","434,386.0","432,256.0","434,040.0","437,072.0","446,037.0","457,608.0","464,381.0","468,733.0","473,646.0","476,493.0","474,370.0","466,154.0","454,622.0","440,914.0","435,454.0","435,586.0","439,825.0","443,718.0","449,027.0","445,071.0","440,349.0","447,576.0","455,462.0","466,966.0","479,853.0","487,214.0","504,133.0","503,405.0","518,241.0","531,481.0","543,427.0","561,527.0","571,389.0","575,681.0","581,894.0","590,724.0","598,971.0","625,305.0","646,125.0","673,314.0","655,287.0","592,844.0","575,754.0","567,378.0","564,261.0","571,749.0","586,372.0"
"24","5","  Durable goods industries","N377RC1",".....",".....",".....","260,713.0","261,387.0","262,873.0","264,496.0","267,569.0","271,401.0","273,963.0","274,026.0","273,331.0","274,575.0","274,370.0","279,092.0","284,893.0","288,274.0","289,589.0","292,515.0","293,472.0","291,363.0","285,937.0","279,033.0","270,691.0","266,747.0","265,272.0","263,516.0","265,273.0","265,744.0","263,337.0","258,612.0","261,864.0","266,889.0","273,832.0","281,376.0","285,280.0","294,459.0","293,578.0","300,810.0","308,201.0","316,773.0","327,688.0","335,244.0","338,911.0","341,096.0","342,002.0","338,229.0","343,613.0","353,947.0","368,955.0","372,466.0","357,176.0","346,319.0","336,728.0","331,602.0","327,405.0","335,172.0"
"25","6","  Nondurable goods industries","N378RC1",".....",".....",".....","160,297.0","159,639.0","161,217.0","162,287.0","164,419.0","162,787.0","161,802.0","160,360.0","158,925.0","159,465.0","162,702.0","166,945.0","172,715.0","176,107.0","179,144.0","181,131.0","183,021.0","183,007.0","180,217.0","175,589.0","170,223.0","168,707.0","170,314.0","176,309.0","178,445.0","183,283.0","181,734.0","181,737.0","185,712.0","188,573.0","193,134.0","198,477.0","201,934.0","209,674.0","209,827.0","217,431.0","223,280.0","226,654.0","233,839.0","236,145.0","236,770.0","240,798.0","248,722.0","260,742.0","281,692.0","292,178.0","304,359.0","282,821.0","235,668.0","229,435.0","230,650.0","232,659.0","244,344.0","251,200.0"
"26","7","Wholesale trade","N379RC1",".....",".....",".....","285,111.0","288,840.0","294,171.0","296,955.0","302,516.0","306,553.0","306,521.0","308,977.0","311,964.0","316,004.0","318,670.0","326,127.0","334,773.0","342,126.0","348,246.0","351,221.0","357,684.0","353,966.0","351,108.0","343,560.0","335,819.0","334,854.0","337,450.0","343,789.0","343,217.0","345,495.0","341,348.0","343,316.0","352,551.0","361,994.0","369,263.0","379,626.0","388,907.0","402,728.0","405,327.0","413,614.0","422,818.0","430,321.0","444,257.0","449,953.0","456,355.0","463,748.0","468,167.0","477,287.0","499,850.0","514,195.0","531,005.0","528,164.0","482,703.0","464,269.0","449,573.0","436,607.0","445,190.0","450,946.0"
"27","8","  Durable goods industries","N380RC1",".....",".....",".....","178,085.0","180,788.0","185,849.0","186,561.0","189,692.0","193,757.0","193,697.0","196,823.0","198,364.0","201,112.0","203,364.0","205,891.0","211,360.0","214,139.0","219,243.0","220,611.0","222,576.0","219,052.0","213,415.0","207,113.0","201,348.0","199,514.0","200,678.0","203,240.0","201,962.0","203,066.0","202,185.0","200,921.0","205,178.0","212,108.0","218,441.0","228,030.0","233,289.0","240,156.0","241,893.0","243,272.0","250,062.0","254,178.0","262,389.0","268,151.0","268,961.0","274,312.0","273,372.0","272,354.0","277,355.0","285,800.0","293,157.0","299,398.0","288,404.0","271,370.0","256,729.0","248,003.0","244,425.0","249,118.0"
"28","9","  Nondurable goods industries","N381RC1",".....",".....",".....","107,026.0","108,052.0","108,322.0","110,394.0","112,824.0","112,796.0","112,824.0","112,154.0","113,600.0","114,892.0","115,306.0","120,236.0","123,413.0","127,987.0","129,003.0","130,610.0","135,108.0","134,914.0","137,693.0","136,447.0","134,471.0","135,340.0","136,772.0","140,549.0","141,255.0","142,429.0","139,163.0","142,395.0","147,373.0","149,886.0","150,822.0","151,596.0","155,618.0","162,572.0","163,434.0","170,342.0","172,756.0","176,143.0","181,868.0","181,802.0","187,394.0","189,436.0","194,795.0","204,933.0","222,495.0","228,395.0","237,848.0","228,766.0","194,299.0","192,899.0","192,844.0","188,604.0","200,765.0","201,828.0"
"29","10","Retail trade","N382RC1",".....",".....",".....","328,746.0","329,014.0","332,025.0","334,476.0","335,864.0","342,497.0","342,827.0","343,996.0","349,151.0","357,619.0","362,356.0","366,692.0","377,742.0","380,801.0","390,615.0","395,710.0","400,836.0","395,155.0","396,201.0","397,999.0","386,024.0","390,025.0","395,375.0","400,004.0","407,981.0","416,161.0","416,444.0","420,256.0","425,512.0","435,592.0","445,494.0","451,779.0","460,862.0","467,232.0","464,513.0","466,903.0","473,662.0","477,972.0","482,991.0","487,767.0","491,624.0","494,098.0","497,993.0","506,134.0","513,571.0","514,260.0","516,387.0","520,716.0","506,383.0","489,748.0","478,545.0","477,134.0","487,350.0","493,981.0"
"30","11","  Motor vehicle and parts dealers","N864RC1",".....",".....",".....","101,866.0","101,561.0","102,364.0","103,023.0","104,269.0","106,964.0","105,520.0","104,623.0","106,979.0","112,503.0","113,013.0","114,383.0","120,180.0","120,370.0","127,000.0","131,030.0","133,516.0","126,818.0","128,710.0","130,842.0","122,881.0","127,040.0","131,191.0","131,595.0","137,880.0","142,847.0","144,658.0","144,505.0","146,707.0","150,766.0","154,469.0","156,568.0","158,144.0","159,166.0","154,799.0","153,487.0","155,899.0","156,698.0","156,939.0","156,885.0","155,732.0","153,220.0","154,473.0","160,996.0","160,401.0","161,465.0","159,930.0","161,516.0","159,234.0","148,125.0","140,933.0","143,691.0","151,054.0","157,054.0"
"31","12","  Food and beverage stores","N239RC1",".....",".....",".....","27,523.0","27,676.0","27,627.0","28,067.0","27,832.0","28,120.0","28,600.0","28,712.0","29,227.0","29,611.0","30,106.0","30,865.0","30,924.0","31,015.0","30,762.0","30,880.0","30,999.0","31,717.0","31,908.0","32,103.0","32,103.0","32,328.0","31,660.0","32,143.0","32,103.0","32,270.0","31,814.0","32,907.0","33,007.0","33,167.0","33,836.0","34,102.0","34,376.0","34,729.0","34,613.0","34,250.0","35,200.0","34,981.0","35,426.0","36,532.0","36,851.0","37,895.0","37,911.0","39,053.0","40,716.0","41,480.0","42,607.0","43,152.0","42,443.0","42,308.0","42,171.0","42,264.0","42,889.0","44,072.0"
"32","13","  General merchandise stores","N240RC1",".....",".....",".....","57,980.0","57,874.0","58,684.0","58,429.0","58,252.0","58,528.0","58,686.0","59,451.0","59,404.0","60,106.0","60,726.0","61,443.0","62,433.0","62,659.0","63,352.0","63,146.0","63,730.0","65,353.0","65,635.0","65,615.0","64,166.0","63,454.0","63,259.0","64,257.0","65,488.0","65,724.0","66,118.0","66,869.0","67,323.0","69,095.0","70,288.0","70,525.0","72,692.0","74,491.0","74,521.0","75,290.0","75,752.0","75,343.0","75,242.0","77,233.0","78,728.0","79,651.0","80,080.0","79,971.0","80,885.0","80,326.0","81,072.0","81,576.0","80,406.0","79,212.0","78,635.0","77,428.0","77,985.0","76,688.0"
"33","14","  Other retail stores","N865RC1",".....",".....",".....","141,377.0","141,903.0","143,350.0","144,957.0","145,511.0","148,885.0","150,021.0","151,210.0","153,541.0","155,399.0","158,511.0","160,001.0","164,205.0","166,757.0","169,501.0","170,654.0","172,591.0","171,267.0","169,948.0","169,439.0","166,874.0","167,203.0","169,265.0","172,009.0","172,510.0","175,320.0","173,854.0","175,975.0","178,475.0","182,564.0","186,901.0","190,584.0","195,650.0","198,846.0","200,580.0","203,876.0","206,811.0","210,950.0","215,384.0","217,117.0","220,313.0","223,332.0","225,529.0","226,114.0","231,569.0","230,989.0","232,778.0","234,472.0","224,300.0","220,103.0","216,806.0","213,751.0","215,422.0","216,167.0"
"34","15","Other industries","N385RC1",".....",".....",".....","82,126.0","83,856.0","84,695.0","85,608.0","87,064.0","87,281.0","88,235.0","89,456.0","91,105.0","92,465.0","95,115.0","97,620.0","99,788.0","103,504.0","107,205.0","112,316.0","114,580.0","115,471.0","115,414.0","114,367.0","113,009.0","111,462.0","111,732.0","111,475.0","111,822.0","113,029.0","113,417.0","113,813.0","114,293.0","115,950.0","118,085.0","120,496.0","123,235.0","125,075.0","126,414.0","128,035.0","129,815.0","130,836.0","133,882.0","136,156.0","137,677.0","140,204.0","142,493.0","143,840.0","148,152.0","151,586.0","154,565.0","158,176.0","155,464.0","149,993.0","148,315.0","147,944.0","149,015.0","151,230.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","16","  Private inventories","A371RC1",".....",".....",".....","1,284,668.0","1,292,573.0","1,304,054.0","1,314,384.0","1,327,330.0","1,337,534.0","1,335,792.0","1,333,618.0","1,341,603.0","1,359,527.0","1,373,502.0","1,396,587.0","1,432,668.0","1,456,062.0","1,479,771.0","1,496,161.0","1,523,962.0","1,522,312.0","1,509,879.0","1,485,628.0","1,447,281.0","1,446,539.0","1,452,951.0","1,469,414.0","1,489,140.0","1,512,010.0","1,505,494.0","1,520,900.0","1,545,706.0","1,581,989.0","1,623,193.0","1,650,062.0","1,681,526.0","1,723,825.0","1,724,364.0","1,759,794.0","1,804,599.0","1,820,181.0","1,861,748.0","1,896,887.0","1,917,107.0","1,951,847.0","1,972,640.0","2,003,901.0","2,070,550.0","2,124,949.0","2,199,744.0","2,177,763.0","2,015,851.0","1,948,068.0","1,912,227.0","1,892,274.0","1,923,259.0","1,960,954.0"
"37","17","    Durable goods industries","N241RC1",".....",".....",".....","603,417.0","606,858.0","614,282.0","617,327.0","624,670.0","635,638.0","636,952.0","639,403.0","643,038.0","653,588.0","657,035.0","666,332.0","684,937.0","692,882.0","706,513.0","715,272.0","721,245.0","708,930.0","699,449.0","688,228.0","666,042.0","666,062.0","670,527.0","672,831.0","681,004.0","688,601.0","687,952.0","683,343.0","694,532.0","713,472.0","734,675.0","756,132.0","770,015.0","789,925.0","788,218.0","796,556.0","817,564.0","833,760.0","854,636.0","870,719.0","874,440.0","882,200.0","885,210.0","885,349.0","896,611.0","915,766.0","937,509.0","951,329.0","916,725.0","874,637.0","840,307.0","828,562.0","827,214.0","845,866.0"
"38","18","    Nondurable goods industries","N242RC1",".....",".....",".....","681,251.0","685,715.0","689,772.0","697,057.0","702,660.0","701,896.0","698,840.0","694,215.0","698,565.0","705,939.0","716,467.0","730,255.0","747,731.0","763,180.0","773,258.0","780,889.0","802,717.0","813,382.0","810,430.0","797,400.0","781,239.0","780,477.0","782,424.0","796,583.0","808,136.0","823,409.0","817,542.0","837,557.0","851,174.0","868,517.0","888,518.0","893,930.0","911,511.0","933,900.0","936,146.0","963,238.0","987,035.0","986,421.0","1,007,112.0","1,026,168.0","1,042,667.0","1,069,647.0","1,087,430.0","1,118,552.0","1,173,939.0","1,209,183.0","1,262,235.0","1,226,434.0","1,099,126.0","1,073,431.0","1,071,920.0","1,063,712.0","1,096,045.0","1,115,088.0"
"39","19","  Nonfarm industries","A373RC1",".....",".....",".....","1,148,115.0","1,154,634.0","1,166,307.0","1,176,139.0","1,190,434.0","1,203,391.0","1,207,807.0","1,211,826.0","1,221,091.0","1,236,506.0","1,250,974.0","1,275,156.0","1,308,362.0","1,329,789.0","1,354,664.0","1,374,335.0","1,391,843.0","1,386,068.0","1,375,099.0","1,354,979.0","1,321,109.0","1,317,506.0","1,326,900.0","1,340,581.0","1,353,222.0","1,375,566.0","1,368,285.0","1,370,554.0","1,394,657.0","1,425,688.0","1,458,697.0","1,492,752.0","1,524,338.0","1,564,546.0","1,568,741.0","1,599,583.0","1,639,436.0","1,661,756.0","1,704,175.0","1,731,607.0","1,752,046.0","1,774,470.0","1,797,498.0","1,820,626.0","1,882,170.0","1,929,114.0","1,989,773.0","1,976,913.0","1,837,450.0","1,776,142.0","1,740,584.0","1,723,671.0","1,751,472.0","1,782,241.0"
"40","20","  Wholesale trade","N379RC1",".....",".....",".....","285,111.0","288,840.0","294,171.0","296,955.0","302,516.0","306,553.0","306,521.0","308,977.0","311,964.0","316,004.0","318,670.0","326,127.0","334,773.0","342,126.0","348,246.0","351,221.0","357,684.0","353,966.0","351,108.0","343,560.0","335,819.0","334,854.0","337,450.0","343,789.0","343,217.0","345,495.0","341,348.0","343,316.0","352,551.0","361,994.0","369,263.0","379,626.0","388,907.0","402,728.0","405,327.0","413,614.0","422,818.0","430,321.0","444,257.0","449,953.0","456,355.0","463,748.0","468,167.0","477,287.0","499,850.0","514,195.0","531,005.0","528,164.0","482,703.0","464,269.0","449,573.0","436,607.0","445,190.0","450,946.0"
"41","21","    Merchant wholesale trade","N802RC1",".....",".....",".....","242,395.0","246,541.0","251,990.0","254,611.0","259,338.0","263,579.0","264,077.0","266,746.0","269,436.0","273,107.0","274,335.0","280,262.0","287,571.0","293,244.0","297,924.0","299,548.0","305,173.0","302,978.0","301,353.0","296,541.0","291,053.0","290,521.0","292,241.0","297,820.0","297,150.0","298,674.0","296,015.0","297,664.0","305,393.0","313,716.0","319,418.0","327,432.0","335,900.0","346,403.0","349,024.0","354,667.0","361,950.0","368,565.0","381,677.0","387,745.0","395,516.0","401,711.0","405,448.0","414,022.0","433,553.0","445,573.0","460,193.0","461,955.0","428,595.0","413,804.0","400,515.0","388,234.0","395,674.0","399,035.0"
"42","22","      Durable goods industries","N803RC1",".....",".....",".....","152,925.0","155,642.0","160,508.0","161,341.0","163,670.0","167,317.0","167,651.0","170,577.0","171,856.0","174,479.0","176,184.0","178,520.0","183,575.0","185,742.0","190,154.0","190,721.0","192,178.0","189,754.0","184,742.0","180,017.0","175,210.0","173,782.0","174,544.0","176,627.0","175,315.0","176,739.0","176,132.0","175,162.0","178,396.0","184,812.0","190,681.0","198,985.0","204,349.0","209,699.0","211,717.0","212,905.0","218,424.0","222,937.0","231,449.0","235,889.0","237,497.0","241,103.0","240,740.0","239,912.0","244,146.0","252,607.0","260,596.0","267,447.0","257,705.0","243,084.0","230,243.0","222,737.0","219,445.0","222,815.0"
"43","23","      Nondurable goods industries","N804RC1",".....",".....",".....","89,470.0","90,899.0","91,482.0","93,270.0","95,668.0","96,262.0","96,426.0","96,169.0","97,580.0","98,628.0","98,151.0","101,742.0","103,996.0","107,502.0","107,770.0","108,827.0","112,995.0","113,224.0","116,611.0","116,524.0","115,843.0","116,739.0","117,697.0","121,193.0","121,835.0","121,935.0","119,883.0","122,502.0","126,997.0","128,904.0","128,737.0","128,447.0","131,551.0","136,704.0","137,307.0","141,762.0","143,526.0","145,628.0","150,228.0","151,856.0","158,019.0","160,608.0","164,708.0","174,110.0","189,407.0","192,966.0","199,597.0","194,508.0","170,890.0","170,720.0","170,272.0","165,497.0","176,229.0","176,220.0"
"44","24","    Nonmerchant wholesale trade","N805RC1",".....",".....",".....","42,716.0","42,299.0","42,181.0","42,344.0","43,178.0","42,974.0","42,444.0","42,231.0","42,528.0","42,897.0","44,335.0","45,865.0","47,202.0","48,882.0","50,322.0","51,673.0","52,511.0","50,988.0","49,755.0","47,019.0","44,766.0","44,333.0","45,209.0","45,969.0","46,067.0","46,821.0","45,333.0","45,652.0","47,158.0","48,278.0","49,845.0","52,194.0","53,007.0","56,325.0","56,303.0","58,947.0","60,868.0","61,756.0","62,580.0","62,208.0","60,839.0","62,037.0","62,719.0","63,265.0","66,297.0","68,622.0","70,812.0","66,209.0","54,108.0","50,465.0","49,058.0","48,373.0","49,516.0","51,911.0"
"45","25","    Final sales of domestic business \2\","A809RC1",".....",".....",".....","465,574.0","471,696.0","477,253.0","488,158.0","492,217.0","496,635.0","506,627.0","514,436.0","525,803.0","530,965.0","539,976.0","548,494.0","557,175.0","568,563.0","577,580.0","582,933.0","588,338.0","592,801.0","598,367.0","596,784.0","602,975.0","602,300.0","604,565.0","608,566.0","608,486.0","613,253.0","621,303.0","638,984.0","646,334.0","655,001.0","663,535.0","673,518.0","685,178.0","696,652.0","710,132.0","722,745.0","728,670.0","745,189.0","753,734.0","758,658.0","771,863.0","784,263.0","795,039.0","804,666.0","813,709.0","810,856.0","818,253.0","814,398.0","800,046.0","794,055.0","792,492.0","795,307.0","799,292.0","803,249.0"
"46","26","    Final sales of goods and structures of domestic business \2\","A810RC1",".....",".....",".....","270,488.0","274,261.0","276,892.0","284,311.0","285,419.0","286,605.0","292,680.0","298,505.0","306,654.0","308,324.0","314,242.0","318,312.0","322,530.0","328,067.0","332,996.0","335,600.0","336,960.0","338,204.0","342,002.0","340,244.0","344,562.0","340,637.0","338,947.0","340,469.0","337,717.0","340,549.0","344,476.0","357,727.0","361,409.0","363,555.0","368,388.0","374,813.0","380,238.0","386,227.0","395,390.0","403,342.0","402,551.0","414,908.0","418,370.0","418,538.0","424,254.0","427,972.0","434,035.0","437,455.0","440,683.0","435,169.0","437,893.0","434,442.0","419,744.0","413,947.0","411,597.0","412,661.0","412,542.0","412,798.0"
