"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross value added of corporate business \1\","A451RC1","119,379.0","124,437.0","127,118.0","132,870.0","140,093.0","143,348.0","146,048.0","148,427.0","145,211.0","141,174.0","141,896.0","137,827.0","145,167.0","154,795.0","166,778.0","174,868.0","180,137.0","182,815.0","184,598.0","188,154.0","189,220.0","188,071.0","190,526.0","202,547.0","206,808.0","209,050.0","208,586.0","200,184.0","200,207.0","200,962.0","202,969.0","210,426.0","220,180.0","227,121.0","232,343.0","238,296.0","240,122.0","243,862.0","245,840.0","252,600.0","257,341.0","257,600.0","258,934.0","253,877.0","245,211.0","244,378.0","253,055.0","264,588.0","273,982.0","285,974.0","281,910.0","285,618.0","296,322.0","294,332.0","293,868.0","290,929.0","290,270.0","298,581.0","305,109.0","314,615.0","321,977.0","326,779.0","331,350.0","335,962.0","339,497.0","347,283.0","352,723.0","358,680.0","367,774.0","374,111.0","381,960.0","386,786.0","401,198.0","408,954.0","417,096.0","430,310.0","442,529.0","450,765.0","457,493.0","465,690.0","468,250.0","472,394.0","481,931.0","494,483.0","507,736.0","523,519.0","535,479.0","549,774.0","561,667.0","572,511.0","583,219.0","589,243.0","588,158.0","596,408.0","604,314.0","602,126.0","626,639.0","639,781.0","651,617.0","666,397.0","689,123.0","705,085.0","722,010.0","750,660.0","776,997.0","791,606.0","808,861.0","832,741.0","840,557.0","862,443.0","883,112.0","893,350.0","898,200.0","921,449.0","964,065.0","994,056.0","1,033,723.0","1,049,442.0","1,072,958.0","1,095,434.0","1,129,172.0","1,188,726.0","1,236,426.0","1,266,127.0","1,291,968.0","1,369,371.0","1,397,255.0","1,445,752.0","1,480,304.0","1,511,569.0","1,544,207.0","1,580,019.0","1,619,253.0","1,618,116.0","1,663,004.0","1,751,633.0","1,819,753.0","1,865,054.0","1,932,949.0","1,938,038.0","1,937,551.0","1,967,907.0","1,982,505.0","1,981,428.0","2,024,017.0","2,086,504.0","2,146,065.0","2,210,027.0","2,296,869.0","2,357,426.0","2,394,239.0","2,436,617.0","2,471,818.0","2,505,080.0","2,552,949.0","2,576,068.0","2,612,373.0","2,621,730.0","2,642,964.0","2,685,484.0","2,731,422.0","2,801,385.0","2,869,589.0","2,928,053.0","2,967,113.0","3,036,132.0","3,091,632.0","3,167,163.0","3,185,364.0","3,211,017.0","3,248,055.0","3,273,511.0","3,318,518.0","3,388,546.0","3,401,612.0","3,399,230.0","3,423,578.0","3,452,971.0","3,483,790.0","3,509,288.0","3,579,652.0","3,625,458.0","3,644,609.0","3,719,093.0","3,722,283.0","3,797,423.0","3,837,847.0","3,935,262.0","4,003,035.0","4,071,687.0","4,144,812.0","4,222,651.0","4,264,075.0","4,316,369.0","4,403,986.0","4,445,650.0","4,513,078.0","4,595,476.0","4,660,455.0","4,730,950.0","4,839,389.0","4,917,809.0","5,034,303.0","5,124,187.0","5,164,148.0","5,253,542.0","5,359,376.0","5,419,933.0","5,526,527.0","5,575,668.0","5,639,355.0","5,756,491.0","5,946,568.0","5,983,025.0","6,070,368.0","6,065,707.0","6,078,133.0","6,068,260.0","6,007,085.0","5,985,324.0","6,039,965.0","6,109,329.0","6,132,040.0","6,209,373.0","6,261,795.0","6,313,839.0","6,392,798.0","6,474,307.0","6,571,815.0","6,708,444.0","6,860,188.0","6,956,359.0","7,105,363.0","7,216,340.0","7,343,998.0","7,525,746.0","7,681,619.0","7,755,657.0","7,891,375.0","7,964,522.0","7,963,563.0","8,067,135.0","8,016,860.0","8,056,300.0","8,090,630.0","8,150,849.0","8,233,011.0","7,973,814.0","7,839,884.0","7,844,025.0","7,838,649.0","7,970,235.0"
"21","2","Consumption of fixed capital","A438RC1","8,098.0","8,671.0","9,171.0","9,596.0","9,947.0","10,263.0","10,542.0","10,784.0","10,990.0","11,168.0","11,317.0","11,437.0","11,529.0","11,738.0","12,065.0","12,508.0","13,067.0","13,515.0","13,852.0","14,078.0","14,193.0","14,345.0","14,537.0","14,765.0","15,033.0","15,282.0","15,513.0","15,724.0","15,916.0","16,098.0","16,267.0","16,423.0","16,570.0","16,836.0","17,220.0","17,726.0","18,348.0","18,946.0","19,519.0","20,067.0","20,590.0","21,068.0","21,498.0","21,884.0","22,223.0","22,546.0","22,853.0","23,146.0","23,421.0","23,629.0","23,773.0","23,849.0","23,859.0","23,912.0","24,006.0","24,143.0","24,321.0","24,510.0","24,711.0","24,922.0","25,143.0","25,382.0","25,640.0","25,915.0","26,208.0","26,515.0","26,838.0","27,175.0","27,528.0","27,930.0","28,381.0","28,881.0","29,432.0","30,038.0","30,699.0","31,415.0","32,188.0","32,977.0","33,783.0","34,604.0","35,444.0","36,314.0","37,215.0","38,147.0","39,109.0","40,099.0","41,114.0","42,158.0","43,226.0","44,411.0","45,713.0","47,130.0","48,662.0","49,813.0","50,579.0","50,962.0","52,700.0","54,249.0","55,606.0","56,773.0","57,751.0","58,922.0","60,285.0","61,842.0","63,592.0","65,624.0","67,941.0","70,539.0","73,421.0","76,733.0","80,476.0","84,650.0","89,254.0","93,160.0","96,370.0","98,880.0","100,695.0","102,955.0","105,662.0","108,816.0","112,416.0","116,085.0","119,822.0","123,629.0","127,504.0","131,744.0","136,348.0","141,316.0","146,649.0","152,171.0","157,881.0","163,779.0","169,867.0","176,290.0","183,048.0","190,139.0","197,568.0","204,768.0","211,740.0","218,484.0","225,000.0","230,161.0","233,969.0","236,422.0","237,520.0","239,126.0","241,239.0","243,859.0","246,987.0","250,605.0","254,713.0","259,311.0","264,403.0","269,369.0","274,211.0","278,929.0","283,523.0","287,877.0","291,989.0","295,859.0","299,489.0","303,735.0","308,595.0","314,069.0","320,159.0","326,057.0","331,765.0","337,283.0","342,609.0","348,032.0","353,552.0","359,167.0","364,880.0","370,429.0","375,814.0","381,037.0","386,096.0","390,507.0","394,269.0","397,384.0","399,850.0","401,699.0","402,933.0","403,550.0","410,551.0","417,151.0","423,353.0","429,153.0","434,555.0","440,834.0","447,992.0","456,027.0","464,942.0","473,252.0","480,960.0","488,062.0","494,561.0","501,730.0","509,569.0","518,076.0","527,255.0","536,367.0","545,412.0","554,390.0","563,304.0","572,872.0","583,097.0","593,975.0","605,509.0","618,244.0","632,179.0","647,316.0","663,651.0","678,751.0","692,614.0","705,240.0","716,631.0","726,636.0","735,254.0","742,487.0","748,334.0","753,697.0","758,573.0","762,964.0","766,871.0","771,896.0","778,041.0","785,304.0","793,688.0","803,230.0","813,931.0","825,791.0","838,809.0","853,640.0","870,284.0","888,739.0","904,081.0","918,929.0","933,279.0","947,135.0","960,494.0","974,027.0","987,730.0","1,001,606.0","1,015,653.0","1,029,744.0","1,043,877.0","1,058,053.0","1,058,204.0","1,042,987.0","1,032,450.0","1,033,123.0"
"22","3","Net value added","A439RC1","111,281.0","115,766.0","117,947.0","123,274.0","130,146.0","133,085.0","135,506.0","137,643.0","134,221.0","130,006.0","130,579.0","126,390.0","133,638.0","143,057.0","154,713.0","162,360.0","167,070.0","169,300.0","170,746.0","174,076.0","175,027.0","173,726.0","175,989.0","187,782.0","191,775.0","193,768.0","193,073.0","184,460.0","184,291.0","184,864.0","186,702.0","194,003.0","203,610.0","210,285.0","215,123.0","220,570.0","221,774.0","224,916.0","226,321.0","232,533.0","236,751.0","236,532.0","237,436.0","231,993.0","222,988.0","221,832.0","230,202.0","241,442.0","250,561.0","262,345.0","258,137.0","261,769.0","272,463.0","270,420.0","269,862.0","266,786.0","265,949.0","274,071.0","280,398.0","289,693.0","296,834.0","301,397.0","305,710.0","310,047.0","313,289.0","320,768.0","325,885.0","331,505.0","340,246.0","346,181.0","353,579.0","357,905.0","371,766.0","378,916.0","386,397.0","398,895.0","410,341.0","417,788.0","423,710.0","431,086.0","432,806.0","436,080.0","444,716.0","456,336.0","468,627.0","483,420.0","494,365.0","507,616.0","518,441.0","528,100.0","537,506.0","542,113.0","539,496.0","546,595.0","553,735.0","551,164.0","573,939.0","585,532.0","596,011.0","609,624.0","631,372.0","646,163.0","661,725.0","688,818.0","713,405.0","725,982.0","740,920.0","762,202.0","767,136.0","785,710.0","802,636.0","808,700.0","808,946.0","828,289.0","867,695.0","895,176.0","933,028.0","946,487.0","967,296.0","986,618.0","1,016,756.0","1,072,641.0","1,116,604.0","1,142,498.0","1,164,464.0","1,237,627.0","1,260,907.0","1,304,436.0","1,333,655.0","1,359,398.0","1,386,326.0","1,416,240.0","1,449,386.0","1,441,826.0","1,479,956.0","1,561,494.0","1,622,185.0","1,660,286.0","1,721,209.0","1,719,554.0","1,712,551.0","1,737,746.0","1,748,536.0","1,745,006.0","1,786,497.0","1,847,378.0","1,904,826.0","1,966,168.0","2,049,882.0","2,106,821.0","2,139,526.0","2,177,306.0","2,207,415.0","2,235,711.0","2,278,738.0","2,297,139.0","2,328,850.0","2,333,853.0","2,350,975.0","2,389,625.0","2,431,933.0","2,497,650.0","2,560,994.0","2,613,984.0","2,646,954.0","2,710,075.0","2,759,867.0","2,829,880.0","2,842,755.0","2,862,985.0","2,894,503.0","2,914,344.0","2,953,638.0","3,018,117.0","3,025,798.0","3,018,193.0","3,037,482.0","3,062,464.0","3,089,521.0","3,111,904.0","3,179,802.0","3,223,759.0","3,241,676.0","3,315,543.0","3,311,732.0","3,380,272.0","3,414,494.0","3,506,109.0","3,568,480.0","3,630,853.0","3,696,820.0","3,766,624.0","3,799,133.0","3,843,117.0","3,923,026.0","3,957,588.0","4,018,517.0","4,093,746.0","4,150,886.0","4,212,874.0","4,312,134.0","4,381,442.0","4,488,891.0","4,569,797.0","4,600,844.0","4,680,670.0","4,776,279.0","4,825,958.0","4,921,018.0","4,957,424.0","5,007,176.0","5,109,175.0","5,282,917.0","5,304,274.0","5,377,754.0","5,360,467.0","5,361,502.0","5,341,624.0","5,271,831.0","5,242,837.0","5,291,631.0","5,355,632.0","5,373,467.0","5,446,409.0","5,494,924.0","5,541,943.0","5,614,757.0","5,689,003.0","5,778,127.0","5,905,214.0","6,046,257.0","6,130,568.0","6,266,554.0","6,362,700.0","6,473,714.0","6,637,007.0","6,777,538.0","6,836,728.0","6,958,096.0","7,017,387.0","7,003,069.0","7,093,108.0","7,029,130.0","7,054,694.0","7,074,977.0","7,121,105.0","7,189,134.0","6,915,761.0","6,781,680.0","6,801,038.0","6,806,199.0","6,937,112.0"
